sequence,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeT/IvhFigBZnB?GjBUoBlpB3qB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8Je0/IvhFZnBziB?+oB/pBlqBiqB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8Je0/IvhFxiB/pB?OsBToBiqBlqB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeZHJvhFfoB6oB?TkB2qB0pBlqB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeZHJvhFSoBTkB?2qBUoBlpB3qB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeT/IvhFZnBypB?FoB8qBGoBXqB
IOTSJLZ,X,O,X,O,X,X
IOTSJZL,X,O,X,X,X,X
IOTSZLJ,O,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X
IOTZLJS,O,X,X,X,X,X
IOTZLSJ,O,X,X,X,X,X
IOTZJLS,O,X,X,X,X,X
IOTZJSL,O,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,X
IOTZSJL,O,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,O
IOLTJZS,O,X,X,X,O,O
IOLTSJZ,X,X,X,X,X,O
IOLTSZJ,O,X,X,X,X,O
IOLTZJS,O,X,X,X,X,O
IOLTZSJ,O,X,X,X,X,O
IOLJTSZ,X,X,O,X,X,O
IOLJTZS,X,X,X,X,O,O
IOLJSTZ,X,X,O,O,X,X
IOLJSZT,X,X,O,O,O,X
IOLJZTS,X,X,X,X,O,X
IOLJZST,X,X,O,X,O,X
IOLSTJZ,O,X,X,O,X,O
IOLSTZJ,O,X,X,X,X,O
IOLSJTZ,X,X,O,O,X,X
IOLSJZT,X,X,O,O,O,X
IOLSZTJ,O,X,X,X,X,X
IOLSZJT,O,X,O,O,X,X
IOLZTJS,O,X,X,X,X,O
IOLZTSJ,O,X,X,X,X,O
IOLZJTS,O,X,X,X,O,X
IOLZJST,O,X,X,X,O,X
IOLZSTJ,O,X,X,X,X,X
IOLZSJT,O,X,X,X,X,X
IOJTLSZ,X,O,O,X,X,X
IOJTLZS,X,X,X,X,O,X
IOJTSLZ,X,O,O,O,X,X
IOJTSZL,X,O,O,X,X,X
IOJTZLS,X,X,X,X,X,X
IOJTZSL,X,O,X,X,X,X
IOJLTSZ,X,O,O,X,X,X
IOJLTZS,X,X,X,X,O,X
IOJLSTZ,X,X,O,O,X,X
IOJLSZT,X,O,O,O,O,X
IOJLZTS,X,X,X,X,O,X
IOJLZST,X,X,O,X,O,X
IOJSTLZ,X,O,O,O,X,X
IOJSTZL,X,O,O,X,X,X
IOJSLTZ,X,X,O,O,X,X
IOJSLZT,X,O,O,O,O,X
IOJSZTL,X,O,O,X,X,X
IOJSZLT,X,O,O,O,X,X
IOJZTLS,X,X,X,X,X,X
IOJZTSL,X,O,X,X,X,X
IOJZLTS,X,X,X,X,O,X
IOJZLST,X,X,O,X,O,X
IOJZSTL,X,O,O,X,X,X
IOJZSLT,X,O,O,O,X,X
IOSTLJZ,O,X,X,O,X,X
IOSTLZJ,O,X,X,X,X,X
IOSTJLZ,O,X,X,O,X,X
IOSTJZL,O,X,X,X,X,X
IOSTZLJ,O,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X
IOSLTJZ,O,X,X,O,X,X
IOSLTZJ,O,X,X,X,X,X
IOSLJTZ,X,X,O,O,X,X
IOSLJZT,X,X,O,O,O,X
IOSLZTJ,O,X,X,X,X,X
IOSLZJT,O,X,O,O,X,X
IOSJTLZ,X,X,O,O,X,X
IOSJTZL,X,O,O,X,X,X
IOSJLTZ,X,X,O,O,X,X
IOSJLZT,X,O,O,O,O,X
IOSJZTL,X,O,O,X,X,X
IOSJZLT,X,O,O,O,X,X
IOSZTLJ,O,X,X,X,X,X
IOSZTJL,O,X,X,X,X,X
IOSZLTJ,O,X,X,X,X,X
IOSZLJT,O,X,X,O,X,X
IOSZJTL,O,O,O,X,X,X
IOSZJLT,O,O,O,O,X,X
IOZTLJS,O,X,X,X,X,X
IOZTLSJ,O,X,X,X,X,X
IOZTJLS,O,X,X,X,X,X
IOZTJSL,O,X,X,X,X,X
IOZTSLJ,O,X,X,X,X,X
IOZTSJL,O,X,X,X,X,X
IOZLTJS,O,X,X,X,X,X
IOZLTSJ,O,X,X,X,X,X
IOZLJTS,O,X,X,X,O,X
IOZLJST,O,X,X,X,O,X
IOZLSTJ,O,X,X,X,X,X
IOZLSJT,O,X,X,X,X,X
IOZJTLS,O,X,X,X,X,X
IOZJTSL,O,X,X,X,X,X
IOZJLTS,O,X,X,X,O,X
IOZJLST,O,X,X,X,O,X
IOZJSTL,O,X,X,X,X,X
IOZJSLT,O,X,X,O,X,X
IOZSTLJ,O,X,X,X,X,X
IOZSTJL,O,X,X,X,X,X
IOZSLTJ,O,X,X,X,X,X
IOZSLJT,O,X,X,O,X,X
IOZSJTL,O,X,X,X,X,X
IOZSJLT,O,X,X,O,X,X
LTIJSZO,X,O,X,X,X,X
LTIJSOZ,X,O,X,X,X,X
LTIJZSO,O,X,X,X,X,X
LTIJZOS,O,X,X,X,X,X
LTIJOSZ,X,O,X,X,X,O
LTIJOZS,O,X,X,X,O,O
LTISJZO,O,O,X,X,X,X
LTISJOZ,O,O,X,X,X,X
LTISZJO,O,O,X,X,X,X
LTISZOJ,O,X,X,X,X,X
LTISOJZ,O,X,X,X,X,O
LTISOZJ,O,X,X,X,X,O
LTIZJSO,O,X,X,X,X,X
LTIZJOS,O,X,X,X,X,X
LTIZSJO,O,X,X,X,X,X
LTIZSOJ,O,X,X,X,X,X
LTIZOJS,O,X,X,X,X,O
LTIZOSJ,O,X,X,X,X,O
LTIOJSZ,X,X,X,X,X,O
LTIOJZS,O,X,X,X,O,O
LTIOSJZ,X,X,X,X,X,O
LTIOSZJ,O,X,X,X,X,O
LTIOZJS,O,X,X,X,X,O
LTIOZSJ,O,X,X,X,X,O
LTJISZO,X,O,X,X,X,X
LTJISOZ,X,O,X,X,X,X
LTJIZSO,O,X,X,X,X,X
LTJIZOS,O,X,X,X,X,X
LTJIOSZ,X,O,X,X,X,O
LTJIOZS,O,X,X,X,O,O
LTJSIZO,X,O,X,X,X,X
LTJSIOZ,X,O,X,X,X,X
LTJSZIO,X,O,X,X,X,X
LTJSZOI,X,O,O,X,X,X
LTJSOIZ,X,O,O,X,X,X
LTJSOZI,X,O,O,X,X,X
LTJZISO,O,X,X,X,X,X
LTJZIOS,O,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X
LTJZSOI,O,X,X,X,X,X
LTJZOIS,O,X,X,X,X,X
LTJZOSI,O,X,X,X,X,X
LTJOISZ,X,O,O,X,X,O
LTJOIZS,O,X,X,X,O,O
LTJOSIZ,X,O,O,X,X,X
LTJOSZI,X,O,O,X,X,X
LTJOZIS,O,X,X,X,X,X
LTJOZSI,O,X,X,X,X,X
LTSIJZO,O,O,X,X,X,X
LTSIJOZ,O,O,X,X,X,X
LTSIZJO,O,O,X,X,X,X
LTSIZOJ,O,X,X,X,X,X
LTSIOJZ,O,X,X,X,X,O
LTSIOZJ,O,X,X,X,X,O
LTSJIZO,O,O,X,X,X,X
LTSJIOZ,O,O,X,X,X,X
LTSJZIO,O,O,X,X,X,X
LTSJZOI,O,O,O,X,X,X
LTSJOIZ,O,O,O,X,X,X
LTSJOZI,O,O,O,X,X,X
LTSZIJO,O,O,X,X,X,X
LTSZIOJ,O,X,X,X,X,X
LTSZJIO,O,O,X,X,X,X
LTSZJOI,O,O,O,X,X,X
LTSZOIJ,O,X,X,X,X,X
LTSZOJI,O,X,O,X,X,X
LTSOIJZ,O,X,X,X,X,O
LTSOIZJ,O,X,X,X,X,O
LTSOJIZ,O,X,O,X,X,X
LTSOJZI,O,X,O,X,X,X
LTSOZIJ,O,X,X,X,X,X
LTSOZJI,O,X,O,X,X,X
LTZIJSO,O,X,X,X,X,X
LTZIJOS,O,X,X,X,X,X
LTZISJO,O,X,X,X,X,X
LTZISOJ,O,X,X,X,X,X
LTZIOJS,O,X,X,X,X,O
LTZIOSJ,O,X,X,X,X,O
LTZJISO,O,X,X,X,X,X
LTZJIOS,O,X,X,X,X,X
LTZJSIO,O,X,X,X,X,X
LTZJSOI,O,X,X,X,X,X
LTZJOIS,O,X,X,X,X,X
LTZJOSI,O,X,X,X,X,X
LTZSIJO,O,X,X,X,X,X
LTZSIOJ,O,X,X,X,X,X
LTZSJIO,O,X,X,X,X,X
LTZSJOI,O,X,X,X,X,X
LTZSOIJ,O,X,X,X,X,X
LTZSOJI,O,X,X,X,X,X
LTZOIJS,O,X,X,X,X,O
LTZOISJ,O,X,X,X,X,O
LTZOJIS,O,X,X,X,X,X
LTZOJSI,O,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,X
LTZOSJI,O,X,X,X,X,X
LTOIJSZ,X,X,X,X,X,O
LTOIJZS,O,X,X,X,O,O
LTOISJZ,X,X,X,X,X,O
LTOISZJ,O,X,X,X,X,O
LTOIZJS,O,X,X,X,X,O
LTOIZSJ,O,X,X,X,X,O
LTOJISZ,X,X,O,X,X,O
LTOJIZS,O,X,X,X,O,O
LTOJSIZ,X,X,O,X,X,X
LTOJSZI,X,X,O,X,X,X
LTOJZIS,O,X,X,X,X,X
LTOJZSI,O,X,X,X,X,X
LTOSIJZ,X,X,X,X,X,O
LTOSIZJ,O,X,X,X,X,O
LTOSJIZ,X,X,O,X,X,X
LTOSJZI,X,X,O,X,X,X
LTOSZIJ,O,X,X,X,X,X
LTOSZJI,O,X,O,X,X,X
LTOZIJS,O,X,X,X,X,O
LTOZISJ,O,X,X,X,X,O
LTOZJIS,O,X,X,X,X,X
LTOZJSI,O,X,X,X,X,X
LTOZSIJ,O,X,X,X,X,X
LTOZSJI,O,X,X,X,X,X
LITJSZO,X,O,X,X,X,X
LITJSOZ,X,O,X,X,X,X
LITJZSO,O,X,X,X,X,X
LITJZOS,O,X,X,X,X,X
LITJOSZ,X,O,X,X,X,O
LITJOZS,O,X,X,X,O,O
LITSJZO,O,O,X,X,X,X
LITSJOZ,O,O,X,X,X,X
LITSZJO,O,O,X,X,X,X
LITSZOJ,O,X,X,X,X,X
LITSOJZ,O,X,X,X,X,O
LITSOZJ,O,X,X,X,X,O
LITZJSO,O,X,X,X,X,X
LITZJOS,O,X,X,X,X,X
LITZSJO,O,X,X,X,X,X
LITZSOJ,O,X,X,X,X,X
LITZOJS,O,X,X,X,X,O
LITZOSJ,O,X,X,X,X,O
LITOJSZ,X,X,X,X,X,O
LITOJZS,O,X,X,X,O,O
LITOSJZ,X,X,X,X,X,O
LITOSZJ,O,X,X,X,X,O
LITOZJS,O,X,X,X,X,O
LITOZSJ,O,X,X,X,X,O
LIJTSZO,X,O,X,X,X,X
LIJTSOZ,X,O,X,X,X,X
LIJTZSO,O,X,X,X,X,X
LIJTZOS,O,X,X,X,X,X
LIJTOSZ,X,O,X,X,X,O
LIJTOZS,O,X,X,X,O,O
LIJSTZO,O,X,X,X,X,X
LIJSTOZ,O,X,X,O,X,X
LIJSZTO,O,X,X,X,X,X
LIJSZOT,O,O,O,O,X,X
LIJSOTZ,X,X,O,O,X,X
LIJSOZT,X,O,O,O,O,X
LIJZTSO,O,X,X,X,X,X
LIJZTOS,O,X,X,X,X,X
LIJZSTO,O,X,X,X,X,X
LIJZSOT,O,X,X,X,X,X
LIJZOTS,O,X,X,X,O,X
LIJZOST,O,X,X,X,O,X
LIJOTSZ,X,O,O,X,X,O
LIJOTZS,X,X,X,X,O,O
LIJOSTZ,X,X,O,O,X,X
LIJOSZT,X,O,O,O,O,X
LIJOZTS,X,X,X,X,O,X
LIJOZST,X,X,O,X,O,X
LISTJZO,O,X,X,X,X,X
LISTJOZ,O,X,X,O,X,X
LISTZJO,O,X,X,X,X,X
LISTZOJ,O,X,X,X,X,X
LISTOJZ,O,X,X,O,X,O
LISTOZJ,O,X,X,X,X,O
LISJTZO,O,X,X,X,X,X
LISJTOZ,O,X,X,O,X,X
LISJZTO,O,X,X,X,X,X
LISJZOT,O,O,O,O,X,X
LISJOTZ,X,X,O,O,X,X
LISJOZT,X,O,O,O,O,X
LISZTJO,O,X,X,X,X,X
LISZTOJ,O,X,X,X,X,X
LISZJTO,O,X,X,X,X,X
LISZJOT,O,O,O,O,X,X
LISZOTJ,O,X,X,X,X,X
LISZOJT,O,X,O,O,X,X
LISOTJZ,O,X,X,O,X,O
LISOTZJ,O,X,X,X,X,O
LISOJTZ,X,X,O,O,X,X
LISOJZT,X,X,O,O,O,X
LISOZTJ,O,X,X,X,X,X
LISOZJT,O,X,O,O,X,X
LIZTJSO,O,X,X,X,X,X
LIZTJOS,O,X,X,X,X,X
LIZTSJO,O,X,X,X,X,X
LIZTSOJ,O,X,X,X,X,X
LIZTOJS,O,X,X,X,X,O
LIZTOSJ,O,X,X,X,X,O
LIZJTSO,O,X,X,X,X,X
LIZJTOS,O,X,X,X,X,X
LIZJSTO,O,X,X,X,X,X
LIZJSOT,O,X,X,X,X,X
LIZJOTS,O,X,X,X,O,X
LIZJOST,O,X,X,X,O,X
LIZSTJO,O,X,X,X,X,X
LIZSTOJ,O,X,X,X,X,X
LIZSJTO,O,X,X,X,X,X
LIZSJOT,O,X,X,X,X,X
LIZSOTJ,O,X,X,X,X,X
LIZSOJT,O,X,X,X,X,X
LIZOTJS,O,X,X,X,X,O
LIZOTSJ,O,X,X,X,X,O
LIZOJTS,O,X,X,X,O,X
LIZOJST,O,X,X,X,O,X
LIZOSTJ,O,X,X,X,X,X
LIZOSJT,O,X,X,X,X,X
LIOTJSZ,X,X,X,X,X,O
LIOTJZS,O,X,X,X,O,O
LIOTSJZ,X,X,X,X,X,O
LIOTSZJ,O,X,X,X,X,O
LIOTZJS,O,X,X,X,X,O
LIOTZSJ,O,X,X,X,X,O
LIOJTSZ,X,X,O,X,X,O
LIOJTZS,X,X,X,X,O,O
LIOJSTZ,X,X,O,O,X,X
LIOJSZT,X,X,O,O,O,X
LIOJZTS,X,X,X,X,O,X
LIOJZST,X,X,O,X,O,X
LIOSTJZ,O,X,X,O,X,O
LIOSTZJ,O,X,X,X,X,O
LIOSJTZ,X,X,O,O,X,X
LIOSJZT,X,X,O,O,O,X
LIOSZTJ,O,X,X,X,X,X
LIOSZJT,O,X,O,O,X,X
LIOZTJS,O,X,X,X,X,O
LIOZTSJ,O,X,X,X,X,O
LIOZJTS,O,X,X,X,O,X
LIOZJST,O,X,X,X,O,X
LIOZSTJ,O,X,X,X,X,X
LIOZSJT,O,X,X,X,X,X
LJTISZO,X,O,X,X,X,X
LJTISOZ,X,O,X,X,X,X
LJTIZSO,O,X,X,X,X,X
LJTIZOS,O,X,X,X,X,X
LJTIOSZ,X,O,X,X,X,O
LJTIOZS,O,X,X,X,O,O
LJTSIZO,X,O,X,X,X,X
LJTSIOZ,X,O,X,X,X,X
LJTSZIO,X,O,X,X,X,X
LJTSZOI,X,O,O,X,X,X
LJTSOIZ,X,O,O,X,X,X
LJTSOZI,X,O,O,X,X,X
LJTZISO,O,X,X,X,X,X
LJTZIOS,O,X,X,X,X,X
LJTZSIO,O,X,X,X,X,X
LJTZSOI,O,X,X,X,X,X
LJTZOIS,O,X,X,X,X,X
LJTZOSI,O,X,X,X,X,X
LJTOISZ,X,O,O,X,X,O
LJTOIZS,O,X,X,X,O,O
LJTOSIZ,X,O,O,X,X,X
LJTOSZI,X,O,O,X,X,X
LJTOZIS,O,X,X,X,X,X
LJTOZSI,O,X,X,X,X,X
LJITSZO,X,O,X,X,X,X
LJITSOZ,X,O,X,X,X,X
LJITZSO,O,X,X,X,X,X
LJITZOS,O,X,X,X,X,X
LJITOSZ,X,O,X,X,X,O
LJITOZS,O,X,X,X,O,O
LJISTZO,O,X,X,X,X,X
LJISTOZ,O,X,X,O,X,X
LJISZTO,O,X,X,X,X,X
LJISZOT,O,O,O,O,X,X
LJISOTZ,X,X,O,O,X,X
LJISOZT,X,O,O,O,O,X
LJIZTSO,O,X,X,X,X,X
LJIZTOS,O,X,X,X,X,X
LJIZSTO,O,X,X,X,X,X
LJIZSOT,O,X,X,X,X,X
LJIZOTS,O,X,X,X,O,X
LJIZOST,O,X,X,X,O,X
LJIOTSZ,X,O,O,X,X,O
LJIOTZS,X,X,X,X,O,O
LJIOSTZ,X,X,O,O,X,X
LJIOSZT,X,O,O,O,O,X
LJIOZTS,X,X,X,X,O,X
LJIOZST,X,X,O,X,O,X
LJSTIZO,O,X,X,X,X,X
LJSTIOZ,O,X,X,O,X,X
LJSTZIO,O,X,X,X,X,X
LJSTZOI,O,X,O,X,X,X
LJSTOIZ,O,X,O,O,X,X
LJSTOZI,O,X,O,X,X,X
LJSITZO,O,X,X,X,X,X
LJSITOZ,O,X,X,O,X,X
LJSIZTO,O,X,X,X,X,X
LJSIZOT,O,O,O,O,X,X
LJSIOTZ,X,X,O,O,X,X
LJSIOZT,X,O,O,O,O,X
LJSZTIO,O,X,X,X,X,X
LJSZTOI,O,X,O,X,X,X
LJSZITO,O,X,X,X,X,X
LJSZIOT,O,O,O,O,X,X
LJSZOTI,O,X,O,X,X,X
LJSZOIT,O,O,O,O,X,X
LJSOTIZ,X,X,O,O,X,X
LJSOTZI,X,X,O,X,X,X
LJSOITZ,X,X,O,O,X,X
LJSOIZT,X,O,O,O,O,X
LJSOZTI,X,X,O,X,X,X
LJSOZIT,X,O,O,O,X,X
LJZTISO,O,X,X,X,X,X
LJZTIOS,O,X,X,X,X,X
LJZTSIO,O,X,X,X,X,X
LJZTSOI,O,X,X,X,X,X
LJZTOIS,O,X,X,X,X,X
LJZTOSI,O,X,X,X,X,X
LJZITSO,O,X,X,X,X,X
LJZITOS,O,X,X,X,X,X
LJZISTO,O,X,X,X,X,X
LJZISOT,O,X,X,X,X,X
LJZIOTS,O,X,X,X,O,X
LJZIOST,O,X,X,X,O,X
LJZSTIO,O,X,X,X,X,X
LJZSTOI,O,X,O,X,X,X
LJZSITO,O,X,X,X,X,X
LJZSIOT,O,X,O,X,X,X
LJZSOTI,O,X,O,X,X,X
LJZSOIT,O,X,O,X,X,X
LJZOTIS,O,X,X,X,X,X
LJZOTSI,O,X,X,X,X,X
LJZOITS,O,X,X,X,O,X
LJZOIST,O,X,O,X,O,X
LJZOSTI,O,X,O,X,X,X
LJZOSIT,O,X,O,X,X,X
LJOTISZ,X,O,O,X,X,O
LJOTIZS,X,X,X,X,O,O
LJOTSIZ,X,O,O,X,X,X
LJOTSZI,X,O,O,X,X,X
LJOTZIS,X,X,X,X,X,X
LJOTZSI,X,X,X,X,X,X
LJOITSZ,X,O,O,X,X,O
LJOITZS,X,X,X,X,O,O
LJOISTZ,X,X,O,O,X,X
LJOISZT,X,O,O,O,O,X
LJOIZTS,X,X,X,X,O,X
LJOIZST,X,X,O,X,O,X
LJOSTIZ,X,X,O,O,X,X
LJOSTZI,X,X,O,X,X,X
LJOSITZ,X,X,O,O,X,X
LJOSIZT,X,O,O,O,O,X
LJOSZTI,X,X,O,X,X,X
LJOSZIT,X,O,O,O,X,X
LJOZTIS,X,X,X,X,X,X
LJOZTSI,X,X,X,X,X,X
LJOZITS,X,X,X,X,O,X
LJOZIST,X,X,O,X,O,X
LJOZSTI,X,X,O,X,X,X
LJOZSIT,X,X,O,X,X,X
LSTIJZO,O,X,X,X,X,X
LSTIJOZ,O,X,X,O,X,X
LSTIZJO,O,X,X,X,X,X
LSTIZOJ,O,X,X,X,X,X
LSTIOJZ,O,X,X,O,X,O
LSTIOZJ,O,X,X,X,X,O
LSTJIZO,O,X,X,X,X,X
LSTJIOZ,O,X,X,O,X,X
LSTJZIO,O,X,X,X,X,X
LSTJZOI,O,X,O,X,X,X
LSTJOIZ,O,X,O,O,X,X
LSTJOZI,O,X,O,X,X,X
LSTZIJO,O,X,X,X,X,X
LSTZIOJ,O,X,X,X,X,X
LSTZJIO,O,X,X,X,X,X
LSTZJOI,O,X,O,X,X,X
LSTZOIJ,O,X,X,X,X,X
LSTZOJI,O,X,O,X,X,X
LSTOIJZ,O,X,X,O,X,O
LSTOIZJ,O,X,X,X,X,O
LSTOJIZ,O,X,O,O,X,X
LSTOJZI,O,X,O,X,X,X
LSTOZIJ,O,X,X,X,X,X
LSTOZJI,O,X,O,X,X,X
LSITJZO,O,X,X,X,X,X
LSITJOZ,O,X,X,O,X,X
LSITZJO,O,X,X,X,X,X
LSITZOJ,O,X,X,X,X,X
LSITOJZ,O,X,X,O,X,O
LSITOZJ,O,X,X,X,X,O
LSIJTZO,O,X,X,X,X,X
LSIJTOZ,O,X,X,O,X,X
LSIJZTO,O,X,X,X,X,X
LSIJZOT,O,O,O,O,X,X
LSIJOTZ,X,X,O,O,X,X
LSIJOZT,X,O,O,O,O,X
LSIZTJO,O,X,X,X,X,X
LSIZTOJ,O,X,X,X,X,X
LSIZJTO,O,X,X,X,X,X
LSIZJOT,O,O,O,O,X,X
LSIZOTJ,O,X,X,X,X,X
LSIZOJT,O,X,O,O,X,X
LSIOTJZ,O,X,X,O,X,O
LSIOTZJ,O,X,X,X,X,O
LSIOJTZ,X,X,O,O,X,X
LSIOJZT,X,X,O,O,O,X
LSIOZTJ,O,X,X,X,X,X
LSIOZJT,O,X,O,O,X,X
LSJTIZO,O,X,X,X,X,X
LSJTIOZ,O,X,X,O,X,X
LSJTZIO,O,X,X,X,X,X
LSJTZOI,O,X,O,X,X,X
LSJTOIZ,O,X,O,O,X,X
LSJTOZI,O,X,O,X,X,X
LSJITZO,O,X,X,X,X,X
LSJITOZ,O,X,X,O,X,X
LSJIZTO,O,X,X,X,X,X
LSJIZOT,O,O,O,O,X,X
LSJIOTZ,X,X,O,O,X,X
LSJIOZT,X,O,O,O,O,X
LSJZTIO,O,X,X,X,X,X
LSJZTOI,O,X,O,X,X,X
LSJZITO,O,X,X,X,X,X
LSJZIOT,O,O,O,O,X,X
LSJZOTI,O,X,O,X,X,X
LSJZOIT,O,O,O,O,X,X
LSJOTIZ,X,X,O,O,X,X
LSJOTZI,X,X,O,X,X,X
LSJOITZ,X,X,O,O,X,X
LSJOIZT,X,O,O,O,O,X
LSJOZTI,X,X,O,X,X,X
LSJOZIT,X,O,O,O,X,X
LSZTIJO,O,X,X,X,X,X
LSZTIOJ,O,X,X,X,X,X
LSZTJIO,O,X,X,X,X,X
LSZTJOI,O,X,O,X,X,X
LSZTOIJ,O,X,X,X,X,X
LSZTOJI,O,X,O,X,X,X
LSZITJO,O,X,X,X,X,X
LSZITOJ,O,X,X,X,X,X
LSZIJTO,O,X,X,X,X,X
LSZIJOT,O,O,O,O,X,X
LSZIOTJ,O,X,X,X,X,X
LSZIOJT,O,X,O,O,X,X
LSZJTIO,O,X,X,X,X,X
LSZJTOI,O,X,O,X,X,X
LSZJITO,O,X,X,X,X,X
LSZJIOT,O,O,O,O,X,X
LSZJOTI,O,X,O,X,X,X
LSZJOIT,O,O,O,O,X,X
LSZOTIJ,O,X,X,X,X,X
LSZOTJI,O,X,O,X,X,X
LSZOITJ,O,X,X,X,X,X
LSZOIJT,O,X,O,O,X,X
LSZOJTI,O,X,O,X,X,X
LSZOJIT,O,X,O,O,X,X
LSOTIJZ,O,X,X,O,X,O
LSOTIZJ,O,X,X,X,X,O
LSOTJIZ,O,X,O,O,X,X
LSOTJZI,O,X,O,X,X,X
LSOTZIJ,O,X,X,X,X,X
LSOTZJI,O,X,O,X,X,X
LSOITJZ,O,X,X,O,X,O
LSOITZJ,O,X,X,X,X,O
LSOIJTZ,X,X,O,O,X,X
LSOIJZT,X,X,O,O,O,X
LSOIZTJ,O,X,X,X,X,X
LSOIZJT,O,X,O,O,X,X
LSOJTIZ,X,X,O,O,X,X
LSOJTZI,X,X,O,X,X,X
LSOJITZ,X,X,O,O,X,X
LSOJIZT,X,X,O,O,O,X
LSOJZTI,X,X,O,X,X,X
LSOJZIT,X,X,O,O,X,X
LSOZTIJ,O,X,X,X,X,X
LSOZTJI,O,X,O,X,X,X
LSOZITJ,O,X,X,X,X,X
LSOZIJT,O,X,O,O,X,X
LSOZJTI,O,X,O,X,X,X
LSOZJIT,O,X,O,O,X,X
LZTIJSO,O,X,X,X,X,X
LZTIJOS,O,X,X,X,X,X
LZTISJO,O,X,X,X,X,X
LZTISOJ,O,X,X,X,X,X
LZTIOJS,O,X,X,X,X,O
LZTIOSJ,O,X,X,X,X,O
LZTJISO,O,X,X,X,X,X
LZTJIOS,O,X,X,X,X,X
LZTJSIO,O,X,X,X,X,X
LZTJSOI,O,X,X,X,X,X
LZTJOIS,O,X,X,X,X,X
LZTJOSI,O,X,X,X,X,X
LZTSIJO,O,X,X,X,X,X
LZTSIOJ,O,X,X,X,X,X
LZTSJIO,O,X,X,X,X,X
LZTSJOI,O,X,X,X,X,X
LZTSOIJ,O,X,X,X,X,X
LZTSOJI,O,X,X,X,X,X
LZTOIJS,O,X,X,X,X,O
LZTOISJ,O,X,X,X,X,O
LZTOJIS,O,X,X,X,X,X
LZTOJSI,O,X,X,X,X,X
LZTOSIJ,O,X,X,X,X,X
LZTOSJI,O,X,X,X,X,X
LZITJSO,O,X,X,X,X,X
LZITJOS,O,X,X,X,X,X
LZITSJO,O,X,X,X,X,X
LZITSOJ,O,X,X,X,X,X
LZITOJS,O,X,X,X,X,O
LZITOSJ,O,X,X,X,X,O
LZIJTSO,O,X,X,X,X,X
LZIJTOS,O,X,X,X,X,X
LZIJSTO,O,X,X,X,X,X
LZIJSOT,O,X,X,X,X,X
LZIJOTS,O,X,X,X,O,X
LZIJOST,O,X,X,X,O,X
LZISTJO,O,X,X,X,X,X
LZISTOJ,O,X,X,X,X,X
LZISJTO,O,X,X,X,X,X
LZISJOT,O,X,X,X,X,X
LZISOTJ,O,X,X,X,X,X
LZISOJT,O,X,X,X,X,X
LZIOTJS,O,X,X,X,X,O
LZIOTSJ,O,X,X,X,X,O
LZIOJTS,O,X,X,X,O,X
LZIOJST,O,X,X,X,O,X
LZIOSTJ,O,X,X,X,X,X
LZIOSJT,O,X,X,X,X,X
LZJTISO,O,X,X,X,X,X
LZJTIOS,O,X,X,X,X,X
LZJTSIO,O,X,X,X,X,X
LZJTSOI,O,X,X,X,X,X
LZJTOIS,O,X,X,X,X,X
LZJTOSI,O,X,X,X,X,X
LZJITSO,O,X,X,X,X,X
LZJITOS,O,X,X,X,X,X
LZJISTO,O,X,X,X,X,X
LZJISOT,O,X,X,X,X,X
LZJIOTS,O,X,X,X,O,X
LZJIOST,O,X,X,X,O,X
LZJSTIO,O,X,X,X,X,X
LZJSTOI,O,X,O,X,X,X
LZJSITO,O,X,X,X,X,X
LZJSIOT,O,X,O,X,X,X
LZJSOTI,O,X,O,X,X,X
LZJSOIT,O,X,O,X,X,X
LZJOTIS,O,X,X,X,X,X
LZJOTSI,O,X,X,X,X,X
LZJOITS,O,X,X,X,O,X
LZJOIST,O,X,O,X,O,X
LZJOSTI,O,X,O,X,X,X
LZJOSIT,O,X,O,X,X,X
LZSTIJO,O,X,X,X,X,X
LZSTIOJ,O,X,X,X,X,X
LZSTJIO,O,X,X,X,X,X
LZSTJOI,O,X,O,X,X,X
LZSTOIJ,O,X,X,X,X,X
LZSTOJI,O,X,O,X,X,X
LZSITJO,O,X,X,X,X,X
LZSITOJ,O,X,X,X,X,X
LZSIJTO,O,X,X,X,X,X
LZSIJOT,O,X,O,X,X,X
LZSIOTJ,O,X,X,X,X,X
LZSIOJT,O,X,O,X,X,X
LZSJTIO,O,X,X,X,X,X
LZSJTOI,O,X,O,X,X,X
LZSJITO,O,X,X,X,X,X
LZSJIOT,O,X,O,X,X,X
LZSJOTI,O,X,O,X,X,X
LZSJOIT,O,X,O,X,X,X
LZSOTIJ,O,X,X,X,X,X
LZSOTJI,O,X,O,X,X,X
LZSOITJ,O,X,X,X,X,X
