sequence,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBXjBlmBctBTs?BCsB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBTjBlmBcsBXt?BCsB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukB3hBlnBctBzr?BCtB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBFiBTjB6rBcs?BXtB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukB3hBFjB6sBct?BzrB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBFiBXjB6rBct?BTsB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBfoB6oBlmB0s?BzrB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBlmBcsBToBCs?BXtB,v115@AhB8GeB8HeC8FeD8DeA8Jei/IvhFRiB+oBcpBlmBXs?BzsB,v115@AhB8GeB8HeC8FeD8DeA8Jei/IvhFWoBcpBlmBxsBzr?BXtB,v115@AhB8GeB8HeC8FeD8DeA8JexCJvhFTkBlmB3nBctBip?BWxB
TSJOLIZ,X,X,X,O,O,X,X,X,X,X,X
TSJOLZI,X,X,X,O,O,X,X,X,X,X,X
TSJOZIL,O,O,O,O,O,X,X,X,O,X,X
TSJOZLI,O,O,O,O,O,X,X,X,O,X,X
TSZILJO,O,O,X,O,O,X,O,X,O,O,X
TSZILOJ,X,O,X,O,X,X,O,X,X,X,O
TSZIJLO,O,O,X,O,O,X,O,X,O,O,X
TSZIJOL,O,O,X,O,O,X,O,O,O,X,O
TSZIOLJ,X,O,X,O,X,X,O,X,X,X,O
TSZIOJL,O,O,X,O,O,X,O,O,X,X,O
TSZLIJO,O,O,X,O,O,X,O,X,O,O,X
TSZLIOJ,X,O,X,O,X,X,O,X,X,X,O
TSZLJIO,O,O,X,O,O,X,O,X,O,X,X
TSZLJOI,X,O,X,O,X,X,O,X,O,X,X
TSZLOIJ,X,O,X,O,X,X,O,X,X,X,O
TSZLOJI,X,O,X,O,X,X,O,X,O,X,O
TSZJILO,O,O,X,O,O,X,O,X,O,X,X
TSZJIOL,O,O,X,O,O,X,O,O,O,X,O
TSZJLIO,O,O,X,O,O,X,O,X,O,X,X
TSZJLOI,X,O,X,O,X,X,O,X,O,X,X
TSZJOIL,O,O,X,O,O,X,O,O,O,X,O
TSZJOLI,X,O,X,O,X,X,O,X,O,X,O
TSZOILJ,X,O,X,O,X,X,O,X,X,X,O
TSZOIJL,O,O,X,O,O,X,O,O,X,X,O
TSZOLIJ,X,O,X,O,X,X,O,X,X,X,O
TSZOLJI,X,O,X,O,X,X,O,X,O,X,O
TSZOJIL,O,O,X,O,O,X,O,O,O,X,O
TSZOJLI,X,O,X,O,X,X,O,X,O,X,O
TSOILJZ,X,X,X,O,O,X,X,X,X,X,X
TSOILZJ,X,X,X,O,O,X,X,X,X,X,X
TSOIJLZ,X,X,X,O,O,X,X,X,X,X,X
TSOIJZL,O,O,O,O,O,X,X,X,X,X,X
TSOIZLJ,O,O,O,O,O,X,X,X,X,X,X
TSOIZJL,O,O,O,O,O,X,X,X,X,X,X
TSOLIJZ,X,X,X,O,O,X,X,X,X,X,X
TSOLIZJ,X,X,X,O,O,X,X,X,X,X,X
TSOLJIZ,X,X,X,O,O,X,X,X,X,X,X
TSOLJZI,X,X,X,O,O,X,X,X,X,X,X
TSOLZIJ,X,X,X,O,O,X,X,X,X,X,X
TSOLZJI,X,X,X,O,O,X,X,X,X,X,X
TSOJILZ,X,X,X,O,O,X,X,X,X,X,X
TSOJIZL,O,O,O,O,O,X,X,X,O,X,X
TSOJLIZ,X,X,X,O,O,X,X,X,X,X,X
TSOJLZI,X,X,X,O,O,X,X,X,X,X,X
TSOJZIL,O,O,O,O,O,X,X,X,O,X,X
TSOJZLI,O,O,O,O,O,X,X,X,O,X,X
TSOZILJ,O,O,O,O,O,X,X,X,X,X,O
TSOZIJL,O,O,O,O,O,X,X,X,X,X,O
TSOZLIJ,O,O,O,O,O,X,X,X,X,X,O
TSOZLJI,O,O,O,O,O,X,X,X,O,X,O
TSOZJIL,O,O,O,O,O,X,X,X,O,X,O
TSOZJLI,O,O,O,O,O,X,X,X,O,X,O
TZILJSO,O,O,X,O,O,O,O,X,X,O,X
TZILJOS,X,X,X,X,O,O,X,O,X,O,X
TZILSJO,O,O,X,O,O,O,O,X,O,O,X
TZILSOJ,X,O,X,O,O,O,O,X,X,X,X
TZILOJS,X,X,X,X,O,O,X,O,X,O,X
TZILOSJ,X,X,X,X,O,O,X,X,X,X,X
TZIJLSO,O,O,X,O,O,O,O,X,X,O,X
TZIJLOS,X,X,X,X,O,O,X,O,X,O,X
TZIJSLO,O,O,X,O,O,O,O,X,X,O,X
TZIJSOL,O,O,X,O,O,O,O,O,X,X,X
TZIJOLS,O,X,O,X,O,O,X,O,X,O,X
TZIJOSL,O,O,O,O,O,O,O,O,X,X,X
TZISLJO,O,O,X,O,O,O,O,X,O,O,X
TZISLOJ,X,O,X,O,O,O,O,X,X,X,O
TZISJLO,O,O,X,O,O,O,O,X,O,O,X
TZISJOL,O,O,X,O,O,O,O,O,O,X,O
TZISOLJ,O,O,X,O,O,O,O,X,X,X,O
TZISOJL,O,O,X,O,O,O,O,O,X,X,O
TZIOLJS,O,X,O,X,O,O,X,O,X,O,X
TZIOLSJ,O,X,O,X,O,O,X,X,X,X,X
TZIOJLS,O,X,O,X,O,O,X,O,X,O,X
TZIOJSL,O,O,O,O,O,O,O,O,X,X,X
TZIOSLJ,O,O,O,O,O,O,O,X,X,X,O
TZIOSJL,O,O,O,O,O,O,O,O,X,X,O
TZLIJSO,O,O,X,O,O,O,O,X,X,O,X
TZLIJOS,X,X,X,X,O,O,X,O,X,O,X
TZLISJO,O,O,X,O,O,O,O,X,O,O,X
TZLISOJ,X,O,X,O,O,O,O,X,X,X,X
TZLIOJS,X,X,X,X,O,O,X,O,X,O,X
TZLIOSJ,X,X,X,X,O,O,X,X,X,X,X
TZLJISO,O,O,X,O,O,O,O,X,X,O,X
TZLJIOS,X,X,X,X,O,O,X,O,X,O,X
TZLJSIO,O,O,X,O,O,O,O,X,O,X,X
TZLJSOI,X,O,X,O,O,O,O,X,O,X,X
TZLJOIS,X,X,X,X,O,O,X,O,X,X,X
TZLJOSI,X,X,X,X,O,O,X,X,X,X,X
TZLSIJO,O,O,X,O,O,O,O,X,O,O,X
TZLSIOJ,X,O,X,O,O,O,O,X,X,X,O
TZLSJIO,O,O,X,O,O,O,O,X,O,X,X
TZLSJOI,X,O,X,O,O,O,O,X,O,X,X
TZLSOIJ,X,O,X,O,O,O,O,X,X,X,O
TZLSOJI,X,O,X,O,O,O,O,X,O,X,O
TZLOIJS,X,X,X,X,O,O,X,O,X,O,X
TZLOISJ,X,X,X,X,O,O,X,X,X,X,X
TZLOJIS,X,X,X,X,O,O,X,O,X,X,X
TZLOJSI,X,X,X,X,O,O,X,X,X,X,X
TZLOSIJ,X,X,X,X,O,O,X,X,X,X,O
TZLOSJI,X,X,X,X,O,O,X,X,O,X,O
TZJILSO,O,O,X,O,O,O,O,X,X,O,X
TZJILOS,X,X,X,X,O,O,X,O,X,O,X
TZJISLO,O,O,X,O,O,O,O,X,X,O,X
TZJISOL,O,O,X,O,O,O,O,O,X,X,X
TZJIOLS,O,X,O,X,O,O,X,O,X,O,X
TZJIOSL,O,O,O,O,O,O,O,O,X,X,X
TZJLISO,O,O,X,O,O,O,O,X,X,O,X
TZJLIOS,X,X,X,X,O,O,X,O,X,O,X
TZJLSIO,O,O,X,O,O,O,O,X,O,X,X
TZJLSOI,X,O,X,O,O,O,O,X,O,X,X
TZJLOIS,X,X,X,X,O,O,X,O,X,X,X
TZJLOSI,X,X,X,X,O,O,X,X,X,X,X
TZJSILO,O,O,X,O,O,O,O,X,O,X,X
TZJSIOL,O,O,X,O,O,O,O,O,O,X,O
TZJSLIO,O,O,X,O,O,O,O,X,O,X,X
TZJSLOI,X,O,X,O,O,O,O,X,O,X,X
TZJSOIL,O,O,X,O,O,O,O,O,O,X,O
TZJSOLI,O,O,X,O,O,O,O,X,O,X,O
TZJOILS,O,X,O,X,O,O,X,O,X,X,X
TZJOISL,O,O,O,O,O,O,O,O,X,X,X
TZJOLIS,O,X,O,X,O,O,X,O,X,X,X
TZJOLSI,O,X,O,X,O,O,X,X,X,X,X
TZJOSIL,O,O,O,O,O,O,O,O,X,X,O
TZJOSLI,O,O,O,O,O,O,O,X,X,X,O
TZSILJO,O,O,X,O,O,O,O,X,O,O,X
TZSILOJ,X,O,X,O,O,O,O,X,X,X,O
TZSIJLO,O,O,X,O,O,O,O,X,O,O,X
TZSIJOL,O,O,X,O,O,O,O,O,O,X,O
TZSIOLJ,O,O,X,O,O,O,O,X,X,X,O
TZSIOJL,O,O,X,O,O,O,O,O,X,X,O
TZSLIJO,O,O,X,O,O,O,O,X,O,O,X
TZSLIOJ,X,O,X,O,O,O,O,X,X,X,O
TZSLJIO,O,O,X,O,O,O,O,X,O,X,X
TZSLJOI,X,O,X,O,O,O,O,X,O,X,X
TZSLOIJ,X,O,X,O,O,O,O,X,X,X,O
TZSLOJI,X,O,X,O,O,O,O,X,O,X,O
TZSJILO,O,O,X,O,O,O,O,X,O,X,X
TZSJIOL,O,O,X,O,O,O,O,O,O,X,O
TZSJLIO,O,O,X,O,O,O,O,X,O,X,X
TZSJLOI,X,O,X,O,O,O,O,X,O,X,X
TZSJOIL,O,O,X,O,O,O,O,O,O,X,O
TZSJOLI,O,O,X,O,O,O,O,X,O,X,O
TZSOILJ,O,O,X,O,O,O,O,X,X,X,O
TZSOIJL,O,O,X,O,O,O,O,O,X,X,O
TZSOLIJ,O,O,X,O,O,O,O,X,X,X,O
TZSOLJI,O,O,X,O,O,O,O,X,O,X,O
TZSOJIL,O,O,X,O,O,O,O,O,O,X,O
TZSOJLI,O,O,X,O,O,O,O,X,O,X,O
TZOILJS,O,X,O,X,O,O,X,O,X,O,X
TZOILSJ,O,X,O,X,O,O,X,X,X,X,X
TZOIJLS,O,X,O,X,O,O,X,O,X,O,X
TZOIJSL,O,O,O,O,O,O,O,O,X,X,X
TZOISLJ,O,O,O,O,O,O,O,X,X,X,O
TZOISJL,O,O,O,O,O,O,O,O,X,X,O
TZOLIJS,O,X,O,X,O,O,X,O,X,O,X
TZOLISJ,O,X,O,X,O,O,X,X,X,X,X
TZOLJIS,O,X,O,X,O,O,X,O,X,X,X
TZOLJSI,O,X,O,X,O,O,X,X,X,X,X
TZOLSIJ,O,X,O,X,O,O,X,X,X,X,O
TZOLSJI,O,X,O,X,O,O,X,X,O,X,O
TZOJILS,O,X,O,X,O,O,X,O,X,X,X
TZOJISL,O,O,O,O,O,O,O,O,X,X,X
TZOJLIS,O,X,O,X,O,O,X,O,X,X,X
TZOJLSI,O,X,O,X,O,O,X,X,X,X,X
TZOJSIL,O,O,O,O,O,O,O,O,X,X,O
TZOJSLI,O,O,O,O,O,O,O,X,X,X,O
TZOSILJ,O,O,O,O,O,O,O,X,X,X,O
TZOSIJL,O,O,O,O,O,O,O,O,X,X,O
TZOSLIJ,O,O,O,O,O,O,O,X,X,X,O
TZOSLJI,O,O,O,O,O,O,O,X,O,X,O
TZOSJIL,O,O,O,O,O,O,O,O,O,X,O
TZOSJLI,O,O,O,O,O,O,O,X,O,X,O
TOILJSZ,X,X,X,X,O,X,X,X,X,X,X
TOILJZS,O,X,X,X,O,O,X,X,X,X,X
TOILSJZ,X,X,X,X,O,X,X,X,X,X,X
TOILSZJ,X,X,X,X,O,X,X,X,X,X,X
TOILZJS,O,X,X,X,O,O,X,X,X,X,X
TOILZSJ,O,X,X,X,O,O,X,X,X,X,X
TOIJLSZ,X,X,X,X,O,X,X,X,X,X,X
TOIJLZS,O,X,X,X,O,O,X,X,X,X,X
TOIJSLZ,X,X,X,X,O,X,X,X,X,X,X
TOIJSZL,O,X,O,X,O,O,X,X,X,X,X
TOIJZLS,O,X,O,X,O,O,X,O,X,O,X
TOIJZSL,O,O,O,X,O,O,O,O,X,X,X
TOISLJZ,X,X,X,X,O,X,X,X,X,X,X
TOISLZJ,X,X,X,X,O,X,X,X,X,X,X
TOISJLZ,X,X,X,X,O,X,X,X,X,X,X
TOISJZL,O,X,O,X,O,O,X,X,X,X,X
TOISZLJ,O,X,O,X,O,O,X,X,X,X,X
TOISZJL,O,X,O,X,O,O,X,X,X,X,X
TOIZLJS,O,X,O,X,O,O,X,O,X,O,X
TOIZLSJ,O,X,O,X,O,O,X,X,X,X,X
TOIZJLS,O,X,O,X,O,O,X,O,X,O,X
TOIZJSL,O,O,O,X,O,O,O,O,X,X,X
TOIZSLJ,O,O,O,X,O,O,O,X,X,X,O
TOIZSJL,O,O,O,X,O,O,O,O,X,X,O
TOLIJSZ,X,X,X,X,O,X,X,X,X,X,X
TOLIJZS,O,X,X,X,O,O,X,X,X,X,X
TOLISJZ,X,X,X,X,O,X,X,X,X,X,X
TOLISZJ,X,X,X,X,O,X,X,X,X,X,X
TOLIZJS,O,X,X,X,O,O,X,X,X,X,X
TOLIZSJ,O,X,X,X,O,O,X,X,X,X,X
TOLJISZ,X,X,X,X,O,X,X,X,X,X,X
TOLJIZS,O,X,X,X,O,O,X,X,X,X,X
TOLJSIZ,X,X,X,X,O,X,X,X,X,X,X
TOLJSZI,X,X,X,X,O,X,X,X,X,X,X
TOLJZIS,O,X,X,X,O,O,X,X,X,X,X
TOLJZSI,O,X,X,X,O,O,X,X,X,X,X
TOLSIJZ,X,X,X,X,O,X,X,X,X,X,X
TOLSIZJ,X,X,X,X,O,X,X,X,X,X,X
TOLSJIZ,X,X,X,X,O,X,X,X,X,X,X
TOLSJZI,X,X,X,X,O,X,X,X,X,X,X
TOLSZIJ,X,X,X,X,O,X,X,X,X,X,X
TOLSZJI,X,X,X,X,O,X,X,X,X,X,X
TOLZIJS,O,X,X,X,O,O,X,X,X,X,X
TOLZISJ,O,X,X,X,O,O,X,X,X,X,X
TOLZJIS,O,X,X,X,O,O,X,X,X,X,X
TOLZJSI,O,X,X,X,O,O,X,X,X,X,X
TOLZSIJ,O,X,X,X,O,O,X,X,X,X,O
TOLZSJI,O,X,X,X,O,O,X,X,X,X,O
TOJILSZ,X,X,X,X,O,X,X,X,X,X,X
TOJILZS,O,X,X,X,O,O,X,X,X,X,X
TOJISLZ,X,X,X,X,O,X,X,X,X,X,X
TOJISZL,O,X,O,X,O,O,X,X,X,X,X
TOJIZLS,O,X,O,X,O,O,X,O,X,X,X
TOJIZSL,O,O,O,X,O,O,O,O,X,X,X
TOJLISZ,X,X,X,X,O,X,X,X,X,X,X
TOJLIZS,O,X,X,X,O,O,X,X,X,X,X
TOJLSIZ,X,X,X,X,O,X,X,X,X,X,X
TOJLSZI,X,X,X,X,O,X,X,X,X,X,X
TOJLZIS,O,X,X,X,O,O,X,X,X,X,X
TOJLZSI,O,X,X,X,O,O,X,X,X,X,X
TOJSILZ,X,X,X,X,O,X,X,X,X,X,X
TOJSIZL,O,X,O,X,O,O,X,X,X,X,X
TOJSLIZ,X,X,X,X,O,X,X,X,X,X,X
TOJSLZI,X,X,X,X,O,X,X,X,X,X,X
TOJSZIL,O,X,O,X,O,O,X,X,X,X,X
TOJSZLI,O,X,O,X,O,O,X,X,X,X,X
TOJZILS,O,X,O,X,O,O,X,O,X,X,X
TOJZISL,O,O,O,X,O,O,O,O,X,X,X
TOJZLIS,O,X,O,X,O,O,X,O,X,X,X
TOJZLSI,O,X,O,X,O,O,X,X,X,X,X
TOJZSIL,O,O,O,X,O,O,O,O,X,X,O
TOJZSLI,O,O,O,X,O,O,O,X,X,X,O
TOSILJZ,X,X,X,X,O,X,X,X,X,X,X
TOSILZJ,X,X,X,X,O,X,X,X,X,X,X
TOSIJLZ,X,X,X,X,O,X,X,X,X,X,X
TOSIJZL,O,X,O,X,O,O,X,X,X,X,X
TOSIZLJ,O,X,O,X,O,O,X,X,X,X,X
TOSIZJL,O,X,O,X,O,O,X,X,X,X,X
TOSLIJZ,X,X,X,X,O,X,X,X,X,X,X
TOSLIZJ,X,X,X,X,O,X,X,X,X,X,X
TOSLJIZ,X,X,X,X,O,X,X,X,X,X,X
TOSLJZI,X,X,X,X,O,X,X,X,X,X,X
TOSLZIJ,X,X,X,X,O,X,X,X,X,X,X
TOSLZJI,X,X,X,X,O,X,X,X,X,X,X
TOSJILZ,X,X,X,X,O,X,X,X,X,X,X
TOSJIZL,O,X,O,X,O,O,X,X,O,X,X
TOSJLIZ,X,X,X,X,O,X,X,X,X,X,X
TOSJLZI,X,X,X,X,O,X,X,X,X,X,X
TOSJZIL,O,X,O,X,O,O,X,X,O,X,X
TOSJZLI,O,X,O,X,O,O,X,X,O,X,X
TOSZILJ,O,X,O,X,O,O,X,X,X,X,O
TOSZIJL,O,X,O,X,O,O,X,X,X,X,O
TOSZLIJ,O,X,O,X,O,O,X,X,X,X,O
TOSZLJI,O,X,O,X,O,O,X,X,O,X,O
TOSZJIL,O,X,O,X,O,O,X,X,O,X,O
TOSZJLI,O,X,O,X,O,O,X,X,O,X,O
TOZILJS,O,X,O,X,O,O,X,O,X,O,X
TOZILSJ,O,X,O,X,O,O,X,X,X,X,X
TOZIJLS,O,X,O,X,O,O,X,O,X,O,X
TOZIJSL,O,O,O,X,O,O,O,O,X,X,X
TOZISLJ,O,O,O,X,O,O,O,X,X,X,O
TOZISJL,O,O,O,X,O,O,O,O,X,X,O
TOZLIJS,O,X,O,X,O,O,X,O,X,O,X
TOZLISJ,O,X,O,X,O,O,X,X,X,X,X
TOZLJIS,O,X,O,X,O,O,X,O,X,X,X
TOZLJSI,O,X,O,X,O,O,X,X,X,X,X
TOZLSIJ,O,X,O,X,O,O,X,X,X,X,O
TOZLSJI,O,X,O,X,O,O,X,X,O,X,O
TOZJILS,O,X,O,X,O,O,X,O,X,X,X
TOZJISL,O,O,O,X,O,O,O,O,X,X,X
TOZJLIS,O,X,O,X,O,O,X,O,X,X,X
TOZJLSI,O,X,O,X,O,O,X,X,X,X,X
TOZJSIL,O,O,O,X,O,O,O,O,X,X,O
TOZJSLI,O,O,O,X,O,O,O,X,X,X,O
TOZSILJ,O,O,O,X,O,O,O,X,X,X,O
TOZSIJL,O,O,O,X,O,O,O,O,X,X,O
TOZSLIJ,O,O,O,X,O,O,O,X,X,X,O
TOZSLJI,O,O,O,X,O,O,O,X,O,X,O
TOZSJIL,O,O,O,X,O,O,O,O,O,X,O
TOZSJLI,O,O,O,X,O,O,O,X,O,X,O
ITLJSZO,X,X,X,O,O,O,X,X,X,X,X
ITLJSOZ,X,X,X,O,X,O,X,X,X,X,X
ITLJZSO,O,O,X,O,O,O,O,X,X,O,X
ITLJZOS,X,X,X,O,O,O,X,O,X,O,X
ITLJOSZ,X,X,X,X,X,O,X,X,X,X,X
ITLJOZS,O,X,X,O,X,O,X,X,X,X,X
ITLSJZO,X,X,X,O,O,O,X,X,X,X,X
ITLSJOZ,X,X,X,O,X,O,X,X,X,X,X
ITLSZJO,X,X,X,O,O,O,X,X,X,X,X
ITLSZOJ,X,X,X,O,O,O,X,X,X,X,X
ITLSOJZ,X,X,X,O,X,O,X,X,X,X,X
ITLSOZJ,X,X,X,O,X,O,X,X,X,X,X
ITLZJSO,O,O,X,O,O,O,O,X,X,O,X
ITLZJOS,X,X,X,O,O,O,X,O,X,O,X
ITLZSJO,O,O,X,O,O,O,O,X,X,O,X
ITLZSOJ,X,O,X,O,O,O,O,X,X,X,X
ITLZOJS,X,X,X,O,O,O,X,O,X,O,X
ITLZOSJ,X,X,X,O,O,O,X,X,X,X,X
ITLOJSZ,X,X,X,X,X,O,X,X,X,X,X
ITLOJZS,O,X,X,O,X,O,X,X,X,X,X
ITLOSJZ,X,X,X,X,X,O,X,X,X,X,X
ITLOSZJ,X,X,X,X,X,O,X,X,X,X,X
ITLOZJS,O,X,X,O,X,O,X,X,X,X,X
ITLOZSJ,O,X,X,O,X,O,X,X,X,X,X
ITJLSZO,X,X,X,O,O,O,X,X,X,X,X
ITJLSOZ,X,X,X,O,X,O,X,X,X,X,X
ITJLZSO,O,O,X,O,O,O,O,X,X,O,X
ITJLZOS,X,X,X,O,O,O,X,O,X,O,X
ITJLOSZ,X,X,X,X,X,O,X,X,X,X,X
ITJLOZS,O,X,X,O,X,O,X,X,X,X,X
ITJSLZO,X,X,X,O,O,X,X,X,X,X,X
ITJSLOZ,X,X,X,O,X,X,X,X,X,X,X
ITJSZLO,O,O,X,O,O,X,O,X,X,O,X
ITJSZOL,O,O,X,O,O,X,O,O,X,X,X
ITJSOLZ,X,X,X,O,O,X,X,X,X,X,X
ITJSOZL,O,O,O,O,O,X,X,X,X,X,X
ITJZLSO,O,O,X,O,O,O,O,X,X,O,X
ITJZLOS,X,X,X,X,O,O,X,O,X,O,X
ITJZSLO,O,O,X,O,O,O,O,X,X,O,X
ITJZSOL,O,O,X,O,O,O,O,O,X,X,X
ITJZOLS,O,X,O,X,O,O,X,O,X,O,X
ITJZOSL,O,O,O,O,O,O,O,O,X,X,X
ITJOLSZ,X,X,X,X,O,X,X,X,X,X,X
ITJOLZS,O,X,X,X,O,O,X,X,X,X,X
ITJOSLZ,X,X,X,X,O,X,X,X,X,X,X
ITJOSZL,O,X,O,X,O,O,X,X,X,X,X
ITJOZLS,O,X,O,X,O,O,X,O,X,O,X
ITJOZSL,O,O,O,X,O,O,O,O,X,X,X
ITSLJZO,X,X,X,O,O,X,X,X,X,X,X
ITSLJOZ,X,X,X,O,X,X,X,X,X,X,X
ITSLZJO,X,X,X,O,O,X,X,X,X,X,X
ITSLZOJ,X,X,X,O,O,X,X,X,X,X,X
ITSLOJZ,X,X,X,O,X,X,X,X,X,X,X
ITSLOZJ,X,X,X,O,X,X,X,X,X,X,X
ITSJLZO,X,X,X,O,O,X,X,X,O,X,X
ITSJLOZ,X,X,X,O,X,X,X,X,X,X,X
ITSJZLO,O,O,X,O,O,X,O,X,O,O,X
ITSJZOL,O,O,X,O,O,X,O,O,O,X,X
ITSJOLZ,X,X,X,O,O,X,X,X,X,X,X
ITSJOZL,O,O,O,O,O,X,X,X,O,X,X
ITSZLJO,O,O,X,O,O,X,O,X,O,O,X
ITSZLOJ,X,O,X,O,X,X,O,X,X,X,X
ITSZJLO,O,O,X,O,O,X,O,X,O,O,X
ITSZJOL,O,O,X,O,O,X,O,O,O,X,X
ITSZOLJ,X,O,X,O,X,X,O,X,X,X,X
ITSZOJL,O,O,X,O,O,X,O,O,X,X,X
ITSOLJZ,X,X,X,O,O,X,X,X,X,X,X
ITSOLZJ,X,X,X,O,O,X,X,X,X,X,X
ITSOJLZ,X,X,X,O,O,X,X,X,X,X,X
ITSOJZL,O,O,O,O,O,X,X,X,X,X,X
ITSOZLJ,O,O,O,O,O,X,X,X,X,X,X
ITSOZJL,O,O,O,O,O,X,X,X,X,X,X
ITZLJSO,O,O,X,O,O,O,O,X,X,O,X
ITZLJOS,X,X,X,X,O,O,X,O,X,O,X
ITZLSJO,O,O,X,O,O,O,O,X,O,O,X
ITZLSOJ,X,O,X,O,O,O,O,X,X,X,X
ITZLOJS,X,X,X,X,O,O,X,O,X,O,X
ITZLOSJ,X,X,X,X,O,O,X,X,X,X,X
ITZJLSO,O,O,X,O,O,O,O,X,X,O,X
ITZJLOS,X,X,X,X,O,O,X,O,X,O,X
ITZJSLO,O,O,X,O,O,O,O,X,X,O,X
ITZJSOL,O,O,X,O,O,O,O,O,X,X,X
ITZJOLS,O,X,O,X,O,O,X,O,X,O,X
ITZJOSL,O,O,O,O,O,O,O,O,X,X,X
ITZSLJO,O,O,X,O,O,O,O,X,O,O,X
ITZSLOJ,X,O,X,O,O,O,O,X,X,X,O
ITZSJLO,O,O,X,O,O,O,O,X,O,O,X
ITZSJOL,O,O,X,O,O,O,O,O,O,X,O
ITZSOLJ,O,O,X,O,O,O,O,X,X,X,O
ITZSOJL,O,O,X,O,O,O,O,O,X,X,O
ITZOLJS,O,X,O,X,O,O,X,O,X,O,X
ITZOLSJ,O,X,O,X,O,O,X,X,X,X,X
ITZOJLS,O,X,O,X,O,O,X,O,X,O,X
ITZOJSL,O,O,O,O,O,O,O,O,X,X,X
ITZOSLJ,O,O,O,O,O,O,O,X,X,X,O
ITZOSJL,O,O,O,O,O,O,O,O,X,X,O
ITOLJSZ,X,X,X,X,O,X,X,X,X,X,X
ITOLJZS,O,X,X,X,O,O,X,X,X,X,X
ITOLSJZ,X,X,X,X,O,X,X,X,X,X,X
ITOLSZJ,X,X,X,X,O,X,X,X,X,X,X
ITOLZJS,O,X,X,X,O,O,X,X,X,X,X
ITOLZSJ,O,X,X,X,O,O,X,X,X,X,X
ITOJLSZ,X,X,X,X,O,X,X,X,X,X,X
ITOJLZS,O,X,X,X,O,O,X,X,X,X,X
ITOJSLZ,X,X,X,X,O,X,X,X,X,X,X
ITOJSZL,O,X,O,X,O,O,X,X,X,X,X
ITOJZLS,O,X,O,X,O,O,X,O,X,O,X
ITOJZSL,O,O,O,X,O,O,O,O,X,X,X
ITOSLJZ,X,X,X,X,O,X,X,X,X,X,X
ITOSLZJ,X,X,X,X,O,X,X,X,X,X,X
ITOSJLZ,X,X,X,X,O,X,X,X,X,X,X
ITOSJZL,O,X,O,X,O,O,X,X,X,X,X
ITOSZLJ,O,X,O,X,O,O,X,X,X,X,X
ITOSZJL,O,X,O,X,O,O,X,X,X,X,X
ITOZLJS,O,X,O,X,O,O,X,O,X,O,X
ITOZLSJ,O,X,O,X,O,O,X,X,X,X,X
ITOZJLS,O,X,O,X,O,O,X,O,X,O,X
ITOZJSL,O,O,O,X,O,O,O,O,X,X,X
ITOZSLJ,O,O,O,X,O,O,O,X,X,X,O
ITOZSJL,O,O,O,X,O,O,O,O,X,X,O
ILTJSZO,X,X,X,O,O,O,X,X,X,X,X
ILTJSOZ,X,X,X,O,X,O,X,X,X,X,X
ILTJZSO,O,O,X,O,O,O,O,X,X,O,X
ILTJZOS,X,X,X,O,O,O,X,O,X,O,X
ILTJOSZ,X,X,X,X,X,O,X,X,X,X,X
ILTJOZS,O,X,X,O,X,O,X,X,X,X,X
ILTSJZO,X,X,X,O,O,O,X,X,X,X,X
ILTSJOZ,X,X,X,O,X,O,X,X,X,X,X
ILTSZJO,X,X,X,O,O,O,X,X,X,X,X
ILTSZOJ,X,X,X,O,O,O,X,X,X,X,X
ILTSOJZ,X,X,X,O,X,O,X,X,X,X,X
ILTSOZJ,X,X,X,O,X,O,X,X,X,X,X
ILTZJSO,O,O,X,O,O,O,O,X,X,O,X
ILTZJOS,X,X,X,O,O,O,X,O,X,O,X
ILTZSJO,O,O,X,O,O,O,O,X,X,O,X
ILTZSOJ,X,O,X,O,O,O,O,X,X,X,X
ILTZOJS,X,X,X,O,O,O,X,O,X,O,X
ILTZOSJ,X,X,X,O,O,O,X,X,X,X,X
ILTOJSZ,X,X,X,X,X,O,X,X,X,X,X
ILTOJZS,O,X,X,O,X,O,X,X,X,X,X
ILTOSJZ,X,X,X,X,X,O,X,X,X,X,X
ILTOSZJ,X,X,X,X,X,O,X,X,X,X,X
ILTOZJS,O,X,X,O,X,O,X,X,X,X,X
ILTOZSJ,O,X,X,O,X,O,X,X,X,X,X
ILJTSZO,X,X,X,O,O,O,X,X,X,X,X
ILJTSOZ,X,X,X,O,X,O,X,X,X,X,X
ILJTZSO,O,O,X,O,O,O,O,X,X,O,X
ILJTZOS,X,X,X,O,O,O,X,O,X,O,X
ILJTOSZ,X,X,X,X,X,O,X,X,X,X,X
ILJTOZS,O,X,X,O,X,O,X,X,X,X,X
ILJSTZO,X,X,X,O,O,O,X,X,X,X,X
ILJSTOZ,X,X,X,O,X,O,X,X,X,X,X
ILJSZTO,X,O,X,O,O,O,X,X,X,X,X
