sequence,v115@AhA8IeB8GeC8EeF8Nem/IvhFxhB6oBTkBfsBUtBlsB,v115@AhA8IeB8GeC8EeF8Nem/IvhFlhBUjBTkBXnBStBxxB,v115@AhA8IeB8GeC8EeF8NeOEJvhF8kBlhBXnBToBCoBxxB,v115@AhA8IeB8GeC8EeF8Nem/IvhFlhBTkB6tBRsBcsBXtB,v115@AhA8IeB8GeC8EeF8NeKEJvhFzfB0hBxiBFsBXtBGtB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFXjBlkB+tBikBRsBTsB,v115@AhA8IeB8GeC8EeF8Nei/IvhFziB+oB3kBUnBlmBxxB,v115@AhA8IeB8GeC8EeF8NeOEJvhF8kBxhBzmBFtB6tB3sB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFXjBikB+tBlkBRsBTsB,v115@AhA8IeB8GeC8EeF8Ne2EJvhFziB5oBUnB3kBlmByxB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFTjBlkBWtBikBXnBxxB,v115@AhA8IeB8GeC8EeF8NeXCJvhFTjBlkBWtBikB0mBxxB,v115@AhA8IeB8GeC8EeF8NeXCJvhFTjBikBWtBlkB0mBxxB
ISJZTLO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISJZTOL,X,O,O,X,X,X,O,X,X,X,O,O,X
ISJZLTO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISJZLOT,O,X,O,X,X,X,O,X,X,X,X,X,O
ISJZOTL,O,O,O,X,X,X,O,X,X,X,O,O,X
ISJZOLT,O,O,O,X,X,X,O,X,X,X,X,X,O
ISJOTLZ,X,O,X,X,X,X,O,X,X,X,X,O,O
ISJOTZL,O,O,O,X,X,X,O,X,X,X,O,O,X
ISJOLTZ,X,O,X,X,X,X,O,X,X,X,X,O,O
ISJOLZT,O,O,X,X,X,X,O,X,X,X,X,X,O
ISJOZTL,O,O,O,X,X,X,O,X,X,X,O,O,X
ISJOZLT,O,O,O,X,X,X,O,X,X,X,X,X,O
ISZTLJO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZTJLO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZTJOL,X,O,O,X,X,X,O,X,X,X,O,X,X
ISZTOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZLTJO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZLTOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZLJTO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZLJOT,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZLOTJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,O,O,X,X,X,O,X,X,X,X,X,X
ISZJTLO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZJTOL,X,O,O,X,X,X,O,X,X,X,O,X,X
ISZJLTO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZJLOT,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZJOTL,O,O,O,X,X,X,O,O,X,X,O,X,X
ISZJOLT,O,O,O,X,X,X,O,X,X,X,X,X,X
ISZOTLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X,O,X,X,X,X,X
ISZOLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,O,O,X,X,X,O,X,X,X,X,X,X
ISZOJTL,O,O,O,X,X,X,O,O,X,X,X,X,X
ISZOJLT,O,O,O,X,X,X,O,X,X,X,X,X,X
ISOTLJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISOTLZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
ISOTJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISOTJZL,O,O,O,X,X,X,X,X,X,X,X,X,X
ISOTZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISOTZJL,O,O,O,X,X,X,X,O,X,X,X,X,X
ISOLTJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISOLTZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
ISOLJTZ,X,O,X,O,X,X,O,X,X,X,X,X,X
ISOLJZT,O,O,X,O,X,X,O,X,X,X,X,X,X
ISOLZTJ,O,O,O,O,X,X,X,X,X,X,X,X,X
ISOLZJT,O,O,O,O,X,X,O,X,X,X,X,X,X
ISOJTLZ,X,O,X,O,X,X,O,X,X,X,X,X,X
ISOJTZL,O,O,O,X,X,X,O,X,X,X,X,X,X
ISOJLTZ,X,O,X,O,X,X,O,X,X,X,X,X,X
ISOJLZT,O,O,X,O,X,X,O,X,X,X,X,X,X
ISOJZTL,O,O,O,X,X,X,O,X,X,X,X,X,X
ISOJZLT,O,O,O,X,X,X,O,X,X,X,X,X,X
ISOZTLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISOZTJL,O,O,O,X,X,X,X,O,X,X,X,X,X
ISOZLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,O,O,X,X,X,O,X,X,X,X,X,X
ISOZJTL,O,O,O,X,X,X,O,O,X,X,X,X,X
ISOZJLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZTLJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
IZTLJOS,O,X,X,X,O,X,X,X,X,X,O,X,X
IZTLSJO,X,X,O,X,O,X,X,X,X,X,X,X,X
IZTLSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
IZTLOJS,O,X,X,O,O,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTJLSO,O,X,O,X,X,O,X,X,X,X,X,X,X
IZTJLOS,O,X,X,X,O,X,X,X,X,X,O,X,X
IZTJSLO,X,X,O,X,X,O,O,X,X,X,X,X,X
IZTJSOL,X,X,O,X,X,O,O,X,X,X,O,O,X
IZTJOLS,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTJOSL,X,X,O,X,X,O,O,O,X,X,O,O,X
IZTSLJO,X,X,O,X,O,X,O,X,X,X,X,X,X
IZTSLOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
IZTSJLO,X,X,O,X,O,X,O,X,X,X,X,X,X
IZTSJOL,X,O,O,X,X,X,O,X,X,X,O,X,X
IZTSOLJ,X,O,O,X,O,X,X,X,X,X,X,X,X
IZTSOJL,X,O,O,X,X,X,X,X,X,X,X,X,X
IZTOLJS,O,X,X,O,O,X,X,O,X,X,X,X,X
IZTOLSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTOJLS,O,X,X,O,X,X,X,O,X,X,O,X,X
IZTOJSL,X,O,O,X,X,X,X,O,X,X,O,X,X
IZTOSLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
IZTOSJL,X,O,O,X,X,X,X,O,X,X,X,X,X
IZLTJSO,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLTJOS,O,X,X,X,O,X,X,X,X,O,O,X,X
IZLTSJO,X,X,O,X,O,X,X,X,X,X,X,X,X
IZLTSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
IZLTOJS,O,X,X,O,O,X,X,X,X,O,X,X,X
IZLTOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLJTSO,O,X,O,X,X,X,X,X,O,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X,X,X,O,O,X,X
IZLJSTO,O,X,O,X,X,X,O,X,O,X,X,X,X
IZLJSOT,O,X,O,X,X,X,O,X,O,O,X,X,O
IZLJOTS,O,X,X,X,O,X,X,O,X,O,O,X,X
IZLJOST,O,X,O,X,X,X,O,X,O,O,X,X,O
IZLSTJO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZLSTOJ,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLSJTO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZLSJOT,O,X,O,X,X,X,O,X,X,O,X,X,X
IZLSOTJ,O,X,O,X,O,X,X,X,X,X,X,X,X
IZLSOJT,O,X,O,X,X,X,O,X,X,O,X,X,X
IZLOTJS,O,X,X,O,O,X,X,O,X,O,X,X,X
IZLOTSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLOJTS,O,X,X,O,O,X,X,O,X,O,X,X,X
IZLOJST,O,X,O,O,X,X,X,X,X,O,X,X,X
IZLOSTJ,O,X,O,O,O,X,X,X,X,X,X,X,X
IZLOSJT,O,X,O,O,X,X,X,X,X,O,X,X,X
IZJTLSO,O,X,O,X,X,O,X,X,O,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X,X,X,X,O,X,X
IZJTSLO,X,X,O,X,X,O,O,X,O,X,X,X,X
IZJTSOL,X,X,O,X,X,O,O,X,X,X,O,O,X
IZJTOLS,X,X,X,X,X,X,X,O,X,X,O,X,X
IZJTOSL,X,X,O,X,X,O,O,O,X,X,O,O,X
IZJLTSO,O,X,O,X,X,O,X,X,O,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X,X,O,O,X,X
IZJLSTO,O,X,O,X,X,O,O,X,O,X,X,X,X
IZJLSOT,O,X,O,X,X,X,O,X,O,O,X,X,O
IZJLOTS,O,X,X,X,O,X,X,O,X,O,O,X,X
IZJLOST,O,X,O,X,X,X,O,X,O,O,X,X,O
IZJSTLO,O,X,O,X,X,O,O,X,O,X,X,X,X
IZJSTOL,X,X,O,X,X,O,O,X,X,X,O,O,X
IZJSLTO,O,X,O,X,X,O,O,X,O,X,X,X,X
IZJSLOT,O,X,O,X,X,X,O,X,O,X,X,X,O
IZJSOTL,X,X,O,X,X,O,O,O,X,X,O,O,X
IZJSOLT,O,X,O,X,X,X,O,X,O,X,X,X,O
IZJOTLS,O,X,X,X,X,X,X,O,X,X,O,X,X
IZJOTSL,X,X,O,X,X,O,O,O,X,X,O,O,X
IZJOLTS,O,X,X,X,X,X,X,O,X,X,O,X,X
IZJOLST,O,X,O,X,X,X,O,X,O,X,X,X,O
IZJOSTL,X,X,O,X,X,O,O,O,X,X,O,O,X
IZJOSLT,O,X,O,X,X,X,O,X,O,X,X,X,O
IZSTLJO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSTLOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSTJLO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSTJOL,X,O,O,X,X,X,O,X,X,X,O,X,X
IZSTOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSLTOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSLJOT,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSLOTJ,O,O,O,X,O,X,X,X,X,X,X,X,X
IZSLOJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZSJTLO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSJTOL,X,O,O,X,X,X,O,X,X,X,O,X,X
IZSJLTO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSJLOT,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSJOTL,O,O,O,X,X,X,O,O,X,X,O,X,X
IZSJOLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZSOTLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,O,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZSOJTL,O,O,O,X,X,X,O,O,X,X,X,X,X
IZSOJLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZOTLJS,O,X,X,O,X,X,X,O,X,X,X,X,X
IZOTLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTJLS,O,X,X,O,X,X,X,O,X,X,O,X,X
IZOTJSL,X,O,O,X,X,X,X,O,X,X,O,X,X
IZOTSLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOTSJL,X,O,O,X,X,X,X,O,X,X,X,X,X
IZOLTJS,O,X,X,O,O,X,X,O,X,X,X,X,X
IZOLTSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOLJTS,O,X,X,O,O,X,X,O,X,X,X,X,X
IZOLJST,O,X,O,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,O,O,O,X,X,X,X,X,X,X,X
IZOLSJT,O,X,O,O,X,X,X,X,X,X,X,X,X
IZOJTLS,O,X,X,O,X,X,X,O,X,X,O,X,X
IZOJTSL,X,O,O,X,X,X,O,O,X,X,O,X,X
IZOJLTS,O,X,X,O,X,X,X,O,X,X,O,X,X
IZOJLST,O,X,O,O,X,X,O,X,X,X,X,X,X
IZOJSTL,O,O,O,X,X,X,O,O,X,X,O,X,X
IZOJSLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZOSTLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOSTJL,O,O,O,X,X,X,X,O,X,X,X,X,X
IZOSLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOSLJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZOSJTL,O,O,O,X,X,X,O,O,X,X,X,X,X
IZOSJLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOTLJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTLJZS,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTLSJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTLSZJ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTLZJS,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTLZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,O,X,O,X,X,X,X,X,X,X,O,X
IOTJLZS,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTJSLZ,X,O,X,O,X,X,X,X,X,X,X,O,X
IOTJSZL,O,O,X,X,X,X,X,X,X,X,O,O,X
IOTJZLS,O,X,X,O,X,X,X,O,X,X,O,X,X
IOTJZSL,X,O,X,X,X,X,X,O,X,X,O,O,X
IOTSLJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
IOTSJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTSJZL,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTSZJL,O,O,O,X,X,X,X,O,X,X,X,X,X
IOTZLJS,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTZLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTZJLS,O,X,X,O,X,X,X,O,X,X,O,X,X
IOTZJSL,X,O,O,X,X,X,X,O,X,X,O,X,X
IOTZSLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTZSJL,X,O,O,X,X,X,X,O,X,X,X,X,X
IOLTJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLTSJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLTSZJ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLTZJS,X,X,X,O,X,X,X,O,X,O,X,X,X
IOLTZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,O,X,O,X,X,X,X,X,X,X,X,O
IOLJTZS,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLJSTZ,X,O,X,O,X,X,X,X,X,X,X,X,O
IOLJSZT,O,O,X,O,X,X,X,X,X,O,X,X,O
IOLJZTS,O,X,X,O,X,X,X,X,X,O,X,X,X
IOLJZST,O,X,X,O,X,X,X,X,X,O,X,X,O
IOLSTJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLSJTZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,X,O,X,X,X,X,X,O,X,X,X
IOLSZTJ,O,O,O,O,X,X,X,X,X,X,X,X,X
IOLSZJT,O,O,O,O,X,X,X,X,X,O,X,X,X
IOLZTJS,O,X,X,O,X,X,X,O,X,O,X,X,X
IOLZTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJTS,O,X,X,O,X,X,X,O,X,O,X,X,X
IOLZJST,O,X,O,O,X,X,X,X,X,O,X,X,X
IOLZSTJ,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,O,O,X,X,X,X,X,O,X,X,X
IOJTLSZ,X,O,X,O,X,X,X,X,X,X,X,O,O
IOJTLZS,X,X,X,O,X,X,X,X,X,X,O,X,X
IOJTSLZ,X,O,X,O,X,X,O,X,X,X,X,O,O
IOJTSZL,O,O,X,X,X,X,O,X,X,X,O,O,X
IOJTZLS,O,X,X,O,X,X,X,O,X,X,O,X,X
IOJTZSL,X,O,X,X,X,X,O,O,X,X,O,O,X
IOJLTSZ,X,O,X,O,X,X,X,X,X,X,X,O,O
IOJLTZS,X,X,X,O,X,X,X,X,X,O,O,X,X
IOJLSTZ,X,O,X,O,X,X,O,X,X,X,X,O,O
IOJLSZT,O,O,X,O,X,X,O,X,X,O,X,X,O
IOJLZTS,O,X,X,O,X,X,X,X,X,O,O,X,X
IOJLZST,O,X,X,O,X,X,O,X,X,O,X,X,O
IOJSTLZ,X,O,X,O,X,X,O,X,X,X,X,O,O
IOJSTZL,O,O,O,X,X,X,O,X,X,X,O,O,X
IOJSLTZ,X,O,X,O,X,X,O,X,X,X,X,O,O
IOJSLZT,O,O,X,O,X,X,O,X,X,X,X,X,O
IOJSZTL,O,O,O,X,X,X,O,X,X,X,O,O,X
IOJSZLT,O,O,O,X,X,X,O,X,X,X,X,X,O
IOJZTLS,O,X,X,O,X,X,X,O,X,X,O,X,X
IOJZTSL,X,O,O,X,X,X,O,O,X,X,O,O,X
IOJZLTS,O,X,X,O,X,X,X,O,X,X,O,X,X
IOJZLST,O,X,O,O,X,X,O,X,X,X,X,X,O
IOJZSTL,O,O,O,X,X,X,O,O,X,X,O,O,X
IOJZSLT,O,O,O,X,X,X,O,X,X,X,X,X,O
IOSTLJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSTJZL,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSTZJL,O,O,O,X,X,X,X,O,X,X,X,X,X
IOSLTJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSLJZT,O,O,X,O,X,X,O,X,X,X,X,X,X
IOSLZTJ,O,O,O,O,X,X,X,X,X,X,X,X,X
IOSLZJT,O,O,O,O,X,X,O,X,X,X,X,X,X
IOSJTLZ,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSJTZL,O,O,O,X,X,X,O,X,X,X,X,X,X
IOSJLTZ,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSJLZT,O,O,X,O,X,X,O,X,X,X,X,X,X
IOSJZTL,O,O,O,X,X,X,O,X,X,X,X,X,X
IOSJZLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOSZTLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSZTJL,O,O,O,X,X,X,X,O,X,X,X,X,X
IOSZLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSZLJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOSZJTL,O,O,O,X,X,X,O,O,X,X,X,X,X
IOSZJLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOZTLJS,O,X,X,O,X,X,X,O,X,X,X,X,X
IOZTLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZTJLS,O,X,X,O,X,X,X,O,X,X,O,X,X
IOZTJSL,X,O,O,X,X,X,X,O,X,X,O,X,X
IOZTSLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,O,O,X,X,X,X,O,X,X,X,X,X
IOZLTJS,O,X,X,O,X,X,X,O,X,X,X,X,X
IOZLTSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZLJTS,O,X,X,O,X,X,X,O,X,X,X,X,X
IOZLJST,O,X,O,O,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,O,O,X,X,X,X,X,X,X,X,X
IOZLSJT,O,X,O,O,X,X,X,X,X,X,X,X,X
IOZJTLS,O,X,X,O,X,X,X,O,X,X,O,X,X
IOZJTSL,X,O,O,X,X,X,O,O,X,X,O,X,X
IOZJLTS,O,X,X,O,X,X,X,O,X,X,O,X,X
IOZJLST,O,X,O,O,X,X,O,X,X,X,X,X,X
IOZJSTL,O,O,O,X,X,X,O,O,X,X,O,X,X
IOZJSLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOZSTLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZSTJL,O,O,O,X,X,X,X,O,X,X,X,X,X
IOZSLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZSLJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOZSJTL,O,O,O,X,X,X,O,O,X,X,X,X,X
IOZSJLT,O,O,O,X,X,X,O,X,X,X,X,X,X
LTIJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,X,X,X,X,X,X,X,O,O
LTIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,X,X,X,X,X,X,X,X,X,O,O,X,X
LTIJOSZ,X,X,X,O,X,X,X,X,X,X,X,O,O
LTIJOZS,X,X,X,O,X,X,X,X,X,O,O,X,X
LTISJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISJOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISZJO,X,X,O,X,O,X,X,X,X,X,X,X,X
LTISZOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
LTISOJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
LTISOZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
LTIZJSO,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIZJOS,X,X,X,X,O,X,X,X,X,O,O,X,X
LTIZSJO,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIZOJS,X,X,X,O,O,X,X,X,X,O,X,X,X
LTIZOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
LTIOJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIOJZS,X,X,X,O,X,X,X,X,X,O,X,X,X
LTIOSJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
LTIOSZJ,X,O,X,O,O,X,X,X,X,X,X,X,X
LTIOZJS,X,X,X,O,O,X,X,X,X,O,X,X,X
LTIOZSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,X,O,X,X,O,X,X,X,X
LTJISOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,X,X,X,X,X,O,X,X,O,X,X,X,X
LTJIZOS,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJIOSZ,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJIOZS,X,X,X,O,X,X,X,X,X,O,X,X,X
LTJSIZO,X,X,X,X,O,O,X,X,O,X,X,X,X
LTJSIOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSZIO,X,X,X,X,O,O,X,X,O,X,X,X,X
LTJSZOI,X,X,X,X,O,O,X,X,O,X,X,X,X
LTJSOIZ,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSOZI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,O,X,X,O,X,X,X,X
LTJZIOS,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJZSIO,X,X,X,X,O,O,X,X,O,X,X,X,X
LTJZSOI,X,X,X,X,O,O,X,X,O,X,X,X,X
LTJZOIS,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJZOSI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOISZ,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJOIZS,X,X,X,O,X,X,X,X,X,O,X,X,X
LTJOSIZ,X,X,X,O,O,X,X,X,X,X,X,X,X
LTJOSZI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOZIS,X,X,X,O,O,X,X,X,X,O,X,X,X
LTJOZSI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSIJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSIJOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSIZJO,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSIZOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
LTSIOJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
LTSIOZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
LTSJIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSJIOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSJZIO,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSJOZI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSZIJO,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSZIOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSZJIO,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSZJOI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSZOIJ,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSZOJI,X,O,X,X,O,X,X,X,X,X,X,X,X
LTSOIJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
LTSOIZJ,X,O,X,O,O,X,X,X,X,X,X,X,X
LTSOJIZ,X,O,X,O,O,X,X,X,X,X,X,X,X
LTSOJZI,X,O,X,X,O,X,X,X,X,X,X,X,X
LTSOZIJ,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSOZJI,X,O,X,X,O,X,X,X,X,X,X,X,X
LTZIJSO,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZIJOS,X,X,X,X,O,X,X,X,X,O,O,X,X
LTZISJO,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZISOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZIOJS,X,X,X,O,O,X,X,X,X,O,X,X,X
LTZIOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZJISO,X,X,O,X,X,O,X,X,O,X,X,X,X
LTZJIOS,X,X,X,X,O,X,X,X,X,O,X,X,X
LTZJSIO,X,X,O,X,O,O,X,X,O,X,X,X,X
LTZJSOI,X,X,X,X,O,O,X,X,O,X,X,X,X
LTZJOIS,X,X,X,X,O,X,X,O,X,O,X,X,X
LTZJOSI,X,X,X,X,O,X,X,O,X,X,X,X,X
LTZSIJO,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZSIOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZSJIO,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZSJOI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZSOIJ,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZSOJI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZOIJS,X,X,X,O,O,X,X,O,X,O,X,X,X
