sequence,v115@FhB8HeB8IeB8BeD8AeB8Je0/IvhFxgBTiB/pBGmBiq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jex/IvhF8lBGiBikB3mBzp?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jex/IvhFXhBTiBmkBSrB0p?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jem/IvhFRhBSnBTkBUmBXq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jex/IvhF8lB+mBTiB/pBaq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jex/IvhF8lBSnBTkBeqB3m?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jei/IvhF+mBTiBRlB3lB0p?BlsB,v115@FhB8HeB8IeB8BeD8AeB8JeKEJvhFzfBGiBRmBUmBXq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jem/IvhFfmB6mBTiBxpBls?B0pB,v115@FhB8HeB8IeB8BeD8AeB8JeGBJvhFTiBUmBxpBlsB/p?BaqB,v115@FhB8HeB8IeB8BeD8AeB8JeyEJvhFzgBGiB3mBxpBls?B0pB,v115@FhB8HeB8IeB8BeD8AeB8Je0/IvhFxhB/pBzlBCnBOq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8JeFAJvhF0hBzlBmpBRsB/p?B6sB,v115@FhB8HeB8IeB8BeD8AeB8JeT/IvhF3gBxmB2qBCnB0p?BlsB,v115@FhB8HeB8IeB8BeD8AeB8JeXAJvhFxhB2pBzlBCnBls?B0pB,v115@FhB8HeB8IeB8BeD8AeB8Je0/IvhFxhB2pBzlBCnBls?BXqB,v115@FhB8HeB8IeB8BeD8AeB8Jel/IvhFThB/pB2sBxqBcq?B6sB,v115@FhB8HeB8IeB8BeD8AeB8JeT/IvhFVmBypB0nBRrBXq?BGsB
ISTLOJZ,O,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
ISTLOZJ,O,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
ISTJLZO,O,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ISTJZLO,O,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ISTJZOL,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISTJOLZ,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ISTJOZL,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ISTZLJO,O,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X
ISTZLOJ,O,X,X,O,O,X,X,O,O,O,O,O,X,X,X,X,X,X
ISTZJLO,O,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X
ISTZJOL,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
ISTZOLJ,O,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
ISTZOJL,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
ISTOLJZ,O,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
ISTOLZJ,O,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
ISTOJLZ,O,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X
ISTOJZL,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
ISTOZLJ,O,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
ISTOZJL,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
ISLTJZO,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ISLTJOZ,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ISLTZJO,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ISLTZOJ,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ISLTOJZ,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
ISLTOZJ,O,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X
ISLJTZO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLJZTO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLJZOT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ISLZTJO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLZTOJ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLZJTO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLZJOT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLZOJT,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ISLOTJZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ISLOJTZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ISLOJZT,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
ISLOZTJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISLOZJT,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ISJTLZO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISJTLOZ,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X
ISJTZLO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISJTZOL,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISJTOLZ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISJTOZL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISJLTZO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISJLTOZ,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X
ISJLZTO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISJLZOT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ISJLOTZ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ISJLOZT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
ISJZTLO,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISJZTOL,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISJZLTO,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISJZLOT,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ISJZOTL,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ISJZOLT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISJOTLZ,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
ISJOTZL,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
ISJOLTZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X
ISJOLZT,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
ISJOZTL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ISJOZLT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ISZTLJO,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ISZTLOJ,O,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
ISZTJLO,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ISZTJOL,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ISZTOLJ,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
ISZTOJL,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ISZLTJO,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLJTO,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLJOT,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZLOJT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ISZJTLO,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ISZJTOL,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ISZJLTO,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZJLOT,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISZJOTL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZOTJL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZOLJT,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZOJTL,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
ISZOJLT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ISOTLJZ,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOTLZJ,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOTJLZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ISOTJZL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ISOTZLJ,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOTZJL,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
ISOLJZT,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
ISOLZTJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLZJT,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ISOJTLZ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X
ISOJTZL,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X
ISOJLTZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X
ISOJLZT,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
ISOJZTL,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ISOJZLT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ISOZTLJ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOZTJL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOZLJT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOZJTL,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
ISOZJLT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZTLJSO,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZTLJOS,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O
IZTLSJO,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZTLSOJ,X,X,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O
IZTLOJS,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZTLOSJ,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IZTJLSO,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZTJLOS,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O
IZTJSLO,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X
IZTJSOL,X,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X
IZTJOLS,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IZTJOSL,X,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X
IZTSLJO,X,X,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X
IZTSLOJ,X,X,X,O,O,X,X,X,O,O,O,X,X,O,X,X,X,O
IZTSJLO,X,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X
IZTSJOL,X,O,X,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X
IZTSOLJ,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X
IZTSOJL,X,X,X,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X
IZTOLJS,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZTOLSJ,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IZTOJLS,X,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X
IZTOJSL,X,O,O,O,O,X,O,X,O,O,X,X,O,O,X,X,X,X
IZTOSLJ,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IZTOSJL,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IZLTJSO,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZLTJOS,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O
IZLTSJO,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZLTSOJ,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O
IZLTOJS,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZLTOSJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZLJTSO,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZLJTOS,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O
IZLJSTO,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJSOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZLJOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLSJTO,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLSOJT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZLOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLOJTS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZLOJST,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLOSTJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLOSJT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJTLOS,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
IZJTSLO,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZJTSOL,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZJTOLS,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IZJTOSL,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IZJLTSO,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLTOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O
IZJLSTO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLSOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZJLOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZJSTOL,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZJSLTO,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZJSLOT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,X,X,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
IZJOTSL,X,X,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X
IZJOLTS,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJOLST,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJOSTL,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJOSLT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSTLJO,X,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSTLOJ,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O
IZSTJLO,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSTJOL,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSTOLJ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZSTOJL,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZSLTJO,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSLTOJ,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
IZSLJTO,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSLJOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSLOJT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSJTOL,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSJLTO,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSJLOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IZSOJLT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOTLJS,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
IZOTLSJ,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IZOTJLS,X,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X
IZOTJSL,X,O,X,O,O,X,O,X,X,O,X,X,O,O,X,X,X,X
IZOTSLJ,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZOTSJL,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZOLTJS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOLTSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOLJTS,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZOLJST,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOLSTJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOLSJT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X
IZOJTSL,X,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X
IZOJLTS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOJLST,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOJSTL,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOJSLT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOSTLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOSJLT,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTLJSZ,X,O,X,O,X,O,X,X,O,X,O,O,X,X,O,O,X,X
IOTLJZS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X
IOTLSJZ,X,O,X,O,X,O,X,X,O,X,O,O,X,X,O,O,X,X
IOTLSZJ,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
IOTLZJS,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
IOTLZSJ,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
IOTJLSZ,X,O,X,O,X,O,X,X,O,X,O,X,O,X,O,O,X,X
IOTJLZS,X,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,X,X
IOTJSLZ,X,O,X,X,X,O,X,X,O,X,O,X,O,X,O,X,O,X
IOTJSZL,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X
IOTJZLS,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X
IOTJZSL,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
IOTSLJZ,X,O,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X
IOTSLZJ,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
IOTSJLZ,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X
IOTSJZL,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IOTSZLJ,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X
IOTSZJL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTZLJS,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTZLSJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTZJLS,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IOTZJSL,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X
IOTZSLJ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTZSJL,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLTJSZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTJZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTSZJ,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLTZJS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLJTZS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLJSTZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
IOLJSZT,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IOLJZTS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOLJZST,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSTJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IOLSJZT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOLSZTJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSZJT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZTJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJTS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLZJST,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLZSTJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZSJT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTLSZ,X,X,X,O,X,O,X,X,O,X,X,X,O,X,O,O,X,X
IOJTLZS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,O,X,X
IOJTSLZ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,O,X
IOJTSZL,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
IOJTZLS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOJTZSL,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJLTZS,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJLSTZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
IOJLSZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOJLZTS,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
