sequence,v115@GhA8IeA8GeD8BeB8AeD8Je2EJvhFRgBanBziB3lB9r?B0pB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhFXgB8lBRiB9rBin?BzpB,v115@GhA8IeA8GeD8BeB8AeD8Jex/IvhFXhBdnBziBypBGr?B0pB,v115@GhA8IeA8GeD8BeB8AeD8Jem/IvhFChBdnBziB/rBxp?B0pB,v115@GhA8IeA8GeD8BeB8AeD8Je0/IvhFxhBynB2pBzlBtr?BXqB,v115@GhA8IeA8GeD8BeB8AeD8Jei/IvhFRhBziB9pBOqBXm?B8rB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhF8kBzgBRiB9rBin?BXqB,v115@GhA8IeA8GeD8BeB8AeD8Je0/IvhFxhBynB/pBzlBtr?BOqB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhFXgB8lBRnB9rBin?BzpB,v115@GhA8IeA8GeD8BeB8AeD8JeNEJvhFUhBRiBXlBinBGr?BzpB,v115@GhA8IeA8GeD8BeB8AeD8JeyEJvhFfmBmhBziBtrBxp?B0pB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhFNlBRhBziBqpBXm?B8rB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhF8kBzgBRnB9rBin?BXqB,v115@GhA8IeA8GeD8BeB8AeD8JezAJvhF/pBUlBRnB9rBin?BmpB
IZLSOJT,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLOTJS,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLOTSJ,O,X,X,X,X,O,X,X,X,X,O,O,X,X
IZLOJTS,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLOJST,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLOSTJ,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IZLOSJT,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IZJTLSO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJTLOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJTSLO,O,O,X,O,X,O,X,X,O,X,X,X,X,X
IZJTSOL,O,O,X,O,X,O,X,X,O,X,X,X,X,X
IZJTOLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJTOSL,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZJLTSO,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZJLTOS,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZJLSTO,O,X,X,O,X,X,X,X,O,X,X,O,X,X
IZJLSOT,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJLOTS,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZJLOST,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJSTLO,O,O,X,O,X,O,X,X,O,X,X,O,X,X
IZJSTOL,O,O,X,O,X,O,X,X,O,X,X,O,X,X
IZJSLTO,O,X,X,O,X,O,X,X,O,X,X,X,X,X
IZJSLOT,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSOTL,O,X,X,O,X,O,X,X,O,X,X,O,X,X
IZJSOLT,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOTSL,O,X,X,O,X,O,X,X,O,X,X,X,X,X
IZJOLTS,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZJOLST,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IZJOSTL,O,X,X,O,X,O,X,X,O,X,X,O,X,X
IZJOSLT,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSTLJO,O,O,X,O,X,O,X,X,X,X,O,O,X,X
IZSTLOJ,O,O,X,O,X,O,X,X,X,X,O,O,X,X
IZSTJLO,O,O,X,O,X,O,X,X,O,X,O,O,X,X
IZSTJOL,O,O,X,O,X,O,X,X,O,X,O,O,O,X
IZSTOLJ,O,X,X,O,X,O,X,X,X,X,O,O,X,O
IZSTOJL,O,O,X,O,X,O,X,X,X,X,O,O,O,O
IZSLTJO,O,X,X,O,X,O,X,X,X,X,O,O,X,X
IZSLTOJ,O,X,X,O,X,O,X,X,X,X,O,O,X,X
IZSLJTO,O,X,X,O,X,O,X,X,O,X,X,O,X,X
IZSLJOT,O,X,X,X,X,O,X,X,X,X,X,O,O,X
IZSLOTJ,O,X,X,X,X,O,X,X,X,X,O,O,X,O
IZSLOJT,O,X,X,X,X,O,X,X,X,X,X,O,O,X
IZSJTLO,O,O,X,O,X,O,X,X,O,X,X,O,X,X
IZSJTOL,O,O,X,O,X,O,X,X,O,X,X,O,O,X
IZSJLTO,O,X,X,O,X,O,X,X,O,X,X,X,X,X
IZSJLOT,O,X,X,X,X,O,X,X,X,X,X,X,O,X
IZSJOTL,O,X,X,O,X,O,X,X,O,X,X,O,O,O
IZSJOLT,O,X,X,X,X,O,X,X,X,X,X,X,O,X
IZSOTLJ,O,X,X,O,X,O,X,X,X,X,O,O,X,O
IZSOTJL,O,X,X,O,X,O,X,X,O,X,O,O,O,O
IZSOLTJ,O,X,X,X,X,O,X,X,X,X,O,O,X,O
IZSOLJT,O,X,X,X,X,O,X,X,O,X,X,O,O,X
IZSOJTL,O,X,X,O,X,O,X,X,O,X,X,O,O,O
IZSOJLT,O,X,X,X,X,O,X,X,O,X,X,X,O,X
IZOTLJS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X
IZOTJLS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOTJSL,O,O,X,O,X,O,X,X,O,X,X,X,X,X
IZOTSLJ,O,O,X,O,X,O,X,X,X,X,O,O,X,X
IZOTSJL,O,O,X,O,X,O,X,X,O,X,O,O,X,X
IZOLTJS,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZOLTSJ,O,X,X,X,X,O,X,X,X,X,O,O,X,X
IZOLJTS,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZOLJST,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IZOLSTJ,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IZOLSJT,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IZOJTLS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOJTSL,O,O,X,O,X,O,X,X,O,X,X,X,X,X
IZOJLTS,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZOJLST,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IZOJSTL,O,O,X,O,X,O,X,X,O,X,X,O,X,X
IZOJSLT,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOSTLJ,O,O,X,O,X,O,X,X,X,X,O,O,X,X
IZOSTJL,O,O,X,O,X,O,X,X,O,X,O,O,X,X
IZOSLTJ,O,X,X,X,X,O,X,X,X,X,O,O,X,X
IZOSLJT,O,X,X,X,X,O,X,X,O,X,X,O,X,X
IZOSJTL,O,O,X,O,X,O,X,X,O,X,X,O,X,X
IZOSJLT,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTLJSZ,X,O,O,O,O,O,X,O,X,X,O,X,X,X
IOTLJZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,X,O,O,X,X,O,X,X,O,X,X,X
IOTLSZJ,O,O,X,O,X,X,X,O,X,X,O,X,X,X
IOTLZJS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,O,X,O,X,X,O,X,X,X
IOTJLSZ,X,O,O,O,O,O,X,O,X,X,O,X,X,X
IOTJLZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,O,O,O,O,X,O,X,X,O,X,X,X
IOTJSZL,X,O,O,O,O,X,X,O,O,X,O,X,X,X
IOTJZLS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTJZSL,X,O,X,O,O,O,X,X,O,X,X,X,X,X
IOTSLJZ,O,X,O,O,O,X,X,O,X,X,O,X,X,X
IOTSLZJ,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOTSJLZ,O,X,O,O,O,X,X,O,X,X,O,X,X,X
IOTSJZL,O,O,O,O,O,X,X,O,O,X,O,X,X,X
IOTSZLJ,O,O,X,O,X,X,X,O,X,X,O,X,X,X
IOTSZJL,O,O,O,O,X,X,X,O,O,X,O,X,X,X
IOTZLJS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,X,X,X,O,X,O,X,X,O,X,X,X
IOTZJLS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTZJSL,O,O,X,O,O,O,X,X,O,X,X,X,X,X
IOTZSLJ,O,O,X,O,X,O,X,O,X,X,O,X,X,X
IOTZSJL,O,O,X,O,X,O,X,O,O,X,O,X,X,X
IOLTJSZ,X,O,O,O,X,X,X,X,X,X,O,O,X,X
IOLTJZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOLTSJZ,O,O,X,O,X,X,X,X,X,X,O,O,X,X
IOLTSZJ,O,O,X,O,X,X,X,X,X,X,O,X,X,X
IOLTZJS,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLTZSJ,O,O,X,X,X,X,X,X,X,X,O,O,X,X
IOLJTSZ,X,O,O,O,X,X,X,X,X,X,O,O,X,X
IOLJTZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOLJSTZ,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IOLJSZT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLJZTS,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOLJZST,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOLSTJZ,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IOLSTZJ,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IOLSJTZ,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IOLSJZT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSZTJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLSZJT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLZTJS,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLZTSJ,O,O,X,X,X,X,X,X,X,X,O,O,X,X
IOLZJTS,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IOLZJST,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IOLZSTJ,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IOLZSJT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOJTLSZ,X,O,O,O,O,O,X,X,X,X,O,X,X,X
IOJTLZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,O,O,O,O,X,X,X,X,O,X,X,X
IOJTSZL,X,O,O,O,O,X,X,X,O,X,O,X,X,X
IOJTZLS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJTZSL,X,O,X,O,O,O,X,X,O,X,X,X,X,X
IOJLTSZ,X,O,O,O,X,O,X,X,X,X,O,O,X,X
IOJLTZS,X,O,O,X,X,O,X,X,X,X,X,O,X,X
IOJLSTZ,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IOJLSZT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJLZTS,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOJLZST,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOJSTLZ,X,X,X,O,X,O,X,X,X,X,O,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X,O,X,O,X,X,X
IOJSLTZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOJSLZT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSZTL,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOJSZLT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJZTLS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJZTSL,X,O,X,O,O,O,X,X,O,X,X,X,X,X
IOJZLTS,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOJZLST,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOJZSTL,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IOJZSLT,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSTLJZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOSTLZJ,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOSTJLZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOSTJZL,O,X,X,O,X,X,X,O,O,X,O,X,X,X
IOSTZLJ,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOSTZJL,O,X,X,O,X,X,X,O,O,X,O,X,O,X
IOSLTJZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOSLTZJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOSLJTZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOSLJZT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSLZTJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSLZJT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSJTLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOSJTZL,O,X,X,O,X,X,X,X,O,X,O,X,X,X
IOSJLTZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOSJLZT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSJZTL,O,O,X,O,X,X,X,X,O,X,X,X,O,X
IOSJZLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSZTLJ,O,O,X,O,X,X,X,O,X,X,O,X,X,O
IOSZTJL,O,O,X,O,X,X,X,O,O,X,O,X,O,O
IOSZLTJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IOSZLJT,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSZJTL,O,O,X,O,X,X,X,X,O,X,X,X,O,O
IOSZJLT,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZTLJS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X
IOZTJLS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZTJSL,O,O,X,O,X,O,X,X,O,X,X,X,X,X
IOZTSLJ,O,O,X,O,X,O,X,X,X,X,O,O,X,X
IOZTSJL,O,O,X,O,X,O,X,X,O,X,O,O,X,X
IOZLTJS,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOZLTSJ,O,X,X,X,X,O,X,X,X,X,O,O,X,X
IOZLJTS,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOZLJST,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IOZLSTJ,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IOZLSJT,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IOZJTLS,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZJTSL,O,O,X,O,X,O,X,X,O,X,X,X,X,X
IOZJLTS,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOZJLST,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IOZJSTL,O,O,X,O,X,O,X,X,O,X,X,O,X,X
IOZJSLT,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IOZSTLJ,O,O,X,O,X,O,X,X,X,X,O,O,X,X
IOZSTJL,O,O,X,O,X,O,X,X,O,X,O,O,X,X
IOZSLTJ,O,X,X,X,X,O,X,X,X,X,O,O,X,X
IOZSLJT,O,X,X,X,X,O,X,X,O,X,X,O,X,X
IOZSJTL,O,O,X,O,X,O,X,X,O,X,X,O,X,X
IOZSJLT,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTIJSZO,X,O,O,O,X,X,O,X,X,O,O,X,X,X
LTIJSOZ,X,O,O,O,X,O,O,O,X,O,O,O,X,X
LTIJZSO,X,O,O,X,X,O,X,X,X,O,X,O,X,X
LTIJZOS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LTIJOSZ,X,O,O,O,O,O,O,O,X,O,O,O,X,X
LTIJOZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LTISJZO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
LTISJOZ,O,O,X,O,X,X,O,O,X,O,O,O,X,X
LTISZJO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
LTISZOJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTISOJZ,O,O,X,O,O,X,O,O,X,X,O,O,X,X
LTISOZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTIZJSO,O,O,X,X,X,O,X,X,X,O,X,O,X,X
LTIZJOS,O,O,X,X,X,O,X,X,X,O,X,O,X,X
LTIZSJO,O,O,X,X,X,O,O,X,X,X,O,O,X,X
LTIZSOJ,O,O,X,X,X,O,O,O,X,X,O,O,X,X
LTIZOJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X
LTIZOSJ,O,O,X,X,X,O,O,O,X,X,O,O,X,X
LTIOJSZ,X,O,O,O,O,O,O,O,X,O,O,O,X,X
LTIOJZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LTIOSJZ,O,O,X,O,O,X,O,O,X,X,O,O,X,X
LTIOSZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTIOZJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X
LTIOZSJ,O,O,X,X,X,O,O,O,X,X,O,O,X,X
LTJISZO,X,O,O,X,X,X,O,X,X,O,X,X,X,X
LTJISOZ,X,O,O,X,X,O,O,O,X,O,X,O,X,X
LTJIZSO,X,O,O,X,X,O,X,X,X,O,X,O,X,X
LTJIZOS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJIOSZ,X,O,O,X,O,O,O,O,X,O,X,O,X,X
LTJIOZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJSIZO,O,O,O,X,X,X,O,X,X,O,O,X,X,X
LTJSIOZ,O,O,O,X,X,O,O,O,X,O,O,O,X,X
LTJSZIO,O,O,O,X,X,O,O,X,X,O,X,O,X,X
LTJSZOI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LTJSOIZ,O,O,O,X,O,O,O,O,X,O,O,O,X,X
LTJSOZI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LTJZISO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LTJZIOS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJZSIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LTJZSOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJZOIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJZOSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJOISZ,X,O,O,X,O,O,O,O,X,O,X,O,X,X
LTJOIZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJOSIZ,O,O,O,X,O,O,O,O,X,O,O,O,X,X
LTJOSZI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LTJOZIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJOZSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTSIJZO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
LTSIJOZ,O,O,X,O,X,X,O,O,X,O,O,O,X,X
LTSIZJO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
LTSIZOJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTSIOJZ,O,O,O,O,O,X,O,O,X,X,O,O,X,X
LTSIOZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTSJIZO,O,O,O,O,X,X,O,X,X,O,O,X,X,X
LTSJIOZ,O,O,O,O,X,O,O,O,X,O,O,O,X,X
LTSJZIO,O,O,O,X,X,O,O,X,X,O,X,O,X,X
LTSJZOI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LTSJOIZ,O,O,O,O,O,O,O,O,X,O,O,O,X,X
LTSJOZI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LTSZIJO,O,O,X,O,X,O,O,X,X,X,X,O,X,X
LTSZIOJ,O,O,X,O,X,O,O,O,X,X,X,O,X,X
LTSZJIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
LTSZJOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTSZOIJ,O,O,X,O,X,O,O,O,X,X,X,O,X,X
LTSZOJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTSOIJZ,O,O,O,O,O,X,O,O,X,X,O,O,X,X
LTSOIZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTSOJIZ,O,O,O,O,O,O,O,O,X,X,O,O,X,X
LTSOJZI,O,O,O,X,O,O,O,O,X,X,X,O,X,X
LTSOZIJ,O,O,X,O,X,O,O,O,X,X,X,O,X,X
LTSOZJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTZIJSO,O,O,X,X,X,O,X,X,X,O,X,O,X,X
LTZIJOS,O,O,X,X,X,O,X,X,X,O,X,O,X,X
LTZISJO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
LTZISOJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTZIOJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X
LTZIOSJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTZJISO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LTZJIOS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTZJSIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LTZJSOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTZJOIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTZJOSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTZSIJO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
LTZSIOJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTZSJIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
LTZSJOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTZSOIJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTZSOJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTZOIJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X
LTZOISJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTZOJIS,O,O,O,X,O,O,X,X,X,X,X,O,X,X
LTZOJSI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
LTZOSIJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTZOSJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTOIJSZ,X,O,O,O,O,O,O,O,X,O,O,O,X,X
LTOIJZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LTOISJZ,O,O,X,O,O,X,O,O,X,X,O,O,X,X
LTOISZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTOIZJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X
LTOIZSJ,O,O,X,X,X,O,O,O,X,X,O,O,X,X
LTOJISZ,X,O,O,X,O,O,O,O,X,O,X,O,X,X
LTOJIZS,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LTOJSIZ,O,O,O,X,O,O,O,O,X,O,O,O,X,X
LTOJSZI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LTOJZIS,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTOJZSI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTOSIJZ,O,O,O,O,O,X,O,O,X,X,O,O,X,X
LTOSIZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LTOSJIZ,O,O,O,O,O,O,O,O,X,X,O,O,X,X
LTOSJZI,O,O,O,X,O,O,O,O,X,X,X,O,X,X
LTOSZIJ,O,O,X,O,X,O,O,O,X,X,X,O,X,X
LTOSZJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTOZIJS,O,O,X,X,O,O,X,X,X,X,X,O,X,X
LTOZISJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTOZJIS,O,O,O,X,O,O,X,X,X,X,X,O,X,X
LTOZJSI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
LTOZSIJ,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LTOZSJI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
LITJSZO,X,O,O,O,X,X,O,X,X,O,O,X,X,X
LITJSOZ,X,O,O,O,X,X,O,O,X,O,O,O,X,X
LITJZSO,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LITJZOS,X,O,O,X,O,X,X,X,X,O,X,O,X,X
LITJOSZ,X,O,O,O,O,X,O,O,X,O,O,O,X,X
LITJOZS,X,O,O,X,O,X,X,X,X,O,X,O,X,X
LITSJZO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
LITSJOZ,O,O,X,O,X,X,O,O,X,O,O,O,X,X
LITSZJO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
LITSZOJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LITSOJZ,O,O,X,O,O,X,O,O,X,X,O,O,X,X
LITSOZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LITZJSO,O,O,X,X,X,X,X,X,X,O,X,O,X,X
LITZJOS,O,O,X,X,X,X,X,X,X,O,X,O,X,X
LITZSJO,O,O,X,X,X,X,O,X,X,X,O,O,X,X
LITZSOJ,O,O,X,X,X,X,O,O,X,X,O,O,X,X
LITZOJS,O,O,X,X,O,X,X,X,X,X,X,O,X,X
LITZOSJ,O,O,X,X,X,X,O,O,X,X,O,O,X,X
LITOJSZ,X,O,O,O,O,X,O,O,X,O,O,O,X,X
LITOJZS,X,O,O,X,O,X,X,X,X,O,X,O,X,X
LITOSJZ,O,O,X,O,O,X,O,O,X,X,O,O,X,X
LITOSZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
LITOZJS,O,O,X,X,O,X,X,X,X,X,X,O,X,X
LITOZSJ,O,O,X,X,X,X,O,O,X,X,O,O,X,X
LIJTSZO,X,O,O,O,X,X,O,X,X,O,O,X,X,X
LIJTSOZ,X,O,O,O,X,X,O,O,X,O,O,O,X,X
LIJTZSO,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LIJTZOS,X,O,O,X,O,X,X,X,X,O,X,O,X,X
LIJTOSZ,X,O,O,O,O,X,O,O,X,O,O,O,X,X
LIJTOZS,X,O,O,X,O,X,X,X,X,O,X,O,X,X
LIJSTZO,X,O,O,O,X,X,X,X,X,O,O,X,X,X
LIJSTOZ,X,O,O,O,X,X,X,O,X,O,O,X,X,X
LIJSZTO,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LIJSZOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJSOTZ,X,O,O,O,X,X,X,X,X,O,O,X,X,X
LIJSOZT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJZTSO,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LIJZTOS,X,O,O,X,O,X,X,X,X,O,X,O,X,X
LIJZSTO,X,X,O,O,X,X,X,X,O,O,X,O,X,X
LIJZSOT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LIJZOTS,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LIJZOST,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LIJOTSZ,X,O,O,O,X,X,X,X,X,O,O,O,X,X
LIJOTZS,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LIJOSTZ,X,O,O,O,X,X,X,X,X,O,O,X,X,X
LIJOSZT,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LIJOZTS,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LIJOZST,X,X,X,X,X,X,X,X,O,O,X,O,X,X
