sequence,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFXgBxhBzlBCnBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF0gBxhBzkBCnB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFTgBxhBfqB8qBCn?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhF8lBGiBTkBKqB3m?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JexAJvhFTiBikBGmB0kB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBfmBxhBCnBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFTiBikBGmBXmBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je0/IvhFxgBTiB2pBSrBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFXhBTiB2pBSrBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFGiB3kBRmBUmBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFRhBSnBUmB3kBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFfmB6mBTiBxpBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBSmBTiBxqBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFzgBGiB3mBxpBls?BUqB
TIOSJZL,O,X,X,X,O,O,X,X,X,O,X,O,X,O
TIOSZLJ,X,X,X,X,X,O,X,X,X,O,X,O,O,O
TIOSZJL,O,X,X,X,X,O,X,X,X,O,X,O,O,O
TIOZLJS,X,O,X,O,X,O,O,X,X,X,O,X,O,O
TIOZLSJ,X,O,X,O,X,O,O,X,X,X,O,X,O,X
TIOZJLS,X,O,X,X,X,O,O,X,X,X,O,X,O,O
TIOZJSL,O,O,X,X,X,O,X,X,X,O,O,O,O,X
TIOZSLJ,X,X,X,X,X,O,X,X,X,O,O,O,O,X
TIOZSJL,O,O,X,X,X,O,X,X,X,O,O,O,O,X
TLIJSZO,O,O,O,O,X,O,X,O,O,O,X,O,X,O
TLIJSOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLIJZSO,O,O,O,O,X,O,O,O,O,X,X,X,O,O
TLIJZOS,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TLIJOSZ,O,O,O,O,O,X,O,O,O,X,X,O,X,O
TLIJOZS,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TLISJZO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
TLISJOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLISZJO,O,O,O,O,X,O,O,X,X,O,X,O,O,O
TLISZOJ,O,O,O,O,X,O,O,X,O,X,X,O,O,O
TLISOJZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLISOZJ,O,O,O,O,X,O,O,X,O,X,X,O,O,O
TLIZJSO,O,O,O,O,X,O,O,O,X,X,X,X,O,O
TLIZJOS,O,O,O,O,X,X,O,O,X,X,X,X,O,O
TLIZSJO,O,O,O,O,X,O,O,X,X,X,X,X,O,O
TLIZSOJ,O,O,O,X,X,O,O,X,X,X,X,X,O,O
TLIZOJS,O,O,O,O,X,X,O,O,X,X,X,X,O,O
TLIZOSJ,O,O,O,O,X,X,O,X,X,X,X,X,O,X
TLIOJSZ,O,O,O,O,O,X,O,O,O,X,X,O,X,O
TLIOJZS,O,O,O,O,O,X,O,O,O,X,O,X,O,O
TLIOSJZ,O,O,O,O,O,O,O,O,O,X,X,O,X,O
TLIOSZJ,O,O,O,O,X,O,O,X,O,X,X,O,O,O
TLIOZJS,O,O,O,O,X,O,O,O,X,X,O,X,O,O
TLIOZSJ,O,O,O,O,X,O,O,X,X,X,O,X,O,X
TLJISZO,O,O,O,O,O,O,X,O,O,O,X,X,X,O
TLJISOZ,O,O,O,O,O,X,O,O,O,O,X,X,X,O
TLJIZSO,O,O,O,O,X,O,O,O,O,X,X,X,X,O
TLJIZOS,O,O,O,O,O,X,O,O,O,X,X,X,X,O
TLJIOSZ,O,O,O,O,O,X,O,O,O,X,X,X,X,O
TLJIOZS,O,O,O,O,O,X,O,O,O,X,X,X,X,O
TLJSIZO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
TLJSIOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLJSZIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X
TLJSZOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X
TLJSOIZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLJSOZI,O,O,O,O,O,X,O,O,O,X,X,X,X,X
TLJZISO,O,O,O,O,X,O,O,O,O,X,X,X,O,X
TLJZIOS,O,O,O,O,O,X,O,O,O,X,X,X,O,X
TLJZSIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TLJZSOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TLJZOIS,O,O,O,O,O,X,O,O,O,X,X,X,O,X
TLJZOSI,O,O,O,O,O,O,O,O,O,X,X,X,X,X
TLJOISZ,O,O,O,O,O,X,O,O,O,O,X,X,X,X
TLJOIZS,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TLJOSIZ,O,O,O,O,O,O,O,O,O,O,X,O,X,X
TLJOSZI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
TLJOZIS,O,O,O,O,O,O,O,O,O,X,O,X,O,X
TLJOZSI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
TLSIJZO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
TLSIJOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLSIZJO,O,O,O,O,X,O,O,X,X,O,X,O,X,O
TLSIZOJ,O,O,O,O,X,O,O,X,O,X,X,O,X,O
TLSIOJZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLSIOZJ,O,O,O,O,X,O,O,X,O,X,X,O,X,O
TLSJIZO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
TLSJIOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLSJZIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X
TLSJZOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X
TLSJOIZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TLSJOZI,O,O,O,O,O,X,O,O,O,X,X,X,X,X
TLSZIJO,O,O,O,O,X,O,O,X,X,O,X,O,X,X
TLSZIOJ,O,O,O,O,X,O,O,X,O,X,X,O,X,X
TLSZJIO,O,O,O,O,O,O,O,X,O,O,X,X,X,X
TLSZJOI,O,O,O,O,O,O,O,X,O,X,X,X,X,X
TLSZOIJ,O,O,O,O,X,O,O,X,O,X,X,O,X,X
TLSZOJI,O,O,O,O,O,O,O,X,O,X,X,X,X,X
TLSOIJZ,O,O,O,O,O,O,O,O,O,O,X,O,X,O
TLSOIZJ,O,O,O,O,X,O,O,X,O,X,X,O,X,O
TLSOJIZ,O,O,O,O,O,O,O,O,O,O,X,O,X,O
TLSOJZI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
TLSOZIJ,O,O,O,O,X,O,O,X,O,X,O,O,X,X
TLSOZJI,O,O,O,O,O,O,O,X,O,X,O,X,X,X
TLZIJSO,O,O,O,O,X,O,O,O,X,X,X,X,O,X
TLZIJOS,O,O,O,O,X,X,O,O,X,X,X,X,O,X
TLZISJO,O,O,O,O,X,O,O,X,X,X,X,X,O,X
TLZISOJ,O,O,O,X,X,O,O,X,X,X,X,X,O,X
TLZIOJS,O,O,O,O,X,X,O,O,X,X,X,X,O,X
