sequence,v115@RhA8EeB8AeC8BeF8Jei/IvhFRhB3iBcoBTmBGqBFqB,v115@RhA8EeB8AeC8BeF8Je/EJvhFUgBamBumBxnBFoBTqB,v115@RhA8EeB8AeC8BeF8JeT/IvhF/lBxiBimBFoBGmBUqB,v115@RhA8EeB8AeC8BeF8JeT/IvhFxgBliBcoB3mBGqBiqB,v115@RhA8EeB8AeC8BeF8JezAJvhFRiBcoBlkBCnBmkB3qB,v115@RhA8EeB8AeC8BeF8Jex/IvhF3iBcoBlkBGmBimBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFzgBumBxnB0kBFoB3qB,v115@RhA8EeB8AeC8BeF8JeT/IvhFumB3iBcoBRqBiqBlqB,v115@RhA8EeB8AeC8BeF8JeSIJvhFxkBlmB0kBXmBmnBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFumBzlBxnB0kBFoB3qB
TLJSIZO,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,O,X,X,X
TLJSZIO,X,O,X,X,O,X,X,X,X,X
TLJSZOI,X,X,X,X,O,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,O,X,X,X
TLJSOZI,X,X,X,X,O,X,X,X,X,X
TLJZISO,X,X,O,X,O,O,X,X,X,X
TLJZIOS,X,X,O,X,X,X,X,X,X,X
TLJZSIO,O,X,O,X,O,O,X,X,X,X
TLJZSOI,O,X,O,X,O,O,X,X,X,X
TLJZOIS,O,X,O,X,X,X,X,X,X,X
TLJZOSI,O,X,O,X,X,X,X,X,X,X
TLJOISZ,X,O,X,X,X,X,X,X,X,O
TLJOIZS,O,X,O,X,X,X,X,X,X,O
TLJOSIZ,X,O,X,X,X,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X,X,X,X
TLJOZIS,O,X,O,X,X,X,X,X,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,X
TLSIJZO,X,O,X,X,X,X,X,X,O,X
TLSIJOZ,X,X,X,X,X,X,O,X,O,X
TLSIZJO,X,O,O,X,O,X,X,X,O,X
TLSIZOJ,X,X,O,X,O,X,X,X,O,X
TLSIOJZ,X,X,X,X,X,X,O,X,O,X
TLSIOZJ,X,X,O,X,O,X,X,X,O,X
TLSJIZO,X,O,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,O,X,X,X
TLSJZIO,X,O,X,X,O,X,X,X,X,X
TLSJZOI,X,X,X,X,O,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,O,X,X,X
TLSJOZI,X,X,X,X,O,X,X,X,X,X
TLSZIJO,X,O,O,X,O,X,X,X,X,X
TLSZIOJ,X,X,O,X,O,X,X,X,X,X
TLSZJIO,X,O,O,X,O,X,X,X,X,X
TLSZJOI,X,X,O,X,O,X,X,X,X,X
TLSZOIJ,X,X,O,X,O,X,X,X,X,X
TLSZOJI,X,X,O,X,O,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,O,X,X,X
TLSOIZJ,X,X,O,X,O,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,O,X,X,X
TLSOJZI,X,X,X,X,O,X,X,X,X,X
TLSOZIJ,X,X,O,X,O,X,X,X,X,X
TLSOZJI,X,X,O,X,O,X,X,X,X,X
TLZIJSO,X,X,O,X,O,O,X,X,O,X
TLZIJOS,X,X,O,X,X,X,X,X,O,X
TLZISJO,X,X,O,X,O,O,X,X,O,X
TLZISOJ,X,X,O,X,O,X,X,X,O,X
TLZIOJS,X,X,O,X,X,X,X,X,O,X
TLZIOSJ,X,X,O,X,O,X,X,X,O,X
TLZJISO,X,X,O,X,O,O,X,X,X,X
TLZJIOS,X,X,O,X,X,X,X,X,X,X
TLZJSIO,O,X,O,X,O,O,X,X,X,X
TLZJSOI,O,X,O,X,O,O,X,X,X,X
TLZJOIS,O,X,O,X,X,X,X,X,X,X
TLZJOSI,O,X,O,X,X,X,X,X,X,X
TLZSIJO,O,X,O,X,O,O,X,X,X,X
TLZSIOJ,O,X,O,X,O,X,X,X,X,X
TLZSJIO,O,X,O,X,O,O,X,X,X,X
TLZSJOI,O,X,O,X,O,O,X,X,X,X
TLZSOIJ,O,X,O,X,O,X,X,X,X,X
TLZSOJI,O,X,O,X,O,X,X,X,X,X
TLZOIJS,X,X,O,X,X,X,X,X,X,X
TLZOISJ,O,X,O,X,O,X,X,X,X,X
TLZOJIS,O,X,O,X,X,X,X,X,X,X
TLZOJSI,O,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,X,O,X,O,X,X,X,X,X
TLZOSJI,O,X,O,X,O,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,X,X,O,O
TLOIJZS,X,X,O,X,X,X,X,X,O,O
TLOISJZ,X,O,X,X,X,X,X,X,O,X
TLOISZJ,X,O,O,X,X,X,X,X,O,X
TLOIZJS,X,X,O,X,X,X,X,X,O,X
TLOIZSJ,O,X,O,X,X,X,X,X,O,X
TLOJISZ,X,O,X,X,X,X,X,X,X,O
TLOJIZS,O,X,O,X,X,X,X,X,X,O
TLOJSIZ,X,O,X,X,X,X,X,X,X,X
TLOJSZI,X,O,X,X,X,X,X,X,X,X
TLOJZIS,O,X,O,X,X,X,X,X,X,X
TLOJZSI,O,X,O,X,X,X,X,X,X,X
TLOSIJZ,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,O,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,X,X,X,X,X
TLOSJZI,X,O,X,X,O,X,X,X,X,X
TLOSZIJ,X,O,O,X,O,X,X,X,X,X
TLOSZJI,X,O,O,X,O,X,X,X,X,X
TLOZIJS,X,X,O,X,X,X,X,X,X,X
TLOZISJ,O,X,O,X,O,X,X,X,X,X
TLOZJIS,O,X,O,X,X,X,X,X,X,X
TLOZJSI,O,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,O,X,X,X,X,X
TLOZSJI,O,X,O,X,O,X,X,X,X,X
TJILSZO,X,O,X,X,X,X,X,X,O,X
TJILSOZ,X,X,X,X,X,X,O,X,O,X
TJILZSO,X,X,O,X,X,O,X,X,O,X
TJILZOS,X,X,O,X,X,X,X,X,O,X
TJILOSZ,X,O,X,X,X,X,X,X,O,O
TJILOZS,X,X,O,X,X,X,X,X,O,O
TJISLZO,X,O,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,O,X,X,X
TJISZLO,X,O,X,X,X,O,X,X,X,X
TJISZOL,X,X,X,X,X,O,X,X,X,X
TJISOLZ,X,O,X,X,X,X,O,X,X,X
TJISOZL,X,O,X,X,X,X,X,X,X,X
TJIZLSO,X,X,O,X,X,O,X,O,X,X
TJIZLOS,X,X,O,X,X,X,X,O,X,X
TJIZSLO,X,X,O,X,X,O,X,O,X,X
TJIZSOL,X,X,O,X,X,O,X,O,X,X
TJIZOLS,X,X,O,X,X,X,X,O,X,X
TJIZOSL,X,X,O,X,X,O,X,O,X,X
TJIOLSZ,X,O,X,X,X,X,X,X,X,O
TJIOLZS,X,X,O,X,X,X,X,X,X,O
TJIOSLZ,X,O,X,X,X,X,X,X,X,X
TJIOSZL,X,O,X,X,X,X,X,X,X,X
