sequence,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBfmB0hB6?nBNqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBzgBfnB6?nBNqB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFCgB8lB+mBT?iBdqBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukB3gB9nB0?mBiqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFfmBxhBcpBN?qBGnBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFtkBzhB+nB3?lB0rBiqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBSsB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFzgBWnBcpBN?qBxrBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBcsB6rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JezAJvhFfnB6nBxpB0?rBOpBdqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JefGJvhFxhBTkBNqBu?rBcsBipB
TSJZOLI,O,O,O,X,O,O,X,X,O,X,O
TSJOILZ,O,X,O,X,O,X,O,X,X,X,X
TSJOIZL,O,O,O,X,O,O,X,X,O,X,X
TSJOLIZ,O,X,O,X,O,X,O,X,X,X,X
TSJOLZI,O,X,O,X,O,X,O,X,X,X,X
TSJOZIL,O,O,O,X,O,O,X,X,O,X,O
TSJOZLI,O,O,O,X,O,O,X,X,O,X,O
TSZILJO,O,O,O,X,O,O,X,O,X,X,X
TSZILOJ,O,O,O,X,O,X,X,O,X,X,X
TSZIJLO,O,O,O,X,O,O,X,O,X,X,O
TSZIJOL,O,O,O,X,O,O,X,O,O,X,O
TSZIOLJ,O,O,O,X,O,X,X,O,X,X,X
TSZIOJL,O,O,O,X,O,O,X,O,O,X,O
TSZLIJO,O,O,O,X,O,O,X,O,X,X,X
TSZLIOJ,O,O,O,X,O,X,X,O,X,X,X
TSZLJIO,O,O,O,X,O,O,X,X,X,X,O
TSZLJOI,O,O,O,X,O,O,X,X,O,X,O
TSZLOIJ,O,O,O,X,O,X,X,O,X,X,X
TSZLOJI,O,O,O,X,O,X,X,X,O,X,O
TSZJILO,O,O,O,X,O,O,X,X,X,X,O
TSZJIOL,O,O,O,X,O,O,X,X,O,X,O
TSZJLIO,O,O,O,X,O,O,X,X,X,X,O
TSZJLOI,O,O,O,X,O,O,X,X,O,X,O
TSZJOIL,O,O,O,X,O,O,X,X,O,X,O
TSZJOLI,O,O,O,X,O,O,X,X,O,X,O
TSZOILJ,O,O,O,X,O,X,X,O,X,X,X
TSZOIJL,O,O,O,X,O,O,X,O,O,X,O
TSZOLIJ,O,O,O,X,O,X,X,O,X,X,X
TSZOLJI,O,O,O,X,O,X,X,X,O,X,O
TSZOJIL,O,O,O,X,O,O,X,X,O,X,O
TSZOJLI,O,O,O,X,O,O,X,X,O,X,O
TSOILJZ,O,X,O,X,X,X,X,X,X,X,X
TSOILZJ,O,X,O,X,O,X,X,X,X,X,X
TSOIJLZ,O,X,O,X,O,X,X,X,X,X,X
TSOIJZL,O,O,O,X,O,O,X,O,X,X,X
TSOIZLJ,O,O,O,X,O,X,X,O,X,X,X
TSOIZJL,O,O,O,X,O,O,X,O,X,X,O
TSOLIJZ,O,X,O,X,X,X,O,X,X,X,X
TSOLIZJ,O,X,O,X,O,X,X,X,X,X,X
TSOLJIZ,O,X,O,X,O,X,O,X,X,X,X
TSOLJZI,O,X,O,X,O,X,O,X,X,X,X
TSOLZIJ,O,X,O,X,O,X,X,X,X,X,X
TSOLZJI,O,X,O,X,O,X,O,X,X,X,O
TSOJILZ,O,X,O,X,O,X,O,X,X,X,X
TSOJIZL,O,O,O,X,O,O,X,X,O,X,X
TSOJLIZ,O,X,O,X,O,X,O,X,X,X,X
TSOJLZI,O,X,O,X,O,X,O,X,X,X,X
TSOJZIL,O,O,O,X,O,O,X,X,O,X,O
TSOJZLI,O,O,O,X,O,O,X,X,O,X,O
TSOZILJ,O,O,O,X,O,X,X,O,X,X,X
TSOZIJL,O,O,O,X,O,O,X,O,O,X,O
TSOZLIJ,O,O,O,X,O,X,X,O,X,X,X
TSOZLJI,O,O,O,X,O,X,X,X,O,X,O
TSOZJIL,O,O,O,X,O,O,X,X,O,X,O
TSOZJLI,O,O,O,X,O,O,X,X,O,X,O
TZILJSO,O,O,O,O,O,O,X,O,X,X,X
TZILJOS,O,O,O,O,X,O,X,O,X,X,X
TZILSJO,O,O,O,O,O,O,X,O,X,X,X
TZILSOJ,O,O,O,O,O,X,X,O,X,X,X
TZILOJS,O,O,O,O,O,X,X,O,X,X,X
TZILOSJ,O,O,O,O,O,X,X,O,X,X,X
TZIJLSO,O,O,O,O,O,O,X,O,X,X,X
TZIJLOS,O,O,O,O,X,O,X,O,O,X,X
TZIJSLO,O,O,O,X,O,O,X,O,X,X,O
TZIJSOL,O,O,O,X,O,O,X,O,O,X,O
TZIJOLS,O,O,O,X,X,O,X,O,O,X,X
TZIJOSL,O,O,O,X,X,O,X,O,O,X,O
TZISLJO,O,O,O,X,O,O,X,O,X,O,X
TZISLOJ,O,O,O,X,O,X,X,O,X,O,X
TZISJLO,O,O,O,X,O,O,X,O,X,X,O
TZISJOL,O,O,O,X,O,O,X,O,O,X,O
TZISOLJ,O,O,O,X,O,X,X,O,X,O,X
TZISOJL,O,O,O,X,O,O,X,O,O,X,O
TZIOLJS,O,O,O,X,O,X,X,O,X,X,X
TZIOLSJ,O,O,O,X,O,X,X,O,X,X,X
TZIOJLS,O,O,O,X,O,O,X,O,O,X,X
TZIOJSL,O,O,O,X,O,O,X,O,O,X,O
TZIOSLJ,O,O,O,X,O,X,X,O,X,O,X
TZIOSJL,O,O,O,X,O,O,X,O,O,X,O
TZLIJSO,O,O,O,O,O,O,X,O,X,X,X
TZLIJOS,O,O,O,O,X,O,X,O,X,X,X
TZLISJO,O,O,O,O,O,O,X,O,X,X,X
TZLISOJ,O,O,O,O,O,X,X,O,X,X,X
TZLIOJS,O,O,O,O,O,X,X,O,X,X,X
TZLIOSJ,O,O,O,O,O,X,X,O,X,X,X
TZLJISO,O,O,O,O,O,O,X,O,X,X,X
TZLJIOS,O,O,O,O,X,O,X,O,O,X,X
TZLJSIO,O,O,O,O,O,O,X,X,X,X,O
TZLJSOI,O,O,O,O,O,O,O,X,O,X,O
TZLJOIS,O,O,O,O,O,O,O,O,O,X,X
TZLJOSI,O,O,O,O,O,O,O,X,O,X,O
TZLSIJO,O,O,O,O,O,O,X,O,X,X,X
TZLSIOJ,O,O,O,O,O,X,X,O,X,X,X
TZLSJIO,O,O,O,O,O,O,X,X,X,X,O
TZLSJOI,O,O,O,O,O,O,O,X,O,X,O
TZLSOIJ,O,O,O,O,O,X,X,O,X,X,X
TZLSOJI,O,O,O,O,O,X,O,X,O,X,O
TZLOIJS,O,O,O,O,O,X,X,O,X,X,X
TZLOISJ,O,O,O,O,O,X,X,O,X,X,X
TZLOJIS,O,O,O,O,O,X,O,O,O,X,X
TZLOJSI,O,O,O,O,O,X,O,X,O,X,O
TZLOSIJ,O,O,O,O,O,X,X,O,X,X,X
TZLOSJI,O,O,O,O,O,X,O,X,O,X,O
TZJILSO,O,O,O,O,O,O,X,O,X,X,X
TZJILOS,O,O,O,O,X,O,X,O,O,X,X
TZJISLO,O,O,O,X,O,O,X,O,X,X,O
TZJISOL,O,O,O,X,O,O,X,O,O,X,O
TZJIOLS,O,O,O,X,X,O,O,O,O,X,X
TZJIOSL,O,O,O,X,X,O,X,O,O,X,O
TZJLISO,O,O,O,O,O,O,X,O,X,X,X
TZJLIOS,O,O,O,O,X,O,X,O,O,X,X
TZJLSIO,O,O,O,O,O,O,X,X,X,X,O
TZJLSOI,O,O,O,O,O,O,O,X,O,X,O
TZJLOIS,O,O,O,O,O,O,O,O,O,X,X
TZJLOSI,O,O,O,O,O,O,O,X,O,X,O
TZJSILO,O,O,O,X,O,O,X,X,X,X,O
TZJSIOL,O,O,O,X,O,O,X,X,O,X,O
TZJSLIO,O,O,O,X,O,O,X,X,X,X,O
TZJSLOI,O,O,O,X,O,O,X,X,O,X,O
TZJSOIL,O,O,O,X,O,O,X,X,O,X,O
TZJSOLI,O,O,O,X,O,O,X,X,O,X,O
TZJOILS,O,O,O,X,O,O,O,O,O,X,X
TZJOISL,O,O,O,X,O,O,X,O,O,X,O
TZJOLIS,O,O,O,X,O,O,O,O,O,X,X
TZJOLSI,O,O,O,X,O,O,O,X,O,X,O
TZJOSIL,O,O,O,X,O,O,X,X,O,X,O
TZJOSLI,O,O,O,X,O,O,X,X,O,X,O
TZSILJO,O,O,O,X,O,O,X,O,X,O,X
TZSILOJ,O,O,O,X,O,X,X,O,X,O,X
TZSIJLO,O,O,O,X,O,O,X,O,X,X,O
TZSIJOL,O,O,O,X,O,O,X,O,O,X,O
TZSIOLJ,O,O,O,X,O,X,X,O,X,O,X
TZSIOJL,O,O,O,X,O,O,X,O,O,X,O
TZSLIJO,O,O,O,X,O,O,X,O,X,O,X
TZSLIOJ,O,O,O,X,O,X,X,O,X,O,X
TZSLJIO,O,O,O,X,O,O,X,X,X,X,O
TZSLJOI,O,O,O,X,O,O,X,X,O,X,O
TZSLOIJ,O,O,O,X,O,X,X,O,X,O,X
TZSLOJI,O,O,O,X,O,X,X,X,O,X,O
TZSJILO,O,O,O,X,O,O,X,X,X,X,O
TZSJIOL,O,O,O,X,O,O,X,X,O,X,O
TZSJLIO,O,O,O,X,O,O,X,X,X,X,O
TZSJLOI,O,O,O,X,O,O,X,X,O,X,O
TZSJOIL,O,O,O,X,O,O,X,X,O,X,O
TZSJOLI,O,O,O,X,O,O,X,X,O,X,O
TZSOILJ,O,O,O,X,O,X,X,O,X,O,X
TZSOIJL,O,O,O,X,O,O,X,O,O,X,O
TZSOLIJ,O,O,O,X,O,X,X,O,X,O,X
TZSOLJI,O,O,O,X,O,X,X,X,O,X,O
TZSOJIL,O,O,O,X,O,O,X,X,O,X,O
TZSOJLI,O,O,O,X,O,O,X,X,O,X,O
TZOILJS,O,O,O,X,O,X,X,O,X,X,X
TZOILSJ,O,O,O,X,O,X,X,O,X,X,X
TZOIJLS,O,O,O,X,O,O,X,O,O,X,X
TZOIJSL,O,O,O,X,O,O,X,O,O,X,O
TZOISLJ,O,O,O,X,O,X,X,O,X,O,X
TZOISJL,O,O,O,X,O,O,X,O,O,X,O
TZOLIJS,O,O,O,X,O,X,X,O,X,X,X
TZOLISJ,O,O,O,X,O,X,X,O,X,X,X
TZOLJIS,O,O,O,X,O,X,O,O,O,X,X
TZOLJSI,O,O,O,X,O,X,O,X,O,X,O
TZOLSIJ,O,O,O,X,O,X,X,O,X,X,X
TZOLSJI,O,O,O,X,O,X,O,X,O,X,O
TZOJILS,O,O,O,X,O,O,O,O,O,X,X
TZOJISL,O,O,O,X,O,O,X,O,O,X,O
TZOJLIS,O,O,O,X,O,O,O,O,O,X,X
TZOJLSI,O,O,O,X,O,O,O,X,O,X,O
TZOJSIL,O,O,O,X,O,O,X,X,O,X,O
TZOJSLI,O,O,O,X,O,O,X,X,O,X,O
TZOSILJ,O,O,O,X,O,X,X,O,X,O,X
TZOSIJL,O,O,O,X,O,O,X,O,O,X,O
TZOSLIJ,O,O,O,X,O,X,X,O,X,O,X
TZOSLJI,O,O,O,X,O,X,X,X,O,X,O
TZOSJIL,O,O,O,X,O,O,X,X,O,X,O
TZOSJLI,O,O,O,X,O,O,X,X,O,X,O
TOILJSZ,O,X,X,O,X,X,O,X,X,X,X
TOILJZS,O,O,X,O,X,X,O,O,X,X,X
TOILSJZ,O,X,X,O,X,X,O,X,X,X,X
TOILSZJ,O,X,O,O,X,X,X,X,X,X,X
TOILZJS,O,O,O,O,X,X,X,O,X,X,X
TOILZSJ,O,O,O,O,X,X,X,O,X,X,X
TOIJLSZ,O,X,X,O,X,X,O,X,X,X,X
TOIJLZS,O,O,X,O,X,X,O,O,O,X,X
TOIJSLZ,O,X,O,X,O,X,O,X,X,X,X
TOIJSZL,O,O,O,X,O,O,X,O,O,X,X
TOIJZLS,O,O,O,X,O,O,O,O,O,X,X
TOIJZSL,O,O,O,X,O,O,X,O,O,X,X
TOISLJZ,O,X,O,X,X,X,X,X,X,X,X
TOISLZJ,O,X,O,X,O,X,X,X,X,X,X
TOISJLZ,O,X,O,X,O,X,X,X,X,X,X
TOISJZL,O,O,O,X,O,O,X,O,X,X,X
TOISZLJ,O,O,O,X,O,X,X,O,X,X,X
TOISZJL,O,O,O,X,O,O,X,O,X,X,O
TOIZLJS,O,O,O,X,O,X,X,O,X,X,X
TOIZLSJ,O,O,O,X,O,X,X,O,X,X,X
TOIZJLS,O,O,O,X,O,O,X,O,O,X,X
TOIZJSL,O,O,O,X,O,O,X,O,O,X,O
TOIZSLJ,O,O,O,X,O,X,X,O,X,X,X
TOIZSJL,O,O,O,X,O,O,X,O,O,X,O
TOLIJSZ,O,X,X,O,X,X,O,X,X,X,X
TOLIJZS,O,O,X,O,X,X,O,O,X,X,X
TOLISJZ,O,X,X,O,X,X,O,X,X,X,X
TOLISZJ,O,X,O,O,X,X,X,X,X,X,X
TOLIZJS,O,O,O,O,X,X,X,O,X,X,X
TOLIZSJ,O,O,O,O,X,X,X,O,X,X,X
TOLJISZ,O,X,X,O,X,X,O,X,X,X,X
TOLJIZS,O,O,X,O,X,X,O,X,O,X,X
TOLJSIZ,O,X,X,O,O,X,O,X,X,X,X
TOLJSZI,O,X,X,O,O,X,O,X,X,X,X
TOLJZIS,O,O,X,O,O,X,O,X,O,X,X
TOLJZSI,O,O,X,O,O,X,O,X,O,X,X
TOLSIJZ,O,X,X,O,X,X,O,X,X,X,X
TOLSIZJ,O,X,O,O,O,X,X,X,X,X,X
TOLSJIZ,O,X,X,O,O,X,O,X,X,X,X
TOLSJZI,O,X,X,O,O,X,O,X,X,X,X
TOLSZIJ,O,X,O,O,O,X,X,X,X,X,X
TOLSZJI,O,X,O,O,O,X,O,X,X,X,O
TOLZIJS,O,O,O,O,O,X,X,O,X,X,X
TOLZISJ,O,O,O,O,O,X,X,O,X,X,X
TOLZJIS,O,O,O,O,O,X,O,O,O,X,X
TOLZJSI,O,O,O,O,O,X,O,X,O,X,O
TOLZSIJ,O,O,O,O,O,X,X,O,X,X,X
TOLZSJI,O,O,O,O,O,X,O,X,O,X,O
TOJILSZ,O,X,X,O,X,X,O,X,X,X,X
TOJILZS,O,O,X,O,X,X,O,O,O,X,X
TOJISLZ,O,X,O,X,O,X,O,X,X,X,X
TOJISZL,O,O,O,X,O,O,X,O,O,X,X
TOJIZLS,O,O,O,X,O,O,O,O,O,X,X
TOJIZSL,O,O,O,X,O,O,X,O,O,X,X
TOJLISZ,O,X,X,O,X,X,O,X,X,X,X
TOJLIZS,O,O,X,O,X,X,O,X,O,X,X
TOJLSIZ,O,X,X,O,O,X,O,X,X,X,X
TOJLSZI,O,X,X,O,O,X,O,X,X,X,X
TOJLZIS,O,O,X,O,O,X,O,X,O,X,X
TOJLZSI,O,O,X,O,O,X,O,X,O,X,X
TOJSILZ,O,X,O,X,O,X,O,X,X,X,X
TOJSIZL,O,O,O,X,O,O,X,X,O,X,X
TOJSLIZ,O,X,O,X,O,X,O,X,X,X,X
TOJSLZI,O,X,O,X,O,X,O,X,X,X,X
TOJSZIL,O,O,O,X,O,O,X,X,O,X,O
TOJSZLI,O,O,O,X,O,O,X,X,O,X,O
TOJZILS,O,O,O,X,O,O,O,O,O,X,X
TOJZISL,O,O,O,X,O,O,X,O,O,X,O
TOJZLIS,O,O,O,X,O,O,O,O,O,X,X
TOJZLSI,O,O,O,X,O,O,O,X,O,X,O
TOJZSIL,O,O,O,X,O,O,X,X,O,X,O
TOJZSLI,O,O,O,X,O,O,X,X,O,X,O
TOSILJZ,O,X,O,X,X,X,X,X,X,X,X
TOSILZJ,O,X,O,X,O,X,X,X,X,X,X
TOSIJLZ,O,X,O,X,O,X,X,X,X,X,X
TOSIJZL,O,O,O,X,O,O,X,O,X,X,X
TOSIZLJ,O,O,O,X,O,X,X,O,X,X,X
TOSIZJL,O,O,O,X,O,O,X,O,X,X,O
TOSLIJZ,O,X,O,X,X,X,O,X,X,X,X
TOSLIZJ,O,X,O,X,O,X,X,X,X,X,X
TOSLJIZ,O,X,O,X,O,X,O,X,X,X,X
TOSLJZI,O,X,O,X,O,X,O,X,X,X,X
TOSLZIJ,O,X,O,X,O,X,X,X,X,X,X
TOSLZJI,O,X,O,X,O,X,O,X,X,X,O
TOSJILZ,O,X,O,X,O,X,O,X,X,X,X
TOSJIZL,O,O,O,X,O,O,X,X,O,X,X
TOSJLIZ,O,X,O,X,O,X,O,X,X,X,X
TOSJLZI,O,X,O,X,O,X,O,X,X,X,X
TOSJZIL,O,O,O,X,O,O,X,X,O,X,O
TOSJZLI,O,O,O,X,O,O,X,X,O,X,O
TOSZILJ,O,O,O,X,O,X,X,O,X,X,X
TOSZIJL,O,O,O,X,O,O,X,O,O,X,O
TOSZLIJ,O,O,O,X,O,X,X,O,X,X,X
TOSZLJI,O,O,O,X,O,X,X,X,O,X,O
TOSZJIL,O,O,O,X,O,O,X,X,O,X,O
TOSZJLI,O,O,O,X,O,O,X,X,O,X,O
TOZILJS,O,O,O,X,O,X,X,O,X,X,X
TOZILSJ,O,O,O,X,O,X,X,O,X,X,X
TOZIJLS,O,O,O,X,O,O,X,O,O,X,X
TOZIJSL,O,O,O,X,O,O,X,O,O,X,O
TOZISLJ,O,O,O,X,O,X,X,O,X,X,X
TOZISJL,O,O,O,X,O,O,X,O,O,X,O
TOZLIJS,O,O,O,X,O,X,X,O,X,X,X
TOZLISJ,O,O,O,X,O,X,X,O,X,X,X
TOZLJIS,O,O,O,X,O,X,O,O,O,X,X
TOZLJSI,O,O,O,X,O,X,O,X,O,X,O
TOZLSIJ,O,O,O,X,O,X,X,O,X,X,X
TOZLSJI,O,O,O,X,O,X,O,X,O,X,O
TOZJILS,O,O,O,X,O,O,O,O,O,X,X
TOZJISL,O,O,O,X,O,O,X,O,O,X,O
TOZJLIS,O,O,O,X,O,O,O,O,O,X,X
TOZJLSI,O,O,O,X,O,O,O,X,O,X,O
TOZJSIL,O,O,O,X,O,O,X,X,O,X,O
TOZJSLI,O,O,O,X,O,O,X,X,O,X,O
TOZSILJ,O,O,O,X,O,X,X,O,X,X,X
TOZSIJL,O,O,O,X,O,O,X,O,O,X,O
TOZSLIJ,O,O,O,X,O,X,X,O,X,X,X
TOZSLJI,O,O,O,X,O,X,X,X,O,X,O
TOZSJIL,O,O,O,X,O,O,X,X,O,X,O
TOZSJLI,O,O,O,X,O,O,X,X,O,X,O
ITLJSZO,O,X,O,O,X,O,X,X,X,X,X
ITLJSOZ,O,X,O,O,X,X,O,X,X,X,X
ITLJZSO,O,O,O,O,X,O,X,O,X,X,X
ITLJZOS,O,O,O,O,X,O,X,O,X,X,X
ITLJOSZ,O,X,X,O,X,X,O,X,X,X,X
ITLJOZS,O,O,X,O,X,X,O,O,X,X,X
ITLSJZO,O,X,O,O,X,O,X,X,X,X,X
ITLSJOZ,O,X,O,O,X,X,O,X,X,X,X
ITLSZJO,O,X,O,O,X,O,X,X,X,X,X
ITLSZOJ,O,X,O,O,X,X,X,X,X,X,X
ITLSOJZ,O,X,O,O,X,X,O,X,X,X,X
ITLSOZJ,O,X,O,O,X,X,X,X,X,X,X
ITLZJSO,O,O,O,O,X,O,X,O,X,X,X
ITLZJOS,O,O,O,O,X,O,X,O,X,X,X
ITLZSJO,O,O,O,O,X,O,X,O,X,X,X
ITLZSOJ,O,O,O,O,X,X,X,O,X,X,X
ITLZOJS,O,O,O,O,X,X,X,O,X,X,X
ITLZOSJ,O,O,O,O,X,X,X,O,X,X,X
ITLOJSZ,O,X,X,O,X,X,O,X,X,X,X
ITLOJZS,O,O,X,O,X,X,O,O,X,X,X
ITLOSJZ,O,X,X,O,X,X,O,X,X,X,X
ITLOSZJ,O,X,O,O,X,X,X,X,X,X,X
ITLOZJS,O,O,O,O,X,X,X,O,X,X,X
ITLOZSJ,O,O,O,O,X,X,X,O,X,X,X
ITJLSZO,O,X,O,O,X,O,X,X,X,X,X
ITJLSOZ,O,X,O,O,X,X,O,X,X,X,X
ITJLZSO,O,O,O,O,X,O,X,O,X,X,X
ITJLZOS,O,O,O,O,X,O,X,O,O,X,X
ITJLOSZ,O,X,X,O,X,X,O,X,X,X,X
ITJLOZS,O,O,X,O,X,X,O,O,O,X,X
ITJSLZO,O,X,O,O,O,O,X,X,X,X,X
ITJSLOZ,O,X,O,O,X,X,X,X,X,X,X
ITJSZLO,O,O,O,X,O,O,X,O,X,X,X
ITJSZOL,O,O,O,X,O,O,X,O,O,X,X
ITJSOLZ,O,X,O,X,X,X,O,X,X,X,X
ITJSOZL,O,O,O,X,O,O,X,O,O,X,X
ITJZLSO,O,O,O,O,O,O,X,O,X,X,X
ITJZLOS,O,O,O,O,X,O,X,O,O,X,X
ITJZSLO,O,O,O,X,O,O,X,O,X,X,X
ITJZSOL,O,O,O,X,O,O,X,O,O,X,X
ITJZOLS,O,O,O,X,X,O,O,O,O,X,X
ITJZOSL,O,O,O,X,X,O,X,O,O,X,X
ITJOLSZ,O,X,X,O,X,X,O,X,X,X,X
ITJOLZS,O,O,X,O,X,X,O,O,O,X,X
ITJOSLZ,O,X,O,X,X,X,O,X,X,X,X
ITJOSZL,O,O,O,X,X,O,X,O,O,X,X
ITJOZLS,O,O,O,X,X,O,O,O,O,X,X
ITJOZSL,O,O,O,X,X,O,X,O,O,X,X
ITSLJZO,O,X,O,O,X,O,X,X,X,X,X
ITSLJOZ,O,X,O,O,X,X,X,X,X,X,X
ITSLZJO,O,X,O,O,O,O,X,X,X,X,X
ITSLZOJ,O,X,O,O,O,X,X,X,X,X,X
ITSLOJZ,O,X,O,O,X,X,X,X,X,X,X
ITSLOZJ,O,X,O,O,X,X,X,X,X,X,X
ITSJLZO,O,X,O,O,O,O,X,X,X,X,X
ITSJLOZ,O,X,O,O,X,X,X,X,X,X,X
ITSJZLO,O,O,O,X,O,O,X,O,X,X,X
ITSJZOL,O,O,O,X,O,O,X,O,X,X,X
ITSJOLZ,O,X,O,X,X,X,X,X,X,X,X
ITSJOZL,O,O,O,X,O,O,X,O,X,X,X
ITSZLJO,O,O,O,X,O,O,X,O,X,X,X
ITSZLOJ,O,O,O,X,O,X,X,O,X,X,X
ITSZJLO,O,O,O,X,O,O,X,O,X,X,O
ITSZJOL,O,O,O,X,O,O,X,O,X,X,O
ITSZOLJ,O,O,O,X,O,X,X,O,X,X,X
ITSZOJL,O,O,O,X,O,O,X,O,X,X,O
ITSOLJZ,O,X,O,X,X,X,X,X,X,X,X
ITSOLZJ,O,X,O,X,O,X,X,X,X,X,X
ITSOJLZ,O,X,O,X,O,X,X,X,X,X,X
ITSOJZL,O,O,O,X,O,O,X,O,X,X,X
ITSOZLJ,O,O,O,X,O,X,X,O,X,X,X
ITSOZJL,O,O,O,X,O,O,X,O,X,X,O
ITZLJSO,O,O,O,O,O,O,X,O,X,X,X
ITZLJOS,O,O,O,O,X,O,X,O,X,X,X
ITZLSJO,O,O,O,O,O,O,X,O,X,X,X
ITZLSOJ,O,O,O,O,O,X,X,O,X,X,X
ITZLOJS,O,O,O,O,O,X,X,O,X,X,X
ITZLOSJ,O,O,O,O,O,X,X,O,X,X,X
ITZJLSO,O,O,O,O,O,O,X,O,X,X,X
ITZJLOS,O,O,O,O,X,O,X,O,O,X,X
ITZJSLO,O,O,O,X,O,O,X,O,X,X,O
ITZJSOL,O,O,O,X,O,O,X,O,O,X,O
ITZJOLS,O,O,O,X,X,O,X,O,O,X,X
ITZJOSL,O,O,O,X,X,O,X,O,O,X,O
ITZSLJO,O,O,O,X,O,O,X,O,X,O,X
ITZSLOJ,O,O,O,X,O,X,X,O,X,O,X
ITZSJLO,O,O,O,X,O,O,X,O,X,X,O
ITZSJOL,O,O,O,X,O,O,X,O,O,X,O
ITZSOLJ,O,O,O,X,O,X,X,O,X,O,X
ITZSOJL,O,O,O,X,O,O,X,O,O,X,O
ITZOLJS,O,O,O,X,O,X,X,O,X,X,X
ITZOLSJ,O,O,O,X,O,X,X,O,X,X,X
ITZOJLS,O,O,O,X,O,O,X,O,O,X,X
ITZOJSL,O,O,O,X,O,O,X,O,O,X,O
ITZOSLJ,O,O,O,X,O,X,X,O,X,O,X
ITZOSJL,O,O,O,X,O,O,X,O,O,X,O
ITOLJSZ,O,X,X,O,X,X,O,X,X,X,X
ITOLJZS,O,O,X,O,X,X,O,O,X,X,X
ITOLSJZ,O,X,X,O,X,X,O,X,X,X,X
ITOLSZJ,O,X,O,O,X,X,X,X,X,X,X
ITOLZJS,O,O,O,O,X,X,X,O,X,X,X
ITOLZSJ,O,O,O,O,X,X,X,O,X,X,X
ITOJLSZ,O,X,X,O,X,X,O,X,X,X,X
ITOJLZS,O,O,X,O,X,X,O,O,O,X,X
ITOJSLZ,O,X,O,X,O,X,O,X,X,X,X
ITOJSZL,O,O,O,X,O,O,X,O,O,X,X
ITOJZLS,O,O,O,X,O,O,O,O,O,X,X
ITOJZSL,O,O,O,X,O,O,X,O,O,X,X
ITOSLJZ,O,X,O,X,X,X,X,X,X,X,X
ITOSLZJ,O,X,O,X,O,X,X,X,X,X,X
ITOSJLZ,O,X,O,X,O,X,X,X,X,X,X
ITOSJZL,O,O,O,X,O,O,X,O,X,X,X
ITOSZLJ,O,O,O,X,O,X,X,O,X,X,X
ITOSZJL,O,O,O,X,O,O,X,O,X,X,O
ITOZLJS,O,O,O,X,O,X,X,O,X,X,X
ITOZLSJ,O,O,O,X,O,X,X,O,X,X,X
ITOZJLS,O,O,O,X,O,O,X,O,O,X,X
ITOZJSL,O,O,O,X,O,O,X,O,O,X,O
ITOZSLJ,O,O,O,X,O,X,X,O,X,O,X
ITOZSJL,O,O,O,X,O,O,X,O,O,X,O
ILTJSZO,O,X,O,O,X,O,X,X,X,X,X
ILTJSOZ,O,X,O,O,X,X,O,X,X,X,X
ILTJZSO,O,O,O,O,X,O,X,O,X,X,X
ILTJZOS,O,O,O,O,X,O,X,O,X,X,X
ILTJOSZ,O,X,X,O,X,X,O,X,X,X,X
ILTJOZS,O,O,X,O,X,X,O,O,X,X,X
ILTSJZO,O,X,O,O,X,O,X,X,X,X,X
ILTSJOZ,O,X,O,O,X,X,O,X,X,X,X
ILTSZJO,O,X,O,O,X,O,X,X,X,X,X
ILTSZOJ,O,X,O,O,X,X,X,X,X,X,X
ILTSOJZ,O,X,O,O,X,X,O,X,X,X,X
ILTSOZJ,O,X,O,O,X,X,X,X,X,X,X
ILTZJSO,O,O,O,O,X,O,X,O,X,X,X
ILTZJOS,O,O,O,O,X,O,X,O,X,X,X
ILTZSJO,O,O,O,O,X,O,X,O,X,X,X
ILTZSOJ,O,O,O,O,X,X,X,O,X,X,X
ILTZOJS,O,O,O,O,X,X,X,O,X,X,X
ILTZOSJ,O,O,O,O,X,X,X,O,X,X,X
ILTOJSZ,O,X,X,O,X,X,O,X,X,X,X
ILTOJZS,O,O,X,O,X,X,O,O,X,X,X
ILTOSJZ,O,X,X,O,X,X,O,X,X,X,X
ILTOSZJ,O,X,O,O,X,X,X,X,X,X,X
ILTOZJS,O,O,O,O,X,X,X,O,X,X,X
ILTOZSJ,O,O,O,O,X,X,X,O,X,X,X
ILJTSZO,O,X,O,O,X,O,X,X,X,X,X
ILJTSOZ,O,X,O,O,X,X,O,X,X,X,X
ILJTZSO,O,O,O,O,X,O,X,O,X,X,X
ILJTZOS,O,O,O,O,X,O,X,O,X,X,X
ILJTOSZ,O,X,X,O,X,X,O,X,X,X,X
