sequence,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gB9mB0iB6oBes?BzsB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gBUiBGjB6rBNt?BTsB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gB9nB6oB0mBet?BzrB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gB9mBCjBToB0s?BesB,v115@+gB8HeA8IeD8FeD8DeA8JeZEJvhF3gBTiBStBUsB9r?BOtB
TSIZOLJ,X,X,X,X,X
TSIZOJL,X,X,X,O,X
TSIOLJZ,O,X,X,X,X
TSIOLZJ,X,X,X,X,X
TSIOJLZ,O,X,X,X,X
TSIOJZL,O,O,X,X,X
TSIOZLJ,X,X,X,X,X
TSIOZJL,X,O,X,O,X
TSLIJZO,O,O,X,X,X
TSLIJOZ,X,X,X,X,X
TSLIZJO,X,O,X,X,X
TSLIZOJ,X,X,X,X,X
TSLIOJZ,O,O,X,X,X
TSLIOZJ,X,O,X,X,X
TSLJIZO,O,O,X,X,X
TSLJIOZ,X,X,X,X,X
TSLJZIO,O,O,X,X,X
TSLJZOI,X,X,X,X,X
TSLJOIZ,X,X,X,X,X
TSLJOZI,X,X,X,X,X
TSLZIJO,X,O,X,X,X
TSLZIOJ,X,X,X,X,X
TSLZJIO,X,O,X,X,X
TSLZJOI,X,X,X,X,X
TSLZOIJ,X,X,X,X,X
TSLZOJI,X,X,X,X,X
TSLOIJZ,O,O,X,X,X
TSLOIZJ,X,O,X,X,X
TSLOJIZ,O,O,X,X,X
TSLOJZI,O,O,X,X,X
TSLOZIJ,X,O,X,X,X
TSLOZJI,X,O,X,X,X
TSJILZO,O,O,X,X,X
TSJILOZ,X,X,X,X,X
TSJIZLO,O,X,X,X,X
TSJIZOL,X,X,X,X,X
TSJIOLZ,O,X,X,X,X
TSJIOZL,O,O,X,X,X
TSJLIZO,O,O,X,X,X
TSJLIOZ,X,X,X,X,X
TSJLZIO,O,O,X,X,X
TSJLZOI,X,X,X,X,X
TSJLOIZ,X,X,X,X,X
TSJLOZI,X,X,X,X,X
TSJZILO,O,X,X,X,X
TSJZIOL,X,X,X,X,X
TSJZLIO,O,X,X,X,X
TSJZLOI,X,X,X,X,X
TSJZOIL,X,X,X,X,X
TSJZOLI,X,X,X,X,X
TSJOILZ,O,X,X,X,X
TSJOIZL,O,O,X,X,X
TSJOLIZ,O,X,X,X,X
TSJOLZI,O,X,X,X,X
TSJOZIL,O,O,X,X,X
TSJOZLI,O,X,X,X,X
TSZILJO,X,X,X,X,X
TSZILOJ,X,X,X,X,X
TSZIJLO,X,X,X,X,X
TSZIJOL,X,X,X,X,X
TSZIOLJ,X,X,X,X,X
TSZIOJL,X,X,X,O,X
TSZLIJO,X,X,X,X,X
TSZLIOJ,X,X,X,X,X
TSZLJIO,X,X,X,X,X
TSZLJOI,X,X,X,X,X
TSZLOIJ,X,X,X,X,X
TSZLOJI,X,X,X,X,X
TSZJILO,X,X,X,X,X
TSZJIOL,X,X,X,X,X
TSZJLIO,X,X,X,X,X
TSZJLOI,X,X,X,X,X
TSZJOIL,X,X,X,X,X
TSZJOLI,X,X,X,X,X
TSZOILJ,X,X,X,X,X
TSZOIJL,X,X,X,O,X
TSZOLIJ,X,X,X,X,X
TSZOLJI,X,X,X,X,X
TSZOJIL,X,X,X,X,X
TSZOJLI,X,X,X,X,X
TSOILJZ,O,X,X,X,X
TSOILZJ,X,X,X,X,X
TSOIJLZ,O,X,X,X,X
TSOIJZL,O,O,X,X,X
TSOIZLJ,X,X,X,X,X
TSOIZJL,X,O,X,O,X
TSOLIJZ,O,X,X,X,X
