sequence,v115@vhHZ/IzgB+pBKqBUnB/tBFrBRxB,v115@vhH5DJzhBcpB3lB+sBKtBlrBRvB,v115@vhHZDJzfBKpBUmB/sB+tBFqBRwB,v115@vhH5/IziBKpBcqB3mB+tBlsBRwB,v115@vhHU4ICiB2pBTnB/tBFrBxuBRxB,v115@vhH32ImgBcpBTlBStBlrBRvBxxB,v115@vhHT5IfnBeoB5oBKpBUqBFrBRxB,v115@vhHT1IZkBqkB8lB+tBlrB3sBRvB,v115@vhH/DJZkBqpBxlBlnBmqBUsBTtB,v115@vhHc/I5oBFlBxmBetBTpB3qBCsB,v115@vhH2CJfnB5oBKpBznBUqBFrBRxB,v115@vhHSAJZkB8lBzkB+tBlrB3sBRvB,v115@vhH6DJOkBzkBUnB/tBFrBxuBRxB,v115@vhHO/I6oBcpB3lBznBlrBRvBxxB,v115@vhHUCJ5oBKpBzkBXmBetBFsBxvB,v115@vhHZEJ3gBqpB0mBznB+tBlqBxwB,v115@vhHO6IalBTkBUnB/tBFrBxuBRxB,v115@vhH6+IunBcpB3lBToBlrBRvBxxB,v115@vhHc/I5jBFlBxmBKtBTpB3qBGsB,v115@vhHZ/I/jB+pBxlBlnBiqBUsBTtB,v115@vhHc/I+jBFlBxmBTpB3qBRsBSyB,v115@vhHK/I/jBxlBlnB2uBRqBUsBTtB,v115@vhHZEJ0iBqpBTlB3mB+tBlsBRwB,v115@vhHXAJ5oBKpBUmBTnBetBFqBRwB,v115@vhH0/IfmBKpBxnBFqBGsBTtBRwB,v115@vhH8GJXjBxkB+tBTpBiqBlsBRwB,v115@vhH5+IzgB+mBKpB/tBFqB0sBRwB,v115@vhHZ6IKmBzhBcpB+tBXqBlsBRwB,v115@vhH5+IejBKpBUmB/sBFqBTtBRwB,v115@vhHZ6IqfBcqB3mB+tBTpBlsBRwB,v115@vhH5+I0fBfnB2pBFrBSxBTtBxuB,v115@vhHZ6I8lBXjBStBTpB2vBlrBxxB
JZLTSIO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZLTSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O
JZLTOIS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,O,X,O,X,X,O,O
JZLTOSI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,O,O
JZLITSO,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLITOS,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
JZLISTO,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZLISOT,O,O,O,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,O,O
JZLIOTS,X,X,X,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,O,X,X,O,O
JZLIOST,O,O,O,O,X,O,O,O,O,O,X,O,X,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,O,O
JZLSTIO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZLSTOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O
JZLSITO,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZLSIOT,O,O,O,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,O,O
JZLSOTI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O,O
JZLSOIT,O,O,O,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JZLOTIS,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,O,X,O,O,O
JZLOTSI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,O,X,O,O,O
JZLOITS,X,X,X,X,X,X,O,O,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,O,X,O,O,O
JZLOIST,O,O,O,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JZLOSTI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O,O
JZLOSIT,O,O,O,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JZSTILO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZSTIOL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSTLIO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZSTLOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZSTOIL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZSTOLI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZSITLO,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZSITOL,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSILTO,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZSILOT,O,O,O,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X
JZSIOTL,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X
JZSIOLT,O,X,O,X,O,X,O,O,X,X,X,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,O,O,X,O,X,X
JZSLTIO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZSLTOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O
JZSLITO,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZSLIOT,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,O,O
JZSLOTI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O,O
JZSLOIT,O,O,O,O,X,X,O,O,O,O,X,O,O,O,O,O,X,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JZSOTIL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JZSOTLI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,O,O,X,X
JZSOITL,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JZSOILT,O,X,O,X,X,X,X,O,O,O,X,O,O,O,X,O,X,X,O,O,X,O,X,O,O,O,O,O,O,O,O,O
JZSOLTI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O,O
JZSOLIT,O,O,O,O,X,X,X,O,O,O,X,O,O,O,X,O,X,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JZOTILS,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,O,O,O
JZOTISL,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JZOTLIS,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,O,O
JZOTLSI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,X,X,O,O,O
JZOTSIL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X
JZOTSLI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X
JZOITLS,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,O,O,O
JZOITSL,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JZOILTS,X,X,X,X,X,O,X,O,O,O,X,O,X,O,X,O,X,O,O,O,X,O,X,O,X,O,X,O,X,O,O,O
JZOILST,O,X,O,X,X,O,X,O,O,O,X,O,O,O,X,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O
JZOISTL,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JZOISLT,O,X,O,X,X,O,X,O,O,O,X,O,O,O,X,O,X,O,O,O,X,O,X,O,O,O,O,X,O,O,O,O
JZOLTIS,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,X,O,O,O,X,O,X,O,X,O,X,O,X,O,O,O
JZOLTSI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,O,X,O,O,O
JZOLITS,X,X,X,X,X,O,X,O,O,O,X,O,X,O,X,O,X,O,O,O,X,O,X,O,X,O,X,O,X,O,O,O
JZOLIST,O,O,O,O,X,O,X,O,O,O,X,O,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JZOLSTI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O,O
JZOLSIT,O,O,O,O,X,O,X,O,O,O,X,O,X,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JZOSTIL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JZOSTLI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,O,O,X,X
JZOSITL,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JZOSILT,O,X,O,X,X,O,X,O,O,O,X,O,O,O,X,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O
JZOSLTI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,O
JZOSLIT,O,O,O,O,X,O,X,O,O,O,X,O,O,O,X,O,X,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O
JOTILSZ,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O
JOTILZS,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,O,O
JOTISLZ,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOTISZL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JOTIZLS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O,O,O
JOTIZSL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JOTLISZ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O,O
JOTLIZS,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O
JOTLSIZ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,O,O,X,O,O,X,O,X,O,X,X,X,O,O
JOTLSZI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,O,O
JOTLZIS,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,O,O
JOTLZSI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,X,X,X,O,O
JOTSILZ,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X
JOTSIZL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X
JOTSLIZ,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,O,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X
JOTSLZI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
JOTSZIL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X
JOTSZLI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X
JOTZILS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,O,O,O
JOTZISL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JOTZLIS,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,O,O
JOTZLSI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,X,X,O,O,O
JOTZSIL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X
JOTZSLI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X
JOITLSZ,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O
JOITLZS,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,O,O
JOITSLZ,X,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JOITSZL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JOITZLS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O,O,O
JOITZSL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JOILTSZ,X,X,X,X,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O,O
JOILTZS,X,X,X,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O
JOILSTZ,X,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,O,X,O,X,O,X,O,X,O,O
JOILSZT,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O
JOILZTS,X,X,X,X,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,X,O,X,O,X,O,X,X,X,O,O,O
JOILZST,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O
JOISTLZ,X,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X
JOISTZL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JOISLTZ,X,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,O,X,O,X,O,X,O,X,O,O
JOISLZT,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O
JOISZTL,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JOISZLT,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,X,O,O,O,O,X,O,O,O,O
JOIZTLS,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O,O,O
JOIZTSL,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JOIZLTS,X,X,X,X,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,X,O,X,O,X,O,X,X,X,O,O,O
JOIZLST,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,X,O,O,O,O,X,O,O,O,O
JOIZSTL,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JOIZSLT,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,X,O,O,O,O,X,O,O,O,O
JOLTISZ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O,O
JOLTIZS,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O
JOLTSIZ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X,O,O,X,O,O,X,O,X,O,X,X,X,O,O
JOLTSZI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,O,O
JOLTZIS,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,O,O,O,X,O,X,O,X,O,X,O,X,O,O,O
JOLTZSI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,O,X,X,O,O
JOLITSZ,X,X,X,X,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O,O
JOLITZS,X,X,X,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O
JOLISTZ,X,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,O,X,O,X,O,X,O,X,O,O
JOLISZT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JOLIZTS,X,X,X,X,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,X,O,X,O,X,O,X,O,X,O,O,O
JOLIZST,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JOLSTIZ,X,X,X,X,X,X,X,X,O,O,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O,X,O,X,O,X,O,O
JOLSTZI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X,O,O
JOLSITZ,X,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,O,X,O,X,O,X,O,X,O,O
JOLSIZT,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JOLSZTI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O,O
JOLSZIT,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JOLZTIS,X,X,X,X,X,X,X,X,O,O,O,O,X,O,X,O,X,O,O,O,X,O,X,O,X,O,X,O,X,O,O,O
JOLZTSI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,O,X,O,O,O
JOLZITS,X,X,X,X,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,X,O,X,O,X,O,X,O,X,O,O,O
JOLZIST,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JOLZSTI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O,O
JOLZSIT,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JOSTILZ,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X
JOSTIZL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JOSTLIZ,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,O,X,O,O,X,O,O,X,O,X,O,X,O,X,X,X
JOSTLZI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X
JOSTZIL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JOSTZLI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,O,O,X,X
JOSITLZ,X,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X
JOSITZL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JOSILTZ,X,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,O,X,O,X,O,X,O,X,O,O
JOSILZT,O,X,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O
JOSIZTL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JOSIZLT,O,X,O,X,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,O,X,O,O,O,O,X,O,O,O,O
JOSLTIZ,X,X,X,X,X,X,X,X,O,O,O,O,O,X,O,X,O,X,O,O,X,O,O,X,O,X,O,X,O,X,O,O
JOSLTZI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X,O,O
JOSLITZ,X,X,X,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,O,X,O,X,O,X,O,X,O,O
JOSLIZT,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JOSLZTI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O,O
JOSLZIT,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JOSZTIL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JOSZTLI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,O,O,X,X
JOSZITL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JOSZILT,O,X,O,X,X,O,X,O,O,O,O,O,O,X,X,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O
JOSZLTI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O,O
JOSZLIT,O,O,O,O,X,O,X,O,O,O,O,O,O,X,X,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O
JOZTILS,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,O,O,O
JOZTISL,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JOZTLIS,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,X,O,O,O,X,O,X,O,X,O,X,X,X,O,O,O
JOZTLSI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,X,X,O,O,O
JOZTSIL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X
JOZTSLI,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X
JOZITLS,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O,O,O
JOZITSL,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JOZILTS,X,X,X,X,X,O,X,O,O,O,O,O,X,O,X,O,O,O,O,O,X,O,X,O,X,O,X,O,X,O,O,O
JOZILST,O,X,O,X,X,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O
JOZISTL,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,O,X,X
JOZISLT,O,X,O,X,X,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,X,O,O,O,O,X,O,O,O,O
JOZLTIS,X,X,X,X,X,X,X,X,O,O,O,O,X,O,X,O,X,O,O,O,X,O,X,O,X,O,X,O,X,O,O,O
JOZLTSI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,O,X,O,O,O
JOZLITS,X,X,X,X,X,O,X,O,O,O,O,O,X,O,X,O,O,O,O,O,X,O,X,O,X,O,X,O,X,O,O,O
