sequence,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFzfBGhBiiBU?mBFqBXsB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFzfBfmBiiBW?sBFqB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8Jex/IvhFylBzhBOpB3?nBFqB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFFgBiiBfqBz?lBWsB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFXhBzkBUnBG?rBFqBisB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JexAJvhFiiBlkBcqBT?mBOpBXsB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFylBzhBWqB3?nB0rBFqB
TZOSJLI,O,O,O,X,X,O,X
TOILJSZ,O,O,X,X,X,X,X
TOILJZS,O,O,X,X,X,X,X
TOILSJZ,O,O,X,X,X,X,X
TOILSZJ,O,X,X,X,X,X,X
TOILZJS,O,X,X,X,X,O,X
TOILZSJ,O,X,X,X,X,O,X
TOIJLSZ,O,O,X,O,X,X,X
TOIJLZS,O,O,X,X,X,X,X
TOIJSLZ,O,O,X,O,X,X,X
TOIJSZL,O,O,X,O,O,X,X
TOIJZLS,O,O,X,X,X,X,X
TOIJZSL,O,O,X,X,O,X,X
TOISLJZ,O,O,X,O,X,X,X
TOISLZJ,O,X,X,X,X,X,X
TOISJLZ,O,O,X,O,X,X,X
TOISJZL,O,O,X,O,X,X,X
TOISZLJ,O,X,X,X,X,X,X
TOISZJL,O,O,X,O,X,X,X
TOIZLJS,O,X,X,X,X,O,X
TOIZLSJ,O,X,X,X,X,O,X
TOIZJLS,O,O,X,X,X,O,X
TOIZJSL,O,O,X,X,O,X,X
TOIZSLJ,O,X,X,X,X,O,X
TOIZSJL,O,O,X,X,O,X,X
TOLIJSZ,O,O,X,X,X,X,X
TOLIJZS,O,O,X,X,X,X,X
TOLISJZ,O,O,X,X,X,X,X
TOLISZJ,O,X,X,X,X,X,X
TOLIZJS,O,X,X,X,X,O,X
TOLIZSJ,O,X,X,X,X,O,X
TOLJISZ,O,O,X,X,X,X,X
TOLJIZS,O,O,O,X,X,X,X
TOLJSIZ,O,O,X,X,X,X,X
TOLJSZI,O,O,X,X,X,X,X
TOLJZIS,O,O,O,X,X,X,X
TOLJZSI,O,O,O,X,X,X,X
TOLSIJZ,O,O,X,X,X,X,X
TOLSIZJ,O,X,X,X,X,X,X
TOLSJIZ,O,O,X,X,X,X,X
TOLSJZI,O,O,X,X,X,X,X
TOLSZIJ,O,X,X,X,X,X,X
TOLSZJI,O,X,X,X,X,X,X
TOLZIJS,O,X,O,X,X,O,X
TOLZISJ,O,X,X,X,X,O,X
TOLZJIS,O,X,O,X,X,O,X
TOLZJSI,O,X,O,X,X,O,X
TOLZSIJ,O,X,X,X,X,O,X
TOLZSJI,O,X,O,X,X,O,X
TOJILSZ,O,O,X,O,X,X,X
TOJILZS,O,O,O,X,X,X,X
TOJISLZ,O,O,X,O,X,X,X
TOJISZL,O,O,X,O,O,X,X
TOJIZLS,O,O,O,X,X,X,X
TOJIZSL,O,O,O,X,O,X,X
TOJLISZ,O,O,X,O,X,X,X
TOJLIZS,O,O,O,X,X,X,X
TOJLSIZ,O,O,X,O,X,X,X
TOJLSZI,O,O,X,O,X,X,X
TOJLZIS,O,O,O,X,X,X,X
TOJLZSI,O,O,O,X,X,X,X
TOJSILZ,O,O,X,O,X,X,X
TOJSIZL,O,O,X,O,O,X,X
TOJSLIZ,O,O,X,O,X,X,X
TOJSLZI,O,O,X,O,X,X,X
TOJSZIL,O,O,X,O,O,X,X
TOJSZLI,O,O,X,O,X,X,X
TOJZILS,O,O,O,X,X,X,X
TOJZISL,O,O,O,X,O,X,X
TOJZLIS,O,O,O,X,X,X,X
TOJZLSI,O,O,O,X,X,X,X
TOJZSIL,O,O,O,X,O,X,X
TOJZSLI,O,O,O,X,X,X,X
TOSILJZ,O,O,X,O,X,X,X
TOSILZJ,O,X,X,X,X,X,X
TOSIJLZ,O,O,X,O,X,X,X
TOSIJZL,O,O,X,O,X,X,X
TOSIZLJ,O,X,X,X,X,X,X
TOSIZJL,O,O,X,O,X,X,X
TOSLIJZ,O,O,X,O,X,X,X
TOSLIZJ,O,X,X,X,X,X,X
TOSLJIZ,O,O,X,O,X,X,X
TOSLJZI,O,O,X,O,X,X,X
TOSLZIJ,O,X,X,X,X,X,X
TOSLZJI,O,X,X,X,X,X,X
TOSJILZ,O,O,X,O,X,X,X
TOSJIZL,O,O,X,O,X,X,X
TOSJLIZ,O,O,X,O,X,X,X
TOSJLZI,O,O,X,O,X,X,X
TOSJZIL,O,O,X,O,X,X,X
TOSJZLI,O,O,X,O,X,X,X
TOSZILJ,O,X,X,X,X,X,X
TOSZIJL,O,O,X,O,X,X,X
TOSZLIJ,O,X,X,X,X,X,X
TOSZLJI,O,X,X,X,X,X,X
TOSZJIL,O,O,X,O,X,X,X
TOSZJLI,O,O,X,O,X,X,X
TOZILJS,O,X,O,X,X,O,X
TOZILSJ,O,X,X,X,X,O,X
TOZIJLS,O,O,O,X,X,O,X
TOZIJSL,O,O,O,X,O,X,X
TOZISLJ,O,X,X,X,X,O,X
TOZISJL,O,O,X,X,O,X,X
TOZLIJS,O,X,O,X,X,O,X
TOZLISJ,O,X,X,X,X,O,X
TOZLJIS,O,X,O,X,X,O,X
TOZLJSI,O,X,O,X,X,O,X
TOZLSIJ,O,X,X,X,X,O,X
TOZLSJI,O,X,O,X,X,O,X
TOZJILS,O,O,O,X,X,O,X
TOZJISL,O,O,O,X,O,X,X
TOZJLIS,O,O,O,X,X,O,X
TOZJLSI,O,O,O,X,X,O,X
TOZJSIL,O,O,O,X,O,X,X
TOZJSLI,O,O,O,X,X,X,X
TOZSILJ,O,X,X,X,X,O,X
TOZSIJL,O,O,X,X,O,X,X
TOZSLIJ,O,X,X,X,X,O,X
TOZSLJI,O,X,O,X,X,O,X
TOZSJIL,O,O,O,X,X,X,X
TOZSJLI,O,O,O,X,X,X,X
ITLJSZO,O,O,O,X,X,X,X
ITLJSOZ,O,O,X,O,X,X,X
ITLJZSO,O,O,O,X,X,X,X
ITLJZOS,O,O,O,X,X,X,X
ITLJOSZ,O,O,X,O,X,X,X
ITLJOZS,O,O,O,X,X,X,X
ITLSJZO,O,O,X,X,X,X,X
ITLSJOZ,O,O,X,O,X,X,X
ITLSZJO,O,X,X,X,X,X,X
ITLSZOJ,O,X,X,X,X,X,X
ITLSOJZ,O,O,X,X,X,X,X
ITLSOZJ,O,X,X,X,X,X,X
ITLZJSO,O,X,O,X,X,X,X
ITLZJOS,O,X,O,X,X,X,X
ITLZSJO,O,X,X,X,X,X,X
ITLZSOJ,O,X,X,X,X,X,X
ITLZOJS,O,X,O,X,X,X,X
ITLZOSJ,O,X,X,X,X,X,X
ITLOJSZ,O,O,X,X,X,X,X
ITLOJZS,O,O,X,X,X,X,X
ITLOSJZ,O,O,X,X,X,X,X
ITLOSZJ,O,X,X,X,X,X,X
ITLOZJS,O,X,X,X,X,X,X
ITLOZSJ,O,X,X,X,X,X,X
ITJLSZO,O,O,O,X,X,X,X
ITJLSOZ,O,O,X,O,X,X,X
ITJLZSO,O,O,O,X,X,X,X
ITJLZOS,O,O,O,X,X,X,O
ITJLOSZ,O,O,X,O,X,X,X
ITJLOZS,O,O,O,X,X,X,X
ITJSLZO,O,O,O,X,X,X,X
ITJSLOZ,O,O,X,O,X,X,X
ITJSZLO,O,O,O,X,X,X,X
ITJSZOL,O,O,O,X,O,X,X
ITJSOLZ,O,O,X,O,X,X,X
ITJSOZL,O,O,X,O,O,X,X
ITJZLSO,O,O,O,X,X,X,X
ITJZLOS,O,O,O,X,X,X,O
ITJZSLO,O,O,O,X,X,X,X
ITJZSOL,O,O,O,X,O,X,X
ITJZOLS,O,O,O,X,X,X,O
ITJZOSL,O,O,O,X,O,X,X
ITJOLSZ,O,O,X,O,X,X,X
ITJOLZS,O,O,O,X,X,X,X
ITJOSLZ,O,O,X,O,X,X,X
ITJOSZL,O,O,X,O,O,X,X
ITJOZLS,O,O,O,X,X,X,X
ITJOZSL,O,O,O,X,O,X,X
ITSLJZO,O,O,X,X,X,X,X
ITSLJOZ,O,O,X,O,X,X,X
ITSLZJO,O,X,X,X,X,X,X
ITSLZOJ,O,X,X,X,X,X,X
ITSLOJZ,O,O,X,O,X,X,X
ITSLOZJ,O,X,X,X,X,X,X
ITSJLZO,O,O,X,X,X,X,X
ITSJLOZ,O,O,X,O,X,X,X
ITSJZLO,O,O,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X
ITSJOLZ,O,O,X,O,X,X,X
ITSJOZL,O,O,X,O,X,X,X
ITSZLJO,O,X,X,X,X,X,X
ITSZLOJ,O,X,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X
ITSZJOL,O,O,X,X,X,X,X
ITSZOLJ,O,X,X,X,X,X,X
ITSZOJL,O,O,X,O,X,X,X
ITSOLJZ,O,O,X,O,X,X,X
ITSOLZJ,O,X,X,X,X,X,X
ITSOJLZ,O,O,X,O,X,X,X
ITSOJZL,O,O,X,O,X,X,X
ITSOZLJ,O,X,X,X,X,X,X
ITSOZJL,O,O,X,O,X,X,X
ITZLJSO,O,X,O,X,X,X,X
ITZLJOS,O,X,O,X,X,X,O
ITZLSJO,O,X,X,X,X,X,X
ITZLSOJ,O,X,X,X,X,X,X
ITZLOJS,O,X,O,X,X,X,O
ITZLOSJ,O,X,X,X,X,X,X
ITZJLSO,O,O,O,X,X,X,X
ITZJLOS,O,O,O,X,X,X,O
ITZJSLO,O,O,O,X,X,X,X
ITZJSOL,O,O,O,X,O,X,X
ITZJOLS,O,O,O,X,X,X,O
ITZJOSL,O,O,O,X,O,X,X
ITZSLJO,O,X,X,X,X,X,X
ITZSLOJ,O,X,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X
ITZSJOL,O,O,X,X,O,X,X
ITZSOLJ,O,X,X,X,X,X,X
ITZSOJL,O,O,X,X,O,X,X
ITZOLJS,O,X,O,X,X,X,O
ITZOLSJ,O,X,X,X,X,X,X
ITZOJLS,O,O,O,X,X,X,O
ITZOJSL,O,O,O,X,O,X,X
ITZOSLJ,O,X,X,X,X,X,X
ITZOSJL,O,O,X,X,O,X,X
ITOLJSZ,O,O,X,X,X,X,X
ITOLJZS,O,O,X,X,X,X,X
ITOLSJZ,O,O,X,X,X,X,X
ITOLSZJ,O,X,X,X,X,X,X
ITOLZJS,O,X,X,X,X,X,X
ITOLZSJ,O,X,X,X,X,X,X
ITOJLSZ,O,O,X,O,X,X,X
ITOJLZS,O,O,X,X,X,X,X
ITOJSLZ,O,O,X,O,X,X,X
ITOJSZL,O,O,X,O,O,X,X
ITOJZLS,O,O,X,X,X,X,X
ITOJZSL,O,O,X,X,O,X,X
ITOSLJZ,O,O,X,O,X,X,X
ITOSLZJ,O,X,X,X,X,X,X
ITOSJLZ,O,O,X,O,X,X,X
ITOSJZL,O,O,X,O,X,X,X
ITOSZLJ,O,X,X,X,X,X,X
ITOSZJL,O,O,X,O,X,X,X
ITOZLJS,O,X,X,X,X,X,X
ITOZLSJ,O,X,X,X,X,X,X
ITOZJLS,O,O,X,X,X,X,X
ITOZJSL,O,O,X,X,O,X,X
ITOZSLJ,O,X,X,X,X,X,X
ITOZSJL,O,O,X,X,O,X,X
ILTJSZO,O,O,X,X,X,X,X
ILTJSOZ,O,O,X,O,X,X,X
ILTJZSO,O,O,X,X,X,X,X
ILTJZOS,O,O,X,X,X,X,X
ILTJOSZ,O,O,X,O,X,X,X
ILTJOZS,O,O,X,X,X,X,X
ILTSJZO,O,O,X,X,X,X,X
ILTSJOZ,O,O,X,O,X,X,X
ILTSZJO,O,X,X,X,X,X,X
ILTSZOJ,O,X,X,X,X,X,X
ILTSOJZ,O,O,X,X,X,X,X
ILTSOZJ,O,X,X,X,X,X,X
ILTZJSO,O,X,X,X,X,X,X
ILTZJOS,O,X,X,X,X,X,X
ILTZSJO,O,X,X,X,X,X,X
ILTZSOJ,O,X,X,X,X,X,X
ILTZOJS,O,X,X,X,X,X,X
ILTZOSJ,O,X,X,X,X,X,X
ILTOJSZ,O,O,X,X,X,X,X
ILTOJZS,O,O,X,X,X,X,X
ILTOSJZ,O,O,X,X,X,X,X
ILTOSZJ,O,X,X,X,X,X,X
ILTOZJS,O,X,X,X,X,X,X
ILTOZSJ,O,X,X,X,X,X,X
ILJTSZO,O,O,X,X,X,X,X
ILJTSOZ,O,O,X,O,X,X,X
ILJTZSO,O,O,X,X,X,X,X
ILJTZOS,O,O,X,X,X,X,O
ILJTOSZ,O,O,X,O,X,X,X
ILJTOZS,O,O,X,X,X,X,X
ILJSTZO,O,O,X,X,X,X,X
ILJSTOZ,O,O,X,O,X,X,X
ILJSZTO,O,O,X,X,X,X,X
ILJSZOT,O,X,X,O,O,X,O
ILJSOTZ,X,O,X,O,X,X,X
ILJSOZT,X,X,X,O,O,X,X
ILJZTSO,O,O,X,X,X,X,X
ILJZTOS,O,O,X,X,X,X,O
ILJZSTO,O,O,X,X,X,X,X
ILJZSOT,X,X,X,O,O,X,O
ILJZOTS,O,X,X,X,X,X,O
ILJZOST,X,X,X,O,O,X,O
ILJOTSZ,X,O,X,O,X,X,X
ILJOTZS,X,O,X,X,X,X,X
ILJOSTZ,X,O,X,O,X,X,X
ILJOSZT,X,X,X,O,O,X,X
ILJOZTS,X,X,X,X,X,X,O
ILJOZST,X,X,X,O,O,X,O
ILSTJZO,O,O,X,X,X,X,X
ILSTJOZ,O,O,X,O,X,X,X
ILSTZJO,O,X,X,X,X,X,X
ILSTZOJ,O,X,X,X,X,X,X
ILSTOJZ,O,O,X,O,X,X,X
ILSTOZJ,O,X,X,X,X,X,X
ILSJTZO,O,O,X,X,X,X,X
ILSJTOZ,O,O,X,O,X,X,X
ILSJZTO,O,O,X,X,X,X,X
ILSJZOT,O,X,X,O,X,X,X
ILSJOTZ,X,O,X,O,X,X,X
ILSJOZT,X,X,X,O,X,X,X
ILSZTJO,O,X,X,X,X,X,X
ILSZTOJ,O,X,X,X,X,O,X
ILSZJTO,O,X,X,X,X,X,X
ILSZJOT,O,X,X,O,X,X,X
ILSZOTJ,O,X,X,X,X,O,X
ILSZOJT,O,X,X,X,X,O,X
ILSOTJZ,O,X,X,O,X,X,X
ILSOTZJ,O,X,X,X,X,O,X
ILSOJTZ,X,X,X,O,X,X,X
ILSOJZT,X,X,X,O,X,O,X
ILSOZTJ,O,X,X,X,X,O,X
ILSOZJT,O,X,X,X,X,O,X
ILZTJSO,O,X,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,O
ILZTSJO,O,X,X,X,X,X,X
ILZTSOJ,O,X,X,X,X,O,X
ILZTOJS,O,X,X,X,X,O,O
ILZTOSJ,O,X,X,X,X,O,X
ILZJTSO,O,O,X,X,X,X,X
ILZJTOS,O,O,X,X,X,X,O
ILZJSTO,O,O,X,X,X,X,X
ILZJSOT,X,X,X,O,O,X,O
ILZJOTS,O,X,X,X,X,X,O
ILZJOST,X,X,X,O,O,X,O
ILZSTJO,O,X,X,X,X,X,X
ILZSTOJ,O,X,X,X,X,O,X
ILZSJTO,O,X,X,X,X,X,X
ILZSJOT,O,X,X,O,O,X,O
ILZSOTJ,O,X,X,X,X,O,X
ILZSOJT,O,X,X,X,O,O,O
ILZOTJS,O,X,X,X,X,O,O
ILZOTSJ,O,X,X,X,X,O,X
ILZOJTS,O,X,X,X,X,O,O
ILZOJST,X,X,X,X,O,X,O
ILZOSTJ,X,X,X,X,X,O,X
ILZOSJT,X,X,X,X,O,X,O
ILOTJSZ,O,X,X,X,X,X,X
ILOTJZS,O,X,X,X,X,X,X
ILOTSJZ,O,X,X,X,X,X,X
ILOTSZJ,O,X,X,X,X,X,X
ILOTZJS,O,X,X,X,X,O,X
ILOTZSJ,O,X,X,X,X,O,X
ILOJTSZ,X,O,X,O,X,X,X
ILOJTZS,X,O,X,X,X,X,X
ILOJSTZ,X,O,X,O,X,X,X
ILOJSZT,X,X,X,O,O,X,X
ILOJZTS,X,X,X,X,X,O,X
ILOJZST,X,X,X,O,O,X,X
ILOSTJZ,O,X,X,O,X,X,X
ILOSTZJ,O,X,X,X,X,X,X
ILOSJTZ,X,X,X,O,X,X,X
ILOSJZT,X,X,X,O,X,X,X
ILOSZTJ,O,X,X,X,X,O,X
ILOSZJT,O,X,X,X,X,X,X
ILOZTJS,O,X,X,X,X,O,X
ILOZTSJ,O,X,X,X,X,O,X
ILOZJTS,O,X,X,X,X,O,X
ILOZJST,X,X,X,X,O,X,X
ILOZSTJ,X,X,X,X,X,O,X
ILOZSJT,X,X,X,X,O,X,X
IJTLSZO,O,O,O,X,X,X,X
IJTLSOZ,O,O,X,O,X,X,X
IJTLZSO,O,O,O,X,X,X,X
IJTLZOS,O,O,O,X,X,X,O
IJTLOSZ,O,O,X,O,X,X,X
IJTLOZS,O,O,O,X,X,X,X
IJTSLZO,O,O,O,X,X,X,X
IJTSLOZ,O,O,X,O,X,X,X
IJTSZLO,O,O,O,X,X,X,X
IJTSZOL,O,O,O,X,O,X,X
IJTSOLZ,O,O,X,O,X,X,X
IJTSOZL,O,O,X,O,O,X,X
IJTZLSO,O,O,O,X,X,X,X
IJTZLOS,O,O,O,X,X,X,O
IJTZSLO,O,O,O,X,X,X,X
IJTZSOL,O,O,O,X,O,X,X
IJTZOLS,O,O,O,X,X,X,O
IJTZOSL,O,O,O,X,O,X,X
IJTOLSZ,O,O,X,O,X,X,X
IJTOLZS,O,O,O,X,X,X,X
IJTOSLZ,O,O,X,O,X,X,X
IJTOSZL,O,O,X,O,O,X,X
IJTOZLS,O,O,O,X,X,X,X
IJTOZSL,O,O,O,X,O,X,X
IJLTSZO,O,O,O,X,X,X,X
IJLTSOZ,O,O,X,O,X,X,X
IJLTZSO,O,O,O,X,X,X,X
IJLTZOS,O,O,O,X,X,X,O
IJLTOSZ,O,O,X,O,X,X,X
IJLTOZS,O,O,O,X,X,X,X
IJLSTZO,O,O,X,X,X,X,X
IJLSTOZ,O,O,X,O,X,X,X
IJLSZTO,O,O,X,X,X,X,X
IJLSZOT,O,X,X,O,O,X,O
IJLSOTZ,X,O,X,O,X,X,X
IJLSOZT,X,X,X,O,O,X,X
IJLZTSO,O,O,X,X,X,X,X
IJLZTOS,O,O,O,X,X,X,O
IJLZSTO,O,O,X,X,X,X,X
IJLZSOT,X,X,O,O,O,X,O
IJLZOTS,O,X,O,X,X,X,O
IJLZOST,X,X,O,O,O,X,O
IJLOTSZ,X,O,X,O,X,X,X
IJLOTZS,X,O,X,X,X,X,X
IJLOSTZ,X,O,X,O,X,X,X
IJLOSZT,X,X,X,O,O,X,X
IJLOZTS,X,X,X,X,X,X,O
IJLOZST,X,X,X,O,O,X,O
IJSTLZO,O,O,O,X,X,X,X
IJSTLOZ,O,O,X,O,X,X,X
IJSTZLO,O,O,O,X,X,X,X
IJSTZOL,O,O,O,X,O,X,X
IJSTOLZ,O,O,X,O,X,X,X
IJSTOZL,O,O,X,O,O,X,X
IJSLTZO,O,O,X,X,X,X,X
IJSLTOZ,O,O,X,O,X,X,X
IJSLZTO,O,O,X,X,X,X,X
IJSLZOT,O,X,X,O,O,X,O
IJSLOTZ,X,O,X,O,X,X,X
IJSLOZT,X,X,X,O,O,X,X
IJSZTLO,O,O,X,X,X,X,X
IJSZTOL,O,O,X,X,O,X,X
IJSZLTO,O,O,X,X,X,X,X
IJSZLOT,O,X,O,O,O,X,O
IJSZOTL,O,X,X,O,O,X,X
IJSZOLT,O,X,O,O,O,X,O
IJSOTLZ,X,O,X,O,X,X,X
IJSOTZL,X,O,X,O,O,X,X
IJSOLTZ,X,O,X,O,X,X,X
IJSOLZT,X,X,X,O,O,X,X
IJSOZTL,X,X,X,O,O,X,X
IJSOZLT,X,X,X,O,O,X,X
IJZTLSO,O,O,O,X,X,X,X
IJZTLOS,O,O,O,X,X,X,O
IJZTSLO,O,O,O,X,X,X,X
IJZTSOL,O,O,O,X,O,X,X
IJZTOLS,O,O,O,X,X,X,O
IJZTOSL,O,O,O,X,O,X,X
IJZLTSO,O,O,X,X,X,X,X
IJZLTOS,O,O,O,X,X,X,O
IJZLSTO,O,O,X,X,X,X,X
IJZLSOT,X,X,O,O,O,X,O
IJZLOTS,O,X,O,X,X,X,O
IJZLOST,X,X,O,O,O,X,O
IJZSTLO,O,O,X,X,X,X,X
IJZSTOL,O,O,X,X,O,X,X
IJZSLTO,O,O,X,X,X,X,X
IJZSLOT,O,X,O,O,O,X,O
IJZSOTL,O,X,X,O,O,X,X
IJZSOLT,O,X,O,O,O,X,O
IJZOTLS,O,X,O,X,X,X,O
IJZOTSL,O,X,O,X,O,X,X
IJZOLTS,O,X,O,X,X,X,O
IJZOLST,X,X,O,O,O,X,O
IJZOSTL,X,X,X,O,O,X,X
IJZOSLT,X,X,O,O,O,X,O
IJOTLSZ,X,O,X,O,X,X,X
IJOTLZS,X,O,O,X,X,X,X
IJOTSLZ,X,O,X,O,X,X,X
IJOTSZL,X,O,X,O,O,X,X
IJOTZLS,X,O,O,X,X,X,X
IJOTZSL,X,O,O,X,O,X,X
IJOLTSZ,X,O,X,O,X,X,X
IJOLTZS,X,O,X,X,X,X,X
IJOLSTZ,X,O,X,O,X,X,X
IJOLSZT,X,X,X,O,O,X,X
IJOLZTS,X,X,X,X,X,X,O
IJOLZST,X,X,X,O,O,X,O
IJOSTLZ,X,O,X,O,X,X,X
IJOSTZL,X,O,X,O,O,X,X
IJOSLTZ,X,O,X,O,X,X,X
IJOSLZT,X,X,X,O,O,X,X
IJOSZTL,X,X,X,O,O,X,X
IJOSZLT,X,X,X,O,O,X,X
IJOZTLS,X,X,O,X,X,X,O
IJOZTSL,X,X,X,X,O,X,X
IJOZLTS,X,X,O,X,X,X,O
IJOZLST,X,X,O,O,O,X,O
IJOZSTL,X,X,X,O,O,X,X
IJOZSLT,X,X,O,O,O,X,O
ISTLJZO,O,O,X,X,X,X,X
ISTLJOZ,O,O,X,O,X,X,X
ISTLZJO,O,X,X,X,X,X,X
ISTLZOJ,O,X,X,X,X,X,X
ISTLOJZ,O,O,X,O,X,X,X
ISTLOZJ,O,X,X,X,X,X,X
ISTJLZO,O,O,X,X,X,X,X
ISTJLOZ,O,O,X,O,X,X,X
ISTJZLO,O,O,X,X,X,X,X
ISTJZOL,O,O,X,X,X,X,X
ISTJOLZ,O,O,X,O,X,X,X
ISTJOZL,O,O,X,O,X,X,X
ISTZLJO,O,X,X,X,X,X,X
ISTZLOJ,O,X,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,X
ISTZOLJ,O,X,X,X,X,X,X
ISTZOJL,O,O,X,O,X,X,X
ISTOLJZ,O,O,X,O,X,X,X
ISTOLZJ,O,X,X,X,X,X,X
ISTOJLZ,O,O,X,O,X,X,X
ISTOJZL,O,O,X,O,X,X,X
ISTOZLJ,O,X,X,X,X,X,X
ISTOZJL,O,O,X,O,X,X,X
ISLTJZO,O,O,X,X,X,X,X
ISLTJOZ,O,O,X,O,X,X,X
ISLTZJO,O,X,X,X,X,X,X
ISLTZOJ,O,X,X,X,X,X,X
ISLTOJZ,O,O,X,O,X,X,X
ISLTOZJ,O,X,X,X,X,X,X
ISLJTZO,O,O,X,X,X,X,X
ISLJTOZ,O,O,X,O,X,X,X
ISLJZTO,O,O,X,X,X,X,X
ISLJZOT,O,X,X,O,X,X,X
ISLJOTZ,X,O,X,O,X,X,X
ISLJOZT,X,X,X,O,X,X,X
ISLZTJO,O,X,X,X,X,X,X
ISLZTOJ,O,X,X,X,X,O,X
ISLZJTO,O,X,X,X,X,X,X
ISLZJOT,O,X,X,O,X,X,X
ISLZOTJ,O,X,X,X,X,O,X
ISLZOJT,O,X,X,X,X,O,X
ISLOTJZ,O,X,X,O,X,X,X
ISLOTZJ,O,X,X,X,X,O,X
ISLOJTZ,X,X,X,O,X,X,X
ISLOJZT,X,X,X,O,X,O,X
ISLOZTJ,O,X,X,X,X,O,X
ISLOZJT,O,X,X,X,X,O,X
ISJTLZO,O,O,X,X,X,X,X
ISJTLOZ,O,O,X,O,X,X,X
ISJTZLO,O,O,X,X,X,X,X
ISJTZOL,O,O,X,X,O,X,X
ISJTOLZ,O,O,X,O,X,X,X
ISJTOZL,O,O,X,O,O,X,X
ISJLTZO,O,O,X,X,X,X,X
ISJLTOZ,O,O,X,O,X,X,X
ISJLZTO,O,O,X,X,X,X,X
ISJLZOT,O,X,X,O,O,X,O
ISJLOTZ,X,O,X,O,X,X,X
ISJLOZT,X,X,X,O,O,X,X
ISJZTLO,O,O,X,X,X,X,X
ISJZTOL,O,O,X,X,O,X,X
ISJZLTO,O,O,X,X,X,X,X
ISJZLOT,O,X,X,O,O,X,O
ISJZOTL,O,X,X,O,O,X,X
ISJZOLT,O,X,X,O,O,X,O
ISJOTLZ,X,O,X,O,X,X,X
ISJOTZL,X,O,X,O,O,X,X
ISJOLTZ,X,O,X,O,X,X,X
ISJOLZT,X,X,X,O,O,X,X
ISJOZTL,X,X,X,O,O,X,X
ISJOZLT,X,X,X,O,O,X,X
ISZTLJO,O,X,X,X,X,X,X
ISZTLOJ,O,X,X,X,X,O,X
ISZTJLO,O,O,X,X,X,X,X
ISZTJOL,O,O,X,X,O,X,X
ISZTOLJ,O,X,X,X,X,O,X
ISZTOJL,O,O,X,O,O,O,X
ISZLTJO,O,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,O,X
ISZLJTO,O,X,X,X,X,X,X
ISZLJOT,O,X,X,O,O,X,O
ISZLOTJ,O,X,X,X,X,O,X
ISZLOJT,O,X,X,X,O,O,O
ISZJTLO,O,O,X,X,X,X,X
ISZJTOL,O,O,X,X,O,X,X
ISZJLTO,O,O,X,X,X,X,X
ISZJLOT,O,X,X,O,O,X,O
ISZJOTL,O,X,X,O,O,X,X
ISZJOLT,O,X,X,O,O,X,O
ISZOTLJ,O,X,X,X,X,O,X
ISZOTJL,O,X,X,O,O,O,X
ISZOLTJ,O,X,X,X,X,O,X
ISZOLJT,O,X,X,X,O,O,O
ISZOJTL,O,X,X,O,O,O,X
ISZOJLT,O,X,X,O,O,O,O
ISOTLJZ,O,O,X,O,X,X,X
ISOTLZJ,O,X,X,X,X,O,X
ISOTJLZ,O,O,X,O,X,X,X
ISOTJZL,O,O,X,O,X,X,X
ISOTZLJ,O,X,X,X,X,O,X
ISOTZJL,O,O,X,O,X,O,X
ISOLTJZ,O,X,X,O,X,X,X
ISOLTZJ,O,X,X,X,X,O,X
ISOLJTZ,X,X,X,O,X,X,X
ISOLJZT,X,X,X,O,X,O,X
ISOLZTJ,O,X,X,X,X,O,X
ISOLZJT,O,X,X,X,X,O,X
ISOJTLZ,X,O,X,O,X,X,X
ISOJTZL,X,O,X,O,O,X,X
ISOJLTZ,X,O,X,O,X,X,X
ISOJLZT,X,X,X,O,O,O,X
ISOJZTL,X,X,X,O,O,O,X
ISOJZLT,X,X,X,O,O,O,X
ISOZTLJ,O,X,X,X,X,O,X
ISOZTJL,O,X,X,O,O,O,X
ISOZLTJ,O,X,X,X,X,O,X
ISOZLJT,O,X,X,X,O,O,X
ISOZJTL,O,X,X,O,O,O,X
ISOZJLT,O,X,X,O,O,O,X
IZTLJSO,O,X,O,X,X,X,X
IZTLJOS,O,X,O,X,X,X,O
IZTLSJO,O,X,X,X,X,X,X
IZTLSOJ,O,X,X,X,X,O,X
IZTLOJS,O,X,O,X,X,O,O
IZTLOSJ,O,X,X,X,X,O,X
IZTJLSO,O,O,O,X,X,X,X
IZTJLOS,O,O,O,X,X,X,O
IZTJSLO,O,O,O,X,X,X,X
IZTJSOL,O,O,O,X,O,X,X
