sequence,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFukB3gBUiBF?jB6rBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBFiBX?jB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBXjBl?mBUqBCsB,v115@QhA8DeA8AeD8AeA8BeA8AeD8Jei/IvhF1lBxhBXjBc?pBurBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBFiBXjBz?kB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBXjBzkBl?mBUqBCsB
TSILJOZ,O,O,X,X,O,O
TSILZJO,O,O,O,O,O,X
TSILZOJ,O,O,O,O,O,X
TSILOJZ,O,O,X,X,O,O
TSILOZJ,O,O,X,X,O,X
TSIJLZO,O,X,O,O,X,X
TSIJLOZ,O,X,X,X,X,O
TSIJZLO,X,O,O,O,X,X
TSIJZOL,X,O,O,O,X,O
TSIJOLZ,X,X,X,X,X,O
TSIJOZL,X,X,O,O,X,O
TSIZLJO,X,O,O,O,X,X
TSIZLOJ,X,O,O,O,X,X
TSIZJLO,X,O,O,O,X,X
TSIZJOL,X,O,O,O,X,O
TSIZOLJ,O,O,O,O,X,X
TSIZOJL,O,O,O,X,X,O
TSIOLJZ,O,X,X,X,O,O
TSIOLZJ,O,X,X,O,O,X
TSIOJLZ,O,X,X,X,X,O
TSIOJZL,O,X,O,O,X,O
TSIOZLJ,O,O,O,O,X,X
TSIOZJL,O,O,O,O,X,O
TSLIJZO,O,O,O,X,O,X
TSLIJOZ,O,O,X,X,O,O
TSLIZJO,O,O,O,O,O,X
TSLIZOJ,O,O,O,O,O,X
TSLIOJZ,O,O,X,X,O,O
TSLIOZJ,O,O,X,X,O,X
TSLJIZO,O,O,O,O,O,X
TSLJIOZ,O,O,X,X,O,O
TSLJZIO,O,O,X,O,O,X
TSLJZOI,O,O,X,O,O,X
TSLJOIZ,O,O,X,X,O,O
TSLJOZI,O,X,X,X,O,X
TSLZIJO,O,O,O,O,O,X
TSLZIOJ,O,O,O,O,O,X
TSLZJIO,O,O,O,O,O,X
TSLZJOI,O,O,O,O,O,X
TSLZOIJ,O,O,O,O,O,X
TSLZOJI,O,O,O,O,O,X
TSLOIJZ,O,O,X,X,O,O
TSLOIZJ,O,O,X,X,O,X
TSLOJIZ,O,O,X,X,O,O
TSLOJZI,O,X,X,X,O,X
TSLOZIJ,O,O,X,X,O,X
TSLOZJI,O,O,X,X,O,X
TSJILZO,O,X,O,O,X,X
TSJILOZ,O,X,X,X,X,O
TSJIZLO,X,O,O,O,X,X
TSJIZOL,X,O,O,O,X,O
TSJIOLZ,X,X,X,O,X,O
TSJIOZL,X,X,O,O,X,O
TSJLIZO,O,X,O,O,X,X
TSJLIOZ,O,X,X,X,X,O
TSJLZIO,O,X,X,O,X,X
TSJLZOI,O,X,X,O,X,X
TSJLOIZ,O,X,X,X,X,O
TSJLOZI,O,X,X,X,X,X
TSJZILO,X,O,O,O,X,X
TSJZIOL,X,O,O,O,X,O
TSJZLIO,X,O,O,O,X,X
TSJZLOI,X,O,O,O,X,X
TSJZOIL,X,O,O,O,X,O
TSJZOLI,X,O,O,O,X,X
TSJOILZ,X,X,X,O,X,O
TSJOIZL,X,X,O,O,X,O
TSJOLIZ,X,X,X,O,X,O
TSJOLZI,X,X,X,O,X,X
TSJOZIL,X,X,X,O,X,O
TSJOZLI,X,X,X,O,X,X
TSZILJO,X,O,O,O,X,X
TSZILOJ,X,O,O,O,X,X
TSZIJLO,X,O,O,O,X,X
TSZIJOL,X,O,O,O,X,O
TSZIOLJ,O,O,O,O,X,X
TSZIOJL,O,O,O,X,X,O
TSZLIJO,X,O,O,O,X,X
TSZLIOJ,X,O,O,O,X,X
TSZLJIO,X,O,O,O,X,X
TSZLJOI,X,O,O,O,X,X
TSZLOIJ,X,O,O,O,X,X
TSZLOJI,X,O,O,O,X,X
TSZJILO,X,O,O,O,X,X
TSZJIOL,X,O,O,O,X,O
TSZJLIO,X,O,O,O,X,X
TSZJLOI,X,O,O,O,X,X
TSZJOIL,X,O,O,O,X,O
TSZJOLI,X,O,O,O,X,X
TSZOILJ,O,O,O,O,X,X
TSZOIJL,O,O,O,O,X,O
TSZOLIJ,O,O,O,O,X,X
TSZOLJI,O,O,O,O,X,X
TSZOJIL,O,O,O,O,X,O
TSZOJLI,O,O,O,O,X,X
TSOILJZ,O,X,X,X,O,O
TSOILZJ,O,X,X,O,O,X
TSOIJLZ,O,X,X,O,X,O
TSOIJZL,O,X,O,O,X,O
TSOIZLJ,O,O,O,O,X,X
TSOIZJL,O,O,O,O,X,O
TSOLIJZ,O,X,X,X,O,O
TSOLIZJ,O,X,X,O,O,X
TSOLJIZ,O,X,X,O,O,O
TSOLJZI,O,X,X,O,O,X
TSOLZIJ,O,X,X,O,O,X
TSOLZJI,O,X,X,O,O,X
TSOJILZ,O,X,X,O,X,O
TSOJIZL,O,X,O,O,X,O
TSOJLIZ,O,X,X,O,X,O
TSOJLZI,O,X,X,O,X,X
TSOJZIL,O,X,X,O,X,O
TSOJZLI,O,X,X,O,X,X
TSOZILJ,O,O,O,O,X,X
TSOZIJL,O,O,O,O,X,O
TSOZLIJ,O,O,O,O,X,X
TSOZLJI,O,O,O,O,X,X
TSOZJIL,O,O,O,O,X,O
TSOZJLI,O,O,O,O,X,X
TZILJSO,O,O,O,O,X,X
TZILJOS,O,O,O,O,X,X
TZILSJO,O,O,O,O,X,X
TZILSOJ,O,O,O,O,X,X
TZILOJS,O,O,O,X,X,X
TZILOSJ,O,O,O,O,X,X
TZIJLSO,O,O,O,O,X,X
TZIJLOS,O,O,O,O,X,X
TZIJSLO,X,O,O,O,X,X
TZIJSOL,X,O,O,O,X,O
TZIJOLS,O,O,O,O,X,X
TZIJOSL,O,O,O,O,X,O
TZISLJO,X,O,O,O,X,X
TZISLOJ,X,O,O,O,X,X
TZISJLO,X,O,O,O,X,X
TZISJOL,X,O,O,O,X,O
TZISOLJ,O,O,O,O,X,X
TZISOJL,O,O,O,X,X,O
TZIOLJS,O,O,O,X,X,X
TZIOLSJ,O,O,O,O,X,X
TZIOJLS,O,O,O,X,X,X
TZIOJSL,O,O,O,X,X,O
TZIOSLJ,O,O,O,O,X,X
TZIOSJL,O,O,O,X,X,O
TZLIJSO,O,O,O,O,X,X
TZLIJOS,O,O,O,O,X,X
TZLISJO,O,O,O,O,X,X
TZLISOJ,O,O,O,O,X,X
TZLIOJS,O,O,O,X,X,X
TZLIOSJ,O,O,O,O,X,X
TZLJISO,O,O,O,O,X,X
TZLJIOS,O,O,O,O,X,X
TZLJSIO,O,O,O,O,X,X
TZLJSOI,O,O,O,O,X,X
TZLJOIS,O,O,O,O,X,X
TZLJOSI,O,O,O,O,X,X
TZLSIJO,O,O,O,O,X,X
TZLSIOJ,O,O,O,O,X,X
TZLSJIO,O,O,O,O,X,X
TZLSJOI,O,O,O,O,X,X
TZLSOIJ,O,O,O,O,X,X
TZLSOJI,O,O,O,O,X,X
TZLOIJS,O,O,O,X,X,X
TZLOISJ,O,O,O,O,X,X
TZLOJIS,O,O,O,O,X,X
TZLOJSI,O,O,O,O,X,X
TZLOSIJ,O,O,O,O,X,X
TZLOSJI,O,O,O,O,X,X
TZJILSO,O,O,O,O,X,X
TZJILOS,O,O,O,O,X,X
TZJISLO,X,O,O,O,X,X
TZJISOL,X,O,O,O,X,O
TZJIOLS,O,O,O,O,X,X
TZJIOSL,O,O,O,O,X,O
