sequence,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBfmB0hB6?nBNqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBzgBfnB6?nBNqB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFCgB8lB+mBT?iBdqBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukB3gB9nB0?mBiqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFfmBxhBcpBN?qBGnBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFtkBzhB+nB3?lB0rBiqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBSsB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFzgBWnBcpBN?qBxrBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBcsB6rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JezAJvhFfnB6nBxpB0?rBOpBdqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JefGJvhFxhBTkBNqBu?rBcsBipB
TJZSIOL,X,O,O,X,X,O,X,X,X,X,X
TJZSLIO,X,O,O,X,O,X,X,X,X,X,X
TJZSLOI,X,O,O,X,O,X,X,X,X,X,X
TJZSOIL,X,O,O,X,X,O,X,X,O,X,X
TJZSOLI,X,O,O,X,X,X,X,X,O,X,X
TJZOILS,X,X,X,X,X,X,X,X,X,X,X
TJZOISL,X,O,X,X,X,O,X,X,O,X,X
TJZOLIS,X,X,X,X,X,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X,X,X,X,X,X
TJZOSIL,X,O,X,X,X,O,X,X,O,X,X
TJZOSLI,X,O,X,X,X,X,X,X,O,X,X
TJOILSZ,O,X,X,X,X,X,O,X,X,X,X
TJOILZS,X,X,X,X,X,X,X,X,X,X,X
TJOISLZ,O,X,X,X,X,X,X,X,X,X,X
TJOISZL,O,X,X,X,X,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X,X,X,X,X,X
TJOIZSL,X,O,X,X,X,X,X,X,O,X,X
TJOLISZ,O,X,X,X,X,X,O,X,X,X,X
TJOLIZS,X,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,O,X,X,X,X,X,O,X,X,X,X
TJOLSZI,O,X,X,X,X,X,O,X,X,X,X
TJOLZIS,X,X,X,X,X,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X,X,X,X,X,X
TJOSILZ,O,X,X,X,X,X,X,X,X,X,X
TJOSIZL,O,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,O,X,X,X,X,X,X,X,X,X,X
TJOSLZI,O,X,X,X,X,X,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X,X,X,X,X,X
TJOSZLI,O,X,X,X,X,X,X,X,X,X,X
TJOZILS,X,X,X,X,X,X,X,X,X,X,X
TJOZISL,X,O,X,X,X,X,X,X,O,X,X
TJOZLIS,X,X,X,X,X,X,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X,X,X,X,X,X
TJOZSIL,X,O,X,X,X,X,X,X,O,X,X
