sequence,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFulBRiBSoBN?rBUnBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFfnB0iB6oBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlB0hBxiBW?tBirBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlBmhBCjBc?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBStB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhBGjBfrB0?mB6sBNtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFzhBfoB6oBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBctB6sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JefHJvhF0iB6oBRlBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhF3hB9oBGlB0?nBirBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFChB8mBWoBd?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhB9nB6oBf?rB0mBetB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFfoB6oBRlBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFRlB3nBctBG?lBNrBCtB
IZLSTOJ,O,X,X,O,X,X,X,X,O,X,X,X,O,X
IZLSJTO,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZLSJOT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSOTJ,O,X,X,O,X,X,X,X,O,X,X,X,O,O
IZLSOJT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLOTJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZLOTSJ,O,X,X,O,X,X,X,X,O,X,O,X,X,X
IZLOJTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZLOJST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLOSTJ,O,X,X,O,X,X,X,X,O,X,X,X,O,X
IZLOSJT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZJTLSO,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IZJTLOS,O,X,X,O,X,X,O,O,X,X,O,X,X,X
IZJTSLO,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IZJTSOL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
IZJTOLS,O,X,X,O,X,X,O,O,X,X,O,X,X,X
IZJTOSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
IZJLTSO,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZJLTOS,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IZJLSTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJLSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZJLOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,X,X,X,O,X,X,O,X,X,X,O,X,X,X
IZJSTOL,X,X,X,O,X,X,O,O,X,X,O,X,X,X
IZJSLTO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZJSLOT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJSOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZJSOLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJOTLS,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IZJOTSL,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IZJOLTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZJOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJOSLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSTLJO,O,X,X,O,X,X,O,X,O,X,O,X,X,X
IZSTLOJ,O,X,X,O,X,X,O,X,O,X,O,X,O,X
IZSTJLO,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IZSTJOL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
IZSTOLJ,O,X,X,O,X,X,O,O,X,X,O,X,O,O
IZSTOJL,O,X,X,O,X,X,O,O,X,X,O,X,X,O
IZSLTJO,O,X,X,O,X,X,O,X,O,X,X,X,X,X
IZSLTOJ,O,X,X,O,X,X,O,X,O,X,X,X,O,X
IZSLJTO,O,X,X,O,X,X,O,X,O,X,X,X,X,X
IZSLJOT,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSLOTJ,O,X,X,O,X,X,O,X,O,X,X,X,O,O
IZSLOJT,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSJTLO,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IZSJTOL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
IZSJLTO,O,X,X,O,X,X,O,X,O,X,X,X,X,X
IZSJLOT,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSJOTL,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IZSJOLT,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSOTLJ,O,X,X,O,X,X,O,O,O,X,O,X,O,O
IZSOTJL,O,X,X,O,X,X,O,O,X,X,O,X,X,O
IZSOLTJ,O,X,X,O,X,X,O,X,O,X,X,X,O,O
IZSOLJT,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IZSOJTL,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IZSOJLT,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOTLJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IZOTLSJ,O,X,X,O,X,X,O,O,O,X,O,X,X,X
IZOTJLS,O,X,X,O,X,X,O,O,X,X,O,X,X,X
IZOTJSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
IZOTSLJ,O,X,X,O,X,X,O,O,O,X,O,X,O,X
IZOTSJL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
IZOLTJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOLTSJ,O,X,X,O,X,X,X,X,O,X,O,X,X,X
IZOLJTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOLJST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOLSTJ,O,X,X,O,X,X,X,X,O,X,X,X,O,X
IZOLSJT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOJTLS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOJTSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOJLTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOJLST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOJSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOJSLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOSTLJ,O,X,X,O,X,X,O,O,O,X,O,X,O,O
IZOSTJL,O,X,X,O,X,X,O,O,X,X,O,X,X,O
IZOSLTJ,O,X,X,O,X,X,O,X,O,X,X,X,O,O
IZOSLJT,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOSJTL,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IZOSJLT,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTLJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOTLJZS,X,O,O,O,O,O,X,O,X,X,O,X,X,X
IOTLSJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTLSZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
IOTLZJS,X,X,O,O,O,O,X,O,X,X,O,X,X,X
IOTLZSJ,X,O,O,O,O,X,X,O,O,X,O,X,X,X
IOTJLSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOTJLZS,X,O,O,O,O,O,X,O,X,X,O,X,X,X
IOTJSLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTJSZL,O,O,X,X,X,O,X,O,X,X,O,X,X,X
IOTJZLS,O,O,X,O,O,X,X,O,X,X,O,X,X,X
IOTJZSL,O,O,X,O,X,X,X,O,X,X,O,X,X,X
IOTSLJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,X,O,O,O,X,X,O,X,X,X,X,X
IOTSJLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTSJZL,O,O,X,X,X,O,X,O,X,X,O,X,X,X
IOTSZLJ,O,O,X,O,X,O,X,O,O,X,O,X,X,X
IOTSZJL,O,O,X,O,X,O,X,O,X,X,O,X,X,X
IOTZLJS,O,X,O,O,O,X,X,O,X,X,O,X,X,X
IOTZLSJ,O,O,O,O,O,X,X,O,O,X,O,X,X,X
IOTZJLS,O,X,O,O,O,X,X,O,X,X,O,X,X,X
IOTZJSL,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOTZSLJ,O,O,O,O,X,X,X,O,O,X,O,X,X,X
IOTZSJL,O,O,X,O,X,X,X,O,X,X,O,X,X,X
IOLTJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOLTJZS,X,O,O,O,O,O,X,X,X,X,O,X,X,X
IOLTSJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLTSZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
IOLTZJS,X,X,O,O,O,O,X,X,X,X,O,X,X,X
IOLTZSJ,X,O,O,O,O,X,X,X,O,X,O,X,X,X
IOLJTSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X
IOLJTZS,X,O,O,O,X,O,X,X,X,X,O,O,X,X
IOLJSTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOLJSZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOLJZTS,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IOLJZST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSTJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLSTZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
IOLSJTZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOLSJZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOLSZTJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IOLSZJT,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOLZTJS,X,X,X,O,X,O,X,X,X,X,O,X,X,X
IOLZTSJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X
IOLZJTS,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOLZJST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLZSTJ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOLZSJT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJTLSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOJTLZS,X,O,O,O,X,X,X,X,X,X,O,O,X,X
IOJTSLZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJTSZL,O,O,X,X,X,X,X,X,X,X,O,O,X,X
IOJTZLS,O,O,X,O,X,X,X,X,X,X,O,O,X,X
IOJTZSL,O,O,X,O,X,X,X,X,X,X,O,X,X,X
IOJLTSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOJLTZS,X,O,O,O,X,X,X,X,X,X,O,O,X,X
IOJLSTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOJLSZT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOJLZTS,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IOJLZST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSTLZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJSTZL,O,O,X,X,X,X,X,X,X,X,O,O,X,X
IOJSLTZ,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IOJSLZT,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IOJSZTL,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IOJSZLT,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOJZTLS,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IOJZTSL,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IOJZLTS,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IOJZLST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJZSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJZSLT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSTLJZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,X,O,X,O,X,X,O,X,X,X,X,X
IOSTJLZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSTJZL,O,O,X,X,X,O,X,X,X,X,O,X,X,X
IOSTZLJ,O,O,X,O,X,O,X,X,O,X,O,O,X,X
IOSTZJL,O,O,X,O,X,O,X,X,X,X,O,O,X,X
IOSLTJZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSLTZJ,O,O,X,O,X,O,X,X,O,X,X,X,X,X
IOSLJTZ,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOSLJZT,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IOSLZTJ,O,O,X,O,X,O,X,X,O,X,X,O,X,X
IOSLZJT,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSJTLZ,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOSJTZL,O,X,X,X,X,O,X,X,X,X,O,O,X,X
IOSJLTZ,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOSJLZT,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IOSJZTL,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IOSJZLT,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IOSZTLJ,O,O,X,O,X,O,X,X,O,X,O,O,X,X
IOSZTJL,O,O,X,O,X,O,X,X,X,X,O,O,X,X
IOSZLTJ,O,O,X,O,X,O,X,X,O,X,X,O,X,X
IOSZLJT,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSZJTL,O,X,X,X,X,O,X,X,X,X,O,O,X,X
IOSZJLT,O,X,X,X,X,O,X,X,O,X,X,O,X,X
IOZTLJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOZTLSJ,O,X,X,O,X,X,X,O,O,X,O,X,X,X
IOZTJLS,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOZTJSL,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOZTSLJ,O,X,X,O,X,X,X,O,O,X,O,X,O,X
IOZTSJL,O,X,X,O,X,X,X,O,X,X,O,X,X,X
IOZLTJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZLTSJ,O,X,X,O,X,X,X,X,O,X,O,X,X,X
IOZLJTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZLJST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZLSTJ,O,O,X,O,X,X,X,X,O,X,X,X,O,X
IOZLSJT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZJTLS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZJTSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZJLTS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZJLST,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZJSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZJSLT,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZSTLJ,O,O,X,O,X,X,X,O,O,X,O,X,O,O
IOZSTJL,O,O,X,O,X,X,X,O,X,X,O,X,X,O
IOZSLTJ,O,O,X,O,X,X,X,X,O,X,X,X,O,O
IOZSLJT,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZSJTL,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IOZSJLT,O,X,X,X,X,X,X,X,O,X,X,X,O,X
LTIJSZO,X,O,O,X,X,O,X,X,X,O,X,X,X,X
LTIJSOZ,X,O,O,X,O,O,X,X,X,O,X,X,X,X
LTIJZSO,X,O,O,O,X,X,X,X,X,O,O,X,X,X
LTIJZOS,X,O,O,O,X,O,X,O,X,O,O,X,X,X
LTIJOSZ,X,O,O,X,O,O,X,X,X,O,X,X,X,X
LTIJOZS,X,O,O,O,O,O,X,O,X,O,O,X,X,X
LTISJZO,X,O,X,X,X,O,X,X,X,O,X,X,X,X
LTISJOZ,X,O,X,X,O,O,X,X,X,O,X,X,X,X
LTISZJO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
LTISZOJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LTISOJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTISOZJ,X,O,X,O,O,O,X,X,X,X,X,X,X,X
LTIZJSO,X,X,O,O,X,X,X,X,X,O,O,X,X,X
LTIZJOS,X,X,O,O,X,O,X,O,X,O,O,X,X,X
LTIZSJO,X,O,X,O,X,X,O,X,X,O,O,X,X,X
LTIZSOJ,X,O,O,O,X,X,O,X,X,X,O,X,X,X
LTIZOJS,X,X,O,O,X,O,X,O,X,X,O,X,X,X
LTIZOSJ,X,O,O,O,X,X,O,O,X,X,O,X,X,X
LTIOJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTIOJZS,X,O,O,O,O,O,X,O,X,X,O,X,X,X
LTIOSJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTIOSZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
LTIOZJS,X,X,O,O,O,O,X,O,X,X,O,X,X,X
LTIOZSJ,X,O,O,O,O,X,O,O,O,X,O,X,X,X
LTJISZO,X,O,O,X,X,O,X,X,X,O,X,O,X,X
LTJISOZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJIZSO,X,O,O,X,X,X,O,X,X,O,X,X,X,X
LTJIZOS,X,O,O,X,X,O,O,O,X,O,X,O,X,X
LTJIOSZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJIOZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
LTJSIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LTJSIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJSZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LTJSZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJSOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJSOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJZISO,O,O,O,X,X,X,O,X,X,O,O,X,X,X
LTJZIOS,O,O,O,X,X,O,O,O,X,O,O,O,X,X
LTJZSIO,O,O,O,X,X,O,O,X,X,O,X,O,X,X
LTJZSOI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LTJZOIS,O,O,O,X,O,O,O,O,X,O,O,O,X,X
LTJZOSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LTJOISZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJOIZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
LTJOSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJOSZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTJOZIS,O,O,O,X,O,O,O,O,X,O,O,O,X,X
LTJOZSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LTSIJZO,O,O,X,X,X,O,X,X,X,O,X,X,X,X
LTSIJOZ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
LTSIZJO,O,O,X,X,X,O,X,X,O,O,X,X,X,X
LTSIZOJ,O,O,X,X,X,O,X,X,O,X,X,X,X,X
LTSIOJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTSIOZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTSJIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LTSJIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTSJZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
LTSJZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTSJOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTSJOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTSZIJO,O,O,X,X,X,O,X,X,O,O,O,X,X,X
LTSZIOJ,O,O,O,X,X,O,X,X,O,X,O,X,X,X
LTSZJIO,O,O,O,X,X,O,X,X,X,O,X,X,X,X
LTSZJOI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
LTSZOIJ,O,O,O,X,O,O,X,X,X,X,O,X,X,X
LTSZOJI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
LTSOIJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTSOIZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTSOJIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTSOJZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTSOZIJ,O,O,O,X,O,O,X,X,X,X,O,X,X,X
LTSOZJI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
LTZIJSO,O,X,O,O,X,X,X,X,X,O,O,X,X,X
LTZIJOS,O,X,O,O,X,O,X,O,X,O,O,X,X,X
LTZISJO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
LTZISOJ,O,O,O,O,X,X,O,X,X,X,O,X,X,X
LTZIOJS,O,X,O,O,X,O,X,O,X,X,O,X,X,X
LTZIOSJ,O,O,O,O,X,X,O,O,X,X,O,X,X,X
LTZJISO,O,O,O,O,X,X,O,X,X,O,O,X,X,X
LTZJIOS,O,O,O,O,X,O,O,O,X,O,O,X,X,X
LTZJSIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
LTZJSOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LTZJOIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
LTZJOSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LTZSIJO,O,O,X,X,X,O,O,X,X,O,O,X,X,X
LTZSIOJ,O,O,O,X,X,O,O,X,X,X,O,X,X,X
LTZSJIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
LTZSJOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LTZSOIJ,O,O,O,X,O,O,O,O,X,X,O,X,X,X
LTZSOJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LTZOIJS,O,X,O,O,O,O,X,O,X,X,O,X,X,X
LTZOISJ,O,O,O,O,O,X,O,O,X,X,O,X,X,X
LTZOJIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
LTZOJSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LTZOSIJ,O,O,O,X,O,O,O,O,X,X,O,X,X,X
LTZOSJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LTOIJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTOIJZS,X,O,O,O,O,O,X,O,X,X,O,X,X,X
LTOISJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOISZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
LTOIZJS,X,X,O,O,O,O,X,O,X,X,O,X,X,X
LTOIZSJ,X,O,O,O,O,X,O,O,O,X,O,X,X,X
LTOJISZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LTOJIZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
LTOJSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTOJSZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTOJZIS,O,O,O,X,O,O,O,O,X,O,O,O,X,X
LTOJZSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
LTOSIJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOSIZJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X
LTOSJIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTOSJZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
LTOSZIJ,O,O,O,X,O,O,X,X,O,X,O,X,X,X
LTOSZJI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
LTOZIJS,O,X,O,O,O,O,X,O,X,X,O,X,X,X
LTOZISJ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
LTOZJIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
LTOZJSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LTOZSIJ,O,O,O,X,O,O,O,O,O,X,O,X,X,X
LTOZSJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
LITJSZO,X,O,O,X,X,O,X,X,X,O,X,X,X,X
LITJSOZ,X,O,O,X,O,O,X,X,X,O,X,X,X,X
LITJZSO,X,O,O,O,X,X,X,X,X,O,O,X,X,X
LITJZOS,X,O,O,O,X,O,X,X,X,O,O,X,X,X
LITJOSZ,X,O,O,X,O,O,X,X,X,O,X,X,X,X
LITJOZS,X,O,O,O,O,O,X,X,X,O,O,X,X,X
LITSJZO,X,O,X,X,X,O,X,X,X,O,X,X,X,X
LITSJOZ,X,O,X,X,O,O,X,X,X,O,X,X,X,X
LITSZJO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
LITSZOJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LITSOJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LITSOZJ,X,O,X,O,O,O,X,X,X,X,X,X,X,X
LITZJSO,X,X,O,O,X,X,X,X,X,O,O,X,X,X
LITZJOS,X,X,O,O,X,O,X,X,X,O,O,X,X,X
LITZSJO,X,O,X,O,X,X,X,X,X,O,O,X,X,X
LITZSOJ,X,O,O,O,X,X,X,X,X,X,O,X,X,X
LITZOJS,X,X,O,O,X,O,X,X,X,X,O,X,X,X
LITZOSJ,X,O,O,O,X,X,X,X,X,X,O,X,X,X
LITOJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LITOJZS,X,O,O,O,O,O,X,X,X,X,O,X,X,X
LITOSJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LITOSZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
LITOZJS,X,X,O,O,O,O,X,X,X,X,O,X,X,X
LITOZSJ,X,O,O,O,O,X,X,X,O,X,O,X,X,X
LIJTSZO,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LIJTSOZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LIJTZSO,X,O,O,O,X,X,X,X,X,O,O,X,X,X
LIJTZOS,X,O,O,O,X,O,X,X,X,O,O,O,X,X
LIJTOSZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
LIJTOZS,X,O,O,O,O,O,X,X,X,O,O,O,X,X
LIJSTZO,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LIJSTOZ,X,O,O,X,O,X,X,X,X,O,X,O,X,X
LIJSZTO,X,X,O,O,X,X,X,X,O,O,X,O,X,X
LIJSZOT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LIJSOTZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LIJSOZT,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LIJZTSO,X,O,O,O,X,X,X,X,X,O,O,X,X,X
LIJZTOS,X,O,O,O,X,X,X,X,X,O,O,X,X,X
LIJZSTO,X,X,O,O,X,X,X,X,X,O,X,X,X,X
LIJZSOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LIJZOTS,X,O,O,O,X,X,X,X,X,O,O,X,X,X
LIJZOST,X,X,X,X,X,X,X,X,X,O,X,X,X,X
