sequence,v115@FhB8IeA8GeC8CeA8AeE8JeZEJvhFFgBXhB0iBqpBzm?BmqB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFylBfnB0iBOpBzp?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFzgBfnB0iB6pBOp?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JemAJvhFfnB0iBxkBTkByu?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFzgBfnB0iBOpB6p?BFrB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFXhB0iBikBzmB1u?BmqB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFylBfnB0iBmpBFr?BTpB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFFhB0iBOpBfrBzm?B6pB,v115@FhB8IeA8GeC8CeA8AeE8Jei/IvhFcpBeqBzlBRnBXn?BFrB
TZIOJSL,X,X,X,X,O,O,X,O,X
TZIOSLJ,O,X,O,X,O,O,X,O,X
TZIOSJL,O,X,O,X,O,O,X,O,X
TZLIJSO,O,X,X,O,X,X,X,X,X
TZLIJOS,O,X,X,X,X,O,X,X,O
TZLISJO,X,O,O,O,X,X,O,X,X
TZLISOJ,O,O,O,O,X,O,O,X,X
TZLIOJS,O,X,X,X,X,O,X,X,X
TZLIOSJ,O,X,O,X,X,O,X,X,X
TZLJISO,O,O,X,O,X,O,O,X,X
TZLJIOS,O,X,X,X,X,O,X,X,O
TZLJSIO,O,O,X,O,X,O,O,X,X
TZLJSOI,O,O,X,O,X,O,O,X,X
TZLJOIS,O,X,X,X,X,O,X,X,O
TZLJOSI,O,X,X,X,X,O,X,X,X
TZLSIJO,X,O,O,O,X,X,O,X,X
TZLSIOJ,O,O,O,O,X,O,O,X,X
TZLSJIO,X,O,O,O,X,X,O,X,X
TZLSJOI,X,O,O,O,X,X,O,X,X
TZLSOIJ,O,O,O,O,X,O,O,X,X
TZLSOJI,O,O,O,O,X,O,O,X,X
TZLOIJS,O,X,X,X,X,O,X,X,X
TZLOISJ,O,O,O,X,X,O,X,X,X
TZLOJIS,O,O,X,X,X,O,X,X,X
TZLOJSI,O,O,X,X,X,O,X,X,X
TZLOSIJ,O,O,O,X,X,O,X,X,X
TZLOSJI,O,O,O,X,X,O,X,X,X
TZJILSO,X,O,X,X,X,O,X,X,X
TZJILOS,X,X,X,X,X,O,X,X,O
TZJISLO,X,O,X,O,O,O,X,X,X
TZJISOL,X,O,X,O,O,O,X,X,X
TZJIOLS,X,X,X,X,X,X,X,X,O
TZJIOSL,X,X,X,X,O,X,X,O,X
TZJLISO,O,O,X,O,X,O,O,X,X
TZJLIOS,O,X,X,X,X,O,X,X,O
TZJLSIO,O,O,X,O,X,O,O,X,X
TZJLSOI,O,O,X,O,X,O,O,X,X
TZJLOIS,O,X,X,X,X,O,X,X,O
TZJLOSI,O,X,X,X,X,O,X,X,X
TZJSILO,X,O,X,O,O,O,O,X,X
TZJSIOL,X,O,X,O,O,O,O,X,X
TZJSLIO,O,O,X,O,O,O,O,X,X
TZJSLOI,O,O,X,O,O,O,O,X,X
TZJSOIL,X,O,X,O,O,O,O,X,X
TZJSOLI,X,O,X,O,O,O,O,X,X
TZJOILS,X,X,X,X,X,O,X,X,O
TZJOISL,X,X,X,X,O,O,X,O,X
TZJOLIS,X,X,X,X,X,O,X,X,O
TZJOLSI,X,X,X,X,X,O,X,X,X
TZJOSIL,X,X,X,X,O,O,X,O,X
TZJOSLI,X,X,X,X,O,O,X,O,X
TZSILJO,X,O,O,O,O,X,O,X,X
TZSILOJ,X,O,O,O,O,X,O,X,X
TZSIJLO,X,O,O,O,O,X,O,X,X
TZSIJOL,X,O,O,O,O,X,O,X,X
TZSIOLJ,X,O,O,X,O,X,X,X,X
TZSIOJL,X,O,O,O,O,X,X,X,X
TZSLIJO,X,O,O,O,O,X,O,X,X
TZSLIOJ,X,O,O,O,O,O,O,X,X
TZSLJIO,X,O,O,O,O,X,O,X,X
TZSLJOI,X,O,O,O,O,X,O,X,X
TZSLOIJ,X,O,O,O,O,O,O,X,X
TZSLOJI,X,O,O,O,O,O,O,X,X
TZSJILO,X,O,O,O,O,O,O,X,X
TZSJIOL,X,O,O,O,O,O,O,X,X
TZSJLIO,X,O,O,O,O,O,O,X,X
TZSJLOI,X,O,O,O,O,O,O,X,X
TZSJOIL,X,O,O,O,O,O,O,X,X
TZSJOLI,X,O,O,O,O,O,O,X,X
TZSOILJ,X,O,O,X,O,O,X,X,X
TZSOIJL,X,O,O,O,O,O,X,X,X
TZSOLIJ,X,O,O,O,O,O,O,X,X
TZSOLJI,X,O,O,O,O,O,O,X,X
TZSOJIL,X,O,O,O,O,O,O,X,X
TZSOJLI,X,O,O,O,O,O,O,X,X
TZOILJS,O,X,X,X,X,O,X,X,X
TZOILSJ,O,X,O,X,X,O,X,X,X
TZOIJLS,X,X,X,X,X,O,X,X,X
TZOIJSL,X,X,X,X,O,O,X,O,X
TZOISLJ,O,X,O,X,O,O,X,O,X
TZOISJL,O,X,O,X,O,O,X,O,X
TZOLIJS,O,X,X,X,X,O,X,X,X
TZOLISJ,O,O,O,X,X,O,X,X,X
TZOLJIS,O,O,X,X,X,O,X,X,X
TZOLJSI,O,O,X,X,X,O,X,X,X
TZOLSIJ,O,O,O,X,X,O,X,X,X
TZOLSJI,O,O,O,X,X,O,X,X,X
TZOJILS,X,O,X,X,X,O,X,X,X
TZOJISL,X,O,X,X,O,O,X,O,X
TZOJLIS,O,O,X,X,X,O,X,X,X
TZOJLSI,O,O,X,X,X,O,X,X,X
TZOJSIL,X,O,X,X,O,O,X,O,X
TZOJSLI,O,O,X,X,O,O,X,O,X
TZOSILJ,O,O,O,X,O,O,X,O,X
TZOSIJL,O,O,O,X,O,O,X,O,X
TZOSLIJ,O,O,O,X,O,O,X,O,X
TZOSLJI,O,O,O,X,O,O,X,O,X
TZOSJIL,O,O,O,X,O,O,X,O,X
TZOSJLI,O,O,O,X,O,O,X,O,X
TOILJSZ,O,O,O,X,O,O,X,X,X
TOILJZS,O,O,X,X,X,O,X,X,X
TOILSJZ,O,O,O,X,O,O,X,X,X
TOILSZJ,O,O,O,X,O,O,X,X,X
TOILZJS,O,X,X,X,X,O,X,X,X
TOILZSJ,O,O,O,X,X,O,X,X,X
TOIJLSZ,X,O,O,X,O,O,X,X,X
TOIJLZS,X,O,X,X,X,O,X,X,X
TOIJSLZ,X,O,O,X,O,O,X,O,X
TOIJSZL,X,O,O,O,O,O,X,O,X
TOIJZLS,X,O,X,X,X,O,X,X,O
TOIJZSL,X,O,X,X,O,O,X,O,X
TOISLJZ,O,O,O,X,O,O,X,O,X
TOISLZJ,O,O,O,X,O,O,X,O,X
TOISJLZ,X,O,O,X,O,O,X,O,X
TOISJZL,O,O,O,O,O,O,X,O,X
TOISZLJ,O,O,O,X,O,O,X,O,X
TOISZJL,O,O,O,O,O,O,X,O,X
TOIZLJS,O,X,X,X,X,O,X,X,X
TOIZLSJ,O,X,O,X,X,O,X,X,X
TOIZJLS,X,X,X,X,X,O,X,X,X
TOIZJSL,X,X,X,X,O,O,X,O,X
TOIZSLJ,O,X,O,X,O,O,X,O,X
TOIZSJL,O,X,O,X,O,O,X,O,X
TOLIJSZ,O,O,O,O,O,O,X,X,X
TOLIJZS,O,O,X,X,X,O,X,X,X
TOLISJZ,O,O,O,O,O,O,X,X,X
TOLISZJ,O,O,O,O,O,O,O,X,X
TOLIZJS,O,X,X,X,X,O,X,X,X
TOLIZSJ,O,O,O,X,X,O,X,X,X
TOLJISZ,O,O,O,O,O,O,O,X,X
TOLJIZS,O,O,X,X,X,O,X,X,X
TOLJSIZ,O,O,O,O,O,O,O,X,X
TOLJSZI,O,O,O,O,O,O,O,X,X
TOLJZIS,O,O,X,X,X,O,X,X,X
TOLJZSI,O,O,X,X,X,O,X,X,X
TOLSIJZ,O,O,O,O,O,O,X,X,X
TOLSIZJ,O,O,O,O,O,O,O,X,X
TOLSJIZ,O,O,O,O,O,O,O,X,X
TOLSJZI,O,O,O,O,O,O,O,X,X
TOLSZIJ,O,O,O,O,O,O,O,X,X
TOLSZJI,O,O,O,O,O,O,O,X,X
TOLZIJS,O,X,X,X,X,O,X,X,X
TOLZISJ,O,O,O,X,X,O,X,X,X
TOLZJIS,O,O,X,X,X,O,X,X,X
TOLZJSI,O,O,X,X,X,O,X,X,X
TOLZSIJ,O,O,O,X,X,O,X,X,X
TOLZSJI,O,O,O,X,X,O,X,X,X
TOJILSZ,X,O,O,X,O,O,X,X,X
TOJILZS,X,O,X,X,X,O,X,X,X
TOJISLZ,X,O,O,X,O,O,X,O,X
TOJISZL,X,O,O,O,O,O,X,O,X
TOJIZLS,X,O,X,X,X,O,X,X,O
TOJIZSL,X,O,X,X,O,O,X,O,X
TOJLISZ,O,O,O,O,O,O,O,X,X
TOJLIZS,O,O,X,X,X,O,X,X,X
TOJLSIZ,O,O,O,O,O,O,O,X,X
TOJLSZI,O,O,O,O,O,O,O,X,X
TOJLZIS,O,O,X,X,X,O,X,X,X
TOJLZSI,O,O,X,X,X,O,X,X,X
TOJSILZ,X,O,O,X,O,O,O,O,X
TOJSIZL,X,O,O,O,O,O,O,O,X
TOJSLIZ,O,O,O,O,O,O,O,O,X
TOJSLZI,O,O,O,O,O,O,O,O,X
TOJSZIL,X,O,O,O,O,O,O,O,X
TOJSZLI,O,O,O,O,O,O,O,O,X
TOJZILS,X,O,X,X,X,O,X,X,O
TOJZISL,X,O,X,X,O,O,X,O,X
TOJZLIS,O,O,X,X,X,O,X,X,O
TOJZLSI,O,O,X,X,X,O,X,X,X
TOJZSIL,X,O,X,X,O,O,X,O,X
TOJZSLI,O,O,X,X,O,O,X,O,X
TOSILJZ,O,O,O,X,O,O,X,O,X
TOSILZJ,O,O,O,X,O,O,X,O,X
TOSIJLZ,X,O,O,X,O,O,X,O,X
TOSIJZL,O,O,O,O,O,O,X,O,X
TOSIZLJ,O,O,O,X,O,O,X,O,X
TOSIZJL,O,O,O,O,O,O,X,O,X
TOSLIJZ,O,O,O,O,O,O,X,O,X
TOSLIZJ,O,O,O,O,O,O,O,O,X
TOSLJIZ,O,O,O,O,O,O,O,O,X
TOSLJZI,O,O,O,O,O,O,O,O,X
TOSLZIJ,O,O,O,O,O,O,O,O,X
TOSLZJI,O,O,O,O,O,O,O,O,X
TOSJILZ,X,O,O,X,O,O,O,O,X
TOSJIZL,O,O,O,O,O,O,O,O,X
TOSJLIZ,O,O,O,O,O,O,O,O,X
TOSJLZI,O,O,O,O,O,O,O,O,X
TOSJZIL,O,O,O,O,O,O,O,O,X
TOSJZLI,O,O,O,O,O,O,O,O,X
TOSZILJ,O,O,O,X,O,O,X,O,X
TOSZIJL,O,O,O,O,O,O,X,O,X
TOSZLIJ,O,O,O,O,O,O,O,O,X
TOSZLJI,O,O,O,O,O,O,O,O,X
TOSZJIL,O,O,O,O,O,O,O,O,X
TOSZJLI,O,O,O,O,O,O,O,O,X
TOZILJS,O,X,X,X,X,O,X,X,X
TOZILSJ,O,X,O,X,X,O,X,X,X
TOZIJLS,X,X,X,X,X,O,X,X,X
TOZIJSL,X,X,X,X,O,O,X,O,X
TOZISLJ,O,X,O,X,O,O,X,O,X
TOZISJL,O,X,O,X,O,O,X,O,X
TOZLIJS,O,X,X,X,X,O,X,X,X
TOZLISJ,O,O,O,X,X,O,X,X,X
TOZLJIS,O,O,X,X,X,O,X,X,X
TOZLJSI,O,O,X,X,X,O,X,X,X
TOZLSIJ,O,O,O,X,X,O,X,X,X
TOZLSJI,O,O,O,X,X,O,X,X,X
TOZJILS,X,O,X,X,X,O,X,X,X
TOZJISL,X,O,X,X,O,O,X,O,X
TOZJLIS,O,O,X,X,X,O,X,X,X
TOZJLSI,O,O,X,X,X,O,X,X,X
TOZJSIL,X,O,X,X,O,O,X,O,X
TOZJSLI,O,O,X,X,O,O,X,O,X
TOZSILJ,O,O,O,X,O,O,X,O,X
TOZSIJL,O,O,O,X,O,O,X,O,X
TOZSLIJ,O,O,O,X,O,O,X,O,X
TOZSLJI,O,O,O,X,O,O,X,O,X
TOZSJIL,O,O,O,X,O,O,X,O,X
TOZSJLI,O,O,O,X,O,O,X,O,X
ITLJSZO,O,O,O,O,O,X,O,X,X
ITLJSOZ,O,O,O,O,O,X,O,X,X
ITLJZSO,O,O,X,O,X,X,O,X,X
ITLJZOS,O,X,X,X,X,O,X,X,X
ITLJOSZ,O,O,O,O,O,O,O,X,X
ITLJOZS,O,X,X,X,X,O,X,X,X
ITLSJZO,X,O,O,O,O,X,O,X,X
ITLSJOZ,X,O,O,O,O,X,O,X,X
ITLSZJO,X,O,O,O,O,X,O,X,X
ITLSZOJ,O,O,O,O,O,O,O,X,X
ITLSOJZ,O,O,O,O,O,O,X,X,X
ITLSOZJ,O,O,O,O,O,O,O,X,X
ITLZJSO,O,X,X,O,X,X,X,X,X
ITLZJOS,O,X,X,X,X,O,X,X,X
ITLZSJO,X,O,O,O,X,X,O,X,X
ITLZSOJ,O,O,O,O,X,O,O,X,X
ITLZOJS,O,X,X,X,X,O,X,X,X
ITLZOSJ,O,X,O,X,X,O,X,X,X
ITLOJSZ,O,O,O,O,O,O,X,X,X
ITLOJZS,O,O,X,X,X,O,X,X,X
ITLOSJZ,O,O,O,O,O,O,X,X,X
ITLOSZJ,O,O,O,O,O,O,O,X,X
ITLOZJS,O,X,X,X,X,O,X,X,X
ITLOZSJ,O,O,O,X,X,O,X,X,X
ITJLSZO,X,O,O,O,O,O,O,X,X
ITJLSOZ,X,O,O,O,O,O,O,X,X
ITJLZSO,X,O,X,O,X,O,O,X,X
ITJLZOS,X,X,X,X,X,O,X,X,X
ITJLOSZ,X,O,O,O,O,O,O,X,X
ITJLOZS,X,X,X,X,X,O,X,X,X
ITJSLZO,X,O,O,O,O,O,O,X,X
ITJSLOZ,X,O,O,O,O,O,O,X,X
ITJSZLO,X,O,O,O,O,O,O,X,X
ITJSZOL,X,O,O,O,O,O,O,X,X
ITJSOLZ,X,O,O,X,O,X,O,O,X
ITJSOZL,X,O,O,O,O,O,O,O,X
ITJZLSO,X,O,X,X,X,O,X,X,X
ITJZLOS,X,X,X,X,X,O,X,X,O
ITJZSLO,X,O,X,O,O,O,X,X,X
ITJZSOL,X,O,X,O,O,O,X,X,X
ITJZOLS,X,X,X,X,X,X,X,X,O
ITJZOSL,X,X,X,X,O,X,X,O,X
ITJOLSZ,X,O,O,X,O,O,X,X,X
ITJOLZS,X,X,X,X,X,O,X,X,X
ITJOSLZ,X,O,O,X,O,O,X,O,X
ITJOSZL,X,O,O,O,O,O,X,O,X
ITJOZLS,X,X,X,X,X,O,X,X,O
ITJOZSL,X,X,X,X,O,O,X,O,X
ITSLJZO,X,O,O,O,O,X,O,X,X
ITSLJOZ,X,O,O,O,O,X,O,X,X
ITSLZJO,X,O,O,O,O,X,O,X,X
ITSLZOJ,X,O,O,O,O,X,O,X,X
ITSLOJZ,X,O,O,O,O,X,X,X,X
ITSLOZJ,X,O,O,O,O,X,O,X,X
ITSJLZO,X,O,O,O,O,X,O,X,X
ITSJLOZ,X,O,O,O,O,X,O,X,X
ITSJZLO,X,O,O,O,O,X,O,X,X
ITSJZOL,X,O,O,O,O,X,O,X,X
ITSJOLZ,X,O,O,X,O,X,O,O,X
ITSJOZL,X,O,O,O,O,X,O,O,X
ITSZLJO,X,O,O,O,O,X,O,X,X
ITSZLOJ,X,O,O,O,O,X,O,X,X
ITSZJLO,X,O,O,O,O,X,O,X,X
ITSZJOL,X,O,O,O,O,X,O,X,X
ITSZOLJ,X,O,O,X,O,X,X,X,X
ITSZOJL,X,O,O,O,O,X,X,X,X
ITSOLJZ,X,O,O,X,O,X,X,O,X
ITSOLZJ,X,O,O,X,O,X,X,O,X
ITSOJLZ,X,O,O,X,O,X,X,O,X
ITSOJZL,X,O,O,O,O,X,X,O,X
ITSOZLJ,X,O,O,X,O,X,X,O,X
ITSOZJL,X,O,O,O,O,X,X,O,X
ITZLJSO,O,X,X,X,X,X,X,X,X
ITZLJOS,O,X,X,X,X,O,X,X,O
ITZLSJO,X,X,O,X,X,X,X,X,X
ITZLSOJ,O,X,O,X,X,O,X,X,X
ITZLOJS,O,X,X,X,X,O,X,X,X
ITZLOSJ,O,X,O,X,X,O,X,X,X
ITZJLSO,X,X,X,X,X,O,X,X,X
ITZJLOS,X,X,X,X,X,O,X,X,O
ITZJSLO,X,X,X,O,O,O,X,X,X
ITZJSOL,X,X,X,O,O,O,X,X,X
ITZJOLS,X,X,X,X,X,X,X,X,O
ITZJOSL,X,X,X,X,O,X,X,O,X
ITZSLJO,X,X,O,O,O,X,X,X,X
ITZSLOJ,X,X,O,X,O,X,X,X,X
ITZSJLO,X,X,O,O,O,X,X,X,X
ITZSJOL,X,X,O,O,O,X,X,X,X
ITZSOLJ,X,X,O,X,O,X,X,X,X
ITZSOJL,X,X,O,O,O,X,X,X,X
ITZOLJS,O,X,X,X,X,O,X,X,X
ITZOLSJ,O,X,O,X,X,O,X,X,X
ITZOJLS,X,X,X,X,X,O,X,X,X
ITZOJSL,X,X,X,X,O,O,X,O,X
ITZOSLJ,O,X,O,X,O,O,X,O,X
ITZOSJL,O,X,O,X,O,O,X,O,X
ITOLJSZ,O,O,O,X,O,O,X,X,X
ITOLJZS,O,O,X,X,X,O,X,X,X
ITOLSJZ,O,O,O,X,O,O,X,X,X
ITOLSZJ,O,O,O,X,O,O,X,X,X
ITOLZJS,O,X,X,X,X,O,X,X,X
ITOLZSJ,O,O,O,X,X,O,X,X,X
ITOJLSZ,X,O,O,X,O,O,X,X,X
ITOJLZS,X,O,X,X,X,O,X,X,X
ITOJSLZ,X,O,O,X,O,O,X,O,X
ITOJSZL,X,O,O,O,O,O,X,O,X
ITOJZLS,X,O,X,X,X,O,X,X,O
ITOJZSL,X,O,X,X,O,O,X,O,X
ITOSLJZ,O,O,O,X,O,O,X,O,X
ITOSLZJ,O,O,O,X,O,O,X,O,X
ITOSJLZ,X,O,O,X,O,O,X,O,X
ITOSJZL,O,O,O,O,O,O,X,O,X
ITOSZLJ,O,O,O,X,O,O,X,O,X
ITOSZJL,O,O,O,O,O,O,X,O,X
ITOZLJS,O,X,X,X,X,O,X,X,X
ITOZLSJ,O,X,O,X,X,O,X,X,X
ITOZJLS,X,X,X,X,X,O,X,X,X
ITOZJSL,X,X,X,X,O,O,X,O,X
ITOZSLJ,O,X,O,X,O,O,X,O,X
ITOZSJL,O,X,O,X,O,O,X,O,X
ILTJSZO,O,X,O,O,O,X,X,X,X
ILTJSOZ,O,X,O,O,O,X,X,X,X
ILTJZSO,O,X,X,O,X,X,X,X,X
ILTJZOS,O,X,X,X,X,X,X,X,X
ILTJOSZ,O,X,O,O,O,X,X,X,X
ILTJOZS,O,X,X,X,X,X,X,X,X
ILTSJZO,X,X,O,O,O,X,X,X,X
ILTSJOZ,X,X,O,O,O,X,X,X,X
ILTSZJO,X,X,O,O,O,X,X,X,X
ILTSZOJ,O,X,O,O,O,X,X,X,X
ILTSOJZ,O,X,O,O,O,X,X,X,X
ILTSOZJ,O,X,O,O,O,X,X,X,X
ILTZJSO,O,X,X,O,X,X,X,X,X
ILTZJOS,O,X,X,X,X,X,X,X,X
ILTZSJO,X,X,O,O,X,X,X,X,X
ILTZSOJ,O,X,O,O,X,X,X,X,X
ILTZOJS,O,X,X,X,X,X,X,X,X
ILTZOSJ,O,X,O,X,X,X,X,X,X
ILTOJSZ,O,X,O,O,O,X,X,X,X
ILTOJZS,O,X,X,X,X,X,X,X,X
ILTOSJZ,O,X,O,O,O,X,X,X,X
ILTOSZJ,O,X,O,O,O,X,X,X,X
ILTOZJS,O,X,X,X,X,X,X,X,X
ILTOZSJ,O,X,O,X,X,X,X,X,X
ILJTSZO,O,X,O,O,O,X,X,X,X
ILJTSOZ,O,X,O,O,O,X,X,X,X
ILJTZSO,O,X,X,O,X,X,X,X,X
ILJTZOS,O,X,X,X,X,X,X,X,X
ILJTOSZ,O,X,O,O,O,X,X,X,X
ILJTOZS,O,X,X,X,X,X,X,X,X
ILJSTZO,O,X,O,O,O,X,X,X,X
ILJSTOZ,O,X,O,X,O,X,X,X,X
ILJSZTO,O,X,O,O,O,X,X,X,X
ILJSZOT,O,X,X,O,X,X,X,X,X
ILJSOTZ,O,X,X,X,X,X,X,O,X
ILJSOZT,O,X,X,O,X,X,X,O,X
ILJZTSO,O,X,X,X,X,X,X,X,X
ILJZTOS,O,X,X,X,X,X,X,X,O
ILJZSTO,O,X,O,O,O,X,X,X,X
ILJZSOT,O,X,X,O,X,X,X,X,O
ILJZOTS,O,X,X,X,X,X,X,X,O
ILJZOST,O,X,X,X,X,X,X,O,O
ILJOTSZ,O,X,X,X,X,X,X,X,X
ILJOTZS,O,X,X,X,X,X,X,X,X
ILJOSTZ,O,X,X,X,X,X,X,O,X
ILJOSZT,O,X,X,O,X,X,X,O,X
ILJOZTS,O,X,X,X,X,X,X,X,O
ILJOZST,O,X,X,X,X,X,X,O,O
ILSTJZO,X,X,O,O,O,X,X,X,X
ILSTJOZ,X,X,O,O,O,X,X,X,X
ILSTZJO,X,X,O,O,O,X,X,X,X
ILSTZOJ,O,X,O,O,O,X,X,X,X
ILSTOJZ,O,X,O,O,O,X,X,X,X
ILSTOZJ,O,X,O,O,O,X,X,X,X
ILSJTZO,O,X,O,O,O,X,X,X,X
ILSJTOZ,O,X,O,X,O,X,X,X,X
ILSJZTO,O,X,O,O,O,X,X,X,X
ILSJZOT,O,X,X,O,X,X,X,X,X
ILSJOTZ,O,X,X,X,X,X,X,O,X
ILSJOZT,O,X,X,O,X,X,X,O,X
ILSZTJO,X,X,O,O,O,X,X,X,X
ILSZTOJ,O,X,O,O,O,X,X,X,X
ILSZJTO,O,X,O,O,O,X,X,X,X
ILSZJOT,O,X,X,O,X,X,X,X,X
ILSZOTJ,O,X,O,X,X,X,X,X,X
ILSZOJT,O,X,X,O,X,X,X,X,X
ILSOTJZ,O,X,O,X,X,X,X,O,X
ILSOTZJ,O,X,O,X,X,X,X,O,X
ILSOJTZ,O,X,X,X,X,X,X,O,X
ILSOJZT,O,X,X,O,X,X,X,O,X
ILSOZTJ,O,X,O,X,X,X,X,O,X
ILSOZJT,O,X,X,O,X,X,X,O,X
ILZTJSO,O,X,X,O,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,X,X,O
ILZTSJO,X,X,O,O,X,X,X,X,X
ILZTSOJ,O,X,O,O,X,X,X,X,X
ILZTOJS,O,X,X,X,X,X,X,X,X
ILZTOSJ,O,X,O,X,X,X,X,X,X
ILZJTSO,O,X,X,X,X,X,X,X,X
ILZJTOS,O,X,X,X,X,X,X,X,O
ILZJSTO,O,X,O,O,O,X,X,X,X
ILZJSOT,O,X,X,O,X,X,X,X,O
ILZJOTS,O,X,X,X,X,X,X,X,O
ILZJOST,O,X,X,X,X,X,X,O,O
ILZSTJO,X,X,O,O,O,X,X,X,X
ILZSTOJ,O,X,O,O,O,X,X,X,X
ILZSJTO,O,X,O,O,O,X,X,X,X
ILZSJOT,O,X,X,O,X,X,X,X,O
ILZSOTJ,O,X,O,X,X,X,X,X,X
ILZSOJT,O,X,X,O,X,X,X,X,X
ILZOTJS,O,X,X,X,X,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,X,X,X
ILZOJTS,O,X,X,X,X,X,X,X,O
ILZOJST,O,X,X,X,X,X,X,O,O
ILZOSTJ,O,X,O,X,X,X,X,O,X
ILZOSJT,O,X,X,O,X,X,X,O,X
ILOTJSZ,O,X,O,O,X,X,X,X,X
ILOTJZS,O,X,X,X,X,X,X,X,X
ILOTSJZ,O,X,O,O,X,X,X,X,X
ILOTSZJ,O,X,O,O,X,X,X,X,X
ILOTZJS,O,X,X,X,X,X,X,X,X
ILOTZSJ,O,X,O,X,X,X,X,X,X
ILOJTSZ,O,X,X,X,X,X,X,X,X
ILOJTZS,O,X,X,X,X,X,X,X,X
ILOJSTZ,O,X,X,X,X,X,X,O,X
ILOJSZT,O,X,X,O,X,X,X,O,X
ILOJZTS,O,X,X,X,X,X,X,X,O
ILOJZST,O,X,X,X,X,X,X,O,O
ILOSTJZ,O,X,O,X,X,X,X,O,X
ILOSTZJ,O,X,O,X,X,X,X,O,X
ILOSJTZ,O,X,X,X,X,X,X,O,X
ILOSJZT,O,X,X,O,X,X,X,O,X
ILOSZTJ,O,X,O,X,X,X,X,O,X
ILOSZJT,O,X,X,O,X,X,X,O,X
ILOZTJS,O,X,X,X,X,X,X,X,X
ILOZTSJ,O,X,X,X,X,X,X,X,X
ILOZJTS,O,X,X,X,X,X,X,X,X
ILOZJST,O,X,X,X,X,X,X,O,X
ILOZSTJ,O,X,O,X,X,X,X,O,X
ILOZSJT,O,X,X,O,X,X,X,O,X
IJTLSZO,X,O,O,X,O,O,O,X,X
IJTLSOZ,X,O,O,X,O,O,O,X,X
IJTLZSO,X,O,X,X,X,O,O,X,X
IJTLZOS,X,X,X,X,X,O,X,X,X
IJTLOSZ,X,O,O,X,O,O,O,X,X
IJTLOZS,X,X,X,X,X,O,X,X,X
IJTSLZO,X,O,O,X,O,O,O,X,X
IJTSLOZ,X,O,O,X,O,O,O,X,X
IJTSZLO,X,O,O,X,O,O,O,X,X
IJTSZOL,X,O,O,X,O,O,O,X,X
IJTSOLZ,X,O,O,X,O,X,O,O,X
IJTSOZL,X,O,O,X,O,O,O,O,X
IJTZLSO,X,O,X,X,X,O,X,X,X
IJTZLOS,X,X,X,X,X,O,X,X,O
IJTZSLO,X,O,X,X,O,O,X,X,X
IJTZSOL,X,O,X,X,O,O,X,X,X
IJTZOLS,X,X,X,X,X,X,X,X,O
IJTZOSL,X,X,X,X,O,X,X,O,X
IJTOLSZ,X,O,O,X,O,O,X,X,X
IJTOLZS,X,X,X,X,X,O,X,X,X
IJTOSLZ,X,O,O,X,O,O,X,O,X
IJTOSZL,X,O,O,X,O,O,X,O,X
IJTOZLS,X,X,X,X,X,O,X,X,O
IJTOZSL,X,X,X,X,O,O,X,O,X
IJLTSZO,O,O,O,X,O,X,X,X,X
IJLTSOZ,O,O,O,X,O,X,X,X,X
IJLTZSO,O,O,X,X,X,X,X,X,X
IJLTZOS,O,X,X,X,X,X,X,X,X
IJLTOSZ,O,O,O,X,O,X,X,X,X
IJLTOZS,O,X,X,X,X,X,X,X,X
IJLSTZO,O,X,O,X,O,X,X,X,X
IJLSTOZ,O,X,O,X,O,X,X,X,X
IJLSZTO,O,X,O,X,O,X,X,X,X
IJLSZOT,O,X,X,X,X,X,X,X,X
IJLSOTZ,O,X,X,X,X,X,X,O,X
IJLSOZT,O,X,X,X,X,X,X,O,X
IJLZTSO,O,X,X,X,X,X,X,X,X
IJLZTOS,O,X,X,X,X,X,X,X,O
IJLZSTO,O,X,O,X,O,X,X,X,X
IJLZSOT,O,X,X,X,X,X,X,X,O
IJLZOTS,O,X,X,X,X,X,X,X,O
IJLZOST,O,X,X,X,X,X,X,O,O
IJLOTSZ,O,X,X,X,X,X,X,X,X
IJLOTZS,O,X,X,X,X,X,X,X,X
IJLOSTZ,O,X,X,X,X,X,X,O,X
IJLOSZT,O,X,X,X,X,X,X,O,X
IJLOZTS,O,X,X,X,X,X,X,X,O
IJLOZST,O,X,X,X,X,X,X,O,O
IJSTLZO,X,O,O,X,O,O,O,X,X
IJSTLOZ,X,O,O,X,O,O,O,X,X
IJSTZLO,X,O,O,X,O,O,O,X,X
IJSTZOL,X,O,O,X,O,O,O,X,X
IJSTOLZ,X,O,O,X,O,X,O,O,X
IJSTOZL,X,O,O,X,O,O,O,O,X
IJSLTZO,O,X,O,X,O,X,X,X,X
IJSLTOZ,O,X,O,X,O,X,X,X,X
IJSLZTO,O,X,O,X,O,O,X,X,X
