sequence,v115@HhB8HeC8FeE8DeB8Jem/IvhFqlB/mBTjB0nBFnBxwB,v115@HhB8HeC8FeE8DeB8Jex/IvhFylBcnBTjBFrB3sBurB,v115@HhB8HeC8FeE8DeB8Jem/IvhFRhBqnBTjBfrBUsBlrB,v115@HhB8HeC8FeE8DeB8Jex/IvhFylBzhBcoBFrBXsBusB,v115@HhB8HeC8FeE8DeB8Jex/IvhF3iBcoBllB+rBimBTsB,v115@HhB8HeC8FeE8DeB8Jex/IvhF0hBWoBllBKsBXoBTrB,v115@HhB8HeC8FeE8DeB8Jex/IvhF0hBSoBllB2sBTrB3sB
TOILZSJ,O,O,X,O,O,X,O
TOIJLSZ,O,O,X,O,X,X,X
TOIJLZS,O,X,X,X,O,O,O
TOIJSLZ,X,O,X,O,X,X,X
TOIJSZL,X,O,X,O,O,O,X
TOIJZLS,O,X,X,X,O,O,O
TOIJZSL,X,X,X,X,O,O,X
TOISLJZ,O,O,X,O,X,X,X
TOISLZJ,O,O,X,O,X,X,O
TOISJLZ,X,O,X,O,X,X,X
TOISJZL,X,O,X,O,O,O,X
TOISZLJ,O,O,X,O,O,X,O
TOISZJL,X,O,X,O,O,O,X
TOIZLJS,O,X,X,X,O,O,O
TOIZLSJ,O,O,X,O,O,X,O
TOIZJLS,O,X,X,X,O,O,O
TOIZJSL,X,X,X,X,O,O,X
TOIZSLJ,O,O,X,O,O,X,O
TOIZSJL,X,O,X,O,O,O,X
TOLIJSZ,O,O,X,O,X,X,X
TOLIJZS,O,X,X,X,O,O,O
TOLISJZ,O,O,X,O,X,X,X
TOLISZJ,O,O,X,O,X,X,O
TOLIZJS,O,X,X,X,O,O,O
TOLIZSJ,O,O,X,O,O,X,O
TOLJISZ,O,O,X,O,X,X,X
TOLJIZS,O,X,X,X,O,O,O
TOLJSIZ,O,O,O,O,X,X,X
TOLJSZI,O,O,O,O,X,X,X
TOLJZIS,X,X,X,X,O,O,O
TOLJZSI,O,X,O,X,O,O,O
TOLSIJZ,O,O,O,O,X,X,X
TOLSIZJ,O,O,X,O,X,X,O
TOLSJIZ,O,O,O,O,X,X,X
TOLSJZI,O,O,O,O,X,X,X
TOLSZIJ,X,O,O,O,X,X,O
TOLSZJI,O,O,O,O,X,X,O
TOLZIJS,X,X,X,X,O,O,O
TOLZISJ,X,O,X,O,O,X,O
TOLZJIS,X,X,X,X,O,O,O
TOLZJSI,O,X,O,X,O,O,O
TOLZSIJ,X,O,O,O,O,X,O
TOLZSJI,O,O,O,O,O,X,O
TOJILSZ,O,O,X,O,X,X,X
TOJILZS,O,X,X,X,O,O,O
TOJISLZ,X,O,X,O,X,X,X
TOJISZL,X,O,X,O,O,O,X
TOJIZLS,O,X,X,X,O,O,O
TOJIZSL,X,X,X,X,O,O,X
TOJLISZ,O,O,X,O,X,X,X
TOJLIZS,O,X,X,X,O,O,O
TOJLSIZ,O,O,O,O,X,X,X
TOJLSZI,O,O,O,O,X,X,X
TOJLZIS,X,X,X,X,O,O,O
TOJLZSI,O,X,O,X,O,O,O
TOJSILZ,X,O,X,O,X,X,X
TOJSIZL,X,O,X,O,O,O,X
TOJSLIZ,X,O,O,O,X,X,X
TOJSLZI,X,O,O,O,X,X,X
TOJSZIL,X,O,X,O,O,O,X
TOJSZLI,X,O,O,O,O,O,X
TOJZILS,O,X,X,X,O,O,O
TOJZISL,X,X,X,X,O,O,X
TOJZLIS,X,X,X,X,O,O,O
TOJZLSI,O,X,O,X,O,O,O
TOJZSIL,X,X,X,X,O,O,X
TOJZSLI,X,X,O,X,O,O,X
TOSILJZ,X,O,X,O,X,X,X
TOSILZJ,X,O,X,O,X,X,O
TOSIJLZ,X,O,X,O,X,X,X
TOSIJZL,X,O,X,O,O,O,X
TOSIZLJ,X,O,X,O,O,X,O
TOSIZJL,X,O,X,O,O,O,X
TOSLIJZ,X,O,O,O,X,X,X
TOSLIZJ,X,O,X,O,X,X,O
TOSLJIZ,X,O,O,O,X,X,X
TOSLJZI,X,O,O,O,X,X,X
TOSLZIJ,X,O,O,O,X,X,O
TOSLZJI,X,O,O,O,X,X,O
TOSJILZ,X,O,X,O,X,X,X
TOSJIZL,X,O,X,O,O,O,X
TOSJLIZ,X,O,O,O,X,X,X
TOSJLZI,X,O,O,O,X,X,X
TOSJZIL,X,O,X,O,O,O,X
TOSJZLI,X,O,O,O,O,O,X
TOSZILJ,X,O,X,O,O,X,O
TOSZIJL,X,O,X,O,O,O,X
TOSZLIJ,X,O,O,O,O,X,O
TOSZLJI,X,O,O,O,O,X,O
TOSZJIL,X,O,X,O,O,O,X
TOSZJLI,X,O,O,O,O,O,X
TOZILJS,O,X,X,X,O,O,O
TOZILSJ,O,O,X,O,O,X,O
TOZIJLS,O,X,X,X,O,O,O
TOZIJSL,X,X,X,X,O,O,X
TOZISLJ,O,O,X,O,O,X,O
TOZISJL,X,O,X,O,O,O,X
TOZLIJS,X,X,X,X,O,O,O
TOZLISJ,X,O,X,O,O,X,O
TOZLJIS,X,X,X,X,O,O,O
TOZLJSI,O,X,O,X,O,O,O
TOZLSIJ,X,O,O,O,O,X,O
TOZLSJI,O,O,O,O,O,X,O
TOZJILS,O,X,X,X,O,O,O
TOZJISL,X,X,X,X,O,O,X
TOZJLIS,X,X,X,X,O,O,O
TOZJLSI,O,X,O,X,O,O,O
TOZJSIL,X,X,X,X,O,O,X
TOZJSLI,X,X,O,X,O,O,X
TOZSILJ,X,O,X,O,O,X,O
TOZSIJL,X,O,X,O,O,O,X
TOZSLIJ,X,O,O,O,O,X,O
TOZSLJI,X,O,O,O,O,X,O
TOZSJIL,X,O,X,O,O,O,X
TOZSJLI,X,O,O,O,O,O,X
ITLJSZO,O,O,X,O,X,X,X
ITLJSOZ,O,O,X,O,X,X,X
ITLJZSO,O,X,X,O,O,O,X
ITLJZOS,O,X,X,X,O,O,O
ITLJOSZ,O,O,X,O,X,X,X
ITLJOZS,O,X,X,X,O,O,O
ITLSJZO,O,O,X,O,X,X,X
ITLSJOZ,O,O,X,O,X,X,X
ITLSZJO,O,O,X,O,X,X,X
ITLSZOJ,O,O,X,O,X,X,O
ITLSOJZ,O,O,X,O,X,X,X
ITLSOZJ,O,O,X,O,X,X,O
ITLZJSO,O,X,X,O,O,O,X
ITLZJOS,O,X,X,X,O,O,O
ITLZSJO,O,O,X,O,O,X,X
ITLZSOJ,O,O,X,O,X,X,O
ITLZOJS,O,X,X,X,O,X,O
ITLZOSJ,O,O,X,O,O,X,O
ITLOJSZ,O,O,X,O,X,X,X
ITLOJZS,O,X,X,X,O,O,O
ITLOSJZ,O,O,X,O,X,X,X
ITLOSZJ,O,O,X,O,X,X,O
ITLOZJS,O,X,X,X,O,O,O
ITLOZSJ,O,O,X,O,O,X,O
ITJLSZO,O,O,X,O,X,X,X
ITJLSOZ,O,O,X,O,X,X,X
ITJLZSO,O,X,X,O,O,O,X
ITJLZOS,O,X,X,X,O,O,O
ITJLOSZ,O,O,X,O,X,X,X
ITJLOZS,O,X,X,X,O,O,O
ITJSLZO,X,O,X,O,X,X,X
ITJSLOZ,X,O,X,O,X,X,X
ITJSZLO,X,O,X,O,O,O,X
ITJSZOL,X,O,X,O,O,X,X
ITJSOLZ,X,O,X,O,X,X,X
ITJSOZL,X,O,X,O,O,O,X
ITJZLSO,O,X,X,O,O,O,X
ITJZLOS,O,X,X,X,O,O,O
ITJZSLO,X,X,X,O,O,O,X
ITJZSOL,X,X,X,O,O,X,X
ITJZOLS,O,X,X,X,O,O,X
ITJZOSL,X,X,X,X,O,O,X
ITJOLSZ,O,O,X,O,X,X,X
ITJOLZS,O,X,X,X,O,O,O
ITJOSLZ,X,O,X,O,X,X,X
ITJOSZL,X,O,X,O,O,O,X
ITJOZLS,O,X,X,X,O,O,O
ITJOZSL,X,X,X,X,O,O,X
ITSLJZO,O,O,X,O,X,X,X
ITSLJOZ,O,O,X,O,X,X,X
ITSLZJO,O,O,X,O,X,X,X
ITSLZOJ,O,O,X,O,X,X,O
ITSLOJZ,O,O,X,O,X,X,X
ITSLOZJ,O,O,X,O,X,X,O
ITSJLZO,X,O,X,O,X,X,X
ITSJLOZ,X,O,X,O,X,X,X
ITSJZLO,X,O,X,O,O,O,X
ITSJZOL,X,O,X,O,O,X,X
ITSJOLZ,X,O,X,O,X,X,X
ITSJOZL,X,O,X,O,O,O,X
ITSZLJO,O,O,X,O,O,X,X
ITSZLOJ,O,O,X,O,X,X,O
ITSZJLO,X,O,X,O,O,O,X
ITSZJOL,X,O,X,O,O,X,X
ITSZOLJ,O,O,X,O,O,X,X
ITSZOJL,X,O,X,O,O,X,X
ITSOLJZ,O,O,X,O,X,X,X
ITSOLZJ,O,O,X,O,X,X,O
ITSOJLZ,X,O,X,O,X,X,X
ITSOJZL,X,O,X,O,O,O,X
ITSOZLJ,O,O,X,O,O,X,O
ITSOZJL,X,O,X,O,O,O,X
ITZLJSO,O,X,X,O,O,O,X
ITZLJOS,O,X,X,X,O,O,O
ITZLSJO,O,O,X,O,O,X,X
ITZLSOJ,O,O,X,O,X,X,O
ITZLOJS,O,X,X,X,O,X,O
ITZLOSJ,O,O,X,O,O,X,O
ITZJLSO,O,X,X,O,O,O,X
ITZJLOS,O,X,X,X,O,O,O
ITZJSLO,X,X,X,O,O,O,X
ITZJSOL,X,X,X,O,O,X,X
ITZJOLS,O,X,X,X,O,O,X
ITZJOSL,X,X,X,X,O,O,X
ITZSLJO,O,O,X,O,O,X,X
ITZSLOJ,O,O,X,O,X,X,O
ITZSJLO,X,O,X,O,O,O,X
ITZSJOL,X,O,X,O,O,X,X
ITZSOLJ,O,O,X,O,O,X,X
ITZSOJL,X,O,X,O,O,X,X
ITZOLJS,O,X,X,X,O,O,O
ITZOLSJ,O,O,X,O,O,X,O
ITZOJLS,O,X,X,X,O,O,O
ITZOJSL,X,X,X,X,O,O,X
ITZOSLJ,O,O,X,O,O,X,O
ITZOSJL,X,O,X,O,O,O,X
ITOLJSZ,O,O,X,O,X,X,X
ITOLJZS,O,X,X,X,O,O,O
ITOLSJZ,O,O,X,O,X,X,X
ITOLSZJ,O,O,X,O,X,X,O
ITOLZJS,O,X,X,X,O,O,O
ITOLZSJ,O,O,X,O,O,X,O
ITOJLSZ,O,O,X,O,X,X,X
ITOJLZS,O,X,X,X,O,O,O
ITOJSLZ,X,O,X,O,X,X,X
ITOJSZL,X,O,X,O,O,O,X
ITOJZLS,O,X,X,X,O,O,O
ITOJZSL,X,X,X,X,O,O,X
ITOSLJZ,O,O,X,O,X,X,X
ITOSLZJ,O,O,X,O,X,X,O
ITOSJLZ,X,O,X,O,X,X,X
ITOSJZL,X,O,X,O,O,O,X
ITOSZLJ,O,O,X,O,O,X,O
ITOSZJL,X,O,X,O,O,O,X
ITOZLJS,O,X,X,X,O,O,O
ITOZLSJ,O,O,X,O,O,X,O
ITOZJLS,O,X,X,X,O,O,O
ITOZJSL,X,X,X,X,O,O,X
ITOZSLJ,O,O,X,O,O,X,O
ITOZSJL,X,O,X,O,O,O,X
ILTJSZO,O,O,X,O,X,X,X
ILTJSOZ,O,O,X,O,X,X,X
ILTJZSO,O,X,X,O,O,O,X
ILTJZOS,O,X,X,X,O,O,O
ILTJOSZ,O,O,X,O,X,X,X
ILTJOZS,O,X,X,X,O,O,O
ILTSJZO,O,O,X,O,X,X,X
ILTSJOZ,O,O,X,O,X,X,X
ILTSZJO,O,O,X,O,X,X,X
ILTSZOJ,O,O,X,O,X,X,O
ILTSOJZ,O,O,X,O,X,X,X
ILTSOZJ,O,O,X,O,X,X,O
ILTZJSO,O,X,X,O,O,O,X
ILTZJOS,O,X,X,X,O,O,O
ILTZSJO,O,O,X,O,O,X,X
ILTZSOJ,O,O,X,O,X,X,O
ILTZOJS,O,X,X,X,O,X,O
ILTZOSJ,O,O,X,O,O,X,O
ILTOJSZ,O,O,X,O,X,X,X
ILTOJZS,O,X,X,X,O,O,O
ILTOSJZ,O,O,X,O,X,X,X
ILTOSZJ,O,O,X,O,X,X,O
ILTOZJS,O,X,X,X,O,O,O
ILTOZSJ,O,O,X,O,O,X,O
ILJTSZO,O,O,X,O,X,X,X
ILJTSOZ,O,O,X,O,X,X,X
ILJTZSO,O,X,X,O,X,O,X
ILJTZOS,O,X,X,X,X,O,O
ILJTOSZ,O,O,X,O,X,X,X
ILJTOZS,O,X,X,X,X,O,O
ILJSTZO,O,O,X,X,X,X,X
ILJSTOZ,O,O,O,X,X,X,X
ILJSZTO,O,X,O,X,X,X,X
ILJSZOT,O,X,O,X,X,X,X
ILJSOTZ,O,O,O,X,X,X,X
ILJSOZT,O,X,O,X,X,X,X
ILJZTSO,O,X,X,O,X,X,X
ILJZTOS,O,X,X,X,X,X,X
ILJZSTO,O,X,O,X,X,X,X
ILJZSOT,O,X,O,X,X,X,X
ILJZOTS,O,X,X,X,X,X,X
ILJZOST,O,X,O,X,X,X,X
ILJOTSZ,O,O,X,X,X,X,X
ILJOTZS,O,X,X,X,X,X,X
ILJOSTZ,O,O,O,X,X,X,X
ILJOSZT,O,X,O,X,X,X,X
ILJOZTS,O,X,X,X,X,X,X
ILJOZST,O,X,O,X,X,X,X
ILSTJZO,O,O,X,O,X,X,X
ILSTJOZ,O,O,O,O,X,X,X
ILSTZJO,O,O,X,O,X,X,X
ILSTZOJ,O,O,X,O,X,X,O
ILSTOJZ,O,O,O,O,X,X,X
ILSTOZJ,O,O,X,O,X,X,O
ILSJTZO,O,O,X,X,X,X,X
ILSJTOZ,O,O,O,X,X,X,X
ILSJZTO,O,X,O,X,X,X,X
ILSJZOT,O,X,O,X,X,X,X
ILSJOTZ,O,O,O,X,X,X,X
ILSJOZT,O,X,O,X,X,X,X
ILSZTJO,O,O,O,O,X,X,X
ILSZTOJ,O,O,O,O,X,X,X
ILSZJTO,O,X,O,X,X,X,X
ILSZJOT,O,X,O,X,X,X,X
ILSZOTJ,O,O,O,X,X,X,X
ILSZOJT,O,X,O,X,X,X,X
ILSOTJZ,O,O,O,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X
ILSOJTZ,O,O,O,X,X,X,X
ILSOJZT,O,X,O,X,X,X,X
ILSOZTJ,O,O,O,X,X,X,X
ILSOZJT,O,X,O,X,X,X,X
ILZTJSO,O,X,X,O,O,X,X
ILZTJOS,O,X,X,X,O,X,O
ILZTSJO,O,O,X,O,O,X,X
ILZTSOJ,O,O,X,O,X,X,O
ILZTOJS,O,X,X,X,O,X,O
ILZTOSJ,O,O,X,O,O,X,O
ILZJTSO,O,X,X,O,X,X,X
ILZJTOS,O,X,X,X,X,X,X
ILZJSTO,O,X,O,X,X,X,X
ILZJSOT,O,X,O,X,X,X,X
ILZJOTS,O,X,X,X,X,X,X
ILZJOST,O,X,O,X,X,X,X
ILZSTJO,O,O,O,O,O,X,X
ILZSTOJ,O,O,O,O,X,X,X
ILZSJTO,O,X,O,X,X,X,X
ILZSJOT,O,X,O,X,X,X,X
ILZSOTJ,O,O,O,X,O,X,X
ILZSOJT,O,X,O,X,X,X,X
ILZOTJS,O,X,X,X,O,X,X
ILZOTSJ,O,O,X,O,O,X,X
ILZOJTS,O,X,X,X,X,X,X
ILZOJST,O,X,O,X,X,X,X
ILZOSTJ,O,O,O,X,O,X,X
ILZOSJT,O,X,O,X,X,X,X
ILOTJSZ,O,O,X,O,X,X,X
ILOTJZS,O,X,X,X,O,X,O
ILOTSJZ,O,O,X,O,X,X,X
ILOTSZJ,O,O,X,O,X,X,O
ILOTZJS,O,X,X,X,O,X,O
ILOTZSJ,O,O,X,O,O,X,O
ILOJTSZ,O,O,X,X,X,X,X
ILOJTZS,O,X,X,X,X,X,X
ILOJSTZ,O,O,O,X,X,X,X
ILOJSZT,O,X,O,X,X,X,X
ILOJZTS,O,X,X,X,X,X,X
ILOJZST,O,X,O,X,X,X,X
ILOSTJZ,O,O,O,X,X,X,X
ILOSTZJ,O,O,X,X,X,X,X
ILOSJTZ,O,O,O,X,X,X,X
ILOSJZT,O,X,O,X,X,X,X
ILOSZTJ,O,O,O,X,X,X,X
ILOSZJT,O,X,O,X,X,X,X
ILOZTJS,O,X,X,X,O,X,O
ILOZTSJ,O,O,X,O,O,X,O
ILOZJTS,O,X,X,X,X,X,X
ILOZJST,O,X,O,X,X,X,X
ILOZSTJ,O,O,O,X,O,X,X
ILOZSJT,O,X,O,X,X,X,X
IJTLSZO,O,O,X,O,X,X,X
IJTLSOZ,O,O,X,O,X,X,X
IJTLZSO,O,X,X,O,O,O,X
IJTLZOS,O,X,X,X,O,O,O
IJTLOSZ,O,O,X,O,X,X,X
IJTLOZS,O,X,X,X,O,O,O
IJTSLZO,X,O,X,O,X,X,X
IJTSLOZ,X,O,X,O,X,X,X
IJTSZLO,X,O,X,O,O,O,X
IJTSZOL,X,O,X,O,O,X,X
IJTSOLZ,X,O,X,O,X,X,X
IJTSOZL,X,O,X,O,O,O,X
IJTZLSO,O,X,X,O,O,O,X
IJTZLOS,O,X,X,X,O,O,O
IJTZSLO,X,X,X,O,O,O,X
IJTZSOL,X,X,X,O,O,X,X
IJTZOLS,O,X,X,X,O,O,X
IJTZOSL,X,X,X,X,O,O,X
IJTOLSZ,O,O,X,O,X,X,X
IJTOLZS,O,X,X,X,O,O,O
IJTOSLZ,X,O,X,O,X,X,X
IJTOSZL,X,O,X,O,O,O,X
IJTOZLS,O,X,X,X,O,O,O
IJTOZSL,X,X,X,X,O,O,X
IJLTSZO,O,O,X,O,X,X,X
IJLTSOZ,O,O,X,O,X,X,X
IJLTZSO,O,X,X,O,X,O,X
IJLTZOS,O,X,X,X,X,O,O
IJLTOSZ,O,O,X,O,X,X,X
IJLTOZS,O,X,X,X,X,O,O
IJLSTZO,O,O,X,X,X,X,X
IJLSTOZ,O,O,O,X,X,X,X
IJLSZTO,O,X,O,X,X,X,X
IJLSZOT,O,X,O,X,X,X,X
IJLSOTZ,O,O,O,X,X,X,X
IJLSOZT,O,X,O,X,X,X,X
IJLZTSO,O,X,X,O,X,X,X
IJLZTOS,O,X,X,X,X,X,X
IJLZSTO,O,X,O,X,X,X,X
IJLZSOT,O,X,O,X,X,X,X
IJLZOTS,O,X,X,X,X,X,X
IJLZOST,O,X,O,X,X,X,X
IJLOTSZ,O,O,X,X,X,X,X
IJLOTZS,O,X,X,X,X,X,X
IJLOSTZ,O,O,O,X,X,X,X
IJLOSZT,O,X,O,X,X,X,X
IJLOZTS,O,X,X,X,X,X,X
IJLOZST,O,X,O,X,X,X,X
IJSTLZO,X,O,X,O,X,X,X
IJSTLOZ,X,O,O,O,X,X,X
IJSTZLO,X,O,O,O,X,O,X
IJSTZOL,X,O,X,O,X,X,X
IJSTOLZ,X,O,X,O,X,X,X
IJSTOZL,X,O,X,O,X,O,X
IJSLTZO,O,O,X,X,X,X,X
IJSLTOZ,O,O,O,X,X,X,X
IJSLZTO,O,X,O,X,X,X,X
IJSLZOT,O,X,O,X,X,X,X
IJSLOTZ,O,O,O,X,X,X,X
IJSLOZT,O,X,O,X,X,X,X
IJSZTLO,X,O,O,O,X,X,X
IJSZTOL,X,O,X,O,X,X,X
IJSZLTO,O,X,O,X,X,X,X
IJSZLOT,O,X,O,X,X,X,X
IJSZOTL,X,O,X,X,X,X,X
IJSZOLT,O,X,O,X,X,X,X
IJSOTLZ,X,O,X,X,X,X,X
IJSOTZL,X,O,X,X,X,X,X
IJSOLTZ,O,O,O,X,X,X,X
IJSOLZT,O,X,O,X,X,X,X
IJSOZTL,X,O,X,X,X,X,X
IJSOZLT,O,X,O,X,X,X,X
IJZTLSO,O,X,X,O,O,O,X
IJZTLOS,O,X,X,X,O,O,X
IJZTSLO,X,X,X,O,O,O,X
IJZTSOL,X,X,X,O,O,X,X
IJZTOLS,O,X,X,X,O,O,X
IJZTOSL,X,X,X,X,O,O,X
IJZLTSO,O,X,X,O,X,X,X
IJZLTOS,O,X,X,X,X,X,X
IJZLSTO,O,X,O,X,X,X,X
IJZLSOT,O,X,O,X,X,X,X
IJZLOTS,O,X,X,X,X,X,X
IJZLOST,O,X,O,X,X,X,X
IJZSTLO,X,X,O,O,O,X,X
IJZSTOL,X,X,X,O,O,X,X
IJZSLTO,O,X,O,X,X,X,X
IJZSLOT,O,X,O,X,X,X,X
IJZSOTL,X,X,X,X,O,X,X
IJZSOLT,O,X,O,X,X,X,X
IJZOTLS,O,X,X,X,O,X,X
IJZOTSL,X,X,X,X,O,X,X
IJZOLTS,O,X,X,X,X,X,X
IJZOLST,O,X,O,X,X,X,X
IJZOSTL,X,X,X,X,O,X,X
IJZOSLT,O,X,O,X,X,X,X
IJOTLSZ,O,O,X,X,X,X,X
IJOTLZS,O,X,X,X,O,O,X
IJOTSLZ,X,O,X,X,X,X,X
IJOTSZL,X,O,X,X,O,O,X
IJOTZLS,O,X,X,X,O,O,X
IJOTZSL,X,X,X,X,O,O,X
IJOLTSZ,O,O,X,X,X,X,X
IJOLTZS,O,X,X,X,X,X,X
IJOLSTZ,O,O,O,X,X,X,X
IJOLSZT,O,X,O,X,X,X,X
IJOLZTS,O,X,X,X,X,X,X
IJOLZST,O,X,O,X,X,X,X
IJOSTLZ,X,O,X,X,X,X,X
IJOSTZL,X,O,X,X,X,X,X
IJOSLTZ,O,O,O,X,X,X,X
IJOSLZT,O,X,O,X,X,X,X
IJOSZTL,X,O,X,X,X,X,X
IJOSZLT,O,X,O,X,X,X,X
IJOZTLS,O,X,X,X,O,O,X
IJOZTSL,X,X,X,X,O,O,X
IJOZLTS,O,X,X,X,X,X,X
IJOZLST,O,X,O,X,X,X,X
IJOZSTL,X,X,X,X,O,X,X
IJOZSLT,O,X,O,X,X,X,X
ISTLJZO,O,O,X,O,X,X,X
ISTLJOZ,O,O,O,O,X,X,X
ISTLZJO,O,O,X,O,X,X,X
ISTLZOJ,O,O,X,O,X,X,O
ISTLOJZ,O,O,O,O,X,X,X
ISTLOZJ,O,O,X,O,X,X,O
ISTJLZO,X,O,X,O,X,X,X
ISTJLOZ,X,O,O,O,X,X,X
ISTJZLO,X,O,O,O,O,O,X
ISTJZOL,X,O,X,O,O,X,X
ISTJOLZ,X,O,X,O,X,X,X
ISTJOZL,X,O,X,O,O,O,X
ISTZLJO,O,O,O,O,O,X,X
ISTZLOJ,O,O,O,O,X,X,O
ISTZJLO,X,O,O,O,O,O,X
ISTZJOL,X,O,X,O,O,X,X
ISTZOLJ,O,O,X,O,O,X,X
ISTZOJL,X,O,X,O,O,X,X
ISTOLJZ,O,O,X,O,X,X,X
ISTOLZJ,O,O,X,O,X,X,O
ISTOJLZ,X,O,X,O,X,X,X
ISTOJZL,X,O,X,O,O,O,X
ISTOZLJ,O,O,X,O,O,X,O
ISTOZJL,X,O,X,O,O,O,X
ISLTJZO,O,O,X,O,X,X,X
ISLTJOZ,O,O,O,O,X,X,X
ISLTZJO,O,O,X,O,X,X,X
ISLTZOJ,O,O,X,O,X,X,O
ISLTOJZ,O,O,O,O,X,X,X
ISLTOZJ,O,O,X,O,X,X,O
ISLJTZO,O,O,X,X,X,X,X
ISLJTOZ,O,O,O,X,X,X,X
ISLJZTO,O,X,O,X,X,X,X
ISLJZOT,O,X,O,X,X,X,X
ISLJOTZ,O,O,O,X,X,X,X
ISLJOZT,O,X,O,X,X,X,X
ISLZTJO,O,O,O,O,X,X,X
ISLZTOJ,O,O,O,O,X,X,X
ISLZJTO,O,X,O,X,X,X,X
ISLZJOT,O,X,O,X,X,X,X
ISLZOTJ,O,O,O,X,X,X,X
ISLZOJT,O,X,O,X,X,X,X
ISLOTJZ,O,O,O,X,X,X,X
ISLOTZJ,O,O,X,X,X,X,X
ISLOJTZ,O,O,O,X,X,X,X
ISLOJZT,O,X,O,X,X,X,X
ISLOZTJ,O,O,O,X,X,X,X
ISLOZJT,O,X,O,X,X,X,X
ISJTLZO,X,O,X,O,X,X,X
ISJTLOZ,X,O,O,O,X,X,X
ISJTZLO,X,O,O,O,X,O,X
ISJTZOL,X,O,X,O,X,X,X
ISJTOLZ,X,O,X,O,X,X,X
ISJTOZL,X,O,X,O,X,O,X
ISJLTZO,O,O,X,X,X,X,X
ISJLTOZ,O,O,O,X,X,X,X
ISJLZTO,O,X,O,X,X,X,X
ISJLZOT,O,X,O,X,X,X,X
ISJLOTZ,O,O,O,X,X,X,X
ISJLOZT,O,X,O,X,X,X,X
ISJZTLO,X,O,O,O,X,X,X
ISJZTOL,X,O,X,O,X,X,X
ISJZLTO,O,X,O,X,X,X,X
ISJZLOT,O,X,O,X,X,X,X
ISJZOTL,X,O,X,X,X,X,X
ISJZOLT,O,X,O,X,X,X,X
ISJOTLZ,X,O,X,X,X,X,X
ISJOTZL,X,O,X,X,X,X,X
ISJOLTZ,O,O,O,X,X,X,X
ISJOLZT,O,X,O,X,X,X,X
ISJOZTL,X,O,X,X,X,X,X
ISJOZLT,O,X,O,X,X,X,X
ISZTLJO,O,O,O,O,O,X,X
ISZTLOJ,O,O,O,O,X,X,X
ISZTJLO,X,O,O,O,O,X,X
ISZTJOL,X,O,X,O,O,X,X
ISZTOLJ,O,O,X,O,O,X,X
ISZTOJL,X,O,X,O,O,X,X
ISZLTJO,O,O,O,O,O,X,X
ISZLTOJ,O,O,O,O,X,X,X
ISZLJTO,O,X,O,X,X,X,X
ISZLJOT,O,X,O,X,X,X,X
ISZLOTJ,O,O,O,X,O,X,X
ISZLOJT,O,X,O,X,X,X,X
ISZJTLO,X,O,O,O,O,X,X
ISZJTOL,X,O,X,O,O,X,X
ISZJLTO,O,X,O,X,X,X,X
ISZJLOT,O,X,O,X,X,X,X
ISZJOTL,X,O,X,X,O,X,X
ISZJOLT,O,X,O,X,X,X,X
ISZOTLJ,O,O,X,O,O,X,X
ISZOTJL,X,O,X,O,O,X,X
ISZOLTJ,O,O,O,X,O,X,X
ISZOLJT,O,X,O,X,X,X,X
ISZOJTL,X,O,X,X,O,X,X
ISZOJLT,O,X,O,X,X,X,X
ISOTLJZ,O,O,X,O,X,X,X
ISOTLZJ,O,O,X,O,X,X,X
ISOTJLZ,X,O,X,O,X,X,X
ISOTJZL,X,O,X,O,O,X,X
ISOTZLJ,O,O,X,O,O,X,X
ISOTZJL,X,O,X,O,O,X,X
ISOLTJZ,O,O,O,X,X,X,X
ISOLTZJ,O,O,X,X,X,X,X
ISOLJTZ,O,O,O,X,X,X,X
ISOLJZT,O,X,O,X,X,X,X
ISOLZTJ,O,O,O,X,X,X,X
ISOLZJT,O,X,O,X,X,X,X
ISOJTLZ,X,O,X,X,X,X,X
ISOJTZL,X,O,X,X,X,X,X
ISOJLTZ,O,O,O,X,X,X,X
ISOJLZT,O,X,O,X,X,X,X
ISOJZTL,X,O,X,X,X,X,X
ISOJZLT,O,X,O,X,X,X,X
ISOZTLJ,O,O,X,O,O,X,X
ISOZTJL,X,O,X,O,O,X,X
ISOZLTJ,O,O,O,X,O,X,X
ISOZLJT,O,X,O,X,X,X,X
ISOZJTL,X,O,X,X,O,X,X
ISOZJLT,O,X,O,X,X,X,X
IZTLJSO,O,X,X,O,O,O,X
IZTLJOS,O,X,X,X,O,O,O
IZTLSJO,O,O,X,O,O,X,X
IZTLSOJ,O,O,X,O,X,X,O
IZTLOJS,O,X,X,X,O,X,O
IZTLOSJ,O,O,X,O,O,X,O
IZTJLSO,O,X,X,O,O,O,X
IZTJLOS,O,X,X,X,O,O,O
IZTJSLO,X,X,X,O,O,O,X
IZTJSOL,X,X,X,O,O,X,X
IZTJOLS,O,X,X,X,O,O,X
IZTJOSL,X,X,X,X,O,O,X
IZTSLJO,O,O,X,O,O,X,X
IZTSLOJ,O,O,X,O,X,X,O
IZTSJLO,X,O,X,O,O,O,X
IZTSJOL,X,O,X,O,O,X,X
IZTSOLJ,O,O,X,O,O,X,X
IZTSOJL,X,O,X,O,O,X,X
IZTOLJS,O,X,X,X,O,O,O
