sequence,v115@HhA8IeF8BeD8GeA8Je0/IvhFlgBzhBGjB3nByvBRxB,v115@HhA8IeF8BeD8GeA8Jel/IvhF3gBGiBTjBUnByvBRxB,v115@HhA8IeF8BeD8GeA8Jex/IvhFmhBTjBXsBqsBUqBFrB,v115@HhA8IeF8BeD8GeA8Jel/IvhF6nBTjBmmBcqBXrBRxB,v115@HhA8IeF8BeD8GeA8Je0/IvhFzgBfnBSoBlnB2vBRxB,v115@HhA8IeF8BeD8GeA8Jel/IvhFRiBXsBarBctBTqBGsB,v115@HhA8IeF8BeD8GeA8Jex/IvhFmhBSoBXsBUqBFrBzsB,v115@HhA8IeF8BeD8GeA8Je0/IvhFzgBfnBxiBSxBFtB2vB
ISLJZOT,O,X,O,O,O,O,X,X
ISLJOTZ,O,X,O,O,X,X,X,X
ISLJOZT,O,X,O,O,O,X,X,X
ISLZTJO,O,O,O,X,X,O,O,X
ISLZTOJ,O,O,O,X,O,O,O,X
ISLZJTO,O,O,O,X,X,O,O,X
ISLZJOT,O,O,O,X,O,O,X,X
ISLZOTJ,O,O,O,X,O,O,O,X
ISLZOJT,O,O,O,X,O,X,X,X
ISLOTJZ,O,X,O,O,X,X,X,X
ISLOTZJ,O,O,O,X,O,X,X,X
ISLOJTZ,O,X,O,O,X,X,X,X
ISLOJZT,O,X,O,O,O,X,X,X
ISLOZTJ,O,O,O,X,O,X,O,X
ISLOZJT,O,O,O,X,O,X,X,X
ISJTLZO,O,X,O,O,X,O,O,X
ISJTLOZ,O,X,O,O,X,X,X,X
ISJTZLO,O,O,O,X,X,O,O,X
ISJTZOL,O,O,O,X,X,O,O,X
ISJTOLZ,O,X,O,O,X,O,X,X
ISJTOZL,O,O,X,X,X,O,X,X
ISJLTZO,O,X,O,O,X,O,O,X
ISJLTOZ,O,X,O,O,X,X,X,X
ISJLZTO,O,X,O,O,X,O,O,X
ISJLZOT,O,X,O,O,O,O,X,X
ISJLOTZ,O,X,O,O,X,X,X,X
ISJLOZT,O,X,O,O,O,X,X,X
ISJZTLO,O,O,O,X,X,O,O,X
ISJZTOL,O,O,O,X,X,O,O,X
ISJZLTO,O,O,O,X,X,O,O,X
ISJZLOT,O,O,O,X,O,O,X,X
ISJZOTL,O,O,O,X,X,O,X,X
ISJZOLT,O,O,O,X,O,O,X,X
ISJOTLZ,O,X,O,O,X,O,X,X
ISJOTZL,O,O,X,X,X,O,X,X
ISJOLTZ,O,X,O,O,X,O,X,X
ISJOLZT,O,X,O,O,O,O,X,X
ISJOZTL,O,O,O,X,X,O,X,X
ISJOZLT,O,O,O,X,O,O,X,X
ISZTLJO,O,O,O,X,X,O,O,X
ISZTLOJ,O,O,O,X,O,O,O,X
ISZTJLO,O,O,O,X,X,O,O,X
ISZTJOL,O,O,O,X,X,O,O,X
ISZTOLJ,O,O,O,X,O,O,O,X
ISZTOJL,O,O,O,X,X,O,O,X
ISZLTJO,O,O,O,X,X,O,O,X
ISZLTOJ,O,O,O,X,O,O,O,X
ISZLJTO,O,O,O,X,X,O,O,X
ISZLJOT,O,O,O,X,O,O,X,X
ISZLOTJ,O,O,O,X,O,O,O,X
ISZLOJT,O,O,O,X,O,O,X,X
ISZJTLO,O,O,O,X,X,O,O,X
ISZJTOL,O,O,O,X,X,O,O,X
ISZJLTO,O,O,O,X,X,O,O,X
ISZJLOT,O,O,O,X,O,O,X,X
ISZJOTL,O,O,O,X,X,O,X,X
ISZJOLT,O,O,O,X,O,O,X,X
ISZOTLJ,O,O,O,X,O,O,O,X
ISZOTJL,O,O,O,X,X,O,O,X
ISZOLTJ,O,O,O,X,O,O,O,X
ISZOLJT,O,O,O,X,O,O,X,X
ISZOJTL,O,O,O,X,X,O,X,X
ISZOJLT,O,O,O,X,O,O,X,X
ISOTLJZ,O,X,O,O,X,O,X,X
ISOTLZJ,O,O,O,X,O,O,X,X
ISOTJLZ,O,X,O,O,X,O,X,X
ISOTJZL,O,O,X,X,X,O,X,X
ISOTZLJ,O,O,O,X,O,O,X,X
ISOTZJL,O,O,O,X,X,O,X,X
ISOLTJZ,O,X,O,O,X,O,X,X
ISOLTZJ,O,O,O,X,O,O,X,X
ISOLJTZ,O,X,O,O,X,O,X,X
ISOLJZT,O,X,O,O,O,O,X,X
ISOLZTJ,O,O,O,X,O,O,O,X
ISOLZJT,O,O,O,X,O,O,X,X
ISOJTLZ,O,X,O,O,X,O,X,X
ISOJTZL,O,O,X,X,X,O,X,X
ISOJLTZ,O,X,O,O,X,O,X,X
ISOJLZT,O,X,O,O,O,O,X,X
ISOJZTL,O,O,O,X,X,O,X,X
ISOJZLT,O,O,O,X,O,O,X,X
ISOZTLJ,O,O,O,X,O,O,O,X
ISOZTJL,O,O,O,X,X,O,O,X
ISOZLTJ,O,O,O,X,O,O,O,X
ISOZLJT,O,O,O,X,O,O,X,X
ISOZJTL,O,O,O,X,X,O,X,X
ISOZJLT,O,O,O,X,O,O,X,X
IZTLJSO,O,O,X,O,X,X,X,X
IZTLJOS,O,O,X,O,X,X,X,X
IZTLSJO,O,O,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,O,X,X,X
IZTLOJS,O,O,X,O,X,X,X,X
IZTLOSJ,X,O,X,X,O,X,X,X
IZTJLSO,O,O,X,O,X,X,X,X
IZTJLOS,O,O,X,O,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X,X
IZTJOLS,O,O,X,O,X,X,X,X
IZTJOSL,O,O,X,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,X,X
IZTSLOJ,O,O,X,X,O,X,X,X
IZTSJLO,O,O,X,X,X,X,X,X
IZTSJOL,O,O,X,X,X,X,X,X
IZTSOLJ,O,O,X,X,O,X,X,X
IZTSOJL,O,O,X,X,X,X,X,X
IZTOLJS,O,O,X,O,X,X,X,X
IZTOLSJ,X,O,X,X,O,X,X,X
IZTOJLS,O,O,X,O,X,X,X,X
IZTOJSL,O,O,X,X,X,X,X,X
IZTOSLJ,O,O,X,X,O,X,X,X
IZTOSJL,O,O,X,X,X,X,X,X
IZLTJSO,O,O,X,O,X,X,X,X
IZLTJOS,O,O,X,O,X,X,X,X
IZLTSJO,O,O,X,X,X,X,X,X
IZLTSOJ,O,O,X,X,O,X,X,X
IZLTOJS,O,O,X,O,X,X,X,X
IZLTOSJ,X,O,X,X,O,X,X,X
IZLJTSO,O,O,X,O,X,X,X,X
IZLJTOS,O,O,X,O,X,X,X,X
IZLJSTO,O,O,X,O,X,X,X,X
IZLJSOT,O,O,X,O,O,X,X,X
IZLJOTS,O,O,X,O,X,X,X,X
IZLJOST,X,O,X,O,O,X,X,X
IZLSTJO,O,O,X,X,X,X,O,X
IZLSTOJ,O,O,X,X,O,X,O,X
IZLSJTO,O,O,X,X,X,X,O,X
IZLSJOT,O,O,X,X,O,X,X,X
IZLSOTJ,O,O,X,X,O,X,O,X
IZLSOJT,O,O,X,X,O,X,X,X
IZLOTJS,O,O,X,O,X,X,X,X
IZLOTSJ,X,O,X,X,O,X,X,X
IZLOJTS,O,O,X,O,X,X,X,X
IZLOJST,X,O,X,O,O,X,X,X
IZLOSTJ,X,O,X,X,O,X,X,O
IZLOSJT,X,O,X,X,O,X,X,X
IZJTLSO,O,O,X,O,X,X,X,X
IZJTLOS,O,O,X,O,X,X,X,X
IZJTSLO,O,O,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X,X
IZJTOLS,O,O,X,O,X,X,X,X
IZJTOSL,O,O,X,X,X,X,X,X
IZJLTSO,O,O,X,O,X,X,X,X
IZJLTOS,O,O,X,O,X,X,X,X
IZJLSTO,O,O,X,O,X,X,X,X
IZJLSOT,O,O,X,O,O,X,X,X
IZJLOTS,O,O,X,O,X,X,X,X
IZJLOST,X,O,X,O,O,X,X,X
IZJSTLO,O,O,X,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X,X,X
IZJSLTO,O,O,X,X,X,X,X,X
IZJSLOT,O,O,X,X,O,X,X,X
IZJSOTL,O,O,X,X,X,X,X,X
IZJSOLT,O,O,X,X,O,X,X,X
IZJOTLS,O,O,X,O,X,X,X,X
IZJOTSL,O,O,X,X,X,X,X,X
IZJOLTS,O,O,X,O,X,X,X,X
IZJOLST,X,O,X,O,O,X,X,X
IZJOSTL,O,O,X,X,X,X,X,X
IZJOSLT,O,O,X,X,O,X,X,X
IZSTLJO,O,O,O,X,X,X,O,X
IZSTLOJ,O,O,O,X,O,X,O,X
IZSTJLO,O,O,O,X,X,X,O,X
IZSTJOL,O,O,O,X,X,X,O,X
IZSTOLJ,O,O,O,X,O,X,O,X
IZSTOJL,O,O,O,X,X,X,O,X
IZSLTJO,O,O,O,X,X,X,O,X
IZSLTOJ,O,O,O,X,O,X,O,X
IZSLJTO,O,O,O,X,X,X,O,X
IZSLJOT,O,O,O,X,O,X,X,X
IZSLOTJ,O,O,O,X,O,X,O,X
IZSLOJT,O,O,O,X,O,X,X,X
IZSJTLO,O,O,O,X,X,X,O,X
IZSJTOL,O,O,O,X,X,X,O,X
IZSJLTO,O,O,O,X,X,X,O,X
IZSJLOT,O,O,O,X,O,X,X,X
IZSJOTL,O,O,O,X,X,X,X,X
IZSJOLT,O,O,O,X,O,X,X,X
IZSOTLJ,O,O,O,X,O,X,O,X
IZSOTJL,O,O,O,X,X,X,O,X
IZSOLTJ,O,O,O,X,O,X,O,X
IZSOLJT,O,O,O,X,O,X,X,X
IZSOJTL,O,O,O,X,X,X,X,X
IZSOJLT,O,O,O,X,O,X,X,X
IZOTLJS,O,O,X,O,X,X,X,X
IZOTLSJ,X,O,X,X,O,X,X,X
IZOTJLS,O,O,X,O,X,X,X,X
IZOTJSL,O,O,X,X,X,X,X,X
IZOTSLJ,O,O,X,X,O,X,X,X
IZOTSJL,O,O,X,X,X,X,X,X
IZOLTJS,O,O,X,O,X,X,X,X
IZOLTSJ,X,O,X,X,O,X,X,X
IZOLJTS,O,O,X,O,X,X,X,X
IZOLJST,X,O,X,O,O,X,X,X
IZOLSTJ,X,O,X,X,O,X,X,O
IZOLSJT,X,O,X,X,O,X,X,X
IZOJTLS,O,O,X,O,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X,X
IZOJLTS,O,O,X,O,X,X,X,X
IZOJLST,X,O,X,O,O,X,X,X
IZOJSTL,O,O,X,X,X,X,X,X
IZOJSLT,O,O,X,X,O,X,X,X
IZOSTLJ,O,O,O,X,O,X,X,X
IZOSTJL,O,O,O,X,X,X,X,X
IZOSLTJ,O,O,O,X,O,X,X,X
IZOSLJT,O,O,O,X,O,X,X,X
IZOSJTL,O,O,O,X,X,X,X,X
IZOSJLT,O,O,O,X,O,X,X,X
IOTLJSZ,X,X,X,O,X,X,X,X
IOTLJZS,O,X,X,O,X,X,X,X
IOTLSJZ,X,X,X,O,X,X,X,X
IOTLSZJ,X,O,X,X,O,X,X,X
IOTLZJS,O,O,X,O,X,X,X,X
IOTLZSJ,X,O,X,X,O,X,X,X
IOTJLSZ,X,X,X,O,X,X,X,X
IOTJLZS,O,X,X,O,X,X,X,X
IOTJSLZ,O,X,X,O,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X,X
IOTJZLS,O,O,X,O,X,X,X,X
IOTJZSL,O,O,X,X,X,X,X,X
IOTSLJZ,O,X,O,O,X,X,X,X
IOTSLZJ,O,O,O,X,O,X,X,X
IOTSJLZ,O,X,O,O,X,X,X,X
IOTSJZL,O,O,X,X,X,X,X,X
IOTSZLJ,O,O,O,X,O,X,X,X
IOTSZJL,O,O,O,X,X,X,X,X
IOTZLJS,O,O,X,O,X,X,X,X
IOTZLSJ,X,O,X,X,O,X,X,X
IOTZJLS,O,O,X,O,X,X,X,X
IOTZJSL,O,O,X,X,X,X,X,X
IOTZSLJ,O,O,X,X,O,X,X,X
IOTZSJL,O,O,X,X,X,X,X,X
IOLTJSZ,X,X,X,O,X,X,X,X
IOLTJZS,O,X,X,O,X,X,X,X
IOLTSJZ,X,X,X,O,X,X,X,X
IOLTSZJ,X,O,X,X,O,X,X,X
IOLTZJS,O,O,X,O,X,X,X,X
IOLTZSJ,X,O,X,X,O,X,X,X
IOLJTSZ,X,X,X,O,X,X,X,X
IOLJTZS,O,X,X,O,X,X,X,X
IOLJSTZ,X,X,X,O,X,X,X,X
IOLJSZT,X,X,X,O,O,X,X,X
IOLJZTS,O,X,X,O,X,X,X,X
IOLJZST,X,X,X,O,O,X,X,X
IOLSTJZ,X,X,O,O,X,X,X,O
IOLSTZJ,X,O,O,X,O,X,X,O
IOLSJTZ,X,X,O,O,X,X,X,X
IOLSJZT,X,X,O,O,O,X,X,X
IOLSZTJ,X,O,O,X,O,X,O,O
IOLSZJT,X,O,O,X,O,X,X,X
IOLZTJS,O,O,X,O,X,X,X,X
IOLZTSJ,X,O,X,X,O,X,X,X
IOLZJTS,O,O,X,O,X,X,X,X
IOLZJST,X,O,X,O,O,X,X,X
IOLZSTJ,X,O,X,X,O,X,X,O
IOLZSJT,X,O,X,X,O,X,X,X
IOJTLSZ,X,X,X,O,X,X,X,X
IOJTLZS,O,X,X,O,X,X,X,X
IOJTSLZ,O,X,X,O,X,X,X,X
IOJTSZL,O,O,X,X,X,X,X,X
IOJTZLS,O,O,X,O,X,X,X,X
IOJTZSL,O,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,X,X,X
IOJLTZS,O,X,X,O,X,X,X,X
IOJLSTZ,X,X,X,O,X,X,X,X
IOJLSZT,X,X,X,O,O,X,X,X
IOJLZTS,O,X,X,O,X,X,X,X
IOJLZST,X,X,X,O,O,X,X,X
IOJSTLZ,O,X,O,O,X,X,X,X
IOJSTZL,O,O,X,X,X,X,X,X
IOJSLTZ,O,X,O,O,X,X,X,X
IOJSLZT,O,X,O,O,O,X,X,X
IOJSZTL,O,O,O,X,X,X,X,X
IOJSZLT,O,O,O,X,O,X,X,X
IOJZTLS,O,O,X,O,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,X
IOJZLTS,O,O,X,O,X,X,X,X
IOJZLST,X,O,X,O,O,X,X,X
IOJZSTL,O,O,X,X,X,X,X,X
IOJZSLT,O,O,X,X,O,X,X,X
IOSTLJZ,O,X,O,O,X,X,X,X
IOSTLZJ,O,O,O,X,O,X,X,X
IOSTJLZ,O,X,O,O,X,X,X,X
IOSTJZL,O,O,X,X,X,X,X,X
IOSTZLJ,O,O,O,X,O,X,X,X
IOSTZJL,O,O,O,X,X,X,X,X
IOSLTJZ,O,X,O,O,X,X,X,X
IOSLTZJ,O,O,O,X,O,X,X,X
IOSLJTZ,O,X,O,O,X,X,X,X
IOSLJZT,O,X,O,O,O,X,X,X
IOSLZTJ,O,O,O,X,O,X,O,X
IOSLZJT,O,O,O,X,O,X,X,X
IOSJTLZ,O,X,O,O,X,X,X,X
IOSJTZL,O,O,X,X,X,X,X,X
IOSJLTZ,O,X,O,O,X,X,X,X
IOSJLZT,O,X,O,O,O,X,X,X
IOSJZTL,O,O,O,X,X,X,X,X
IOSJZLT,O,O,O,X,O,X,X,X
IOSZTLJ,O,O,O,X,O,X,O,X
IOSZTJL,O,O,O,X,X,X,O,X
IOSZLTJ,O,O,O,X,O,X,O,X
IOSZLJT,O,O,O,X,O,X,X,X
IOSZJTL,O,O,O,X,X,X,X,X
IOSZJLT,O,O,O,X,O,X,X,X
IOZTLJS,O,O,X,O,X,X,X,X
IOZTLSJ,X,O,X,X,O,X,X,X
IOZTJLS,O,O,X,O,X,X,X,X
IOZTJSL,O,O,X,X,X,X,X,X
IOZTSLJ,O,O,X,X,O,X,X,X
IOZTSJL,O,O,X,X,X,X,X,X
IOZLTJS,O,O,X,O,X,X,X,X
IOZLTSJ,X,O,X,X,O,X,X,X
IOZLJTS,O,O,X,O,X,X,X,X
IOZLJST,X,O,X,O,O,X,X,X
IOZLSTJ,X,O,X,X,O,X,X,O
IOZLSJT,X,O,X,X,O,X,X,X
IOZJTLS,O,O,X,O,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X,X
IOZJLTS,O,O,X,O,X,X,X,X
IOZJLST,X,O,X,O,O,X,X,X
IOZJSTL,O,O,X,X,X,X,X,X
IOZJSLT,O,O,X,X,O,X,X,X
IOZSTLJ,O,O,O,X,O,X,X,X
IOZSTJL,O,O,O,X,X,X,X,X
IOZSLTJ,O,O,O,X,O,X,X,X
IOZSLJT,O,O,O,X,O,X,X,X
IOZSJTL,O,O,O,X,X,X,X,X
IOZSJLT,O,O,O,X,O,X,X,X
LTIJSZO,O,X,X,O,X,X,X,X
LTIJSOZ,O,X,X,O,X,X,X,X
LTIJZSO,O,X,X,O,X,X,X,X
LTIJZOS,O,X,X,O,X,X,X,X
LTIJOSZ,X,X,X,O,X,X,X,X
LTIJOZS,O,X,X,O,X,X,X,X
LTISJZO,O,X,X,O,X,X,X,X
LTISJOZ,O,X,X,O,X,X,X,X
LTISZJO,O,O,X,X,X,X,O,X
LTISZOJ,O,O,X,X,O,X,O,X
LTISOJZ,O,X,X,O,X,X,X,X
LTISOZJ,O,O,X,X,O,X,X,X
LTIZJSO,O,O,X,O,X,X,X,X
LTIZJOS,O,O,X,O,X,X,X,X
LTIZSJO,O,O,X,X,X,X,X,X
LTIZSOJ,O,O,X,X,O,X,X,X
LTIZOJS,O,O,X,O,X,X,X,X
LTIZOSJ,X,O,X,X,O,X,X,X
LTIOJSZ,X,X,X,O,X,X,X,X
LTIOJZS,O,X,X,O,X,X,X,X
LTIOSJZ,X,X,X,O,X,X,X,X
LTIOSZJ,X,O,X,X,O,X,X,X
LTIOZJS,O,O,X,O,X,X,X,X
LTIOZSJ,X,O,X,X,O,X,X,X
LTJISZO,O,X,X,O,X,X,X,X
LTJISOZ,O,X,X,O,X,X,X,X
LTJIZSO,O,X,X,O,X,X,X,X
LTJIZOS,O,X,X,O,X,X,X,X
LTJIOSZ,X,X,X,O,X,X,X,X
LTJIOZS,O,X,X,O,X,X,X,X
LTJSIZO,O,X,X,O,X,X,X,X
LTJSIOZ,O,X,X,O,X,X,X,X
LTJSZIO,O,X,X,O,X,X,X,X
LTJSZOI,O,X,X,O,X,X,X,X
LTJSOIZ,O,X,X,O,X,X,X,X
LTJSOZI,O,X,X,O,X,X,X,X
LTJZISO,O,X,X,O,X,X,X,X
LTJZIOS,O,X,X,O,X,X,X,X
LTJZSIO,O,X,X,O,X,X,X,X
LTJZSOI,O,X,X,O,X,X,X,X
LTJZOIS,O,X,X,O,X,X,X,X
LTJZOSI,O,X,X,O,X,X,X,X
LTJOISZ,X,X,X,O,X,X,X,X
LTJOIZS,X,X,X,O,X,X,X,X
LTJOSIZ,X,X,X,O,X,X,X,X
LTJOSZI,X,X,X,O,X,X,X,X
LTJOZIS,O,X,X,O,X,X,X,X
LTJOZSI,O,X,X,O,X,X,X,X
LTSIJZO,O,X,X,X,X,O,O,X
LTSIJOZ,O,X,X,X,X,X,X,X
LTSIZJO,O,O,X,X,X,O,O,X
LTSIZOJ,X,O,X,X,X,O,O,X
LTSIOJZ,X,X,X,X,X,X,X,X
LTSIOZJ,X,O,X,X,X,X,X,X
LTSJIZO,O,X,X,X,X,O,O,X
LTSJIOZ,O,X,X,X,X,X,X,X
LTSJZIO,O,X,X,X,X,O,O,X
LTSJZOI,O,X,X,X,X,O,O,X
LTSJOIZ,O,X,X,X,X,O,X,X
LTSJOZI,O,X,X,X,X,O,O,X
LTSZIJO,O,O,X,X,X,O,O,X
LTSZIOJ,X,O,X,X,X,O,O,X
LTSZJIO,O,O,X,X,X,O,O,X
LTSZJOI,O,O,X,X,X,O,O,X
LTSZOIJ,X,O,X,X,O,O,O,X
LTSZOJI,O,O,X,X,O,O,O,X
LTSOIJZ,X,X,X,X,X,O,X,X
LTSOIZJ,X,O,X,X,X,O,X,X
LTSOJIZ,O,X,X,X,X,O,X,X
LTSOJZI,O,X,X,X,X,O,O,X
LTSOZIJ,X,O,X,X,O,O,O,X
LTSOZJI,O,O,X,X,O,O,O,X
LTZIJSO,O,O,X,X,X,X,X,X
LTZIJOS,O,O,X,X,X,X,X,X
LTZISJO,O,O,X,X,X,X,X,X
LTZISOJ,O,O,X,X,O,X,X,X
LTZIOJS,O,O,X,X,X,X,X,X
LTZIOSJ,X,O,X,X,O,X,X,X
LTZJISO,O,O,X,X,X,X,X,X
LTZJIOS,O,O,X,X,X,X,X,X
LTZJSIO,O,O,X,X,X,X,X,X
LTZJSOI,O,O,X,X,X,X,X,X
LTZJOIS,O,O,X,X,X,X,X,X
LTZJOSI,O,O,X,X,X,X,X,X
LTZSIJO,O,O,X,X,X,X,X,X
LTZSIOJ,X,O,X,X,X,X,X,X
LTZSJIO,O,O,X,X,X,X,X,X
LTZSJOI,O,O,X,X,X,X,X,X
LTZSOIJ,X,O,X,X,O,X,X,X
LTZSOJI,O,O,X,X,O,X,X,X
LTZOIJS,O,O,X,X,X,X,X,X
LTZOISJ,X,O,X,X,O,X,X,X
LTZOJIS,O,O,X,X,X,X,X,X
LTZOJSI,O,O,X,X,X,X,X,X
LTZOSIJ,X,O,X,X,O,X,X,O
LTZOSJI,X,O,X,X,O,X,X,O
LTOIJSZ,X,X,X,O,X,X,X,X
LTOIJZS,O,X,X,O,X,X,X,X
LTOISJZ,X,X,X,O,X,X,X,X
LTOISZJ,X,O,X,X,O,X,X,X
LTOIZJS,O,O,X,O,X,X,X,X
LTOIZSJ,X,O,X,X,O,X,X,X
LTOJISZ,X,X,X,O,X,X,X,X
LTOJIZS,X,X,X,O,X,X,X,X
LTOJSIZ,X,X,X,O,X,X,X,X
LTOJSZI,X,X,X,O,X,X,X,X
LTOJZIS,O,X,X,O,X,X,X,X
LTOJZSI,O,X,X,O,X,X,X,X
LTOSIJZ,X,X,X,X,X,X,X,O
LTOSIZJ,X,O,X,X,X,X,X,O
LTOSJIZ,X,X,X,X,X,X,X,O
LTOSJZI,X,X,X,X,X,X,X,O
LTOSZIJ,X,O,X,X,O,X,X,O
LTOSZJI,X,O,X,X,O,X,X,O
LTOZIJS,O,O,X,X,X,X,X,X
LTOZISJ,X,O,X,X,O,X,X,X
LTOZJIS,O,O,X,X,X,X,X,X
LTOZJSI,O,O,X,X,X,X,X,X
LTOZSIJ,X,O,X,X,O,X,X,O
LTOZSJI,X,O,X,X,O,X,X,O
LITJSZO,O,X,X,O,X,X,X,X
LITJSOZ,O,X,X,O,X,X,X,X
LITJZSO,O,X,X,O,X,X,X,X
LITJZOS,O,X,X,O,X,X,X,X
LITJOSZ,X,X,X,O,X,X,X,X
LITJOZS,O,X,X,O,X,X,X,X
LITSJZO,O,X,X,O,X,X,X,X
LITSJOZ,O,X,X,O,X,X,X,X
LITSZJO,O,O,X,X,X,X,O,X
LITSZOJ,O,O,X,X,O,X,O,X
LITSOJZ,O,X,X,O,X,X,X,X
LITSOZJ,O,O,X,X,O,X,X,X
LITZJSO,O,O,X,O,X,X,X,X
LITZJOS,O,O,X,O,X,X,X,X
LITZSJO,O,O,X,X,X,X,X,X
LITZSOJ,O,O,X,X,O,X,X,X
LITZOJS,O,O,X,O,X,X,X,X
LITZOSJ,X,O,X,X,O,X,X,X
LITOJSZ,X,X,X,O,X,X,X,X
LITOJZS,O,X,X,O,X,X,X,X
LITOSJZ,X,X,X,O,X,X,X,X
LITOSZJ,X,O,X,X,O,X,X,X
LITOZJS,O,O,X,O,X,X,X,X
LITOZSJ,X,O,X,X,O,X,X,X
LIJTSZO,O,X,X,O,X,X,X,X
LIJTSOZ,O,X,X,O,X,X,X,X
LIJTZSO,O,X,X,O,X,X,X,X
LIJTZOS,O,X,X,O,X,X,X,X
LIJTOSZ,X,X,X,O,X,X,X,X
LIJTOZS,O,X,X,O,X,X,X,X
LIJSTZO,O,X,X,O,X,X,X,X
LIJSTOZ,O,X,X,O,X,X,X,X
LIJSZTO,O,X,X,O,X,X,O,X
LIJSZOT,O,X,X,O,O,X,X,X
LIJSOTZ,O,X,X,O,X,X,X,X
LIJSOZT,O,X,X,O,O,X,X,X
LIJZTSO,O,X,X,O,X,X,X,X
LIJZTOS,O,X,X,O,X,X,X,X
LIJZSTO,O,X,X,O,X,X,X,X
LIJZSOT,O,X,X,O,O,X,X,X
LIJZOTS,O,X,X,O,X,X,X,X
LIJZOST,X,X,X,O,O,X,X,X
LIJOTSZ,X,X,X,O,X,X,X,X
LIJOTZS,O,X,X,O,X,X,X,X
LIJOSTZ,X,X,X,O,X,X,X,X
LIJOSZT,X,X,X,O,O,X,X,X
LIJOZTS,O,X,X,O,X,X,X,X
LIJOZST,X,X,X,O,O,X,X,X
LISTJZO,O,X,O,O,X,X,O,X
LISTJOZ,O,X,O,O,X,X,X,X
LISTZJO,O,O,O,X,X,X,O,X
LISTZOJ,O,O,O,X,O,X,O,X
LISTOJZ,O,X,O,O,X,X,X,X
LISTOZJ,O,O,O,X,O,X,X,X
LISJTZO,O,X,O,O,X,X,O,X
LISJTOZ,O,X,O,O,X,X,X,X
LISJZTO,O,X,O,O,X,X,O,X
LISJZOT,O,X,O,O,O,X,X,X
LISJOTZ,O,X,O,O,X,X,X,X
LISJOZT,O,X,O,O,O,X,X,X
LISZTJO,O,O,O,X,X,X,O,X
LISZTOJ,O,O,O,X,O,X,O,X
LISZJTO,O,O,O,X,X,X,O,X
LISZJOT,O,O,O,X,O,X,X,X
LISZOTJ,O,O,O,X,O,X,O,X
LISZOJT,O,O,O,X,O,X,X,X
LISOTJZ,O,X,O,O,X,X,X,X
LISOTZJ,O,O,O,X,O,X,X,X
LISOJTZ,O,X,O,O,X,X,X,X
LISOJZT,O,X,O,O,O,X,X,X
LISOZTJ,O,O,O,X,O,X,O,X
LISOZJT,O,O,O,X,O,X,X,X
LIZTJSO,O,O,X,O,X,X,X,X
LIZTJOS,O,O,X,O,X,X,X,X
LIZTSJO,O,O,X,X,X,X,X,X
LIZTSOJ,O,O,X,X,O,X,X,X
LIZTOJS,O,O,X,O,X,X,X,X
LIZTOSJ,X,O,X,X,O,X,X,X
LIZJTSO,O,O,X,O,X,X,X,X
LIZJTOS,O,O,X,O,X,X,X,X
LIZJSTO,O,O,X,O,X,X,X,X
LIZJSOT,O,O,X,O,O,X,X,X
LIZJOTS,O,O,X,O,X,X,X,X
LIZJOST,X,O,X,O,O,X,X,X
LIZSTJO,O,O,X,X,X,X,O,X
LIZSTOJ,O,O,X,X,O,X,O,X
LIZSJTO,O,O,X,X,X,X,O,X
LIZSJOT,O,O,X,X,O,X,X,X
LIZSOTJ,O,O,X,X,O,X,O,X
LIZSOJT,O,O,X,X,O,X,X,X
LIZOTJS,O,O,X,O,X,X,X,X
LIZOTSJ,X,O,X,X,O,X,X,X
LIZOJTS,O,O,X,O,X,X,X,X
LIZOJST,X,O,X,O,O,X,X,X
LIZOSTJ,X,O,X,X,O,X,X,O
LIZOSJT,X,O,X,X,O,X,X,X
LIOTJSZ,X,X,X,O,X,X,X,X
LIOTJZS,O,X,X,O,X,X,X,X
LIOTSJZ,X,X,X,O,X,X,X,X
LIOTSZJ,X,O,X,X,O,X,X,X
LIOTZJS,O,O,X,O,X,X,X,X
LIOTZSJ,X,O,X,X,O,X,X,X
LIOJTSZ,X,X,X,O,X,X,X,X
LIOJTZS,O,X,X,O,X,X,X,X
LIOJSTZ,X,X,X,O,X,X,X,X
LIOJSZT,X,X,X,O,O,X,X,X
LIOJZTS,O,X,X,O,X,X,X,X
LIOJZST,X,X,X,O,O,X,X,X
LIOSTJZ,X,X,O,O,X,X,X,O
LIOSTZJ,X,O,O,X,O,X,X,O
LIOSJTZ,X,X,O,O,X,X,X,X
LIOSJZT,X,X,O,O,O,X,X,X
LIOSZTJ,X,O,O,X,O,X,O,O
LIOSZJT,X,O,O,X,O,X,X,X
LIOZTJS,O,O,X,O,X,X,X,X
LIOZTSJ,X,O,X,X,O,X,X,X
