sequence,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeRyXaAFLDmClc?JSAVDEHBEooRBJoAVBsfLuCvOBAAvhFyQB+PBsOB3NBTLBl?MB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVBJ3jFDqOBAAvhFRSBzLBXKB0HBOLBl?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JezuXaAFLDmClc?JSAVDEHBEooRBPoAVBp/rtC6OBAAvhFRSB2QB6PB3NB0LBl?MB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8Je1yXaAFLDmClc?JSAVDEHBEooRBUoAVBzfjWCP+AAAvhF3MB+PBsOBKLBzLBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JezuXaAFLDmClc?JSAVDEHBEooRBPoAVBUNUFDK+AAAvhF1SB3MB6PBsLBOLBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVB6+ytCp/AAAvhF0NB1RBTLBXPBRNBm?LB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeW0XaAFLDmClc?JSAVDEHBEooRBKoAVB6+bgCpCBAAvhF0NB1RB3LBTPBRNBi?LB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeW0XaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC6OBAAvhFRSBTKBKLBfMB0MBl?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeW0XaAFLDmClc?JSAVDEHBEooRBKoAVBzHLxCM+AAAvhF3NB0LBTKBlMBiLBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVBa3TxCK+AAAvhF0MBTLBXKBlNBmLBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JezuXaAFLDmClc?JSAVDEHBEooRBPoAVB6C+tCK+AAAvhF0MB6PBlNB3GB2QBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8Je0sXaAFLDmClc?JSAVDEHBEooRBaoAVBs+bgCK+AAAvhFCPBlNB3GBTPB2QBR?NB
TSILOZJ,X,X,X,O,O,X,O,X,X,X,X,X
TSIJLZO,X,X,X,O,X,X,O,X,O,X,X,X
TSIJLOZ,X,X,X,O,X,X,O,X,O,X,X,X
TSIJZLO,X,X,X,O,O,X,O,X,O,X,X,X
TSIJZOL,X,X,X,O,O,X,O,X,O,X,X,X
TSIJOLZ,X,X,X,O,O,X,O,X,O,X,X,X
TSIJOZL,X,X,X,O,O,X,O,X,O,X,X,X
TSIZLJO,X,X,X,O,O,O,O,X,O,X,X,X
TSIZLOJ,X,X,X,O,O,O,O,X,X,X,X,X
TSIZJLO,X,X,X,O,O,X,O,X,O,X,X,X
TSIZJOL,X,X,X,O,O,X,O,X,O,X,X,X
TSIZOLJ,X,X,X,X,O,O,O,X,X,X,X,X
TSIZOJL,X,X,X,X,O,O,O,X,O,X,X,X
TSIOLJZ,X,X,X,O,O,X,X,X,X,X,X,X
TSIOLZJ,X,X,X,O,O,X,O,X,X,X,X,X
TSIOJLZ,X,X,X,O,O,X,X,X,O,X,X,X
TSIOJZL,X,X,X,O,O,O,X,X,O,X,X,X
TSIOZLJ,X,X,X,X,O,O,O,X,X,X,X,X
TSIOZJL,X,X,X,X,O,O,O,X,O,X,X,X
TSLIJZO,X,X,X,O,X,X,O,X,O,X,X,X
TSLIJOZ,X,X,X,O,X,X,O,X,O,X,X,X
TSLIZJO,X,X,X,O,O,O,O,X,O,X,X,X
TSLIZOJ,X,X,X,O,O,O,O,X,X,X,X,X
TSLIOJZ,X,X,X,O,O,O,X,X,X,X,X,X
TSLIOZJ,X,X,X,O,O,O,O,X,X,X,X,X
TSLJIZO,X,X,X,O,X,X,O,X,O,X,X,X
TSLJIOZ,X,X,X,O,X,X,O,X,O,X,X,X
TSLJZIO,X,X,X,O,X,O,O,X,O,X,X,X
TSLJZOI,X,X,X,O,X,O,O,X,O,X,X,X
TSLJOIZ,X,X,X,O,X,O,O,X,O,X,X,X
TSLJOZI,X,X,X,O,X,O,O,X,O,X,X,X
TSLZIJO,X,X,X,O,O,O,O,X,O,X,X,X
TSLZIOJ,X,X,X,O,O,O,O,X,X,X,X,X
TSLZJIO,X,X,X,O,O,O,O,X,O,X,X,X
TSLZJOI,X,X,X,O,O,O,O,X,O,X,X,X
TSLZOIJ,X,X,X,O,O,O,O,X,X,X,X,X
TSLZOJI,X,X,X,O,O,O,O,X,X,X,X,X
TSLOIJZ,X,X,X,O,O,O,X,X,X,X,X,X
TSLOIZJ,X,X,X,O,O,O,O,X,X,X,X,X
TSLOJIZ,X,X,X,O,O,O,O,X,X,X,X,X
TSLOJZI,X,X,X,O,O,O,O,X,X,X,X,X
TSLOZIJ,X,X,X,O,O,O,O,X,X,X,X,X
TSLOZJI,X,X,X,O,O,O,O,X,X,X,X,X
TSJILZO,X,X,X,O,X,X,O,X,O,X,X,X
TSJILOZ,X,X,X,O,X,X,O,X,O,X,X,X
TSJIZLO,X,X,X,O,O,X,O,X,O,X,X,X
TSJIZOL,X,X,X,O,O,X,O,X,O,X,X,X
TSJIOLZ,X,X,X,O,O,X,O,X,O,X,X,X
TSJIOZL,X,X,X,O,O,X,O,X,O,X,X,X
TSJLIZO,X,X,X,O,X,X,O,X,O,X,X,X
TSJLIOZ,X,X,X,O,X,X,O,X,O,X,X,X
TSJLZIO,X,X,X,O,X,X,O,X,O,X,X,X
TSJLZOI,X,X,X,O,X,X,O,X,O,X,X,X
TSJLOIZ,X,X,X,O,X,X,O,X,O,X,X,X
TSJLOZI,X,X,X,O,X,X,O,X,O,X,X,X
TSJZILO,X,X,X,O,O,X,O,X,O,X,X,X
TSJZIOL,X,X,X,O,O,X,O,X,O,X,X,X
TSJZLIO,X,X,X,O,O,X,O,X,O,X,X,X
TSJZLOI,X,X,X,O,O,X,O,X,O,X,X,X
TSJZOIL,X,X,X,O,O,X,O,X,O,X,X,X
TSJZOLI,X,X,X,O,O,X,O,X,O,X,X,X
TSJOILZ,X,X,X,O,O,X,O,X,O,X,X,X
TSJOIZL,X,X,X,O,O,X,O,X,O,X,X,X
TSJOLIZ,X,X,X,O,O,X,O,X,O,X,X,X
TSJOLZI,X,X,X,O,O,X,O,X,O,X,X,X
TSJOZIL,X,X,X,O,O,X,O,X,O,X,X,X
TSJOZLI,X,X,X,O,O,X,O,X,O,X,X,X
TSZILJO,X,X,X,O,O,O,O,X,O,X,X,X
TSZILOJ,X,X,X,O,O,O,O,X,X,X,X,X
TSZIJLO,X,X,X,O,O,X,O,X,O,X,X,X
TSZIJOL,X,X,X,O,O,X,O,X,O,X,X,X
TSZIOLJ,X,X,X,X,O,O,O,X,X,X,X,X
TSZIOJL,X,X,X,X,O,O,O,X,O,X,X,X
TSZLIJO,X,X,X,O,O,O,O,X,O,X,X,X
TSZLIOJ,X,X,X,O,O,O,O,X,X,X,X,X
TSZLJIO,X,X,X,O,O,O,O,X,O,X,X,X
TSZLJOI,X,X,X,O,O,O,O,X,O,X,X,X
TSZLOIJ,X,X,X,O,O,O,O,X,X,X,X,X
TSZLOJI,X,X,X,O,O,O,O,X,X,X,X,X
TSZJILO,X,X,X,O,O,X,O,X,O,X,X,X
TSZJIOL,X,X,X,O,O,X,O,X,O,X,X,X
TSZJLIO,X,X,X,O,O,X,O,X,O,X,X,X
TSZJLOI,X,X,X,O,O,X,O,X,O,X,X,X
TSZJOIL,X,X,X,O,O,X,O,X,O,X,X,X
TSZJOLI,X,X,X,O,O,X,O,X,O,X,X,X
TSZOILJ,X,X,X,X,O,O,O,X,X,X,X,X
TSZOIJL,X,X,X,X,O,O,O,X,O,X,X,X
TSZOLIJ,X,X,X,X,O,O,O,X,X,X,X,X
TSZOLJI,X,X,X,X,O,O,O,X,X,X,X,X
TSZOJIL,X,X,X,X,O,O,O,X,O,X,X,X
TSZOJLI,X,X,X,X,O,O,O,X,O,X,X,X
TSOILJZ,X,X,X,O,O,X,X,X,X,X,X,X
TSOILZJ,X,X,X,O,O,X,O,X,X,X,X,X
TSOIJLZ,X,X,X,O,O,X,X,X,O,X,X,X
TSOIJZL,X,X,X,O,O,O,X,X,O,X,X,X
TSOIZLJ,X,X,X,X,O,O,O,X,X,X,X,X
TSOIZJL,X,X,X,X,O,O,O,X,O,X,X,X
TSOLIJZ,X,X,X,O,O,O,X,X,X,X,X,X
TSOLIZJ,X,X,X,O,O,O,O,X,X,X,X,X
TSOLJIZ,X,X,X,O,O,O,O,X,X,X,X,X
TSOLJZI,X,X,X,O,O,O,O,X,X,X,X,X
TSOLZIJ,X,X,X,O,O,O,O,X,X,X,X,X
TSOLZJI,X,X,X,O,O,O,O,X,X,X,X,X
TSOJILZ,X,X,X,O,O,X,O,X,O,X,X,X
TSOJIZL,X,X,X,O,O,O,O,X,O,X,X,X
TSOJLIZ,X,X,X,O,O,O,O,X,O,X,X,X
TSOJLZI,X,X,X,O,O,O,O,X,O,X,X,X
TSOJZIL,X,X,X,O,O,O,O,X,O,X,X,X
TSOJZLI,X,X,X,O,O,O,O,X,O,X,X,X
TSOZILJ,X,X,X,X,O,O,O,X,X,X,X,X
TSOZIJL,X,X,X,X,O,O,O,X,O,X,X,X
TSOZLIJ,X,X,X,X,O,O,O,X,X,X,X,X
TSOZLJI,X,X,X,X,O,O,O,X,X,X,X,X
TSOZJIL,X,X,X,X,O,O,O,X,O,X,X,X
TSOZJLI,X,X,X,X,O,O,O,X,O,X,X,X
TZILJSO,X,X,X,O,X,O,O,X,X,O,X,O
TZILJOS,X,X,X,O,X,O,O,X,X,O,X,X
TZILSJO,X,X,X,O,X,O,O,X,O,O,X,O
TZILSOJ,X,X,X,O,X,O,O,X,X,O,O,O
TZILOJS,X,X,X,X,X,O,X,X,X,O,O,X
TZILOSJ,X,X,X,X,X,O,X,X,X,O,O,O
TZIJLSO,X,X,X,O,X,O,O,X,X,O,X,O
TZIJLOS,X,X,X,O,X,O,O,X,X,O,X,X
TZIJSLO,X,X,X,O,X,X,O,X,O,X,X,O
TZIJSOL,X,X,X,O,X,X,O,X,O,X,O,X
TZIJOLS,X,X,X,O,X,O,O,X,X,O,O,X
TZIJOSL,X,X,X,O,X,O,O,X,O,X,O,X
TZISLJO,X,X,X,O,O,O,O,X,O,O,X,O
TZISLOJ,X,X,X,O,O,O,O,X,X,O,O,O
TZISJLO,X,X,X,O,O,X,O,X,O,X,X,O
TZISJOL,X,X,X,O,O,X,O,X,O,X,O,X
TZISOLJ,X,X,X,X,O,O,O,X,X,O,O,O
TZISOJL,X,X,X,X,O,O,O,X,O,X,O,X
TZIOLJS,X,X,X,X,X,O,X,X,X,O,O,X
TZIOLSJ,X,X,X,X,O,O,X,X,X,O,O,O
TZIOJLS,X,X,X,X,X,O,O,X,X,O,O,X
TZIOJSL,X,X,X,X,X,O,O,X,X,X,O,X
TZIOSLJ,X,X,X,X,O,O,O,X,X,O,O,O
TZIOSJL,X,X,X,X,O,O,O,X,O,X,O,X
TZLIJSO,X,X,X,O,X,O,O,X,X,O,X,O
TZLIJOS,X,X,X,O,X,O,O,X,X,O,X,X
TZLISJO,X,X,X,O,X,O,O,X,O,O,X,O
TZLISOJ,X,X,X,O,X,O,O,X,X,O,O,O
TZLIOJS,X,X,X,X,X,O,X,X,X,O,O,X
TZLIOSJ,X,X,X,X,X,O,X,X,X,O,O,O
TZLJISO,X,X,X,O,X,O,O,X,X,O,X,O
TZLJIOS,X,X,X,O,X,O,O,X,X,O,X,X
TZLJSIO,X,X,X,O,X,O,O,X,O,O,X,O
TZLJSOI,X,X,X,O,O,O,O,X,O,O,X,O
TZLJOIS,X,X,X,O,X,O,O,X,X,O,X,X
TZLJOSI,X,X,X,O,O,O,O,X,O,O,X,X
TZLSIJO,X,X,X,O,X,O,O,X,O,O,X,O
TZLSIOJ,X,X,X,O,X,O,O,X,X,O,O,O
TZLSJIO,X,X,X,O,X,O,O,X,O,O,X,O
TZLSJOI,X,X,X,O,O,O,O,X,O,O,X,O
TZLSOIJ,X,X,X,O,O,O,O,X,X,O,O,O
TZLSOJI,X,X,X,O,O,O,O,X,X,O,O,O
TZLOIJS,X,X,X,X,X,O,X,X,X,O,O,X
TZLOISJ,X,X,X,X,X,O,X,X,X,O,O,O
TZLOJIS,X,X,X,X,X,O,X,X,X,O,O,X
TZLOJSI,X,X,X,X,O,O,X,X,X,O,O,X
TZLOSIJ,X,X,X,X,O,O,X,X,X,O,O,O
TZLOSJI,X,X,X,X,O,O,X,X,X,O,O,O
TZJILSO,X,X,X,O,X,O,O,X,X,O,X,O
TZJILOS,X,X,X,O,X,O,O,X,X,O,X,X
TZJISLO,X,X,X,O,X,X,O,X,O,X,X,O
TZJISOL,X,X,X,O,X,X,O,X,O,X,O,X
TZJIOLS,X,X,X,O,X,O,O,X,X,O,O,X
TZJIOSL,X,X,X,O,X,O,O,X,O,X,O,X
TZJLISO,X,X,X,O,X,O,O,X,X,O,X,O
TZJLIOS,X,X,X,O,X,O,O,X,X,O,X,X
TZJLSIO,X,X,X,O,X,O,O,X,O,O,X,O
TZJLSOI,X,X,X,O,O,O,O,X,O,O,X,O
TZJLOIS,X,X,X,O,X,O,O,X,X,O,X,X
TZJLOSI,X,X,X,O,O,O,O,X,O,O,X,X
TZJSILO,X,X,X,O,O,X,O,X,O,X,X,O
TZJSIOL,X,X,X,O,O,X,O,X,O,X,O,X
TZJSLIO,X,X,X,O,O,X,O,X,O,X,X,O
TZJSLOI,X,X,X,O,O,X,O,X,O,X,X,O
TZJSOIL,X,X,X,O,O,X,O,X,O,X,O,X
TZJSOLI,X,X,X,O,O,X,O,X,O,X,O,X
TZJOILS,X,X,X,O,X,O,O,X,X,O,O,X
TZJOISL,X,X,X,O,X,O,O,X,O,X,O,X
TZJOLIS,X,X,X,O,X,O,O,X,X,O,O,X
TZJOLSI,X,X,X,O,O,O,O,X,O,O,O,X
TZJOSIL,X,X,X,O,O,O,O,X,O,X,O,X
TZJOSLI,X,X,X,O,O,O,O,X,O,X,O,X
TZSILJO,X,X,X,O,O,O,O,X,O,O,X,O
TZSILOJ,X,X,X,O,O,O,O,X,X,O,O,O
TZSIJLO,X,X,X,O,O,X,O,X,O,X,X,O
TZSIJOL,X,X,X,O,O,X,O,X,O,X,O,X
TZSIOLJ,X,X,X,X,O,O,O,X,X,O,O,O
TZSIOJL,X,X,X,X,O,O,O,X,O,X,O,X
TZSLIJO,X,X,X,O,O,O,O,X,O,O,X,O
TZSLIOJ,X,X,X,O,O,O,O,X,X,O,O,O
TZSLJIO,X,X,X,O,O,O,O,X,O,O,X,O
TZSLJOI,X,X,X,O,O,O,O,X,O,O,X,O
TZSLOIJ,X,X,X,O,O,O,O,X,X,O,O,O
TZSLOJI,X,X,X,O,O,O,O,X,X,O,O,O
TZSJILO,X,X,X,O,O,X,O,X,O,X,X,O
TZSJIOL,X,X,X,O,O,X,O,X,O,X,O,X
TZSJLIO,X,X,X,O,O,X,O,X,O,X,X,O
TZSJLOI,X,X,X,O,O,X,O,X,O,X,X,O
TZSJOIL,X,X,X,O,O,X,O,X,O,X,O,X
TZSJOLI,X,X,X,O,O,X,O,X,O,X,O,X
TZSOILJ,X,X,X,X,O,O,O,X,X,O,O,O
TZSOIJL,X,X,X,X,O,O,O,X,O,X,O,X
TZSOLIJ,X,X,X,X,O,O,O,X,X,O,O,O
TZSOLJI,X,X,X,X,O,O,O,X,X,O,O,O
TZSOJIL,X,X,X,X,O,O,O,X,O,X,O,X
TZSOJLI,X,X,X,X,O,O,O,X,O,X,O,X
TZOILJS,X,X,X,X,X,O,X,X,X,O,O,X
TZOILSJ,X,X,X,X,O,O,X,X,X,O,O,O
TZOIJLS,X,X,X,X,X,O,O,X,X,O,O,X
TZOIJSL,X,X,X,X,X,O,O,X,X,X,O,X
TZOISLJ,X,X,X,X,O,O,O,X,X,O,O,O
TZOISJL,X,X,X,X,O,O,O,X,O,X,O,X
TZOLIJS,X,X,X,X,X,O,X,X,X,O,O,X
TZOLISJ,X,X,X,X,O,O,X,X,X,O,O,O
TZOLJIS,X,X,X,X,X,O,X,X,X,O,O,X
TZOLJSI,X,X,X,X,O,O,X,X,X,O,O,X
TZOLSIJ,X,X,X,X,O,O,X,X,X,O,O,O
TZOLSJI,X,X,X,X,O,O,X,X,X,O,O,O
TZOJILS,X,X,X,X,X,O,O,X,X,O,O,X
TZOJISL,X,X,X,X,X,O,O,X,O,X,O,X
TZOJLIS,X,X,X,X,X,O,O,X,X,O,O,X
TZOJLSI,X,X,X,X,O,O,O,X,O,O,O,X
TZOJSIL,X,X,X,X,O,O,O,X,O,X,O,X
TZOJSLI,X,X,X,X,O,O,O,X,O,X,O,X
TZOSILJ,X,X,X,X,O,O,O,X,X,O,O,O
TZOSIJL,X,X,X,X,O,O,O,X,O,X,O,X
TZOSLIJ,X,X,X,X,O,O,O,X,X,O,O,O
TZOSLJI,X,X,X,X,O,O,O,X,X,O,O,O
TZOSJIL,X,X,X,X,O,O,O,X,O,X,O,X
TZOSJLI,X,X,X,X,O,O,O,X,O,X,O,X
TOILJSZ,X,O,O,O,O,O,X,X,X,X,X,X
TOILJZS,X,O,O,O,X,O,X,X,X,X,X,X
TOILSJZ,X,O,O,O,O,O,X,X,X,X,X,X
TOILSZJ,X,O,O,O,O,O,X,X,X,X,X,X
TOILZJS,X,O,O,X,X,O,X,X,X,X,X,X
TOILZSJ,X,O,O,X,O,O,X,X,X,X,X,X
TOIJLSZ,X,O,O,O,O,O,X,X,X,X,X,X
TOIJLZS,X,O,O,O,X,O,X,X,X,X,X,X
TOIJSLZ,X,O,O,O,O,X,X,X,X,X,X,X
TOIJSZL,X,O,O,O,O,O,X,X,X,X,X,X
TOIJZLS,X,O,O,O,X,O,X,X,X,X,X,X
TOIJZSL,X,O,O,O,X,O,X,X,X,X,X,X
TOISLJZ,X,O,O,O,O,X,X,X,X,X,X,X
TOISLZJ,X,O,O,O,O,X,O,X,X,X,X,X
TOISJLZ,X,O,O,O,O,X,X,X,O,X,X,X
TOISJZL,X,O,O,O,O,O,X,X,O,X,X,X
TOISZLJ,X,O,O,X,O,O,O,X,X,X,X,X
TOISZJL,X,O,O,X,O,O,O,X,O,X,X,X
TOIZLJS,X,O,O,X,X,O,X,X,X,X,X,X
TOIZLSJ,X,O,O,X,O,O,X,X,X,X,X,X
TOIZJLS,X,O,O,X,X,O,O,X,X,X,X,X
TOIZJSL,X,O,O,X,X,O,O,X,X,X,X,X
TOIZSLJ,X,O,O,X,O,O,O,X,X,X,X,X
TOIZSJL,X,O,O,X,O,O,O,X,O,X,X,X
TOLIJSZ,X,O,O,O,O,O,X,X,X,X,X,X
TOLIJZS,X,O,O,O,X,O,X,X,X,X,X,X
TOLISJZ,X,O,O,O,O,O,X,X,X,X,X,X
TOLISZJ,X,O,O,O,O,O,X,X,X,X,X,X
TOLIZJS,X,O,O,X,X,O,X,X,X,X,X,X
TOLIZSJ,X,O,O,X,O,O,X,X,X,X,X,X
TOLJISZ,X,O,O,O,O,O,X,X,X,X,X,X
TOLJIZS,X,O,O,O,X,O,X,X,X,X,X,X
TOLJSIZ,X,O,X,O,O,O,X,X,X,X,X,X
TOLJSZI,X,O,X,O,O,O,X,X,X,X,X,X
TOLJZIS,X,O,O,O,X,O,X,X,X,X,X,X
TOLJZSI,X,O,O,O,O,O,X,X,X,X,X,X
TOLSIJZ,X,O,X,O,O,O,X,X,X,X,X,X
TOLSIZJ,X,O,X,O,O,O,X,X,X,X,X,X
TOLSJIZ,X,O,X,O,O,O,X,X,X,X,X,X
TOLSJZI,X,O,X,O,O,O,X,X,X,X,X,X
TOLSZIJ,X,O,X,O,O,O,X,X,X,O,X,X
TOLSZJI,X,O,X,O,O,O,X,X,X,O,X,X
TOLZIJS,X,O,X,X,X,O,X,X,X,O,O,X
TOLZISJ,X,O,X,X,O,O,X,X,X,O,O,X
TOLZJIS,X,O,X,X,X,O,X,X,X,O,O,X
TOLZJSI,X,O,X,X,O,O,X,X,X,O,O,X
TOLZSIJ,X,O,X,X,O,O,X,X,X,O,O,X
TOLZSJI,X,O,X,X,O,O,X,X,X,O,O,X
TOJILSZ,X,O,O,O,O,O,X,X,X,X,X,X
TOJILZS,X,O,O,O,X,O,X,X,X,X,X,X
TOJISLZ,X,O,O,O,O,X,O,X,O,X,X,X
TOJISZL,X,O,O,O,O,O,O,X,O,X,X,X
TOJIZLS,X,O,O,O,X,O,O,X,X,X,X,X
TOJIZSL,X,O,O,O,X,O,O,X,O,X,X,X
TOJLISZ,X,O,O,O,O,O,X,X,X,X,X,X
TOJLIZS,X,O,O,O,X,O,X,X,X,X,X,X
TOJLSIZ,X,O,X,O,O,O,O,X,O,X,X,X
TOJLSZI,X,O,X,O,O,O,O,X,O,X,X,X
TOJLZIS,X,O,O,O,X,O,O,X,X,X,X,X
TOJLZSI,X,O,O,O,O,O,O,X,O,X,X,X
TOJSILZ,X,X,X,O,O,X,O,X,O,X,X,X
TOJSIZL,X,X,X,O,O,O,O,X,O,X,X,X
TOJSLIZ,X,X,X,O,O,O,O,X,O,X,X,X
TOJSLZI,X,X,X,O,O,O,O,X,O,X,X,X
TOJSZIL,X,X,X,O,O,O,O,X,O,X,X,X
TOJSZLI,X,X,X,O,O,O,O,X,O,X,X,X
TOJZILS,X,O,O,O,X,O,O,X,X,X,X,X
TOJZISL,X,O,O,O,X,O,O,X,O,X,X,X
TOJZLIS,X,O,O,O,X,O,O,X,X,X,X,X
TOJZLSI,X,O,O,O,O,O,O,X,O,X,X,X
TOJZSIL,X,O,O,O,O,O,O,X,O,X,X,X
TOJZSLI,X,X,O,O,O,O,O,X,O,X,X,X
TOSILJZ,X,X,X,O,O,X,X,X,X,X,X,X
TOSILZJ,X,X,X,O,O,X,O,X,X,X,X,X
TOSIJLZ,X,X,X,O,O,X,X,X,O,X,X,X
TOSIJZL,X,X,X,O,O,O,X,X,O,X,X,X
TOSIZLJ,X,X,X,X,O,O,O,X,X,X,X,X
TOSIZJL,X,X,X,X,O,O,O,X,O,X,X,X
TOSLIJZ,X,X,X,O,O,O,X,X,X,X,X,X
TOSLIZJ,X,X,X,O,O,O,O,X,X,X,X,X
TOSLJIZ,X,X,X,O,O,O,O,X,X,X,X,X
TOSLJZI,X,X,X,O,O,O,O,X,X,X,X,X
TOSLZIJ,X,X,X,O,O,O,O,X,X,X,X,X
TOSLZJI,X,X,X,O,O,O,O,X,X,X,X,X
TOSJILZ,X,X,X,O,O,X,O,X,O,X,X,X
TOSJIZL,X,X,X,O,O,O,O,X,O,X,X,X
TOSJLIZ,X,X,X,O,O,O,O,X,O,X,X,X
TOSJLZI,X,X,X,O,O,O,O,X,O,X,X,X
TOSJZIL,X,X,X,O,O,O,O,X,O,X,X,X
TOSJZLI,X,X,X,O,O,O,O,X,O,X,X,X
TOSZILJ,X,X,X,X,O,O,O,X,X,X,X,X
TOSZIJL,X,X,X,X,O,O,O,X,O,X,X,X
TOSZLIJ,X,X,X,X,O,O,O,X,X,X,X,X
TOSZLJI,X,X,X,X,O,O,O,X,X,X,X,X
TOSZJIL,X,X,X,X,O,O,O,X,O,X,X,X
TOSZJLI,X,X,X,X,O,O,O,X,O,X,X,X
TOZILJS,X,O,X,X,X,O,X,X,X,O,O,X
TOZILSJ,X,O,X,X,O,O,X,X,X,O,O,X
TOZIJLS,X,O,X,X,X,O,O,X,X,O,O,X
TOZIJSL,X,O,X,X,X,O,O,X,X,X,O,X
TOZISLJ,X,O,X,X,O,O,O,X,X,O,O,X
TOZISJL,X,O,X,X,O,O,O,X,O,X,O,X
TOZLIJS,X,O,X,X,X,O,X,X,X,O,O,X
TOZLISJ,X,O,X,X,O,O,X,X,X,O,O,X
TOZLJIS,X,O,X,X,X,O,X,X,X,O,O,X
TOZLJSI,X,O,X,X,O,O,X,X,X,O,O,X
TOZLSIJ,X,O,X,X,O,O,X,X,X,O,O,X
TOZLSJI,X,O,X,X,O,O,X,X,X,O,O,X
TOZJILS,X,O,X,X,X,O,O,X,X,O,O,X
TOZJISL,X,O,X,X,X,O,O,X,O,X,O,X
TOZJLIS,X,O,X,X,X,O,O,X,X,O,O,X
TOZJLSI,X,O,X,X,O,O,O,X,O,O,O,X
TOZJSIL,X,O,X,X,O,O,O,X,O,X,O,X
TOZJSLI,X,X,X,X,O,O,O,X,O,X,O,X
TOZSILJ,X,O,X,X,O,O,O,X,X,O,O,X
TOZSIJL,X,O,X,X,O,O,O,X,O,X,O,X
TOZSLIJ,X,X,X,X,O,O,O,X,X,O,O,X
TOZSLJI,X,X,X,X,O,O,O,X,X,O,O,X
TOZSJIL,X,O,X,X,O,O,O,X,O,X,O,X
TOZSJLI,X,X,X,X,O,O,O,X,O,X,O,X
ITLJSZO,O,O,O,O,X,X,X,O,X,X,X,X
ITLJSOZ,O,O,O,O,X,X,X,O,X,X,X,X
ITLJZSO,O,O,O,O,X,X,X,O,X,X,X,X
ITLJZOS,O,O,O,O,X,X,X,O,X,X,X,X
ITLJOSZ,O,O,O,O,X,X,X,O,X,X,X,X
ITLJOZS,O,O,O,O,X,X,X,O,X,X,X,X
ITLSJZO,O,O,O,O,X,X,O,O,O,X,X,X
ITLSJOZ,O,O,O,O,X,X,X,O,O,X,X,X
ITLSZJO,O,O,X,O,O,O,O,O,O,X,X,X
ITLSZOJ,O,O,X,O,O,O,O,O,X,X,X,X
ITLSOJZ,O,O,O,O,O,O,X,O,X,X,X,X
ITLSOZJ,O,O,O,O,O,O,O,O,X,X,X,X
ITLZJSO,O,O,X,O,X,O,O,O,X,X,X,X
ITLZJOS,O,O,X,O,X,O,O,O,X,X,X,X
ITLZSJO,O,O,X,O,X,O,O,O,O,X,X,X
ITLZSOJ,O,O,X,O,X,O,O,O,X,X,X,X
ITLZOJS,O,O,X,X,X,O,X,X,X,X,X,X
ITLZOSJ,O,O,X,X,X,O,X,X,X,X,X,X
ITLOJSZ,O,O,O,O,O,O,X,O,X,X,X,X
ITLOJZS,O,O,O,O,X,O,X,O,X,X,X,X
ITLOSJZ,O,O,O,O,O,O,X,O,X,X,X,X
ITLOSZJ,O,O,O,O,O,O,X,O,X,X,X,X
ITLOZJS,O,O,O,X,X,O,X,X,X,X,X,X
ITLOZSJ,O,O,O,X,O,O,X,X,X,X,X,X
ITJLSZO,O,O,O,O,X,X,X,O,X,X,X,X
ITJLSOZ,O,O,O,O,X,X,X,O,X,X,X,X
ITJLZSO,O,O,O,O,X,X,X,O,X,X,X,X
ITJLZOS,O,O,O,O,X,X,X,O,X,X,X,X
ITJLOSZ,O,O,O,O,X,X,X,O,X,X,X,X
ITJLOZS,O,O,O,O,X,X,X,O,X,X,X,X
ITJSLZO,O,X,O,O,X,X,O,O,O,X,X,X
ITJSLOZ,O,X,O,O,X,X,O,O,O,X,X,X
ITJSZLO,O,X,O,O,O,X,O,X,O,X,X,X
ITJSZOL,O,X,O,O,O,X,O,X,O,X,X,X
ITJSOLZ,O,X,O,O,O,X,O,O,O,X,X,X
ITJSOZL,O,X,O,O,O,X,O,X,O,X,X,X
ITJZLSO,O,O,O,O,X,O,O,O,X,X,X,X
ITJZLOS,O,O,O,O,X,O,O,O,X,X,X,X
ITJZSLO,O,X,O,O,X,X,O,X,O,X,X,X
ITJZSOL,O,X,O,O,X,X,O,X,O,X,X,X
ITJZOLS,O,O,O,O,X,O,O,O,X,X,X,X
ITJZOSL,O,O,O,O,X,O,O,X,O,X,X,X
ITJOLSZ,O,O,O,O,O,X,X,O,X,X,X,X
ITJOLZS,O,O,O,O,X,O,X,O,X,X,X,X
ITJOSLZ,O,O,O,O,O,X,O,O,O,X,X,X
