sequence,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeC7Iv?hETcBmdB5jB0gBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hECcBmdB5jBXhBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEugBchBxdB6oBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEWhBxdB6oBXhBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEchBxdB6oB1qBuqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeWAJv?hETcBxdB6oB0gBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hExdB6oB3lBcmBuqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEmdB5jB3lBFmBCrB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeT8Iv?hExdBfmB6oBUlBGqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeT8Iv?hExdBGgB6oB8qBFqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JecBJv?hEmdB5jBqlBflBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeSBJv?hEmdB5jBzlBflBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeWAJv?hExdB6oB3lBcmBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jel7Iv?hExdB6oBuqBfqBcrB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEmdB5jBXhB1qBCrB
IZTSJLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLTJOS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLTSJO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLTSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLTOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJTOS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLJSTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJSOT,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IZLJOTS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLJOST,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IZLSTJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSTOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSJOT,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IZLSOTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IZLOTJS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLOJST,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IZLOSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IZJTLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJLTOS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJLSTO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJLSOT,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IZJLOTS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJLOST,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IZJSTLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTOL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IZJSLTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJSOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJOLST,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X
IZJOSTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJOSLT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZSTLJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJOL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IZSTOLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IZSLTJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IZSJLTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOJLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZOLTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZOLJST,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X
IZOLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X
IZOJTLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZOJLST,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X
IZOJSTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOJSLT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOSJTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSJLT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOTLJSZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOTLJZS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOTLSZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLZJS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOTJLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IOTJSZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJZLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IOTSLZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IOTSJZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTSZLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZLJS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTZJLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOLTJZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOLTSZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
IOLTZJS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOLJTZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X
IOLJSZT,O,O,X,O,X,O,O,X,O,X,X,O,X,X,X
IOLJZTS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,O,O,X,O,X,X,X,X,O,O,X,X,X
IOLSTJZ,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X
IOLSTZJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IOLSJTZ,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X
IOLSJZT,O,O,X,O,X,O,O,X,O,X,X,O,X,X,X
IOLSZTJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOLSZJT,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X
IOLZTJS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLZJTS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJST,O,X,O,O,X,O,X,X,X,X,O,O,X,X,X
IOLZSTJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOLZSJT,O,X,O,X,X,X,O,X,O,X,O,O,X,X,X
IOJTLSZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJTLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IOJTSZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IOJLTZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X
IOJLSZT,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
IOJLZTS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,O,X,O,X,X,X,X,O,O,X,X,X
IOJSTLZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O
IOJSTZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IOJSLTZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IOJSLZT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJSZTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJSZLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJZTLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOJZSTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJZSLT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOSTLJZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O
IOSTLZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O
IOSTJZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IOSTZLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
IOSLTJZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IOSLTZJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOSLJTZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IOSLJZT,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X
IOSLZTJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOSLZJT,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X
IOSJTLZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O
IOSJTZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
IOSJLTZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IOSJLZT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSJZTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSJZLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSZJTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZJLT,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOZTLJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOZLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOZJTLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOZJSTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZJSLT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZSJTL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSJLT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTIJSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIJSOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIJZSO,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X
LTIJZOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTIJOSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIJOZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTISJZO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTISJOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTISZJO,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTISZOJ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTISOJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTISOZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTIZJSO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTIZJOS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTIZSJO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTIZSOJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZOJS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTIZOSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIOJZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIOSZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTIOZJS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJISZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTJISOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJIZSO,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X
LTJIZOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJIOSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJIOZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJSIZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTJSIOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJSZIO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTJSZOI,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTJSOIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJSOZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJZISO,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X
LTJZIOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJZSIO,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
LTJZSOI,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
LTJZOIS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJZOSI,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJOISZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJOIZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJOSZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJOZIS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJOZSI,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSIJZO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTSIJOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSIZJO,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTSIZOJ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTSIOJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSIOZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTSJIZO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTSJIOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSJZIO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTSJZOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTSJOIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSJOZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSZIJO,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTSZIOJ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTSZJIO,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTSZJOI,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTSZOIJ,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTSZOJI,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTSOIJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSOIZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTSOJIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSOJZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTSOZJI,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTZIJSO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZIJOS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTZISJO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZISOJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTZIOSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZJISO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTZJIOS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTZJSIO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZJSOI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZJOIS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTZJOSI,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTZSIJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSJIO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSJOI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSOJI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOIJS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTZOISJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOJIS,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTZOJSI,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
LTZOSIJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOSJI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOIJZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOISJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOISZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTOIZJS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOIZSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOJISZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOJIZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOJSZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOJZIS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOJZSI,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOSIJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOSIZJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTOSJIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOSJZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOSZIJ,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
LTOSZJI,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
