sequence,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fBXcB8hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fB8gBzcB+?oBXmB,v115@9gA8IeA8IeC8BeB8CeG8AeB8Jea8IvhEfdB5gBzfBc?mB+oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhEceBqfB/hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhDzfBqlB3hB+?oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZrIvhE6fBTbB3hB+?oB0lB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeT0IvhE0aB5jBSlBO?mBXiB
LJZOTIS,O,X,O,O,X,O,X
LJZOTSI,O,X,O,O,X,O,X
LJZOITS,O,X,O,O,X,O,O
LJZOIST,O,X,O,O,O,O,O
LJZOSTI,O,X,O,O,X,O,X
LJZOSIT,O,X,O,O,O,O,O
LJOTISZ,O,X,X,O,O,X,X
LJOTIZS,O,X,X,O,X,X,X
LJOTSIZ,O,X,X,O,O,X,X
LJOTSZI,O,X,X,O,X,X,X
LJOTZIS,O,X,X,O,X,X,X
LJOTZSI,O,X,X,O,X,X,X
LJOITSZ,O,X,X,O,O,X,O
LJOITZS,O,X,X,O,X,X,O
LJOISTZ,O,O,X,O,O,X,O
LJOISZT,O,O,X,O,O,O,O
LJOIZTS,O,X,O,O,X,O,O
LJOIZST,O,X,O,O,O,O,O
LJOSTIZ,O,O,X,O,O,X,X
LJOSTZI,O,O,X,O,X,X,X
LJOSITZ,O,O,X,O,O,X,O
LJOSIZT,O,O,X,O,O,O,O
LJOSZTI,O,O,X,O,X,O,X
LJOSZIT,O,O,X,O,O,O,O
LJOZTIS,O,X,O,O,X,O,X
LJOZTSI,O,X,O,O,X,O,X
LJOZITS,O,X,O,O,X,O,O
LJOZIST,O,X,O,O,O,O,O
LJOZSTI,O,X,O,O,X,O,X
LJOZSIT,O,X,O,O,O,O,O
LSTIJZO,X,O,X,X,X,O,O
LSTIJOZ,X,O,X,X,O,X,O
LSTIZJO,X,O,X,X,X,O,O
LSTIZOJ,X,O,X,X,X,O,O
LSTIOJZ,X,O,X,X,O,X,O
LSTIOZJ,X,O,X,X,X,X,O
LSTJIZO,X,O,X,X,X,O,O
LSTJIOZ,X,O,X,X,O,X,O
LSTJZIO,X,O,X,X,X,O,O
LSTJZOI,X,O,X,X,X,O,X
LSTJOIZ,X,O,X,X,O,X,X
LSTJOZI,X,O,X,X,X,X,X
LSTZIJO,X,O,X,X,X,O,O
LSTZIOJ,X,O,X,X,X,O,O
LSTZJIO,X,O,X,X,X,O,O
LSTZJOI,X,O,X,X,X,O,X
LSTZOIJ,X,O,X,X,X,O,X
LSTZOJI,X,O,X,X,X,O,X
LSTOIJZ,X,O,X,X,O,X,X
LSTOIZJ,X,O,X,X,X,X,X
LSTOJIZ,X,O,X,X,O,X,X
LSTOJZI,X,O,X,X,X,X,X
LSTOZIJ,X,O,X,X,X,X,X
LSTOZJI,X,O,X,X,X,X,X
LSITJZO,X,O,X,X,X,O,O
LSITJOZ,X,O,X,X,O,X,O
LSITZJO,X,O,X,X,X,O,O
LSITZOJ,X,O,X,X,X,O,O
LSITOJZ,X,O,X,X,O,X,O
LSITOZJ,X,O,X,X,X,X,O
LSIJTZO,X,O,X,X,X,O,O
LSIJTOZ,X,O,X,X,O,X,O
LSIJZTO,X,O,X,X,X,O,O
LSIJZOT,O,O,X,O,O,O,O
LSIJOTZ,O,O,X,O,O,X,O
LSIJOZT,O,O,X,O,O,O,O
LSIZTJO,X,O,X,X,X,O,O
LSIZTOJ,X,O,X,X,X,O,O
LSIZJTO,X,O,X,X,X,O,O
LSIZJOT,O,O,X,X,O,O,O
LSIZOTJ,O,O,X,X,X,O,O
LSIZOJT,O,O,X,X,O,O,O
LSIOTJZ,O,O,X,O,O,X,O
LSIOTZJ,O,O,X,X,X,X,O
LSIOJTZ,O,O,X,O,O,X,O
LSIOJZT,O,O,X,O,O,O,O
LSIOZTJ,O,O,X,X,X,O,O
LSIOZJT,O,O,X,O,O,O,O
LSJTIZO,X,O,X,X,X,O,O
LSJTIOZ,X,O,X,X,O,X,O
LSJTZIO,X,O,X,X,X,O,O
LSJTZOI,X,O,X,X,X,O,X
LSJTOIZ,X,O,X,X,O,X,X
LSJTOZI,X,O,X,X,X,X,X
LSJITZO,X,O,X,X,X,O,O
LSJITOZ,X,O,X,X,O,X,O
LSJIZTO,X,O,X,X,X,O,O
LSJIZOT,O,O,X,O,O,O,O
LSJIOTZ,O,O,X,O,O,X,O
LSJIOZT,O,O,X,O,O,O,O
LSJZTIO,X,O,X,X,X,O,O
LSJZTOI,X,O,X,X,X,O,X
LSJZITO,X,O,X,X,X,O,O
LSJZIOT,O,O,X,O,O,O,O
LSJZOTI,O,O,X,O,X,O,X
LSJZOIT,O,O,X,O,O,O,O
LSJOTIZ,O,O,X,O,O,X,X
LSJOTZI,O,O,X,O,X,X,X
LSJOITZ,O,O,X,O,O,X,O
LSJOIZT,O,O,X,O,O,O,O
LSJOZTI,O,O,X,O,X,O,X
LSJOZIT,O,O,X,O,O,O,O
LSZTIJO,X,O,X,X,X,O,O
LSZTIOJ,X,O,X,X,X,O,O
LSZTJIO,X,O,X,X,X,O,O
LSZTJOI,X,O,X,X,X,O,X
LSZTOIJ,X,O,X,X,X,O,X
LSZTOJI,X,O,X,X,X,O,X
LSZITJO,X,O,X,X,X,O,O
LSZITOJ,X,O,X,X,X,O,O
LSZIJTO,X,O,X,X,X,O,O
LSZIJOT,O,O,X,X,O,O,O
LSZIOTJ,O,O,X,X,X,O,O
LSZIOJT,O,O,X,X,O,O,O
LSZJTIO,X,O,X,X,X,O,O
LSZJTOI,X,O,X,X,X,O,X
LSZJITO,X,O,X,X,X,O,O
LSZJIOT,O,O,X,X,O,O,O
LSZJOTI,O,O,X,X,X,O,X
LSZJOIT,O,O,X,X,O,O,O
LSZOTIJ,O,O,X,X,X,O,X
LSZOTJI,O,O,X,X,X,O,X
LSZOITJ,O,O,X,X,X,O,O
LSZOIJT,O,O,X,X,O,O,O
LSZOJTI,O,O,X,X,X,O,X
LSZOJIT,O,O,X,X,O,O,O
LSOTIJZ,O,O,X,O,O,X,X
LSOTIZJ,O,O,X,X,X,X,X
LSOTJIZ,O,O,X,O,O,X,X
LSOTJZI,O,O,X,O,X,X,X
LSOTZIJ,O,O,X,X,X,X,X
LSOTZJI,O,O,X,X,X,X,X
LSOITJZ,O,O,X,O,O,X,O
LSOITZJ,O,O,X,X,X,X,O
LSOIJTZ,O,O,X,O,O,X,O
LSOIJZT,O,O,X,O,O,O,O
LSOIZTJ,O,O,X,X,X,O,O
LSOIZJT,O,O,X,O,O,O,O
LSOJTIZ,O,O,X,O,O,X,X
LSOJTZI,O,O,X,O,X,X,X
LSOJITZ,O,O,X,O,O,X,O
LSOJIZT,O,O,X,O,O,O,O
LSOJZTI,O,O,X,O,X,O,X
LSOJZIT,O,O,X,O,O,O,O
LSOZTIJ,O,O,X,X,X,O,X
LSOZTJI,O,O,X,X,X,O,X
LSOZITJ,O,O,X,X,X,O,O
LSOZIJT,O,O,X,O,O,O,O
LSOZJTI,O,O,X,O,X,O,X
LSOZJIT,O,O,X,O,O,O,O
LZTIJSO,X,X,X,X,X,O,O
LZTIJOS,O,X,X,X,X,O,O
LZTISJO,X,X,X,X,X,O,O
LZTISOJ,X,X,X,X,X,O,O
LZTIOJS,O,X,X,X,X,O,O
LZTIOSJ,O,X,X,X,X,O,O
LZTJISO,X,X,X,X,X,O,O
LZTJIOS,O,X,X,X,X,O,O
LZTJSIO,X,X,X,X,X,O,O
LZTJSOI,X,X,O,X,X,O,X
LZTJOIS,O,X,O,X,X,O,X
LZTJOSI,O,X,O,X,X,O,X
LZTSIJO,X,X,X,X,X,O,O
LZTSIOJ,X,X,X,X,X,O,O
LZTSJIO,X,X,X,X,X,O,O
LZTSJOI,X,X,O,X,X,O,X
LZTSOIJ,X,X,O,X,X,O,X
LZTSOJI,X,X,O,X,X,O,X
LZTOIJS,O,X,O,X,X,O,X
LZTOISJ,O,X,O,X,X,O,X
LZTOJIS,O,X,O,X,X,O,X
LZTOJSI,O,X,O,X,X,O,X
LZTOSIJ,O,X,O,X,X,O,X
LZTOSJI,O,X,O,X,X,O,X
LZITJSO,X,X,O,X,X,O,O
LZITJOS,O,X,O,X,X,O,O
LZITSJO,X,X,O,X,X,O,O
LZITSOJ,X,X,O,X,X,O,O
LZITOJS,O,X,O,X,X,O,O
LZITOSJ,O,X,O,X,X,O,O
LZIJTSO,X,X,O,X,X,O,O
LZIJTOS,O,X,O,O,X,O,O
LZIJSTO,X,O,O,X,X,O,O
LZIJSOT,O,O,O,O,O,O,O
LZIJOTS,O,X,O,O,X,O,O
LZIJOST,O,X,O,O,O,O,O
LZISTJO,X,O,O,X,X,O,O
LZISTOJ,X,O,O,X,X,O,O
LZISJTO,X,O,O,X,X,O,O
LZISJOT,O,O,O,X,O,O,O
LZISOTJ,O,O,O,X,X,O,O
LZISOJT,O,O,O,X,O,O,O
LZIOTJS,O,X,O,X,X,O,O
LZIOTSJ,O,X,O,X,X,O,O
LZIOJTS,O,X,O,O,X,O,O
LZIOJST,O,X,O,O,O,O,O
LZIOSTJ,O,X,O,X,X,O,O
LZIOSJT,O,X,O,O,O,O,O
LZJTISO,X,X,X,X,X,O,O
LZJTIOS,O,X,X,O,X,O,O
LZJTSIO,X,X,X,X,X,O,O
LZJTSOI,X,X,O,X,X,O,X
LZJTOIS,O,X,O,O,X,O,X
LZJTOSI,O,X,O,O,X,O,X
LZJITSO,X,X,O,X,X,O,O
LZJITOS,O,X,O,O,X,O,O
LZJISTO,X,O,O,X,X,O,O
LZJISOT,O,O,O,O,O,O,O
LZJIOTS,O,X,O,O,X,O,O
LZJIOST,O,X,O,O,O,O,O
LZJSTIO,X,O,X,X,X,O,O
LZJSTOI,X,O,O,X,X,O,X
LZJSITO,X,O,O,X,X,O,O
LZJSIOT,O,O,O,O,O,O,O
LZJSOTI,O,O,O,O,X,O,X
LZJSOIT,O,O,O,O,O,O,O
LZJOTIS,O,X,O,O,X,O,X
LZJOTSI,O,X,O,O,X,O,X
LZJOITS,O,X,O,O,X,O,O
LZJOIST,O,X,O,O,O,O,O
LZJOSTI,O,X,O,O,X,O,X
LZJOSIT,O,X,O,O,O,O,O
LZSTIJO,X,O,X,X,X,O,O
LZSTIOJ,X,O,X,X,X,O,O
LZSTJIO,X,O,X,X,X,O,O
LZSTJOI,X,O,O,X,X,O,X
LZSTOIJ,X,O,O,X,X,O,X
LZSTOJI,X,O,O,X,X,O,X
LZSITJO,X,O,O,X,X,O,O
LZSITOJ,X,O,O,X,X,O,O
LZSIJTO,X,O,O,X,X,O,O
LZSIJOT,O,O,O,X,O,O,O
LZSIOTJ,O,O,O,X,X,O,O
LZSIOJT,O,O,O,X,O,O,O
LZSJTIO,X,O,X,X,X,O,O
LZSJTOI,X,O,O,X,X,O,X
LZSJITO,X,O,O,X,X,O,O
LZSJIOT,O,O,O,X,O,O,O
LZSJOTI,O,O,O,X,X,O,X
LZSJOIT,O,O,O,X,O,O,O
LZSOTIJ,O,O,O,X,X,O,X
LZSOTJI,O,O,O,X,X,O,X
LZSOITJ,O,O,O,X,X,O,O
LZSOIJT,O,O,O,X,O,O,O
LZSOJTI,O,O,O,X,X,O,X
LZSOJIT,O,O,O,X,O,O,O
LZOTIJS,O,X,O,X,X,O,X
LZOTISJ,O,X,O,X,X,O,X
LZOTJIS,O,X,O,X,X,O,X
LZOTJSI,O,X,O,X,X,O,X
LZOTSIJ,O,X,O,X,X,O,X
LZOTSJI,O,X,O,X,X,O,X
LZOITJS,O,X,O,X,X,O,O
LZOITSJ,O,X,O,X,X,O,O
LZOIJTS,O,X,O,O,X,O,O
LZOIJST,O,X,O,O,O,O,O
LZOISTJ,O,X,O,X,X,O,O
LZOISJT,O,X,O,O,O,O,O
LZOJTIS,O,X,O,O,X,O,X
LZOJTSI,O,X,O,O,X,O,X
LZOJITS,O,X,O,O,X,O,O
LZOJIST,O,X,O,O,O,O,O
LZOJSTI,O,X,O,O,X,O,X
LZOJSIT,O,X,O,O,O,O,O
LZOSTIJ,O,X,O,X,X,O,X
LZOSTJI,O,X,O,X,X,O,X
LZOSITJ,O,X,O,X,X,O,O
LZOSIJT,O,X,O,O,O,O,O
LZOSJTI,O,X,O,O,X,O,X
LZOSJIT,O,X,O,O,O,O,O
LOTIJSZ,O,X,X,O,O,X,X
LOTIJZS,O,X,X,O,X,X,X
LOTISJZ,O,X,X,O,O,X,X
LOTISZJ,O,X,X,X,X,X,X
LOTIZJS,O,X,X,X,X,X,X
LOTIZSJ,O,X,X,X,X,X,X
LOTJISZ,O,X,X,O,O,X,X
LOTJIZS,O,X,X,O,X,X,X
LOTJSIZ,O,X,X,O,O,X,X
LOTJSZI,O,X,X,O,X,X,X
LOTJZIS,O,X,X,O,X,X,X
LOTJZSI,O,X,X,O,X,X,X
LOTSIJZ,O,X,X,O,O,X,X
LOTSIZJ,O,X,X,X,X,X,X
LOTSJIZ,O,X,X,O,O,X,X
LOTSJZI,O,X,X,O,X,X,X
LOTSZIJ,O,X,X,X,X,X,X
LOTSZJI,O,X,X,X,X,X,X
LOTZIJS,O,X,X,X,X,X,X
LOTZISJ,O,X,X,X,X,X,X
LOTZJIS,O,X,X,X,X,X,X
LOTZJSI,O,X,X,X,X,X,X
LOTZSIJ,O,X,X,X,X,X,X
LOTZSJI,O,X,X,X,X,X,X
LOITJSZ,O,X,X,O,O,X,O
LOITJZS,O,X,X,O,X,X,O
LOITSJZ,O,X,X,O,O,X,O
LOITSZJ,O,X,X,X,X,X,O
LOITZJS,O,X,X,X,X,X,O
LOITZSJ,O,X,X,X,X,X,O
LOIJTSZ,O,X,X,O,O,X,O
LOIJTZS,O,X,X,O,X,X,O
LOIJSTZ,O,O,X,O,O,X,O
LOIJSZT,O,O,X,O,O,O,O
LOIJZTS,O,X,O,O,X,O,O
LOIJZST,O,X,O,O,O,O,O
LOISTJZ,O,O,X,O,O,X,O
LOISTZJ,O,O,X,X,X,X,O
LOISJTZ,O,O,X,O,O,X,O
LOISJZT,O,O,X,O,O,O,O
LOISZTJ,O,O,X,X,X,O,O
LOISZJT,O,O,X,O,O,O,O
LOIZTJS,O,X,O,X,X,O,O
LOIZTSJ,O,X,O,X,X,O,O
LOIZJTS,O,X,O,O,X,O,O
LOIZJST,O,X,O,O,O,O,O
LOIZSTJ,O,X,O,X,X,O,O
LOIZSJT,O,X,O,O,O,O,O
LOJTISZ,O,X,X,O,O,X,X
LOJTIZS,O,X,X,O,X,X,X
LOJTSIZ,O,X,X,O,O,X,X
LOJTSZI,O,X,X,O,X,X,X
LOJTZIS,O,X,X,O,X,X,X
LOJTZSI,O,X,X,O,X,X,X
LOJITSZ,O,X,X,O,O,X,O
LOJITZS,O,X,X,O,X,X,O
LOJISTZ,O,O,X,O,O,X,O
LOJISZT,O,O,X,O,O,O,O
LOJIZTS,O,X,O,O,X,O,O
LOJIZST,O,X,O,O,O,O,O
LOJSTIZ,O,O,X,O,O,X,X
LOJSTZI,O,O,X,O,X,X,X
LOJSITZ,O,O,X,O,O,X,O
LOJSIZT,O,O,X,O,O,O,O
LOJSZTI,O,O,X,O,X,O,X
LOJSZIT,O,O,X,O,O,O,O
LOJZTIS,O,X,O,O,X,O,X
LOJZTSI,O,X,O,O,X,O,X
LOJZITS,O,X,O,O,X,O,O
LOJZIST,O,X,O,O,O,O,O
LOJZSTI,O,X,O,O,X,O,X
LOJZSIT,O,X,O,O,O,O,O
LOSTIJZ,O,O,X,O,O,X,X
LOSTIZJ,O,O,X,X,X,X,X
LOSTJIZ,O,O,X,O,O,X,X
LOSTJZI,O,O,X,O,X,X,X
LOSTZIJ,O,O,X,X,X,X,X
LOSTZJI,O,O,X,X,X,X,X
LOSITJZ,O,O,X,O,O,X,O
LOSITZJ,O,O,X,X,X,X,O
LOSIJTZ,O,O,X,O,O,X,O
LOSIJZT,O,O,X,O,O,O,O
LOSIZTJ,O,O,X,X,X,O,O
LOSIZJT,O,O,X,O,O,O,O
LOSJTIZ,O,O,X,O,O,X,X
LOSJTZI,O,O,X,O,X,X,X
LOSJITZ,O,O,X,O,O,X,O
LOSJIZT,O,O,X,O,O,O,O
LOSJZTI,O,O,X,O,X,O,X
LOSJZIT,O,O,X,O,O,O,O
LOSZTIJ,O,O,X,X,X,O,X
LOSZTJI,O,O,X,X,X,O,X
LOSZITJ,O,O,X,X,X,O,O
LOSZIJT,O,O,X,O,O,O,O
LOSZJTI,O,O,X,O,X,O,X
LOSZJIT,O,O,X,O,O,O,O
LOZTIJS,O,X,O,X,X,O,X
LOZTISJ,O,X,O,X,X,O,X
LOZTJIS,O,X,O,X,X,O,X
LOZTJSI,O,X,O,X,X,O,X
LOZTSIJ,O,X,O,X,X,O,X
LOZTSJI,O,X,O,X,X,O,X
LOZITJS,O,X,O,X,X,O,O
LOZITSJ,O,X,O,X,X,O,O
LOZIJTS,O,X,O,O,X,O,O
LOZIJST,O,X,O,O,O,O,O
LOZISTJ,O,X,O,X,X,O,O
LOZISJT,O,X,O,O,O,O,O
LOZJTIS,O,X,O,O,X,O,X
LOZJTSI,O,X,O,O,X,O,X
LOZJITS,O,X,O,O,X,O,O
LOZJIST,O,X,O,O,O,O,O
LOZJSTI,O,X,O,O,X,O,X
LOZJSIT,O,X,O,O,O,O,O
LOZSTIJ,O,X,O,X,X,O,X
LOZSTJI,O,X,O,X,X,O,X
LOZSITJ,O,X,O,X,X,O,O
LOZSIJT,O,X,O,O,O,O,O
LOZSJTI,O,X,O,O,X,O,X
LOZSJIT,O,X,O,O,O,O,O
JTILSZO,X,O,X,X,X,X,O
JTILSOZ,X,O,X,X,O,X,O
JTILZSO,X,X,X,X,X,X,O
JTILZOS,O,X,X,O,X,X,O
JTILOSZ,O,X,X,O,O,X,O
JTILOZS,O,X,X,O,X,X,O
JTISLZO,X,O,X,X,X,X,O
JTISLOZ,X,O,X,X,O,X,O
JTISZLO,X,O,X,X,X,X,O
JTISZOL,X,O,X,X,X,X,O
JTISOLZ,X,O,X,X,X,X,O
JTISOZL,X,O,X,X,X,X,O
JTIZLSO,X,X,O,X,X,X,O
JTIZLOS,O,X,O,O,X,X,O
JTIZSLO,X,X,O,X,X,X,O
JTIZSOL,X,X,O,X,X,X,O
JTIZOLS,O,X,O,O,X,X,O
JTIZOSL,O,X,O,O,X,X,O
JTIOLSZ,O,X,X,O,O,X,O
JTIOLZS,O,X,X,O,X,X,O
JTIOSLZ,O,X,X,O,X,X,O
JTIOSZL,O,X,X,O,X,X,O
JTIOZLS,O,X,O,O,X,X,O
JTIOZSL,O,X,O,O,X,X,O
JTLISZO,X,O,X,X,X,O,O
JTLISOZ,X,O,X,X,O,X,O
JTLIZSO,X,X,X,X,X,O,O
JTLIZOS,O,X,X,O,X,O,O
JTLIOSZ,O,X,X,O,O,X,O
JTLIOZS,O,X,X,O,X,X,O
JTLSIZO,X,O,X,X,X,O,O
JTLSIOZ,X,O,X,X,O,X,O
JTLSZIO,X,O,X,X,X,O,O
JTLSZOI,X,O,X,X,X,O,X
JTLSOIZ,X,O,X,X,O,X,X
JTLSOZI,X,O,X,X,X,X,X
JTLZISO,X,X,X,X,X,O,O
JTLZIOS,O,X,X,O,X,O,O
JTLZSIO,X,X,X,X,X,O,O
JTLZSOI,X,X,X,X,X,O,X
JTLZOIS,O,X,X,O,X,O,X
JTLZOSI,O,X,X,O,X,O,X
JTLOISZ,O,X,X,O,O,X,X
JTLOIZS,O,X,X,O,X,X,X
JTLOSIZ,O,X,X,O,O,X,X
JTLOSZI,O,X,X,O,X,X,X
JTLOZIS,O,X,X,O,X,X,X
JTLOZSI,O,X,X,O,X,X,X
JTSILZO,X,O,X,X,X,X,O
JTSILOZ,X,O,X,X,O,X,O
JTSIZLO,X,O,X,X,X,X,O
JTSIZOL,X,O,X,X,X,X,O
JTSIOLZ,X,O,X,X,X,X,O
JTSIOZL,X,O,X,X,X,X,O
JTSLIZO,X,O,X,X,X,O,O
JTSLIOZ,X,O,X,X,O,X,O
JTSLZIO,X,O,X,X,X,O,O
JTSLZOI,X,O,X,X,X,O,X
JTSLOIZ,X,O,X,X,O,X,X
JTSLOZI,X,O,X,X,X,X,X
JTSZILO,X,O,X,X,X,X,O
JTSZIOL,X,O,X,X,X,X,O
JTSZLIO,X,O,X,X,X,O,O
JTSZLOI,X,O,X,X,X,O,X
JTSZOIL,X,O,X,X,X,X,X
JTSZOLI,X,O,X,X,X,O,X
JTSOILZ,X,O,X,X,X,X,X
JTSOIZL,X,O,X,X,X,X,X
JTSOLIZ,X,O,X,X,X,X,X
JTSOLZI,X,O,X,X,X,X,X
JTSOZIL,X,O,X,X,X,X,X
JTSOZLI,X,O,X,X,X,X,X
JTZILSO,X,X,O,X,X,X,O
JTZILOS,O,X,O,O,X,X,O
JTZISLO,X,X,O,X,X,X,O
JTZISOL,X,X,O,X,X,X,O
JTZIOLS,O,X,O,O,X,X,O
JTZIOSL,O,X,O,O,X,X,O
JTZLISO,X,X,X,X,X,O,O
JTZLIOS,O,X,X,O,X,O,O
JTZLSIO,X,X,X,X,X,O,O
JTZLSOI,X,X,O,X,X,O,X
JTZLOIS,O,X,O,O,X,O,X
JTZLOSI,O,X,O,O,X,O,X
JTZSILO,X,X,O,X,X,X,O
JTZSIOL,X,X,O,X,X,X,O
JTZSLIO,X,X,X,X,X,O,O
JTZSLOI,X,X,O,X,X,O,X
JTZSOIL,X,X,O,X,X,X,X
JTZSOLI,X,X,O,X,X,O,X
JTZOILS,O,X,O,O,X,X,X
JTZOISL,O,X,O,O,X,X,X
JTZOLIS,O,X,O,O,X,O,X
JTZOLSI,O,X,O,O,X,O,X
JTZOSIL,O,X,O,O,X,X,X
JTZOSLI,O,X,O,O,X,O,X
JTOILSZ,O,X,X,O,O,X,X
JTOILZS,O,X,X,O,X,X,X
JTOISLZ,O,X,X,O,X,X,X
JTOISZL,O,X,X,O,X,X,X
JTOIZLS,O,X,O,O,X,X,X
JTOIZSL,O,X,O,O,X,X,X
JTOLISZ,O,X,X,O,O,X,X
JTOLIZS,O,X,X,O,X,X,X
JTOLSIZ,O,X,X,O,O,X,X
JTOLSZI,O,X,X,O,X,X,X
JTOLZIS,O,X,X,O,X,X,X
JTOLZSI,O,X,X,O,X,X,X
JTOSILZ,O,X,X,O,X,X,X
JTOSIZL,O,X,X,O,X,X,X
JTOSLIZ,O,X,X,O,X,X,X
JTOSLZI,O,X,X,O,X,X,X
JTOSZIL,O,X,X,O,X,X,X
JTOSZLI,O,X,X,O,X,X,X
JTOZILS,O,X,O,O,X,X,X
JTOZISL,O,X,O,O,X,X,X
JTOZLIS,O,X,O,O,X,X,X
JTOZLSI,O,X,O,O,X,X,X
JTOZSIL,O,X,O,O,X,X,X
JTOZSLI,O,X,O,O,X,X,X
JITLSZO,X,O,X,X,X,X,O
JITLSOZ,X,O,X,X,O,X,O
JITLZSO,X,X,X,X,X,X,O
JITLZOS,O,X,X,O,X,X,O
JITLOSZ,O,X,X,O,O,X,O
JITLOZS,O,X,X,O,X,X,O
JITSLZO,X,O,X,X,X,X,O
JITSLOZ,X,O,X,X,O,X,O
JITSZLO,X,O,X,X,X,X,O
JITSZOL,X,O,X,X,X,X,O
JITSOLZ,X,O,X,X,X,X,O
JITSOZL,X,O,X,X,X,X,O
JITZLSO,X,X,O,X,X,X,O
JITZLOS,O,X,O,O,X,X,O
JITZSLO,X,X,O,X,X,X,O
JITZSOL,X,X,O,X,X,X,O
JITZOLS,O,X,O,O,X,X,O
JITZOSL,O,X,O,O,X,X,O
JITOLSZ,O,X,X,O,O,X,O
JITOLZS,O,X,X,O,X,X,O
JITOSLZ,O,X,X,O,X,X,O
JITOSZL,O,X,X,O,X,X,O
JITOZLS,O,X,O,O,X,X,O
JITOZSL,O,X,O,O,X,X,O
JILTSZO,X,O,X,X,X,O,O
JILTSOZ,X,O,X,X,O,X,O
JILTZSO,X,X,X,X,X,O,O
JILTZOS,O,X,X,O,X,O,O
JILTOSZ,O,X,X,O,O,X,O
JILTOZS,O,X,X,O,X,X,O
JILSTZO,X,O,X,X,X,O,O
JILSTOZ,X,O,X,X,O,X,O
JILSZTO,X,O,X,X,X,O,O
JILSZOT,O,O,X,O,O,O,O
JILSOTZ,O,O,X,O,O,X,O
JILSOZT,O,O,X,O,O,O,O
JILZTSO,X,X,O,X,X,O,O
JILZTOS,O,X,O,O,X,O,O
JILZSTO,X,O,O,X,X,O,O
JILZSOT,O,O,O,O,O,O,O
JILZOTS,O,X,O,O,X,O,O
JILZOST,O,X,O,O,O,O,O
JILOTSZ,O,X,X,O,O,X,O
JILOTZS,O,X,X,O,X,X,O
JILOSTZ,O,O,X,O,O,X,O
JILOSZT,O,O,X,O,O,O,O
JILOZTS,O,X,O,O,X,O,O
JILOZST,O,X,O,O,O,O,O
JISTLZO,X,O,X,X,X,X,O
JISTLOZ,X,O,X,X,O,X,O
JISTZLO,X,O,X,X,X,X,O
JISTZOL,X,O,X,X,X,X,O
JISTOLZ,X,O,X,X,X,X,O
JISTOZL,X,O,X,X,X,X,O
JISLTZO,X,O,X,X,X,O,O
JISLTOZ,X,O,X,X,O,X,O
JISLZTO,X,O,X,X,X,O,O
JISLZOT,O,O,X,O,O,O,O
JISLOTZ,O,O,X,O,O,X,O
JISLOZT,O,O,X,O,O,O,O
JISZTLO,X,O,O,X,X,X,O
JISZTOL,X,O,O,X,X,X,O
JISZLTO,X,O,O,X,X,O,O
JISZLOT,O,O,O,O,O,O,O
JISZOTL,O,O,O,O,X,X,O
JISZOLT,O,O,O,O,X,O,O
JISOTLZ,O,O,X,O,X,X,O
JISOTZL,O,O,X,O,X,X,O
JISOLTZ,O,O,X,O,O,X,O
JISOLZT,O,O,X,O,O,X,O
JISOZTL,O,O,O,O,X,X,O
JISOZLT,O,O,O,O,X,X,O
JIZTLSO,X,X,O,X,X,X,O
JIZTLOS,O,X,O,O,X,X,O
JIZTSLO,X,X,O,X,X,X,O
JIZTSOL,X,X,O,X,X,X,O
JIZTOLS,O,X,O,O,X,X,O
JIZTOSL,O,X,O,O,X,X,O
JIZLTSO,X,X,O,X,X,O,O
JIZLTOS,O,X,O,O,X,O,O
JIZLSTO,X,O,O,X,X,O,O
JIZLSOT,O,O,O,O,O,O,O
JIZLOTS,O,X,O,O,X,O,O
JIZLOST,O,X,O,O,O,O,O
JIZSTLO,X,O,O,X,X,X,O
JIZSTOL,X,O,O,X,X,X,O
JIZSLTO,X,O,O,X,X,O,O
JIZSLOT,O,O,O,O,O,O,O
JIZSOTL,O,O,O,O,X,X,O
JIZSOLT,O,O,O,O,X,O,O
JIZOTLS,O,X,O,O,X,X,O
JIZOTSL,O,X,O,O,X,X,O
JIZOLTS,O,X,O,O,X,O,O
JIZOLST,O,X,O,O,O,O,O
JIZOSTL,O,X,O,O,X,X,O
JIZOSLT,O,X,O,O,X,O,O
JIOTLSZ,O,X,X,O,O,X,O
JIOTLZS,O,X,X,O,X,X,O
JIOTSLZ,O,X,X,O,X,X,O
JIOTSZL,O,X,X,O,X,X,O
JIOTZLS,O,X,O,O,X,X,O
JIOTZSL,O,X,O,O,X,X,O
JIOLTSZ,O,X,X,O,O,X,O
JIOLTZS,O,X,X,O,X,X,O
JIOLSTZ,O,O,X,O,O,X,O
JIOLSZT,O,O,X,O,O,X,O
JIOLZTS,O,X,O,O,X,X,O
JIOLZST,O,X,O,O,O,X,O
JIOSTLZ,O,O,X,O,X,X,O
JIOSTZL,O,O,X,O,X,X,O
JIOSLTZ,O,O,X,O,O,X,O
