sequence,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fBXcB8hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fB8gBzcB+?oBXmB,v115@9gA8IeA8IeC8BeB8CeG8AeB8Jea8IvhEfdB5gBzfBc?mB+oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhEceBqfB/hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhDzfBqlB3hB+?oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZrIvhE6fBTbB3hB+?oB0lB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeT0IvhE0aB5jBSlBO?mBXiB
TJOSILZ,O,X,X,O,X,X,X
TJOSIZL,O,X,X,O,X,X,X
TJOSLIZ,O,X,X,O,X,X,X
TJOSLZI,O,X,X,O,X,X,X
TJOSZIL,O,X,X,O,X,X,X
TJOSZLI,O,X,X,O,X,X,X
TJOZILS,O,X,O,O,X,X,X
TJOZISL,O,X,O,O,X,X,X
TJOZLIS,O,X,O,O,X,X,X
TJOZLSI,O,X,O,O,X,X,X
TJOZSIL,O,X,O,O,X,X,X
TJOZSLI,O,X,O,O,X,X,X
TSILJZO,X,O,X,X,X,X,O
TSILJOZ,X,O,X,X,O,X,O
TSILZJO,X,O,X,X,X,X,O
TSILZOJ,X,O,X,X,X,X,O
TSILOJZ,X,O,X,X,O,X,O
TSILOZJ,X,O,X,X,X,X,O
TSIJLZO,X,O,X,X,X,X,O
TSIJLOZ,X,O,X,X,O,X,O
TSIJZLO,X,O,X,X,X,X,O
TSIJZOL,X,O,X,X,X,X,O
TSIJOLZ,X,O,X,X,X,X,O
TSIJOZL,X,O,X,X,X,X,O
TSIZLJO,X,O,X,X,X,X,O
TSIZLOJ,X,O,X,X,X,X,O
TSIZJLO,X,O,X,X,X,X,O
TSIZJOL,X,O,X,X,X,X,O
TSIZOLJ,X,O,X,X,X,X,O
TSIZOJL,X,O,X,X,X,X,O
TSIOLJZ,X,O,X,X,X,X,O
TSIOLZJ,X,O,X,X,X,X,O
TSIOJLZ,X,O,X,X,X,X,O
TSIOJZL,X,O,X,X,X,X,O
TSIOZLJ,X,O,X,X,X,X,O
TSIOZJL,X,O,X,X,X,X,O
TSLIJZO,X,O,X,X,X,O,O
TSLIJOZ,X,O,X,X,O,X,O
TSLIZJO,X,O,X,X,X,O,O
TSLIZOJ,X,O,X,X,X,O,O
TSLIOJZ,X,O,X,X,O,X,O
TSLIOZJ,X,O,X,X,X,X,O
TSLJIZO,X,O,X,X,X,O,O
TSLJIOZ,X,O,X,X,O,X,O
TSLJZIO,X,O,X,X,X,O,O
TSLJZOI,X,O,X,X,X,O,X
TSLJOIZ,X,O,X,X,O,X,X
TSLJOZI,X,O,X,X,X,X,X
TSLZIJO,X,O,X,X,X,O,O
TSLZIOJ,X,O,X,X,X,O,O
TSLZJIO,X,O,X,X,X,O,O
TSLZJOI,X,O,X,X,X,O,X
TSLZOIJ,X,O,X,X,X,O,X
TSLZOJI,X,O,X,X,X,O,X
TSLOIJZ,X,O,X,X,O,X,X
TSLOIZJ,X,O,X,X,X,X,X
TSLOJIZ,X,O,X,X,O,X,X
TSLOJZI,X,O,X,X,X,X,X
TSLOZIJ,X,O,X,X,X,X,X
TSLOZJI,X,O,X,X,X,X,X
TSJILZO,X,O,X,X,X,X,O
TSJILOZ,X,O,X,X,O,X,O
TSJIZLO,X,O,X,X,X,X,O
TSJIZOL,X,O,X,X,X,X,O
TSJIOLZ,X,O,X,X,X,X,O
TSJIOZL,X,O,X,X,X,X,O
TSJLIZO,X,O,X,X,X,O,O
TSJLIOZ,X,O,X,X,O,X,O
TSJLZIO,X,O,X,X,X,O,O
TSJLZOI,X,O,X,X,X,O,X
TSJLOIZ,X,O,X,X,O,X,X
TSJLOZI,X,O,X,X,X,X,X
TSJZILO,X,O,X,X,X,X,O
TSJZIOL,X,O,X,X,X,X,O
TSJZLIO,X,O,X,X,X,O,O
TSJZLOI,X,O,X,X,X,O,X
TSJZOIL,X,O,X,X,X,X,X
TSJZOLI,X,O,X,X,X,O,X
TSJOILZ,X,O,X,X,X,X,X
TSJOIZL,X,O,X,X,X,X,X
TSJOLIZ,X,O,X,X,X,X,X
TSJOLZI,X,O,X,X,X,X,X
TSJOZIL,X,O,X,X,X,X,X
TSJOZLI,X,O,X,X,X,X,X
TSZILJO,X,O,X,X,X,X,O
TSZILOJ,X,O,X,X,X,X,O
TSZIJLO,X,O,X,X,X,X,O
TSZIJOL,X,O,X,X,X,X,O
TSZIOLJ,X,O,X,X,X,X,O
TSZIOJL,X,O,X,X,X,X,O
