sequence,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhF0W?BxXB/gBaiBThBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFTW?BxXB/hBaiB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8Jef2IvhF6W?BxXBTcBeiB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFxW?BXYBygBzhB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFxW?BXYBlgBzhB8qBiqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JexyIvhFGW?B/gBicBzhB8qBFqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhF0W?BxXBzcBlgBimB/qB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8Jef2IvhFxS?B+bBicBzhB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JezwIvhFCS?BOdBlbBRmBcmB/qB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeF2IvhF5b?BOcBXYBzhB8qBaqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFUX?BFYBRmBTlBimB/qB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JezwIvhFcb?BXYB2hBCcBRmBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeF2IvhFXY?BRmBamB0hBTlBGqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8Jea7IvhF5b?BOcBXYBzhB8qBFqB
IZLSOTJ,X,O,X,X,X,X,X,X,O,X,X,X,X,O
IZLSOJT,X,O,O,X,X,X,X,X,O,X,X,X,X,O
IZLOTJS,X,X,X,X,X,O,O,X,O,X,X,X,X,O
IZLOTSJ,X,X,X,X,X,O,O,X,X,X,X,X,X,O
IZLOJTS,X,X,X,X,X,O,O,X,O,X,O,X,X,O
IZLOJST,O,X,X,X,X,O,X,X,O,X,O,X,X,O
IZLOSTJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZLOSJT,O,X,X,X,X,O,X,X,O,X,X,X,X,O
IZJTLSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJTLOS,O,O,X,X,X,X,X,X,X,X,O,O,X,X
IZJTSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZJTOLS,X,O,O,X,O,X,X,X,X,X,O,O,X,X
IZJTOSL,O,O,O,X,O,X,X,X,X,X,X,O,X,X
IZJLTSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJLSTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLSOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,X,X,X,X,O,X,O,X,O,X,X,O
IZJLOST,O,O,X,X,X,X,X,X,O,X,O,X,X,O
IZJSTLO,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IZJSTOL,O,O,X,O,X,X,X,X,O,X,X,X,X,X
IZJSLTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJSOTL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IZJSOLT,O,O,O,O,O,X,X,X,O,X,X,X,X,X
IZJOTLS,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IZJOTSL,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZJOLTS,X,X,O,X,X,O,X,X,O,X,O,X,X,X
IZJOLST,X,O,O,X,X,O,X,X,O,X,O,X,X,X
IZJOSTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IZJOSLT,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IZSTLJO,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSTLOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSTJLO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSTJOL,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZSTOLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSTOJL,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSLTJO,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSLTOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSLJTO,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,O,O,X,X,X,X,X,O,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O
IZSLOJT,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZSJTLO,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IZSJLTO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,O,X,X,O,X,X,O,X,X,X,X,X
IZSJOTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,O,O,X,X,O,X,X,O,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSOTJL,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSOLTJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSOLJT,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IZSOJTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZOTLJS,X,X,X,X,O,O,X,O,O,O,X,O,X,O
IZOTLSJ,X,X,X,X,O,O,X,X,X,O,X,O,O,O
IZOTJLS,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IZOTJSL,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IZOTSLJ,X,X,X,X,X,X,X,X,X,O,X,O,O,X
IZOTSJL,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IZOLTJS,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IZOLTSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZOLJTS,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IZOLJST,X,X,X,X,O,O,X,O,O,X,X,O,X,O
IZOLSTJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZOLSJT,X,X,X,X,X,O,X,X,O,X,X,O,X,O
IZOJTLS,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZOJTSL,X,O,X,X,O,X,X,X,X,X,X,O,X,X
IZOJLTS,X,X,X,X,X,O,X,X,O,X,O,X,X,O
IZOJLST,X,O,X,X,O,O,X,X,O,X,O,O,X,O
IZOJSTL,O,O,X,X,O,X,X,X,X,X,X,O,X,X
IZOJSLT,O,O,X,X,O,X,X,X,X,X,X,O,X,X
IZOSTLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZOSLTJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IZOSLJT,X,X,O,X,X,O,X,X,O,X,X,O,X,O
IZOSJTL,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IZOSJLT,O,X,X,X,O,O,X,X,O,X,X,O,X,X
IOTLJSZ,O,O,X,O,X,X,X,O,O,X,X,X,O,X
IOTLJZS,O,X,X,O,X,X,X,O,O,X,X,X,X,X
IOTLSJZ,O,O,X,O,X,X,X,O,X,X,X,X,O,X
IOTLSZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTLZJS,O,X,X,O,X,O,X,O,X,X,X,X,X,X
IOTLZSJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X
IOTJLSZ,O,O,O,O,X,X,X,O,X,X,O,X,O,X
IOTJLZS,O,X,O,O,X,X,X,O,X,X,O,X,X,X
IOTJSLZ,O,X,O,O,X,X,X,O,X,X,O,X,O,X
IOTJSZL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOTJZLS,X,O,O,O,X,X,X,X,X,X,O,O,X,X
IOTJZSL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
IOTSLJZ,O,X,O,X,X,X,X,O,X,X,X,X,O,X
IOTSLZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOTSJLZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IOTSJZL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOTSZJL,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOTZLJS,X,X,X,X,O,O,X,O,X,O,X,O,X,X
IOTZLSJ,X,X,X,X,O,O,X,X,X,O,X,O,O,X
IOTZJLS,X,O,X,O,O,X,X,X,X,O,X,O,X,X
IOTZJSL,O,O,X,O,O,X,X,X,X,O,X,O,X,X
IOTZSLJ,X,X,O,X,X,X,X,X,X,O,X,O,O,X
IOTZSJL,O,X,X,X,O,X,X,X,X,O,X,O,X,X
IOLTJSZ,O,O,X,O,X,X,O,O,O,X,O,X,O,X
IOLTJZS,O,X,X,X,X,X,O,O,O,X,O,X,X,X
IOLTSJZ,O,O,X,X,X,X,O,O,X,X,X,X,O,X
IOLTSZJ,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IOLTZJS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,O,O,X,X,X,X,X,O,X
IOLJTSZ,O,O,X,O,X,X,O,O,O,X,O,X,X,X
IOLJTZS,O,X,X,X,X,X,O,X,O,X,O,X,X,X
IOLJSTZ,O,X,X,O,X,X,O,O,O,X,O,X,X,X
IOLJSZT,O,O,X,O,O,X,X,O,O,X,O,X,X,X
IOLJZTS,X,X,X,O,X,O,O,X,O,X,O,X,X,X
IOLJZST,O,X,X,O,X,O,X,O,O,X,O,X,X,X
IOLSTJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,O,X,X,O,O,O,X,O,X,X,X
IOLSJZT,O,O,X,O,X,X,X,O,O,X,O,X,X,X
IOLSZTJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLSZJT,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLZTJS,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IOLZTSJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLZJTS,X,X,X,X,X,O,O,X,O,X,O,X,X,X
IOLZJST,O,X,X,O,X,O,X,O,O,X,O,X,X,X
IOLZSTJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLZSJT,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJTLSZ,O,O,O,O,X,X,X,O,X,X,O,X,O,X
IOJTLZS,O,X,O,O,X,X,X,O,X,X,O,X,X,X
IOJTSLZ,O,X,O,O,X,X,X,X,X,X,O,X,O,X
IOJTSZL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOJTZLS,X,O,O,X,X,X,X,X,X,X,O,O,X,X
IOJTZSL,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IOJLTSZ,O,O,X,O,X,X,O,O,O,X,O,X,X,X
IOJLTZS,O,X,X,X,X,X,O,X,O,X,O,X,X,X
IOJLSTZ,O,X,O,O,X,X,O,O,O,X,O,X,X,X
IOJLSZT,O,O,O,O,O,X,X,O,O,X,O,X,X,X
IOJLZTS,X,X,O,O,X,O,O,X,O,X,O,X,X,X
IOJLZST,O,X,O,O,X,O,X,O,O,X,O,X,X,X
IOJSTLZ,X,X,O,O,X,X,X,X,X,X,O,X,X,X
IOJSTZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,X,O,O,X,X,X,O,X,X,O,X,X,X
IOJSLZT,O,X,O,O,O,X,X,O,X,X,O,X,X,X
IOJSZTL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOJSZLT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOJZTLS,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOJZTSL,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOJZLTS,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IOJZLST,X,O,O,O,X,O,X,X,X,X,O,X,X,X
IOJZSTL,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOJZSLT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IOSTLZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTJLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTZJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOSLJZT,O,X,O,X,X,X,X,O,O,X,X,X,X,X
IOSLZTJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLZJT,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOSJTLZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOSJTZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,O,X,X,X,X,O,X,O,X,X,X
IOSJLZT,O,X,X,O,O,X,X,X,O,X,O,X,X,X
IOSJZTL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSJZLT,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSZLJT,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOZTLJS,X,X,X,X,O,O,X,O,O,O,X,X,X,O
IOZTLSJ,X,X,X,X,O,O,X,X,X,O,X,X,O,O
IOZTJLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOZTJSL,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOZTSLJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOZTSJL,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOZLTJS,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IOZLTSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZLJTS,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IOZLJST,X,X,X,X,O,O,X,O,O,X,X,X,X,O
IOZLSTJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZLSJT,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IOZJTLS,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOZJTSL,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZJLTS,X,X,X,X,X,O,X,X,O,X,O,X,X,O
IOZJLST,X,O,X,O,O,O,X,X,O,X,O,X,X,O
IOZJSTL,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOZJSLT,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZSLTJ,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IOZSLJT,X,X,O,X,X,O,X,X,O,X,X,X,X,O
IOZSJTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZSJLT,O,X,X,X,O,O,X,X,O,X,X,X,X,X
LTIJSZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTIJSOZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X
LTIJZSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LTIJOSZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LTIJOZS,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LTISJZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTISJOZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTISZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTISZOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X
LTISOJZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTISOZJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTIZJSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTIZSOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X
LTIZOJS,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LTIZOSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTIOJSZ,O,O,X,X,X,X,O,O,O,X,X,X,O,X
LTIOJZS,O,X,X,X,X,X,O,O,O,X,X,X,X,X
LTIOSJZ,O,O,X,X,X,X,O,O,X,X,X,X,O,X
LTIOSZJ,O,O,X,X,X,X,O,X,X,X,X,X,O,X
LTIOZJS,O,X,X,X,X,X,O,O,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,O,X,X,X,X,X,O,X
LTJISZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJIOZS,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LTJSIZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,O,O,O,X,X,O,O,X,X,X,X,X,X
LTJSOZI,O,O,O,O,X,X,O,O,X,X,X,X,X,X
LTJZISO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTJZOSI,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTJOISZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJOIZS,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LTJOSIZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJOSZI,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJOZIS,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LTJOZSI,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LTSIJZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTSIJOZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTSIZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTSIZOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X
LTSIOJZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTSIOZJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTSJIZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LTSJOZI,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LTSZIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSZJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSZJOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSZOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOJZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X
LTSOZJI,O,O,O,X,X,X,X,X,X,O,X,X,X,X
LTZIJSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZISJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZISOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZJISO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZJIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZJSOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZJOIS,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZJOSI,O,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZSIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZSJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZSJOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZSOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZOIJS,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LTZOISJ,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LTZOJIS,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZOJSI,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZOSIJ,O,X,X,X,X,X,X,X,X,O,X,O,X,X
LTZOSJI,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTOIJSZ,O,O,X,O,X,X,O,O,O,X,X,X,X,X
LTOIJZS,O,X,X,O,X,X,O,O,O,X,X,X,X,X
LTOISJZ,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTOISZJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTOIZJS,O,X,X,O,X,X,O,O,X,X,X,X,X,X
LTOIZSJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJISZ,O,O,X,O,X,X,O,O,O,X,X,X,X,X
LTOJIZS,O,X,X,O,X,X,O,O,O,X,X,X,X,X
LTOJSIZ,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTOJSZI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTOJZIS,O,X,X,O,X,X,O,O,X,X,X,X,X,X
LTOJZSI,O,X,X,O,X,X,O,O,X,X,X,X,X,X
LTOSIJZ,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTOSIZJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTOSJIZ,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTOSJZI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTOSZIJ,O,O,X,X,X,X,O,X,X,O,X,X,X,X
LTOSZJI,O,O,X,X,X,X,O,X,X,O,X,X,X,X
LTOZIJS,O,X,X,O,X,X,O,O,X,O,X,X,X,X
LTOZISJ,O,X,X,X,X,X,O,X,X,O,X,X,X,X
LTOZJIS,O,X,X,O,X,X,O,O,X,O,X,X,X,X
LTOZJSI,O,X,X,O,X,X,O,O,X,O,X,X,X,X
LTOZSIJ,O,X,X,X,X,X,O,X,X,O,X,X,X,X
LTOZSJI,O,X,X,X,X,X,O,X,X,O,X,X,X,X
LITJSZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LITJSOZ,O,O,O,X,X,X,X,X,X,X,O,X,O,X
LITJZSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LITJZOS,O,O,X,X,X,X,X,X,X,X,O,O,X,X
LITJOSZ,O,O,O,X,X,X,O,X,X,X,O,X,X,X
LITJOZS,O,X,O,X,X,X,O,X,X,X,O,X,X,X
LITSJZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LITSJOZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LITSZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LITSZOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X
LITSOJZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LITSOZJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LITZJSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITZJOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITZSJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LITZSOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X
LITZOJS,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LITZOSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LITOJSZ,O,O,X,X,X,X,O,O,O,X,O,X,O,X
LITOJZS,O,X,X,X,X,X,O,O,O,X,O,X,X,X
LITOSJZ,O,O,X,X,X,X,O,O,X,X,X,X,O,X
LITOSZJ,O,O,X,X,X,X,O,X,X,X,X,X,O,X
LITOZJS,O,X,X,X,X,X,O,O,X,X,X,X,X,X
LITOZSJ,O,X,X,X,X,X,O,X,X,X,X,X,O,X
LIJTSZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LIJTSOZ,O,O,O,X,X,X,X,X,X,X,O,X,O,X
LIJTZSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJTZOS,O,O,X,X,X,X,X,X,X,X,O,O,X,X
LIJTOSZ,O,O,O,O,X,X,O,X,X,X,O,X,X,X
LIJTOZS,O,X,O,O,X,X,O,X,X,X,O,X,X,X
LIJSTZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJSTOZ,O,O,O,O,X,X,X,X,X,X,O,X,X,X
LIJSZTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJSZOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJSOTZ,O,X,O,O,X,X,O,X,X,X,O,X,X,X
LIJSOZT,O,O,O,O,O,X,X,X,X,X,O,X,X,X
LIJZTSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJZTOS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LIJZSTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJZSOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJZOTS,X,X,X,X,X,X,O,X,O,X,O,X,X,X
LIJZOST,O,O,X,X,X,X,X,X,O,X,O,X,X,X
