sequence,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhEciBTeBRrBO?rBlrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhExcBTeB0hBd?rBXsB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhExcBTeBXiBd?rB0rB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeG9IvhETeBRgBanBU?hBFrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeC9IvhETeBRgBOnBU?hBFrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeT+IvhERgBFiBOrBC?rBXsB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSCJvhETeBRgBmmBf?rBlrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSCJvhETeBRgBlmBf?rBmrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8Je38IvhETeBlmBcnBG?lBarB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JecCJvhETeBRgB9mBf?rBmrB
TLZJIOS,X,O,X,O,X,X,X,X,X,X
TLZJSIO,X,O,X,X,X,X,X,X,X,X
TLZJSOI,X,O,X,X,X,X,X,X,O,X
TLZJOIS,X,O,X,O,X,X,X,X,X,X
TLZJOSI,X,O,X,X,X,X,X,X,O,X
TLZSIJO,X,O,O,X,X,X,X,X,X,X
TLZSIOJ,X,O,O,X,X,X,X,X,X,X
TLZSJIO,X,O,O,X,X,X,X,X,X,X
TLZSJOI,X,O,O,X,X,X,X,X,O,X
TLZSOIJ,X,O,O,X,X,X,X,X,X,X
TLZSOJI,X,O,O,X,X,X,X,X,O,X
TLZOIJS,O,O,X,O,X,X,X,X,X,X
TLZOISJ,X,O,X,X,X,X,X,O,X,O
TLZOJIS,X,O,X,O,X,X,X,X,X,X
TLZOJSI,X,O,X,X,X,X,X,X,O,X
TLZOSIJ,X,O,O,X,X,X,X,X,X,X
TLZOSJI,X,O,O,X,X,X,X,X,O,X
TLOIJSZ,X,X,X,O,O,O,O,O,X,X
TLOIJZS,O,X,X,O,O,O,X,X,X,X
TLOISJZ,X,X,O,O,X,X,X,O,X,X
TLOISZJ,X,X,O,X,X,X,X,O,X,X
TLOIZJS,O,O,X,O,X,X,X,X,X,X
TLOIZSJ,X,O,X,X,X,X,X,O,X,X
TLOJISZ,X,X,X,O,O,X,O,O,X,X
TLOJIZS,X,X,X,O,O,X,X,X,X,X
TLOJSIZ,X,X,O,O,O,X,X,X,X,X
