sequence,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFRXBGZB?TcByiB0iBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFRYBSeB?mcBUcBziBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhFecBqcB?xYBXeB0iBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhFxYB0cB?6iBOjBXhBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jem2IvhFzXBCZB?0bBRiBXjBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhF0XBxYB?VhB3nBmnBCtB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jem2IvhFSeB0bB?RiBznBfnBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFacBTZB?RiBGiB8sBFsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jei2IvhFlYBzbB?RiBusBfsBctB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jey7IvhFzXBWeB?0bBRiBXjBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhFceBxcB?XcBGiBysBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je27IvhFqcBxdB?zbBXeB0iBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFTZBxcB?UcBliBysBGsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFRXBTcB?FeB0iB2sBCtB
IZLTOJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLJTSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IZLJTOS,X,X,X,O,O,X,X,X,X,X,X,O,X,X
IZLJSTO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLJSOT,X,X,X,O,O,X,X,X,X,X,X,O,X,X
IZLJOTS,X,X,X,O,O,X,O,X,X,O,X,O,X,X
IZLJOST,X,X,X,O,O,X,O,X,X,O,X,O,X,X
IZLSTJO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLSTOJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLSJTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLSJOT,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLSOTJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLSOJT,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLOTJS,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZLOTSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZLOJTS,X,X,X,O,O,X,O,X,X,O,X,X,X,X
IZLOJST,X,X,X,O,O,X,O,X,X,O,X,X,X,X
IZLOSTJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZLOSJT,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZJTLSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJTLOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJTSLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJTSOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJTOLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZJTOSL,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IZJLTSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IZJLTOS,X,X,X,O,O,X,X,X,X,X,X,O,X,X
IZJLSTO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLSOT,X,X,X,O,O,X,X,X,X,X,X,O,X,X
IZJLOTS,X,X,X,O,O,X,O,X,X,O,X,O,X,X
IZJLOST,X,X,X,O,O,X,O,X,X,O,O,O,X,X
IZJSTLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSTOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSLTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJSLOT,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJSOTL,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IZJSOLT,X,X,X,X,O,X,O,O,X,X,O,X,X,X
IZJOTLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZJOTSL,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IZJOLTS,X,X,X,O,O,X,O,X,X,O,X,X,X,X
IZJOLST,X,X,X,O,O,X,O,X,X,O,O,X,X,X
IZJOSTL,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IZJOSLT,X,X,X,X,O,X,O,O,X,X,O,X,X,X
IZSTLJO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSTLOJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSTJLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTJOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSTOJL,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZSLTJO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSLTOJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSLJTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSLJOT,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSLOJT,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSJTLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJLTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSJLOT,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSJOTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZSOTJL,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IZSOLTJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZSOLJT,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZSOJTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZSOJLT,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOTLJS,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZOTJLS,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZOTJSL,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOTSJL,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IZOLTJS,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZOLJTS,X,X,X,O,O,X,O,X,O,O,X,X,X,X
IZOLJST,X,X,X,O,O,X,O,X,O,O,X,X,X,X
IZOLSTJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOLSJT,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOJTLS,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IZOJTSL,X,X,X,X,O,X,O,X,O,X,O,X,X,X
IZOJLTS,X,X,X,O,O,X,O,X,O,O,X,X,X,X
IZOJLST,X,X,X,O,O,X,O,X,O,O,O,X,X,X
IZOJSTL,X,X,X,X,O,X,O,X,O,X,O,X,X,X
IZOJSLT,X,X,X,X,O,X,O,O,O,X,O,X,X,X
IZOSTLJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOSTJL,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IZOSLTJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOSLJT,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOSJTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZOSJLT,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IOTLJSZ,O,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTLJZS,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IOTLSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZJS,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IOTLZSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJLSZ,O,X,O,O,X,X,X,X,O,X,X,X,X,X
IOTJLZS,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IOTJSLZ,O,X,O,O,X,X,X,X,O,X,X,X,X,X
IOTJSZL,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOTJZLS,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTJZSL,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTSLJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTSJZL,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTSZJL,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTZLJS,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IOTZLSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTZJLS,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IOTZJSL,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTZSLJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOTZSJL,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IOLTJZS,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLTSJZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTSZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTZJS,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLTZSJ,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLJTSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOLJTZS,X,X,X,X,X,X,X,X,O,O,O,O,X,X
IOLJSTZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IOLJSZT,O,X,X,X,X,X,X,X,O,O,O,O,X,X
IOLJZTS,X,X,X,X,O,X,O,X,O,O,O,O,X,X
IOLJZST,X,X,X,X,O,X,O,X,O,O,O,O,X,X
IOLSTJZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLSTZJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLSJTZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLSZTJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLSZJT,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLZTJS,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLZTSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLZJTS,X,X,X,X,O,X,O,X,O,O,O,X,X,X
IOLZJST,X,X,X,X,O,X,O,X,O,O,O,X,X,X
IOLZSTJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLZSJT,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOJTLSZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJTLZS,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOJTSLZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJTSZL,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJTZLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJTZSL,X,X,X,X,X,X,X,X,O,X,O,X,X,X
IOJLTSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X
IOJLTZS,X,X,X,X,X,X,X,X,O,O,X,O,X,X
IOJLSTZ,O,X,O,X,X,X,X,X,O,X,X,O,X,X
IOJLSZT,O,X,O,X,X,X,X,X,O,O,X,O,X,X
IOJLZTS,X,X,X,X,O,X,O,X,O,O,X,O,X,X
IOJLZST,X,X,X,X,O,X,O,X,O,O,O,O,X,X
IOJSTLZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJSTZL,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSLTZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJSLZT,O,X,O,X,X,X,X,X,O,O,X,X,X,X
IOJSZTL,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IOJSZLT,O,X,O,X,X,X,X,X,O,X,O,X,X,X
IOJZTLS,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IOJZTSL,X,X,X,X,O,X,O,X,O,X,O,X,X,X
IOJZLTS,X,X,X,O,O,X,O,X,O,O,X,X,X,X
IOJZLST,X,X,X,O,O,X,O,X,O,O,O,X,X,X
IOJZSTL,X,X,X,X,O,X,O,X,O,X,O,X,X,X
IOJZSLT,X,X,X,X,O,X,O,X,O,X,O,X,X,X
IOSTLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSTJZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTZJL,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSLTZJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSLJTZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSLJZT,O,X,O,X,X,X,X,X,O,O,X,X,X,X
IOSLZTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSLZJT,O,X,X,X,O,X,O,O,X,X,X,X,X,X
IOSJTLZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSJTZL,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSJLTZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSJLZT,O,X,O,X,X,X,X,X,O,O,X,X,X,X
IOSJZTL,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSJZLT,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSZTLJ,O,X,X,X,O,X,O,O,X,X,X,X,X,X
IOSZTJL,O,X,X,X,O,X,O,X,X,X,X,X,X,O
IOSZLTJ,O,X,X,X,O,X,O,O,X,X,X,X,X,X
IOSZLJT,O,X,X,X,O,X,O,O,X,X,X,X,X,X
IOSZJTL,O,X,X,X,O,X,O,X,X,X,X,X,X,X
IOSZJLT,O,X,O,X,O,X,O,O,X,X,X,X,X,X
IOZTLJS,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZTJLS,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IOZTJSL,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZTSLJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IOZTSJL,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IOZLTJS,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZLJTS,X,X,X,O,O,X,O,X,O,O,X,X,X,X
IOZLJST,X,X,X,O,O,X,O,X,O,O,X,X,X,X
IOZLSTJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IOZLSJT,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IOZJTLS,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IOZJTSL,X,X,X,X,O,X,O,X,O,X,O,X,X,X
IOZJLTS,X,X,X,O,O,X,O,X,O,O,X,X,X,X
IOZJLST,X,X,X,O,O,X,O,X,O,O,O,X,X,X
IOZJSTL,X,X,X,X,O,X,O,X,O,X,O,X,X,X
IOZJSLT,X,X,X,X,O,X,O,O,O,X,O,X,X,X
IOZSTLJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IOZSTJL,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IOZSLTJ,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IOZSLJT,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IOZSJTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZSJLT,X,X,X,X,O,X,O,O,X,X,X,X,X,X
LTIJSZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
LTIJSOZ,O,O,O,O,X,X,X,X,X,O,X,O,O,X
LTIJZSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
LTIJZOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
LTIJOSZ,O,O,O,O,X,X,X,X,X,O,X,O,O,X
LTIJOZS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
LTISJZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X
LTISJOZ,O,O,O,X,X,X,X,X,X,O,X,O,O,X
LTISZJO,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTISZOJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTISOJZ,O,O,O,X,X,X,X,X,X,O,X,X,O,X
LTISOZJ,O,X,X,X,O,X,X,X,X,X,X,X,O,X
LTIZJSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
LTIZJOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
LTIZSJO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTIZOJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTIZOSJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTIOJSZ,O,O,X,O,X,X,X,X,X,O,X,O,O,X
LTIOJZS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
LTIOSJZ,O,O,X,X,X,X,X,X,X,O,X,X,O,X
LTIOSZJ,O,X,X,X,O,X,X,X,X,X,X,X,O,X
LTIOZJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTIOZSJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTJISZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
LTJISOZ,O,O,O,O,X,X,X,X,X,O,X,O,O,X
LTJIZSO,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTJIZOS,X,X,X,O,X,X,X,X,X,O,O,O,X,X
LTJIOSZ,O,O,O,O,X,X,X,X,X,O,X,O,O,X
LTJIOZS,X,X,X,O,X,X,X,X,X,O,O,O,X,X
LTJSIZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
LTJSIOZ,O,O,O,O,X,X,X,X,X,O,X,O,O,X
LTJSZIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJSZOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X
LTJSOZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJZISO,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTJZIOS,X,X,X,O,X,X,X,X,X,O,O,O,X,X
LTJZSIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJZSOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTJZOSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTJOISZ,O,O,O,O,X,X,X,X,O,O,X,O,O,X
LTJOIZS,X,O,X,O,X,X,X,X,O,O,O,O,X,X
LTJOSIZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X
LTJOSZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTJOZSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTSIJZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X
LTSIJOZ,O,O,O,X,X,X,X,X,X,O,X,O,O,X
LTSIZJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSIOJZ,O,O,O,X,X,X,X,X,X,O,X,X,O,X
LTSIOZJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSJIZO,O,O,O,O,X,O,X,X,X,X,X,O,X,X
LTSJIOZ,O,O,O,O,X,O,X,X,X,O,X,O,O,X
LTSJZIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSJZOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSJOIZ,O,O,O,O,X,O,X,X,X,X,X,X,O,X
LTSJOZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSZIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTSZJIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSZJOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X
LTSZOJI,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSOIJZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTSOIZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTSOJIZ,O,O,O,O,X,O,X,X,X,X,X,X,O,X
LTSOJZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSOZIJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X
LTSOZJI,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTZIJSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
LTZIJOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
LTZISJO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZISOJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTZIOJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTZIOSJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LTZJISO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
LTZJIOS,X,X,X,O,O,X,X,X,X,O,O,O,X,X
LTZJSIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZJSOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZJOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTZJOSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTZSIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTZSJIO,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LTZSJOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X
LTZSOJI,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZOIJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZOISJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTZOJIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X
LTZOJSI,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X
LTZOSJI,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTOIJSZ,O,O,X,O,X,X,X,X,O,O,X,O,O,X
LTOIJZS,X,O,X,O,X,X,X,X,O,O,X,O,X,X
LTOISJZ,O,O,X,X,X,X,X,X,X,O,X,X,O,X
LTOISZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTOIZJS,X,O,X,O,X,X,X,X,X,O,X,X,X,X
LTOIZSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X
LTOJISZ,O,O,O,O,X,X,X,X,O,O,X,O,O,X
LTOJIZS,X,O,X,O,X,X,X,X,O,O,O,O,X,X
LTOJSIZ,O,O,O,O,X,X,X,X,X,X,X,X,O,X
LTOJSZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOJZIS,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTOJZSI,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTOSIZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
LTOSJIZ,O,O,O,O,X,O,X,X,X,X,X,X,O,X
LTOSJZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LTOSZIJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X
LTOSZJI,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTOZIJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOZISJ,X,O,X,X,X,O,X,X,X,X,X,X,O,X
LTOZJIS,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTOZJSI,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X
LTOZSJI,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LITJSZO,X,O,O,X,X,X,X,X,X,X,X,O,X,X
LITJSOZ,X,O,O,X,X,X,X,X,X,O,X,O,O,X
LITJZSO,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LITJZOS,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LITJOSZ,X,O,O,X,X,X,X,X,X,O,X,O,O,X
LITJOZS,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LITSJZO,X,O,O,X,X,X,X,X,X,X,X,O,X,X
LITSJOZ,X,O,O,X,X,X,X,X,X,O,X,O,O,X
LITSZJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LITSZOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITSOJZ,X,O,O,X,X,X,X,X,X,O,X,X,O,X
LITSOZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITZJSO,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LITZJOS,X,X,X,X,O,X,X,X,X,O,X,O,X,X
LITZSJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITZOJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LITZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITOJSZ,X,O,X,X,X,X,X,X,X,O,X,O,O,X
LITOJZS,X,X,X,X,X,X,X,X,X,O,X,O,X,X
LITOSJZ,X,O,X,X,X,X,X,X,X,O,X,X,O,X
LITOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LITOZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LITOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIJTSZO,X,O,O,X,X,X,X,X,X,X,X,O,X,X
LIJTSOZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LIJTZSO,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJTZOS,X,X,X,X,X,X,X,X,X,O,O,O,X,X
LIJTOSZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X
LIJTOZS,X,X,X,X,X,X,X,X,X,O,O,O,X,X
LIJSTZO,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJSTOZ,O,O,O,X,X,X,X,X,X,X,X,O,X,X
