sequence,v115@vhGRRYaAFLDmClcJSAVDEHBEooRBJoAVBvXExCz/AA?ATqB0nB6tB1rB/pBmqB,v115@vhGUMYaAFLDmClcJSAVDEHBEooRBaoAVBp+ytCs/AA?AxvBFtBTlB/pBimBGtB,v115@vhGUMYaAFLDmClcJSAVDEHBEooRBaoAVBpvytCsOBA?AxvBGtBTlB/pBimBFtB,v115@vhGxRYaAFLDmClcJSAVDEHBEooRBJoAVBaH+tCqCBA?A0qBToBlrB/pBGnBiqB,v115@vhGUNYaAFLDmClcJSAVDEHBEooRBaoAVBJ3TWCqOBA?AxwBzmB/pBiqBGoBlqB,v115@vhGTNYaAFLDmClcJSAVDEHBEooRBPoAVBpX+tCqCBA?ARwBUnBVrB/pBOqBCtB,v115@vhGUNYaAFLDmClcJSAVDEHBEooRBaoAVBJ3TxCqCBA?AxwBzmB/pBlqBGoBiqB,v115@vhGTNYaAFLDmClcJSAVDEHBEooRBPoAVBTezPC0CBA?AXsBRvB0lB2pBlmBCtB,v115@vhGxRYaAFLDmClcJSAVDEHBEooRBJoAVBKHUFDzOBA?A2vBToBSsB0lB/pBlrB,v115@vhGVSYaAFLDmClcJSAVDEHBEooRBUoAVBaujPCvCBA?A0qBxrB/pBGoBzrBiqB,v115@vhG2QYaAFLDmClcJSAVDEHBEooRBKoAVBvuLuCM+AA?ATqBVsBUoB/pBSyBxqB,v115@vhG0LYaAFLDmClcJSAVDEHBEooRBaoAVBUuTWCv/AA?A1vBxsB/pBilBTtBGsB,v115@vhGWSYaAFLDmClcJSAVDEHBEooRBKoAVBPN8LC6OBA?AToB/pBKqBRrBUrBFsB,v115@vhGUNYaAFLDmClcJSAVDEHBEooRBaoAVBUdNPCvCBA?AVxB/pBxqBGoBTqBirB,v115@vhGyPYaAFLDmClcJSAVDEHBEooRBMoAVBKuytC6OBA?A+tBRsBTlB/pB0rBlsB,v115@vhG2PYaAFLDmClcJSAVDEHBEooRBKoAVBpHUxCMHBA?AxrBUoB/pBllBSyBzrB,v115@vhGWSYaAFLDmClcJSAVDEHBEooRBKoAVBJ9aFD0CBA?ARwBXqBToBUmBFnBikB,v115@vhGUMYaAFLDmClcJSAVDEHBEooRBaoAVBUtHgCpCBA?AVwBXqB+tBznBRmBikB,v115@vhGWSYaAFLDmClcJSAVDEHBEooRBKoAVBauytC0CBA?A0rBRvBToB3lBFnBikB,v115@vhGzLYaAFLDmClcJSAVDEHBEooRBPoAVB0fLuCpCBA?AVvB+tBssBfrBxmBikB
ISOLJZT,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X
ISOLZTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
ISOLZJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
ISOJTLZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,O,O,O
ISOJTZL,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,O,O,O,O
ISOJLTZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,O,O,X
ISOJLZT,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X
ISOJZTL,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,O,O
ISOJZLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,O,O
ISOZTLJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
ISOZTJL,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
ISOZLTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
ISOZLJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
ISOZJTL,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,O,X
ISOZJLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZTLJSO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
IZTLJOS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X
IZTLSJO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
IZTLSOJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
IZTLOJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTJLSO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
IZTJLOS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X
IZTJSLO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
IZTJSOL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
IZTJOLS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X
IZTJOSL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
IZTSLJO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
IZTSLOJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
IZTSJLO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
IZTSJOL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
IZTSOLJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
IZTSOJL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
IZTOLJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTOJLS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X
IZTOJSL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
IZTOSLJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
IZTOSJL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
IZLTJSO,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,O,O,X
IZLTJOS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X
IZLTSJO,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,O,O,X
IZLTSOJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
IZLTOJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJTSO,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X
IZLJTOS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X
IZLJSTO,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZLJSOT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZLJOTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X
IZLJOST,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZLSTJO,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,O,X
IZLSTOJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X
IZLSJTO,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZLSJOT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZLSOTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IZLSOJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZLOTJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,X,O,O,O,X
IZJTLOS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X
IZJTSLO,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,X,O,O,O,X
IZJTSOL,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O,X
IZJTOLS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X
IZJTOSL,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O,X
IZJLTSO,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X
IZJLTOS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X
IZJLSTO,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZJLSOT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZJLOTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X
IZJLOST,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZJSTLO,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,X,O,O,O,X
IZJSTOL,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O,X
IZJSLTO,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZJSLOT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZJSOTL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
IZJSOLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZJOTLS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X
IZJOTSL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
IZJOLTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X
IZJOLST,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZJOSTL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
IZJOSLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZSTLJO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
IZSTLOJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
IZSTJLO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
IZSTJOL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
IZSTOLJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
IZSTOJL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
IZSLTJO,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,O,X
IZSLTOJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X
IZSLJTO,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZSLJOT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZSLOTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IZSLOJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZSJTLO,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,X,O,O,O,X
IZSJTOL,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O,X
IZSJLTO,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZSJLOT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZSJOTL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
IZSJOLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZSOTLJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X
IZSOTJL,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X
IZSOLTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IZSOLJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZSOJTL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZSOJLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZOTLJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOTJLS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X
IZOTJSL,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O,X
IZOTSLJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
IZOTSJL,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O,X
IZOLTJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X
IZOJTSL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
IZOJLTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X
IZOJLST,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZOJSTL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
IZOJSLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZOSTLJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X
IZOSTJL,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X
IZOSLTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IZOSLJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZOSJTL,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IZOSJLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IOTLJSZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOTLJZS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOTLSJZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOTLSZJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O
IOTJLZS,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O
IOTJSLZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,O
IOTJSZL,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X,O
IOTJZLS,O,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O
IOTJZSL,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X,O
IOTSLJZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
IOTSLZJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOTSJLZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,O
IOTSJZL,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X,O
IOTSZLJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOTSZJL,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOTZLJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJLS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTZJSL,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOTZSLJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOTZSJL,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOLTJSZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLJTZS,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOLJSZT,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,O,O
IOJTLZS,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O
IOJTSLZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,O,O
IOJTSZL,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O,O
IOJTZLS,O,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,O,O
IOJTZSL,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O,O
IOJLTSZ,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X
IOJLTZS,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOJLSTZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,O,X
IOJLSZT,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X
IOJLZTS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
IOJLZST,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X
IOJSTLZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,O,O
IOJSTZL,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O,O
IOJSLTZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,O,X
IOJSLZT,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X
IOJSZTL,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,O,O
IOJSZLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O
IOJZTLS,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O,O
IOJZTSL,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,O,O
IOJZLTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X
IOJZLST,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O
IOJZSTL,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,O,O
IOJZSLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O
IOSTLJZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
IOSTLZJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOSTJLZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,O
IOSTJZL,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X,O
IOSTZLJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOSTZJL,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOSLTJZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOSLTZJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOSLJTZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,O,X
IOSLJZT,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X
IOSLZTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IOSLZJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IOSJTLZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,O,O
IOSJTZL,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O,O
IOSJLTZ,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,O,X
IOSJLZT,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X
IOSJZTL,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,O,O
IOSJZLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O
IOSZTLJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IOSZTJL,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IOSZLTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IOSZLJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IOSZJTL,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,O,X
IOSZJLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IOZTLJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IOZTJSL,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IOZTSLJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IOZTSJL,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IOZLTJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O,X
IOZJTSL,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,O,X
IOZJLTS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X
IOZJLST,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IOZJSTL,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,O,X
IOZJSLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IOZSTLJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IOZSTJL,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IOZSLTJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X
IOZSLJT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
IOZSJTL,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,O,X
IOZSJLT,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X
LTIJSZO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
LTIJSOZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
LTIJZSO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
LTIJZOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LTIJOSZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
LTIJOZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTISJZO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
LTISJOZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
