sequence,v115@/gB8GeB8HeC8FeE8OexCJvhFXhBOkB6tBFnBzsB0rB,v115@/gB8GeB8HeC8FeE8Oe6IJvhF0iBXhBOkBVyBxrBzrB,v115@/gB8GeB8HeC8FeE8OeMIJvhFliBXhBOkBSyBxrBzrB,v115@/gB8GeB8HeC8FeE8OexCJvhFOkB6tBXnBFmBzsB0rB,v115@/gB8GeB8HeC8FeE8OexBJvhFOkB6tB0nBFmBzrBXtB,v115@/gB8GeB8HeC8FeE8OevIJvhFxhBOkB0nBFmBzrBSyB,v115@/gB8GeB8HeC8FeE8OexCJvhFXhBOkBFnBCtB0rBTtB,v115@/gB8GeB8HeC8FeE8OexCJvhFOkBXnBFmBCtBTtB0rB
ISLJZOT,O,X,O,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,X,X,X
ISLJOZT,O,X,O,X,X,X,X,X
ISLZTJO,O,X,O,X,X,X,O,X
ISLZTOJ,O,X,O,X,X,X,O,X
ISLZJTO,O,X,O,X,X,X,O,X
ISLZJOT,O,X,O,X,X,X,X,X
ISLZOTJ,X,X,O,X,X,X,X,X
ISLZOJT,O,X,O,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,X
ISLOJTZ,O,X,X,X,X,X,X,X
ISLOJZT,O,X,O,X,X,X,X,X
ISLOZTJ,O,X,O,X,X,X,X,X
ISLOZJT,O,X,O,X,X,X,X,X
ISJTLZO,X,O,O,X,X,X,X,X
ISJTLOZ,X,O,X,X,X,X,X,X
ISJTZLO,X,O,X,X,X,X,X,X
ISJTZOL,X,O,X,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,X,X
ISJTOZL,X,O,X,X,X,X,X,X
ISJLTZO,O,O,O,X,X,X,X,X
ISJLTOZ,O,O,X,X,X,X,X,X
ISJLZTO,O,X,O,X,X,X,O,X
ISJLZOT,O,X,O,X,X,X,X,X
ISJLOTZ,O,X,X,X,X,X,X,X
ISJLOZT,O,X,O,X,X,X,X,X
ISJZTLO,O,O,X,X,X,X,O,X
ISJZTOL,O,O,X,X,X,X,O,X
ISJZLTO,O,X,O,X,X,X,O,X
ISJZLOT,O,X,O,X,X,X,X,X
ISJZOTL,O,X,X,X,X,X,X,X
ISJZOLT,O,X,X,X,X,X,X,X
ISJOTLZ,O,O,X,X,X,X,X,X
ISJOTZL,O,O,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,X,X,X
ISJOLZT,O,X,O,X,X,X,X,X
ISJOZTL,O,X,X,X,X,X,X,X
ISJOZLT,O,X,X,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,O,X
ISZTLOJ,O,O,X,X,X,X,O,X
ISZTJLO,O,O,X,X,X,X,O,X
ISZTJOL,O,O,X,X,X,X,O,X
ISZTOLJ,O,O,X,X,X,X,X,X
ISZTOJL,O,O,X,X,X,X,O,X
ISZLTJO,O,X,O,X,X,X,O,X
ISZLTOJ,O,X,O,X,X,X,O,X
ISZLJTO,O,X,O,X,X,X,O,X
ISZLJOT,O,X,O,X,X,X,X,X
ISZLOTJ,X,X,O,X,X,X,X,X
ISZLOJT,O,X,O,X,X,X,X,X
ISZJTLO,O,O,X,X,X,X,O,X
ISZJTOL,O,O,X,X,X,X,O,X
ISZJLTO,O,X,O,X,X,X,O,X
ISZJLOT,O,X,O,X,X,X,X,X
ISZJOTL,O,X,X,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,X
ISZOTJL,O,X,X,X,X,X,X,X
ISZOLTJ,O,X,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,X,X,X
ISZOJTL,O,X,X,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X,X
ISOTLJZ,O,O,X,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,X,X,X
ISOTJLZ,O,O,X,X,X,X,X,X
ISOTJZL,O,O,X,X,X,X,X,X
ISOTZLJ,X,O,X,X,X,X,X,X
ISOTZJL,O,O,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,X
ISOLJTZ,O,X,X,X,X,X,X,X
ISOLJZT,O,X,O,X,X,X,X,X
ISOLZTJ,O,X,O,X,X,X,X,X
ISOLZJT,O,X,O,X,X,X,X,X
ISOJTLZ,O,O,X,X,X,X,X,X
ISOJTZL,O,O,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X
ISOJLZT,O,X,O,X,X,X,X,X
ISOJZTL,O,X,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,X,X,X,X
ISOZTJL,O,X,X,X,X,X,X,X
ISOZLTJ,O,X,X,X,X,X,X,X
ISOZLJT,O,X,X,X,X,X,X,X
ISOZJTL,O,X,X,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,X,X
IZTLJSO,O,O,X,X,X,X,O,X
IZTLJOS,O,O,X,X,X,X,O,X
IZTLSJO,O,O,X,X,X,X,O,X
IZTLSOJ,O,O,X,X,X,X,O,X
IZTLOJS,O,O,X,X,X,X,O,X
IZTLOSJ,O,O,X,X,X,X,O,X
IZTJLSO,O,O,X,X,X,X,O,X
IZTJLOS,O,O,X,X,X,X,O,X
IZTJSLO,O,O,X,X,X,X,O,X
IZTJSOL,O,O,X,X,X,X,O,X
IZTJOLS,O,O,X,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X,O,X
IZTSLJO,O,O,X,X,X,X,O,X
IZTSLOJ,O,O,X,X,X,X,O,X
IZTSJLO,O,O,X,X,X,X,O,X
IZTSJOL,O,O,X,X,X,X,O,X
IZTSOLJ,O,O,X,X,X,X,X,X
IZTSOJL,O,O,X,X,X,X,O,X
IZTOLJS,O,O,X,X,X,X,X,X
IZTOLSJ,O,O,X,X,X,X,X,X
IZTOJLS,O,O,X,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X,O,X
IZTOSLJ,O,O,X,X,X,X,X,X
IZTOSJL,O,O,X,X,X,X,O,X
IZLTJSO,O,X,O,X,X,X,O,X
IZLTJOS,O,X,O,X,X,X,O,X
IZLTSJO,O,X,O,X,X,X,O,X
IZLTSOJ,O,X,O,X,X,X,O,X
IZLTOJS,O,X,O,X,X,X,O,X
IZLTOSJ,O,X,O,X,X,X,O,X
IZLJTSO,O,X,O,X,X,X,O,X
IZLJTOS,O,X,O,X,X,X,O,X
IZLJSTO,O,X,O,X,X,X,O,X
IZLJSOT,O,X,O,X,X,X,X,X
IZLJOTS,O,X,O,X,X,X,X,X
IZLJOST,O,X,O,X,X,X,X,X
IZLSTJO,O,X,O,X,X,X,O,X
IZLSTOJ,O,X,O,X,X,X,O,X
IZLSJTO,O,X,O,X,X,X,O,X
IZLSJOT,O,X,O,X,X,X,X,X
IZLSOTJ,X,X,O,X,X,X,X,X
IZLSOJT,O,X,O,X,X,X,X,X
IZLOTJS,O,X,O,X,X,X,X,X
IZLOTSJ,O,X,O,X,X,X,X,X
IZLOJTS,O,X,O,X,X,X,X,X
IZLOJST,O,X,O,X,X,X,X,X
IZLOSTJ,X,X,O,X,X,X,X,X
IZLOSJT,O,X,O,X,X,X,X,X
IZJTLSO,O,O,X,X,X,X,O,X
IZJTLOS,O,O,X,X,X,X,O,X
IZJTSLO,O,O,X,X,X,X,O,X
IZJTSOL,O,O,X,X,X,X,O,X
IZJTOLS,O,O,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X,O,X
IZJLTSO,O,X,O,X,X,X,O,X
IZJLTOS,O,X,O,X,X,X,O,X
IZJLSTO,O,X,O,X,X,X,O,X
IZJLSOT,O,X,O,X,X,X,X,X
IZJLOTS,O,X,O,X,X,X,X,X
IZJLOST,O,X,O,X,X,X,X,X
IZJSTLO,O,O,X,X,X,X,O,X
IZJSTOL,O,O,X,X,X,X,O,X
IZJSLTO,O,X,O,X,X,X,O,X
IZJSLOT,O,X,O,X,X,X,X,X
IZJSOTL,O,X,X,X,X,X,X,X
IZJSOLT,O,X,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,X
IZJOLTS,O,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,X,X
IZJOSTL,O,X,X,X,X,X,X,X
IZJOSLT,O,X,X,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,O,X
IZSTLOJ,O,O,X,X,X,X,O,X
IZSTJLO,O,O,X,X,X,X,O,X
IZSTJOL,O,O,X,X,X,X,O,X
IZSTOLJ,O,O,X,X,X,X,X,X
IZSTOJL,O,O,X,X,X,X,O,X
IZSLTJO,O,X,O,X,X,X,O,X
IZSLTOJ,O,X,O,X,X,X,O,X
IZSLJTO,O,X,O,X,X,X,O,X
IZSLJOT,O,X,O,X,X,X,X,X
IZSLOTJ,X,X,O,X,X,X,X,X
IZSLOJT,O,X,O,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,O,X
IZSJTOL,O,O,X,X,X,X,O,X
IZSJLTO,O,X,O,X,X,X,O,X
IZSJLOT,O,X,O,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,X
IZSJOLT,O,X,X,X,X,X,X,X
IZSOTLJ,O,X,X,X,X,X,X,X
IZSOTJL,O,X,X,X,X,X,X,X
IZSOLTJ,O,X,X,X,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X,X
IZSOJTL,O,X,X,X,X,X,X,X
IZSOJLT,O,X,X,X,X,X,X,X
IZOTLJS,O,X,X,X,X,X,X,X
IZOTLSJ,O,X,X,X,X,X,X,X
IZOTJLS,O,X,X,X,X,X,X,X
IZOTJSL,O,X,X,X,X,X,X,X
IZOTSLJ,O,X,X,X,X,X,X,X
IZOTSJL,O,X,X,X,X,X,X,X
IZOLTJS,O,X,X,X,X,X,X,X
IZOLTSJ,O,X,X,X,X,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X
IZOJTLS,O,X,X,X,X,X,X,X
IZOJTSL,O,X,X,X,X,X,X,X
IZOJLTS,O,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X,X
IZOSTLJ,O,X,X,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X,X,X
IZOSLTJ,O,X,X,X,X,X,X,X
IZOSLJT,O,X,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,X,X,X
IZOSJLT,O,X,X,X,X,X,X,X
IOTLJSZ,O,O,X,O,X,X,X,X
IOTLJZS,O,O,X,X,O,O,X,X
IOTLSJZ,O,O,X,O,X,X,X,X
IOTLSZJ,O,O,X,O,X,X,X,X
IOTLZJS,O,O,X,X,O,O,X,X
IOTLZSJ,O,O,X,X,O,O,X,X
IOTJLSZ,O,O,X,O,X,X,X,X
IOTJLZS,O,O,X,X,O,O,X,X
IOTJSLZ,O,O,X,O,X,X,X,X
IOTJSZL,O,O,X,X,O,O,X,X
IOTJZLS,X,O,X,X,O,O,X,X
IOTJZSL,O,O,X,X,O,O,X,X
IOTSLJZ,O,O,X,O,X,X,X,X
IOTSLZJ,O,O,X,O,X,X,X,X
IOTSJLZ,O,O,X,O,X,X,X,X
IOTSJZL,O,O,X,X,O,O,X,X
IOTSZLJ,X,O,X,X,O,O,X,X
IOTSZJL,O,O,X,X,O,O,X,X
IOTZLJS,X,O,X,X,O,O,X,X
IOTZLSJ,X,O,X,X,O,O,X,X
IOTZJLS,X,O,X,X,O,O,X,X
IOTZJSL,O,O,X,X,O,O,X,X
IOTZSLJ,X,O,X,X,O,O,X,X
IOTZSJL,O,O,X,X,O,O,X,X
IOLTJSZ,O,X,X,O,X,X,X,X
IOLTJZS,O,X,X,X,O,X,X,X
IOLTSJZ,O,X,X,O,X,X,X,X
IOLTSZJ,O,X,X,O,X,X,X,X
IOLTZJS,O,X,X,X,O,X,X,X
IOLTZSJ,O,X,X,X,O,X,X,X
IOLJTSZ,O,X,X,O,X,X,X,X
IOLJTZS,O,X,X,X,O,X,X,X
IOLJSTZ,O,X,X,O,X,X,X,X
IOLJSZT,O,X,O,O,X,X,X,X
IOLJZTS,O,X,O,X,O,X,X,X
IOLJZST,O,X,O,O,X,X,X,X
IOLSTJZ,O,X,X,O,X,X,X,X
IOLSTZJ,O,X,X,O,X,X,X,X
IOLSJTZ,O,X,X,O,X,X,X,X
IOLSJZT,O,X,O,O,X,X,X,X
IOLSZTJ,O,X,O,O,X,X,X,X
IOLSZJT,O,X,O,O,X,X,X,X
IOLZTJS,O,X,O,X,O,X,X,X
IOLZTSJ,O,X,O,X,O,X,X,X
IOLZJTS,O,X,O,X,O,X,X,X
IOLZJST,O,X,O,O,X,X,X,X
IOLZSTJ,O,X,O,O,X,X,X,X
IOLZSJT,O,X,O,O,X,X,X,X
IOJTLSZ,O,O,X,O,X,X,X,X
IOJTLZS,O,O,X,X,O,O,X,X
IOJTSLZ,O,O,X,O,X,X,X,X
IOJTSZL,O,O,X,X,O,O,X,X
IOJTZLS,X,O,X,X,O,O,X,X
IOJTZSL,O,O,X,X,O,O,X,X
IOJLTSZ,O,X,X,O,X,X,X,X
IOJLTZS,O,X,X,X,O,X,X,X
IOJLSTZ,O,X,X,O,X,X,X,X
IOJLSZT,O,X,O,O,X,X,X,X
IOJLZTS,O,X,O,X,O,X,X,X
IOJLZST,O,X,O,O,X,X,X,X
IOJSTLZ,O,O,X,O,X,X,X,X
IOJSTZL,O,O,X,X,X,X,X,X
IOJSLTZ,O,X,X,O,X,X,X,X
IOJSLZT,O,X,O,O,X,X,X,X
IOJSZTL,O,X,X,X,X,X,X,X
IOJSZLT,O,X,X,X,X,X,X,X
IOJZTLS,O,X,X,X,O,O,X,X
IOJZTSL,O,X,X,X,O,O,X,X
IOJZLTS,O,X,X,X,O,X,X,X
IOJZLST,O,X,X,X,X,X,X,X
IOJZSTL,O,X,X,X,X,O,X,X
IOJZSLT,O,X,X,X,X,X,X,X
IOSTLJZ,O,O,X,O,X,X,X,X
IOSTLZJ,O,O,X,O,X,X,X,X
IOSTJLZ,O,O,X,O,X,X,X,X
IOSTJZL,O,O,X,X,X,X,X,X
IOSTZLJ,X,O,X,X,X,X,X,X
IOSTZJL,O,O,X,X,X,X,X,X
IOSLTJZ,O,X,X,O,X,X,X,X
IOSLTZJ,O,X,X,O,X,X,X,X
IOSLJTZ,O,X,X,O,X,X,X,X
IOSLJZT,O,X,O,O,X,X,X,X
IOSLZTJ,O,X,O,O,X,X,X,X
IOSLZJT,O,X,O,O,X,X,X,X
IOSJTLZ,O,O,X,O,X,X,X,X
IOSJTZL,O,O,X,X,X,X,X,X
IOSJLTZ,O,X,X,O,X,X,X,X
IOSJLZT,O,X,O,O,X,X,X,X
IOSJZTL,O,X,X,X,X,X,X,X
IOSJZLT,O,X,X,X,X,X,X,X
IOSZTLJ,O,X,X,X,X,X,X,X
IOSZTJL,O,X,X,X,X,X,X,X
IOSZLTJ,O,X,X,X,X,X,X,X
IOSZLJT,O,X,X,X,X,X,X,X
IOSZJTL,O,X,X,X,X,X,X,X
IOSZJLT,O,X,X,X,X,X,X,X
IOZTLJS,O,X,X,X,O,O,X,X
IOZTLSJ,O,X,X,X,O,O,X,X
IOZTJLS,O,X,X,X,O,O,X,X
IOZTJSL,O,X,X,X,O,O,X,X
IOZTSLJ,O,X,X,X,O,O,X,X
IOZTSJL,O,X,X,X,O,O,X,X
IOZLTJS,O,X,X,X,O,X,X,X
IOZLTSJ,O,X,X,X,O,X,X,X
IOZLJTS,O,X,X,X,O,X,X,X
IOZLJST,O,X,X,X,X,X,X,X
IOZLSTJ,O,X,X,X,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X,X
IOZJTLS,O,X,X,X,O,O,X,X
IOZJTSL,O,X,X,X,O,O,X,X
IOZJLTS,O,X,X,X,O,X,X,X
IOZJLST,O,X,X,X,X,X,X,X
IOZJSTL,O,X,X,X,X,O,X,X
IOZJSLT,O,X,X,X,X,X,X,X
IOZSTLJ,O,X,X,X,X,O,X,X
IOZSTJL,O,X,X,X,X,O,X,X
IOZSLTJ,O,X,X,X,X,X,X,X
IOZSLJT,O,X,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,O,X,X
IOZSJLT,O,X,X,X,X,X,X,X
LTIJSZO,O,O,O,X,X,X,X,X
LTIJSOZ,O,O,X,X,X,X,X,O
LTIJZSO,O,O,O,X,X,X,X,X
LTIJZOS,O,O,O,X,X,X,X,X
LTIJOSZ,O,O,X,O,X,X,X,X
LTIJOZS,O,O,X,X,O,O,X,X
LTISJZO,O,O,O,X,X,X,X,X
LTISJOZ,O,O,X,X,X,X,X,O
LTISZJO,X,O,O,X,X,X,X,X
LTISZOJ,X,O,O,X,X,X,X,X
LTISOJZ,X,O,X,X,X,X,X,X
LTISOZJ,X,O,X,X,X,X,X,X
LTIZJSO,O,O,O,X,X,X,X,X
LTIZJOS,O,O,O,X,X,X,X,X
LTIZSJO,O,O,O,X,X,X,X,X
LTIZSOJ,O,O,O,X,X,X,X,X
LTIZOJS,O,O,O,X,X,X,X,X
LTIZOSJ,O,O,O,X,X,X,X,X
LTIOJSZ,O,O,X,O,X,X,X,X
LTIOJZS,O,O,X,X,O,O,X,X
LTIOSJZ,O,O,X,O,X,X,X,X
LTIOSZJ,O,O,X,O,X,X,X,X
LTIOZJS,O,O,X,X,O,O,X,X
LTIOZSJ,O,O,X,X,O,O,X,X
LTJISZO,O,O,O,X,X,X,X,X
LTJISOZ,O,O,X,X,X,X,X,O
LTJIZSO,O,O,O,X,X,X,X,X
LTJIZOS,O,O,O,X,X,X,X,X
LTJIOSZ,O,O,X,O,X,X,X,X
LTJIOZS,O,O,X,X,O,O,X,X
LTJSIZO,O,O,O,X,X,X,X,X
LTJSIOZ,O,O,X,X,X,X,X,O
LTJSZIO,O,O,O,X,X,X,O,X
LTJSZOI,O,O,O,X,X,X,O,O
LTJSOIZ,O,O,X,O,X,X,X,O
LTJSOZI,O,O,X,O,O,X,X,O
LTJZISO,O,O,O,X,X,X,O,X
LTJZIOS,O,O,O,X,X,X,O,X
LTJZSIO,O,O,O,X,X,X,O,X
LTJZSOI,O,O,O,X,X,X,O,O
LTJZOIS,O,O,O,X,O,X,O,X
LTJZOSI,O,O,O,O,O,X,O,X
LTJOISZ,O,O,X,O,X,X,X,X
LTJOIZS,O,O,X,X,O,O,X,X
LTJOSIZ,O,O,X,O,X,X,X,O
LTJOSZI,O,O,X,O,O,X,X,O
LTJOZIS,O,O,X,X,O,O,X,X
LTJOZSI,O,O,X,O,O,O,X,X
LTSIJZO,O,O,O,X,X,X,X,X
LTSIJOZ,O,O,X,X,X,X,X,O
LTSIZJO,X,O,O,X,X,X,X,X
LTSIZOJ,X,O,O,X,X,X,X,X
LTSIOJZ,X,O,X,X,X,X,X,X
LTSIOZJ,X,O,X,X,X,X,X,X
LTSJIZO,O,O,O,X,X,X,X,X
LTSJIOZ,O,O,X,X,X,X,X,O
LTSJZIO,O,O,O,X,X,X,O,X
LTSJZOI,O,O,O,X,X,X,O,O
LTSJOIZ,O,O,X,O,X,X,X,O
LTSJOZI,O,O,X,O,O,X,X,O
LTSZIJO,O,O,O,X,X,X,O,X
LTSZIOJ,O,O,O,X,X,X,O,X
LTSZJIO,O,O,O,X,X,X,O,X
LTSZJOI,O,O,O,X,X,X,O,O
LTSZOIJ,O,X,X,X,X,X,O,X
LTSZOJI,O,O,O,X,X,X,O,X
LTSOIJZ,O,O,X,O,X,X,X,X
LTSOIZJ,O,O,X,O,X,X,X,X
LTSOJIZ,O,O,X,O,X,X,X,O
LTSOJZI,O,O,X,O,O,X,X,O
LTSOZIJ,O,X,X,O,O,X,X,X
LTSOZJI,O,O,X,O,O,X,X,X
LTZIJSO,O,O,O,X,X,X,O,X
LTZIJOS,O,O,O,X,X,X,O,X
LTZISJO,O,O,O,X,X,X,O,X
LTZISOJ,O,O,O,X,X,X,O,X
LTZIOJS,O,O,O,X,X,X,O,X
LTZIOSJ,O,O,O,X,X,X,O,X
LTZJISO,O,O,O,X,X,X,O,X
LTZJIOS,O,O,O,X,X,X,O,X
LTZJSIO,O,O,O,X,X,X,O,X
LTZJSOI,O,O,O,X,X,X,O,O
LTZJOIS,O,O,O,X,O,X,O,X
LTZJOSI,O,O,O,O,O,X,O,X
LTZSIJO,O,O,O,X,X,X,O,X
LTZSIOJ,O,O,O,X,X,X,O,X
LTZSJIO,O,O,O,X,X,X,O,X
LTZSJOI,O,O,O,X,X,X,O,O
LTZSOIJ,O,X,X,X,X,X,O,X
LTZSOJI,O,O,O,X,X,X,O,X
LTZOIJS,O,O,O,X,O,X,O,X
LTZOISJ,O,O,O,X,O,X,O,X
LTZOJIS,O,O,O,X,O,X,O,X
LTZOJSI,O,O,O,O,O,X,O,X
LTZOSIJ,O,X,X,O,O,X,O,X
LTZOSJI,O,O,O,O,O,X,O,X
LTOIJSZ,O,O,X,O,X,X,X,X
LTOIJZS,O,O,X,X,O,O,X,X
LTOISJZ,O,O,X,O,X,X,X,X
LTOISZJ,O,O,X,O,X,X,X,X
LTOIZJS,O,O,X,X,O,O,X,X
LTOIZSJ,O,O,X,X,O,O,X,X
LTOJISZ,O,O,X,O,X,X,X,X
LTOJIZS,O,O,X,X,O,O,X,X
LTOJSIZ,O,O,X,O,X,X,X,O
LTOJSZI,O,O,X,O,O,X,X,O
LTOJZIS,O,O,X,X,O,O,X,X
LTOJZSI,O,O,X,O,O,O,X,X
LTOSIJZ,O,O,X,O,X,X,X,X
LTOSIZJ,O,O,X,O,X,X,X,X
LTOSJIZ,O,O,X,O,X,X,X,O
LTOSJZI,O,O,X,O,O,X,X,O
LTOSZIJ,O,X,X,O,O,X,X,X
LTOSZJI,O,O,X,O,O,X,X,X
LTOZIJS,O,O,X,X,O,O,X,X
LTOZISJ,O,O,X,X,O,O,X,X
LTOZJIS,O,O,X,X,O,O,X,X
LTOZJSI,O,O,X,O,O,O,X,X
LTOZSIJ,O,X,X,O,O,O,X,X
LTOZSJI,O,O,X,O,O,O,X,X
LITJSZO,O,O,O,X,X,X,X,X
LITJSOZ,O,O,X,X,X,X,X,O
LITJZSO,O,O,O,X,X,X,X,X
LITJZOS,O,O,O,X,X,X,X,X
LITJOSZ,O,O,X,O,X,X,X,X
LITJOZS,O,O,X,X,O,X,X,X
LITSJZO,O,O,O,X,X,X,X,X
LITSJOZ,O,O,X,X,X,X,X,O
LITSZJO,X,O,O,X,X,X,X,X
LITSZOJ,X,O,O,X,X,X,X,X
LITSOJZ,X,O,X,X,X,X,X,X
LITSOZJ,X,O,X,X,X,X,X,X
LITZJSO,O,O,O,X,X,X,X,X
LITZJOS,O,O,O,X,X,X,X,X
LITZSJO,O,O,O,X,X,X,X,X
LITZSOJ,O,O,O,X,X,X,X,X
LITZOJS,O,O,O,X,X,X,X,X
LITZOSJ,O,O,O,X,X,X,X,X
LITOJSZ,O,O,X,O,X,X,X,X
LITOJZS,O,O,X,X,O,X,X,X
LITOSJZ,O,O,X,O,X,X,X,X
LITOSZJ,O,O,X,O,X,X,X,X
LITOZJS,O,O,X,X,O,X,X,X
LITOZSJ,O,O,X,X,O,X,X,X
LIJTSZO,O,O,O,X,X,X,X,X
LIJTSOZ,O,O,X,X,X,X,X,O
LIJTZSO,O,O,O,X,X,X,X,X
LIJTZOS,O,O,O,X,X,X,X,X
LIJTOSZ,O,O,X,O,X,X,X,X
LIJTOZS,O,O,X,X,O,X,X,X
LIJSTZO,O,O,O,X,X,X,X,X
LIJSTOZ,O,O,X,X,X,X,X,O
LIJSZTO,O,X,O,X,X,X,O,X
LIJSZOT,O,X,O,X,X,X,X,X
LIJSOTZ,O,X,X,O,X,X,X,X
LIJSOZT,O,X,O,O,X,X,X,X
LIJZTSO,O,X,O,X,X,X,O,X
LIJZTOS,O,X,O,X,X,X,O,X
LIJZSTO,O,X,O,X,X,X,O,X
LIJZSOT,O,X,O,X,X,X,X,X
LIJZOTS,O,X,O,X,X,X,X,X
LIJZOST,O,X,O,O,X,X,X,X
LIJOTSZ,O,X,X,O,X,X,X,X
LIJOTZS,O,X,X,X,O,X,X,X
LIJOSTZ,O,X,X,O,X,X,X,X
LIJOSZT,O,X,O,O,X,X,X,X
LIJOZTS,O,X,O,X,O,X,X,X
LIJOZST,O,X,O,O,X,X,X,X
LISTJZO,O,O,O,X,X,X,X,X
LISTJOZ,O,O,X,X,X,X,X,O
LISTZJO,X,O,O,X,X,X,X,X
LISTZOJ,X,O,O,X,X,X,X,X
LISTOJZ,X,O,X,X,X,X,X,X
LISTOZJ,X,O,X,X,X,X,X,X
LISJTZO,O,O,O,X,X,X,X,X
LISJTOZ,O,O,X,X,X,X,X,O
LISJZTO,O,X,O,X,X,X,O,X
LISJZOT,O,X,O,X,X,X,X,X
LISJOTZ,O,X,X,O,X,X,X,X
LISJOZT,O,X,O,O,X,X,X,X
LISZTJO,O,X,O,X,X,X,O,X
LISZTOJ,O,X,O,X,X,X,O,X
LISZJTO,O,X,O,X,X,X,O,X
LISZJOT,O,X,O,X,X,X,X,X
LISZOTJ,X,X,O,X,X,X,X,X
LISZOJT,O,X,O,X,X,X,X,X
LISOTJZ,O,X,X,O,X,X,X,X
LISOTZJ,O,X,X,O,X,X,X,X
LISOJTZ,O,X,X,O,X,X,X,X
LISOJZT,O,X,O,O,X,X,X,X
LISOZTJ,O,X,O,O,X,X,X,X
LISOZJT,O,X,O,O,X,X,X,X
LIZTJSO,O,X,O,X,X,X,O,X
LIZTJOS,O,X,O,X,X,X,O,X
LIZTSJO,O,X,O,X,X,X,O,X
LIZTSOJ,O,X,O,X,X,X,O,X
LIZTOJS,O,X,O,X,X,X,O,X
LIZTOSJ,O,X,O,X,X,X,O,X
LIZJTSO,O,X,O,X,X,X,O,X
LIZJTOS,O,X,O,X,X,X,O,X
LIZJSTO,O,X,O,X,X,X,O,X
LIZJSOT,O,X,O,X,X,X,X,X
LIZJOTS,O,X,O,X,X,X,X,X
LIZJOST,O,X,O,O,X,X,X,X
LIZSTJO,O,X,O,X,X,X,O,X
LIZSTOJ,O,X,O,X,X,X,O,X
LIZSJTO,O,X,O,X,X,X,O,X
LIZSJOT,O,X,O,X,X,X,X,X
LIZSOTJ,X,X,O,X,X,X,X,X
LIZSOJT,O,X,O,X,X,X,X,X
LIZOTJS,O,X,O,X,X,X,X,X
LIZOTSJ,O,X,O,X,X,X,X,X
LIZOJTS,O,X,O,X,X,X,X,X
LIZOJST,O,X,O,O,X,X,X,X
LIZOSTJ,O,X,O,O,X,X,X,X
LIZOSJT,O,X,O,O,X,X,X,X
LIOTJSZ,O,X,X,O,X,X,X,X
LIOTJZS,O,X,X,X,O,X,X,X
LIOTSJZ,O,X,X,O,X,X,X,X
LIOTSZJ,O,X,X,O,X,X,X,X
LIOTZJS,O,X,X,X,O,X,X,X
LIOTZSJ,O,X,X,X,O,X,X,X
LIOJTSZ,O,X,X,O,X,X,X,X
LIOJTZS,O,X,X,X,O,X,X,X
LIOJSTZ,O,X,X,O,X,X,X,X
LIOJSZT,O,X,O,O,X,X,X,X
LIOJZTS,O,X,O,X,O,X,X,X
LIOJZST,O,X,O,O,X,X,X,X
LIOSTJZ,O,X,X,O,X,X,X,X
LIOSTZJ,O,X,X,O,X,X,X,X
LIOSJTZ,O,X,X,O,X,X,X,X
LIOSJZT,O,X,O,O,X,X,X,X
LIOSZTJ,O,X,O,O,X,X,X,X
LIOSZJT,O,X,O,O,X,X,X,X
LIOZTJS,O,X,O,X,O,X,X,X
LIOZTSJ,O,X,O,X,O,X,X,X
