sequence,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?BOhB8hB5iBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B2hB5iB3hBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B5iBXmB8mBOrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhE2g?B5iBXmB8mBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhEFc?B5iBOrB/qB8rB
STZOJIL,O,X,X,X,X
STZOJLI,O,X,X,X,X
STOILJZ,X,O,X,X,X
STOILZJ,O,X,O,X,X
STOIJLZ,X,O,X,X,X
STOIJZL,X,X,X,X,X
STOIZLJ,O,X,X,X,X
STOIZJL,O,X,X,X,X
STOLIJZ,X,O,X,X,X
STOLIZJ,O,X,O,X,X
STOLJIZ,X,O,X,X,X
STOLJZI,X,X,X,X,X
STOLZIJ,O,X,X,X,X
STOLZJI,O,X,X,X,X
STOJILZ,X,O,X,X,X
STOJIZL,X,X,X,X,X
STOJLIZ,X,O,X,X,X
STOJLZI,X,X,X,X,X
STOJZIL,X,X,X,X,X
STOJZLI,X,X,X,X,X
STOZILJ,O,X,X,X,X
STOZIJL,O,X,X,X,X
STOZLIJ,O,X,X,X,X
STOZLJI,O,X,X,X,X
STOZJIL,O,X,X,X,X
STOZJLI,O,X,X,X,X
SITLJZO,X,X,X,O,X
SITLJOZ,X,O,X,X,X
SITLZJO,O,X,O,O,X
SITLZOJ,O,X,O,X,X
SITLOJZ,X,O,X,X,X
SITLOZJ,O,X,O,X,X
SITJLZO,X,X,X,O,X
SITJLOZ,X,O,X,X,X
SITJZLO,X,X,X,X,X
SITJZOL,X,X,X,X,X
SITJOLZ,X,O,X,X,X
SITJOZL,X,X,X,X,X
SITZLJO,O,X,X,X,X
SITZLOJ,O,X,X,X,X
SITZJLO,O,X,X,X,X
SITZJOL,O,X,X,X,X
SITZOLJ,O,X,X,X,X
SITZOJL,O,X,X,X,X
SITOLJZ,X,O,X,X,X
SITOLZJ,O,X,O,X,X
SITOJLZ,X,O,X,X,X
SITOJZL,X,X,X,X,X
SITOZLJ,O,X,X,X,X
SITOZJL,O,X,X,X,X
SILTJZO,X,X,X,O,X
SILTJOZ,X,O,X,X,X
SILTZJO,O,X,O,O,X
SILTZOJ,O,X,O,X,X
SILTOJZ,X,O,X,X,X
SILTOZJ,O,X,O,X,X
SILJTZO,X,X,X,O,O
SILJTOZ,X,X,X,X,X
SILJZTO,X,X,O,O,O
SILJZOT,X,X,O,O,O
SILJOTZ,X,O,X,X,X
SILJOZT,X,O,O,O,O
SILZTJO,X,X,O,O,X
SILZTOJ,X,X,O,X,X
SILZJTO,X,X,O,O,X
SILZJOT,O,X,O,O,X
SILZOTJ,X,X,O,X,X
SILZOJT,O,X,O,O,X
SILOTJZ,X,O,X,X,X
SILOTZJ,O,X,O,X,X
SILOJTZ,X,O,X,X,X
SILOJZT,X,O,O,O,X
SILOZTJ,X,X,O,X,X
SILOZJT,O,X,O,O,X
SIJTLZO,X,X,X,O,X
SIJTLOZ,X,X,X,X,X
SIJTZLO,X,X,X,X,X
SIJTZOL,X,X,X,X,X
SIJTOLZ,X,X,X,X,X
SIJTOZL,X,X,X,X,X
SIJLTZO,X,X,X,O,O
SIJLTOZ,X,X,X,X,X
SIJLZTO,X,X,O,O,O
SIJLZOT,X,X,O,O,O
SIJLOTZ,X,O,X,X,X
SIJLOZT,X,O,O,O,O
SIJZTLO,X,X,X,X,X
SIJZTOL,X,X,X,X,X
SIJZLTO,X,X,X,O,X
SIJZLOT,X,X,X,O,X
SIJZOTL,X,X,X,X,X
SIJZOLT,X,X,X,X,X
SIJOTLZ,X,X,X,X,X
SIJOTZL,X,X,X,X,X
SIJOLTZ,X,O,X,X,X
SIJOLZT,X,O,O,O,X
SIJOZTL,X,X,X,X,X
SIJOZLT,X,X,X,X,X
SIZTLJO,X,X,X,X,X
SIZTLOJ,X,X,X,X,X
SIZTJLO,X,X,X,X,X
SIZTJOL,X,X,X,X,X
SIZTOLJ,X,X,X,X,X
SIZTOJL,X,X,X,X,X
SIZLTJO,X,X,O,O,X
SIZLTOJ,X,X,O,X,X
SIZLJTO,X,X,O,O,X
SIZLJOT,O,X,O,O,X
SIZLOTJ,X,X,O,X,X
SIZLOJT,O,X,O,O,X
SIZJTLO,X,X,X,X,X
SIZJTOL,X,X,X,X,X
SIZJLTO,X,X,X,O,X
SIZJLOT,O,X,X,O,X
SIZJOTL,X,X,X,X,X
SIZJOLT,O,X,X,X,X
SIZOTLJ,X,X,X,X,X
SIZOTJL,X,X,X,X,X
SIZOLTJ,X,X,O,X,X
SIZOLJT,O,X,O,X,X
SIZOJTL,X,X,X,X,X
SIZOJLT,O,X,X,X,X
SIOTLJZ,X,O,X,X,X
SIOTLZJ,O,X,O,X,X
SIOTJLZ,X,O,X,X,X
SIOTJZL,X,X,X,X,X
SIOTZLJ,O,X,X,X,X
SIOTZJL,O,X,X,X,X
SIOLTJZ,X,O,X,X,X
SIOLTZJ,O,X,O,X,X
SIOLJTZ,X,O,X,X,X
SIOLJZT,X,O,O,O,X
SIOLZTJ,X,X,O,X,X
SIOLZJT,O,X,O,O,X
SIOJTLZ,X,X,X,X,X
SIOJTZL,X,X,X,X,X
SIOJLTZ,X,O,X,X,X
SIOJLZT,X,O,O,O,X
SIOJZTL,X,X,X,X,X
SIOJZLT,X,X,X,X,X
SIOZTLJ,X,X,X,X,X
SIOZTJL,X,X,X,X,X
SIOZLTJ,X,X,O,X,X
SIOZLJT,O,X,O,X,X
SIOZJTL,X,X,X,X,X
SIOZJLT,O,X,X,X,X
SLTIJZO,X,X,X,O,X
SLTIJOZ,X,O,X,X,X
SLTIZJO,O,X,O,O,X
SLTIZOJ,O,X,O,X,X
SLTIOJZ,X,O,X,X,X
SLTIOZJ,O,X,O,X,X
SLTJIZO,X,X,X,O,X
SLTJIOZ,X,O,X,X,X
SLTJZIO,X,X,X,X,X
SLTJZOI,X,X,X,X,X
SLTJOIZ,X,O,X,X,X
SLTJOZI,X,X,X,X,X
SLTZIJO,O,X,X,X,X
SLTZIOJ,O,X,X,X,X
SLTZJIO,O,X,X,X,X
SLTZJOI,O,X,X,X,X
SLTZOIJ,O,X,X,X,X
SLTZOJI,O,X,X,X,X
SLTOIJZ,X,O,X,X,X
SLTOIZJ,O,X,O,X,X
SLTOJIZ,X,O,X,X,X
SLTOJZI,X,X,X,X,X
SLTOZIJ,O,X,X,X,X
SLTOZJI,O,X,X,X,X
SLITJZO,X,X,X,O,X
SLITJOZ,X,O,X,X,X
SLITZJO,O,X,O,O,X
SLITZOJ,O,X,O,X,X
SLITOJZ,X,O,X,X,X
SLITOZJ,O,X,O,X,X
SLIJTZO,X,X,X,O,O
SLIJTOZ,X,X,X,X,X
SLIJZTO,X,X,O,O,O
SLIJZOT,X,X,O,O,O
SLIJOTZ,X,O,X,X,X
SLIJOZT,X,O,O,O,O
SLIZTJO,X,X,O,O,X
SLIZTOJ,X,X,O,X,X
SLIZJTO,X,X,O,O,X
SLIZJOT,O,X,O,O,X
SLIZOTJ,X,X,O,X,X
SLIZOJT,O,X,O,O,X
SLIOTJZ,X,O,X,X,X
SLIOTZJ,O,X,O,X,X
SLIOJTZ,X,O,X,X,X
SLIOJZT,X,O,O,O,X
SLIOZTJ,X,X,O,X,X
SLIOZJT,O,X,O,O,X
SLJTIZO,X,X,X,O,X
SLJTIOZ,X,X,X,X,X
SLJTZIO,X,X,X,X,X
SLJTZOI,X,X,X,X,X
SLJTOIZ,X,X,X,X,X
SLJTOZI,X,X,X,X,X
SLJITZO,X,X,X,O,O
SLJITOZ,X,X,X,X,X
SLJIZTO,X,X,O,O,O
SLJIZOT,X,X,O,O,O
SLJIOTZ,X,O,X,X,X
SLJIOZT,X,O,O,O,O
SLJZTIO,X,X,X,X,X
SLJZTOI,X,X,X,X,X
SLJZITO,X,X,X,O,X
SLJZIOT,X,X,X,O,X
SLJZOTI,X,X,X,X,X
SLJZOIT,X,X,X,X,X
SLJOTIZ,X,X,X,X,X
SLJOTZI,X,X,X,X,X
SLJOITZ,X,O,X,X,X
SLJOIZT,X,O,O,O,X
SLJOZTI,X,X,X,X,X
SLJOZIT,X,X,X,X,X
SLZTIJO,X,X,X,X,X
SLZTIOJ,X,X,X,X,X
SLZTJIO,X,X,X,X,X
SLZTJOI,X,X,X,X,X
SLZTOIJ,X,X,X,X,X
SLZTOJI,X,X,X,X,X
SLZITJO,X,X,O,O,X
SLZITOJ,X,X,O,X,X
SLZIJTO,X,X,O,O,X
SLZIJOT,O,X,O,O,X
SLZIOTJ,X,X,O,X,X
SLZIOJT,O,X,O,O,X
SLZJTIO,X,X,X,X,X
SLZJTOI,X,X,X,X,X
SLZJITO,X,X,X,O,X
SLZJIOT,O,X,X,O,X
SLZJOTI,X,X,X,X,X
SLZJOIT,O,X,X,X,X
SLZOTIJ,X,X,X,X,X
SLZOTJI,X,X,X,X,X
SLZOITJ,X,X,O,X,X
SLZOIJT,O,X,O,X,X
SLZOJTI,X,X,X,X,X
SLZOJIT,O,X,X,X,X
SLOTIJZ,X,O,X,X,X
SLOTIZJ,O,X,O,X,X
SLOTJIZ,X,O,X,X,X
SLOTJZI,X,X,X,X,X
SLOTZIJ,O,X,X,X,X
SLOTZJI,O,X,X,X,X
SLOITJZ,X,O,X,X,X
SLOITZJ,O,X,O,X,X
SLOIJTZ,X,O,X,X,X
SLOIJZT,X,O,O,O,X
SLOIZTJ,X,X,O,X,X
SLOIZJT,O,X,O,O,X
SLOJTIZ,X,X,X,X,X
SLOJTZI,X,X,X,X,X
SLOJITZ,X,O,X,X,X
SLOJIZT,X,O,O,O,X
SLOJZTI,X,X,X,X,X
SLOJZIT,X,X,X,X,X
SLOZTIJ,X,X,X,X,X
SLOZTJI,X,X,X,X,X
SLOZITJ,X,X,O,X,X
SLOZIJT,O,X,O,X,X
SLOZJTI,X,X,X,X,X
SLOZJIT,O,X,X,X,X
SJTILZO,X,X,X,O,X
SJTILOZ,X,X,X,X,X
SJTIZLO,X,X,X,X,X
SJTIZOL,X,X,X,X,X
SJTIOLZ,X,X,X,X,X
SJTIOZL,X,X,X,X,X
SJTLIZO,X,X,X,O,X
SJTLIOZ,X,X,X,X,X
SJTLZIO,X,X,X,X,X
SJTLZOI,X,X,X,X,X
SJTLOIZ,X,X,X,X,X
SJTLOZI,X,X,X,X,X
SJTZILO,X,X,X,X,X
SJTZIOL,X,X,X,X,X
SJTZLIO,X,X,X,X,X
SJTZLOI,X,X,X,X,X
SJTZOIL,X,X,X,X,X
SJTZOLI,X,X,X,X,X
SJTOILZ,X,X,X,X,X
SJTOIZL,X,X,X,X,X
SJTOLIZ,X,X,X,X,X
SJTOLZI,X,X,X,X,X
SJTOZIL,X,X,X,X,X
SJTOZLI,X,X,X,X,X
SJITLZO,X,X,X,O,X
SJITLOZ,X,X,X,X,X
SJITZLO,X,X,X,X,X
SJITZOL,X,X,X,X,X
SJITOLZ,X,X,X,X,X
SJITOZL,X,X,X,X,X
SJILTZO,X,X,X,O,O
SJILTOZ,X,X,X,X,X
SJILZTO,X,X,O,O,O
SJILZOT,X,X,O,O,O
SJILOTZ,X,O,X,X,X
SJILOZT,X,O,O,O,O
SJIZTLO,X,X,X,X,X
SJIZTOL,X,X,X,X,X
SJIZLTO,X,X,X,O,X
SJIZLOT,X,X,X,O,X
SJIZOTL,X,X,X,X,X
SJIZOLT,X,X,X,X,X
SJIOTLZ,X,X,X,X,X
SJIOTZL,X,X,X,X,X
SJIOLTZ,X,O,X,X,X
SJIOLZT,X,O,O,O,X
SJIOZTL,X,X,X,X,X
SJIOZLT,X,X,X,X,X
SJLTIZO,X,X,X,O,X
SJLTIOZ,X,X,X,X,X
SJLTZIO,X,X,X,X,X
SJLTZOI,X,X,X,X,X
SJLTOIZ,X,X,X,X,X
SJLTOZI,X,X,X,X,X
SJLITZO,X,X,X,O,O
SJLITOZ,X,X,X,X,X
SJLIZTO,X,X,O,O,O
SJLIZOT,X,X,O,O,O
SJLIOTZ,X,O,X,X,X
SJLIOZT,X,O,O,O,O
SJLZTIO,X,X,X,X,X
SJLZTOI,X,X,X,X,X
SJLZITO,X,X,X,O,X
SJLZIOT,X,X,X,O,X
SJLZOTI,X,X,X,X,X
SJLZOIT,X,X,X,X,X
SJLOTIZ,X,X,X,X,X
SJLOTZI,X,X,X,X,X
SJLOITZ,X,O,X,X,X
SJLOIZT,X,O,O,O,X
SJLOZTI,X,X,X,X,X
SJLOZIT,X,X,X,X,X
SJZTILO,X,X,X,X,X
SJZTIOL,X,X,X,X,X
SJZTLIO,X,X,X,X,X
SJZTLOI,X,X,X,X,X
SJZTOIL,X,X,X,X,X
SJZTOLI,X,X,X,X,X
SJZITLO,X,X,X,X,X
SJZITOL,X,X,X,X,X
SJZILTO,X,X,X,O,X
SJZILOT,X,X,X,O,X
SJZIOTL,X,X,X,X,X
SJZIOLT,X,X,X,X,X
SJZLTIO,X,X,X,X,X
SJZLTOI,X,X,X,X,X
SJZLITO,X,X,X,O,X
SJZLIOT,X,X,X,O,X
SJZLOTI,X,X,X,X,X
SJZLOIT,X,X,X,X,X
SJZOTIL,X,X,X,X,X
SJZOTLI,X,X,X,X,X
SJZOITL,X,X,X,X,X
SJZOILT,X,X,X,X,X
SJZOLTI,X,X,X,X,X
SJZOLIT,X,X,X,X,X
SJOTILZ,X,X,X,X,X
SJOTIZL,X,X,X,X,X
SJOTLIZ,X,X,X,X,X
SJOTLZI,X,X,X,X,X
SJOTZIL,X,X,X,X,X
SJOTZLI,X,X,X,X,X
SJOITLZ,X,X,X,X,X
SJOITZL,X,X,X,X,X
SJOILTZ,X,O,X,X,X
SJOILZT,X,O,O,O,X
SJOIZTL,X,X,X,X,X
SJOIZLT,X,X,X,X,X
SJOLTIZ,X,X,X,X,X
SJOLTZI,X,X,X,X,X
SJOLITZ,X,O,X,X,X
SJOLIZT,X,O,O,O,X
SJOLZTI,X,X,X,X,X
SJOLZIT,X,X,X,X,X
SJOZTIL,X,X,X,X,X
SJOZTLI,X,X,X,X,X
SJOZITL,X,X,X,X,X
SJOZILT,X,X,X,X,X
SJOZLTI,X,X,X,X,X
SJOZLIT,X,X,X,X,X
SZTILJO,X,X,X,X,X
SZTILOJ,X,X,X,X,X
SZTIJLO,X,X,X,X,X
SZTIJOL,X,X,X,X,X
SZTIOLJ,X,X,X,X,X
SZTIOJL,X,X,X,X,X
SZTLIJO,X,X,X,X,X
SZTLIOJ,X,X,X,X,X
SZTLJIO,X,X,X,X,X
SZTLJOI,X,X,X,X,X
SZTLOIJ,X,X,X,X,X
SZTLOJI,X,X,X,X,X
SZTJILO,X,X,X,X,X
SZTJIOL,X,X,X,X,X
SZTJLIO,X,X,X,X,X
SZTJLOI,X,X,X,X,X
SZTJOIL,X,X,X,X,X
SZTJOLI,X,X,X,X,X
SZTOILJ,X,X,X,X,X
SZTOIJL,X,X,X,X,X
SZTOLIJ,X,X,X,X,X
SZTOLJI,X,X,X,X,X
SZTOJIL,X,X,X,X,X
SZTOJLI,X,X,X,X,X
SZITLJO,X,X,X,X,X
SZITLOJ,X,X,X,X,X
SZITJLO,X,X,X,X,X
SZITJOL,X,X,X,X,X
SZITOLJ,X,X,X,X,X
SZITOJL,X,X,X,X,X
SZILTJO,X,X,O,O,X
SZILTOJ,X,X,O,X,X
SZILJTO,X,X,O,O,X
SZILJOT,O,X,O,O,X
SZILOTJ,X,X,O,X,X
SZILOJT,O,X,O,O,X
SZIJTLO,X,X,X,X,X
SZIJTOL,X,X,X,X,X
SZIJLTO,X,X,X,O,X
SZIJLOT,O,X,X,O,X
SZIJOTL,X,X,X,X,X
SZIJOLT,O,X,X,X,X
SZIOTLJ,X,X,X,X,X
SZIOTJL,X,X,X,X,X
SZIOLTJ,X,X,O,X,X
SZIOLJT,O,X,O,X,X
SZIOJTL,X,X,X,X,X
SZIOJLT,O,X,X,X,X
SZLTIJO,X,X,X,X,X
SZLTIOJ,X,X,X,X,X
SZLTJIO,X,X,X,X,X
SZLTJOI,X,X,X,X,X
SZLTOIJ,X,X,X,X,X
SZLTOJI,X,X,X,X,X
SZLITJO,X,X,O,O,X
SZLITOJ,X,X,O,X,X
SZLIJTO,X,X,O,O,X
SZLIJOT,O,X,O,O,X
SZLIOTJ,X,X,O,X,X
SZLIOJT,O,X,O,O,X
SZLJTIO,X,X,X,X,X
SZLJTOI,X,X,X,X,X
SZLJITO,X,X,X,O,X
SZLJIOT,O,X,X,O,X
SZLJOTI,X,X,X,X,X
SZLJOIT,O,X,X,X,X
SZLOTIJ,X,X,X,X,X
SZLOTJI,X,X,X,X,X
SZLOITJ,X,X,O,X,X
SZLOIJT,O,X,O,X,X
SZLOJTI,X,X,X,X,X
SZLOJIT,O,X,X,X,X
SZJTILO,X,X,X,X,X
SZJTIOL,X,X,X,X,X
SZJTLIO,X,X,X,X,X
SZJTLOI,X,X,X,X,X
SZJTOIL,X,X,X,X,X
SZJTOLI,X,X,X,X,X
SZJITLO,X,X,X,X,X
SZJITOL,X,X,X,X,X
SZJILTO,X,X,X,O,X
SZJILOT,O,X,X,O,X
SZJIOTL,X,X,X,X,X
SZJIOLT,O,X,X,X,X
SZJLTIO,X,X,X,X,X
SZJLTOI,X,X,X,X,X
SZJLITO,X,X,X,O,X
SZJLIOT,O,X,X,O,X
SZJLOTI,X,X,X,X,X
SZJLOIT,O,X,X,X,X
SZJOTIL,X,X,X,X,X
SZJOTLI,X,X,X,X,X
SZJOITL,X,X,X,X,X
SZJOILT,O,X,X,X,X
SZJOLTI,X,X,X,X,X
SZJOLIT,O,X,X,X,X
SZOTILJ,X,X,X,X,X
SZOTIJL,X,X,X,X,X
SZOTLIJ,X,X,X,X,X
SZOTLJI,X,X,X,X,X
SZOTJIL,X,X,X,X,X
SZOTJLI,X,X,X,X,X
SZOITLJ,X,X,X,X,X
SZOITJL,X,X,X,X,X
SZOILTJ,X,X,O,X,X
SZOILJT,O,X,O,X,X
SZOIJTL,X,X,X,X,X
SZOIJLT,O,X,X,X,X
SZOLTIJ,X,X,X,X,X
SZOLTJI,X,X,X,X,X
SZOLITJ,X,X,O,X,X
SZOLIJT,O,X,O,X,X
SZOLJTI,X,X,X,X,X
SZOLJIT,O,X,X,X,X
SZOJTIL,X,X,X,X,X
SZOJTLI,X,X,X,X,X
SZOJITL,X,X,X,X,X
SZOJILT,O,X,X,X,X
SZOJLTI,X,X,X,X,X
SZOJLIT,O,X,X,X,X
SOTILJZ,X,O,X,X,X
SOTILZJ,O,X,O,X,X
SOTIJLZ,X,O,X,X,X
SOTIJZL,X,X,X,X,X
SOTIZLJ,O,X,X,X,X
SOTIZJL,O,X,X,X,X
SOTLIJZ,X,O,X,X,X
SOTLIZJ,O,X,O,X,X
SOTLJIZ,X,O,X,X,X
SOTLJZI,X,X,X,X,X
SOTLZIJ,O,X,X,X,X
SOTLZJI,O,X,X,X,X
SOTJILZ,X,O,X,X,X
SOTJIZL,X,X,X,X,X
SOTJLIZ,X,O,X,X,X
SOTJLZI,X,X,X,X,X
SOTJZIL,X,X,X,X,X
SOTJZLI,X,X,X,X,X
SOTZILJ,O,X,X,X,X
SOTZIJL,O,X,X,X,X
SOTZLIJ,O,X,X,X,X
SOTZLJI,O,X,X,X,X
SOTZJIL,O,X,X,X,X
SOTZJLI,O,X,X,X,X
SOITLJZ,X,O,X,X,X
SOITLZJ,O,X,O,X,X
SOITJLZ,X,O,X,X,X
SOITJZL,X,X,X,X,X
SOITZLJ,O,X,X,X,X
SOITZJL,O,X,X,X,X
SOILTJZ,X,O,X,X,X
SOILTZJ,O,X,O,X,X
SOILJTZ,X,O,X,X,X
SOILJZT,X,O,O,O,X
SOILZTJ,X,X,O,X,X
SOILZJT,O,X,O,O,X
SOIJTLZ,X,X,X,X,X
SOIJTZL,X,X,X,X,X
SOIJLTZ,X,O,X,X,X
SOIJLZT,X,O,O,O,X
SOIJZTL,X,X,X,X,X
SOIJZLT,X,X,X,X,X
SOIZTLJ,X,X,X,X,X
SOIZTJL,X,X,X,X,X
SOIZLTJ,X,X,O,X,X
SOIZLJT,O,X,O,X,X
SOIZJTL,X,X,X,X,X
SOIZJLT,O,X,X,X,X
SOLTIJZ,X,O,X,X,X
SOLTIZJ,O,X,O,X,X
SOLTJIZ,X,O,X,X,X
SOLTJZI,X,X,X,X,X
SOLTZIJ,O,X,X,X,X
SOLTZJI,O,X,X,X,X
SOLITJZ,X,O,X,X,X
SOLITZJ,O,X,O,X,X
SOLIJTZ,X,O,X,X,X
SOLIJZT,X,O,O,O,X
SOLIZTJ,X,X,O,X,X
SOLIZJT,O,X,O,O,X
SOLJTIZ,X,X,X,X,X
SOLJTZI,X,X,X,X,X
SOLJITZ,X,O,X,X,X
SOLJIZT,X,O,O,O,X
SOLJZTI,X,X,X,X,X
SOLJZIT,X,X,X,X,X
SOLZTIJ,X,X,X,X,X
SOLZTJI,X,X,X,X,X
SOLZITJ,X,X,O,X,X
SOLZIJT,O,X,O,X,X
SOLZJTI,X,X,X,X,X
SOLZJIT,O,X,X,X,X
SOJTILZ,X,X,X,X,X
SOJTIZL,X,X,X,X,X
SOJTLIZ,X,X,X,X,X
SOJTLZI,X,X,X,X,X
SOJTZIL,X,X,X,X,X
SOJTZLI,X,X,X,X,X
SOJITLZ,X,X,X,X,X
SOJITZL,X,X,X,X,X
SOJILTZ,X,O,X,X,X
SOJILZT,X,O,O,O,X
SOJIZTL,X,X,X,X,X
SOJIZLT,X,X,X,X,X
SOJLTIZ,X,X,X,X,X
SOJLTZI,X,X,X,X,X
SOJLITZ,X,O,X,X,X
SOJLIZT,X,O,O,O,X
SOJLZTI,X,X,X,X,X
SOJLZIT,X,X,X,X,X
SOJZTIL,X,X,X,X,X
SOJZTLI,X,X,X,X,X
SOJZITL,X,X,X,X,X
SOJZILT,X,X,X,X,X
SOJZLTI,X,X,X,X,X
SOJZLIT,X,X,X,X,X
SOZTILJ,X,X,X,X,X
SOZTIJL,X,X,X,X,X
SOZTLIJ,X,X,X,X,X
SOZTLJI,X,X,X,X,X
SOZTJIL,X,X,X,X,X
SOZTJLI,X,X,X,X,X
SOZITLJ,X,X,X,X,X
SOZITJL,X,X,X,X,X
SOZILTJ,X,X,O,X,X
SOZILJT,O,X,O,X,X
SOZIJTL,X,X,X,X,X
SOZIJLT,O,X,X,X,X
SOZLTIJ,X,X,X,X,X
SOZLTJI,X,X,X,X,X
SOZLITJ,X,X,O,X,X
SOZLIJT,O,X,O,X,X
SOZLJTI,X,X,X,X,X
SOZLJIT,O,X,X,X,X
SOZJTIL,X,X,X,X,X
SOZJTLI,X,X,X,X,X
SOZJITL,X,X,X,X,X
SOZJILT,O,X,X,X,X
SOZJLTI,X,X,X,X,X
SOZJLIT,O,X,X,X,X
ZTILJSO,O,X,X,X,X
ZTILJOS,O,O,X,X,X
ZTILSJO,O,X,X,X,X
ZTILSOJ,O,X,X,X,X
ZTILOJS,O,O,X,X,X
ZTILOSJ,O,X,X,X,X
ZTIJLSO,O,X,X,X,X
ZTIJLOS,O,O,X,X,X
ZTIJSLO,O,X,X,X,X
ZTIJSOL,O,X,X,X,X
ZTIJOLS,O,O,X,X,X
ZTIJOSL,O,X,X,X,X
ZTISLJO,O,X,X,X,X
ZTISLOJ,O,X,X,X,X
ZTISJLO,O,X,X,X,X
ZTISJOL,O,X,X,X,X
ZTISOLJ,O,X,X,X,X
ZTISOJL,O,X,X,X,X
ZTIOLJS,O,O,X,X,X
ZTIOLSJ,O,X,X,X,X
ZTIOJLS,O,O,X,X,X
ZTIOJSL,O,X,X,X,X
ZTIOSLJ,O,X,X,X,X
ZTIOSJL,O,X,X,X,X
ZTLIJSO,O,X,X,X,X
ZTLIJOS,O,O,X,X,X
ZTLISJO,O,X,X,X,X
ZTLISOJ,O,X,X,X,X
ZTLIOJS,O,O,X,X,X
ZTLIOSJ,O,X,X,X,X
ZTLJISO,O,X,X,X,X
ZTLJIOS,O,O,X,X,X
ZTLJSIO,O,X,X,X,X
ZTLJSOI,O,X,X,X,X
ZTLJOIS,O,O,X,X,X
ZTLJOSI,O,X,X,X,X
ZTLSIJO,O,X,X,X,X
ZTLSIOJ,O,X,X,X,X
ZTLSJIO,O,X,X,X,X
ZTLSJOI,O,X,X,X,X
ZTLSOIJ,O,X,X,X,X
ZTLSOJI,O,X,X,X,X
ZTLOIJS,O,O,X,X,X
ZTLOISJ,O,X,X,X,X
ZTLOJIS,O,O,X,X,X
ZTLOJSI,O,X,X,X,X
ZTLOSIJ,O,X,X,X,X
ZTLOSJI,O,X,X,X,X
ZTJILSO,O,X,X,X,X
ZTJILOS,O,O,X,X,X
ZTJISLO,O,X,X,X,X
ZTJISOL,O,X,X,X,X
ZTJIOLS,O,O,X,X,X
ZTJIOSL,O,X,X,X,X
ZTJLISO,O,X,X,X,X
ZTJLIOS,O,O,X,X,X
ZTJLSIO,O,X,X,X,X
ZTJLSOI,O,X,X,X,X
ZTJLOIS,O,O,X,X,X
ZTJLOSI,O,X,X,X,X
ZTJSILO,O,X,X,X,X
ZTJSIOL,O,X,X,X,X
ZTJSLIO,O,X,X,X,X
ZTJSLOI,O,X,X,X,X
ZTJSOIL,O,X,X,X,X
ZTJSOLI,O,X,X,X,X
ZTJOILS,O,O,X,X,X
ZTJOISL,O,X,X,X,X
ZTJOLIS,O,O,X,X,X
ZTJOLSI,O,X,X,X,X
ZTJOSIL,O,X,X,X,X
ZTJOSLI,O,X,X,X,X
ZTSILJO,O,X,X,X,X
ZTSILOJ,O,X,X,X,X
ZTSIJLO,O,X,X,X,X
ZTSIJOL,O,X,X,X,X
ZTSIOLJ,O,X,X,X,X
ZTSIOJL,O,X,X,X,X
ZTSLIJO,O,X,X,X,X
ZTSLIOJ,O,X,X,X,X
ZTSLJIO,O,X,X,X,X
ZTSLJOI,O,X,X,X,X
ZTSLOIJ,O,X,X,X,X
ZTSLOJI,O,X,X,X,X
ZTSJILO,O,X,X,X,X
ZTSJIOL,O,X,X,X,X
ZTSJLIO,O,X,X,X,X
ZTSJLOI,O,X,X,X,X
ZTSJOIL,O,X,X,X,X
ZTSJOLI,O,X,X,X,X
ZTSOILJ,O,X,X,X,X
ZTSOIJL,O,X,X,X,X
ZTSOLIJ,O,X,X,X,X
ZTSOLJI,O,X,X,X,X
ZTSOJIL,O,X,X,X,X
ZTSOJLI,O,X,X,X,X
ZTOILJS,O,O,X,X,X
ZTOILSJ,O,X,X,X,X
ZTOIJLS,O,O,X,X,X
ZTOIJSL,O,X,X,X,X
ZTOISLJ,O,X,X,X,X
ZTOISJL,O,X,X,X,X
ZTOLIJS,O,O,X,X,X
ZTOLISJ,O,X,X,X,X
ZTOLJIS,O,O,X,X,X
ZTOLJSI,O,X,X,X,X
ZTOLSIJ,O,X,X,X,X
ZTOLSJI,O,X,X,X,X
ZTOJILS,O,O,X,X,X
ZTOJISL,O,X,X,X,X
ZTOJLIS,O,O,X,X,X
ZTOJLSI,O,X,X,X,X
ZTOJSIL,O,X,X,X,X
ZTOJSLI,O,X,X,X,X
ZTOSILJ,O,X,X,X,X
ZTOSIJL,O,X,X,X,X
ZTOSLIJ,O,X,X,X,X
ZTOSLJI,O,X,X,X,X
ZTOSJIL,O,X,X,X,X
ZTOSJLI,O,X,X,X,X
ZITLJSO,O,X,X,X,X
ZITLJOS,O,O,X,X,X
ZITLSJO,O,X,X,X,X
ZITLSOJ,O,X,X,X,X
ZITLOJS,O,O,X,X,X
ZITLOSJ,O,X,X,X,X
ZITJLSO,O,X,X,X,X
ZITJLOS,O,O,X,X,X
