sequence,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?BOhB8hB5iBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B2hB5iB3hBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B5iBXmB8mBOrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhE2g?B5iBXmB8mBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhEFc?B5iBOrB/qB8rB
TZISLOJ,O,X,X,X,X
TZISJLO,O,X,X,X,X
TZISJOL,O,X,X,X,X
TZISOLJ,O,X,X,X,X
TZISOJL,O,X,X,X,X
TZIOLJS,O,O,X,X,X
TZIOLSJ,O,X,X,X,X
TZIOJLS,O,O,X,X,X
TZIOJSL,O,X,X,X,X
TZIOSLJ,O,X,X,X,X
TZIOSJL,O,X,X,X,X
TZLIJSO,O,X,X,X,X
TZLIJOS,O,O,X,X,X
TZLISJO,O,X,X,X,X
TZLISOJ,O,X,X,X,X
TZLIOJS,O,O,X,X,X
TZLIOSJ,O,X,X,X,X
TZLJISO,O,X,X,X,X
TZLJIOS,O,O,X,X,X
TZLJSIO,O,X,X,X,X
TZLJSOI,O,X,X,X,X
TZLJOIS,O,O,X,X,X
TZLJOSI,O,X,X,X,X
TZLSIJO,O,X,X,X,X
TZLSIOJ,O,X,X,X,X
TZLSJIO,O,X,X,X,X
TZLSJOI,O,X,X,X,X
TZLSOIJ,O,X,X,X,X
TZLSOJI,O,X,X,X,X
TZLOIJS,O,O,X,X,X
TZLOISJ,O,X,X,X,X
TZLOJIS,O,O,X,X,X
TZLOJSI,O,X,X,X,X
TZLOSIJ,O,X,X,X,X
TZLOSJI,O,X,X,X,X
TZJILSO,O,X,X,X,X
TZJILOS,O,O,X,X,X
TZJISLO,O,X,X,X,X
TZJISOL,O,X,X,X,X
TZJIOLS,O,O,X,X,X
TZJIOSL,O,X,X,X,X
TZJLISO,O,X,X,X,X
TZJLIOS,O,O,X,X,X
TZJLSIO,O,X,X,X,X
TZJLSOI,O,X,X,X,X
TZJLOIS,O,O,X,X,X
TZJLOSI,O,X,X,X,X
TZJSILO,O,X,X,X,X
TZJSIOL,O,X,X,X,X
TZJSLIO,O,X,X,X,X
TZJSLOI,O,X,X,X,X
TZJSOIL,O,X,X,X,X
TZJSOLI,O,X,X,X,X
TZJOILS,O,O,X,X,X
TZJOISL,O,X,X,X,X
TZJOLIS,O,O,X,X,X
TZJOLSI,O,X,X,X,X
TZJOSIL,O,X,X,X,X
TZJOSLI,O,X,X,X,X
TZSILJO,O,X,X,X,X
TZSILOJ,O,X,X,X,X
TZSIJLO,O,X,X,X,X
TZSIJOL,O,X,X,X,X
TZSIOLJ,O,X,X,X,X
TZSIOJL,O,X,X,X,X
TZSLIJO,O,X,X,X,X
TZSLIOJ,O,X,X,X,X
TZSLJIO,O,X,X,X,X
TZSLJOI,O,X,X,X,X
TZSLOIJ,O,X,X,X,X
TZSLOJI,O,X,X,X,X
TZSJILO,O,X,X,X,X
TZSJIOL,O,X,X,X,X
TZSJLIO,O,X,X,X,X
TZSJLOI,O,X,X,X,X
TZSJOIL,O,X,X,X,X
TZSJOLI,O,X,X,X,X
TZSOILJ,O,X,X,X,X
TZSOIJL,O,X,X,X,X
TZSOLIJ,O,X,X,X,X
TZSOLJI,O,X,X,X,X
TZSOJIL,O,X,X,X,X
TZSOJLI,O,X,X,X,X
TZOILJS,O,O,X,X,X
TZOILSJ,O,X,X,X,X
TZOIJLS,O,O,X,X,X
TZOIJSL,O,X,X,X,X
TZOISLJ,O,X,X,X,X
TZOISJL,O,X,X,X,X
TZOLIJS,O,O,X,X,X
TZOLISJ,O,X,X,X,X
TZOLJIS,O,O,X,X,X
TZOLJSI,O,X,X,X,X
TZOLSIJ,O,X,X,X,X
TZOLSJI,O,X,X,X,X
TZOJILS,O,O,X,X,X
TZOJISL,O,X,X,X,X
