sequence,v115@IhA8HeB8AeD8CeG8AeB8Je3BJvhEicB+oBMlBzaBJa?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEJaBilBshBXcBza?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEJaBalB3hBsgBzV?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEThBPdBqNBMlBJa?B,v115@IhA8HeB8AeD8CeG8AeB8JeJ6IvhEuaBUhBvnBToBSj?B,v115@IhA8HeB8AeD8CeG8AeB8JeTIJvhEvnBUhBuaBJaBKL?B
TZOILJS,X,O,X,X,X,O
TZOILSJ,X,O,X,X,X,O
TZOIJLS,X,O,X,X,X,O
TZOIJSL,O,X,X,O,O,O
TZOISLJ,O,X,X,O,O,O
TZOISJL,O,X,X,O,O,O
TZOLIJS,X,O,X,X,X,X
TZOLISJ,X,O,X,X,X,X
TZOLJIS,X,O,X,X,X,X
TZOLJSI,X,O,X,X,X,X
TZOLSIJ,X,O,X,X,X,X
TZOLSJI,X,O,X,X,X,X
TZOJILS,X,O,X,X,X,O
TZOJISL,O,X,X,O,O,O
TZOJLIS,X,O,X,X,X,X
TZOJLSI,X,O,X,X,X,X
TZOJSIL,O,X,X,O,O,O
TZOJSLI,O,X,X,O,O,X
TZOSILJ,O,X,X,O,O,O
TZOSIJL,O,X,X,O,O,O
TZOSLIJ,O,X,X,O,O,X
TZOSLJI,O,X,X,O,O,X
TZOSJIL,O,X,X,O,O,O
TZOSJLI,O,X,X,O,O,X
TOILJSZ,X,O,X,X,X,O
TOILJZS,X,O,X,X,X,O
TOILSJZ,X,O,X,X,X,O
TOILSZJ,X,O,X,X,X,O
TOILZJS,X,O,X,X,X,O
TOILZSJ,X,O,X,X,X,O
TOIJLSZ,X,O,X,X,X,O
TOIJLZS,X,O,X,X,X,O
TOIJSLZ,X,X,X,O,O,O
TOIJSZL,X,X,X,O,O,O
TOIJZLS,X,O,X,X,X,O
TOIJZSL,X,X,X,O,O,O
TOISLJZ,X,X,X,O,O,O
TOISLZJ,X,X,X,O,O,O
TOISJLZ,X,X,X,O,O,O
TOISJZL,X,X,X,O,O,O
TOISZLJ,X,X,X,O,O,O
TOISZJL,X,X,X,O,O,O
TOIZLJS,X,O,X,X,X,O
TOIZLSJ,X,O,X,X,X,O
TOIZJLS,X,O,X,X,X,O
TOIZJSL,X,X,X,O,O,O
TOIZSLJ,X,X,X,O,O,O
TOIZSJL,X,X,X,O,O,O
TOLIJSZ,X,O,X,X,X,X
TOLIJZS,X,O,X,X,X,X
TOLISJZ,X,O,X,X,X,X
TOLISZJ,X,O,X,X,X,X
TOLIZJS,X,O,X,X,X,X
TOLIZSJ,X,O,X,X,X,X
TOLJISZ,X,O,X,X,X,X
TOLJIZS,X,O,X,X,X,X
TOLJSIZ,X,O,X,X,X,X
TOLJSZI,X,O,X,X,X,X
TOLJZIS,X,O,X,X,X,X
