sequence,v115@pgB8HeA8IeC8GeC8DeA8BeC8AeJ8AeE8Je0BJvhEXW?BxQBmiB6jBTYB,v115@pgB8HeA8IeC8GeC8DeA8BeC8AeJ8AeE8Je0BJvhEXW?BxQBTjBKdBWeB,v115@pgB8HeA8IeC8GeC8DeA8BeC8AeJ8AeE8Je0BJvhEXW?BpeBmiBzYBiLB
OSJTZLI,O,O,O
OSJITLZ,O,O,O
OSJITZL,O,O,O
OSJILTZ,O,O,O
OSJILZT,O,O,O
OSJIZTL,O,O,O
OSJIZLT,O,O,O
OSJLTIZ,O,O,O
OSJLTZI,O,O,O
OSJLITZ,O,O,O
OSJLIZT,O,O,O
OSJLZTI,O,O,O
OSJLZIT,O,O,O
OSJZTIL,O,O,O
OSJZTLI,O,O,O
OSJZITL,O,O,O
OSJZILT,O,O,O
OSJZLTI,O,O,O
OSJZLIT,O,O,O
OSZTILJ,X,O,X
OSZTIJL,X,O,X
OSZTLIJ,X,O,X
OSZTLJI,X,O,X
OSZTJIL,X,O,X
OSZTJLI,X,O,X
OSZITLJ,X,O,X
OSZITJL,X,O,X
OSZILTJ,X,O,X
OSZILJT,X,O,O
OSZIJTL,O,O,O
OSZIJLT,O,O,O
OSZLTIJ,X,O,X
OSZLTJI,X,O,X
OSZLITJ,X,O,X
OSZLIJT,X,O,O
OSZLJTI,X,O,O
OSZLJIT,X,O,O
OSZJTIL,O,O,O
OSZJTLI,O,O,O
OSZJITL,O,O,O
OSZJILT,O,O,O
OSZJLTI,O,O,O
OSZJLIT,O,O,O
OZTILJS,X,O,X
OZTILSJ,X,O,X
OZTIJLS,X,O,X
OZTIJSL,X,O,X
OZTISLJ,X,O,X
OZTISJL,X,O,X
OZTLIJS,X,O,X
OZTLISJ,X,O,X
OZTLJIS,X,O,X
OZTLJSI,X,O,X
OZTLSIJ,X,O,X
OZTLSJI,X,O,X
OZTJILS,X,O,X
OZTJISL,X,O,X
OZTJLIS,X,O,X
OZTJLSI,X,O,X
OZTJSIL,X,O,X
OZTJSLI,X,O,X
OZTSILJ,X,O,X
OZTSIJL,X,O,X
OZTSLIJ,X,O,X
OZTSLJI,X,O,X
OZTSJIL,X,O,X
OZTSJLI,X,O,X
OZITLJS,X,O,X
OZITLSJ,X,O,X
OZITJLS,X,O,X
OZITJSL,X,O,X
OZITSLJ,X,O,X
OZITSJL,X,O,X
OZILTJS,X,O,X
OZILTSJ,X,O,X
OZILJTS,X,O,O
OZILJST,X,O,O
OZILSTJ,X,O,X
OZILSJT,X,O,O
OZIJTLS,O,O,O
OZIJTSL,O,O,O
OZIJLTS,O,O,O
OZIJLST,O,O,O
OZIJSTL,O,O,O
OZIJSLT,O,O,O
OZISTLJ,X,O,X
OZISTJL,X,O,X
OZISLTJ,X,O,X
OZISLJT,X,O,O
OZISJTL,O,O,O
OZISJLT,O,O,O
OZLTIJS,X,O,X
OZLTISJ,X,O,X
OZLTJIS,X,O,X
OZLTJSI,X,O,X
OZLTSIJ,X,O,X
OZLTSJI,X,O,X
OZLITJS,X,O,X
OZLITSJ,X,O,X
OZLIJTS,X,O,O
OZLIJST,X,O,O
OZLISTJ,X,O,X
OZLISJT,X,O,O
OZLJTIS,X,O,O
OZLJTSI,X,O,O
OZLJITS,X,O,O
OZLJIST,X,O,O
OZLJSTI,X,O,O
OZLJSIT,X,O,O
OZLSTIJ,X,O,X
OZLSTJI,X,O,X
OZLSITJ,X,O,X
OZLSIJT,X,O,O
OZLSJTI,X,O,O
OZLSJIT,X,O,O
OZJTILS,O,O,O
OZJTISL,O,O,O
OZJTLIS,O,O,O
OZJTLSI,O,O,O
OZJTSIL,O,O,O
OZJTSLI,O,O,O
OZJITLS,O,O,O
OZJITSL,O,O,O
OZJILTS,O,O,O
OZJILST,O,O,O
OZJISTL,O,O,O
OZJISLT,O,O,O
OZJLTIS,O,O,O
OZJLTSI,O,O,O
OZJLITS,O,O,O
OZJLIST,O,O,O
OZJLSTI,O,O,O
OZJLSIT,O,O,O
OZJSTIL,O,O,O
OZJSTLI,O,O,O
OZJSITL,O,O,O
OZJSILT,O,O,O
OZJSLTI,O,O,O
OZJSLIT,O,O,O
OZSTILJ,X,O,X
OZSTIJL,X,O,X
OZSTLIJ,X,O,X
OZSTLJI,X,O,X
OZSTJIL,X,O,X
OZSTJLI,X,O,X
OZSITLJ,X,O,X
OZSITJL,X,O,X
OZSILTJ,X,O,X
OZSILJT,X,O,O
OZSIJTL,O,O,O
OZSIJLT,O,O,O
OZSLTIJ,X,O,X
OZSLTJI,X,O,X
OZSLITJ,X,O,X
OZSLIJT,X,O,O
OZSLJTI,X,O,O
OZSLJIT,X,O,O
OZSJTIL,O,O,O
OZSJTLI,O,O,O
OZSJITL,O,O,O
OZSJILT,O,O,O
OZSJLTI,O,O,O
OZSJLIT,O,O,O
