sequence,v115@FhF8BeG8CeH8AeE8JeT6IvhE2gBRcBCeB3hBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhEibBWiBxdBUhBFrB,v115@FhF8BeG8CeH8AeE8Je2/IvhERbBzcBCeBUhBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbB8hBCeBmgBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhEFcBxdBOrB/qBCsB,v115@FhF8BeG8CeH8AeE8JeT6IvhERcBCeBOrB/qBlrB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbBCeBOrB8rBlqB,v115@FhF8BeG8CeH8AeE8JeT6IvhEFcBCeBOrB/qB8rB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbB8hBCeBVrBmqB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbBCeBXmB8mBmqB,v115@FhF8BeG8CeH8AeE8JeT6IvhE2gBxdBXmBCnBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhE2gBCeBXmB8mBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhE8hBCeBZmB/qBGrB,v115@FhF8BeG8CeH8AeE8JeT6IvhExdBmgBCiBllBcrB
IZJSLTO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSLOT,X,O,O,O,O,X,X,X,X,X,X,X,O,X
IZJSOTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSOLT,X,O,O,O,O,X,X,X,X,X,X,X,O,X
IZJOTLS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJOTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IZJOLST,X,O,O,O,O,X,X,X,X,X,X,X,O,O
IZJOSTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJOSLT,X,O,O,O,O,X,X,X,X,X,X,X,O,X
IZSTLJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSTJLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSTOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSLJTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,O,O,O,X,X,X,X,X,X,O,X,O,X
IZSLOTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSLOJT,X,O,O,O,X,X,X,X,X,X,O,X,O,X
IZSJTLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,X,O,O,O,X,X,X,X,X,X,O,X,O,X
IZSJOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,O,O,O,X,X,X,X,X,X,O,X,O,X
IZSOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSOLJT,X,O,O,O,X,X,X,X,X,X,O,X,O,X
IZSOJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,O,O,X,X,X,X,X,X,X,O,X,O,X
IZOTLJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZOTJLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZOTSJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLJTS,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IZOLJST,X,O,O,O,X,X,X,X,X,X,X,X,O,O
IZOLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLSJT,X,O,O,O,X,X,X,X,X,X,X,X,O,X
IZOJTLS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IZOJLST,X,O,O,O,O,X,X,X,X,X,X,X,O,O
IZOJSTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOJSLT,X,O,O,O,O,X,X,X,X,X,X,X,O,X
IZOSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOSLJT,X,O,O,O,X,X,X,X,X,X,O,X,O,X
IZOSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,O,O,X,X,X,X,X,X,X,O,X,O,X
IOTLJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,O,O,X,O,X,X,X,X,X,X,X,X,X,O
IOTLSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOTLZSJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
IOTJLSZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJLZS,O,O,X,O,X,X,X,X,X,X,X,X,X,O
IOTJSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJSZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJZLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOTSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOTZLSJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
IOTZJLS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOTZJSL,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOTZSLJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
IOTZSJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,O,X,O,X,X,X,X,X,X,X,X,X,O
IOLTSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
IOLTZSJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
IOLJTSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJTZS,X,O,O,X,X,X,O,X,X,X,X,X,X,O
IOLJSTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJSZT,O,O,O,X,O,O,X,O,X,X,X,X,X,O
IOLJZTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
IOLJZST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
IOLSTJZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLSTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLSJZT,O,O,X,X,X,X,X,X,X,X,O,O,X,O
IOLSZTJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOLSZJT,O,X,X,X,X,X,X,X,X,O,O,O,O,X
IOLZTJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLZJTS,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IOLZJST,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IOLZSTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLZSJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IOJTLSZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJTLZS,X,O,O,X,X,X,O,X,X,X,X,X,X,O
IOJTSLZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJTSZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJTZLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLTZS,X,O,O,X,X,X,O,X,X,X,X,X,X,O
IOJLSTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLSZT,O,O,O,X,O,O,X,O,X,X,X,X,X,O
IOJLZTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
IOJLZST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
IOJSTLZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
IOJSTZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X
IOJSLZT,O,O,O,X,O,O,X,O,X,X,O,X,X,O
IOJSZTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOJSZLT,O,X,X,X,O,O,X,O,X,X,O,X,X,X
IOJZTLS,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IOJZTSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJZLTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
IOJZLST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
IOJZSTL,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOJZSLT,X,O,X,O,O,X,O,O,X,X,X,X,O,X
IOSTLJZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOSTLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IOSTJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSLTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSLJZT,O,O,X,X,X,X,X,X,X,X,O,O,X,O
IOSLZTJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOSLZJT,O,X,X,X,X,X,X,X,X,O,O,O,O,X
IOSJTLZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOSJTZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOSJLZT,O,O,X,X,O,X,X,X,X,X,O,O,X,O
IOSJZTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJZLT,O,X,X,X,O,X,X,X,X,X,O,O,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IOSZLJT,O,O,X,X,X,X,X,X,X,O,O,O,O,X
IOSZJTL,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZJLT,O,O,X,X,X,X,X,X,X,O,O,O,O,X
IOZTLJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOZTJLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOZTSJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZLJTS,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IOZLJST,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IOZLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZLSJT,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IOZJTLS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IOZJLST,X,O,X,O,O,X,X,X,X,X,X,X,O,O
IOZJSTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZJSLT,X,O,X,O,O,X,X,X,X,X,X,X,O,X
IOZSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZSLJT,X,O,X,O,X,X,X,X,X,X,O,X,O,X
IOZSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,O,X,X,X,X,X,X,X,X,O,X,O,X
LTIJSZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTIJZSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIJZOS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTIJOZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
LTISJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJSO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTIZJOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTIZSJO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTIZSOJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
LTIZOJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTIZOSJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
LTIOJSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
LTIOSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTIOZSJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
LTJISZO,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJISOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJIZSO,X,X,O,O,X,X,O,X,X,X,X,X,X,X
LTJIZOS,O,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJIOSZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJIOZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
LTJSIZO,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJSZIO,O,X,O,O,X,O,O,O,X,X,X,X,X,X
LTJSZOI,O,X,O,O,X,O,O,O,X,X,X,X,X,X
LTJSOIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJSOZI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
LTJZISO,X,O,O,O,X,X,O,X,O,X,X,X,X,X
LTJZIOS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
LTJZSIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
LTJZSOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
LTJZOIS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
LTJZOSI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
LTJOISZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJOIZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
LTJOSIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJOSZI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
LTJOZIS,O,O,O,O,X,X,O,X,O,X,X,X,X,O
LTJOZSI,O,O,O,O,X,O,O,O,O,X,X,X,X,O
LTSIJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X
LTSJOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,X,X,O,X,X,X,X,X,X,X,O,X,X
LTSZIJO,O,O,O,O,X,X,X,X,O,O,X,X,X,X
LTSZIOJ,O,O,O,O,X,X,X,X,O,O,X,X,X,X
LTSZJIO,O,O,O,O,X,X,X,X,O,O,X,X,X,X
LTSZJOI,O,O,O,O,X,X,X,X,O,O,X,O,X,X
LTSZOIJ,O,O,O,O,X,X,X,X,O,O,X,X,X,X
LTSZOJI,O,O,O,O,X,X,X,X,O,O,X,O,X,X
LTSOIJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOJZI,O,X,X,O,X,X,X,X,X,X,X,O,X,X
LTSOZIJ,O,O,X,O,X,X,X,X,O,O,X,X,X,X
LTSOZJI,O,O,X,O,X,X,X,X,O,O,X,O,X,X
LTZIJSO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZIJOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZISJO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZISOJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
LTZIOJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZIOSJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
LTZJISO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZJIOS,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZJSIO,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZJSOI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZJOIS,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZJOSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZSIJO,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZSIOJ,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZSJIO,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZSJOI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZSOIJ,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZSOJI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZOIJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZOISJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
LTZOJIS,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZOJSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZOSIJ,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZOSJI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOIJSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOIJZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
LTOISJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOISZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTOIZSJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
LTOJISZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTOJIZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
LTOJSIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LTOJSZI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
LTOJZIS,O,O,O,O,X,X,O,X,O,X,X,X,X,O
LTOJZSI,O,O,O,O,X,O,O,O,O,X,X,X,X,O
LTOSIJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOSJZI,O,X,X,O,X,X,X,X,X,X,X,O,X,X
LTOSZIJ,O,O,X,O,X,X,X,X,O,O,X,X,X,X
LTOSZJI,O,O,X,O,X,X,X,X,O,O,X,O,X,X
LTOZIJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOZISJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
LTOZJIS,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOZJSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOZSIJ,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOZSJI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LITJSZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LITJSOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LITJZSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LITJZOS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LITJOSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LITJOZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
LITSJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITSZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITSOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITZJSO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LITZJOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LITZSJO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LITZSOJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
LITZOJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LITZOSJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
LITOJSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LITOJZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
LITOSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITOZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LITOZSJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
LIJTSZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LIJTSOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LIJTZSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIJTZOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIJTOSZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LIJTOZS,X,O,O,X,X,X,O,X,X,X,X,X,X,O
LIJSTZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LIJSTOZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LIJSZTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LIJSZOT,O,X,O,X,O,O,X,O,X,X,X,X,X,X
LIJSOTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJSOZT,O,O,O,X,O,O,X,O,X,X,X,X,X,O
LIJZTSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LIJZTOS,X,X,O,O,X,X,O,X,X,X,X,X,X,X
LIJZSTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LIJZSOT,X,X,O,O,O,X,O,O,X,X,X,X,O,X
LIJZOTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
LIJZOST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
LIJOTSZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LIJOTZS,X,O,O,X,X,X,O,X,X,X,X,X,X,O
LIJOSTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJOSZT,O,O,O,X,O,O,X,O,X,X,X,X,X,O
LIJOZTS,X,O,O,O,X,X,O,X,X,X,X,X,X,O
LIJOZST,O,O,O,O,O,X,O,O,X,X,X,X,O,O
LISTJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LISTJOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LISTZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LISTZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LISTOJZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LISTOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LISJTZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LISJTOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LISJZTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LISJZOT,O,X,X,X,X,X,X,X,X,X,O,O,X,X
LISJOTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LISJOZT,O,O,X,X,X,X,X,X,X,X,O,O,X,O
LISZTJO,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LISZTOJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LISZJTO,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LISZJOT,O,X,X,X,X,X,X,X,X,O,O,O,O,X
LISZOTJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LISZOJT,O,X,X,X,X,X,X,X,X,O,O,O,O,X
LISOTJZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LISOTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LISOJTZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LISOJZT,O,O,X,X,X,X,X,X,X,X,O,O,X,O
LISOZTJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LISOZJT,O,X,X,X,X,X,X,X,X,O,O,O,O,X
