sequence,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeW2IvhFxR?ByXBTbB0hBXhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezwIvhFXS?B8XBibBWhBRmBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeCxIvhFmS?BTWBxgB0hBXhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8Jef2IvhFmR?BzSBxgBqgB0hBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8Jef2IvhF6W?BZXBucB0gBzhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeCxIvhFOX?B8XBTWBRmB/qBFrB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezwIvhFRS?BWcB/gB0hBihBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeCxIvhFmS?BxbBTbB0hBXhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeR2IvhF3X?BTbB0hBGgBihBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeZ3IvhFzS?BGWB/gBqhB8qBFqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezwIvhFOX?B8XB/gB1mByqB5lB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezyIvhFRW?BFWBqhB3lBmlB8qB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeRxIvhFzS?BFWBqhB3lBmlB8qB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezyIvhFxb?BfbB+lB0hBamBlqB
IZLOSTJ,X,O,O,X,X,X,X,O,X,O,X,X,X,X
IZLOSJT,O,O,O,X,X,O,X,O,X,O,X,O,X,X
IZJTLSO,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZJTLOS,O,O,O,X,X,X,X,O,X,X,X,X,X,X
IZJTSLO,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IZJTSOL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZJTOLS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IZJTOSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IZJLTOS,O,X,O,X,X,X,X,O,X,O,X,X,X,X
IZJLSTO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJLSOT,O,X,O,X,O,O,X,O,X,O,X,X,X,X
IZJLOTS,O,X,O,X,X,X,X,O,X,O,X,X,X,X
IZJLOST,O,X,O,X,X,O,X,O,X,O,X,X,X,X
IZJSTLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJSTOL,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSLTO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJSLOT,O,X,O,X,O,O,X,O,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZJSOLT,X,X,O,X,O,O,X,O,O,X,X,X,X,X
IZJOTLS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IZJOTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IZJOLST,O,X,O,X,X,O,X,O,X,X,X,X,X,X
IZJOSTL,X,X,O,X,X,O,X,O,X,X,X,X,X,X
IZJOSLT,X,X,O,X,O,O,X,O,X,X,X,X,X,X
IZSTLJO,X,O,X,O,O,O,X,X,X,X,X,X,X,X
IZSTLOJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IZSTJLO,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZSTJOL,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IZSTOLJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IZSTOJL,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IZSLTJO,X,X,O,X,O,O,X,O,X,O,X,X,X,X
IZSLTOJ,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSLJTO,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IZSLJOT,X,X,O,X,O,O,X,O,X,O,X,X,X,X
IZSLOTJ,X,O,X,X,X,O,X,X,O,O,X,X,X,X
IZSLOJT,X,O,X,X,O,O,X,X,O,O,X,X,X,X
IZSJTLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSJLTO,X,X,X,X,O,O,O,X,X,O,X,X,X,X
IZSJLOT,X,X,O,X,O,O,O,O,X,O,X,X,X,X
IZSJOTL,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IZSJOLT,X,X,O,X,O,O,O,O,O,X,X,X,X,X
IZSOTLJ,X,O,O,O,X,O,X,O,O,X,X,X,X,X
IZSOTJL,X,O,O,O,X,O,X,O,O,X,X,X,X,X
IZSOLTJ,X,O,O,X,X,O,X,O,O,X,X,X,X,X
IZSOLJT,X,O,O,X,O,O,X,O,O,X,X,X,X,X
IZSOJTL,X,X,O,X,X,O,O,O,O,X,X,X,X,X
IZSOJLT,X,X,O,X,O,O,O,O,O,X,X,X,X,X
IZOTLJS,X,O,O,O,X,X,X,O,X,X,X,X,X,X
IZOTLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,O,O,O,X,X,X,O,X,X,X,X,X,X
IZOTJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,O,O,O,X,X,X,O,O,X,O,X,X,X
IZOTSJL,X,O,O,O,X,X,X,O,O,X,X,X,X,X
IZOLTJS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IZOLTSJ,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOLJTS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
IZOLJST,O,O,O,X,X,O,X,O,X,O,X,X,X,X
IZOLSTJ,X,O,O,X,X,X,X,O,O,O,X,X,X,X
IZOLSJT,O,O,O,X,X,O,X,O,O,O,X,O,X,X
IZOJTLS,O,O,O,X,X,X,X,O,X,X,X,X,X,X
IZOJTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IZOJLST,O,X,O,X,X,O,X,O,X,X,X,X,X,X
IZOJSTL,X,X,O,X,X,O,X,O,O,X,X,X,X,X
IZOJSLT,O,X,O,X,O,O,X,O,O,X,X,X,X,X
IZOSTLJ,O,O,O,O,X,O,X,O,O,X,X,X,X,X
IZOSTJL,O,O,O,O,X,O,X,O,O,X,X,X,X,X
IZOSLTJ,O,O,O,X,X,O,X,O,O,X,X,X,X,X
IZOSLJT,O,O,O,X,O,O,X,O,O,X,X,O,X,X
IZOSJTL,O,X,O,X,X,O,O,O,O,X,X,X,X,X
IZOSJLT,O,X,O,X,O,O,O,O,O,X,X,X,X,X
IOTLJSZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTLJZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,O,O,X,O,X,X,X,X,X,O,X,X
IOTLSZJ,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOTLZJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJZLS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,O,O,X,X,X,X,X,X,O,O,X,X
IOTSLZJ,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IOTSJLZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X
IOTSJZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOTSZLJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X
IOTSZJL,X,O,O,O,X,X,O,X,O,X,X,X,X,X
IOTZLJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTZJLS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IOTZSJL,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IOLTJSZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,O,O,X,O,X,X,X,X,X,O,X,X
IOLTSZJ,X,O,O,O,X,O,X,X,X,X,X,X,X,X
IOLTZJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLJSZT,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOLJZTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X
IOLSTZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOLSJZT,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IOLSZTJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOLSZJT,X,X,O,X,X,O,X,X,O,X,X,O,X,X
IOLZTJS,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IOLZTSJ,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOLZJTS,O,O,O,X,X,X,X,X,X,O,X,X,X,X
IOLZJST,O,O,O,X,X,O,X,X,X,O,X,X,X,X
IOLZSTJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IOLZSJT,X,O,O,X,X,O,X,X,X,O,X,O,X,X
IOJTLSZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJTSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTZLS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJTZSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJLSZT,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJLZTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJSLZT,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJSZTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSZLT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJZTLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IOJZLTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IOJZSTL,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOJZSLT,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IOSTLJZ,X,X,X,O,X,O,X,X,X,X,O,O,X,X
IOSTLZJ,X,O,X,O,X,O,X,X,O,X,O,X,X,X
IOSTJLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSTJZL,X,X,X,O,X,O,X,X,O,X,X,X,X,X
IOSTZLJ,X,O,X,O,X,O,X,X,O,X,O,X,X,X
IOSTZJL,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IOSLTJZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X
IOSLTZJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOSLJZT,X,X,O,X,X,O,X,X,X,X,X,O,O,X
IOSLZTJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSLZJT,X,X,O,X,X,O,X,X,O,X,X,O,X,X
IOSJTLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOSJLZT,X,X,O,X,X,O,O,X,X,X,X,O,X,X
IOSJZTL,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IOSJZLT,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IOSZTLJ,X,O,O,O,X,O,X,X,O,X,X,X,X,X
IOSZTJL,X,O,O,O,X,O,X,X,O,X,X,X,X,X
IOSZLTJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOSZLJT,X,X,O,X,X,O,X,X,O,X,X,O,X,X
IOSZJTL,X,X,O,X,X,O,O,X,O,X,X,X,X,X
IOSZJLT,X,X,O,X,X,O,O,X,O,X,X,X,X,X
IOZTLJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZTJLS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X
IOZTSJL,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOZLTJS,O,O,O,X,X,X,X,X,X,O,X,X,X,X
IOZLTSJ,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOZLJTS,O,O,O,X,X,X,X,X,X,O,X,X,X,X
IOZLJST,O,O,O,X,X,O,X,X,X,O,X,X,X,X
IOZLSTJ,X,O,O,X,X,X,X,X,O,O,X,X,X,X
IOZLSJT,O,O,O,X,X,O,X,X,O,O,X,O,X,X
IOZJTLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOZJSTL,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOZJSLT,O,X,O,X,X,O,X,X,O,X,X,X,X,X
IOZSTLJ,O,O,O,O,X,O,X,X,O,X,X,X,X,X
IOZSTJL,O,O,O,O,X,O,X,X,O,X,X,X,X,X
IOZSLTJ,O,O,O,X,X,O,X,X,O,X,X,X,X,X
IOZSLJT,O,O,O,X,X,O,X,X,O,X,X,O,X,X
IOZSJTL,O,X,O,X,X,O,O,X,O,X,X,X,X,X
IOZSJLT,O,X,O,X,X,O,O,X,O,X,X,X,X,X
LTIJSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIJZSO,O,O,O,O,X,X,X,O,X,X,X,X,X,X
LTIJZOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
LTIJOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIJOZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTISJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTISJOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTISZJO,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTISZOJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
LTISOJZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTISOZJ,X,O,O,O,X,O,X,X,O,X,X,X,X,X
LTIZJSO,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTIZJOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
LTIZSJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTIZSOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTIZOJS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
LTIZOSJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTIOJZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X
LTIOSZJ,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTIOZJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJISZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJIZOS,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJIOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJIOZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSIZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTJSZOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZISO,O,O,O,X,O,X,X,O,X,X,X,X,X,X
LTJZIOS,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTJZSIO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTJZSOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJZOIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJZOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOZSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,O,X,O,O,X,X,X,X,X,X,O,X,X,X
LTSIJOZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X
LTSIZJO,X,X,O,O,O,X,X,X,X,X,O,X,X,X
LTSIZOJ,X,X,X,O,O,X,X,X,O,X,O,X,X,X
LTSIOJZ,X,X,O,O,X,X,X,X,X,X,O,O,X,X
LTSIOZJ,X,X,O,O,X,X,X,X,O,X,O,X,X,X
LTSJIZO,X,X,O,X,X,X,X,X,X,X,O,X,X,X
LTSJIOZ,X,X,O,O,X,X,O,X,X,X,O,O,X,X
LTSJZIO,X,X,X,X,O,X,O,O,X,X,O,X,O,X
LTSJZOI,O,X,X,X,O,X,O,X,X,X,O,X,O,X
LTSJOIZ,O,X,X,O,X,X,O,X,X,X,O,O,X,X
LTSJOZI,O,X,X,X,X,X,O,X,X,X,O,X,O,X
LTSZIJO,O,O,X,X,O,X,X,O,X,X,O,X,X,X
LTSZIOJ,X,O,X,X,O,X,X,X,O,X,O,X,X,X
LTSZJIO,X,X,X,X,O,X,O,O,X,X,O,X,X,X
LTSZJOI,O,O,X,X,O,X,O,X,X,X,O,X,X,X
LTSZOIJ,O,O,X,X,O,X,X,X,O,X,O,X,X,X
LTSZOJI,O,O,X,X,O,X,O,X,X,X,O,X,X,X
LTSOIJZ,O,X,X,O,X,X,X,X,X,X,O,O,X,X
LTSOIZJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X
LTSOJIZ,O,X,X,O,X,X,O,X,X,X,O,O,X,X
LTSOJZI,O,X,X,X,X,X,O,X,X,X,O,X,O,X
LTSOZIJ,X,O,X,X,O,X,X,X,X,X,O,X,X,X
LTSOZJI,X,O,X,X,O,X,O,X,X,X,O,X,X,X
LTZIJSO,O,O,O,X,O,O,X,O,X,X,X,X,X,X
LTZIJOS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
LTZISJO,O,O,O,X,O,O,X,O,X,O,X,X,X,X
LTZISOJ,X,O,X,X,O,X,X,X,O,O,X,X,X,X
LTZIOJS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
LTZIOSJ,O,O,O,X,X,X,X,O,X,O,X,X,X,X
LTZJISO,O,O,O,X,O,O,X,O,X,X,X,X,X,X
LTZJIOS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
LTZJSIO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTZJSOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZJOIS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
LTZJOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSIJO,O,O,X,X,O,X,X,O,X,O,O,X,X,X
LTZSIOJ,X,O,X,X,O,X,X,X,O,O,O,X,X,X
LTZSJIO,X,X,X,X,O,X,O,O,X,O,O,X,X,X
LTZSJOI,O,O,X,X,O,X,O,X,X,O,O,X,X,X
LTZSOIJ,O,O,X,X,O,X,X,X,O,O,O,X,X,X
LTZSOJI,O,O,X,X,O,X,O,X,X,O,O,X,X,X
LTZOIJS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
LTZOISJ,O,O,X,X,X,X,X,X,O,O,X,X,X,X
LTZOJIS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
LTZOJSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,O,X,X,X,X,X,X,O,O,O,X,X,X
LTZOSJI,O,O,X,X,X,X,O,X,X,O,O,X,X,X
LTOIJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOIJZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOISJZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X
LTOISZJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOIZJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOJISZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOJIZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJZIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTOJZSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,O,X,X,O,X,X,X,X,X,X,O,O,X,X
LTOSIZJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X
LTOSJIZ,O,X,X,O,X,X,O,X,X,X,O,O,X,X
LTOSJZI,O,X,X,X,X,X,O,X,X,X,O,X,O,X
LTOSZIJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTOSZJI,X,O,X,X,X,X,O,X,X,X,O,X,X,X
LTOZIJS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
LTOZISJ,O,O,X,X,X,X,X,X,O,O,X,X,X,X
LTOZJIS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
LTOZJSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,O,O,X,X,X,X,X,X,O,O,O,X,X,X
LTOZSJI,O,O,X,X,X,X,O,X,X,O,O,X,X,X
LITJSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LITJSOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LITJZSO,O,O,O,O,X,X,X,O,X,X,X,X,X,X
LITJZOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
LITJOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LITJOZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LITSJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LITSJOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LITSZJO,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LITSZOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LITSOJZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LITSOZJ,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LITZJSO,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LITZJOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
LITZSJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LITZSOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LITZOJS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
LITZOSJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LITOJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LITOJZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LITOSJZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X
LITOSZJ,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LITOZJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LITOZSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LIJTSZO,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LIJTSOZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LIJTZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LIJTZOS,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LIJTOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJTOZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJSTZO,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LIJSTOZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LIJSZTO,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJSZOT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LIJSOTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJSOZT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LIJZTSO,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LIJZTOS,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LIJZSTO,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJZSOT,O,X,O,X,X,O,X,O,X,X,X,X,X,X
LIJZOTS,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LIJZOST,O,X,O,X,X,O,X,O,X,X,X,X,X,X
LIJOTSZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJOTZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJOSTZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LIJOSZT,O,X,O,X,X,X,X,X,X,X,X,O,X,X
LIJOZTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJOZST,O,X,O,X,X,X,X,X,X,X,X,X,X,X
