sequence,v115@9gB8HeC8DeA8BeC8AeJ8AeE8JeK1IvhF6QBObBTjBp?UB0hB3dB,v115@9gB8HeC8DeA8BeC8AeJ8AeE8JeK9IvhFajBpeB0hBP?bBOVBTRB,v115@9gB8HeC8DeA8BeC8AeJ8AeE8JeK9IvhFajBpeB0hBX?UBTVBObB
LTOZLJSI,O,X,X
LTOZLSIJ,O,X,X
LTOZLSJI,O,X,X
LTOZJILS,O,X,O
LTOZJISL,O,X,O
LTOZJLIS,O,X,O
LTOZJLSI,O,X,X
LTOZJSIL,O,X,X
LTOZJSLI,O,X,X
LTOZSILJ,O,X,X
LTOZSIJL,O,X,X
LTOZSLIJ,O,X,X
LTOZSLJI,O,X,X
LTOZSJIL,O,X,X
LTOZSJLI,O,X,X
LITLJSZO,X,O,O
LITLJSOZ,X,O,O
LITLJZSO,X,O,O
LITLJZOS,X,X,O
LITLJOSZ,X,X,O
LITLJOZS,X,X,O
LITLSJZO,X,O,O
LITLSJOZ,X,O,O
LITLSZJO,X,O,O
LITLSZOJ,X,O,O
LITLSOJZ,X,O,O
LITLSOZJ,X,O,O
LITLZJSO,X,O,O
LITLZJOS,X,X,O
LITLZSJO,X,O,O
LITLZSOJ,X,O,O
LITLZOJS,X,X,O
LITLZOSJ,X,X,O
LITLOJSZ,X,X,O
LITLOJZS,X,X,O
LITLOSJZ,X,X,O
LITLOSZJ,X,X,O
LITLOZJS,X,X,O
LITLOZSJ,X,X,O
LITJLSZO,X,O,O
LITJLSOZ,X,O,O
LITJLZSO,X,O,O
LITJLZOS,X,X,O
LITJLOSZ,X,X,O
LITJLOZS,X,X,O
LITJSLZO,X,O,O
LITJSLOZ,X,O,O
LITJSZLO,X,O,O
LITJSZOL,X,O,O
LITJSOLZ,X,O,O
LITJSOZL,X,O,O
LITJZLSO,X,O,O
LITJZLOS,X,X,O
LITJZSLO,X,O,O
LITJZSOL,X,O,O
LITJZOLS,X,X,O
LITJZOSL,X,X,O
LITJOLSZ,X,X,O
LITJOLZS,X,X,O
LITJOSLZ,X,X,O
LITJOSZL,X,X,O
LITJOZLS,X,X,O
LITJOZSL,X,X,O
LITSLJZO,X,O,O
LITSLJOZ,X,O,O
LITSLZJO,X,O,O
LITSLZOJ,X,O,O
LITSLOJZ,X,O,O
LITSLOZJ,X,O,O
LITSJLZO,X,O,O
LITSJLOZ,X,O,O
LITSJZLO,X,O,O
LITSJZOL,X,O,O
LITSJOLZ,X,O,O
LITSJOZL,X,O,O
LITSZLJO,X,O,O
LITSZLOJ,X,O,O
LITSZJLO,X,O,O
LITSZJOL,X,O,O
LITSZOLJ,X,O,O
LITSZOJL,X,O,O
LITSOLJZ,X,O,O
LITSOLZJ,X,O,O
LITSOJLZ,X,O,O
LITSOJZL,X,O,O
LITSOZLJ,X,O,O
LITSOZJL,X,O,O
LITZLJSO,X,O,O
LITZLJOS,X,X,O
LITZLSJO,X,O,O
LITZLSOJ,X,O,O
LITZLOJS,X,X,O
LITZLOSJ,X,X,O
LITZJLSO,X,O,O
LITZJLOS,X,X,O
LITZJSLO,X,O,O
LITZJSOL,X,O,O
LITZJOLS,X,X,O
LITZJOSL,X,X,O
LITZSLJO,X,O,O
LITZSLOJ,X,O,O
LITZSJLO,X,O,O
LITZSJOL,X,O,O
LITZSOLJ,X,O,O
LITZSOJL,X,O,O
LITZOLJS,X,X,O
LITZOLSJ,X,X,O
LITZOJLS,X,X,O
LITZOJSL,X,X,O
LITZOSLJ,X,X,O
LITZOSJL,X,X,O
LITOLJSZ,X,X,O
LITOLJZS,X,X,O
LITOLSJZ,X,X,O
LITOLSZJ,X,X,O
LITOLZJS,X,X,O
LITOLZSJ,X,X,O
LITOJLSZ,X,X,O
LITOJLZS,X,X,O
LITOJSLZ,X,X,O
LITOJSZL,X,X,O
LITOJZLS,X,X,O
LITOJZSL,X,X,O
LITOSLJZ,X,X,O
LITOSLZJ,X,X,O
LITOSJLZ,X,X,O
LITOSJZL,X,X,O
LITOSZLJ,X,X,O
LITOSZJL,X,X,O
LITOZLJS,X,X,O
LITOZLSJ,X,X,O
LITOZJLS,X,X,O
LITOZJSL,X,X,O
LITOZSLJ,X,X,O
LITOZSJL,X,X,O
LILTJSZO,X,O,O
LILTJSOZ,X,O,O
LILTJZSO,X,O,O
LILTJZOS,X,X,O
LILTJOSZ,X,X,O
LILTJOZS,X,X,O
LILTSJZO,X,O,O
LILTSJOZ,X,O,O
LILTSZJO,X,O,O
LILTSZOJ,X,O,O
LILTSOJZ,X,O,O
LILTSOZJ,X,O,O
LILTZJSO,X,O,O
LILTZJOS,X,X,O
LILTZSJO,X,O,O
LILTZSOJ,X,O,O
LILTZOJS,X,X,O
LILTZOSJ,X,X,O
LILTOJSZ,X,X,O
LILTOJZS,X,X,O
LILTOSJZ,X,X,O
LILTOSZJ,X,X,O
LILTOZJS,X,X,O
LILTOZSJ,X,X,O
LILJTSZO,X,O,O
LILJTSOZ,X,O,O
LILJTZSO,X,O,O
LILJTZOS,X,X,O
LILJTOSZ,X,X,O
LILJTOZS,X,X,O
