sequence,v115@ygA8IeB8EeA8BeC8BeD8AeH8AeE8CeD8Je+vIvhEZQ?BTWBfgB8gBCdB,v115@ygA8IeB8EeA8BeC8BeD8AeH8AeE8CeD8Je+vIvhEZQ?B8aBfcBCdBTgB,v115@ygA8IeB8EeA8BeC8BeD8AeH8AeE8CeD8Je+vIvhEZQ?B0WBzaBCdB3gB,v115@ygA8IeB8EeA8BeC8BeD8AeH8AeE8CeD8Je+vIvhEZQ?BXWBzbBCdBUgB
LJTIOZS,X,O,X,O
LJTSIZO,O,X,X,X
LJTSIOZ,X,X,O,X
LJTSZIO,O,X,X,X
LJTSZOI,O,X,X,X
LJTSOIZ,X,X,O,X
LJTSOZI,X,X,O,X
LJTZISO,O,X,X,X
LJTZIOS,X,X,X,O
LJTZSIO,O,X,X,X
LJTZSOI,O,X,X,X
LJTZOIS,X,X,X,O
LJTZOSI,X,X,X,O
LJTOISZ,X,O,O,X
LJTOIZS,X,O,X,O
LJTOSIZ,X,O,O,X
LJTOSZI,X,O,O,X
LJTOZIS,X,O,X,X
LJTOZSI,X,O,X,X
LJITSZO,O,X,X,X
LJITSOZ,X,X,O,X
LJITZSO,O,X,X,X
LJITZOS,X,X,X,O
LJITOSZ,X,O,O,X
LJITOZS,X,O,X,O
LJISTZO,O,X,X,X
LJISTOZ,X,X,O,X
LJISZTO,O,X,X,X
LJISZOT,O,X,O,O
LJISOTZ,X,O,O,X
LJISOZT,O,O,O,O
LJIZTSO,O,X,X,X
LJIZTOS,X,X,X,O
LJIZSTO,O,X,X,X
LJIZSOT,O,X,O,O
LJIZOTS,X,O,X,O
LJIZOST,O,O,O,O
LJIOTSZ,X,O,O,X
LJIOTZS,X,O,X,O
LJIOSTZ,X,O,O,X
LJIOSZT,O,O,O,O
LJIOZTS,X,O,X,O
LJIOZST,O,O,O,O
LJSTIZO,O,X,X,X
LJSTIOZ,X,X,O,X
LJSTZIO,O,X,X,X
LJSTZOI,O,X,X,X
LJSTOIZ,X,X,O,X
LJSTOZI,X,X,O,X
LJSITZO,O,X,X,X
LJSITOZ,X,X,O,X
LJSIZTO,O,X,X,X
LJSIZOT,O,X,O,O
LJSIOTZ,X,O,O,X
LJSIOZT,O,O,O,O
LJSZTIO,O,X,X,X
LJSZTOI,O,X,X,X
LJSZITO,O,X,X,X
LJSZIOT,O,X,O,O
LJSZOTI,O,X,O,O
LJSZOIT,O,X,O,O
LJSOTIZ,X,O,O,X
LJSOTZI,X,O,O,X
LJSOITZ,X,O,O,X
LJSOIZT,O,O,O,O
LJSOZTI,O,O,O,X
LJSOZIT,O,O,O,X
LJZTISO,O,X,X,X
LJZTIOS,X,X,X,O
LJZTSIO,O,X,X,X
LJZTSOI,O,X,X,X
LJZTOIS,X,X,X,O
LJZTOSI,X,X,X,O
LJZITSO,O,X,X,X
LJZITOS,X,X,X,O
LJZISTO,O,X,X,X
LJZISOT,O,X,O,O
LJZIOTS,X,O,X,O
LJZIOST,O,O,O,O
LJZSTIO,O,X,X,X
LJZSTOI,O,X,X,X
LJZSITO,O,X,X,X
LJZSIOT,O,X,O,O
LJZSOTI,O,X,O,O
LJZSOIT,O,X,O,O
LJZOTIS,X,O,X,O
LJZOTSI,X,O,X,O
LJZOITS,X,O,X,O
LJZOIST,O,O,O,O
LJZOSTI,O,O,O,O
LJZOSIT,O,O,O,O
LJOTISZ,X,O,O,X
LJOTIZS,X,O,X,O
LJOTSIZ,X,O,O,X
LJOTSZI,X,O,O,X
LJOTZIS,X,O,X,X
LJOTZSI,X,O,X,X
LJOITSZ,X,O,O,X
LJOITZS,X,O,X,O
LJOISTZ,X,O,O,X
LJOISZT,O,O,O,O
LJOIZTS,X,O,X,O
LJOIZST,O,O,O,O
LJOSTIZ,X,O,O,X
LJOSTZI,X,O,O,X
LJOSITZ,X,O,O,X
LJOSIZT,O,O,O,O
LJOSZTI,O,O,O,X
LJOSZIT,O,O,O,X
LJOZTIS,X,O,X,O
LJOZTSI,X,O,X,O
LJOZITS,X,O,X,O
LJOZIST,O,O,O,O
LJOZSTI,O,O,O,O
LJOZSIT,O,O,O,O
LSTIJZO,O,X,X,X
LSTIJOZ,X,X,O,X
LSTIZJO,O,X,X,X
LSTIZOJ,O,X,X,X
LSTIOJZ,X,X,O,X
LSTIOZJ,X,X,O,X
LSTJIZO,O,X,X,X
LSTJIOZ,X,X,O,X
LSTJZIO,O,X,X,X
LSTJZOI,O,X,X,X
LSTJOIZ,X,X,O,X
LSTJOZI,X,X,O,X
LSTZIJO,O,X,X,X
LSTZIOJ,O,X,X,X
LSTZJIO,O,X,X,X
LSTZJOI,O,X,X,X
LSTZOIJ,O,X,X,X
LSTZOJI,O,X,X,X
LSTOIJZ,X,X,O,X
LSTOIZJ,X,X,O,X
LSTOJIZ,X,X,O,X
LSTOJZI,X,X,O,X
LSTOZIJ,X,X,O,X
LSTOZJI,X,X,O,X
LSITJZO,O,X,X,X
LSITJOZ,X,X,O,X
LSITZJO,O,X,X,X
LSITZOJ,O,X,X,X
LSITOJZ,X,X,O,X
LSITOZJ,X,X,O,X
LSIJTZO,O,X,X,X
LSIJTOZ,X,X,O,X
LSIJZTO,O,X,X,X
LSIJZOT,O,X,O,O
LSIJOTZ,X,O,O,X
LSIJOZT,O,O,O,O
LSIZTJO,O,X,X,X
LSIZTOJ,O,X,X,X
LSIZJTO,O,X,X,X
LSIZJOT,O,X,O,O
LSIZOTJ,O,X,O,O
LSIZOJT,O,X,O,O
LSIOTJZ,X,O,O,X
LSIOTZJ,X,O,O,X
LSIOJTZ,X,O,O,X
LSIOJZT,O,O,O,O
LSIOZTJ,O,O,O,O
LSIOZJT,O,O,O,O
LSJTIZO,O,X,X,X
LSJTIOZ,X,X,O,X
LSJTZIO,O,X,X,X
LSJTZOI,O,X,X,X
LSJTOIZ,X,X,O,X
LSJTOZI,X,X,O,X
LSJITZO,O,X,X,X
LSJITOZ,X,X,O,X
LSJIZTO,O,X,X,X
LSJIZOT,O,X,O,O
LSJIOTZ,X,O,O,X
LSJIOZT,O,O,O,O
LSJZTIO,O,X,X,X
LSJZTOI,O,X,X,X
LSJZITO,O,X,X,X
LSJZIOT,O,X,O,O
LSJZOTI,O,X,O,O
LSJZOIT,O,X,O,O
LSJOTIZ,X,O,O,X
LSJOTZI,X,O,O,X
LSJOITZ,X,O,O,X
LSJOIZT,O,O,O,O
LSJOZTI,O,O,O,X
LSJOZIT,O,O,O,X
LSZTIJO,O,X,X,X
LSZTIOJ,O,X,X,X
LSZTJIO,O,X,X,X
LSZTJOI,O,X,X,X
LSZTOIJ,O,X,X,X
LSZTOJI,O,X,X,X
LSZITJO,O,X,X,X
LSZITOJ,O,X,X,X
LSZIJTO,O,X,X,X
LSZIJOT,O,X,O,O
LSZIOTJ,O,X,O,O
LSZIOJT,O,X,O,O
LSZJTIO,O,X,X,X
LSZJTOI,O,X,X,X
LSZJITO,O,X,X,X
LSZJIOT,O,X,O,O
LSZJOTI,O,X,O,O
LSZJOIT,O,X,O,O
LSZOTIJ,O,X,O,O
LSZOTJI,O,X,O,O
LSZOITJ,O,X,O,O
LSZOIJT,O,X,O,O
LSZOJTI,O,X,O,O
LSZOJIT,O,X,O,O
LSOTIJZ,X,O,O,X
LSOTIZJ,X,O,O,X
LSOTJIZ,X,O,O,X
LSOTJZI,X,O,O,X
LSOTZIJ,X,O,O,X
LSOTZJI,X,O,O,X
LSOITJZ,X,O,O,X
LSOITZJ,X,O,O,X
LSOIJTZ,X,O,O,X
LSOIJZT,O,O,O,O
LSOIZTJ,O,O,O,O
LSOIZJT,O,O,O,O
LSOJTIZ,X,O,O,X
LSOJTZI,X,O,O,X
LSOJITZ,X,O,O,X
LSOJIZT,O,O,O,O
LSOJZTI,O,O,O,X
LSOJZIT,O,O,O,X
LSOZTIJ,O,O,O,X
LSOZTJI,O,O,O,X
LSOZITJ,O,O,O,X
LSOZIJT,O,O,O,X
LSOZJTI,O,O,O,X
LSOZJIT,O,O,O,X
LZTIJSO,O,X,X,X
LZTIJOS,X,X,X,O
LZTISJO,O,X,X,X
LZTISOJ,O,X,X,X
LZTIOJS,X,X,X,O
LZTIOSJ,X,X,X,O
LZTJISO,O,X,X,X
LZTJIOS,X,X,X,O
LZTJSIO,O,X,X,X
LZTJSOI,O,X,X,X
LZTJOIS,X,X,X,O
LZTJOSI,X,X,X,O
LZTSIJO,O,X,X,X
LZTSIOJ,O,X,X,X
LZTSJIO,O,X,X,X
LZTSJOI,O,X,X,X
LZTSOIJ,O,X,X,X
LZTSOJI,O,X,X,X
LZTOIJS,X,X,X,O
LZTOISJ,X,X,X,O
LZTOJIS,X,X,X,O
LZTOJSI,X,X,X,O
LZTOSIJ,X,X,X,O
LZTOSJI,X,X,X,O
LZITJSO,O,X,X,X
LZITJOS,X,X,X,O
LZITSJO,O,X,X,X
LZITSOJ,O,X,X,X
LZITOJS,X,X,X,O
LZITOSJ,X,X,X,O
LZIJTSO,O,X,X,X
LZIJTOS,X,X,X,O
LZIJSTO,O,X,X,X
LZIJSOT,O,X,O,O
LZIJOTS,X,O,X,O
LZIJOST,O,O,O,O
LZISTJO,O,X,X,X
LZISTOJ,O,X,X,X
LZISJTO,O,X,X,X
LZISJOT,O,X,O,O
LZISOTJ,O,X,O,O
LZISOJT,O,X,O,O
LZIOTJS,X,O,X,O
LZIOTSJ,X,O,X,O
LZIOJTS,X,O,X,O
LZIOJST,O,O,O,O
LZIOSTJ,O,O,O,O
LZIOSJT,O,O,O,O
LZJTISO,O,X,X,X
LZJTIOS,X,X,X,O
LZJTSIO,O,X,X,X
LZJTSOI,O,X,X,X
LZJTOIS,X,X,X,O
LZJTOSI,X,X,X,O
LZJITSO,O,X,X,X
LZJITOS,X,X,X,O
LZJISTO,O,X,X,X
LZJISOT,O,X,O,O
LZJIOTS,X,O,X,O
LZJIOST,O,O,O,O
LZJSTIO,O,X,X,X
LZJSTOI,O,X,X,X
LZJSITO,O,X,X,X
LZJSIOT,O,X,O,O
LZJSOTI,O,X,O,O
LZJSOIT,O,X,O,O
LZJOTIS,X,O,X,O
LZJOTSI,X,O,X,O
LZJOITS,X,O,X,O
LZJOIST,O,O,O,O
LZJOSTI,O,O,O,O
LZJOSIT,O,O,O,O
LZSTIJO,O,X,X,X
LZSTIOJ,O,X,X,X
LZSTJIO,O,X,X,X
LZSTJOI,O,X,X,X
LZSTOIJ,O,X,X,X
LZSTOJI,O,X,X,X
LZSITJO,O,X,X,X
LZSITOJ,O,X,X,X
LZSIJTO,O,X,X,X
LZSIJOT,O,X,O,O
LZSIOTJ,O,X,O,O
LZSIOJT,O,X,O,O
LZSJTIO,O,X,X,X
LZSJTOI,O,X,X,X
LZSJITO,O,X,X,X
LZSJIOT,O,X,O,O
LZSJOTI,O,X,O,O
LZSJOIT,O,X,O,O
LZSOTIJ,O,X,O,O
LZSOTJI,O,X,O,O
LZSOITJ,O,X,O,O
LZSOIJT,O,X,O,O
LZSOJTI,O,X,O,O
LZSOJIT,O,X,O,O
LZOTIJS,X,O,X,O
LZOTISJ,X,O,X,O
LZOTJIS,X,O,X,O
LZOTJSI,X,O,X,O
LZOTSIJ,X,O,X,O
LZOTSJI,X,O,X,O
LZOITJS,X,O,X,O
LZOITSJ,X,O,X,O
LZOIJTS,X,O,X,O
LZOIJST,O,O,O,O
LZOISTJ,O,O,O,O
LZOISJT,O,O,O,O
LZOJTIS,X,O,X,O
LZOJTSI,X,O,X,O
LZOJITS,X,O,X,O
LZOJIST,O,O,O,O
LZOJSTI,O,O,O,O
LZOJSIT,O,O,O,O
LZOSTIJ,O,O,O,O
LZOSTJI,O,O,O,O
LZOSITJ,O,O,O,O
LZOSIJT,O,O,O,O
LZOSJTI,O,O,O,O
LZOSJIT,O,O,O,O
LOTIJSZ,X,O,O,X
LOTIJZS,X,O,X,O
LOTISJZ,X,O,O,X
LOTISZJ,X,O,O,X
LOTIZJS,X,O,X,O
LOTIZSJ,X,O,X,O
LOTJISZ,X,O,O,X
LOTJIZS,X,O,X,O
LOTJSIZ,X,O,O,X
LOTJSZI,X,O,O,X
LOTJZIS,X,O,X,X
LOTJZSI,X,O,X,X
LOTSIJZ,X,O,O,X
LOTSIZJ,X,O,O,X
LOTSJIZ,X,O,O,X
LOTSJZI,X,O,O,X
LOTSZIJ,X,O,O,X
LOTSZJI,X,O,O,X
LOTZIJS,X,O,X,X
LOTZISJ,X,O,X,X
LOTZJIS,X,O,X,X
LOTZJSI,X,O,X,X
LOTZSIJ,X,O,X,X
LOTZSJI,X,O,X,X
LOITJSZ,X,O,O,X
LOITJZS,X,O,X,O
LOITSJZ,X,O,O,X
LOITSZJ,X,O,O,X
LOITZJS,X,O,X,O
LOITZSJ,X,O,X,O
LOIJTSZ,X,O,O,X
LOIJTZS,X,O,X,O
LOIJSTZ,X,O,O,X
LOIJSZT,O,O,O,O
LOIJZTS,X,O,X,O
LOIJZST,O,O,O,O
LOISTJZ,X,O,O,X
LOISTZJ,X,O,O,X
LOISJTZ,X,O,O,X
LOISJZT,O,O,O,O
LOISZTJ,O,O,O,O
LOISZJT,O,O,O,O
LOIZTJS,X,O,X,O
LOIZTSJ,X,O,X,O
LOIZJTS,X,O,X,O
LOIZJST,O,O,O,O
LOIZSTJ,O,O,O,O
LOIZSJT,O,O,O,O
LOJTISZ,X,O,O,X
LOJTIZS,X,O,X,O
LOJTSIZ,X,O,O,X
LOJTSZI,X,O,O,X
LOJTZIS,X,O,X,X
LOJTZSI,X,O,X,X
LOJITSZ,X,O,O,X
LOJITZS,X,O,X,O
LOJISTZ,X,O,O,X
LOJISZT,O,O,O,O
LOJIZTS,X,O,X,O
LOJIZST,O,O,O,O
LOJSTIZ,X,O,O,X
LOJSTZI,X,O,O,X
LOJSITZ,X,O,O,X
LOJSIZT,O,O,O,O
LOJSZTI,O,O,O,X
LOJSZIT,O,O,O,X
LOJZTIS,X,O,X,O
LOJZTSI,X,O,X,O
LOJZITS,X,O,X,O
LOJZIST,O,O,O,O
LOJZSTI,O,O,O,O
LOJZSIT,O,O,O,O
LOSTIJZ,X,O,O,X
LOSTIZJ,X,O,O,X
LOSTJIZ,X,O,O,X
LOSTJZI,X,O,O,X
LOSTZIJ,X,O,O,X
LOSTZJI,X,O,O,X
LOSITJZ,X,O,O,X
LOSITZJ,X,O,O,X
LOSIJTZ,X,O,O,X
LOSIJZT,O,O,O,O
LOSIZTJ,O,O,O,O
LOSIZJT,O,O,O,O
LOSJTIZ,X,O,O,X
LOSJTZI,X,O,O,X
LOSJITZ,X,O,O,X
LOSJIZT,O,O,O,O
LOSJZTI,O,O,O,X
LOSJZIT,O,O,O,X
LOSZTIJ,O,O,O,X
LOSZTJI,O,O,O,X
LOSZITJ,O,O,O,X
LOSZIJT,O,O,O,X
LOSZJTI,O,O,O,X
LOSZJIT,O,O,O,X
LOZTIJS,X,O,X,O
LOZTISJ,X,O,X,O
LOZTJIS,X,O,X,O
LOZTJSI,X,O,X,O
LOZTSIJ,X,O,X,O
LOZTSJI,X,O,X,O
LOZITJS,X,O,X,O
LOZITSJ,X,O,X,O
LOZIJTS,X,O,X,O
LOZIJST,O,O,O,O
LOZISTJ,O,O,O,O
LOZISJT,O,O,O,O
LOZJTIS,X,O,X,O
LOZJTSI,X,O,X,O
LOZJITS,X,O,X,O
LOZJIST,O,O,O,O
LOZJSTI,O,O,O,O
LOZJSIT,O,O,O,O
LOZSTIJ,O,O,O,O
LOZSTJI,O,O,O,O
LOZSITJ,O,O,O,O
LOZSIJT,O,O,O,O
LOZSJTI,O,O,O,O
LOZSJIT,O,O,O,O
JTILSZO,O,X,X,X
JTILSOZ,X,X,O,X
JTILZSO,O,X,X,X
JTILZOS,X,X,X,O
JTILOSZ,X,O,O,X
JTILOZS,X,O,X,O
JTISLZO,O,X,X,X
JTISLOZ,X,X,O,X
JTISZLO,O,X,X,X
JTISZOL,O,X,X,X
JTISOLZ,X,X,O,X
JTISOZL,X,X,O,X
JTIZLSO,O,X,X,X
JTIZLOS,X,X,X,O
JTIZSLO,O,X,X,X
JTIZSOL,O,X,X,O
JTIZOLS,X,X,X,O
JTIZOSL,X,X,X,O
JTIOLSZ,X,O,O,X
JTIOLZS,X,O,X,O
JTIOSLZ,X,O,X,X
JTIOSZL,X,O,X,X
JTIOZLS,X,O,X,O
JTIOZSL,X,O,X,O
JTLISZO,O,X,X,X
JTLISOZ,X,X,O,X
JTLIZSO,O,X,X,X
JTLIZOS,X,X,X,O
JTLIOSZ,X,O,O,X
JTLIOZS,X,O,X,O
JTLSIZO,O,X,X,X
JTLSIOZ,X,X,O,X
JTLSZIO,O,X,X,X
JTLSZOI,O,X,X,X
JTLSOIZ,X,X,O,X
JTLSOZI,X,X,O,X
JTLZISO,O,X,X,X
JTLZIOS,X,X,X,O
JTLZSIO,O,X,X,X
JTLZSOI,O,X,X,X
JTLZOIS,X,X,X,O
JTLZOSI,X,X,X,O
JTLOISZ,X,O,O,X
JTLOIZS,X,O,X,O
JTLOSIZ,X,O,O,X
JTLOSZI,X,O,O,X
JTLOZIS,X,O,X,X
JTLOZSI,X,O,X,X
JTSILZO,O,X,X,X
JTSILOZ,X,X,O,X
JTSIZLO,O,X,X,X
JTSIZOL,O,X,X,X
JTSIOLZ,X,X,O,X
JTSIOZL,X,X,O,X
JTSLIZO,O,X,X,X
JTSLIOZ,X,X,O,X
JTSLZIO,O,X,X,X
JTSLZOI,O,X,X,X
JTSLOIZ,X,X,O,X
JTSLOZI,X,X,O,X
JTSZILO,O,X,X,X
JTSZIOL,O,X,X,X
JTSZLIO,O,X,X,X
JTSZLOI,O,X,X,X
JTSZOIL,O,X,X,X
JTSZOLI,O,X,X,X
JTSOILZ,X,X,O,X
JTSOIZL,X,X,O,X
JTSOLIZ,X,X,O,X
JTSOLZI,X,X,O,X
JTSOZIL,X,X,O,X
JTSOZLI,X,X,O,X
JTZILSO,O,X,X,X
JTZILOS,X,X,X,O
JTZISLO,O,X,X,X
JTZISOL,O,X,X,O
JTZIOLS,X,X,X,O
JTZIOSL,X,X,X,O
JTZLISO,O,X,X,X
JTZLIOS,X,X,X,O
JTZLSIO,O,X,X,X
JTZLSOI,O,X,X,X
JTZLOIS,X,X,X,O
JTZLOSI,X,X,X,O
JTZSILO,O,X,X,X
JTZSIOL,O,X,X,O
JTZSLIO,O,X,X,X
JTZSLOI,O,X,X,X
JTZSOIL,O,X,X,O
JTZSOLI,O,X,X,O
JTZOILS,X,X,X,O
JTZOISL,X,X,X,O
JTZOLIS,X,X,X,O
JTZOLSI,X,X,X,O
JTZOSIL,X,X,X,O
JTZOSLI,X,X,X,O
JTOILSZ,X,O,O,X
JTOILZS,X,O,X,O
JTOISLZ,X,O,X,X
JTOISZL,X,O,X,X
JTOIZLS,X,O,X,O
JTOIZSL,X,O,X,O
JTOLISZ,X,O,O,X
JTOLIZS,X,O,X,O
JTOLSIZ,X,O,O,X
JTOLSZI,X,O,O,X
JTOLZIS,X,O,X,X
JTOLZSI,X,O,X,X
JTOSILZ,X,O,X,X
JTOSIZL,X,O,X,X
JTOSLIZ,X,O,X,X
JTOSLZI,X,O,X,X
JTOSZIL,X,O,X,X
JTOSZLI,X,O,X,X
JTOZILS,X,O,X,X
JTOZISL,X,O,X,X
JTOZLIS,X,O,X,X
JTOZLSI,X,O,X,X
JTOZSIL,X,O,X,X
JTOZSLI,X,O,X,X
JITLSZO,O,X,X,X
JITLSOZ,X,X,O,X
JITLZSO,O,X,X,X
JITLZOS,X,X,X,O
JITLOSZ,X,O,O,X
JITLOZS,X,O,X,O
JITSLZO,O,X,X,X
JITSLOZ,X,X,O,X
JITSZLO,O,X,X,X
JITSZOL,O,X,X,X
JITSOLZ,X,X,O,X
JITSOZL,X,X,O,X
JITZLSO,O,X,X,X
JITZLOS,X,X,X,O
JITZSLO,O,X,X,X
JITZSOL,O,X,X,O
JITZOLS,X,X,X,O
JITZOSL,X,X,X,O
JITOLSZ,X,O,O,X
JITOLZS,X,O,X,O
JITOSLZ,X,O,X,X
JITOSZL,X,O,X,X
JITOZLS,X,O,X,O
JITOZSL,X,O,X,O
JILTSZO,O,X,X,X
JILTSOZ,X,X,O,X
JILTZSO,O,X,X,X
JILTZOS,X,X,X,O
JILTOSZ,X,O,O,X
JILTOZS,X,O,X,O
JILSTZO,O,X,X,X
JILSTOZ,X,X,O,X
JILSZTO,O,X,X,X
JILSZOT,O,X,O,O
JILSOTZ,X,O,O,X
JILSOZT,O,O,O,O
JILZTSO,O,X,X,X
JILZTOS,X,X,X,O
JILZSTO,O,X,X,X
JILZSOT,O,X,O,O
JILZOTS,X,O,X,O
JILZOST,O,O,O,O
JILOTSZ,X,O,O,X
JILOTZS,X,O,X,O
JILOSTZ,X,O,O,X
JILOSZT,O,O,O,O
JILOZTS,X,O,X,O
JILOZST,O,O,O,O
JISTLZO,O,X,X,X
JISTLOZ,X,X,O,X
JISTZLO,O,X,X,X
JISTZOL,O,X,X,X
JISTOLZ,X,X,O,X
JISTOZL,X,X,O,X
JISLTZO,O,X,X,X
JISLTOZ,X,X,O,X
JISLZTO,O,X,X,X
JISLZOT,O,X,O,O
JISLOTZ,X,O,O,X
JISLOZT,O,O,O,O
JISZTLO,O,X,X,X
JISZTOL,O,X,X,O
JISZLTO,O,X,X,X
JISZLOT,O,X,O,O
JISZOTL,O,X,O,O
JISZOLT,O,X,O,O
JISOTLZ,X,O,O,X
JISOTZL,X,O,O,X
JISOLTZ,X,O,O,X
JISOLZT,O,O,O,O
JISOZTL,O,O,O,O
JISOZLT,O,O,O,O
JIZTLSO,O,X,X,X
JIZTLOS,X,X,X,O
JIZTSLO,O,X,X,X
JIZTSOL,O,X,X,O
JIZTOLS,X,X,X,O
JIZTOSL,X,X,X,O
JIZLTSO,O,X,X,X
JIZLTOS,X,X,X,O
JIZLSTO,O,X,X,X
JIZLSOT,O,X,O,O
JIZLOTS,X,O,X,O
JIZLOST,O,O,O,O
JIZSTLO,O,X,X,X
JIZSTOL,O,X,X,O
JIZSLTO,O,X,X,X
JIZSLOT,O,X,O,O
JIZSOTL,O,X,O,O
JIZSOLT,O,X,O,O
JIZOTLS,X,O,X,O
JIZOTSL,X,O,X,O
JIZOLTS,X,O,X,O
JIZOLST,O,O,O,O
JIZOSTL,O,O,X,O
JIZOSLT,O,O,X,O
JIOTLSZ,X,O,O,X
JIOTLZS,X,O,X,O
JIOTSLZ,X,O,X,X
JIOTSZL,X,O,X,X
JIOTZLS,X,O,X,O
JIOTZSL,X,O,X,O
JIOLTSZ,X,O,O,X
JIOLTZS,X,O,X,O
JIOLSTZ,X,O,O,X
JIOLSZT,O,O,O,O
JIOLZTS,X,O,X,O
JIOLZST,O,O,O,O
JIOSTLZ,X,O,O,X
JIOSTZL,X,O,O,X
JIOSLTZ,X,O,O,X
JIOSLZT,O,O,O,O
JIOSZTL,O,O,O,O
JIOSZLT,O,O,O,O
JIOZTLS,X,O,X,O
JIOZTSL,X,O,X,O
JIOZLTS,X,O,X,O
JIOZLST,O,O,O,O
JIOZSTL,O,O,X,O
JIOZSLT,O,O,X,O
JLTISZO,O,X,X,X
JLTISOZ,X,X,O,X
JLTIZSO,O,X,X,X
JLTIZOS,X,X,X,O
JLTIOSZ,X,O,O,X
JLTIOZS,X,O,X,O
JLTSIZO,O,X,X,X
JLTSIOZ,X,X,O,X
JLTSZIO,O,X,X,X
JLTSZOI,O,X,X,X
JLTSOIZ,X,X,O,X
JLTSOZI,X,X,O,X
JLTZISO,O,X,X,X
JLTZIOS,X,X,X,O
JLTZSIO,O,X,X,X
JLTZSOI,O,X,X,X
JLTZOIS,X,X,X,O
JLTZOSI,X,X,X,O
JLTOISZ,X,O,O,X
JLTOIZS,X,O,X,O
JLTOSIZ,X,O,O,X
JLTOSZI,X,O,O,X
JLTOZIS,X,O,X,X
JLTOZSI,X,O,X,X
JLITSZO,O,X,X,X
JLITSOZ,X,X,O,X
JLITZSO,O,X,X,X
JLITZOS,X,X,X,O
JLITOSZ,X,O,O,X
JLITOZS,X,O,X,O
JLISTZO,O,X,X,X
JLISTOZ,X,X,O,X
JLISZTO,O,X,X,X
JLISZOT,O,X,O,O
JLISOTZ,X,O,O,X
JLISOZT,O,O,O,O
JLIZTSO,O,X,X,X
JLIZTOS,X,X,X,O
JLIZSTO,O,X,X,X
JLIZSOT,O,X,O,O
JLIZOTS,X,O,X,O
JLIZOST,O,O,O,O
JLIOTSZ,X,O,O,X
JLIOTZS,X,O,X,O
JLIOSTZ,X,O,O,X
JLIOSZT,O,O,O,O
JLIOZTS,X,O,X,O
JLIOZST,O,O,O,O
JLSTIZO,O,X,X,X
JLSTIOZ,X,X,O,X
JLSTZIO,O,X,X,X
JLSTZOI,O,X,X,X
JLSTOIZ,X,X,O,X
JLSTOZI,X,X,O,X
JLSITZO,O,X,X,X
JLSITOZ,X,X,O,X
JLSIZTO,O,X,X,X
JLSIZOT,O,X,O,O
JLSIOTZ,X,O,O,X
JLSIOZT,O,O,O,O
JLSZTIO,O,X,X,X
JLSZTOI,O,X,X,X
JLSZITO,O,X,X,X
JLSZIOT,O,X,O,O
JLSZOTI,O,X,O,O
JLSZOIT,O,X,O,O
JLSOTIZ,X,O,O,X
JLSOTZI,X,O,O,X
JLSOITZ,X,O,O,X
JLSOIZT,O,O,O,O
JLSOZTI,O,O,O,X
JLSOZIT,O,O,O,X
JLZTISO,O,X,X,X
JLZTIOS,X,X,X,O
JLZTSIO,O,X,X,X
JLZTSOI,O,X,X,X
JLZTOIS,X,X,X,O
JLZTOSI,X,X,X,O
JLZITSO,O,X,X,X
JLZITOS,X,X,X,O
JLZISTO,O,X,X,X
JLZISOT,O,X,O,O
JLZIOTS,X,O,X,O
JLZIOST,O,O,O,O
JLZSTIO,O,X,X,X
JLZSTOI,O,X,X,X
JLZSITO,O,X,X,X
JLZSIOT,O,X,O,O
JLZSOTI,O,X,O,O
JLZSOIT,O,X,O,O
JLZOTIS,X,O,X,O
JLZOTSI,X,O,X,O
JLZOITS,X,O,X,O
JLZOIST,O,O,O,O
JLZOSTI,O,O,O,O
JLZOSIT,O,O,O,O
JLOTISZ,X,O,O,X
JLOTIZS,X,O,X,O
JLOTSIZ,X,O,O,X
JLOTSZI,X,O,O,X
JLOTZIS,X,O,X,X
JLOTZSI,X,O,X,X
JLOITSZ,X,O,O,X
JLOITZS,X,O,X,O
JLOISTZ,X,O,O,X
JLOISZT,O,O,O,O
JLOIZTS,X,O,X,O
JLOIZST,O,O,O,O
JLOSTIZ,X,O,O,X
JLOSTZI,X,O,O,X
JLOSITZ,X,O,O,X
JLOSIZT,O,O,O,O
JLOSZTI,O,O,O,X
JLOSZIT,O,O,O,X
JLOZTIS,X,O,X,O
JLOZTSI,X,O,X,O
JLOZITS,X,O,X,O
JLOZIST,O,O,O,O
JLOZSTI,O,O,O,O
JLOZSIT,O,O,O,O
JSTILZO,O,X,X,X
JSTILOZ,X,X,O,X
JSTIZLO,O,X,X,X
JSTIZOL,O,X,X,X
JSTIOLZ,X,X,O,X
JSTIOZL,X,X,O,X
JSTLIZO,O,X,X,X
JSTLIOZ,X,X,O,X
JSTLZIO,O,X,X,X
JSTLZOI,O,X,X,X
JSTLOIZ,X,X,O,X
JSTLOZI,X,X,O,X
JSTZILO,O,X,X,X
JSTZIOL,O,X,X,X
JSTZLIO,O,X,X,X
JSTZLOI,O,X,X,X
JSTZOIL,O,X,X,X
JSTZOLI,O,X,X,X
JSTOILZ,X,X,O,X
JSTOIZL,X,X,O,X
JSTOLIZ,X,X,O,X
JSTOLZI,X,X,O,X
JSTOZIL,X,X,O,X
JSTOZLI,X,X,O,X
JSITLZO,O,X,X,X
JSITLOZ,X,X,O,X
JSITZLO,O,X,X,X
JSITZOL,O,X,X,X
JSITOLZ,X,X,O,X
