sequence,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jem1IvhFqcBxYB?TaBXeB0iBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFWdBTZB?3aBRiB0iBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jem1IvhFqcBxYB?TaB0dBXjBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFzXB3aB?RiBuiBcjBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeO6IvhF8aBzXB?CZBRiBXjBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFTZB3aB?RiBGiB8sBFsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFRYBceB?3aBznBFnBGsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeK6IvhFzVBWdB?RiB3nBcoBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeK6IvhFzVBlYB?RiBusBfsBctB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeO6IvhF8aBSeB?RiBznBfnBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeO6IvhF8aBzXB?RiB3nBFoBCtB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeK6IvhFzVBxYB?FeBGiB8sBfsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Je26IvhFRYBceB?zcBqiB3fBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jey6IvhFUYBOjB?5nBfsBTkBFtB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jem1IvhFTaBRiB?cjBqnBfnBlsB
TIOZJSL,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOZSLJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TLIJSOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZSO,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TLIJZOS,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X
TLIJOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJOZS,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X
TLISJZO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLISJOZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLISZJO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TLISZOJ,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TLISOJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLISOZJ,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TLIZJSO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLIZSJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLIZOSJ,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLIOJSZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOJZS,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X
TLIOSJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TLIOZJS,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLIOZSJ,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJISZO,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLJISOZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIZSO,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJIZOS,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TLJSIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJSOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJZISO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJZSIO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJZOIS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJZOSI,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJOISZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TLJOSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJOZIS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLSIJZO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSIZJO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSJIZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSJOIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSZIJO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSZOIJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLSZOJI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLSOIJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLSOZIJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLSOZJI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLZIJSO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLZIJOS,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TLZISJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TLZIOSJ,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TLZJISO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLZJIOS,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TLZJSIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
TLZJOIS,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
