sequence,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jem1IvhFqcBxYB?TaBXeB0iBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFWdBTZB?3aBRiB0iBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jem1IvhFqcBxYB?TaB0dBXjBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFzXB3aB?RiBuiBcjBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeO6IvhF8aBzXB?CZBRiBXjBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFTZB3aB?RiBGiB8sBFsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFRYBceB?3aBznBFnBGsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeK6IvhFzVBWdB?RiB3nBcoBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeK6IvhFzVBlYB?RiBusBfsBctB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeO6IvhF8aBSeB?RiBznBfnBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeO6IvhF8aBzXB?RiB3nBFoBCtB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeK6IvhFzVBxYB?FeBGiB8sBfsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Je26IvhFRYBceB?zcBqiB3fBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jey6IvhFUYBOjB?5nBfsBTkBFtB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jem1IvhFTaBRiB?cjBqnBfnBlsB
ZISJTOL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZISJLTO,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZISJLOT,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZISJOTL,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X
ZISJOLT,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X
ZISOTLJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZISOTJL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
ZISOLTJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZISOLJT,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZISOJTL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZISOJLT,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZIOTLJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
ZIOTLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZIOTJLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
ZIOTJSL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZIOTSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIOTSJL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIOLTJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
ZIOLTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZIOLJTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
ZIOLJST,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
ZIOLSTJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZIOLSJT,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O
ZIOJTLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
ZIOJTSL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZIOJLTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
ZIOJLST,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
ZIOJSTL,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
ZIOJSLT,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O
ZIOSTLJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOSTJL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOSLTJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ZIOSLJT,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O
ZIOSJTL,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X
ZIOSJLT,X,O,X,O,O,O,X,X,X,O,O,X,X,X,O
ZLTIJSO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZLTIJOS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZLTISJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLTISOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLTIOJS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZLTIOSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLTJISO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZLTJIOS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZLTJSIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLTJSOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLTJOIS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLTJOSI,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLTSIJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLTSIOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLTSJIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLTSJOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLTSOIJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLTSOJI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLTOIJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLTOISJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLTOJIS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLTOJSI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLTOSIJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLTOSJI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLITJSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLITJOS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZLITSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLITSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLITOJS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZLITOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIJTSO,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
ZLIJTOS,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X
ZLIJSTO,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X
ZLIJSOT,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X
ZLIJOTS,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X
ZLIJOST,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
ZLISTJO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLISTOJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLISJTO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLISJOT,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
ZLISOTJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLISOJT,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
ZLIOTJS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZLIOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOJTS,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X
ZLIOJST,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X
ZLIOSTJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLIOSJT,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
ZLJTISO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZLJTIOS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZLJTSIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLJTSOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLJTOIS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLJTOSI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLJITSO,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
ZLJITOS,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X
ZLJISTO,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X
ZLJISOT,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X
ZLJIOTS,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X
ZLJIOST,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
ZLJSTIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLJSTOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLJSITO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJSIOT,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZLJSOTI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLJSOIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOTIS,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
ZLJOTSI,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLJOITS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
ZLJOIST,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ZLJOSTI,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLJOSIT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLSTIJO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSTIOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSTJIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLSTJOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLSTOIJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSTOJI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLSITJO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLSITOJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLSIJTO,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
ZLSIJOT,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X
ZLSIOTJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLSIOJT,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X
ZLSJTIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLSJTOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLSJITO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLSJIOT,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLSJOTI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLSJOIT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSOTIJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLSOTJI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLSOITJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLSOIJT,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLSOJTI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLSOJIT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLOTIJS,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
ZLOTISJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTJIS,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
ZLOTJSI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLOTSIJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTSJI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLOITJS,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
ZLOITSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOIJTS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
ZLOIJST,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ZLOISTJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLOISJT,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
ZLOJTIS,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X
ZLOJTSI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLOJITS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
ZLOJIST,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ZLOJSTI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLOJSIT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLOSTIJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLOSTJI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLOSITJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLOSIJT,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X
ZLOSJTI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLOSJIT,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
ZJTILSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ZJTILOS,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X
ZJTISLO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJTISOL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJTIOLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJTIOSL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJTLISO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZJTLIOS,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X
ZJTLSIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZJTLSOI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJTLOIS,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
ZJTLOSI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJTSILO,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJTSIOL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJTSLIO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJTSLOI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJTSOIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSOLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTOILS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJTOISL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJTOLIS,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
ZJTOLSI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJTOSIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTOSLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJITLSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ZJITLOS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ZJITSLO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJITSOL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJITOLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJITOSL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJILTSO,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
ZJILTOS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
ZJILSTO,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X
ZJILSOT,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X
ZJILOTS,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X
ZJILOST,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
ZJISTLO,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
ZJISTOL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ZJISLTO,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
ZJISLOT,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
ZJISOTL,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
ZJISOLT,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X
ZJIOTLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJIOTSL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJIOLTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJIOLST,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJIOSTL,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
ZJIOSLT,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
ZJLTISO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZJLTIOS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZJLTSIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZJLTSOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJLTOIS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZJLTOSI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJLITSO,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
ZJLITOS,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X
ZJLISTO,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X
ZJLISOT,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X
ZJLIOTS,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X
ZJLIOST,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
ZJLSTIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJLSTOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJLSITO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLSIOT,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJLSOTI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJLSOIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOTIS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ZJLOTSI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJLOITS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
ZJLOIST,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ZJLOSTI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJLOSIT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJSTILO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJSTIOL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJSTLIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJSTLOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJSTOIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTOLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSITLO,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ZJSITOL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ZJSILTO,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ZJSILOT,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ZJSIOTL,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
ZJSIOLT,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
ZJSLTIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJSLTOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJSLITO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSLIOT,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSLOTI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJSLOIT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJSOTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOITL,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
ZJSOILT,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
ZJSOLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOLIT,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZJOTILS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJOTISL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJOTLIS,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
ZJOTLSI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ZJOTSIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTSLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOITLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJOITSL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJOILTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJOILST,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJOISTL,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
ZJOISLT,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
ZJOLTIS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ZJOLTSI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJOLITS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
ZJOLIST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJOLSTI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJOLSIT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJOSTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSITL,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
ZJOSILT,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
ZJOSLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSLIT,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSTILJO,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZSTILOJ,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZSTIJLO,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSTIJOL,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSTIOLJ,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZSTIOJL,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSTLIJO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSTLIOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSTLJIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZSTLJOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZSTLOIJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSTLOJI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZSTJILO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZSTJIOL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZSTJLIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZSTJLOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZSTJOIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJOLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOILJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSTOIJL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSTOLIJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSTOLJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOJIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOJLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSITLJO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSITLOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSITJLO,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
ZSITJOL,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
ZSITOLJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSITOJL,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
ZSILTJO,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZSILTOJ,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZSILJTO,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X
ZSILJOT,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X
ZSILOTJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ZSILOJT,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X
ZSIJTLO,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSIJTOL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSIJLTO,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X
ZSIJLOT,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X
ZSIJOTL,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X
ZSIJOLT,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X
ZSIOTLJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSIOTJL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
ZSIOLTJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSIOLJT,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSIOJTL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSIOJLT,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZSLTIJO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSLTIOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSLTJIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZSLTJOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZSLTOIJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLTOJI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZSLITJO,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZSLITOJ,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZSLIJTO,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X
ZSLIJOT,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X
ZSLIOTJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ZSLIOJT,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X
ZSLJTIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZSLJTOI,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZSLJITO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
