sequence,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeRzXaAFLDmClc?JSAVDEHBEooRBJoAVBTHUFDqOBAAvhFXNBzLB6PB0JBOLBl?MB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVBMtPFDpOBAAvhFSTBXNB2QB0LBxOBl?MB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB03ntCM+AAAvhFVSB0LBGOB3HBiLBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeXvXaAFLDmClc?JSAVDEHBEooRBToAVBa+dgCs/AAAvhFUNBxQBVOBTGBiHBG?PB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB6/rtCU+AAAvhFUNBGOBKLBfMBlMBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB6/9tCM+AAAvhFUNBGOBlLB3MBiLBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB6/rtCU+AAAvhFUNBGOBiLB3MBlLBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeVyXaAFLDmClc?JSAVDEHBEooRBUoAVBvSltC6/AAAvhFTLB6PBROB3HB0OBm?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTrXaAFLDmClc?JSAVDEHBEooRBPoAVBqHUWCU+AAAvhF+PBsOBXJBiMBVSBx?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVBqHcgCsOBAAvhF+PBsOBXJBzHBiLBl?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeUtXaAFLDmClc?JSAVDEHBEooRBaoAVBK+LgCzOBAAvhF+PBROBKLBzGB3MBl?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8Je3sXaAFLDmClc?JSAVDEHBEooRBToAVBK+LgC6OBAAvhF+PBROBKLBzGBUNBl?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVBqHcgC0CBAAvhF+PBsOBXJBzHBlLBi?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8Je3sXaAFLDmClc?JSAVDEHBEooRBToAVBK+TFDvOBAAvhF+PBROByLBUNBTLBl?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVB0HbPCMNBAAvhFVOBUKBzHB2LBSUB3?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeVyXaAFLDmClc?JSAVDEHBEooRBUoAVBqHMMCvCBAAvhF+PBsOBXJBxLBTLBi?MB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeV0XaAFLDmClc?JSAVDEHBEooRBUoAVBJtrgCqCBAAvhFxRB3LBUJBzHBGKBi?GB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVBJ9aFDqOBAAvhFxRBXKBzHBsLBOLBF?JB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVBzfrgC0CBAAvhF3LB+PBsOBzHBFJBi?GB
IJOSZLT,O,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
IJOZTLS,O,O,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X,O,O
IJOZTSL,O,O,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X,X,O
IJOZLTS,O,O,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,O
IJOZLST,O,O,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,O
IJOZSTL,O,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
IJOZSLT,O,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,O
ISTLJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISTLJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISTLZJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTLZOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTLOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISTLOZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTJLZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISTJLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISTJZLO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
ISTJZOL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
ISTJOLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISTJOZL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
ISTZLJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTZLOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTZJLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTZJOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ISTZOLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTZOJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ISTOLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISTOLZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTOJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISTOJZL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
ISTOZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTOZJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ISLTJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O
ISLTJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O
ISLTZJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISLTZOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISLTOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O
ISLTOZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISLJTZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O
ISLJTOZ,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O
ISLJZTO,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
ISLJZOT,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O
ISLJOTZ,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O
ISLJOZT,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O
ISLZTJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISLZTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISLZJTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISLZJOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISLZOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISLZOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISLOTJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O
ISLOTZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISLOJTZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O
ISLOJZT,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O
ISLOZTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISLOZJT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISJTLZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
ISJTLOZ,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
ISJTZLO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
ISJTZOL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
ISJTOLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISJTOZL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
ISJLTZO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
ISJLTOZ,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
ISJLZTO,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O
ISJLZOT,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O
ISJLOTZ,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
ISJLOZT,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O
ISJZTLO,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
ISJZTOL,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
ISJZLTO,O,O,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O
ISJZLOT,O,O,X,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O
ISJZOTL,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
ISJZOLT,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
ISJOTLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISJOTZL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
ISJOLTZ,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
ISJOLZT,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O
ISJOZTL,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
ISJOZLT,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
ISZTLJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZTLOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZTJLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZTJOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZTOLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZTOJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZLTJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISZLTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISZLJTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISZLJOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISZLOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISZLOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISZJTLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZJTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZJLTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISZJLOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISZJOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZJOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISZOTLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZOTJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZOLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISZOLJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISZOJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZOJLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISOTLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISOTLZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISOTJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISOTJZL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
ISOTZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISOTZJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ISOLTJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O
ISOLTZJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISOLJTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O
ISOLJZT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ISOLZTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISOLZJT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISOJTLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISOJTZL,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
ISOJLTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ISOJLZT,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISOJZTL,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
ISOJZLT,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
ISOZTLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISOZTJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISOZLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ISOZLJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISOZJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOZJLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTLJSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZTLJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
IZTLSJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZTLSOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZTLOJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
IZTLOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZTJLSO,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
IZTJLOS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X
IZTJSLO,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IZTJSOL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IZTJOLS,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X
IZTJOSL,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IZTSLJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTSLOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTSJLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTSJOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZTSOLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTSOJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZTOLJS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X
IZTOLSJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZTOJLS,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X
IZTOJSL,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IZTOSLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTOSJL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZLTJSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLTJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLTSJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLTSOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLTOJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLTOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLJTSO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZLJTOS,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZLJSTO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZLJSOT,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZLJOTS,O,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X
IZLJOST,O,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X
IZLSTJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSJTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSJOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSOTJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSOJT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLOTJS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZLOTSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLOJTS,O,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X
IZLOJST,O,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X
IZLOSTJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLOSJT,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZJTLSO,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IZJTLOS,O,X,X,O,X,X,X,X,X,O,O,X,O,X,O,X,X,O,O
IZJTSLO,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
IZJTSOL,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O
IZJTOLS,O,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,O,O
IZJTOSL,O,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O
IZJLTSO,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IZJLTOS,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O
IZJLSTO,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IZJLSOT,O,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,O,O
IZJLOTS,O,X,X,O,O,X,O,X,X,O,O,X,O,X,X,X,X,O,O
IZJLOST,O,X,X,O,O,X,O,X,X,O,O,X,O,X,X,X,X,O,O
IZJSTLO,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
IZJSTOL,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
IZJSLTO,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IZJSLOT,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O
IZJSOTL,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
IZJSOLT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IZJOTLS,O,X,X,O,O,O,O,X,X,O,X,X,O,X,O,X,X,O,O
IZJOTSL,O,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O
IZJOLTS,O,X,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O
IZJOLST,O,X,X,O,O,X,O,X,X,O,O,X,O,X,X,X,X,O,O
IZJOSTL,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O
IZJOSLT,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,O
IZSTLJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSTLOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSTJLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSTJOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSTOLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSTOJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSLTJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZSLTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZSLJTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZSLJOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZSLOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZSLOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZSJTLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSJTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSJLTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZSJLOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZSJOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSJOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZSOTLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSOTJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSOLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZSOLJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZSOJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSOJLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZOTLJS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X
IZOTLSJ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZOTJLS,O,X,O,O,O,O,O,X,X,X,X,X,O,X,O,X,O,O,X
IZOTJSL,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IZOTSLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOTSJL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZOLTJS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IZOLTSJ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLJTS,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X
IZOLJST,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IZOLSTJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLSJT,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZOJTLS,O,X,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X,O,O
IZOJTSL,O,X,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O
IZOJLTS,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,O,O
IZOJLST,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,O
IZOJSTL,O,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O
IZOJSLT,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,O
IZOSTLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOSTJL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOSLTJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IZOSLJT,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O
IZOSJTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOSJLT,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O
IOTLJSZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOTLJZS,O,O,O,X,X,X,X,X,O,O,X,X,O,X,O,X,O,X,X
IOTLSJZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
IOTLSZJ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X
IOTLZJS,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X
IOTLZSJ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X
IOTJLSZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOTJLZS,O,O,O,X,X,X,X,X,O,O,X,X,O,X,O,X,O,X,X
IOTJSLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IOTJSZL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
IOTJZLS,O,O,O,X,X,O,X,X,O,O,X,X,O,X,O,X,O,X,O
IOTJZSL,O,X,O,X,X,O,X,X,O,O,X,X,O,X,O,X,O,X,O
IOTSLJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IOTSLZJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOTSJLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
