sequence,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEWhBxcBzfBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBGdB0fBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBciBzfBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhEzbBCdB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBGdBigBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBzbBuhBc?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBuhBciBi?gBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBRcBciBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBWiB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEegBCcBxhBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhETdB0fBfnBm?lB6rB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhExcBzfBurBf?rBFsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBzfBurBc?sBFrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhESiB0fBzmBm?lBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEciBzfB5mBf?rBmrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhElcBzfBurBf?rBcsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhExcB0fBzmBf?mBCsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEXgBxhBCiB8?rBmqB
IJSTOZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSLTZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSLTOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSLZTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSLZOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSLOTZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSLOZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSZTLO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSZTOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSZLTO,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSZLOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSZOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSZOLT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJSOTLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOTZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSOLZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IJSOZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJZTLSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJZTLOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTSLO,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZTSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTOLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLTSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IJZLTOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLSTO,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IJZLSOT,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IJZLOTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLOST,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IJZSTLO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZSTOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSLTO,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IJZSLOT,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IJZSOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZSOLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZOTLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOLTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOLST,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
IJZOSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOSLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IJOTLSZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IJOTLZS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IJOTSLZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IJOTSZL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOTZLS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IJOTZSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOLTSZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IJOLSTZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IJOLSZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
IJOLZTS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOLZST,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X
IJOSTLZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOSTZL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOSLTZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IJOSLZT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X
IJOSZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IJOSZLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IJOZTLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOZTSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOZLTS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IJOZLST,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X
IJOZSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IJOZSLT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
ISTLJZO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISTLJOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTLZJO,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ISTLZOJ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ISTLOJZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTLOZJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ISTJLZO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISTJLOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTJZLO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISTJZOL,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISTJOLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTJOZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZLJO,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ISTZLOJ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ISTZJLO,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ISTZJOL,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ISTZOLJ,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISTZOJL,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ISTOLJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOLZJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOJZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOZLJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
ISTOZJL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLTJZO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTZJO,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ISLTZOJ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ISLTOJZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTOZJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLJTZO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJZTO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISLJZOT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLZTJO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLZJTO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISLZJOT,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOJT,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLOZJT,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
ISJTLZO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTZLO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJTZOL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTOZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLTZO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZTO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISJLZOT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJZTLO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISJZTOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZLTO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISJZLOT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOLT,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJOZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZTLJO,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISZTLOJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZTJLO,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISZTJOL,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ISZTOLJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISZTOJL,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ISZLTJO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISZLTOJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZLJTO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISZLJOT,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZLOJT,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
ISZJTLO,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISZJTOL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJLTO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISZJLOT,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ISZJOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJOLT,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
ISZOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ISZOTJL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ISZOLJT,O,X,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,O
ISZOJTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOJLT,O,X,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,O
ISOTLJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTLZJ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTJZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
ISOTZJL,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ISOLZJT,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
ISOJTLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ISOZTJL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ISOZLJT,O,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O
ISOZJTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZJLT,O,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O
IZTLJSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTLJOS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTLSJO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTLSOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTJLOS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTJSLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTJSOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJOLS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTJOSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSLJO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTSLOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTSJOL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTSOLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTSOJL,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTOLJS,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZTOLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTOJLS,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZTOJSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTOSJL,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLTJSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLTJOS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLTSJO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLJTOS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLJSTO,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLJSOT,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLSTJO,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLSTOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLSJOT,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
IZLSOTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZLSOJT,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O
IZLOTJS,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZLOTSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLOJTS,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLOJST,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
IZLOSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLOSJT,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X
IZJTLSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJTLOS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJTSLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJTSOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOLS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJTOSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLTOS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLSTO,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZJLSOT,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZJLOTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJSTLO,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJSTOL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJSLTO,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZJSLOT,X,X,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJSOLT,X,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
IZJOTLS,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJOTSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJOLST,X,X,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X
IZJOSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IZJOSLT,X,X,O,O,X,O,X,O,X,X,O,X,X,O,O,X,O,X
IZSTLJO,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSTLOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSTJOL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSTOLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSTOJL,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSLTJO,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSLTOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSLJOT,X,X,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSLOJT,X,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
IZSJTLO,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSJTOL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJLTO,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSJLOT,X,X,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJOLT,X,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
IZSOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZSOTJL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZSOLJT,X,X,O,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O
IZSOJTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOJLT,X,X,X,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O
IZOTLJS,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZOTLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOTJLS,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZOTJSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOTSJL,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOLTJS,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZOLTSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOLJTS,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLJST,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
IZOLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOLSJT,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X
