sequence,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXYBTZBUcB1?iBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBceBGdBi?dBThBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBTZBFdB0?dBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBSeBUdBm?dBThBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBGZBzdBi?hB8hBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFlXBGZBzdBX?mB8mBarB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFTZBFcB0dBX?dBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFzXBCZBXeBO?rBlrB8qB
TZJSOLI,O,O,X,X,X,X,X,X
TZJOILS,X,O,X,X,O,X,X,X
TZJOISL,O,O,X,X,X,X,O,X
TZJOLIS,X,O,X,X,O,X,X,X
TZJOLSI,X,O,X,X,O,X,X,X
TZJOSIL,O,O,X,X,X,X,O,X
TZJOSLI,O,O,X,X,X,X,O,X
TZSILJO,X,O,X,O,X,X,X,X
TZSILOJ,O,X,X,O,X,X,X,X
TZSIJLO,X,O,X,O,X,X,X,X
TZSIJOL,O,O,X,X,X,X,X,X
TZSIOLJ,O,O,O,O,X,X,O,X
TZSIOJL,O,O,O,X,X,X,O,X
TZSLIJO,O,O,X,O,X,X,X,X
TZSLIOJ,O,X,X,O,X,X,X,X
TZSLJIO,O,O,X,O,X,X,X,X
TZSLJOI,O,O,X,O,X,X,X,X
TZSLOIJ,O,X,X,O,X,X,X,X
TZSLOJI,O,X,X,O,X,X,X,X
TZSJILO,X,O,X,O,X,X,X,X
TZSJIOL,O,O,X,X,X,X,X,X
TZSJLIO,X,O,X,O,X,X,X,X
TZSJLOI,X,O,X,O,X,X,X,X
TZSJOIL,O,O,X,X,X,X,X,X
TZSJOLI,O,O,X,X,X,X,X,X
TZSOILJ,O,O,O,O,X,X,O,X
TZSOIJL,O,O,O,X,X,X,O,X
TZSOLIJ,O,O,O,O,X,X,O,X
TZSOLJI,O,O,X,O,X,X,O,X
TZSOJIL,O,O,O,X,X,X,O,X
TZSOJLI,O,O,X,X,X,X,O,X
TZOILJS,O,O,X,O,O,X,O,X
TZOILSJ,O,O,X,O,O,X,O,X
TZOIJLS,X,O,X,O,O,X,X,X
TZOIJSL,O,O,X,O,X,X,O,X
TZOISLJ,O,O,O,O,X,X,O,X
TZOISJL,O,O,O,O,X,X,O,X
TZOLIJS,O,O,X,O,O,X,O,X
TZOLISJ,O,O,O,O,O,X,O,X
TZOLJIS,O,O,X,O,O,X,O,X
TZOLJSI,O,O,X,O,O,X,O,X
TZOLSIJ,O,O,O,O,O,X,O,X
TZOLSJI,O,O,O,O,O,X,O,X
TZOJILS,X,O,X,O,O,X,X,X
TZOJISL,O,O,X,O,X,X,O,X
TZOJLIS,X,O,X,O,O,X,X,X
TZOJLSI,X,O,X,O,O,X,X,X
TZOJSIL,O,O,X,O,X,X,O,X
TZOJSLI,O,O,X,O,X,X,O,X
TZOSILJ,O,O,O,O,X,X,O,X
TZOSIJL,O,O,O,O,X,X,O,X
TZOSLIJ,O,O,O,O,X,X,O,X
TZOSLJI,O,O,X,O,X,X,O,X
TZOSJIL,O,O,O,O,X,X,O,X
TZOSJLI,O,O,X,O,X,X,O,X
TOILJSZ,O,O,O,O,O,X,X,X
TOILJZS,O,O,O,O,O,X,O,X
TOILSJZ,O,O,O,O,O,X,X,X
TOILSZJ,O,O,O,O,O,X,O,X
TOILZJS,O,O,X,O,O,X,O,X
TOILZSJ,O,O,O,O,O,X,O,X
TOIJLSZ,O,O,X,O,O,X,X,X
TOIJLZS,O,O,X,O,O,X,X,X
TOIJSLZ,X,O,X,O,O,X,X,X
TOIJSZL,O,O,O,O,X,O,X,X
TOIJZLS,X,O,X,O,O,X,X,X
TOIJZSL,O,O,X,O,X,X,O,X
TOISLJZ,O,O,X,O,O,X,X,X
TOISLZJ,O,O,O,O,O,X,X,X
TOISJLZ,X,O,X,O,O,X,X,X
TOISJZL,O,O,O,O,X,O,X,X
TOISZLJ,O,O,O,O,X,O,O,X
TOISZJL,O,O,O,O,X,O,O,X
TOIZLJS,O,O,X,O,O,X,O,X
TOIZLSJ,O,O,X,O,O,X,O,X
TOIZJLS,X,O,X,O,O,X,X,X
TOIZJSL,O,O,X,O,X,X,O,X
TOIZSLJ,O,O,O,O,X,X,O,X
TOIZSJL,O,O,O,O,X,X,O,X
TOLIJSZ,O,O,O,O,O,X,X,X
TOLIJZS,O,O,O,O,O,X,O,X
TOLISJZ,O,O,O,O,O,X,X,X
TOLISZJ,O,O,O,O,O,X,O,X
TOLIZJS,O,O,X,O,O,X,O,X
TOLIZSJ,O,O,O,O,O,X,O,X
TOLJISZ,O,O,O,O,O,X,X,X
TOLJIZS,O,O,O,O,O,X,O,X
TOLJSIZ,O,O,O,O,O,X,X,X
TOLJSZI,O,O,O,O,O,X,X,X
TOLJZIS,O,O,O,O,O,X,O,X
TOLJZSI,O,O,O,O,O,X,O,X
TOLSIJZ,O,O,O,O,O,X,X,X
TOLSIZJ,O,O,O,O,O,X,O,X
TOLSJIZ,O,O,O,O,O,X,X,X
TOLSJZI,O,O,O,O,O,X,X,X
TOLSZIJ,O,O,O,O,O,X,O,X
TOLSZJI,O,O,O,O,O,X,O,X
TOLZIJS,O,O,X,O,O,X,O,X
TOLZISJ,O,O,O,O,O,X,O,X
TOLZJIS,O,O,X,O,O,X,O,X
TOLZJSI,O,O,X,O,O,X,O,X
TOLZSIJ,O,O,O,O,O,X,O,X
TOLZSJI,O,O,O,O,O,X,O,X
TOJILSZ,O,O,X,O,O,X,X,X
TOJILZS,O,O,X,O,O,X,X,X
TOJISLZ,X,O,X,O,O,X,X,X
TOJISZL,O,O,O,O,X,O,X,X
TOJIZLS,X,O,X,O,O,X,X,X
TOJIZSL,O,O,X,O,X,X,O,X
TOJLISZ,O,O,O,O,O,X,X,X
TOJLIZS,O,O,X,O,O,X,X,X
TOJLSIZ,O,O,O,O,O,X,X,X
TOJLSZI,O,O,O,O,O,X,X,X
TOJLZIS,O,O,X,O,O,X,X,X
TOJLZSI,O,O,X,O,O,X,X,X
TOJSILZ,X,O,X,O,O,X,X,X
TOJSIZL,O,O,O,O,X,O,X,X
TOJSLIZ,O,O,X,O,O,X,X,X
TOJSLZI,O,O,X,O,O,X,X,X
TOJSZIL,O,O,O,O,X,O,X,X
TOJSZLI,O,O,X,O,X,O,X,X
TOJZILS,X,O,X,O,O,X,X,X
TOJZISL,O,O,X,O,X,X,O,X
TOJZLIS,X,O,X,O,O,X,X,X
TOJZLSI,X,O,X,O,O,X,X,X
TOJZSIL,O,O,X,O,X,X,O,X
TOJZSLI,O,O,X,O,X,X,O,X
TOSILJZ,O,O,X,O,O,X,X,X
TOSILZJ,O,O,O,O,O,X,X,X
TOSIJLZ,X,O,X,O,O,X,X,X
TOSIJZL,O,O,O,O,X,O,X,X
TOSIZLJ,O,O,O,O,X,O,O,X
TOSIZJL,O,O,O,O,X,O,O,X
TOSLIJZ,O,O,O,O,O,X,X,X
TOSLIZJ,O,O,O,O,O,X,X,X
TOSLJIZ,O,O,O,O,O,X,X,X
TOSLJZI,O,O,O,O,O,X,X,X
TOSLZIJ,O,O,O,O,O,X,X,X
TOSLZJI,O,O,O,O,O,X,X,X
TOSJILZ,X,O,X,O,O,X,X,X
TOSJIZL,O,O,O,O,X,O,X,X
TOSJLIZ,O,O,X,O,O,X,X,X
TOSJLZI,O,O,X,O,O,X,X,X
TOSJZIL,O,O,O,O,X,O,X,X
TOSJZLI,O,O,X,O,X,O,X,X
TOSZILJ,O,O,O,O,X,O,O,X
TOSZIJL,O,O,O,O,X,O,O,X
TOSZLIJ,O,O,O,O,X,O,O,X
TOSZLJI,O,O,X,O,X,O,O,X
TOSZJIL,O,O,O,O,X,O,O,X
TOSZJLI,O,O,X,O,X,O,O,X
TOZILJS,O,O,X,O,O,X,O,X
TOZILSJ,O,O,X,O,O,X,O,X
TOZIJLS,X,O,X,O,O,X,X,X
TOZIJSL,O,O,X,O,X,X,O,X
TOZISLJ,O,O,O,O,X,X,O,X
TOZISJL,O,O,O,O,X,X,O,X
TOZLIJS,O,O,X,O,O,X,O,X
TOZLISJ,O,O,O,O,O,X,O,X
TOZLJIS,O,O,X,O,O,X,O,X
TOZLJSI,O,O,X,O,O,X,O,X
TOZLSIJ,O,O,O,O,O,X,O,X
TOZLSJI,O,O,O,O,O,X,O,X
TOZJILS,X,O,X,O,O,X,X,X
TOZJISL,O,O,X,O,X,X,O,X
TOZJLIS,X,O,X,O,O,X,X,X
TOZJLSI,X,O,X,O,O,X,X,X
TOZJSIL,O,O,X,O,X,X,O,X
TOZJSLI,O,O,X,O,X,X,O,X
TOZSILJ,O,O,O,O,X,X,O,X
TOZSIJL,O,O,O,O,X,X,O,X
TOZSLIJ,O,O,O,O,X,X,O,X
TOZSLJI,O,O,X,O,X,X,O,X
TOZSJIL,O,O,O,O,X,X,O,X
TOZSJLI,O,O,X,O,X,X,O,X
ITLJSZO,O,O,O,O,X,X,X,X
ITLJSOZ,O,X,O,X,X,X,X,X
ITLJZSO,O,O,O,O,X,X,X,X
ITLJZOS,O,X,O,X,X,X,O,X
ITLJOSZ,O,X,O,O,O,X,X,X
ITLJOZS,O,X,O,O,O,X,O,X
ITLSJZO,O,O,X,O,X,X,X,X
ITLSJOZ,O,X,O,X,X,X,X,X
ITLSZJO,O,O,X,O,X,X,X,X
ITLSZOJ,O,X,O,O,X,X,O,X
ITLSOJZ,O,X,O,O,O,X,X,X
ITLSOZJ,O,X,O,O,O,X,O,X
ITLZJSO,O,O,X,O,X,X,X,X
ITLZJOS,O,X,X,X,X,X,O,X
ITLZSJO,O,O,X,O,X,X,X,X
ITLZSOJ,O,X,O,O,X,X,O,X
ITLZOJS,O,O,X,O,O,X,O,X
ITLZOSJ,O,O,O,O,O,X,O,X
ITLOJSZ,O,O,O,O,O,X,X,X
ITLOJZS,O,O,O,O,O,X,O,X
ITLOSJZ,O,O,O,O,O,X,X,X
ITLOSZJ,O,O,O,O,O,X,O,X
ITLOZJS,O,O,X,O,O,X,O,X
ITLOZSJ,O,O,O,O,O,X,O,X
ITJLSZO,O,O,X,O,X,X,X,X
ITJLSOZ,O,X,X,X,X,X,X,X
ITJLZSO,O,O,X,O,X,X,X,X
ITJLZOS,O,X,X,X,X,X,X,X
ITJLOSZ,O,X,X,O,O,X,X,X
ITJLOZS,O,X,X,O,O,X,X,X
ITJSLZO,X,O,X,O,X,X,X,X
ITJSLOZ,X,X,X,X,X,X,X,X
ITJSZLO,X,O,X,O,X,O,X,X
ITJSZOL,O,O,X,X,X,O,X,X
ITJSOLZ,X,X,X,X,O,X,X,X
ITJSOZL,O,O,O,X,X,O,X,X
ITJZLSO,X,O,X,O,X,X,X,X
ITJZLOS,X,X,X,X,X,X,X,X
ITJZSLO,X,O,X,O,X,X,X,X
ITJZSOL,O,O,X,X,X,X,X,X
ITJZOLS,X,O,X,X,O,X,X,X
ITJZOSL,O,O,X,X,X,X,O,X
ITJOLSZ,O,O,X,O,O,X,X,X
ITJOLZS,O,O,X,O,O,X,X,X
ITJOSLZ,X,O,X,O,O,X,X,X
ITJOSZL,O,O,O,O,X,O,X,X
ITJOZLS,X,O,X,O,O,X,X,X
ITJOZSL,O,O,X,O,X,X,O,X
ITSLJZO,O,O,X,O,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,X
ITSLZJO,O,O,X,O,X,X,X,X
ITSLZOJ,O,X,X,O,X,X,X,X
ITSLOJZ,O,X,X,O,O,X,X,X
ITSLOZJ,O,X,O,O,O,X,X,X
ITSJLZO,X,O,X,O,X,X,X,X
ITSJLOZ,X,X,X,X,X,X,X,X
ITSJZLO,X,O,X,O,X,O,X,X
ITSJZOL,O,O,X,X,X,O,X,X
ITSJOLZ,X,X,X,X,O,X,X,X
ITSJOZL,O,O,O,X,X,O,X,X
ITSZLJO,X,O,X,O,X,O,X,X
ITSZLOJ,O,X,X,O,X,O,X,X
ITSZJLO,X,O,X,O,X,O,X,X
ITSZJOL,O,O,X,X,X,O,X,X
ITSZOLJ,O,O,O,O,X,O,O,X
ITSZOJL,O,O,O,X,X,O,O,X
ITSOLJZ,O,O,X,O,O,X,X,X
ITSOLZJ,O,O,O,O,O,X,X,X
ITSOJLZ,X,O,X,O,O,X,X,X
ITSOJZL,O,O,O,O,X,O,X,X
ITSOZLJ,O,O,O,O,X,O,O,X
ITSOZJL,O,O,O,O,X,O,O,X
ITZLJSO,O,O,X,O,X,X,X,X
ITZLJOS,O,X,X,X,X,X,O,X
ITZLSJO,O,O,X,O,X,X,X,X
ITZLSOJ,O,X,X,O,X,X,O,X
ITZLOJS,O,O,X,O,O,X,O,X
ITZLOSJ,O,O,X,O,O,X,O,X
ITZJLSO,X,O,X,O,X,X,X,X
ITZJLOS,X,X,X,X,X,X,X,X
ITZJSLO,X,O,X,O,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X
ITZJOLS,X,O,X,X,O,X,X,X
ITZJOSL,O,O,X,X,X,X,O,X
ITZSLJO,X,O,X,O,X,X,X,X
ITZSLOJ,O,X,X,O,X,X,X,X
ITZSJLO,X,O,X,O,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X,X
ITZSOLJ,O,O,O,O,X,X,O,X
ITZSOJL,O,O,O,X,X,X,O,X
ITZOLJS,O,O,X,O,O,X,O,X
ITZOLSJ,O,O,X,O,O,X,O,X
ITZOJLS,X,O,X,O,O,X,X,X
ITZOJSL,O,O,X,O,X,X,O,X
ITZOSLJ,O,O,O,O,X,X,O,X
ITZOSJL,O,O,O,O,X,X,O,X
ITOLJSZ,O,O,O,O,O,X,X,X
ITOLJZS,O,O,O,O,O,X,O,X
ITOLSJZ,O,O,O,O,O,X,X,X
ITOLSZJ,O,O,O,O,O,X,O,X
ITOLZJS,O,O,X,O,O,X,O,X
ITOLZSJ,O,O,O,O,O,X,O,X
ITOJLSZ,O,O,X,O,O,X,X,X
ITOJLZS,O,O,X,O,O,X,X,X
ITOJSLZ,X,O,X,O,O,X,X,X
ITOJSZL,O,O,O,O,X,O,X,X
ITOJZLS,X,O,X,O,O,X,X,X
ITOJZSL,O,O,X,O,X,X,O,X
ITOSLJZ,O,O,X,O,O,X,X,X
ITOSLZJ,O,O,O,O,O,X,X,X
ITOSJLZ,X,O,X,O,O,X,X,X
ITOSJZL,O,O,O,O,X,O,X,X
ITOSZLJ,O,O,O,O,X,O,O,X
ITOSZJL,O,O,O,O,X,O,O,X
ITOZLJS,O,O,X,O,O,X,O,X
ITOZLSJ,O,O,X,O,O,X,O,X
ITOZJLS,X,O,X,O,O,X,X,X
ITOZJSL,O,O,X,O,X,X,O,X
ITOZSLJ,O,O,O,O,X,X,O,X
ITOZSJL,O,O,O,O,X,X,O,X
ILTJSZO,O,O,O,O,X,X,X,X
ILTJSOZ,O,X,O,X,X,X,X,X
ILTJZSO,O,O,O,O,X,X,X,X
ILTJZOS,O,X,O,X,X,X,O,X
ILTJOSZ,O,X,O,O,O,X,X,X
ILTJOZS,O,X,O,O,O,X,O,X
ILTSJZO,O,O,X,O,X,X,X,X
ILTSJOZ,O,X,O,X,X,X,X,X
ILTSZJO,O,O,X,O,X,X,X,X
ILTSZOJ,O,X,O,O,X,X,O,X
ILTSOJZ,O,X,O,O,O,X,X,X
ILTSOZJ,O,X,O,O,O,X,O,X
ILTZJSO,O,O,X,O,X,X,X,X
ILTZJOS,O,X,X,X,X,X,O,X
ILTZSJO,O,O,X,O,X,X,X,X
ILTZSOJ,O,X,O,O,X,X,O,X
ILTZOJS,O,O,X,O,O,X,O,X
ILTZOSJ,O,O,O,O,O,X,O,X
ILTOJSZ,O,O,O,O,O,X,X,X
ILTOJZS,O,O,O,O,O,X,O,X
ILTOSJZ,O,O,O,O,O,X,X,X
ILTOSZJ,O,O,O,O,O,X,O,X
ILTOZJS,O,O,X,O,O,X,O,X
ILTOZSJ,O,O,O,O,O,X,O,X
ILJTSZO,O,X,O,O,X,X,X,X
ILJTSOZ,O,X,O,X,X,X,X,X
ILJTZSO,O,X,O,O,X,X,X,X
ILJTZOS,O,X,O,X,X,X,O,X
ILJTOSZ,O,X,O,O,O,X,X,X
ILJTOZS,O,X,O,O,O,X,O,X
ILJSTZO,X,X,O,X,X,X,X,X
ILJSTOZ,X,X,O,X,X,X,X,X
ILJSZTO,X,O,O,O,X,O,X,X
ILJSZOT,X,O,O,O,X,X,X,X
ILJSOTZ,X,X,O,X,X,X,X,X
ILJSOZT,X,X,O,X,X,O,X,X
ILJZTSO,O,X,O,X,X,X,X,X
ILJZTOS,O,X,O,X,X,X,O,X
ILJZSTO,X,O,O,O,X,X,X,X
ILJZSOT,X,O,O,O,X,X,X,X
ILJZOTS,X,X,O,X,X,X,O,X
ILJZOST,X,X,O,X,X,X,X,X
ILJOTSZ,O,X,O,X,O,X,X,X
ILJOTZS,O,X,O,X,O,X,O,X
ILJOSTZ,X,X,O,X,X,X,X,X
ILJOSZT,X,X,O,X,O,O,X,X
ILJOZTS,X,X,O,X,O,X,O,X
ILJOZST,X,X,O,X,O,X,X,X
ILSTJZO,O,O,X,O,X,X,X,X
ILSTJOZ,O,X,O,X,X,X,X,X
ILSTZJO,O,O,X,O,X,X,X,X
ILSTZOJ,O,X,O,O,X,X,O,X
ILSTOJZ,O,X,O,O,X,X,X,X
ILSTOZJ,O,X,O,O,X,X,O,X
ILSJTZO,X,X,O,X,X,X,X,X
ILSJTOZ,X,X,O,X,X,X,X,X
ILSJZTO,X,O,O,O,X,O,X,X
ILSJZOT,X,O,O,O,X,X,X,X
ILSJOTZ,X,X,O,X,X,X,X,X
ILSJOZT,X,X,O,X,X,O,X,X
ILSZTJO,O,O,X,O,X,O,X,X
ILSZTOJ,O,X,O,X,X,O,O,X
ILSZJTO,X,O,X,O,X,O,X,X
ILSZJOT,X,O,X,O,X,X,X,X
ILSZOTJ,X,X,O,X,X,O,O,X
ILSZOJT,X,X,X,O,X,O,X,X
ILSOTJZ,O,X,O,X,X,X,X,X
ILSOTZJ,O,X,O,X,X,X,O,X
ILSOJTZ,X,X,O,X,X,X,X,X
ILSOJZT,X,X,O,X,O,O,X,X
ILSOZTJ,X,X,O,X,O,O,O,X
ILSOZJT,X,X,X,O,O,O,X,X
ILZTJSO,O,O,X,O,X,X,X,X
ILZTJOS,O,X,X,X,X,X,O,X
ILZTSJO,O,O,X,O,X,X,X,X
ILZTSOJ,O,X,O,O,X,X,O,X
ILZTOJS,O,O,X,O,X,X,O,X
ILZTOSJ,O,O,O,O,X,X,O,X
ILZJTSO,O,X,O,X,X,X,X,X
ILZJTOS,O,X,O,X,X,X,O,X
ILZJSTO,X,O,O,O,X,X,X,X
ILZJSOT,X,O,O,O,X,X,X,X
ILZJOTS,X,X,O,X,X,X,O,X
ILZJOST,X,X,O,X,X,X,X,X
ILZSTJO,O,O,X,O,X,X,X,X
ILZSTOJ,O,X,O,X,X,X,O,X
ILZSJTO,X,O,X,O,X,X,X,X
ILZSJOT,X,O,X,O,X,X,X,X
ILZSOTJ,X,X,O,X,X,X,O,X
ILZSOJT,X,X,X,O,X,X,X,X
ILZOTJS,O,X,X,X,O,X,O,X
ILZOTSJ,O,X,O,X,O,X,O,X
ILZOJTS,X,X,O,X,O,X,O,X
ILZOJST,X,X,O,X,O,X,X,X
ILZOSTJ,X,X,O,X,O,X,O,X
ILZOSJT,X,X,X,O,O,X,X,X
ILOTJSZ,O,X,O,O,O,X,X,X
ILOTJZS,O,X,O,O,O,X,O,X
ILOTSJZ,O,X,O,O,O,X,X,X
ILOTSZJ,O,X,O,O,O,X,O,X
ILOTZJS,O,X,X,O,O,X,O,X
ILOTZSJ,O,X,O,O,O,X,O,X
ILOJTSZ,O,X,O,X,O,X,X,X
ILOJTZS,O,X,O,X,O,X,O,X
ILOJSTZ,X,X,O,X,X,X,X,X
ILOJSZT,X,X,O,X,O,O,X,X
ILOJZTS,X,X,O,X,O,X,O,X
ILOJZST,X,X,O,X,O,X,X,X
ILOSTJZ,O,X,O,X,X,X,X,X
ILOSTZJ,O,X,O,X,X,X,O,X
ILOSJTZ,X,X,O,X,X,X,X,X
ILOSJZT,X,X,O,X,O,O,X,X
ILOSZTJ,X,X,O,X,O,O,O,X
ILOSZJT,X,X,X,O,O,O,X,X
ILOZTJS,O,X,X,X,O,X,O,X
ILOZTSJ,O,X,O,X,O,X,O,X
ILOZJTS,X,X,O,X,O,X,O,X
ILOZJST,X,X,O,X,O,X,X,X
ILOZSTJ,X,X,O,X,O,X,O,X
ILOZSJT,X,X,X,O,O,X,X,X
IJTLSZO,O,O,X,O,X,X,X,X
IJTLSOZ,O,X,X,X,X,X,X,X
IJTLZSO,O,O,X,O,X,X,X,X
IJTLZOS,O,X,X,X,X,X,X,X
IJTLOSZ,O,X,X,O,O,X,X,X
IJTLOZS,O,X,X,O,O,X,X,X
IJTSLZO,X,O,X,O,X,X,X,O
IJTSLOZ,X,X,X,X,X,X,X,O
IJTSZLO,X,O,X,O,X,O,X,O
IJTSZOL,O,O,X,X,X,O,X,O
IJTSOLZ,X,X,X,X,O,X,X,O
IJTSOZL,O,O,O,X,X,O,X,O
IJTZLSO,X,O,X,O,X,X,X,X
IJTZLOS,X,X,X,X,X,X,X,X
IJTZSLO,X,O,X,O,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X,X
IJTZOLS,X,O,X,X,O,X,X,X
IJTZOSL,O,O,X,X,X,X,O,X
IJTOLSZ,O,O,X,O,O,X,X,X
IJTOLZS,O,O,X,O,O,X,X,X
IJTOSLZ,X,O,X,O,O,X,X,O
IJTOSZL,O,O,O,O,X,O,X,O
IJTOZLS,X,O,X,O,O,X,X,X
IJTOZSL,O,O,X,O,X,X,O,X
IJLTSZO,O,X,O,O,X,X,X,X
IJLTSOZ,O,X,O,X,X,X,X,X
IJLTZSO,O,X,O,O,X,X,X,X
IJLTZOS,O,X,O,X,X,X,O,X
IJLTOSZ,O,X,O,O,O,X,X,X
IJLTOZS,O,X,O,O,O,X,O,X
IJLSTZO,X,X,O,X,X,X,X,X
IJLSTOZ,X,X,O,X,X,X,X,X
IJLSZTO,X,O,O,O,X,O,X,X
IJLSZOT,X,O,O,O,X,X,X,X
IJLSOTZ,X,X,O,X,X,X,X,X
IJLSOZT,X,X,O,X,X,O,X,X
IJLZTSO,O,X,O,X,X,X,X,X
IJLZTOS,O,X,O,X,X,X,O,X
IJLZSTO,X,O,O,O,X,X,X,X
IJLZSOT,X,O,O,O,X,X,X,X
IJLZOTS,X,X,O,X,X,X,O,X
IJLZOST,X,X,O,X,X,X,X,X
IJLOTSZ,O,X,O,X,O,X,X,X
IJLOTZS,O,X,O,X,O,X,O,X
IJLOSTZ,X,X,O,X,X,X,X,X
IJLOSZT,X,X,O,X,O,O,X,X
IJLOZTS,X,X,O,X,O,X,O,X
IJLOZST,X,X,O,X,O,X,X,X
IJSTLZO,X,O,X,O,X,X,X,O
IJSTLOZ,X,X,X,X,X,X,X,O
IJSTZLO,X,O,X,O,X,O,X,O
IJSTZOL,X,O,X,X,X,O,X,O
IJSTOLZ,X,X,X,X,O,X,X,O
IJSTOZL,X,O,O,X,X,O,X,O
IJSLTZO,X,X,X,X,X,X,X,O
IJSLTOZ,X,X,X,X,X,X,X,O
IJSLZTO,X,O,X,O,X,O,X,X
IJSLZOT,X,O,X,O,X,X,X,X
IJSLOTZ,X,X,X,X,X,X,X,X
IJSLOZT,X,X,X,X,X,O,X,X
IJSZTLO,X,O,X,X,X,O,X,X
IJSZTOL,X,O,X,X,X,O,X,X
IJSZLTO,X,O,X,O,X,O,X,X
IJSZLOT,X,O,X,O,X,O,X,X
IJSZOTL,X,X,X,X,X,O,X,X
IJSZOLT,X,O,X,X,X,O,X,X
IJSOTLZ,X,X,X,X,O,X,X,X
IJSOTZL,X,X,O,X,X,O,X,X
IJSOLTZ,X,X,X,X,X,X,X,X
IJSOLZT,X,X,X,X,O,O,X,X
IJSOZTL,X,X,X,X,X,O,X,X
IJSOZLT,X,O,X,X,X,O,X,X
IJZTLSO,X,O,X,X,X,X,X,X
IJZTLOS,X,X,X,X,X,X,X,X
IJZTSLO,X,O,X,X,X,X,X,X
IJZTSOL,O,O,X,X,X,X,X,X
IJZTOLS,X,O,X,X,O,X,X,X
IJZTOSL,O,O,X,X,X,X,O,X
IJZLTSO,X,X,X,X,X,X,X,X
IJZLTOS,X,X,X,X,X,X,O,X
IJZLSTO,X,O,X,O,X,X,X,X
IJZLSOT,X,O,X,O,X,X,X,X
IJZLOTS,X,X,X,X,X,X,O,X
IJZLOST,X,X,X,X,X,X,X,X
IJZSTLO,X,O,X,X,X,O,X,X
IJZSTOL,X,O,X,X,X,O,X,X
IJZSLTO,X,O,X,O,X,O,X,X
IJZSLOT,X,O,X,O,X,X,X,X
IJZSOTL,X,X,X,X,X,O,X,X
IJZSOLT,X,O,X,X,X,O,X,X
IJZOTLS,X,X,X,X,O,X,X,X
IJZOTSL,X,X,X,X,X,X,O,X
IJZOLTS,X,X,X,X,O,X,O,X
IJZOLST,X,X,X,X,O,X,X,X
IJZOSTL,X,X,X,X,X,O,X,X
IJZOSLT,X,O,X,X,X,O,X,X
IJOTLSZ,O,X,X,X,O,X,X,X
IJOTLZS,O,X,X,X,O,X,X,X
IJOTSLZ,X,X,X,X,O,X,X,X
IJOTSZL,O,X,O,X,X,O,X,X
IJOTZLS,X,X,X,X,O,X,X,X
IJOTZSL,O,X,X,X,X,X,O,X
IJOLTSZ,O,X,O,X,O,X,X,X
IJOLTZS,O,X,O,X,O,X,O,X
IJOLSTZ,X,X,O,X,X,X,X,X
IJOLSZT,X,X,O,X,O,O,X,X
IJOLZTS,X,X,O,X,O,X,O,X
IJOLZST,X,X,O,X,O,X,X,X
IJOSTLZ,X,X,X,X,O,X,X,X
IJOSTZL,X,X,O,X,X,O,X,X
IJOSLTZ,X,X,X,X,X,X,X,X
IJOSLZT,X,X,X,X,O,O,X,X
IJOSZTL,X,X,X,X,X,O,X,X
IJOSZLT,X,O,X,X,X,O,X,X
IJOZTLS,X,X,X,X,O,X,X,X
IJOZTSL,X,X,X,X,X,X,O,X
IJOZLTS,X,X,X,X,O,X,O,X
IJOZLST,X,X,X,X,O,X,X,X
IJOZSTL,X,X,X,X,X,O,X,X
IJOZSLT,X,O,X,X,X,O,X,X
ISTLJZO,O,O,X,O,X,X,X,X
ISTLJOZ,O,X,X,X,X,X,X,X
ISTLZJO,O,O,X,O,X,X,X,X
ISTLZOJ,O,X,X,O,X,X,X,X
ISTLOJZ,O,X,X,O,O,X,X,X
ISTLOZJ,O,X,O,O,O,X,X,X
ISTJLZO,X,O,X,O,X,X,X,X
ISTJLOZ,X,X,X,X,X,X,X,X
ISTJZLO,X,O,X,O,X,O,X,X
ISTJZOL,O,O,X,X,X,O,X,X
ISTJOLZ,X,X,X,X,O,X,X,X
ISTJOZL,O,O,O,X,X,O,X,X
ISTZLJO,X,O,X,O,X,O,X,X
ISTZLOJ,O,X,X,O,X,O,X,X
ISTZJLO,X,O,X,O,X,O,X,X
ISTZJOL,O,O,X,X,X,O,X,X
ISTZOLJ,O,O,O,O,X,O,O,X
ISTZOJL,O,O,O,X,X,O,O,X
ISTOLJZ,O,O,X,O,O,X,X,X
ISTOLZJ,O,O,O,O,O,X,X,X
ISTOJLZ,X,O,X,O,O,X,X,X
ISTOJZL,O,O,O,O,X,O,X,X
ISTOZLJ,O,O,O,O,X,O,O,X
ISTOZJL,O,O,O,O,X,O,O,X
