sequence,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeKDJvhF6eBTPB?JQBuaBUhBXdB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeTDJvhFKZB6UB?JQBuaBUhBXdB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeKDJvhF6eBJQB?uaBzLBUhBXdB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeaDJvhFvaBeRB?TLBUhBqcBpeB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8Jeq8IvhFKYBTjB?fZBJQBuaBUhB
LTOZILSJ,X,X,X,X,O
LTOZIJLS,X,X,X,X,O
LTOZIJSL,X,X,X,X,O
LTOZISLJ,X,X,X,X,O
LTOZISJL,X,X,X,X,O
LTOZLIJS,X,X,X,X,O
LTOZLISJ,X,X,X,X,O
LTOZLJIS,X,X,X,X,O
LTOZLJSI,X,X,X,X,O
LTOZLSIJ,X,X,X,X,O
LTOZLSJI,X,X,X,X,O
LTOZJILS,X,X,X,X,O
LTOZJISL,X,X,X,X,O
LTOZJLIS,X,X,X,X,O
LTOZJLSI,X,X,X,X,O
LTOZJSIL,X,X,X,X,O
LTOZJSLI,X,X,X,X,O
LTOZSILJ,X,X,X,X,O
LTOZSIJL,X,X,X,X,O
LTOZSLIJ,X,X,X,X,O
LTOZSLJI,X,X,X,X,O
LTOZSJIL,X,X,X,X,O
LTOZSJLI,X,X,X,X,O
LITLJSZO,O,X,O,X,X
LITLJSOZ,O,X,O,X,X
LITLJZSO,O,X,O,X,X
LITLJZOS,O,X,O,X,O
LITLJOSZ,O,X,O,X,O
LITLJOZS,O,X,O,X,O
LITLSJZO,O,X,O,O,X
LITLSJOZ,O,X,O,O,X
LITLSZJO,O,X,O,O,X
LITLSZOJ,O,X,X,O,X
LITLSOJZ,O,X,X,O,X
LITLSOZJ,O,X,X,O,X
LITLZJSO,O,X,O,X,X
LITLZJOS,O,X,O,X,O
LITLZSJO,O,X,O,O,X
LITLZSOJ,O,X,X,O,X
LITLZOJS,O,X,X,X,O
LITLZOSJ,O,X,X,X,O
LITLOJSZ,O,X,X,X,O
LITLOJZS,O,X,X,X,O
LITLOSJZ,O,X,X,X,O
LITLOSZJ,O,X,X,X,O
LITLOZJS,O,X,X,X,O
LITLOZSJ,O,X,X,X,O
LITJLSZO,O,X,O,X,X
LITJLSOZ,O,X,O,X,X
LITJLZSO,O,X,O,X,X
LITJLZOS,O,X,O,X,O
LITJLOSZ,O,X,O,X,O
LITJLOZS,O,X,O,X,O
LITJSLZO,O,X,O,X,X
LITJSLOZ,O,X,O,X,X
LITJSZLO,O,X,O,X,X
LITJSZOL,X,X,O,X,X
LITJSOLZ,X,X,O,X,X
LITJSOZL,X,X,O,X,X
LITJZLSO,O,X,O,X,X
LITJZLOS,O,X,O,X,O
LITJZSLO,O,X,O,X,X
LITJZSOL,X,X,O,X,X
LITJZOLS,X,X,O,X,O
LITJZOSL,X,X,O,X,O
LITJOLSZ,X,X,O,X,O
LITJOLZS,X,X,O,X,O
LITJOSLZ,X,X,O,X,O
LITJOSZL,X,X,O,X,O
LITJOZLS,X,X,O,X,O
LITJOZSL,X,X,O,X,O
LITSLJZO,O,X,O,O,X
LITSLJOZ,O,X,O,O,X
LITSLZJO,O,X,O,O,X
LITSLZOJ,O,X,X,O,X
LITSLOJZ,O,X,X,O,X
LITSLOZJ,O,X,X,O,X
LITSJLZO,O,X,O,O,X
LITSJLOZ,O,X,O,O,X
LITSJZLO,O,X,O,O,X
LITSJZOL,X,X,O,O,X
LITSJOLZ,X,X,O,O,X
LITSJOZL,X,X,O,O,X
LITSZLJO,O,X,O,O,X
LITSZLOJ,O,X,X,O,X
LITSZJLO,O,X,O,O,X
LITSZJOL,X,X,O,O,X
LITSZOLJ,X,X,X,O,X
LITSZOJL,X,X,X,O,X
LITSOLJZ,X,X,X,O,X
LITSOLZJ,X,X,X,O,X
LITSOJLZ,X,X,X,O,X
LITSOJZL,X,X,X,O,X
LITSOZLJ,X,X,X,O,X
LITSOZJL,X,X,X,O,X
LITZLJSO,O,X,O,X,X
LITZLJOS,O,X,O,X,O
LITZLSJO,O,X,O,O,X
LITZLSOJ,O,X,X,O,X
LITZLOJS,O,X,X,X,O
LITZLOSJ,O,X,X,X,O
LITZJLSO,O,X,O,X,X
LITZJLOS,O,X,O,X,O
LITZJSLO,O,X,O,X,X
LITZJSOL,X,X,O,X,X
LITZJOLS,X,X,O,X,O
LITZJOSL,X,X,O,X,O
LITZSLJO,O,X,O,O,X
LITZSLOJ,O,X,X,O,X
LITZSJLO,O,X,O,O,X
LITZSJOL,X,X,O,O,X
LITZSOLJ,X,X,X,O,X
LITZSOJL,X,X,X,O,X
LITZOLJS,X,X,X,X,O
LITZOLSJ,X,X,X,X,O
LITZOJLS,X,X,X,X,O
LITZOJSL,X,X,X,X,O
LITZOSLJ,X,X,X,X,O
LITZOSJL,X,X,X,X,O
LITOLJSZ,X,X,X,X,O
LITOLJZS,X,X,X,X,O
LITOLSJZ,X,X,X,X,O
LITOLSZJ,X,X,X,X,O
LITOLZJS,X,X,X,X,O
LITOLZSJ,X,X,X,X,O
LITOJLSZ,X,X,X,X,O
LITOJLZS,X,X,X,X,O
LITOJSLZ,X,X,X,X,O
LITOJSZL,X,X,X,X,O
LITOJZLS,X,X,X,X,O
LITOJZSL,X,X,X,X,O
LITOSLJZ,X,X,X,X,O
LITOSLZJ,X,X,X,X,O
LITOSJLZ,X,X,X,X,O
LITOSJZL,X,X,X,X,O
LITOSZLJ,X,X,X,X,O
LITOSZJL,X,X,X,X,O
LITOZLJS,X,X,X,X,O
LITOZLSJ,X,X,X,X,O
LITOZJLS,X,X,X,X,O
LITOZJSL,X,X,X,X,O
LITOZSLJ,X,X,X,X,O
LITOZSJL,X,X,X,X,O
LILTJSZO,O,X,O,X,X
LILTJSOZ,O,X,O,X,X
LILTJZSO,O,X,O,X,X
LILTJZOS,O,X,O,X,O
LILTJOSZ,O,X,O,X,O
LILTJOZS,O,X,O,X,O
LILTSJZO,O,X,O,O,X
LILTSJOZ,O,X,O,O,X
LILTSZJO,O,X,O,O,X
LILTSZOJ,O,X,X,O,X
LILTSOJZ,O,X,X,O,X
LILTSOZJ,O,X,X,O,X
LILTZJSO,O,X,O,X,X
LILTZJOS,O,X,O,X,O
LILTZSJO,O,X,O,O,X
LILTZSOJ,O,X,X,O,X
LILTZOJS,O,X,X,X,O
LILTZOSJ,O,X,X,X,O
LILTOJSZ,O,X,X,X,O
LILTOJZS,O,X,X,X,O
LILTOSJZ,O,X,X,X,O
LILTOSZJ,O,X,X,X,O
LILTOZJS,O,X,X,X,O
LILTOZSJ,O,X,X,X,O
LILJTSZO,O,X,O,X,X
LILJTSOZ,O,X,O,X,X
LILJTZSO,O,X,O,X,X
LILJTZOS,O,X,O,X,O
LILJTOSZ,O,X,O,X,O
LILJTOZS,O,X,O,X,O
LILJSTZO,O,X,O,O,X
LILJSTOZ,O,X,O,O,X
LILJSZTO,O,X,O,O,X
LILJSZOT,O,X,O,O,O
LILJSOTZ,O,X,O,O,O
LILJSOZT,O,X,O,O,O
LILJZTSO,O,X,O,X,X
LILJZTOS,O,X,O,X,O
LILJZSTO,O,X,O,O,X
LILJZSOT,O,X,O,O,O
LILJZOTS,O,X,O,X,O
LILJZOST,O,X,O,X,O
LILJOTSZ,O,X,O,X,O
LILJOTZS,O,X,O,X,O
LILJOSTZ,O,X,O,X,O
LILJOSZT,O,X,O,X,O
LILJOZTS,O,X,O,X,O
LILJOZST,O,X,O,X,O
LILSTJZO,O,X,O,O,X
LILSTJOZ,O,X,O,O,X
LILSTZJO,O,X,O,O,X
LILSTZOJ,O,X,X,O,X
LILSTOJZ,O,X,X,O,X
LILSTOZJ,O,X,X,O,X
LILSJTZO,O,X,O,O,X
LILSJTOZ,O,X,O,O,X
LILSJZTO,O,X,O,O,X
LILSJZOT,O,X,O,O,O
LILSJOTZ,O,X,O,O,O
LILSJOZT,O,X,O,O,O
LILSZTJO,O,X,O,O,X
LILSZTOJ,O,X,X,O,X
LILSZJTO,O,X,O,O,X
LILSZJOT,O,X,O,O,O
LILSZOTJ,O,X,X,O,O
LILSZOJT,O,X,O,O,O
LILSOTJZ,O,X,X,O,O
LILSOTZJ,O,X,X,O,O
LILSOJTZ,O,X,O,O,O
LILSOJZT,O,X,O,O,O
LILSOZTJ,O,X,X,O,O
LILSOZJT,O,X,O,O,O
LILZTJSO,O,X,O,X,X
LILZTJOS,O,X,O,X,O
LILZTSJO,O,X,O,O,X
LILZTSOJ,O,X,X,O,X
LILZTOJS,O,X,X,X,O
LILZTOSJ,O,X,X,X,O
LILZJTSO,O,X,O,X,X
LILZJTOS,O,X,O,X,O
LILZJSTO,O,X,O,O,X
LILZJSOT,O,X,O,O,O
LILZJOTS,O,X,O,X,O
LILZJOST,O,X,O,X,O
LILZSTJO,O,X,O,O,X
LILZSTOJ,O,X,X,O,X
LILZSJTO,O,X,O,O,X
LILZSJOT,O,X,O,O,O
LILZSOTJ,O,X,X,O,O
LILZSOJT,O,X,O,O,O
LILZOTJS,O,X,X,X,O
LILZOTSJ,O,X,X,X,O
LILZOJTS,O,X,O,X,O
LILZOJST,O,X,O,X,O
LILZOSTJ,O,X,X,O,O
LILZOSJT,O,X,O,O,O
LILOTJSZ,O,X,X,X,O
LILOTJZS,O,X,X,X,O
LILOTSJZ,O,X,X,X,O
LILOTSZJ,O,X,X,X,O
LILOTZJS,O,X,X,X,O
LILOTZSJ,O,X,X,X,O
LILOJTSZ,O,X,O,X,O
LILOJTZS,O,X,O,X,O
LILOJSTZ,O,X,O,X,O
LILOJSZT,O,X,O,X,O
LILOJZTS,O,X,O,X,O
LILOJZST,O,X,O,X,O
LILOSTJZ,O,X,X,O,O
LILOSTZJ,O,X,X,O,O
LILOSJTZ,O,X,O,O,O
LILOSJZT,O,X,O,O,O
LILOSZTJ,O,X,X,O,O
LILOSZJT,O,X,O,O,O
LILOZTJS,O,X,X,X,O
LILOZTSJ,O,X,X,X,O
LILOZJTS,O,X,O,X,O
LILOZJST,O,X,O,X,O
LILOZSTJ,O,X,X,O,O
LILOZSJT,O,X,O,O,O
LIJTLSZO,O,X,O,X,X
LIJTLSOZ,O,X,O,X,X
LIJTLZSO,O,X,O,X,X
LIJTLZOS,O,X,O,X,O
LIJTLOSZ,O,X,O,X,O
LIJTLOZS,O,X,O,X,O
LIJTSLZO,O,X,O,X,X
LIJTSLOZ,O,X,O,X,X
LIJTSZLO,O,X,O,X,X
LIJTSZOL,X,X,O,X,X
LIJTSOLZ,X,X,O,X,X
LIJTSOZL,X,X,O,X,X
LIJTZLSO,O,X,O,X,X
LIJTZLOS,O,X,O,X,O
LIJTZSLO,O,X,O,X,X
LIJTZSOL,X,X,O,X,X
LIJTZOLS,X,X,O,X,O
LIJTZOSL,X,X,O,X,O
LIJTOLSZ,X,X,O,X,O
LIJTOLZS,X,X,O,X,O
LIJTOSLZ,X,X,O,X,O
LIJTOSZL,X,X,O,X,O
LIJTOZLS,X,X,O,X,O
LIJTOZSL,X,X,O,X,O
LIJLTSZO,O,X,O,X,X
LIJLTSOZ,O,X,O,X,X
LIJLTZSO,O,X,O,X,X
LIJLTZOS,O,X,O,X,O
LIJLTOSZ,O,X,O,X,O
LIJLTOZS,O,X,O,X,O
LIJLSTZO,O,X,O,O,X
LIJLSTOZ,O,X,O,O,X
LIJLSZTO,O,X,O,O,X
LIJLSZOT,O,X,O,O,O
LIJLSOTZ,O,X,O,O,O
LIJLSOZT,O,X,O,O,O
LIJLZTSO,O,X,O,X,X
LIJLZTOS,O,X,O,X,O
LIJLZSTO,O,X,O,O,X
LIJLZSOT,O,X,O,O,O
LIJLZOTS,O,X,O,X,O
LIJLZOST,O,X,O,X,O
LIJLOTSZ,O,X,O,X,O
LIJLOTZS,O,X,O,X,O
LIJLOSTZ,O,X,O,X,O
LIJLOSZT,O,X,O,X,O
LIJLOZTS,O,X,O,X,O
LIJLOZST,O,X,O,X,O
LIJSTLZO,O,X,O,O,X
LIJSTLOZ,O,X,O,O,X
LIJSTZLO,O,X,O,O,X
LIJSTZOL,X,X,O,O,X
LIJSTOLZ,X,X,O,O,X
LIJSTOZL,X,X,O,O,X
LIJSLTZO,O,X,O,O,X
LIJSLTOZ,O,X,O,O,X
LIJSLZTO,O,X,O,O,X
LIJSLZOT,O,X,O,O,O
LIJSLOTZ,O,X,O,O,O
LIJSLOZT,O,X,O,O,O
LIJSZTLO,O,X,O,O,X
LIJSZTOL,X,X,O,O,X
LIJSZLTO,O,X,O,O,X
LIJSZLOT,O,X,O,O,O
LIJSZOTL,X,O,O,O,O
LIJSZOLT,O,O,O,O,O
LIJSOTLZ,X,O,O,O,O
LIJSOTZL,X,O,O,O,O
LIJSOLTZ,O,O,O,O,O
LIJSOLZT,O,O,O,O,O
LIJSOZTL,X,O,O,O,O
LIJSOZLT,O,O,O,O,O
LIJZTLSO,O,X,O,X,X
LIJZTLOS,O,X,O,X,O
LIJZTSLO,O,X,O,X,X
LIJZTSOL,X,X,O,X,X
LIJZTOLS,X,X,O,X,O
LIJZTOSL,X,X,O,X,O
LIJZLTSO,O,X,O,X,X
LIJZLTOS,O,X,O,X,O
LIJZLSTO,O,X,O,O,X
LIJZLSOT,O,X,O,O,O
LIJZLOTS,O,X,O,X,O
LIJZLOST,O,X,O,X,O
LIJZSTLO,O,X,O,O,X
LIJZSTOL,X,X,O,O,X
LIJZSLTO,O,X,O,O,X
LIJZSLOT,O,X,O,O,O
LIJZSOTL,X,O,O,O,O
LIJZSOLT,O,O,O,O,O
LIJZOTLS,X,O,O,X,O
LIJZOTSL,X,O,O,X,O
LIJZOLTS,O,O,O,X,O
LIJZOLST,O,O,O,X,O
LIJZOSTL,X,O,O,X,O
LIJZOSLT,O,O,O,X,O
LIJOTLSZ,X,O,O,X,O
LIJOTLZS,X,O,O,X,O
LIJOTSLZ,X,O,O,X,O
LIJOTSZL,X,O,O,X,O
LIJOTZLS,X,O,O,X,O
LIJOTZSL,X,O,O,X,O
LIJOLTSZ,O,O,O,X,O
LIJOLTZS,O,O,O,X,O
LIJOLSTZ,O,O,O,X,O
LIJOLSZT,O,O,O,X,O
LIJOLZTS,O,O,O,X,O
LIJOLZST,O,O,O,X,O
LIJOSTLZ,X,O,O,X,O
LIJOSTZL,X,O,O,X,O
LIJOSLTZ,O,O,O,X,O
LIJOSLZT,O,O,O,X,O
LIJOSZTL,X,O,O,X,O
LIJOSZLT,O,O,O,X,O
LIJOZTLS,X,O,O,X,O
LIJOZTSL,X,O,O,X,O
LIJOZLTS,O,O,O,X,O
LIJOZLST,O,O,O,X,O
LIJOZSTL,X,O,O,X,O
LIJOZSLT,O,O,O,X,O
LISTLJZO,O,X,O,O,X
LISTLJOZ,O,X,O,O,X
LISTLZJO,O,X,O,O,X
LISTLZOJ,O,X,X,O,X
LISTLOJZ,O,X,X,O,X
LISTLOZJ,O,X,X,O,X
LISTJLZO,O,X,O,O,X
LISTJLOZ,O,X,O,O,X
LISTJZLO,O,X,O,O,X
LISTJZOL,X,X,O,O,X
LISTJOLZ,X,X,O,O,X
LISTJOZL,X,X,O,O,X
LISTZLJO,O,X,O,O,X
LISTZLOJ,O,X,X,O,X
LISTZJLO,O,X,O,O,X
LISTZJOL,X,X,O,O,X
LISTZOLJ,X,X,X,O,X
LISTZOJL,X,X,X,O,X
LISTOLJZ,X,X,X,O,X
LISTOLZJ,X,X,X,O,X
LISTOJLZ,X,X,X,O,X
LISTOJZL,X,X,X,O,X
LISTOZLJ,X,X,X,O,X
LISTOZJL,X,X,X,O,X
LISLTJZO,O,X,O,O,X
LISLTJOZ,O,X,O,O,X
LISLTZJO,O,X,O,O,X
LISLTZOJ,O,X,X,O,X
LISLTOJZ,O,X,X,O,X
LISLTOZJ,O,X,X,O,X
LISLJTZO,O,X,O,O,X
LISLJTOZ,O,X,O,O,X
LISLJZTO,O,X,O,O,X
LISLJZOT,O,X,O,O,O
LISLJOTZ,O,X,O,O,O
LISLJOZT,O,X,O,O,O
LISLZTJO,O,X,O,O,X
LISLZTOJ,O,X,X,O,X
LISLZJTO,O,X,O,O,X
LISLZJOT,O,X,O,O,O
LISLZOTJ,O,X,X,O,O
LISLZOJT,O,X,O,O,O
LISLOTJZ,O,X,X,O,O
LISLOTZJ,O,X,X,O,O
LISLOJTZ,O,X,O,O,O
LISLOJZT,O,X,O,O,O
LISLOZTJ,O,X,X,O,O
LISLOZJT,O,X,O,O,O
LISJTLZO,O,X,O,O,X
LISJTLOZ,O,X,O,O,X
LISJTZLO,O,X,O,O,X
LISJTZOL,X,X,O,O,X
LISJTOLZ,X,X,O,O,X
LISJTOZL,X,X,O,O,X
LISJLTZO,O,X,O,O,X
LISJLTOZ,O,X,O,O,X
LISJLZTO,O,X,O,O,X
LISJLZOT,O,X,O,O,O
LISJLOTZ,O,X,O,O,O
LISJLOZT,O,X,O,O,O
LISJZTLO,O,X,O,O,X
LISJZTOL,X,X,O,O,X
LISJZLTO,O,X,O,O,X
LISJZLOT,O,X,O,O,O
LISJZOTL,X,O,O,O,O
LISJZOLT,O,O,O,O,O
LISJOTLZ,X,O,O,O,O
LISJOTZL,X,O,O,O,O
LISJOLTZ,O,O,O,O,O
LISJOLZT,O,O,O,O,O
LISJOZTL,X,O,O,O,O
LISJOZLT,O,O,O,O,O
LISZTLJO,O,X,O,O,X
LISZTLOJ,O,X,X,O,X
LISZTJLO,O,X,O,O,X
LISZTJOL,X,X,O,O,X
LISZTOLJ,X,X,X,O,X
LISZTOJL,X,X,X,O,X
LISZLTJO,O,X,O,O,X
LISZLTOJ,O,X,X,O,X
LISZLJTO,O,X,O,O,X
LISZLJOT,O,X,O,O,O
LISZLOTJ,O,X,X,O,O
LISZLOJT,O,X,O,O,O
LISZJTLO,O,X,O,O,X
LISZJTOL,X,X,O,O,X
LISZJLTO,O,X,O,O,X
LISZJLOT,O,X,O,O,O
LISZJOTL,X,O,O,O,O
LISZJOLT,O,O,O,O,O
LISZOTLJ,X,O,X,O,O
LISZOTJL,X,O,X,O,O
LISZOLTJ,O,O,X,O,O
LISZOLJT,O,O,O,O,O
LISZOJTL,X,O,O,O,O
LISZOJLT,O,O,O,O,O
LISOTLJZ,X,O,X,O,O
LISOTLZJ,X,O,X,O,O
LISOTJLZ,X,O,X,O,O
LISOTJZL,X,O,X,O,O
LISOTZLJ,X,O,X,O,O
LISOTZJL,X,O,X,O,O
LISOLTJZ,O,O,X,O,O
LISOLTZJ,O,O,X,O,O
LISOLJTZ,O,O,O,O,O
LISOLJZT,O,O,O,O,O
LISOLZTJ,O,O,X,O,O
LISOLZJT,O,O,O,O,O
LISOJTLZ,X,O,O,O,O
LISOJTZL,X,O,O,O,O
LISOJLTZ,O,O,O,O,O
LISOJLZT,O,O,O,O,O
LISOJZTL,X,O,O,O,O
LISOJZLT,O,O,O,O,O
LISOZTLJ,X,O,X,O,O
LISOZTJL,X,O,X,O,O
LISOZLTJ,O,O,X,O,O
LISOZLJT,O,O,O,O,O
LISOZJTL,X,O,O,O,O
LISOZJLT,O,O,O,O,O
LIZTLJSO,O,X,O,X,X
LIZTLJOS,O,X,O,X,O
LIZTLSJO,O,X,O,O,X
LIZTLSOJ,O,X,X,O,X
LIZTLOJS,O,X,X,X,O
LIZTLOSJ,O,X,X,X,O
LIZTJLSO,O,X,O,X,X
LIZTJLOS,O,X,O,X,O
LIZTJSLO,O,X,O,X,X
LIZTJSOL,X,X,O,X,X
LIZTJOLS,X,X,O,X,O
LIZTJOSL,X,X,O,X,O
LIZTSLJO,O,X,O,O,X
LIZTSLOJ,O,X,X,O,X
LIZTSJLO,O,X,O,O,X
LIZTSJOL,X,X,O,O,X
LIZTSOLJ,X,X,X,O,X
LIZTSOJL,X,X,X,O,X
LIZTOLJS,X,X,X,X,O
LIZTOLSJ,X,X,X,X,O
LIZTOJLS,X,X,X,X,O
LIZTOJSL,X,X,X,X,O
LIZTOSLJ,X,X,X,X,O
LIZTOSJL,X,X,X,X,O
LIZLTJSO,O,X,O,X,X
LIZLTJOS,O,X,O,X,O
LIZLTSJO,O,X,O,O,X
LIZLTSOJ,O,X,X,O,X
LIZLTOJS,O,X,X,X,O
LIZLTOSJ,O,X,X,X,O
LIZLJTSO,O,X,O,X,X
LIZLJTOS,O,X,O,X,O
LIZLJSTO,O,X,O,O,X
LIZLJSOT,O,X,O,O,O
LIZLJOTS,O,X,O,X,O
LIZLJOST,O,X,O,X,O
LIZLSTJO,O,X,O,O,X
LIZLSTOJ,O,X,X,O,X
LIZLSJTO,O,X,O,O,X
LIZLSJOT,O,X,O,O,O
LIZLSOTJ,O,X,X,O,O
LIZLSOJT,O,X,O,O,O
LIZLOTJS,O,X,X,X,O
LIZLOTSJ,O,X,X,X,O
LIZLOJTS,O,X,O,X,O
LIZLOJST,O,X,O,X,O
LIZLOSTJ,O,X,X,O,O
LIZLOSJT,O,X,O,O,O
LIZJTLSO,O,X,O,X,X
LIZJTLOS,O,X,O,X,O
LIZJTSLO,O,X,O,X,X
LIZJTSOL,X,X,O,X,X
LIZJTOLS,X,X,O,X,O
LIZJTOSL,X,X,O,X,O
LIZJLTSO,O,X,O,X,X
LIZJLTOS,O,X,O,X,O
LIZJLSTO,O,X,O,O,X
LIZJLSOT,O,X,O,O,O
LIZJLOTS,O,X,O,X,O
LIZJLOST,O,X,O,X,O
LIZJSTLO,O,X,O,O,X
LIZJSTOL,X,X,O,O,X
LIZJSLTO,O,X,O,O,X
LIZJSLOT,O,X,O,O,O
LIZJSOTL,X,O,O,O,O
LIZJSOLT,O,O,O,O,O
LIZJOTLS,X,O,O,X,O
LIZJOTSL,X,O,O,X,O
LIZJOLTS,O,O,O,X,O
LIZJOLST,O,O,O,X,O
LIZJOSTL,X,O,O,X,O
LIZJOSLT,O,O,O,X,O
LIZSTLJO,O,X,O,O,X
LIZSTLOJ,O,X,X,O,X
LIZSTJLO,O,X,O,O,X
LIZSTJOL,X,X,O,O,X
LIZSTOLJ,X,X,X,O,X
LIZSTOJL,X,X,X,O,X
LIZSLTJO,O,X,O,O,X
LIZSLTOJ,O,X,X,O,X
LIZSLJTO,O,X,O,O,X
LIZSLJOT,O,X,O,O,O
LIZSLOTJ,O,X,X,O,O
LIZSLOJT,O,X,O,O,O
LIZSJTLO,O,X,O,O,X
LIZSJTOL,X,X,O,O,X
LIZSJLTO,O,X,O,O,X
LIZSJLOT,O,X,O,O,O
LIZSJOTL,X,O,O,O,O
LIZSJOLT,O,O,O,O,O
LIZSOTLJ,X,O,X,O,O
LIZSOTJL,X,O,X,O,O
LIZSOLTJ,O,O,X,O,O
LIZSOLJT,O,O,O,O,O
LIZSOJTL,X,O,O,O,O
LIZSOJLT,O,O,O,O,O
LIZOTLJS,X,O,X,X,O
LIZOTLSJ,X,O,X,X,O
LIZOTJLS,X,O,X,X,O
LIZOTJSL,X,O,X,X,O
LIZOTSLJ,X,O,X,X,O
LIZOTSJL,X,O,X,X,O
LIZOLTJS,O,O,X,X,O
LIZOLTSJ,O,O,X,X,O
LIZOLJTS,O,O,O,X,O
LIZOLJST,O,O,O,X,O
LIZOLSTJ,O,O,X,O,O
LIZOLSJT,O,O,O,O,O
LIZOJTLS,X,O,O,X,O
LIZOJTSL,X,O,O,X,O
LIZOJLTS,O,O,O,X,O
LIZOJLST,O,O,O,X,O
LIZOJSTL,X,O,O,X,O
LIZOJSLT,O,O,O,X,O
LIZOSTLJ,X,O,X,O,O
LIZOSTJL,X,O,X,O,O
LIZOSLTJ,O,O,X,O,O
LIZOSLJT,O,O,O,O,O
LIZOSJTL,X,O,O,O,O
LIZOSJLT,O,O,O,O,O
LIOTLJSZ,X,O,X,X,O
LIOTLJZS,X,O,X,X,O
LIOTLSJZ,X,O,X,X,O
LIOTLSZJ,X,O,X,X,O
LIOTLZJS,X,O,X,X,O
LIOTLZSJ,X,O,X,X,O
LIOTJLSZ,X,O,X,X,O
LIOTJLZS,X,O,X,X,O
LIOTJSLZ,X,O,X,X,O
LIOTJSZL,X,O,X,X,O
LIOTJZLS,X,O,X,X,O
LIOTJZSL,X,O,X,X,O
LIOTSLJZ,X,O,X,X,O
LIOTSLZJ,X,O,X,X,O
LIOTSJLZ,X,O,X,X,O
LIOTSJZL,X,O,X,X,O
LIOTSZLJ,X,O,X,X,O
LIOTSZJL,X,O,X,X,O
LIOTZLJS,X,O,X,X,O
LIOTZLSJ,X,O,X,X,O
LIOTZJLS,X,O,X,X,O
LIOTZJSL,X,O,X,X,O
LIOTZSLJ,X,O,X,X,O
LIOTZSJL,X,O,X,X,O
LIOLTJSZ,O,O,X,X,O
LIOLTJZS,O,O,X,X,O
LIOLTSJZ,O,O,X,X,O
LIOLTSZJ,O,O,X,X,O
LIOLTZJS,O,O,X,X,O
LIOLTZSJ,O,O,X,X,O
LIOLJTSZ,O,O,O,X,O
LIOLJTZS,O,O,O,X,O
LIOLJSTZ,O,O,O,X,O
LIOLJSZT,O,O,O,X,O
LIOLJZTS,O,O,O,X,O
LIOLJZST,O,O,O,X,O
LIOLSTJZ,O,O,X,O,O
LIOLSTZJ,O,O,X,O,O
LIOLSJTZ,O,O,O,O,O
LIOLSJZT,O,O,O,O,O
LIOLSZTJ,O,O,X,O,O
LIOLSZJT,O,O,O,O,O
LIOLZTJS,O,O,X,X,O
LIOLZTSJ,O,O,X,X,O
LIOLZJTS,O,O,O,X,O
LIOLZJST,O,O,O,X,O
LIOLZSTJ,O,O,X,O,O
LIOLZSJT,O,O,O,O,O
LIOJTLSZ,X,O,O,X,O
LIOJTLZS,X,O,O,X,O
LIOJTSLZ,X,O,O,X,O
LIOJTSZL,X,O,O,X,O
LIOJTZLS,X,O,O,X,O
LIOJTZSL,X,O,O,X,O
LIOJLTSZ,O,O,O,X,O
LIOJLTZS,O,O,O,X,O
LIOJLSTZ,O,O,O,X,O
LIOJLSZT,O,O,O,X,O
LIOJLZTS,O,O,O,X,O
LIOJLZST,O,O,O,X,O
LIOJSTLZ,X,O,O,X,O
LIOJSTZL,X,O,O,X,O
LIOJSLTZ,O,O,O,X,O
LIOJSLZT,O,O,O,X,O
LIOJSZTL,X,O,O,X,O
LIOJSZLT,O,O,O,X,O
LIOJZTLS,X,O,O,X,O
LIOJZTSL,X,O,O,X,O
LIOJZLTS,O,O,O,X,O
LIOJZLST,O,O,O,X,O
LIOJZSTL,X,O,O,X,O
LIOJZSLT,O,O,O,X,O
LIOSTLJZ,X,O,X,O,O
LIOSTLZJ,X,O,X,O,O
LIOSTJLZ,X,O,X,O,O
LIOSTJZL,X,O,X,O,O
LIOSTZLJ,X,O,X,O,O
LIOSTZJL,X,O,X,O,O
LIOSLTJZ,O,O,X,O,O
LIOSLTZJ,O,O,X,O,O
LIOSLJTZ,O,O,O,O,O
LIOSLJZT,O,O,O,O,O
LIOSLZTJ,O,O,X,O,O
LIOSLZJT,O,O,O,O,O
LIOSJTLZ,X,O,O,O,O
LIOSJTZL,X,O,O,O,O
LIOSJLTZ,O,O,O,O,O
LIOSJLZT,O,O,O,O,O
LIOSJZTL,X,O,O,O,O
LIOSJZLT,O,O,O,O,O
LIOSZTLJ,X,O,X,O,O
LIOSZTJL,X,O,X,O,O
LIOSZLTJ,O,O,X,O,O
LIOSZLJT,O,O,O,O,O
LIOSZJTL,X,O,O,O,O
LIOSZJLT,O,O,O,O,O
LIOZTLJS,X,O,X,X,O
LIOZTLSJ,X,O,X,X,O
LIOZTJLS,X,O,X,X,O
LIOZTJSL,X,O,X,X,O
LIOZTSLJ,X,O,X,X,O
LIOZTSJL,X,O,X,X,O
LIOZLTJS,O,O,X,X,O
LIOZLTSJ,O,O,X,X,O
LIOZLJTS,O,O,O,X,O
