sequence,v115@RhA8DeA8BeH8BeB8JepHJvhFJnBToBMrBuqBvpBaqB?,v115@RhA8DeA8BeH8BeB8JepHJvhFJnBToBMrBWvB3qBipB?,v115@RhA8DeA8BeH8BeB8JepHJvhFJnBToBvpByvBUqBGrB?,v115@RhA8DeA8BeH8BeB8JeTMJvhFxsBxnByvBGmBvpBUqB?,v115@RhA8DeA8BeH8BeB8JeTMJvhFxsBxnBWvBikBMrB3qB?,v115@RhA8DeA8BeH8BeB8JeTDJvhFOsBXmBxkB0kBxlB6sB?,v115@RhA8DeA8BeH8BeB8JeTDJvhF6sBxlB0kBxkBXmBOsB?
ITZOIJSL,O,O,X,X,X,X,X
ITZOISLJ,O,O,X,X,X,X,X
ITZOISJL,O,O,X,X,X,X,X
ITZOLIJS,X,O,X,X,X,X,O
ITZOLISJ,X,O,X,X,X,X,O
ITZOLJIS,X,O,X,X,X,X,O
ITZOLJSI,X,O,X,X,X,X,O
ITZOLSIJ,X,O,X,X,X,X,O
ITZOLSJI,X,X,X,X,X,X,O
ITZOJILS,X,O,X,X,X,X,X
ITZOJISL,O,O,X,X,X,X,X
ITZOJLIS,X,O,X,X,X,X,X
ITZOJLSI,X,O,X,X,X,X,X
ITZOJSIL,O,O,X,X,X,X,X
ITZOJSLI,O,O,X,X,X,X,X
ITZOSILJ,O,O,X,X,X,X,X
ITZOSIJL,O,O,X,X,X,X,X
ITZOSLIJ,O,O,X,X,X,X,X
ITZOSLJI,O,X,X,X,X,X,X
ITZOSJIL,O,O,X,X,X,X,X
ITZOSJLI,O,O,X,X,X,X,X
ITOILJSZ,X,X,O,X,X,X,X
ITOILJZS,X,O,X,X,X,X,X
ITOILSJZ,X,X,O,X,X,X,X
ITOILSZJ,X,X,O,X,X,X,X
ITOILZJS,X,O,X,X,X,X,X
ITOILZSJ,X,O,X,X,X,X,X
ITOIJLSZ,X,X,O,X,X,X,X
ITOIJLZS,X,O,X,X,X,X,X
ITOIJSLZ,X,X,O,X,X,X,X
ITOIJSZL,X,X,O,X,X,X,X
ITOIJZLS,X,O,X,X,X,X,X
ITOIJZSL,X,O,X,X,X,X,X
ITOISLJZ,X,X,O,X,X,X,X
ITOISLZJ,O,X,O,X,X,X,X
ITOISJLZ,X,X,O,X,X,X,X
ITOISJZL,X,X,O,X,X,X,X
ITOISZLJ,O,X,O,X,X,X,X
ITOISZJL,O,X,O,X,X,X,X
ITOIZLJS,X,O,X,X,X,X,X
ITOIZLSJ,X,O,X,X,X,X,X
ITOIZJLS,X,O,X,X,X,X,X
ITOIZJSL,O,O,X,X,X,X,X
ITOIZSLJ,O,O,X,X,X,X,X
ITOIZSJL,O,O,X,X,X,X,X
ITOLIJSZ,X,X,O,X,X,X,X
ITOLIJZS,X,O,X,X,X,X,X
ITOLISJZ,X,X,O,X,X,X,X
ITOLISZJ,X,X,O,X,X,X,X
ITOLIZJS,X,O,X,X,X,X,X
ITOLIZSJ,X,O,X,X,X,X,X
ITOLJISZ,X,X,O,X,X,X,X
ITOLJIZS,X,O,X,X,X,X,X
ITOLJSIZ,X,X,O,X,X,X,X
ITOLJSZI,X,X,O,X,X,X,X
ITOLJZIS,X,O,X,X,X,X,X
ITOLJZSI,X,O,X,X,X,X,X
ITOLSIJZ,X,X,O,X,X,X,X
ITOLSIZJ,X,X,O,X,X,X,X
ITOLSJIZ,X,X,O,X,X,X,X
ITOLSJZI,X,X,O,X,X,X,X
ITOLSZIJ,X,X,O,X,X,X,X
ITOLSZJI,X,X,O,X,X,X,X
ITOLZIJS,X,O,X,X,X,X,O
ITOLZISJ,X,O,X,X,X,X,O
ITOLZJIS,X,O,X,X,X,X,O
ITOLZJSI,X,O,X,X,X,X,O
ITOLZSIJ,X,O,X,X,X,X,O
ITOLZSJI,X,X,X,X,X,X,O
ITOJILSZ,X,X,O,X,X,X,X
ITOJILZS,X,O,X,X,X,X,X
ITOJISLZ,X,X,O,X,X,X,X
ITOJISZL,X,X,O,X,X,X,X
ITOJIZLS,X,O,X,X,X,X,X
ITOJIZSL,X,O,X,X,X,X,X
ITOJLISZ,X,X,O,X,X,X,X
ITOJLIZS,X,O,X,X,X,X,X
ITOJLSIZ,X,X,O,X,X,X,X
ITOJLSZI,X,X,O,X,X,X,X
ITOJLZIS,X,O,X,X,X,X,X
ITOJLZSI,X,O,X,X,X,X,X
ITOJSILZ,X,X,O,X,X,O,X
ITOJSIZL,X,X,O,X,X,O,X
ITOJSLIZ,X,X,O,X,X,O,X
ITOJSLZI,X,X,O,X,X,O,X
ITOJSZIL,X,X,O,X,X,O,X
ITOJSZLI,X,X,X,X,X,O,X
ITOJZILS,X,O,X,X,X,X,X
ITOJZISL,X,O,X,X,X,X,X
ITOJZLIS,X,O,X,X,X,X,X
ITOJZLSI,X,O,X,X,X,X,X
ITOJZSIL,X,O,X,X,X,X,X
ITOJZSLI,X,O,X,X,X,X,X
ITOSILJZ,X,X,O,X,X,X,X
ITOSILZJ,O,X,O,X,X,X,X
ITOSIJLZ,X,X,O,X,X,O,X
ITOSIJZL,X,X,O,X,X,O,X
ITOSIZLJ,O,X,O,X,X,X,X
ITOSIZJL,O,X,O,X,X,X,X
ITOSLIJZ,X,X,O,X,X,X,X
ITOSLIZJ,O,X,O,X,X,X,X
ITOSLJIZ,X,X,O,X,X,X,X
ITOSLJZI,X,X,O,X,X,X,X
ITOSLZIJ,O,X,O,X,X,X,X
ITOSLZJI,O,X,O,X,X,X,X
ITOSJILZ,X,X,O,X,X,O,X
ITOSJIZL,X,X,O,X,X,O,X
ITOSJLIZ,X,X,O,X,X,O,X
ITOSJLZI,X,X,O,X,X,O,X
ITOSJZIL,X,X,O,X,X,O,X
ITOSJZLI,X,X,X,X,X,O,X
ITOSZILJ,O,X,O,X,X,X,X
ITOSZIJL,O,X,O,X,X,X,X
ITOSZLIJ,O,X,O,X,X,X,X
ITOSZLJI,O,X,O,X,X,X,X
ITOSZJIL,O,X,O,X,X,X,X
ITOSZJLI,O,X,X,X,X,X,X
ITOZILJS,X,O,X,X,X,X,O
ITOZILSJ,X,O,X,X,X,X,O
ITOZIJLS,X,O,X,X,X,X,X
ITOZIJSL,O,O,X,X,X,X,X
ITOZISLJ,O,O,X,X,X,X,X
ITOZISJL,O,O,X,X,X,X,X
ITOZLIJS,X,O,X,X,X,X,O
ITOZLISJ,X,O,X,X,X,X,O
ITOZLJIS,X,O,X,X,X,X,O
ITOZLJSI,X,O,X,X,X,X,O
ITOZLSIJ,X,O,X,X,X,X,O
ITOZLSJI,X,X,X,X,X,X,O
ITOZJILS,X,O,X,X,X,X,X
ITOZJISL,O,O,X,X,X,X,X
ITOZJLIS,X,O,X,X,X,X,X
ITOZJLSI,X,O,X,X,X,X,X
ITOZJSIL,O,O,X,X,X,X,X
ITOZJSLI,O,O,X,X,X,X,X
ITOZSILJ,O,O,X,X,X,X,X
ITOZSIJL,O,O,X,X,X,X,X
ITOZSLIJ,O,O,X,X,X,X,X
ITOZSLJI,O,X,X,X,X,X,X
ITOZSJIL,O,O,X,X,X,X,X
ITOZSJLI,O,O,X,X,X,X,X
IITLJSZO,X,X,O,O,X,X,X
IITLJSOZ,X,X,O,X,X,X,X
IITLJZSO,X,O,X,X,O,X,X
IITLJZOS,X,O,X,X,X,X,X
IITLJOSZ,X,X,O,X,X,X,X
IITLJOZS,X,O,X,X,X,X,X
IITLSJZO,X,X,O,O,X,X,X
IITLSJOZ,X,X,O,X,X,X,X
IITLSZJO,X,X,O,O,X,X,X
IITLSZOJ,X,X,O,X,X,X,X
IITLSOJZ,X,X,O,X,X,X,X
IITLSOZJ,X,X,O,X,X,X,X
IITLZJSO,X,O,X,X,O,X,X
IITLZJOS,X,O,X,X,X,X,X
IITLZSJO,X,X,X,X,O,X,X
IITLZSOJ,X,O,X,X,X,X,X
IITLZOJS,X,O,X,X,X,X,X
IITLZOSJ,X,O,X,X,X,X,X
IITLOJSZ,X,X,O,X,X,X,X
IITLOJZS,X,O,X,X,X,X,X
IITLOSJZ,X,X,O,X,X,X,X
IITLOSZJ,X,X,O,X,X,X,X
IITLOZJS,X,O,X,X,X,X,X
IITLOZSJ,X,O,X,X,X,X,X
IITJLSZO,X,X,O,O,X,X,X
IITJLSOZ,X,X,O,X,X,X,X
IITJLZSO,X,O,X,X,O,X,X
IITJLZOS,X,O,X,X,X,X,X
IITJLOSZ,X,X,O,X,X,X,X
IITJLOZS,X,O,X,X,X,X,X
IITJSLZO,X,X,O,O,X,X,X
IITJSLOZ,X,X,O,X,X,X,X
IITJSZLO,X,X,X,O,X,X,X
IITJSZOL,X,X,O,X,X,X,X
IITJSOLZ,X,X,O,X,X,X,X
IITJSOZL,X,X,O,X,X,X,X
IITJZLSO,X,O,X,X,O,X,X
IITJZLOS,X,O,X,X,X,X,X
IITJZSLO,X,O,X,X,O,X,X
IITJZSOL,X,O,X,X,X,X,X
IITJZOLS,X,O,X,X,X,X,X
IITJZOSL,X,O,X,X,X,X,X
IITJOLSZ,X,X,O,X,X,X,X
IITJOLZS,X,O,X,X,X,X,X
IITJOSLZ,X,X,O,X,X,X,X
IITJOSZL,X,X,O,X,X,X,X
IITJOZLS,X,O,X,X,X,X,X
IITJOZSL,X,O,X,X,X,X,X
IITSLJZO,X,X,O,O,X,X,X
IITSLJOZ,X,X,O,X,X,X,X
IITSLZJO,O,X,O,O,X,X,X
IITSLZOJ,O,X,O,X,X,X,X
IITSLOJZ,X,X,O,X,X,X,X
IITSLOZJ,O,X,O,X,X,X,X
IITSJLZO,X,X,O,O,X,X,X
IITSJLOZ,X,X,O,X,X,X,X
IITSJZLO,X,X,X,O,X,X,X
IITSJZOL,X,X,O,X,X,X,X
IITSJOLZ,X,X,O,X,X,X,X
IITSJOZL,X,X,O,X,X,X,X
IITSZLJO,O,X,O,O,X,X,X
IITSZLOJ,O,X,O,X,X,X,X
IITSZJLO,O,X,X,O,X,X,X
IITSZJOL,O,X,O,X,X,X,X
IITSZOLJ,O,X,O,X,X,X,X
IITSZOJL,O,X,O,X,X,X,X
IITSOLJZ,X,X,O,X,X,X,X
IITSOLZJ,O,X,O,X,X,X,X
IITSOJLZ,X,X,O,X,X,X,X
IITSOJZL,X,X,O,X,X,X,X
IITSOZLJ,O,X,O,X,X,X,X
IITSOZJL,O,X,O,X,X,X,X
IITZLJSO,X,O,X,X,O,X,X
IITZLJOS,X,O,X,X,X,X,X
IITZLSJO,X,X,X,X,O,X,X
IITZLSOJ,X,O,X,X,X,X,X
IITZLOJS,X,O,X,X,X,X,X
IITZLOSJ,X,O,X,X,X,X,X
IITZJLSO,X,O,X,X,O,X,X
IITZJLOS,X,O,X,X,X,X,X
IITZJSLO,O,O,X,X,O,X,X
IITZJSOL,O,O,X,X,X,X,X
IITZJOLS,X,O,X,X,X,X,X
IITZJOSL,O,O,X,X,X,X,X
IITZSLJO,O,X,X,X,O,X,X
IITZSLOJ,O,O,X,X,X,X,X
IITZSJLO,O,O,X,X,O,X,X
IITZSJOL,O,O,X,X,X,X,X
IITZSOLJ,O,O,X,X,X,X,X
IITZSOJL,O,O,X,X,X,X,X
IITZOLJS,X,O,X,X,X,X,X
IITZOLSJ,X,O,X,X,X,X,X
IITZOJLS,X,O,X,X,X,X,X
IITZOJSL,O,O,X,X,X,X,X
IITZOSLJ,O,O,X,X,X,X,X
IITZOSJL,O,O,X,X,X,X,X
IITOLJSZ,X,X,O,X,X,X,X
IITOLJZS,X,O,X,X,X,X,X
IITOLSJZ,X,X,O,X,X,X,X
IITOLSZJ,X,X,O,X,X,X,X
IITOLZJS,X,O,X,X,X,X,X
IITOLZSJ,X,O,X,X,X,X,X
IITOJLSZ,X,X,O,X,X,X,X
IITOJLZS,X,O,X,X,X,X,X
IITOJSLZ,X,X,O,X,X,X,X
IITOJSZL,X,X,O,X,X,X,X
IITOJZLS,X,O,X,X,X,X,X
IITOJZSL,X,O,X,X,X,X,X
IITOSLJZ,X,X,O,X,X,X,X
IITOSLZJ,O,X,O,X,X,X,X
IITOSJLZ,X,X,O,X,X,X,X
IITOSJZL,X,X,O,X,X,X,X
IITOSZLJ,O,X,O,X,X,X,X
IITOSZJL,O,X,O,X,X,X,X
IITOZLJS,X,O,X,X,X,X,X
IITOZLSJ,X,O,X,X,X,X,X
IITOZJLS,X,O,X,X,X,X,X
IITOZJSL,O,O,X,X,X,X,X
IITOZSLJ,O,O,X,X,X,X,X
IITOZSJL,O,O,X,X,X,X,X
IILTJSZO,X,X,O,O,X,X,X
IILTJSOZ,X,X,O,X,X,X,X
IILTJZSO,X,O,X,X,O,X,X
IILTJZOS,X,O,X,X,X,X,X
IILTJOSZ,X,X,O,X,X,X,X
IILTJOZS,X,O,X,X,X,X,X
IILTSJZO,X,X,O,O,X,X,X
IILTSJOZ,X,X,O,X,X,X,X
IILTSZJO,X,X,O,O,X,X,X
IILTSZOJ,X,X,O,X,X,X,X
IILTSOJZ,X,X,O,X,X,X,X
IILTSOZJ,X,X,O,X,X,X,X
IILTZJSO,X,O,X,X,O,X,X
IILTZJOS,X,O,X,X,X,X,X
IILTZSJO,X,X,X,X,O,X,X
IILTZSOJ,X,O,X,X,X,X,X
IILTZOJS,X,O,X,X,X,X,X
IILTZOSJ,X,O,X,X,X,X,X
IILTOJSZ,X,X,O,X,X,X,X
IILTOJZS,X,O,X,X,X,X,X
IILTOSJZ,X,X,O,X,X,X,X
IILTOSZJ,X,X,O,X,X,X,X
IILTOZJS,X,O,X,X,X,X,X
IILTOZSJ,X,O,X,X,X,X,X
IILJTSZO,X,X,O,O,X,X,X
IILJTSOZ,X,X,O,X,X,X,X
IILJTZSO,X,O,X,X,O,X,X
IILJTZOS,X,O,X,X,X,X,X
IILJTOSZ,X,X,O,X,X,X,X
IILJTOZS,X,O,X,X,X,X,X
IILJSTZO,X,X,O,O,X,X,X
IILJSTOZ,X,X,O,X,X,X,X
IILJSZTO,X,O,O,O,O,X,X
IILJSZOT,X,O,O,O,O,X,X
IILJSOTZ,X,X,O,X,X,X,X
IILJSOZT,X,O,O,O,X,X,X
IILJZTSO,X,O,X,X,O,X,X
IILJZTOS,X,O,X,X,X,X,X
IILJZSTO,X,O,O,O,O,X,X
IILJZSOT,X,O,O,O,O,X,X
IILJZOTS,X,O,X,X,X,X,X
IILJZOST,X,O,O,X,O,X,X
IILJOTSZ,X,X,O,X,X,X,X
IILJOTZS,X,O,X,X,X,X,X
IILJOSTZ,X,X,O,X,X,X,X
IILJOSZT,X,O,O,O,X,X,X
IILJOZTS,X,O,X,X,X,X,X
IILJOZST,X,O,O,X,O,X,X
IILSTJZO,X,X,O,O,X,X,X
IILSTJOZ,X,X,O,X,X,X,X
IILSTZJO,O,X,O,O,X,X,X
IILSTZOJ,O,X,O,X,X,X,X
IILSTOJZ,X,X,O,X,X,X,X
IILSTOZJ,O,X,O,X,X,X,X
IILSJTZO,X,X,O,O,X,X,X
IILSJTOZ,X,X,O,X,X,X,X
IILSJZTO,O,O,O,O,O,X,X
IILSJZOT,O,O,O,O,O,X,X
IILSJOTZ,X,X,O,X,X,X,X
IILSJOZT,O,O,O,O,X,X,X
IILSZTJO,O,X,O,O,O,X,X
IILSZTOJ,O,O,O,X,X,X,X
IILSZJTO,O,O,O,O,O,X,X
IILSZJOT,O,O,O,O,O,X,X
IILSZOTJ,O,O,O,X,X,X,X
IILSZOJT,O,O,O,O,O,X,X
IILSOTJZ,X,X,O,X,X,X,X
IILSOTZJ,O,X,O,X,X,X,X
IILSOJTZ,X,X,O,X,X,X,X
IILSOJZT,O,O,O,O,X,X,X
IILSOZTJ,O,O,O,X,X,X,X
IILSOZJT,O,O,O,O,X,X,X
IILZTJSO,X,O,X,X,O,X,X
IILZTJOS,X,O,X,X,X,X,X
IILZTSJO,X,X,X,X,O,X,X
IILZTSOJ,X,O,X,X,X,X,X
IILZTOJS,X,O,X,X,X,X,O
IILZTOSJ,X,O,X,X,X,X,O
IILZJTSO,X,O,X,X,O,X,X
IILZJTOS,X,O,X,X,X,X,X
IILZJSTO,O,O,O,O,O,X,X
IILZJSOT,O,O,O,O,O,X,X
IILZJOTS,X,O,X,X,X,X,O
IILZJOST,O,O,O,X,O,X,O
IILZSTJO,O,X,O,O,O,X,X
IILZSTOJ,O,O,O,X,X,X,X
IILZSJTO,O,O,O,O,O,X,X
IILZSJOT,O,O,O,O,O,X,X
IILZSOTJ,O,O,O,X,X,X,O
IILZSOJT,O,O,O,O,O,X,O
IILZOTJS,X,O,X,X,X,X,O
IILZOTSJ,X,O,X,X,X,X,O
IILZOJTS,X,O,X,X,X,X,O
IILZOJST,O,O,O,X,O,X,O
IILZOSTJ,O,O,O,X,X,X,O
IILZOSJT,O,O,O,X,O,X,O
IILOTJSZ,X,X,O,X,X,X,X
IILOTJZS,X,O,X,X,X,X,X
IILOTSJZ,X,X,O,X,X,X,X
IILOTSZJ,X,X,O,X,X,X,X
IILOTZJS,X,O,X,X,X,X,X
IILOTZSJ,X,O,X,X,X,X,X
IILOJTSZ,X,X,O,X,X,X,X
IILOJTZS,X,O,X,X,X,X,X
IILOJSTZ,X,X,O,X,X,X,X
IILOJSZT,X,O,O,O,X,X,X
IILOJZTS,X,O,X,X,X,X,X
IILOJZST,X,O,O,X,O,X,X
IILOSTJZ,X,X,O,X,X,X,X
IILOSTZJ,O,X,O,X,X,X,X
IILOSJTZ,X,X,O,X,X,X,X
IILOSJZT,O,O,O,O,X,X,X
IILOSZTJ,O,O,O,X,X,X,X
IILOSZJT,O,O,O,O,X,X,X
IILOZTJS,X,O,X,X,X,X,O
IILOZTSJ,X,O,X,X,X,X,O
IILOZJTS,X,O,X,X,X,X,O
IILOZJST,O,O,O,X,O,X,O
IILOZSTJ,O,O,O,X,X,X,O
IILOZSJT,O,O,O,X,O,X,O
IIJTLSZO,X,X,O,O,X,X,X
IIJTLSOZ,X,X,O,X,X,X,X
IIJTLZSO,X,O,X,X,O,X,X
IIJTLZOS,X,O,X,X,X,X,X
IIJTLOSZ,X,X,O,X,X,X,X
IIJTLOZS,X,O,X,X,X,X,X
IIJTSLZO,X,X,O,O,X,X,X
IIJTSLOZ,X,X,O,X,X,X,X
IIJTSZLO,X,X,X,O,X,X,X
IIJTSZOL,X,X,O,X,X,X,X
IIJTSOLZ,X,X,O,X,X,X,X
IIJTSOZL,X,X,O,X,X,X,X
IIJTZLSO,X,O,X,X,O,X,X
IIJTZLOS,X,O,X,X,X,X,X
IIJTZSLO,X,O,X,X,O,X,X
IIJTZSOL,X,O,X,X,X,X,X
IIJTZOLS,X,O,X,X,X,X,X
IIJTZOSL,X,O,X,X,X,X,X
IIJTOLSZ,X,X,O,X,X,X,X
IIJTOLZS,X,O,X,X,X,X,X
IIJTOSLZ,X,X,O,X,X,X,X
IIJTOSZL,X,X,O,X,X,X,X
IIJTOZLS,X,O,X,X,X,X,X
IIJTOZSL,X,O,X,X,X,X,X
IIJLTSZO,X,X,O,O,X,X,X
IIJLTSOZ,X,X,O,X,X,X,X
IIJLTZSO,X,O,X,X,O,X,X
IIJLTZOS,X,O,X,X,X,X,X
IIJLTOSZ,X,X,O,X,X,X,X
IIJLTOZS,X,O,X,X,X,X,X
IIJLSTZO,X,X,O,O,X,X,X
IIJLSTOZ,X,X,O,X,X,X,X
IIJLSZTO,X,O,O,O,O,X,X
IIJLSZOT,X,O,O,O,O,X,X
IIJLSOTZ,X,X,O,X,X,X,X
IIJLSOZT,X,O,O,O,X,X,X
IIJLZTSO,X,O,X,X,O,X,X
IIJLZTOS,X,O,X,X,X,X,X
IIJLZSTO,X,O,O,O,O,X,X
IIJLZSOT,X,O,O,O,O,X,X
IIJLZOTS,X,O,X,X,X,X,X
IIJLZOST,X,O,O,X,O,X,X
IIJLOTSZ,X,X,O,X,X,X,X
IIJLOTZS,X,O,X,X,X,X,X
IIJLOSTZ,X,X,O,X,X,X,X
IIJLOSZT,X,O,O,O,X,X,X
IIJLOZTS,X,O,X,X,X,X,X
IIJLOZST,X,O,O,X,O,X,X
IIJSTLZO,X,X,O,O,X,X,X
IIJSTLOZ,X,X,O,X,X,X,X
IIJSTZLO,X,X,X,O,X,X,X
IIJSTZOL,X,X,O,X,X,X,X
IIJSTOLZ,X,X,O,X,X,O,X
IIJSTOZL,X,X,O,X,X,O,X
IIJSLTZO,X,X,O,O,X,X,X
IIJSLTOZ,X,X,O,X,X,X,X
IIJSLZTO,O,O,O,O,O,X,X
IIJSLZOT,O,O,O,O,O,X,X
IIJSLOTZ,X,X,O,X,X,O,X
IIJSLOZT,O,O,O,O,X,O,X
IIJSZTLO,O,O,X,O,O,X,X
IIJSZTOL,O,O,O,X,X,X,X
IIJSZLTO,O,O,O,O,O,X,X
IIJSZLOT,O,O,O,O,O,X,X
IIJSZOTL,O,O,O,X,X,O,X
IIJSZOLT,O,O,O,O,O,O,X
IIJSOTLZ,X,X,O,X,X,O,X
IIJSOTZL,X,X,O,X,X,O,X
IIJSOLTZ,X,X,O,X,X,O,X
IIJSOLZT,O,O,O,O,X,O,X
IIJSOZTL,O,O,O,X,X,O,X
IIJSOZLT,O,O,O,O,X,O,X
IIJZTLSO,X,O,X,X,O,X,X
IIJZTLOS,X,O,X,X,X,X,X
IIJZTSLO,O,O,X,X,O,X,X
IIJZTSOL,O,O,X,X,X,X,X
IIJZTOLS,X,O,X,X,X,X,X
IIJZTOSL,O,O,X,X,X,X,X
IIJZLTSO,X,O,X,X,O,X,X
IIJZLTOS,X,O,X,X,X,X,X
IIJZLSTO,O,O,O,O,O,X,X
IIJZLSOT,O,O,O,O,O,X,X
IIJZLOTS,X,O,X,X,X,X,X
IIJZLOST,O,O,O,X,O,X,X
IIJZSTLO,O,O,X,O,O,X,X
IIJZSTOL,O,O,O,X,X,X,X
IIJZSLTO,O,O,O,O,O,X,X
IIJZSLOT,O,O,O,O,O,X,X
IIJZSOTL,O,O,O,X,X,X,X
IIJZSOLT,O,O,O,O,O,X,X
IIJZOTLS,X,O,X,X,X,X,X
IIJZOTSL,O,O,X,X,X,X,X
IIJZOLTS,X,O,X,X,X,X,X
IIJZOLST,O,O,O,X,O,X,X
IIJZOSTL,O,O,O,X,X,X,X
IIJZOSLT,O,O,O,X,O,X,X
IIJOTLSZ,X,X,O,X,X,X,X
IIJOTLZS,X,O,X,X,X,X,X
IIJOTSLZ,X,X,O,X,X,X,X
IIJOTSZL,X,X,O,X,X,X,X
IIJOTZLS,X,O,X,X,X,X,X
IIJOTZSL,X,O,X,X,X,X,X
IIJOLTSZ,X,X,O,X,X,X,X
IIJOLTZS,X,O,X,X,X,X,X
IIJOLSTZ,X,X,O,X,X,X,X
IIJOLSZT,X,O,O,O,X,X,X
IIJOLZTS,X,O,X,X,X,X,X
IIJOLZST,X,O,O,X,O,X,X
IIJOSTLZ,X,X,O,X,X,O,X
IIJOSTZL,X,X,O,X,X,O,X
IIJOSLTZ,X,X,O,X,X,O,X
IIJOSLZT,O,O,O,O,X,O,X
IIJOSZTL,O,O,O,X,X,O,X
IIJOSZLT,O,O,O,O,X,O,X
IIJOZTLS,X,O,X,X,X,X,X
IIJOZTSL,O,O,X,X,X,X,X
IIJOZLTS,X,O,X,X,X,X,X
IIJOZLST,O,O,O,X,O,X,X
IIJOZSTL,O,O,O,X,X,X,X
IIJOZSLT,O,O,O,X,O,X,X
IISTLJZO,X,X,O,O,X,X,X
IISTLJOZ,X,X,O,X,X,X,X
IISTLZJO,O,X,O,O,X,X,X
IISTLZOJ,O,X,O,X,X,X,X
IISTLOJZ,X,X,O,X,X,X,X
IISTLOZJ,O,X,O,X,X,X,X
IISTJLZO,X,X,O,O,X,X,X
IISTJLOZ,X,X,O,X,X,X,X
IISTJZLO,X,X,X,O,X,X,X
IISTJZOL,X,X,O,X,X,X,X
IISTJOLZ,X,X,O,X,X,O,X
IISTJOZL,X,X,O,X,X,O,X
IISTZLJO,O,X,O,O,X,X,X
IISTZLOJ,O,X,O,X,X,X,X
IISTZJLO,O,X,X,O,X,X,X
IISTZJOL,O,X,O,X,X,X,X
IISTZOLJ,O,X,O,X,X,X,X
IISTZOJL,O,X,O,X,X,X,X
IISTOLJZ,X,X,O,X,X,X,X
IISTOLZJ,O,X,O,X,X,X,X
IISTOJLZ,X,X,O,X,X,O,X
IISTOJZL,X,X,O,X,X,O,X
IISTOZLJ,O,X,O,X,X,X,X
IISTOZJL,O,X,O,X,X,X,X
IISLTJZO,X,X,O,O,X,X,X
IISLTJOZ,X,X,O,X,X,X,X
IISLTZJO,O,X,O,O,X,X,X
IISLTZOJ,O,X,O,X,X,X,X
IISLTOJZ,X,X,O,X,X,X,X
IISLTOZJ,O,X,O,X,X,X,X
IISLJTZO,X,X,O,O,X,X,X
IISLJTOZ,X,X,O,X,X,X,X
IISLJZTO,O,O,O,O,O,X,X
IISLJZOT,O,O,O,O,O,X,X
IISLJOTZ,X,X,O,X,X,O,X
IISLJOZT,O,O,O,O,X,O,X
IISLZTJO,O,X,O,O,O,X,X
IISLZTOJ,O,O,O,X,X,X,X
IISLZJTO,O,O,O,O,O,X,X
IISLZJOT,O,O,O,O,O,X,X
IISLZOTJ,O,O,O,X,X,X,X
IISLZOJT,O,O,O,O,O,X,X
IISLOTJZ,X,X,O,X,X,X,X
IISLOTZJ,O,X,O,X,X,X,X
IISLOJTZ,X,X,O,X,X,O,X
IISLOJZT,O,O,O,O,X,O,X
IISLOZTJ,O,O,O,X,X,X,X
IISLOZJT,O,O,O,O,X,X,X
IISJTLZO,X,X,O,O,X,X,X
IISJTLOZ,X,X,O,X,X,X,X
IISJTZLO,X,X,X,O,X,X,X
IISJTZOL,X,X,O,X,X,X,X
IISJTOLZ,X,X,O,X,X,O,X
IISJTOZL,X,X,O,X,X,O,X
IISJLTZO,X,X,O,O,X,X,X
IISJLTOZ,X,X,O,X,X,X,X
IISJLZTO,O,O,O,O,O,X,X
IISJLZOT,O,O,O,O,O,X,X
IISJLOTZ,X,X,O,X,X,O,X
IISJLOZT,O,O,O,O,X,O,X
IISJZTLO,O,O,X,O,O,X,X
IISJZTOL,O,O,O,X,X,X,X
IISJZLTO,O,O,O,O,O,X,X
IISJZLOT,O,O,O,O,O,X,X
IISJZOTL,O,O,O,X,X,O,X
IISJZOLT,O,O,O,O,O,O,X
IISJOTLZ,X,X,O,X,X,O,X
IISJOTZL,X,X,O,X,X,O,X
IISJOLTZ,X,X,O,X,X,O,X
IISJOLZT,O,O,O,O,X,O,X
IISJOZTL,O,O,O,X,X,O,X
IISJOZLT,O,O,O,O,X,O,X
IISZTLJO,O,X,O,O,O,X,X
IISZTLOJ,O,O,O,X,X,X,X
IISZTJLO,O,O,X,O,O,X,X
IISZTJOL,O,O,O,X,X,X,X
IISZTOLJ,O,O,O,X,X,X,X
IISZTOJL,O,O,O,X,X,X,X
IISZLTJO,O,X,O,O,O,X,X
IISZLTOJ,O,O,O,X,X,X,X
IISZLJTO,O,O,O,O,O,X,X
IISZLJOT,O,O,O,O,O,X,X
IISZLOTJ,O,O,O,X,X,X,X
IISZLOJT,O,O,O,O,O,X,X
IISZJTLO,O,O,X,O,O,X,X
IISZJTOL,O,O,O,X,X,X,X
IISZJLTO,O,O,O,O,O,X,X
IISZJLOT,O,O,O,O,O,X,X
IISZJOTL,O,O,O,X,X,O,X
IISZJOLT,O,O,O,O,O,O,X
IISZOTLJ,O,O,O,X,X,X,X
IISZOTJL,O,O,O,X,X,X,X
IISZOLTJ,O,O,O,X,X,X,X
IISZOLJT,O,O,O,O,O,X,X
IISZOJTL,O,O,O,X,X,O,X
IISZOJLT,O,O,O,O,O,O,X
IISOTLJZ,X,X,O,X,X,X,X
IISOTLZJ,O,X,O,X,X,X,X
IISOTJLZ,X,X,O,X,X,O,X
IISOTJZL,X,X,O,X,X,O,X
IISOTZLJ,O,X,O,X,X,X,X
