sequence,v115@vhFKJJRwBGsBTtBMmBvfB
ISLOTZJ,O
ISLOJTZ,O
ISLOJZT,O
ISLOZTJ,O
ISLOZJT,O
ISJTLZO,X
ISJTLOZ,X
ISJTZLO,X
ISJTZOL,X
ISJTOLZ,X
ISJTOZL,X
ISJLTZO,O
ISJLTOZ,O
ISJLZTO,O
ISJLZOT,O
ISJLOTZ,O
ISJLOZT,O
ISJZTLO,X
ISJZTOL,X
ISJZLTO,O
ISJZLOT,O
ISJZOTL,X
ISJZOLT,O
ISJOTLZ,X
ISJOTZL,X
ISJOLTZ,O
ISJOLZT,O
ISJOZTL,X
ISJOZLT,O
ISZTLJO,X
ISZTLOJ,X
ISZTJLO,X
ISZTJOL,X
ISZTOLJ,X
ISZTOJL,X
ISZLTJO,O
ISZLTOJ,O
ISZLJTO,O
ISZLJOT,O
ISZLOTJ,O
ISZLOJT,O
ISZJTLO,X
ISZJTOL,X
ISZJLTO,O
ISZJLOT,O
ISZJOTL,X
ISZJOLT,O
ISZOTLJ,X
ISZOTJL,X
ISZOLTJ,O
ISZOLJT,O
ISZOJTL,X
ISZOJLT,O
ISOTLJZ,X
ISOTLZJ,X
ISOTJLZ,X
ISOTJZL,X
ISOTZLJ,X
ISOTZJL,X
ISOLTJZ,O
ISOLTZJ,O
ISOLJTZ,O
ISOLJZT,O
ISOLZTJ,O
ISOLZJT,O
ISOJTLZ,X
ISOJTZL,X
ISOJLTZ,O
ISOJLZT,O
ISOJZTL,X
ISOJZLT,O
ISOZTLJ,X
ISOZTJL,X
ISOZLTJ,O
ISOZLJT,O
ISOZJTL,X
ISOZJLT,O
IZTLJSO,O
IZTLJOS,O
IZTLSJO,O
IZTLSOJ,O
IZTLOJS,O
IZTLOSJ,O
IZTJLSO,O
IZTJLOS,O
IZTJSLO,X
IZTJSOL,X
IZTJOLS,O
IZTJOSL,X
IZTSLJO,X
IZTSLOJ,X
IZTSJLO,X
IZTSJOL,X
IZTSOLJ,X
IZTSOJL,X
IZTOLJS,O
IZTOLSJ,O
IZTOJLS,O
IZTOJSL,X
IZTOSLJ,X
IZTOSJL,X
IZLTJSO,O
IZLTJOS,O
IZLTSJO,O
IZLTSOJ,O
IZLTOJS,O
IZLTOSJ,O
IZLJTSO,O
IZLJTOS,O
IZLJSTO,O
IZLJSOT,O
IZLJOTS,O
IZLJOST,O
IZLSTJO,O
IZLSTOJ,O
IZLSJTO,O
IZLSJOT,O
IZLSOTJ,O
IZLSOJT,O
IZLOTJS,O
IZLOTSJ,O
IZLOJTS,O
IZLOJST,O
IZLOSTJ,O
IZLOSJT,O
IZJTLSO,O
IZJTLOS,O
IZJTSLO,X
IZJTSOL,X
IZJTOLS,O
IZJTOSL,X
IZJLTSO,O
IZJLTOS,O
IZJLSTO,O
IZJLSOT,O
IZJLOTS,O
IZJLOST,O
IZJSTLO,X
IZJSTOL,X
IZJSLTO,O
IZJSLOT,O
IZJSOTL,X
IZJSOLT,O
IZJOTLS,O
IZJOTSL,X
IZJOLTS,O
IZJOLST,O
IZJOSTL,X
IZJOSLT,O
IZSTLJO,X
IZSTLOJ,X
IZSTJLO,X
IZSTJOL,X
IZSTOLJ,X
IZSTOJL,X
IZSLTJO,O
IZSLTOJ,O
IZSLJTO,O
IZSLJOT,O
IZSLOTJ,O
IZSLOJT,O
IZSJTLO,X
IZSJTOL,X
IZSJLTO,O
IZSJLOT,O
IZSJOTL,X
IZSJOLT,O
IZSOTLJ,X
IZSOTJL,X
IZSOLTJ,O
IZSOLJT,O
IZSOJTL,X
IZSOJLT,O
IZOTLJS,O
IZOTLSJ,O
IZOTJLS,O
IZOTJSL,X
IZOTSLJ,X
IZOTSJL,X
IZOLTJS,O
IZOLTSJ,O
IZOLJTS,O
IZOLJST,O
IZOLSTJ,O
IZOLSJT,O
IZOJTLS,O
IZOJTSL,X
IZOJLTS,O
IZOJLST,O
IZOJSTL,X
IZOJSLT,O
IZOSTLJ,X
IZOSTJL,X
IZOSLTJ,O
IZOSLJT,O
IZOSJTL,X
IZOSJLT,O
IOTLJSZ,O
IOTLJZS,O
IOTLSJZ,O
IOTLSZJ,O
IOTLZJS,O
IOTLZSJ,O
IOTJLSZ,O
IOTJLZS,O
IOTJSLZ,X
IOTJSZL,X
IOTJZLS,O
IOTJZSL,X
IOTSLJZ,X
IOTSLZJ,X
IOTSJLZ,X
IOTSJZL,X
IOTSZLJ,X
IOTSZJL,X
IOTZLJS,O
IOTZLSJ,O
IOTZJLS,O
IOTZJSL,X
IOTZSLJ,X
IOTZSJL,X
IOLTJSZ,O
IOLTJZS,O
IOLTSJZ,O
IOLTSZJ,O
IOLTZJS,O
IOLTZSJ,O
IOLJTSZ,O
IOLJTZS,O
IOLJSTZ,O
IOLJSZT,O
IOLJZTS,O
IOLJZST,O
IOLSTJZ,O
IOLSTZJ,O
IOLSJTZ,O
IOLSJZT,O
IOLSZTJ,O
IOLSZJT,O
IOLZTJS,O
