sequence,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBJ3jFDqOBAAvhFRmBzfB3dB0bBOfBlhB,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VB6+ytCp/AAAvhF0hB1lBTfB3iBRhBmfB,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBz+aFDp/AAAvhFXiB1lBTfBUhBRiBmfB,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBJ9aFDqOBAAvhFxlBfiBzbBsfBOfBliB,v115@RhG8AeH8AeC8JeUBYaAFLDmClcJSAVDEHBEooRBaoA?VBJNegCs/AAAvhFxkB/jBFiBTaBibBGiB,v115@RhG8AeH8AeC8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBa9KxCqCBAAvhF0fB/jBTdBlgBGcBifB,v115@RhG8AeH8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBJ9KWCqOBAAvhFxlB/jBzbBifBGdBlfB,v115@RhG8AeH8AeC8JeUBYaAFLDmClcJSAVDEHBEooRBaoA?VBpvbgCsOBAAvhFxkBGjBfiBTaBibBliB,v115@RhG8AeH8AeC8JeTCYaAFLDmClcJSAVDEHBEooRBPoA?VBJtjxCqCBAAvhFRlB/jBUcBVgBOfBCiB,v115@RhG8AeH8AeC8JeUBYaAFLDmClcJSAVDEHBEooRBaoA?VBJtHgCsOBAAvhFxkB/jBGiBTaBibBFiB,v115@RhG8AeH8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBJ9KxCqCBAAvhFxlB/jBzbBlfBGdBifB,v115@RhG8AeH8AeC8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBK9KWC6OBAAvhF2kB/jBTdBShB0aBlgB,v115@RhG8AeH8AeC8JeRGYaAFLDmClcJSAVDEHBEooRBJoA?VBPtjWC0/AAAvhFTfB/jB0cB6iB1gBmfB,v115@RhG8AeH8AeC8JeVHYaAFLDmClcJSAVDEHBEooRBUoA?VBadNPCvCBAAvhF0fB/jBxgBGdBzgBifB,v115@RhG8AeH8AeC8Je2FYaAFLDmClcJSAVDEHBEooRBKoA?VBPNmFDM+AAAvhFTfB/jBVhBUdBSnBxfB,v115@RhG8AeH8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBUdNPCvCBAAvhFVmB/jBxfBGdBTfBigB,v115@RhG8AeH8AeC8Je0AYaAFLDmClcJSAVDEHBEooRBaoA?VBUd9VCv/AAAvhF1kB/jBxhBiaBTiBGhB,v115@RhG8AeH8AeC8JeyEYaAFLDmClcJSAVDEHBEooRBMoA?VBzPFgC6OBAAvhF/jB+iBRhBTaB0gBlhB,v115@RhG8AeH8AeC8JeWHYaAFLDmClcJSAVDEHBEooRBKoA?VBTH8LC6OBAAvhF/jBTdBKfBRgBUgBFhB,v115@RhG8AeH8AeC8Je2EYaAFLDmClcJSAVDEHBEooRBKoA?VBTejxCMHBAAvhF/jBxgBUdBlaBSnBzgB
IZJTLSO,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X
IZJTLOS,O,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IZJTSLO,X,X,X,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X
IZJTSOL,X,X,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X
IZJTOLS,O,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IZJTOSL,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X
IZJLTSO,O,O,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X
IZJLTOS,O,O,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZJLSTO,O,O,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZJLSOT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZJLOTS,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZJLOST,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZJSTLO,X,X,X,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X
IZJSTOL,X,X,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X
IZJSLTO,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZJSLOT,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZJSOTL,X,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IZJSOLT,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZJOTLS,O,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IZJOTSL,O,X,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X
IZJOLTS,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZJOLST,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZJOSTL,O,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IZJOSLT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZSTLJO,O,O,X,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
IZSTLOJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
IZSTJLO,X,X,X,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
IZSTJOL,X,X,X,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X
IZSTOLJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
IZSTOJL,O,O,X,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X
IZSLTJO,O,O,X,O,O,O,O,O,O,O,O,X,O,O,X,X,O,X,X,X
IZSLTOJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
IZSLJTO,O,O,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZSLJOT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IZSLOJT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZSJTLO,X,X,X,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X
IZSJTOL,X,X,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X
IZSJLTO,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZSJLOT,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZSJOTL,X,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IZSJOLT,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZSOTLJ,O,X,X,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
IZSOTJL,O,X,X,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
IZSOLTJ,O,X,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IZSOLJT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZSOJTL,O,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IZSOJLT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZOTLJS,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IZOTLSJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
IZOTJLS,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IZOTJSL,O,O,X,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
IZOTSLJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
IZOTSJL,O,O,X,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
IZOLTJS,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IZOLTSJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IZOLJTS,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZOLJST,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZOLSTJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IZOLSJT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZOJTLS,O,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IZOJTSL,O,X,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X
IZOJLTS,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZOJLST,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZOJSTL,O,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IZOJSLT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZOSTLJ,O,X,X,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
IZOSTJL,O,X,X,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
IZOSLTJ,O,X,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IZOSLJT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IZOSJTL,O,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
IZOSJLT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOTLJSZ,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTLJZS,O,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTLZJS,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOTLZSJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOTJLSZ,O,O,O,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOTJLZS,O,O,O,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
IOTJSLZ,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOTJSZL,O,O,O,X,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X
IOTJZLS,O,O,O,X,O,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X
IOTJZSL,O,O,O,X,O,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X
IOTSLJZ,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTSJLZ,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOTSJZL,O,O,O,X,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X
IOTSZLJ,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTSZJL,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTZLJS,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOTZLSJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOTZJLS,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOTZJSL,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOTZSLJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOTZSJL,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOLTJSZ,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOLTJZS,O,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOLTZJS,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOLTZSJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOLJTSZ,O,O,O,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOLJTZS,O,O,O,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
IOLJSTZ,O,O,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOLJSZT,O,X,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOLJZTS,O,X,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOLSJTZ,O,O,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOLSJZT,O,X,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOLSZJT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOLZTJS,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOLZTSJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOLZJTS,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOLZJST,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOLZSTJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOLZSJT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOJTLSZ,O,O,O,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOJTLZS,O,O,O,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
IOJTSLZ,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOJTSZL,O,O,O,X,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X
IOJTZLS,O,O,O,X,O,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X
IOJTZSL,O,O,O,X,O,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X
IOJLTSZ,O,O,O,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOJLTZS,O,O,O,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
IOJLSTZ,O,O,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOJLSZT,O,X,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJLZTS,O,X,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOJSTZL,O,X,X,X,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X
IOJSLTZ,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOJSLZT,O,X,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJSZTL,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X
IOJSZLT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOJZTLS,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X
IOJZTSL,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X
IOJZLTS,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOJZLST,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOJZSTL,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X
IOJZSLT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOSTLJZ,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSTLZJ,O,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOSTJLZ,O,X,O,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOSTJZL,O,X,O,X,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X
IOSTZLJ,O,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOSTZJL,O,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOSLTJZ,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSLTZJ,O,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOSLJTZ,O,X,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOSLJZT,O,X,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOSLZJT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOSJTLZ,O,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOSJTZL,O,X,X,X,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X
IOSJLTZ,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOSJLZT,O,X,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOSJZTL,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X
IOSJZLT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOSZTLJ,O,X,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOSZTJL,O,X,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOSZLTJ,O,X,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOSZLJT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOSZJTL,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X
IOSZJLT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOZTLJS,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZTLSJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZTJLS,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZTJSL,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZTSLJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZTSJL,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZLTJS,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZLTSJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZLJTS,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOZLJST,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOZLSTJ,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZLSJT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOZJTLS,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X
IOZJTSL,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X
IOZJLTS,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOZJLST,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOZJSTL,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X
IOZJSLT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOZSTLJ,O,X,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZSTJL,O,X,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZSLJT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
IOZSJTL,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X
IOZSJLT,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X
LTIJSZO,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIJZSO,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIJOZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTISJOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTISZJO,O,O,O,O,O,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
LTISZOJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
LTISOJZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISOZJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZJSO,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
LTIZJOS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZSJO,O,O,O,O,O,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
LTIZSOJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
LTIZOJS,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
LTIOJSZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOZJS,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJISOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
LTJIZSO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIZOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
LTJIOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIZO,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSIOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
LTJSZIO,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJSZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
LTJSOZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZISO,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJZIOS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSIO,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJZSOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
LTJOIZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
LTJOSZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSIJOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSIZJO,O,O,O,O,O,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
LTSIZOJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
LTSIOJZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSJIZO,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSJIOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
LTSJZIO,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTSJZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
LTSJOZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZIJO,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
LTSZIOJ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSZJIO,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
LTSZJOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
