sequence,v115@vhFm/IXjBTkB9tByuB0sB,v115@vhFi/IXjBzkB9tB2uB0sB,v115@vhGm/I5lBXjBTkB9tByuB0sB,v115@vhGi/I5lBXjBzkB9tB2uB0sB,v115@vhGZEJCgBXjBTlB9tBWvB0sB,v115@vhGx/IXjBOpB6qB9tBzpB0sB,v115@vhGx/IXjBKpBzkB+qB9tB0sB,v115@vhGOEJ6lBXjBzkB9tB0sBxuB,v115@vhGZEJGgBXjBzkB9tBSvB0sB,v115@vhGKEJzfB+lBXjB9tB0sBxuB,v115@vhG9IJmgBTfBPrBypBUtBxuB
TLZJSOI,O,O,O,O,O,O,O,X,O,X,X
TLZJOIS,O,O,O,O,O,O,O,X,O,X,X
TLZJOSI,O,O,O,O,O,O,O,X,O,X,X
TLZSIJO,X,X,O,O,O,X,O,O,O,O,X
TLZSIOJ,O,X,O,X,X,O,O,O,O,O,X
TLZSJIO,X,O,O,O,O,O,O,X,O,X,X
TLZSJOI,O,O,O,O,O,O,O,X,O,X,X
TLZSOIJ,O,X,O,X,X,O,O,X,O,X,X
TLZSOJI,O,X,O,X,X,O,O,X,O,X,X
TLZOIJS,O,X,O,X,X,O,O,X,O,X,X
TLZOISJ,O,X,O,X,X,O,O,X,O,X,X
TLZOJIS,O,X,O,X,X,O,O,X,O,X,X
TLZOJSI,O,X,O,X,X,O,O,X,O,X,X
TLZOSIJ,O,X,O,X,X,O,O,X,O,X,X
TLZOSJI,O,X,O,X,X,O,O,X,O,X,X
TLOIJSZ,O,X,O,X,X,O,O,X,O,X,X
TLOIJZS,O,X,O,X,X,O,O,X,O,X,X
TLOISJZ,O,X,O,X,X,O,O,X,O,X,X
TLOISZJ,O,X,O,X,X,O,O,X,O,X,X
TLOIZJS,O,X,O,X,X,O,O,X,O,X,X
TLOIZSJ,O,X,O,X,X,O,O,X,O,X,X
TLOJISZ,O,X,O,X,X,O,O,X,O,X,X
TLOJIZS,O,X,O,X,X,O,O,X,O,X,X
TLOJSIZ,O,X,O,X,X,O,O,X,O,X,X
TLOJSZI,O,X,O,X,X,O,O,X,O,X,X
TLOJZIS,O,X,O,X,X,O,O,X,O,X,X
TLOJZSI,O,X,O,X,X,O,O,X,O,X,X
TLOSIJZ,O,X,O,X,X,O,O,X,O,X,X
TLOSIZJ,O,X,O,X,X,O,O,X,O,X,X
TLOSJIZ,O,X,O,X,X,O,O,X,O,X,X
TLOSJZI,O,X,O,X,X,O,O,X,O,X,X
TLOSZIJ,O,X,O,X,X,O,O,X,O,X,X
TLOSZJI,O,X,O,X,X,O,O,X,O,X,X
TLOZIJS,O,X,O,X,X,O,O,X,O,X,X
TLOZISJ,O,X,O,X,X,O,O,X,O,X,X
TLOZJIS,O,X,O,X,X,O,O,X,O,X,X
TLOZJSI,O,X,O,X,X,O,O,X,O,X,X
TLOZSIJ,O,X,O,X,X,O,O,X,O,X,X
TLOZSJI,O,X,O,X,X,O,O,X,O,X,X
TJILSZO,X,O,O,O,O,O,O,O,O,O,X
TJILSOZ,X,O,O,O,O,O,O,O,O,O,X
TJILZSO,X,O,O,O,O,O,O,O,O,O,X
TJILZOS,X,O,O,O,O,O,O,O,O,O,X
TJILOSZ,X,O,O,O,O,O,O,O,O,O,X
TJILOZS,X,O,O,O,O,O,O,O,O,O,X
TJISLZO,X,O,O,O,O,O,O,O,O,O,X
TJISLOZ,X,O,O,O,O,O,O,O,O,O,X
TJISZLO,X,O,O,O,O,O,O,O,O,O,X
TJISZOL,X,O,X,O,O,O,X,O,X,O,X
TJISOLZ,X,O,X,O,O,O,X,O,X,O,X
TJISOZL,X,O,X,O,O,O,X,O,X,O,X
