sequence,v115@zgC8GeC8GeC8EeD8DeG8AeF8Jez7IvhERdBSjBUiBG?mBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeuAJvhERdBSjB/mBU?iBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Jez7IvhEfiBxdBCjBG?mBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeG8IvhExdBzgB8mBC?jBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeF9IvhETeBXhBSnBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhE6iBTeBxqBu?qBUrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeWBJvhE6iBTeB8mBX?hBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhE6iBTeBVmBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeWBJvhExdB8mBCjBX?hBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhE6iBTeBUhBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR8IvhE+iBTeBUhB9?qB3rB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeX9IvhETeBSnBxqBu?qBFrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Je8BJvhEGeBzgB3iBx?qBCrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeuAJvhESiBTeB/mBU?iBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR8IvhESjBzgBumB3?iBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR9IvhESjBVnB3lBT?mBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhESjBxqBuqBU?rBlsB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhESjBUhBliBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeC8IvhETeBGiBxqB8?qBXsB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeU8IvhETeBXiBxqBt?qBGsB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR8IvhE+iBTeB3hB9?qBUrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Je8BJvhESjBxqBuqBF?rB3sB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR9IvhESjB/mBUiB1?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Je+CJvhETeBRhBUhB9?qB3rB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Je+CJvhETeBRhB3hB9?qBUrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeU9IvhETeBFhBSnBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Jez8IvhESjBUhB3iBx?qBuqB
IZOJSLT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZOSLJT,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IZOSJTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTLZJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTLZSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOTJLSZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOTJLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTJSLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
IOTJSZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X
IOTJZLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X
IOTJZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
IOTSLJZ,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTSJLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOTSZJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOTZLJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOTZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOTZJLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOTZJSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOTZSLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOTZSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLTJSZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTZJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTZSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLJTSZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJSZT,X,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOLJZST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOLSTJZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLSJZT,X,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLSZJT,X,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOLZTSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLZJTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IOLZJST,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IOLZSTJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOLZSJT,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IOJTLSZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJTLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJTSLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
IOJTSZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X
IOJTZLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X
IOJTZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
IOJLTSZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJLTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJLSTZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLSZT,X,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJLZST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJSTLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJSTZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X
IOJSLTZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJSLZT,X,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOJZTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IOJZLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJZLST,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJZSTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSTJLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOSTZJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOSLTJZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,X,X,X,O,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSLZJT,X,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSJLZT,X,X,X,X,O,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSZLJT,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSZJTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZTLJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
IOZTLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O
IOZTJLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOZTJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOZTSLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOZTSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IOZLTJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZLTSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZLJTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IOZLJST,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IOZLSTJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOZLSJT,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IOZJTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IOZJLST,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O
IOZJSTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSLT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOZSLJT,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IOZSJTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJSZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIJZSO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIJZOS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIJOSZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISJZO,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTISJOZ,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTISZJO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTISZOJ,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTISOJZ,X,O,O,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTISOZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIZJSO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIZJOS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIZSJO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZOJS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTIZOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTIOJSZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,X,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZJS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTJIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJSIZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTJSOIZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTJSOZI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTJZISO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSIO,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,O,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOSI,O,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTJOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJOSIZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOSZI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJOZIS,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZSI,O,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSIZJO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTSIZOJ,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTSIOJZ,X,O,O,X,O,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSJIZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSJZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSJOIZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSZIJO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSZIOJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSZJIO,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSZJOI,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTSZOIJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTSZOJI,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
LTSOIJZ,X,O,O,X,O,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOJZI,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTSOZJI,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
LTZIJSO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJOS,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISJO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
