sequence,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?zlB3kBMfBiVB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?TkB0lBPhByfB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?zlB3kBifB0bB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jep5IvhFNnBTfB?OVB0gB6mBPiB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jep5IvhFNnBTfB?0gB6mBmhB3bB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jep5IvhFNnBvmB?zhBKkBGlB0aB
LZSOTJI,X,O,X,O,O,O
LZSOITJ,X,O,X,O,O,O
LZSOIJT,X,O,X,O,O,O
LZSOJTI,X,O,X,O,O,O
LZSOJIT,X,O,X,O,O,O
LZOTIJS,X,O,X,O,O,X
LZOTISJ,X,O,X,O,O,X
LZOTJIS,X,O,X,O,O,X
LZOTJSI,X,O,X,O,O,X
LZOTSIJ,X,O,X,O,O,X
LZOTSJI,X,O,X,O,O,X
LZOITJS,X,O,X,O,O,X
LZOITSJ,X,O,X,O,O,X
LZOIJTS,X,O,X,O,O,X
LZOIJST,X,O,X,O,O,O
LZOISTJ,X,O,X,O,O,O
LZOISJT,X,O,X,O,O,O
LZOJTIS,X,O,X,O,O,X
LZOJTSI,X,O,X,O,O,X
LZOJITS,X,O,X,O,O,X
LZOJIST,X,O,X,O,O,O
LZOJSTI,X,O,X,O,O,O
LZOJSIT,X,O,X,O,O,O
LZOSTIJ,X,O,X,O,O,O
LZOSTJI,X,O,X,O,O,O
LZOSITJ,X,O,X,O,O,O
LZOSIJT,X,O,X,O,O,O
LZOSJTI,X,O,X,O,O,O
LZOSJIT,X,O,X,O,O,O
LOTIJSZ,X,O,X,O,X,X
LOTIJZS,X,O,X,O,X,X
LOTISJZ,X,X,X,O,X,X
LOTISZJ,X,X,X,O,X,X
LOTIZJS,X,O,X,O,O,X
LOTIZSJ,X,O,X,O,O,X
LOTJISZ,X,O,X,O,X,X
LOTJIZS,X,O,X,O,X,X
LOTJSIZ,X,X,X,O,X,X
LOTJSZI,X,X,X,O,X,X
LOTJZIS,X,O,X,O,X,X
LOTJZSI,X,O,X,O,X,X
LOTSIJZ,X,X,X,O,X,X
LOTSIZJ,X,X,X,O,X,X
LOTSJIZ,X,X,X,O,X,X
LOTSJZI,X,X,X,O,X,X
LOTSZIJ,X,X,X,O,X,X
LOTSZJI,X,X,X,O,X,X
LOTZIJS,X,O,X,O,O,X
LOTZISJ,X,O,X,O,O,X
LOTZJIS,X,O,X,O,O,X
LOTZJSI,X,O,X,O,O,X
LOTZSIJ,X,O,X,O,O,X
LOTZSJI,X,O,X,O,O,X
LOITJSZ,X,O,X,O,X,X
LOITJZS,X,O,X,O,X,X
LOITSJZ,X,X,X,O,X,X
LOITSZJ,X,X,X,O,X,X
LOITZJS,X,O,X,O,O,X
LOITZSJ,X,O,X,O,O,X
LOIJTSZ,O,O,O,O,X,X
LOIJTZS,X,O,O,O,X,X
LOIJSTZ,O,O,O,O,X,O
LOIJSZT,O,O,O,O,X,O
LOIJZTS,X,O,O,O,O,X
LOIJZST,X,O,O,O,O,O
LOISTJZ,X,X,O,O,X,O
LOISTZJ,X,X,O,O,X,O
LOISJTZ,O,O,O,O,X,O
LOISJZT,O,O,O,O,X,O
LOISZTJ,O,O,O,O,O,O
LOISZJT,O,O,O,O,O,O
LOIZTJS,X,O,X,O,O,X
LOIZTSJ,X,O,X,O,O,X
LOIZJTS,X,O,O,O,O,X
LOIZJST,X,O,O,O,O,O
LOIZSTJ,X,O,O,O,O,O
LOIZSJT,X,O,O,O,O,O
LOJTISZ,X,O,X,O,X,X
LOJTIZS,X,O,X,O,X,X
LOJTSIZ,X,X,X,O,X,X
LOJTSZI,X,X,X,O,X,X
LOJTZIS,X,O,X,O,X,X
LOJTZSI,X,O,X,O,X,X
LOJITSZ,O,O,O,O,X,X
LOJITZS,X,O,O,O,X,X
LOJISTZ,O,O,O,O,X,O
LOJISZT,O,O,O,O,X,O
LOJIZTS,X,O,O,O,O,X
LOJIZST,X,O,O,O,O,O
LOJSTIZ,X,X,O,O,X,O
LOJSTZI,X,X,O,O,X,O
LOJSITZ,O,O,O,O,X,O
LOJSIZT,O,O,O,O,X,O
LOJSZTI,O,O,O,O,X,O
LOJSZIT,O,O,O,O,X,O
LOJZTIS,X,O,X,O,O,X
LOJZTSI,X,O,X,O,O,X
LOJZITS,X,O,O,O,O,X
LOJZIST,X,O,O,O,O,O
LOJZSTI,X,O,O,O,O,O
LOJZSIT,X,O,O,O,O,O
LOSTIJZ,X,X,O,O,X,O
LOSTIZJ,X,X,O,O,X,O
LOSTJIZ,X,X,O,O,X,O
LOSTJZI,X,X,O,O,X,O
LOSTZIJ,X,X,O,O,X,O
LOSTZJI,X,X,O,O,X,O
LOSITJZ,X,X,O,O,X,O
LOSITZJ,X,X,O,O,X,O
LOSIJTZ,O,O,O,O,X,O
LOSIJZT,O,O,O,O,X,O
LOSIZTJ,O,O,O,O,O,O
LOSIZJT,O,O,O,O,O,O
LOSJTIZ,X,X,O,O,X,O
LOSJTZI,X,X,O,O,X,O
LOSJITZ,O,O,O,O,X,O
LOSJIZT,O,O,O,O,X,O
LOSJZTI,O,O,O,O,X,O
LOSJZIT,O,O,O,O,X,O
LOSZTIJ,O,O,O,O,O,O
LOSZTJI,O,O,O,O,O,O
LOSZITJ,O,O,O,O,O,O
LOSZIJT,O,O,O,O,O,O
LOSZJTI,O,O,O,O,O,O
LOSZJIT,O,O,O,O,O,O
LOZTIJS,X,O,X,O,O,X
LOZTISJ,X,O,X,O,O,X
LOZTJIS,X,O,X,O,O,X
LOZTJSI,X,O,X,O,O,X
LOZTSIJ,X,O,X,O,O,X
LOZTSJI,X,O,X,O,O,X
LOZITJS,X,O,X,O,O,X
LOZITSJ,X,O,X,O,O,X
LOZIJTS,X,O,O,O,O,X
LOZIJST,X,O,O,O,O,O
LOZISTJ,X,O,O,O,O,O
LOZISJT,X,O,O,O,O,O
LOZJTIS,X,O,X,O,O,X
LOZJTSI,X,O,X,O,O,X
LOZJITS,X,O,O,O,O,X
LOZJIST,X,O,O,O,O,O
LOZJSTI,X,O,O,O,O,O
LOZJSIT,X,O,O,O,O,O
LOZSTIJ,X,O,O,O,O,O
LOZSTJI,X,O,O,O,O,O
LOZSITJ,X,O,O,O,O,O
LOZSIJT,X,O,O,O,O,O
LOZSJTI,X,O,O,O,O,O
LOZSJIT,X,O,O,O,O,O
JTILSZO,O,X,O,X,X,X
JTILSOZ,O,X,O,X,X,X
JTILZSO,X,O,X,X,X,X
JTILZOS,X,O,X,X,X,X
JTILOSZ,O,O,O,X,X,X
JTILOZS,X,O,O,X,X,X
JTISLZO,O,X,O,X,X,X
JTISLOZ,O,X,O,X,X,X
JTISZLO,O,O,O,X,X,X
JTISZOL,O,O,O,X,X,X
JTISOLZ,O,O,O,X,X,X
JTISOZL,O,O,O,X,X,X
JTIZLSO,X,O,X,X,X,X
JTIZLOS,X,O,X,X,X,X
JTIZSLO,O,O,O,X,X,X
JTIZSOL,O,O,O,X,X,X
JTIZOLS,X,O,O,X,X,X
JTIZOSL,O,O,O,X,X,X
JTIOLSZ,O,O,O,X,X,X
JTIOLZS,X,O,O,X,X,X
JTIOSLZ,O,O,O,X,X,X
JTIOSZL,O,O,O,X,X,X
JTIOZLS,X,O,O,X,X,X
JTIOZSL,O,O,O,X,X,X
JTLISZO,X,X,X,X,X,X
JTLISOZ,X,X,X,X,X,X
JTLIZSO,X,X,X,X,X,X
JTLIZOS,X,X,X,X,X,X
JTLIOSZ,X,X,X,X,X,X
JTLIOZS,X,X,X,X,X,X
JTLSIZO,X,X,X,X,X,X
JTLSIOZ,X,X,X,X,X,X
JTLSZIO,X,X,X,X,X,X
JTLSZOI,X,X,X,X,X,X
JTLSOIZ,X,X,X,X,X,X
JTLSOZI,X,X,X,X,X,X
JTLZISO,X,X,X,X,X,X
JTLZIOS,X,X,X,X,X,X
JTLZSIO,X,X,X,X,X,X
JTLZSOI,X,X,X,X,X,X
JTLZOIS,X,X,X,X,X,X
JTLZOSI,X,X,X,X,X,X
JTLOISZ,X,X,X,X,X,X
JTLOIZS,X,X,X,X,X,X
JTLOSIZ,X,X,X,X,X,X
JTLOSZI,X,X,X,X,X,X
JTLOZIS,X,X,X,X,X,X
JTLOZSI,X,X,X,X,X,X
JTSILZO,O,X,O,X,X,X
JTSILOZ,O,X,O,X,X,X
JTSIZLO,O,X,O,X,X,X
JTSIZOL,O,X,O,X,X,X
JTSIOLZ,O,X,O,X,X,X
JTSIOZL,O,X,O,X,X,X
JTSLIZO,X,X,O,X,X,X
JTSLIOZ,X,X,O,X,X,X
JTSLZIO,X,X,X,X,X,X
JTSLZOI,X,X,X,X,X,X
JTSLOIZ,X,X,O,X,X,X
JTSLOZI,X,X,O,X,X,X
JTSZILO,O,X,X,X,X,X
JTSZIOL,O,X,X,X,X,X
JTSZLIO,O,X,X,X,X,X
JTSZLOI,O,X,X,X,X,X
JTSZOIL,O,X,X,X,X,X
JTSZOLI,O,X,X,X,X,X
JTSOILZ,O,X,O,X,X,X
JTSOIZL,O,X,O,X,X,X
JTSOLIZ,X,X,O,X,X,X
JTSOLZI,X,X,O,X,X,X
JTSOZIL,O,X,O,X,X,X
JTSOZLI,O,X,O,X,X,X
JTZILSO,X,O,X,X,X,X
JTZILOS,X,O,X,X,X,X
JTZISLO,X,O,X,X,X,X
JTZISOL,X,O,X,X,X,X
JTZIOLS,X,O,X,X,X,X
JTZIOSL,X,O,X,X,X,X
JTZLISO,X,X,X,X,X,X
JTZLIOS,X,X,X,X,X,X
JTZLSIO,X,X,X,X,X,X
JTZLSOI,X,X,X,X,X,X
JTZLOIS,X,X,X,X,X,X
JTZLOSI,X,X,X,X,X,X
JTZSILO,X,O,X,X,X,X
JTZSIOL,X,O,X,X,X,X
JTZSLIO,X,X,X,X,X,X
JTZSLOI,X,X,X,X,X,X
JTZSOIL,X,O,X,X,X,X
JTZSOLI,X,O,X,X,X,X
JTZOILS,X,O,X,X,X,X
JTZOISL,X,O,X,X,X,X
JTZOLIS,X,O,X,X,X,X
JTZOLSI,X,O,X,X,X,X
JTZOSIL,X,O,X,X,X,X
JTZOSLI,X,O,X,X,X,X
JTOILSZ,O,O,O,X,X,X
JTOILZS,X,O,O,X,X,X
JTOISLZ,O,O,O,X,X,X
JTOISZL,O,O,O,X,X,X
JTOIZLS,X,O,O,X,X,X
JTOIZSL,O,O,O,X,X,X
JTOLISZ,X,O,X,X,X,X
JTOLIZS,X,O,X,X,X,X
JTOLSIZ,X,X,X,X,X,X
JTOLSZI,X,X,X,X,X,X
JTOLZIS,X,O,X,X,X,X
JTOLZSI,X,O,X,X,X,X
JTOSILZ,O,X,O,X,X,X
JTOSIZL,O,X,O,X,X,X
JTOSLIZ,X,X,O,X,X,X
JTOSLZI,X,X,O,X,X,X
JTOSZIL,O,X,O,X,X,X
JTOSZLI,O,X,O,X,X,X
JTOZILS,X,O,O,X,X,X
JTOZISL,X,O,O,X,X,X
JTOZLIS,X,O,X,X,X,X
JTOZLSI,X,O,X,X,X,X
JTOZSIL,X,O,O,X,X,X
JTOZSLI,X,O,O,X,X,X
JITLSZO,O,X,O,X,X,X
JITLSOZ,O,X,O,X,X,X
JITLZSO,X,O,X,X,X,X
JITLZOS,X,O,X,X,X,X
JITLOSZ,O,O,O,X,X,X
JITLOZS,X,O,O,X,X,X
JITSLZO,O,X,O,X,X,X
JITSLOZ,O,X,O,X,X,X
JITSZLO,O,O,O,X,X,X
JITSZOL,O,O,O,X,X,X
JITSOLZ,O,O,O,X,X,X
JITSOZL,O,O,O,X,X,X
JITZLSO,X,O,X,X,X,X
JITZLOS,X,O,X,X,X,X
JITZSLO,O,O,O,X,X,X
JITZSOL,O,O,O,X,X,X
JITZOLS,X,O,O,X,X,X
JITZOSL,O,O,O,X,X,X
JITOLSZ,O,O,O,X,X,X
JITOLZS,X,O,O,X,X,X
JITOSLZ,O,O,O,X,X,X
JITOSZL,O,O,O,X,X,X
JITOZLS,X,O,O,X,X,X
JITOZSL,O,O,O,X,X,X
JILTSZO,O,X,O,X,X,O
JILTSOZ,O,X,O,X,X,O
JILTZSO,X,O,X,X,X,O
JILTZOS,X,O,X,X,X,X
JILTOSZ,O,O,O,X,X,X
JILTOZS,X,O,O,X,X,X
JILSTZO,O,X,O,O,X,O
JILSTOZ,O,X,O,O,X,O
JILSZTO,O,X,O,O,X,O
JILSZOT,O,X,O,O,X,O
JILSOTZ,O,X,O,O,X,O
JILSOZT,O,X,O,O,X,O
JILZTSO,X,O,X,X,O,O
JILZTOS,X,O,X,X,O,X
JILZSTO,X,O,X,O,O,O
JILZSOT,X,O,X,O,O,O
JILZOTS,X,O,X,O,O,X
JILZOST,X,O,X,O,O,O
JILOTSZ,O,O,O,O,X,X
JILOTZS,X,O,O,O,X,X
JILOSTZ,O,O,O,O,X,O
JILOSZT,O,O,O,O,X,O
JILOZTS,X,O,O,O,O,X
JILOZST,X,O,O,O,O,O
JISTLZO,O,X,O,X,X,X
JISTLOZ,O,X,O,X,X,X
JISTZLO,O,O,O,X,X,X
JISTZOL,O,O,O,X,X,X
JISTOLZ,O,O,O,X,X,X
JISTOZL,O,O,O,X,X,X
JISLTZO,O,X,O,X,X,O
JISLTOZ,O,X,O,X,X,O
JISLZTO,O,X,O,X,X,O
JISLZOT,O,X,O,X,X,O
JISLOTZ,O,X,O,X,X,O
JISLOZT,O,X,O,X,X,O
JISZTLO,O,O,O,X,X,X
JISZTOL,O,O,O,X,X,X
JISZLTO,O,O,O,X,X,X
JISZLOT,O,O,O,X,X,X
JISZOTL,O,O,O,X,X,X
JISZOLT,O,O,O,X,X,X
JISOTLZ,O,O,O,X,X,O
JISOTZL,O,O,O,X,X,X
JISOLTZ,O,O,O,X,X,O
JISOLZT,O,O,O,X,X,O
JISOZTL,O,O,O,X,X,X
JISOZLT,O,O,O,X,X,X
JIZTLSO,X,O,X,X,X,X
JIZTLOS,X,O,X,X,X,X
JIZTSLO,O,O,O,X,X,X
JIZTSOL,O,O,O,X,X,X
JIZTOLS,X,O,O,X,X,X
JIZTOSL,O,O,O,X,X,X
JIZLTSO,X,O,X,X,O,X
JIZLTOS,X,O,X,X,O,X
JIZLSTO,X,O,X,O,O,X
JIZLSOT,X,O,X,O,O,X
JIZLOTS,X,O,X,O,O,X
JIZLOST,X,O,X,O,O,X
JIZSTLO,O,O,O,X,X,X
JIZSTOL,O,O,O,X,X,X
JIZSLTO,O,O,O,X,O,X
JIZSLOT,O,O,O,X,O,X
JIZSOTL,O,O,O,X,X,X
JIZSOLT,O,O,O,X,O,X
JIZOTLS,X,O,O,O,X,X
JIZOTSL,O,O,O,X,X,X
JIZOLTS,X,O,O,O,O,X
JIZOLST,X,O,O,O,O,X
JIZOSTL,O,O,O,X,X,X
JIZOSLT,O,O,O,O,O,X
JIOTLSZ,O,O,O,O,X,X
JIOTLZS,X,O,O,O,X,X
JIOTSLZ,O,O,O,X,X,X
JIOTSZL,O,O,O,X,X,X
JIOTZLS,X,O,O,O,X,X
JIOTZSL,O,O,O,X,X,X
JIOLTSZ,O,O,O,O,X,X
JIOLTZS,X,O,O,O,X,X
JIOLSTZ,O,O,O,O,X,X
JIOLSZT,O,O,O,O,X,X
JIOLZTS,X,O,O,O,O,X
JIOLZST,X,O,O,O,O,X
JIOSTLZ,O,O,O,X,X,X
JIOSTZL,O,O,O,X,X,X
JIOSLTZ,O,O,O,O,X,X
JIOSLZT,O,O,O,O,X,X
JIOSZTL,O,O,O,X,X,X
JIOSZLT,O,O,O,O,X,X
JIOZTLS,X,O,O,O,X,X
JIOZTSL,O,O,O,X,X,X
JIOZLTS,X,O,O,O,O,X
JIOZLST,X,O,O,O,O,X
JIOZSTL,O,O,O,X,X,X
JIOZSLT,O,O,O,O,O,X
JLTISZO,X,X,X,X,X,O
JLTISOZ,X,X,X,X,X,O
JLTIZSO,X,X,X,X,X,O
JLTIZOS,X,X,X,X,X,X
JLTIOSZ,X,X,X,X,X,X
JLTIOZS,X,X,X,X,X,X
JLTSIZO,X,X,X,X,X,O
JLTSIOZ,X,X,X,X,X,O
JLTSZIO,X,X,X,X,X,O
JLTSZOI,X,X,X,X,X,O
JLTSOIZ,X,X,X,X,X,O
JLTSOZI,X,X,X,X,X,O
JLTZISO,X,X,X,X,X,O
JLTZIOS,X,X,X,X,X,X
JLTZSIO,X,X,X,X,X,O
JLTZSOI,X,X,X,X,X,O
JLTZOIS,X,X,X,X,X,X
JLTZOSI,X,X,X,X,X,X
JLTOISZ,X,X,X,X,X,X
JLTOIZS,X,X,X,X,X,X
JLTOSIZ,X,X,X,X,X,X
JLTOSZI,X,X,X,X,X,X
JLTOZIS,X,X,X,X,X,X
JLTOZSI,X,X,X,X,X,X
JLITSZO,O,X,O,X,X,O
JLITSOZ,O,X,O,X,X,O
JLITZSO,X,O,X,X,X,O
JLITZOS,X,O,X,X,X,X
JLITOSZ,O,O,O,X,X,X
JLITOZS,X,O,O,X,X,X
JLISTZO,O,X,O,O,X,O
JLISTOZ,O,X,O,O,X,O
JLISZTO,O,X,O,O,X,O
JLISZOT,O,X,O,O,X,O
JLISOTZ,O,X,O,O,X,O
JLISOZT,O,X,O,O,X,O
JLIZTSO,X,O,X,X,O,O
JLIZTOS,X,O,X,X,O,X
JLIZSTO,X,O,X,O,O,O
JLIZSOT,X,O,X,O,O,O
JLIZOTS,X,O,X,O,O,X
JLIZOST,X,O,X,O,O,O
JLIOTSZ,O,O,O,O,X,X
JLIOTZS,X,O,O,O,X,X
JLIOSTZ,O,O,O,O,X,O
JLIOSZT,O,O,O,O,X,O
JLIOZTS,X,O,O,O,O,X
JLIOZST,X,O,O,O,O,O
JLSTIZO,X,X,O,X,X,O
JLSTIOZ,X,X,O,X,X,O
JLSTZIO,X,X,X,X,X,O
JLSTZOI,X,X,X,X,X,O
JLSTOIZ,X,X,O,X,X,O
JLSTOZI,X,X,O,X,X,O
JLSITZO,O,X,O,O,X,O
JLSITOZ,O,X,O,O,X,O
JLSIZTO,O,X,O,O,X,O
JLSIZOT,O,X,O,O,X,O
JLSIOTZ,O,X,O,O,X,O
JLSIOZT,O,X,O,O,X,O
JLSZTIO,O,X,X,X,X,O
JLSZTOI,O,X,X,X,X,O
JLSZITO,O,X,O,O,X,O
JLSZIOT,O,X,O,O,X,O
JLSZOTI,O,X,O,O,X,O
JLSZOIT,O,X,O,O,X,O
JLSOTIZ,X,X,O,O,X,O
JLSOTZI,X,X,O,O,X,O
JLSOITZ,O,X,O,O,X,O
JLSOIZT,O,X,O,O,X,O
JLSOZTI,O,X,O,O,X,O
JLSOZIT,O,X,O,O,X,O
JLZTISO,X,X,X,X,O,O
JLZTIOS,X,X,X,X,O,X
JLZTSIO,X,X,X,X,O,O
JLZTSOI,X,X,X,X,O,O
JLZTOIS,X,X,X,X,O,X
JLZTOSI,X,X,X,X,O,X
JLZITSO,X,O,X,X,O,O
JLZITOS,X,O,X,X,O,X
JLZISTO,X,O,X,O,O,O
JLZISOT,X,O,X,O,O,O
JLZIOTS,X,O,X,O,O,X
JLZIOST,X,O,X,O,O,O
JLZSTIO,X,X,X,X,O,O
JLZSTOI,X,X,X,X,O,O
JLZSITO,X,O,X,O,O,O
JLZSIOT,X,O,X,O,O,O
JLZSOTI,X,O,X,O,O,O
JLZSOIT,X,O,X,O,O,O
JLZOTIS,X,O,X,O,O,X
JLZOTSI,X,O,X,O,O,X
JLZOITS,X,O,X,O,O,X
JLZOIST,X,O,X,O,O,O
JLZOSTI,X,O,X,O,O,O
JLZOSIT,X,O,X,O,O,O
JLOTISZ,X,O,X,O,X,X
JLOTIZS,X,O,X,O,X,X
JLOTSIZ,X,X,X,O,X,X
JLOTSZI,X,X,X,O,X,X
JLOTZIS,X,O,X,O,X,X
JLOTZSI,X,O,X,O,X,X
JLOITSZ,O,O,O,O,X,X
JLOITZS,X,O,O,O,X,X
JLOISTZ,O,O,O,O,X,O
JLOISZT,O,O,O,O,X,O
JLOIZTS,X,O,O,O,O,X
JLOIZST,X,O,O,O,O,O
JLOSTIZ,X,X,O,O,X,O
JLOSTZI,X,X,O,O,X,O
JLOSITZ,O,O,O,O,X,O
JLOSIZT,O,O,O,O,X,O
JLOSZTI,O,O,O,O,X,O
JLOSZIT,O,O,O,O,X,O
JLOZTIS,X,O,X,O,O,X
JLOZTSI,X,O,X,O,O,X
JLOZITS,X,O,O,O,O,X
JLOZIST,X,O,O,O,O,O
JLOZSTI,X,O,O,O,O,O
JLOZSIT,X,O,O,O,O,O
JSTILZO,O,X,O,X,X,X
JSTILOZ,O,X,O,X,X,X
JSTIZLO,O,X,O,X,X,X
JSTIZOL,O,X,O,X,X,X
JSTIOLZ,O,X,O,X,X,X
JSTIOZL,O,X,O,X,X,X
JSTLIZO,X,X,O,X,X,X
JSTLIOZ,X,X,O,X,X,X
JSTLZIO,X,X,X,X,X,X
JSTLZOI,X,X,X,X,X,X
JSTLOIZ,X,X,O,X,X,X
JSTLOZI,X,X,O,X,X,X
JSTZILO,O,X,X,X,X,X
JSTZIOL,O,X,X,X,X,X
JSTZLIO,O,X,X,X,X,X
JSTZLOI,O,X,X,X,X,X
JSTZOIL,O,X,X,X,X,X
JSTZOLI,O,X,X,X,X,X
JSTOILZ,O,X,O,X,X,X
JSTOIZL,O,X,O,X,X,X
JSTOLIZ,X,X,O,X,X,X
JSTOLZI,X,X,O,X,X,X
JSTOZIL,O,X,O,X,X,X
JSTOZLI,O,X,O,X,X,X
JSITLZO,O,X,O,X,X,X
JSITLOZ,O,X,O,X,X,X
JSITZLO,O,O,O,X,X,X
JSITZOL,O,O,O,X,X,X
JSITOLZ,O,O,O,X,X,X
JSITOZL,O,O,O,X,X,X
JSILTZO,O,X,O,X,X,O
JSILTOZ,O,X,O,X,X,O
JSILZTO,O,X,O,X,X,O
JSILZOT,O,X,O,X,X,O
JSILOTZ,O,X,O,X,X,O
JSILOZT,O,X,O,X,X,O
JSIZTLO,O,O,O,X,X,X
JSIZTOL,O,O,O,X,X,X
JSIZLTO,O,O,O,X,X,X
JSIZLOT,O,O,O,X,X,X
JSIZOTL,O,O,O,X,X,X
JSIZOLT,O,O,O,X,X,X
JSIOTLZ,O,O,O,X,X,O
JSIOTZL,O,O,O,X,X,X
JSIOLTZ,O,O,O,X,X,O
JSIOLZT,O,O,O,X,X,O
JSIOZTL,O,O,O,X,X,X
JSIOZLT,O,O,O,X,X,X
JSLTIZO,X,X,O,X,X,O
JSLTIOZ,X,X,O,X,X,O
JSLTZIO,X,X,X,X,X,O
JSLTZOI,X,X,X,X,X,O
JSLTOIZ,X,X,O,X,X,O
JSLTOZI,X,X,O,X,X,O
JSLITZO,O,X,O,X,X,O
JSLITOZ,O,X,O,X,X,O
JSLIZTO,O,X,O,X,X,O
JSLIZOT,O,X,O,X,X,O
JSLIOTZ,O,X,O,X,X,O
JSLIOZT,O,X,O,X,X,O
JSLZTIO,O,X,X,X,X,O
JSLZTOI,O,X,X,X,X,O
JSLZITO,O,X,O,X,X,O
JSLZIOT,O,X,O,X,X,O
JSLZOTI,O,X,O,X,X,O
JSLZOIT,O,X,O,X,X,O
JSLOTIZ,X,X,O,X,X,O
JSLOTZI,X,X,O,X,X,O
JSLOITZ,O,X,O,X,X,O
JSLOIZT,O,X,O,X,X,O
JSLOZTI,O,X,O,X,X,O
JSLOZIT,O,X,O,X,X,O
JSZTILO,O,O,X,X,X,X
JSZTIOL,O,O,X,X,X,X
JSZTLIO,O,X,X,X,X,X
JSZTLOI,O,X,X,X,X,X
JSZTOIL,O,O,X,X,X,X
JSZTOLI,O,O,X,X,X,X
JSZITLO,O,O,O,X,X,X
JSZITOL,O,O,O,X,X,X
JSZILTO,O,O,O,X,X,X
JSZILOT,O,O,O,X,X,X
JSZIOTL,O,O,O,X,X,X
JSZIOLT,O,O,O,X,X,X
JSZLTIO,O,X,X,X,X,X
JSZLTOI,O,X,X,X,X,X
JSZLITO,O,O,O,X,X,X
JSZLIOT,O,O,O,X,X,X
JSZLOTI,O,O,O,X,X,X
JSZLOIT,O,O,O,X,X,X
JSZOTIL,O,O,O,X,X,X
JSZOTLI,O,O,O,X,X,X
JSZOITL,O,O,O,X,X,X
JSZOILT,O,O,O,X,X,X
JSZOLTI,O,O,O,X,X,X
JSZOLIT,O,O,O,X,X,X
JSOTILZ,O,X,O,X,X,X
JSOTIZL,O,X,O,X,X,X
JSOTLIZ,X,X,O,X,X,X
JSOTLZI,X,X,O,X,X,X
JSOTZIL,O,X,O,X,X,X
JSOTZLI,O,X,O,X,X,X
JSOITLZ,O,O,O,X,X,O
JSOITZL,O,O,O,X,X,X
JSOILTZ,O,O,O,X,X,O
JSOILZT,O,O,O,X,X,O
JSOIZTL,O,O,O,X,X,X
JSOIZLT,O,O,O,X,X,X
JSOLTIZ,X,X,O,X,X,O
JSOLTZI,X,X,O,X,X,O
JSOLITZ,O,O,O,X,X,O
JSOLIZT,O,O,O,X,X,O
JSOLZTI,O,O,O,X,X,O
JSOLZIT,O,O,O,X,X,O
JSOZTIL,O,O,O,X,X,X
JSOZTLI,O,O,O,X,X,X
JSOZITL,O,O,O,X,X,X
JSOZILT,O,O,O,X,X,X
JSOZLTI,O,O,O,X,X,X
JSOZLIT,O,O,O,X,X,X
JZTILSO,X,O,X,X,X,X
JZTILOS,X,O,X,X,X,X
JZTISLO,X,O,X,X,X,X
JZTISOL,X,O,X,X,X,X
JZTIOLS,X,O,X,X,X,X
JZTIOSL,X,O,X,X,X,X
JZTLISO,X,X,X,X,X,X
JZTLIOS,X,X,X,X,X,X
JZTLSIO,X,X,X,X,X,X
JZTLSOI,X,X,X,X,X,X
JZTLOIS,X,X,X,X,X,X
JZTLOSI,X,X,X,X,X,X
JZTSILO,X,O,X,X,X,X
JZTSIOL,X,O,X,X,X,X
JZTSLIO,X,X,X,X,X,X
JZTSLOI,X,X,X,X,X,X
JZTSOIL,X,O,X,X,X,X
JZTSOLI,X,O,X,X,X,X
JZTOILS,X,O,X,X,X,X
JZTOISL,X,O,X,X,X,X
JZTOLIS,X,O,X,X,X,X
JZTOLSI,X,O,X,X,X,X
JZTOSIL,X,O,X,X,X,X
JZTOSLI,X,O,X,X,X,X
JZITLSO,X,O,X,X,X,X
JZITLOS,X,O,X,X,X,X
JZITSLO,O,O,O,X,X,X
JZITSOL,O,O,O,X,X,X
JZITOLS,X,O,O,X,X,X
JZITOSL,O,O,O,X,X,X
JZILTSO,X,O,X,X,O,X
JZILTOS,X,O,X,X,O,X
JZILSTO,X,O,X,O,O,X
JZILSOT,X,O,X,O,O,X
JZILOTS,X,O,X,O,O,X
JZILOST,X,O,X,O,O,X
JZISTLO,O,O,O,X,X,X
JZISTOL,O,O,O,X,X,X
JZISLTO,O,O,O,X,O,X
JZISLOT,O,O,O,X,O,X
JZISOTL,O,O,O,X,X,X
JZISOLT,O,O,O,X,O,X
JZIOTLS,X,O,O,O,X,X
JZIOTSL,O,O,O,X,X,X
JZIOLTS,X,O,O,O,O,X
JZIOLST,X,O,O,O,O,X
JZIOSTL,O,O,O,X,X,X
JZIOSLT,O,O,O,O,O,X
JZLTISO,X,X,X,X,O,X
JZLTIOS,X,X,X,X,O,X
JZLTSIO,X,X,X,X,O,X
JZLTSOI,X,X,X,X,O,X
JZLTOIS,X,X,X,X,O,X
JZLTOSI,X,X,X,X,O,X
JZLITSO,X,O,X,X,O,X
JZLITOS,X,O,X,X,O,X
JZLISTO,X,O,X,O,O,X
JZLISOT,X,O,X,O,O,X
