sequence,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Je32IvhFWdBTZB?ygBRiB0iBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jez2IvhFqcBxYB?2gBXeB0iBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Je32IvhFTZBygB?RiBGiB8sBFsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeG3IvhF/dBceB?ibBRhBziBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU3IvhFTbBxdB?3cBmiBCjBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Je32IvhFRYBceB?ygBznBFnBGsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jec7IvhFmXBSeB?XcBRiBziBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jec7IvhFTXB/dB?OjBRhBCjBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU3IvhFTbBxdB?3cBusBisBFtB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jez2IvhFqcB2gB?xdB0dBXjBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jec7IvhFxXBTZB?VhBusBasBftB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeG3IvhFceBibB?RhBfoBTnBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Je17IvhF0XBTZB?xgB3nBmnB6sB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jea8IvhFUYBTbB?OjB5nBfsBFtB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeR4IvhFceBmbB?zcBqiB3gBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jea8IvhFWdBTbB?RiB3nBcoBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU3IvhFTbBxdB?1hB3nBOoB6sB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jex4IvhFTbB0cB?3nBOoB6sBFrB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jea8IvhFxYBTbB?FeBGiB8sBfsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeF3IvhFTbB3cB?miB5nBctBisB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU3IvhFTbByhB?XeB5nBOtBFsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jec7IvhFTXB6iB?OjBRmB/sBFtB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU4IvhFibBOjB?5nBfsBzlBFtB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jez2IvhF2gBRiB?cjBqnBfnBlsB
IJSOTLZ,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IJSOTZL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IJSOLTZ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IJSOLZT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
IJSOZTL,X,X,X,X,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IJSOZLT,X,O,X,X,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,O
IJZTLSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IJZTLOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IJZTSLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTSOL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTOLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IJZTOSL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZLTSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJZLTOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IJZLSTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZLSOT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O
IJZLOTS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IJZLOST,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IJZSTLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IJZSTOL,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZSLTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZSLOT,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,O
IJZSOTL,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZSOLT,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,O
IJZOTLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IJZOTSL,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZOLTS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IJZOLST,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
IJZOSTL,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJZOSLT,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
IJOTLSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOTLZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IJOTSLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOTSZL,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOTZLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOTZSL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLTSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOLSTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IJOLSZT,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O
IJOLZTS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOLZST,O,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IJOSTLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IJOSTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IJOSLTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IJOSLZT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O
IJOSZTL,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IJOSZLT,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O
IJOZTLS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOZTSL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOZLTS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOZLST,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IJOZSTL,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IJOZSLT,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O
ISTLJZO,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISTLJOZ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTLZJO,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISTLZOJ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTLOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTLOZJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTJLZO,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTJLOZ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTJZLO,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTJZOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTJOLZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISTJOZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTZLJO,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISTZLOJ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTZJLO,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTZJOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTZOLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZOJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTOLJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISTOLZJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISTOJLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISTOJZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTOZLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISTOZJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ISLTJZO,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLTZJO,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISLTZOJ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLTOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJTZO,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
ISLJTOZ,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLJZTO,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
ISLJZOT,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
ISLJOTZ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISLJOZT,O,O,X,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X
ISLZTJO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTOJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJTO,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJOT,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOJT,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLOJTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISLOJZT,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ISLOZJT,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ISJTLZO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ISJTLOZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJTZLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ISJTZOL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
ISJTOZL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISJLTZO,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
ISJLTOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJLZTO,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O
ISJLZOT,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O
ISJLOTZ,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
ISJLOZT,O,O,X,O,X,X,X,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,O,O
ISJZTLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ISJZTOL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISJZLTO,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O
ISJZLOT,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O
ISJZOTL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISJZOLT,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,O
ISJOTLZ,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
ISJOTZL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISJOLTZ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
ISJOLZT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,O
ISJOZTL,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ISJOZLT,X,O,X,X,O,X,X,X,O,X,X,X,O,O,X,O,O,O,X,X,X,X,O,O
ISZTLJO,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISZTLOJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZTJLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZTJOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZTOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTOJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZLTJO,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLTOJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJTO,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJOT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOJT,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZJTOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZJLTO,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISZJLOT,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISZJOTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ISZOLJT,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ISZOJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISOTLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOTLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOTJLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOTJZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOTZJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
ISOLJTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ISOLJZT,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X
ISOLZTJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X
ISOLZJT,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X
ISOJTLZ,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
ISOJTZL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
ISOJLZT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X
ISOJZTL,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ISOJZLT,X,O,X,X,O,X,X,X,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZTJL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X
ISOZLJT,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X
ISOZJTL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOZJLT,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
IZTLJSO,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJOS,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTLSJO,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTLSOJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTLOSJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJLOS,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTJSLO,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJSOL,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTJOSL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSLJO,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTSLOJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,X,X,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTSJOL,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTSOLJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTOLJS,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTOLSJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTOJSL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJOS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLTSJO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLTOSJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTOS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLJSTO,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZLJSOT,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
IZLJOTS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLJOST,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSTJO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZLSOTJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZLOTJS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOTSJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOJST,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOSTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJTLSO,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
