sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBamBFiBf?sBGsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhETeB/mBFiBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB
TSIJOZL,O,X,X,X,X,X,X,X,X,X,O,O,X
TSIZLJO,O,X,X,X,X,X,X,X,X,X,X,X,X
TSIZLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TSIZJLO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSIZJOL,O,O,X,X,X,X,X,X,X,X,O,X,X
TSIZOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TSIZOJL,O,O,X,X,X,X,X,X,X,X,O,X,X
TSIOLJZ,O,X,X,X,X,X,X,X,O,X,O,X,X
TSIOLZJ,O,X,X,X,X,X,X,X,O,X,X,X,X
TSIOJLZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TSIOJZL,O,X,X,X,X,X,X,X,X,X,O,O,X
TSIOZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X,X,X,O,X,X
TSLIJZO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSLIJOZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TSLIZJO,O,O,X,X,X,X,X,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TSLIOJZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TSLIOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TSLJIZO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSLJIOZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TSLJZIO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSLJZOI,O,X,X,X,X,X,X,X,X,X,O,X,X
TSLJOIZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TSLJOZI,O,X,O,X,X,X,X,X,O,X,O,O,X
TSLZIJO,O,O,X,X,X,X,X,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X,O,X,X,X,X
TSLOIJZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TSLOIZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TSLOJIZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TSLOJZI,O,X,O,X,X,X,X,X,O,X,O,O,X
TSLOZIJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X,O,X,X,X,X
TSJILZO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSJILOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TSJIZLO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSJIZOL,O,X,X,X,X,X,X,X,X,X,O,X,X
TSJIOLZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TSJIOZL,O,X,X,X,X,X,X,X,X,X,O,O,X
TSJLIZO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSJLIOZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TSJLZIO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSJLZOI,O,X,X,X,X,X,X,X,X,X,O,X,X
TSJLOIZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TSJLOZI,O,X,O,X,X,X,X,X,O,X,O,O,X
TSJZILO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSJZIOL,O,X,X,X,X,X,X,O,X,X,O,X,X
TSJZLIO,O,X,X,X,X,X,X,O,X,X,O,X,X
TSJZLOI,O,X,X,X,X,X,X,O,X,X,O,X,X
TSJZOIL,O,X,X,X,X,X,X,O,X,X,O,O,X
TSJZOLI,O,X,X,X,X,X,X,O,X,X,O,O,X
TSJOILZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TSJOIZL,O,X,X,X,X,X,X,X,X,X,O,O,X
TSJOLIZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TSJOLZI,O,X,O,X,X,X,X,X,O,X,O,O,X
TSJOZIL,O,X,X,X,X,X,X,O,X,X,O,O,X
TSJOZLI,O,X,X,X,X,X,X,O,X,X,O,O,X
TSZILJO,O,X,X,X,X,X,X,X,X,X,X,X,X
TSZILOJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TSZIJLO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSZIJOL,O,O,X,X,X,X,X,O,X,X,O,X,X
TSZIOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TSZIOJL,O,O,X,X,X,X,X,O,X,X,O,X,X
TSZLIJO,O,O,X,X,X,X,X,O,X,X,X,X,X
TSZLIOJ,O,O,X,X,X,X,X,O,O,X,X,X,X
TSZLJIO,O,O,X,X,X,X,X,O,X,X,X,X,X
TSZLJOI,O,O,X,X,X,X,X,O,X,X,X,X,X
TSZLOIJ,O,O,X,X,X,X,X,O,O,X,X,X,X
TSZLOJI,O,O,X,X,X,X,X,O,O,X,X,X,X
TSZJILO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSZJIOL,O,O,X,X,X,X,X,O,X,X,O,X,X
TSZJLIO,O,O,X,X,X,X,X,O,X,X,O,X,X
TSZJLOI,O,O,X,X,X,X,X,O,X,X,O,X,X
TSZJOIL,O,O,X,X,X,X,X,O,X,X,O,O,X
TSZJOLI,O,O,X,X,X,X,X,O,X,X,O,O,X
TSZOILJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TSZOIJL,O,O,X,X,X,X,X,O,X,X,O,X,X
TSZOLIJ,O,O,X,X,X,X,X,O,O,X,X,X,X
TSZOLJI,O,O,X,X,X,X,X,O,O,X,X,X,X
TSZOJIL,O,O,X,X,X,X,X,O,X,X,O,O,X
TSZOJLI,O,O,X,X,X,X,X,O,X,X,O,O,X
TSOILJZ,O,X,X,X,X,X,X,X,O,X,O,X,X
TSOILZJ,O,X,X,X,X,X,X,X,O,X,X,X,X
TSOIJLZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TSOIJZL,O,X,X,X,X,X,X,X,X,X,O,O,X
TSOIZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TSOIZJL,O,O,X,X,X,X,X,X,X,X,O,X,X
TSOLIJZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TSOLIZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TSOLJIZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TSOLJZI,O,X,O,X,X,X,X,X,O,X,O,O,X
TSOLZIJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X,X,O,X,X,X,X
TSOJILZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TSOJIZL,O,X,X,X,X,X,X,X,X,X,O,O,X
TSOJLIZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TSOJLZI,O,X,O,X,X,X,X,X,O,X,O,O,X
TSOJZIL,O,X,X,X,X,X,X,O,X,X,O,O,X
TSOJZLI,O,X,X,X,X,X,X,O,X,X,O,O,X
TSOZILJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TSOZIJL,O,O,X,X,X,X,X,O,X,X,O,X,X
TSOZLIJ,O,O,X,X,X,X,X,O,O,X,X,X,X
TSOZLJI,O,O,X,X,X,X,X,O,O,X,X,X,X
TSOZJIL,O,O,X,X,X,X,X,O,X,X,O,O,X
TSOZJLI,O,O,X,X,X,X,X,O,X,X,O,O,X
TZILJSO,X,O,X,X,X,X,X,O,X,X,X,X,X
TZILJOS,X,O,X,X,X,X,X,O,X,O,X,X,X
TZILSJO,X,O,X,X,X,O,X,O,X,X,X,X,X
TZILSOJ,X,O,X,X,X,O,X,O,X,X,X,X,X
TZILOJS,X,O,X,X,X,X,X,O,X,O,X,X,X
TZILOSJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TZIJLSO,X,O,X,X,X,X,X,O,X,X,X,X,X
TZIJLOS,X,O,X,X,X,X,X,O,X,O,X,X,X
TZIJSLO,O,X,X,X,X,X,X,X,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZIJOLS,X,O,X,X,X,X,X,O,X,O,X,X,X
TZIJOSL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZISLJO,O,X,X,X,X,O,X,X,X,X,X,X,X
TZISLOJ,O,X,X,X,O,O,X,X,X,X,X,X,X
TZISJLO,O,X,X,X,X,X,X,X,X,X,X,X,X
TZISJOL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZISOLJ,O,X,X,X,O,X,X,X,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZIOLJS,X,O,X,X,X,X,X,O,X,O,X,X,X
TZIOLSJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TZIOJLS,X,O,X,X,X,X,X,O,X,O,X,X,X
TZIOJSL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZIOSLJ,O,X,X,X,O,X,X,X,X,X,X,X,X
TZIOSJL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZLIJSO,X,O,X,X,X,X,X,O,X,X,X,X,X
TZLIJOS,X,O,O,X,X,X,X,O,X,X,X,X,X
TZLISJO,X,O,X,X,X,O,X,O,X,X,X,X,X
TZLISOJ,X,O,X,X,X,O,X,O,X,X,X,X,X
TZLIOJS,X,O,O,X,X,X,X,O,X,X,X,X,X
TZLIOSJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TZLJISO,X,O,X,X,X,X,X,O,X,X,X,X,X
TZLJIOS,X,O,O,X,X,X,X,O,X,X,X,X,X
TZLJSIO,X,O,X,X,X,X,X,O,X,X,X,X,X
TZLJSOI,X,O,X,X,X,X,X,O,X,X,X,X,X
TZLJOIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TZLJOSI,X,O,O,X,X,X,X,O,X,X,X,X,X
TZLSIJO,X,O,X,X,X,O,X,O,X,X,X,X,X
TZLSIOJ,X,O,X,X,X,O,X,O,X,X,X,X,X
TZLSJIO,X,O,X,X,X,O,X,O,X,X,X,X,X
TZLSJOI,X,O,X,X,X,O,X,O,X,X,X,X,X
TZLSOIJ,X,O,X,X,X,O,X,O,X,X,X,X,X
TZLSOJI,X,O,X,X,X,O,X,O,X,X,X,X,X
TZLOIJS,X,O,O,X,X,X,X,O,X,X,X,X,X
TZLOISJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TZLOJIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TZLOJSI,X,O,O,X,X,X,X,O,X,X,X,X,X
TZLOSIJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TZLOSJI,X,O,X,X,X,X,X,O,X,X,X,X,X
TZJILSO,X,O,X,X,X,X,X,O,X,X,X,X,X
TZJILOS,X,O,X,X,X,X,X,O,X,O,X,X,X
TZJISLO,O,X,X,X,X,X,X,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZJIOLS,X,O,X,X,X,X,X,O,X,O,X,X,X
TZJIOSL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZJLISO,X,O,X,X,X,X,X,O,X,X,X,X,X
TZJLIOS,X,O,O,X,X,X,X,O,X,X,X,X,X
TZJLSIO,X,O,X,X,X,X,X,O,X,X,X,X,X
TZJLSOI,X,O,X,X,X,X,X,O,X,X,X,X,X
TZJLOIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TZJLOSI,X,O,O,X,X,X,X,O,X,X,X,X,X
TZJSILO,O,X,X,X,X,X,X,X,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X,O,X,X,X,X,X
TZJSLOI,O,O,X,X,X,X,X,O,X,X,X,X,X
TZJSOIL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZJSOLI,O,O,X,X,X,X,X,O,X,X,X,X,X
TZJOILS,X,O,X,X,X,X,X,O,X,O,X,X,X
TZJOISL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZJOLIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TZJOLSI,X,O,O,X,X,X,X,O,X,X,X,X,X
TZJOSIL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZJOSLI,O,O,X,X,X,X,X,O,X,X,X,X,X
TZSILJO,O,X,X,X,X,O,X,X,X,X,X,X,X
TZSILOJ,O,X,X,X,O,O,X,X,X,X,X,X,X
TZSIJLO,O,X,X,X,X,X,X,X,X,X,X,X,X
TZSIJOL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZSIOLJ,O,X,X,X,O,X,X,X,X,X,X,X,X
TZSIOJL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZSLIJO,O,O,X,X,X,O,X,O,X,X,X,X,X
TZSLIOJ,O,O,X,X,O,O,X,O,X,X,X,X,X
TZSLJIO,O,O,X,X,X,O,X,O,X,X,X,X,X
TZSLJOI,O,O,X,X,X,O,X,O,X,X,X,X,X
TZSLOIJ,O,O,X,X,O,O,X,O,X,X,X,X,X
TZSLOJI,O,O,X,X,O,O,X,O,X,X,X,X,X
TZSJILO,O,X,X,X,X,X,X,X,X,X,X,X,X
TZSJIOL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZSJLIO,O,O,X,X,X,X,X,O,X,X,X,X,X
TZSJLOI,O,O,X,X,X,X,X,O,X,X,X,X,X
TZSJOIL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZSJOLI,O,O,X,X,X,X,X,O,X,X,X,X,X
TZSOILJ,O,X,X,X,O,X,X,X,X,X,X,X,X
TZSOIJL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZSOLIJ,O,O,X,X,O,X,X,O,X,X,X,X,X
TZSOLJI,O,O,X,X,O,X,X,O,X,X,X,X,X
TZSOJIL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZSOJLI,O,O,X,X,X,X,X,O,X,X,X,X,X
TZOILJS,X,O,X,X,X,X,X,O,X,O,X,X,X
TZOILSJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TZOIJLS,X,O,X,X,X,X,X,O,X,O,X,X,X
TZOIJSL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZOISLJ,O,X,X,X,O,X,X,X,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZOLIJS,X,O,O,X,X,X,X,O,X,X,X,X,X
TZOLISJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TZOLJIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TZOLJSI,X,O,O,X,X,X,X,O,X,X,X,X,X
TZOLSIJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TZOLSJI,X,O,X,X,X,X,X,O,X,X,X,X,X
TZOJILS,X,O,X,X,X,X,X,O,X,O,X,X,X
TZOJISL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZOJLIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TZOJLSI,X,O,O,X,X,X,X,O,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,O,X,X,X,X,X
TZOSILJ,O,X,X,X,O,X,X,X,X,X,X,X,X
TZOSIJL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZOSLIJ,O,O,X,X,O,X,X,O,X,X,X,X,X
TZOSLJI,O,O,X,X,O,X,X,O,X,X,X,X,X
TZOSJIL,O,O,X,X,X,X,X,O,X,X,X,X,X
TZOSJLI,O,O,X,X,X,X,X,O,X,X,X,X,X
TOILJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOILJZS,X,O,O,O,X,X,X,X,X,X,X,X,O
TOILSJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TOILSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TOILZJS,X,O,O,O,X,X,X,X,X,X,X,X,O
TOILZSJ,X,O,X,O,X,X,X,X,X,X,X,X,O
TOIJLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOIJLZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TOIJSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOIJSZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TOIJZLS,X,O,X,O,X,X,X,O,X,O,X,X,X
TOIJZSL,O,O,X,O,O,X,X,O,X,X,X,X,X
TOISLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOISLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOISJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOISJZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TOISZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TOISZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
TOIZLJS,X,O,X,O,X,X,X,O,X,O,X,X,X
TOIZLSJ,X,O,X,O,X,X,X,O,X,X,X,X,X
TOIZJLS,X,O,X,O,X,X,X,O,X,O,X,X,X
TOIZJSL,O,O,X,O,X,X,X,O,X,X,X,X,X
TOIZSLJ,O,X,X,O,O,X,X,X,X,X,X,X,X
TOIZSJL,O,O,X,O,X,X,X,O,X,X,X,X,X
TOLIJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOLIJZS,X,O,O,X,X,X,X,X,X,X,X,X,O
TOLISJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TOLISZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TOLIZJS,X,O,O,X,X,X,X,X,X,X,X,X,O
TOLIZSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
TOLJISZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOLJIZS,X,O,O,X,X,X,X,X,X,X,X,X,O
TOLJSIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOLJSZI,O,X,O,X,X,X,O,X,X,X,X,X,X
TOLJZIS,X,O,O,X,X,X,X,O,X,X,X,X,O
TOLJZSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TOLSIJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TOLSIZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TOLSJIZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TOLSJZI,O,X,O,X,X,X,O,X,O,X,X,X,X
TOLSZIJ,O,O,X,X,X,X,O,X,O,X,X,X,X
TOLSZJI,O,O,X,X,X,X,O,X,O,X,X,X,X
TOLZIJS,X,O,O,X,X,X,X,O,X,X,X,X,O
TOLZISJ,X,O,X,X,X,X,X,O,X,X,X,X,O
TOLZJIS,X,O,O,X,X,X,X,O,X,X,X,X,O
TOLZJSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TOLZSIJ,X,O,X,X,X,X,O,O,X,X,X,X,O
TOLZSJI,X,O,X,X,X,X,O,O,X,X,X,X,X
TOJILSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOJILZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TOJISLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOJISZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TOJIZLS,X,O,X,O,X,X,X,O,X,O,X,X,X
TOJIZSL,O,O,X,O,O,X,X,O,X,X,X,X,X
TOJLISZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOJLIZS,X,O,O,X,X,X,X,X,X,X,X,X,X
TOJLSIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOJLSZI,O,X,O,X,X,X,O,X,X,X,X,X,X
TOJLZIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TOJLZSI,X,O,O,X,X,X,O,O,X,X,X,X,X
TOJSILZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOJSIZL,O,X,X,X,X,X,X,X,X,X,X,O,X
TOJSLIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOJSLZI,O,X,O,X,X,X,X,X,X,X,X,O,X
TOJSZIL,O,X,X,X,X,X,X,O,X,X,X,O,X
TOJSZLI,O,X,X,X,X,X,X,O,X,X,X,O,X
TOJZILS,X,O,X,X,X,X,X,O,X,O,X,X,X
TOJZISL,O,O,X,X,O,X,X,O,X,X,X,X,X
TOJZLIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TOJZLSI,X,O,O,X,X,X,X,O,X,X,X,X,X
TOJZSIL,O,O,X,X,O,X,X,O,X,X,X,X,X
TOJZSLI,O,O,X,X,O,X,X,O,X,X,X,X,X
TOSILJZ,O,X,X,X,X,X,X,X,O,X,O,X,X
TOSILZJ,O,X,X,X,X,X,X,X,O,X,X,X,X
TOSIJLZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TOSIJZL,O,X,X,X,X,X,X,X,X,X,O,O,X
TOSIZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOSIZJL,O,O,X,X,X,X,X,X,X,X,O,X,X
TOSLIJZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TOSLIZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TOSLJIZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TOSLJZI,O,X,O,X,X,X,X,X,O,X,O,O,X
TOSLZIJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X,O,X,X,X,X
TOSJILZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TOSJIZL,O,X,X,X,X,X,X,X,X,X,O,O,X
TOSJLIZ,O,X,O,X,X,X,X,X,O,X,O,X,X
TOSJLZI,O,X,O,X,X,X,X,X,O,X,O,O,X
TOSJZIL,O,X,X,X,X,X,X,O,X,X,O,O,X
TOSJZLI,O,X,X,X,X,X,X,O,X,X,O,O,X
TOSZILJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOSZIJL,O,O,X,X,X,X,X,O,X,X,O,X,X
TOSZLIJ,O,O,X,X,X,X,X,O,O,X,X,X,X
TOSZLJI,O,O,X,X,X,X,X,O,O,X,X,X,X
TOSZJIL,O,O,X,X,X,X,X,O,X,X,O,O,X
TOSZJLI,O,O,X,X,X,X,X,O,X,X,O,O,X
TOZILJS,X,O,X,X,X,X,X,O,X,O,X,X,X
TOZILSJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TOZIJLS,X,O,X,X,X,X,X,O,X,O,X,X,X
TOZIJSL,O,O,X,X,X,X,X,O,X,X,X,X,X
TOZISLJ,O,X,X,X,O,X,X,X,X,X,X,X,X
TOZISJL,O,O,X,X,X,X,X,O,X,X,X,X,X
TOZLIJS,X,O,O,X,X,X,X,O,X,X,X,X,X
TOZLISJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TOZLJIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TOZLJSI,X,O,O,X,X,X,X,O,X,X,X,X,X
TOZLSIJ,X,O,X,X,X,X,X,O,X,X,X,X,X
TOZLSJI,X,O,X,X,X,X,X,O,X,X,X,X,X
TOZJILS,X,O,X,X,X,X,X,O,X,O,X,X,X
TOZJISL,O,O,X,X,X,X,X,O,X,X,X,X,X
TOZJLIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TOZJLSI,X,O,O,X,X,X,X,O,X,X,X,X,X
TOZJSIL,O,O,X,X,X,X,X,O,X,X,X,X,X
TOZJSLI,O,O,X,X,X,X,X,O,X,X,X,X,X
TOZSILJ,O,X,X,X,O,X,X,X,X,X,X,X,X
TOZSIJL,O,O,X,X,X,X,X,O,X,X,X,X,X
TOZSLIJ,O,O,X,X,O,X,X,O,X,X,X,X,X
TOZSLJI,O,O,X,X,O,X,X,O,X,X,X,X,X
TOZSJIL,O,O,X,X,X,X,X,O,X,X,X,X,X
TOZSJLI,O,O,X,X,X,X,X,O,X,X,X,X,X
ITLJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITLJSOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITLJZSO,X,O,X,O,X,O,X,X,X,X,X,X,O
ITLJZOS,X,O,O,O,X,X,X,X,X,X,X,X,O
ITLJOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITLJOZS,X,O,O,O,X,X,X,X,X,X,X,X,O
ITLSJZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITLSJOZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X
ITLSOJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
ITLZJSO,X,O,X,O,X,X,X,X,X,X,X,X,O
ITLZJOS,X,O,O,O,X,X,X,X,X,X,X,X,O
ITLZSJO,X,O,X,O,X,O,X,X,X,X,X,X,X
ITLZSOJ,X,O,X,O,X,O,X,X,X,X,X,X,O
ITLZOJS,X,O,O,O,X,X,X,X,X,X,X,X,O
ITLZOSJ,X,O,X,O,X,X,X,X,X,X,X,X,O
ITLOJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITLOJZS,X,O,O,O,X,X,X,X,X,X,X,X,O
ITLOSJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ITLOSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
ITLOZJS,X,O,O,O,X,X,X,X,X,X,X,X,O
ITLOZSJ,X,O,X,O,X,X,X,X,X,X,X,X,O
ITJLSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJLSOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITJLZSO,X,X,X,O,X,O,X,X,X,X,X,X,X
ITJLZOS,X,X,O,O,X,X,X,X,X,X,X,X,X
ITJLOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ITJLOZS,X,X,O,O,X,X,X,X,X,X,X,X,X
ITJSLZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJSZLO,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJSZOL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJSOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJSOZL,O,X,X,O,X,X,X,X,X,X,X,X,X
ITJZLSO,X,X,X,O,X,O,X,O,X,X,X,X,X
ITJZLOS,X,O,X,O,X,X,X,O,X,O,X,X,X
ITJZSLO,O,X,X,O,O,O,X,X,X,X,X,X,X
ITJZSOL,O,O,X,O,O,X,X,O,X,X,X,X,X
ITJZOLS,X,O,X,O,X,X,X,O,X,O,X,X,X
