sequence,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEicBGeB3hBz?iBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEOhB8hBqiBT?jBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEmcBCeBThBX?jBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEOhB8hBCeBX?jBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEicBuiBcjB3?hBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhE2hBqiBTeB3?hBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEKhBzcBuiBc?jBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEOhBTeBCiB0?iBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhE8hBqiBTeBV?rBOrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEyhBWjBThBX?jBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhE2hBSjB3hBz?iBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEqiBTeBXmB8?mBOrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEyhBuiBcjBT?hBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhE8hBCeBXjBV?rBOrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEOhB8hBSjBz?iBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhE/hBTeB0iBd?rBCsB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEKhBWiBTeB0?iBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEKhBzcBWjBX?jBFrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEGeBziBXmBl?mBirB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEuiBcjBXmBl?mBirB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEzcBuiBcjB/?mBdrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhECdBTeB/mB0?iBdrB,v115@9gD8FeD8BeA8BeD8CeH8AeE8Jex6IvhEWiBTeB/mB0?iBdrB
OTJZSLI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTSILJZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OTSILZJ,O,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OTSIJLZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTSIJZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTSIZLJ,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OTSIZJL,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
OTSLIJZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
OTSLIZJ,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OTSLJIZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
OTSLJZI,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
OTSLZIJ,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OTSLZJI,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OTSJILZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTSJIZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTSJLIZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
OTSJLZI,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
OTSJZIL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
OTSJZLI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
OTSZILJ,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OTSZIJL,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
OTSZLIJ,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OTSZLJI,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OTSZJIL,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
OTSZJLI,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
OTZILJS,X,O,X,X,X,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
OTZILSJ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTZIJLS,X,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
OTZIJSL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTZISLJ,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OTZISJL,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OTZLIJS,X,O,X,X,X,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
OTZLISJ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTZLJIS,X,O,X,X,X,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
OTZLJSI,X,O,X,X,X,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
OTZLSIJ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTZLSJI,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTZJILS,X,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
OTZJISL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTZJLIS,X,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X
