sequence,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkByqBUgBTVB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBalBzlB0bB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?0kBvlBamBzWB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBTlBamB0cB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBTlBvkB0aB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBvlB0kBTaB
TSJLZOI,O,X,O,X,X,O
TSJLOIZ,O,O,O,X,X,X
TSJLOZI,O,O,O,X,X,X
TSJZILO,O,X,O,X,O,O
TSJZIOL,O,X,O,X,O,O
TSJZLIO,O,X,O,X,X,O
TSJZLOI,O,X,O,X,X,O
TSJZOIL,O,X,X,X,O,O
TSJZOLI,O,X,X,X,O,O
TSJOILZ,O,O,X,O,O,X
TSJOIZL,O,O,X,O,O,X
TSJOLIZ,O,O,X,O,O,X
TSJOLZI,O,O,X,O,O,X
TSJOZIL,O,X,X,X,O,X
TSJOZLI,O,X,X,X,O,X
TSZILJO,O,X,O,X,X,O
TSZILOJ,O,X,O,X,X,O
TSZIJLO,O,X,O,X,O,O
TSZIJOL,O,X,O,X,O,O
TSZIOLJ,O,X,X,X,O,O
TSZIOJL,O,X,X,X,O,O
TSZLIJO,O,X,O,X,X,O
TSZLIOJ,O,X,O,X,X,O
TSZLJIO,O,X,O,X,X,O
TSZLJOI,O,X,O,X,X,O
TSZLOIJ,O,X,O,X,X,O
TSZLOJI,O,X,O,X,X,O
TSZJILO,O,X,O,X,O,O
TSZJIOL,O,X,O,X,O,O
TSZJLIO,O,X,O,X,X,O
TSZJLOI,O,X,O,X,X,O
TSZJOIL,O,X,X,X,O,O
TSZJOLI,O,X,X,X,O,O
TSZOILJ,O,X,X,X,O,O
TSZOIJL,O,X,X,X,O,O
TSZOLIJ,O,X,X,X,O,O
TSZOLJI,O,X,X,X,O,O
TSZOJIL,O,X,X,X,O,O
TSZOJLI,O,X,X,X,O,O
TSOILJZ,O,O,X,O,O,X
TSOILZJ,O,O,X,O,O,X
TSOIJLZ,O,O,X,O,O,X
TSOIJZL,O,O,X,O,O,X
TSOIZLJ,O,X,X,X,O,X
TSOIZJL,O,X,X,X,O,X
TSOLIJZ,O,O,X,O,O,X
TSOLIZJ,O,O,X,O,O,X
TSOLJIZ,O,O,X,O,O,X
TSOLJZI,O,O,X,O,O,X
TSOLZIJ,O,O,X,O,O,X
TSOLZJI,O,O,X,O,O,X
TSOJILZ,O,O,X,O,O,X
TSOJIZL,O,O,X,O,O,X
TSOJLIZ,O,O,X,O,O,X
TSOJLZI,O,O,X,O,O,X
TSOJZIL,O,X,X,X,O,X
TSOJZLI,O,X,X,X,O,X
TSOZILJ,O,X,X,X,O,X
TSOZIJL,O,X,X,X,O,X
TSOZLIJ,O,X,X,X,O,X
TSOZLJI,O,X,X,X,O,X
TSOZJIL,O,X,X,X,O,X
TSOZJLI,O,X,X,X,O,X
TZILJSO,X,X,X,X,X,X
TZILJOS,X,X,X,X,X,X
TZILSJO,X,X,X,X,X,X
TZILSOJ,X,X,X,X,X,X
TZILOJS,X,X,X,X,X,X
TZILOSJ,X,X,X,X,X,X
TZIJLSO,X,X,O,X,X,O
TZIJLOS,X,X,X,X,X,O
TZIJSLO,X,X,O,X,X,O
TZIJSOL,X,X,O,X,X,O
TZIJOLS,X,X,X,X,X,O
TZIJOSL,X,X,O,X,X,O
TZISLJO,X,X,O,X,X,O
TZISLOJ,X,X,O,X,X,O
TZISJLO,X,X,O,X,X,O
TZISJOL,X,X,O,X,X,O
TZISOLJ,X,X,X,X,X,O
TZISOJL,X,X,X,X,X,O
TZIOLJS,X,X,X,X,X,X
TZIOLSJ,X,X,X,X,X,X
TZIOJLS,X,X,X,X,X,O
TZIOJSL,X,X,X,X,X,O
TZIOSLJ,X,X,X,X,X,O
TZIOSJL,X,X,X,X,X,O
TZLIJSO,X,X,X,X,X,X
TZLIJOS,X,X,X,X,X,X
TZLISJO,X,X,X,X,X,X
TZLISOJ,X,X,X,X,X,X
TZLIOJS,X,X,X,X,X,X
TZLIOSJ,X,X,X,X,X,X
TZLJISO,X,X,X,X,X,X
TZLJIOS,X,X,X,X,X,X
TZLJSIO,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X
TZLJOIS,X,X,X,X,X,X
TZLJOSI,X,X,X,X,X,X
TZLSIJO,X,X,X,X,X,X
TZLSIOJ,X,X,X,X,X,X
TZLSJIO,X,X,X,X,X,X
TZLSJOI,X,X,X,X,X,X
TZLSOIJ,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X
TZLOIJS,X,X,X,X,X,X
TZLOISJ,X,X,X,X,X,X
TZLOJIS,X,X,X,X,X,X
TZLOJSI,X,X,X,X,X,X
