sequence,v115@FhB8IeA8AeA8BeB8CeA8AeI8Je2MJvhEflB0iBThB6?lBJkB
TOSLZIJ,X
TOSLZJI,X
TOSJILZ,O
TOSJIZL,O
TOSJLIZ,O
TOSJLZI,O
TOSJZIL,O
TOSJZLI,O
TOSZILJ,X
TOSZIJL,X
TOSZLIJ,X
TOSZLJI,X
TOSZJIL,X
TOSZJLI,X
TOZILJS,X
TOZILSJ,X
TOZIJLS,X
TOZIJSL,X
TOZISLJ,X
TOZISJL,X
TOZLIJS,X
TOZLISJ,X
TOZLJIS,X
TOZLJSI,X
TOZLSIJ,X
TOZLSJI,X
TOZJILS,X
TOZJISL,X
TOZJLIS,X
TOZJLSI,X
TOZJSIL,X
TOZJSLI,X
TOZSILJ,X
TOZSIJL,X
TOZSLIJ,X
TOZSLJI,X
TOZSJIL,X
TOZSJLI,X
ITLJSZO,X
ITLJSOZ,X
ITLJZSO,X
ITLJZOS,X
ITLJOSZ,X
ITLJOZS,X
ITLSJZO,X
ITLSJOZ,X
ITLSZJO,X
ITLSZOJ,X
ITLSOJZ,X
ITLSOZJ,X
ITLZJSO,X
ITLZJOS,X
ITLZSJO,X
ITLZSOJ,X
ITLZOJS,X
ITLZOSJ,X
ITLOJSZ,X
ITLOJZS,X
ITLOSJZ,X
ITLOSZJ,X
ITLOZJS,X
ITLOZSJ,X
ITJLSZO,X
ITJLSOZ,X
ITJLZSO,X
ITJLZOS,X
ITJLOSZ,X
ITJLOZS,X
ITJSLZO,O
ITJSLOZ,O
ITJSZLO,O
ITJSZOL,O
ITJSOLZ,O
ITJSOZL,O
ITJZLSO,X
ITJZLOS,X
ITJZSLO,O
ITJZSOL,O
ITJZOLS,X
ITJZOSL,O
ITJOLSZ,X
ITJOLZS,X
ITJOSLZ,O
ITJOSZL,O
ITJOZLS,X
ITJOZSL,O
ITSLJZO,O
ITSLJOZ,O
ITSLZJO,X
ITSLZOJ,X
ITSLOJZ,O
ITSLOZJ,X
ITSJLZO,O
ITSJLOZ,O
ITSJZLO,O
ITSJZOL,O
ITSJOLZ,O
ITSJOZL,O
ITSZLJO,X
ITSZLOJ,X
ITSZJLO,X
ITSZJOL,X
ITSZOLJ,X
ITSZOJL,X
ITSOLJZ,O
ITSOLZJ,X
ITSOJLZ,O
ITSOJZL,O
ITSOZLJ,X
ITSOZJL,X
ITZLJSO,X
ITZLJOS,X
ITZLSJO,X
ITZLSOJ,X
ITZLOJS,X
ITZLOSJ,X
ITZJLSO,X
ITZJLOS,X
ITZJSLO,X
ITZJSOL,X
ITZJOLS,X
ITZJOSL,X
ITZSLJO,X
ITZSLOJ,X
ITZSJLO,X
ITZSJOL,X
ITZSOLJ,X
ITZSOJL,X
ITZOLJS,X
ITZOLSJ,X
ITZOJLS,X
ITZOJSL,X
ITZOSLJ,X
ITZOSJL,X
ITOLJSZ,X
ITOLJZS,X
ITOLSJZ,X
ITOLSZJ,X
ITOLZJS,X
ITOLZSJ,X
ITOJLSZ,X
ITOJLZS,X
ITOJSLZ,O
ITOJSZL,O
ITOJZLS,X
ITOJZSL,O
ITOSLJZ,O
ITOSLZJ,X
ITOSJLZ,O
ITOSJZL,O
ITOSZLJ,X
ITOSZJL,X
ITOZLJS,X
ITOZLSJ,X
ITOZJLS,X
ITOZJSL,X
ITOZSLJ,X
ITOZSJL,X
ILTJSZO,X
ILTJSOZ,X
ILTJZSO,X
ILTJZOS,X
ILTJOSZ,X
ILTJOZS,X
ILTSJZO,X
ILTSJOZ,X
ILTSZJO,X
ILTSZOJ,X
ILTSOJZ,X
ILTSOZJ,X
ILTZJSO,X
ILTZJOS,X
ILTZSJO,X
ILTZSOJ,X
ILTZOJS,X
ILTZOSJ,X
ILTOJSZ,X
ILTOJZS,X
ILTOSJZ,X
ILTOSZJ,X
ILTOZJS,X
ILTOZSJ,X
ILJTSZO,X
ILJTSOZ,X
ILJTZSO,X
ILJTZOS,X
ILJTOSZ,X
ILJTOZS,X
ILJSTZO,O
ILJSTOZ,O
ILJSZTO,O
ILJSZOT,O
ILJSOTZ,O
ILJSOZT,O
ILJZTSO,X
ILJZTOS,X
ILJZSTO,O
ILJZSOT,O
ILJZOTS,X
ILJZOST,O
ILJOTSZ,X
ILJOTZS,X
ILJOSTZ,O
ILJOSZT,O
ILJOZTS,X
ILJOZST,O
ILSTJZO,O
ILSTJOZ,O
ILSTZJO,X
ILSTZOJ,X
ILSTOJZ,O
ILSTOZJ,X
ILSJTZO,O
ILSJTOZ,O
ILSJZTO,O
ILSJZOT,O
ILSJOTZ,O
ILSJOZT,O
ILSZTJO,X
ILSZTOJ,X
ILSZJTO,O
ILSZJOT,O
ILSZOTJ,X
ILSZOJT,O
ILSOTJZ,O
ILSOTZJ,X
ILSOJTZ,O
ILSOJZT,O
ILSOZTJ,X
ILSOZJT,O
ILZTJSO,X
ILZTJOS,X
ILZTSJO,X
ILZTSOJ,X
ILZTOJS,X
ILZTOSJ,X
ILZJTSO,X
ILZJTOS,X
ILZJSTO,X
ILZJSOT,X
ILZJOTS,X
ILZJOST,X
ILZSTJO,X
ILZSTOJ,X
ILZSJTO,X
ILZSJOT,X
ILZSOTJ,X
ILZSOJT,X
ILZOTJS,X
ILZOTSJ,X
ILZOJTS,X
ILZOJST,X
ILZOSTJ,X
ILZOSJT,X
ILOTJSZ,X
ILOTJZS,X
ILOTSJZ,X
ILOTSZJ,X
ILOTZJS,X
ILOTZSJ,X
ILOJTSZ,X
ILOJTZS,X
ILOJSTZ,O
ILOJSZT,O
ILOJZTS,X
ILOJZST,O
ILOSTJZ,O
ILOSTZJ,X
ILOSJTZ,O
ILOSJZT,O
ILOSZTJ,X
ILOSZJT,O
ILOZTJS,X
ILOZTSJ,X
ILOZJTS,X
ILOZJST,X
ILOZSTJ,X
ILOZSJT,X
IJTLSZO,X
IJTLSOZ,X
IJTLZSO,X
IJTLZOS,X
IJTLOSZ,X
IJTLOZS,X
IJTSLZO,O
IJTSLOZ,O
IJTSZLO,O
IJTSZOL,O
IJTSOLZ,O
IJTSOZL,O
IJTZLSO,X
IJTZLOS,X
IJTZSLO,O
IJTZSOL,O
IJTZOLS,X
IJTZOSL,O
IJTOLSZ,X
IJTOLZS,X
IJTOSLZ,O
IJTOSZL,O
IJTOZLS,X
IJTOZSL,O
IJLTSZO,X
IJLTSOZ,X
IJLTZSO,X
IJLTZOS,X
IJLTOSZ,X
IJLTOZS,X
IJLSTZO,O
IJLSTOZ,O
IJLSZTO,O
IJLSZOT,O
IJLSOTZ,O
IJLSOZT,O
IJLZTSO,X
IJLZTOS,X
IJLZSTO,O
IJLZSOT,O
IJLZOTS,X
IJLZOST,O
IJLOTSZ,X
IJLOTZS,X
IJLOSTZ,O
IJLOSZT,O
IJLOZTS,X
IJLOZST,O
IJSTLZO,O
IJSTLOZ,O
IJSTZLO,O
IJSTZOL,O
IJSTOLZ,O
IJSTOZL,O
IJSLTZO,O
IJSLTOZ,O
IJSLZTO,O
IJSLZOT,O
IJSLOTZ,O
IJSLOZT,O
IJSZTLO,O
IJSZTOL,O
IJSZLTO,O
IJSZLOT,O
IJSZOTL,O
IJSZOLT,O
IJSOTLZ,O
IJSOTZL,O
IJSOLTZ,O
IJSOLZT,O
IJSOZTL,O
IJSOZLT,O
IJZTLSO,X
IJZTLOS,X
IJZTSLO,O
IJZTSOL,O
IJZTOLS,X
IJZTOSL,O
IJZLTSO,X
IJZLTOS,X
IJZLSTO,O
IJZLSOT,O
IJZLOTS,X
IJZLOST,O
IJZSTLO,O
IJZSTOL,O
IJZSLTO,O
IJZSLOT,O
IJZSOTL,O
IJZSOLT,O
IJZOTLS,X
IJZOTSL,O
IJZOLTS,X
IJZOLST,O
IJZOSTL,O
IJZOSLT,O
IJOTLSZ,X
IJOTLZS,X
IJOTSLZ,O
IJOTSZL,O
IJOTZLS,X
IJOTZSL,O
IJOLTSZ,X
IJOLTZS,X
IJOLSTZ,O
IJOLSZT,O
IJOLZTS,X
IJOLZST,O
IJOSTLZ,O
IJOSTZL,O
IJOSLTZ,O
IJOSLZT,O
IJOSZTL,O
IJOSZLT,O
IJOZTLS,X
IJOZTSL,O
IJOZLTS,X
IJOZLST,O
IJOZSTL,O
IJOZSLT,O
ISTLJZO,O
ISTLJOZ,O
ISTLZJO,X
ISTLZOJ,X
ISTLOJZ,O
ISTLOZJ,X
ISTJLZO,O
ISTJLOZ,O
ISTJZLO,O
ISTJZOL,O
ISTJOLZ,O
ISTJOZL,O
ISTZLJO,X
ISTZLOJ,X
ISTZJLO,X
ISTZJOL,X
ISTZOLJ,X
ISTZOJL,X
ISTOLJZ,O
ISTOLZJ,X
ISTOJLZ,O
ISTOJZL,O
ISTOZLJ,X
ISTOZJL,X
ISLTJZO,O
ISLTJOZ,O
ISLTZJO,X
ISLTZOJ,X
ISLTOJZ,O
ISLTOZJ,X
ISLJTZO,O
ISLJTOZ,O
ISLJZTO,O
ISLJZOT,O
ISLJOTZ,O
ISLJOZT,O
ISLZTJO,X
ISLZTOJ,X
ISLZJTO,O
ISLZJOT,O
ISLZOTJ,X
ISLZOJT,O
ISLOTJZ,O
ISLOTZJ,X
ISLOJTZ,O
ISLOJZT,O
ISLOZTJ,X
ISLOZJT,O
ISJTLZO,O
ISJTLOZ,O
ISJTZLO,O
ISJTZOL,O
ISJTOLZ,O
ISJTOZL,O
ISJLTZO,O
ISJLTOZ,O
ISJLZTO,O
ISJLZOT,O
ISJLOTZ,O
ISJLOZT,O
ISJZTLO,O
ISJZTOL,O
ISJZLTO,O
ISJZLOT,O
ISJZOTL,O
ISJZOLT,O
ISJOTLZ,O
ISJOTZL,O
ISJOLTZ,O
ISJOLZT,O
ISJOZTL,O
ISJOZLT,O
ISZTLJO,X
ISZTLOJ,X
ISZTJLO,X
ISZTJOL,X
ISZTOLJ,X
ISZTOJL,X
ISZLTJO,X
ISZLTOJ,X
ISZLJTO,O
ISZLJOT,O
ISZLOTJ,X
ISZLOJT,O
ISZJTLO,O
ISZJTOL,O
ISZJLTO,O
ISZJLOT,O
ISZJOTL,O
ISZJOLT,O
ISZOTLJ,X
ISZOTJL,X
ISZOLTJ,X
ISZOLJT,O
ISZOJTL,O
ISZOJLT,O
ISOTLJZ,O
ISOTLZJ,X
ISOTJLZ,O
ISOTJZL,O
ISOTZLJ,X
ISOTZJL,X
ISOLTJZ,O
ISOLTZJ,X
ISOLJTZ,O
ISOLJZT,O
ISOLZTJ,X
ISOLZJT,O
ISOJTLZ,O
ISOJTZL,O
ISOJLTZ,O
ISOJLZT,O
ISOJZTL,O
ISOJZLT,O
ISOZTLJ,X
ISOZTJL,X
ISOZLTJ,X
ISOZLJT,O
ISOZJTL,O
ISOZJLT,O
IZTLJSO,X
IZTLJOS,X
IZTLSJO,X
IZTLSOJ,X
IZTLOJS,X
IZTLOSJ,X
IZTJLSO,X
IZTJLOS,X
IZTJSLO,X
IZTJSOL,X
IZTJOLS,X
IZTJOSL,X
IZTSLJO,X
IZTSLOJ,X
IZTSJLO,X
IZTSJOL,X
IZTSOLJ,X
IZTSOJL,X
IZTOLJS,X
IZTOLSJ,X
IZTOJLS,X
IZTOJSL,X
IZTOSLJ,X
IZTOSJL,X
IZLTJSO,X
IZLTJOS,X
IZLTSJO,X
IZLTSOJ,X
IZLTOJS,X
IZLTOSJ,X
IZLJTSO,X
IZLJTOS,X
IZLJSTO,X
IZLJSOT,X
IZLJOTS,X
IZLJOST,X
IZLSTJO,X
IZLSTOJ,X
IZLSJTO,X
IZLSJOT,X
IZLSOTJ,X
IZLSOJT,X
IZLOTJS,X
IZLOTSJ,X
IZLOJTS,X
IZLOJST,X
IZLOSTJ,X
IZLOSJT,X
IZJTLSO,X
IZJTLOS,X
IZJTSLO,O
IZJTSOL,O
IZJTOLS,X
IZJTOSL,O
IZJLTSO,X
IZJLTOS,X
