sequence,v115@9gD8DeF8CeG8BeH8CeC8JeqLJvhFdiBsdBpUBzVBOV?B3TB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhBlmB2wB,v115@9gD8DeF8CeG8BeH8CeC8JeZGJvhBFiBqrB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhB0rBirB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhBTrBmrB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhBNrBzrB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhB3mB2wB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhBimB1wB,v115@9gD8DeF8CeG8BeH8CeC8JeNLJvhB6rBOsB,v115@9gD8DeF8CeG8BeH8CeC8JeZGJvhBurBFsB,v115@9gD8DeF8CeG8BeH8CeC8JeXCJvhB0rBOrB,v115@9gD8DeF8CeG8BeH8CeC8JeZGJvhBtmBXsB,v115@9gD8DeF8CeG8BeH8CeC8JeOGJvhBXiB1wB,v115@9gD8DeF8CeG8BeH8CeC8JelGJvhBOrBXsB,v115@9gD8DeF8CeG8BeH8CeC8Je0BJvhBNrBXsB,v115@9gD8DeF8CeG8BeH8CeC8Je2GJvhBcrBXsB,v115@9gD8DeF8CeG8BeH8CeC8JeXCJvhBNrB0rB,v115@9gD8DeF8CeG8BeH8CeC8Je2GJvhBTrBFsB,v115@9gD8DeF8CeG8BeH8CeC8Je/GJvhBFiB2wB,v115@9gD8DeF8CeG8BeH8CeC8Jeq4IvhF9ZBZQBzVB0rBXn?BOrB,v115@9gD8DeF8CeG8BeH8CeC8Jeq4IvhF9ZBZQBzVB2mBMr?BXsB
IJSOTLZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJSOTZL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJSOLTZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJSOLZT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJSOZTL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJSOZLT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJZTLSO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IJZTLOS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IJZTSLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IJZTSOL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IJZTOLS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IJZTOSL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IJZLTSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZLTOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZLSTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZLSOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZLOTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZLOST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZSTLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
IJZSTOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
IJZSLTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
IJZSLOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
IJZSOTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
IJZSOLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
IJZOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZOTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZOLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZOLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZOSTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJZOSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJOTLSZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IJOTLZS,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IJOTSLZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IJOTSZL,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IJOTZLS,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IJOTZSL,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IJOLTSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOLTZS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJOLSTZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOLSZT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOLZTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJOLZST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJOSTLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOSTZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOSLTZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOSLZT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOSZTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOSZLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IJOZTLS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJOZTSL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJOZLTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJOZLST,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJOZSTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IJOZSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ISTLJZO,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTLJOZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTLZJO,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTLZOJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTLOJZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTLOZJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTJLZO,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTJLOZ,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTJZLO,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTJZOL,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTJOLZ,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTJOZL,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTZLJO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTZLOJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTZJLO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTZJOL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTZOLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTZOJL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTOLJZ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTOLZJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTOJLZ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTOJZL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISTOZLJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTOZJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ISLTJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLTJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLTZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLTZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLTOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLTOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLJTZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLJTOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLJZTO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLJZOT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLJOTZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLJOZT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLZTJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLZTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLZJTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLZJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLZOTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLZOJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLOTJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLOTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLOJTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLOJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISLOZTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISLOZJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISJTLZO,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISJTLOZ,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISJTZLO,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISJTZOL,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISJTOLZ,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISJTOZL,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ISJLTZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJLTOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJLZTO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJLZOT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJLOTZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJLOZT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJZTLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJZTOL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJZLTO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJZLOT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJZOTL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJZOLT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJOTLZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJOTZL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJOLTZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJOLZT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJOZTL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISJOZLT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZTLJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZTLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZTJLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZTJOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZTOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZTOJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZLTJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZLTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZLJTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZLJOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZLOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZLOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZJTLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZJTOL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZJLTO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZJLOT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZJOTL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZJOLT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZOTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZOTJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZOLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZOLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZOJTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISZOJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOTLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOTLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOTJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOTJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOTZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOTZJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOLTJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOLTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOLJTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOLZTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOLZJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOJTLZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOJTZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOJLTZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOJLZT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOJZTL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOJZLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOZTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOZTJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOZLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOZLJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOZJTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ISOZJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTLJSO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTLJOS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTLSJO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTLSOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTLOJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTLOSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTJLSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTJLOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTJSLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTJSOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTJOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTJOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTSLJO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTSLOJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTSJLO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTSJOL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTSOLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTSOJL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTOLJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTOLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOJLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTOJSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTOSLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTOSJL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLTJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLTJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLTSJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLTSOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLTOJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLTOSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLJTSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLJTOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLJSTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLJSOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLJOTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLJOST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLSTJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSJTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSJOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLSOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLOTJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLOTSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLOJTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLOJST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZLOSTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZLOSJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJTLSO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IZJTLOS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IZJTSLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IZJTSOL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IZJTOLS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IZJTOSL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
IZJLTSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJLTOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJLSTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJLSOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJLOTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJLOST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJSTLO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O
IZJSTOL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O
IZJSLTO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O
IZJSLOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O
IZJSOTL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O
IZJSOLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O
IZJOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJOTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJOLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJOLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJOSTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZJOSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
IZSTLJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSTLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSTJLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSTJOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSTOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSTOJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSLTJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSLTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSLJTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSLJOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSLOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSLOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSJTLO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZSJTOL,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZSJLTO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZSJLOT,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
