sequence,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8Je3BJvhEMWBzYB?pUByQB+GB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8Je3BJvhEMWBzYB?pUB2QBqGB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhERcB+ZB?iWBMPBvSB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhFJRBtWB?3XBSeBMUB+LB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhF3WBMLB?aZBGYBpUBFRB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhF3WBMLB?eZBSYBpUBFRB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhEvWBJGB?0XB+ZBqNB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhERcB+ZB?MWB3SBKLB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhERcB+ZB?MWB3SByQB
TZISLOJ,O,X,X,X,O,X,X,X,X
TZISJLO,X,O,X,X,O,O,X,X,X
TZISJOL,X,O,X,X,X,O,X,X,X
TZISOLJ,O,X,X,X,O,X,X,X,X
TZISOJL,X,O,X,X,O,O,X,X,X
TZIOLJS,O,X,X,O,O,X,X,X,X
TZIOLSJ,O,X,X,O,O,X,X,X,X
TZIOJLS,X,O,X,O,O,O,X,X,X
TZIOJSL,X,O,X,O,O,O,X,X,X
TZIOSLJ,O,X,X,O,O,X,X,X,X
TZIOSJL,X,O,X,O,O,O,X,X,X
TZLIJSO,O,X,X,O,O,X,X,X,X
TZLIJOS,O,X,X,O,X,X,X,X,X
TZLISJO,O,X,X,O,O,X,X,X,X
TZLISOJ,O,X,X,O,O,X,X,X,X
TZLIOJS,O,X,X,O,O,X,X,X,X
TZLIOSJ,O,X,X,O,O,X,X,X,X
TZLJISO,O,X,X,O,O,X,X,X,X
TZLJIOS,O,X,X,O,X,X,X,X,X
TZLJSIO,O,X,X,O,O,X,X,X,X
TZLJSOI,O,X,X,O,X,X,X,X,X
TZLJOIS,O,X,X,O,X,X,X,O,O
TZLJOSI,O,X,X,O,X,X,X,X,X
TZLSIJO,O,X,X,O,O,X,X,X,X
TZLSIOJ,O,X,X,O,O,X,X,X,X
TZLSJIO,O,X,X,O,O,X,X,X,X
TZLSJOI,O,X,X,O,X,X,X,X,X
TZLSOIJ,O,X,X,O,O,X,X,X,X
TZLSOJI,O,X,X,O,O,X,X,X,X
TZLOIJS,O,X,X,O,O,X,X,O,O
TZLOISJ,O,X,X,O,O,X,X,O,O
TZLOJIS,O,X,X,O,O,X,X,O,O
TZLOJSI,O,X,X,O,O,X,X,X,X
TZLOSIJ,O,X,X,O,O,X,X,X,X
TZLOSJI,O,X,X,O,O,X,X,X,X
TZJILSO,X,O,X,O,O,O,X,X,X
TZJILOS,X,O,X,O,X,X,X,X,X
TZJISLO,X,O,X,X,O,O,X,X,X
TZJISOL,X,O,X,X,X,O,X,X,X
TZJIOLS,X,O,X,O,X,O,X,X,X
TZJIOSL,X,O,X,O,X,O,X,X,X
TZJLISO,X,O,X,O,O,O,X,X,X
TZJLIOS,X,O,X,O,X,X,X,X,X
TZJLSIO,X,O,X,O,O,O,X,X,X
TZJLSOI,X,O,X,O,X,X,X,X,X
TZJLOIS,X,O,X,O,X,X,X,O,O
TZJLOSI,X,O,X,O,X,X,X,X,X
TZJSILO,X,O,X,X,O,O,X,X,X
TZJSIOL,X,O,X,X,X,O,X,X,X
TZJSLIO,X,O,X,X,O,O,X,X,X
TZJSLOI,X,O,X,X,X,X,X,X,X
TZJSOIL,X,O,X,X,X,O,X,X,X
TZJSOLI,X,O,X,X,X,O,X,X,X
TZJOILS,X,O,X,O,X,O,X,O,O
TZJOISL,X,O,X,O,X,O,X,O,O
TZJOLIS,X,O,X,O,X,O,X,O,O
TZJOLSI,X,O,X,O,X,O,X,X,X
TZJOSIL,X,O,X,O,X,O,X,X,X
TZJOSLI,X,O,X,O,X,O,X,X,X
TZSILJO,O,X,X,X,O,X,X,X,X
TZSILOJ,O,X,X,X,O,X,X,X,X
TZSIJLO,X,O,X,X,O,O,X,X,X
TZSIJOL,X,O,X,X,X,O,X,X,X
TZSIOLJ,O,X,X,X,O,X,X,X,X
TZSIOJL,X,O,X,X,O,O,X,X,X
TZSLIJO,O,X,X,X,O,X,X,X,X
TZSLIOJ,O,X,X,X,O,X,X,X,X
TZSLJIO,O,X,X,X,O,X,X,X,X
TZSLJOI,O,X,X,X,X,X,X,X,X
TZSLOIJ,O,X,X,X,O,X,X,X,X
TZSLOJI,O,X,X,X,O,X,X,X,X
TZSJILO,X,O,X,X,O,O,X,X,X
TZSJIOL,X,O,X,X,X,O,X,X,X
TZSJLIO,X,O,X,X,O,O,X,X,X
TZSJLOI,X,O,X,X,X,X,X,X,X
TZSJOIL,X,O,X,X,X,O,X,X,X
TZSJOLI,X,O,X,X,X,O,X,X,X
TZSOILJ,O,X,X,X,O,X,X,X,X
TZSOIJL,X,O,X,X,O,O,X,X,X
TZSOLIJ,O,X,X,X,O,X,X,X,X
TZSOLJI,O,X,X,X,O,X,X,X,X
TZSOJIL,X,O,X,X,O,O,X,X,X
TZSOJLI,X,O,X,X,O,O,X,X,X
TZOILJS,O,X,X,O,O,X,X,O,O
TZOILSJ,O,X,X,O,O,X,X,O,O
TZOIJLS,X,O,X,O,O,O,X,O,O
TZOIJSL,X,O,X,O,O,O,X,O,O
TZOISLJ,O,X,X,O,O,X,X,O,O
TZOISJL,X,O,X,O,O,O,X,O,O
TZOLIJS,O,X,X,O,O,X,X,O,O
TZOLISJ,O,X,X,O,O,X,X,O,O
TZOLJIS,O,X,X,O,O,X,X,O,O
TZOLJSI,O,X,X,O,O,X,X,X,X
TZOLSIJ,O,X,X,O,O,X,X,X,X
TZOLSJI,O,X,X,O,O,X,X,X,X
TZOJILS,X,O,X,O,O,O,X,O,O
TZOJISL,X,O,X,O,O,O,X,O,O
TZOJLIS,X,O,X,O,O,O,X,O,O
TZOJLSI,X,O,X,O,O,O,X,X,X
TZOJSIL,X,O,X,O,O,O,X,X,X
TZOJSLI,X,O,X,O,O,O,X,X,X
TZOSILJ,O,X,X,O,O,X,X,X,X
TZOSIJL,X,O,X,O,O,O,X,X,X
TZOSLIJ,O,X,X,O,O,X,X,X,X
TZOSLJI,O,X,X,O,O,X,X,X,X
TZOSJIL,X,O,X,O,O,O,X,X,X
TZOSJLI,X,O,X,O,O,O,X,X,X
TOILJSZ,O,X,O,O,O,X,X,O,X
TOILJZS,O,X,O,O,O,X,X,O,X
TOILSJZ,O,X,O,O,O,X,X,O,X
TOILSZJ,O,X,X,O,O,X,X,O,X
TOILZJS,O,X,X,O,O,X,X,O,X
TOILZSJ,O,X,X,O,O,X,X,O,X
TOIJLSZ,X,O,O,O,O,O,X,O,X
TOIJLZS,X,O,O,O,O,O,X,O,X
TOIJSLZ,X,O,O,O,O,O,X,O,X
TOIJSZL,X,O,O,O,O,O,O,O,O
TOIJZLS,X,O,O,O,O,O,O,O,O
TOIJZSL,X,O,O,O,O,O,O,O,O
TOISLJZ,O,X,O,O,O,X,X,O,X
TOISLZJ,O,X,X,O,O,X,X,O,X
TOISJLZ,X,O,O,O,O,O,X,O,X
TOISJZL,X,O,O,O,O,O,O,O,O
TOISZLJ,O,X,X,O,O,X,O,O,O
TOISZJL,X,O,X,O,O,O,O,O,O
TOIZLJS,O,X,X,O,O,X,O,O,O
TOIZLSJ,O,X,X,O,O,X,O,O,O
TOIZJLS,X,O,X,O,O,O,O,O,O
TOIZJSL,X,O,X,O,O,O,O,O,O
TOIZSLJ,O,X,X,O,O,X,O,O,O
TOIZSJL,X,O,X,O,O,O,O,O,O
TOLIJSZ,O,X,O,O,O,X,X,O,X
TOLIJZS,O,X,O,O,O,X,X,O,X
TOLISJZ,O,X,O,O,O,X,X,O,X
TOLISZJ,O,X,X,O,O,X,X,O,X
TOLIZJS,O,X,X,O,O,X,X,O,X
TOLIZSJ,O,X,X,O,O,X,X,O,X
TOLJISZ,O,X,O,O,O,X,X,O,X
TOLJIZS,O,X,O,O,O,X,X,O,X
TOLJSIZ,O,X,O,O,O,X,X,X,X
TOLJSZI,O,X,O,O,O,X,X,X,X
TOLJZIS,O,X,O,O,O,X,X,O,O
TOLJZSI,O,X,O,O,O,X,X,X,X
TOLSIJZ,O,X,O,O,O,X,X,X,X
TOLSIZJ,O,X,X,O,O,X,X,X,X
TOLSJIZ,O,X,O,O,O,X,X,X,X
TOLSJZI,O,X,O,O,O,X,X,X,X
TOLSZIJ,O,X,X,O,O,X,X,X,X
TOLSZJI,O,X,X,O,O,X,X,X,X
TOLZIJS,O,X,X,O,O,X,X,O,O
TOLZISJ,O,X,X,O,O,X,X,O,O
TOLZJIS,O,X,X,O,O,X,X,O,O
TOLZJSI,O,X,X,O,O,X,X,X,X
TOLZSIJ,O,X,X,O,O,X,X,X,X
TOLZSJI,O,X,X,O,O,X,X,X,X
TOJILSZ,X,O,O,O,O,O,X,O,X
TOJILZS,X,O,O,O,O,O,X,O,X
TOJISLZ,X,O,O,O,O,O,X,O,X
TOJISZL,X,O,O,O,O,O,O,O,O
TOJIZLS,X,O,O,O,O,O,O,O,O
TOJIZSL,X,O,O,O,O,O,O,O,O
TOJLISZ,X,O,O,O,O,O,X,O,X
TOJLIZS,X,O,O,O,O,O,X,O,X
TOJLSIZ,X,O,O,O,O,O,X,X,X
TOJLSZI,X,O,O,O,O,O,X,X,X
TOJLZIS,X,O,O,O,O,O,X,O,O
TOJLZSI,X,O,O,O,O,O,X,X,X
TOJSILZ,X,O,X,O,O,O,X,X,X
TOJSIZL,X,O,X,O,O,O,O,X,X
TOJSLIZ,X,O,X,O,O,O,X,X,X
TOJSLZI,X,O,X,O,O,O,X,X,X
TOJSZIL,X,O,X,O,O,O,O,X,X
TOJSZLI,X,O,X,O,O,O,O,X,X
TOJZILS,X,O,O,O,O,O,O,O,O
TOJZISL,X,O,O,O,O,O,O,O,O
TOJZLIS,X,O,O,O,O,O,O,O,O
TOJZLSI,X,O,O,O,O,O,O,X,X
TOJZSIL,X,O,X,O,O,O,O,X,X
TOJZSLI,X,O,X,O,O,O,O,X,X
TOSILJZ,O,X,X,O,O,X,X,X,X
TOSILZJ,O,X,X,O,O,X,X,X,X
TOSIJLZ,X,O,X,O,O,O,X,X,X
TOSIJZL,X,O,X,O,O,O,O,X,X
TOSIZLJ,O,X,X,O,O,X,O,X,X
TOSIZJL,X,O,X,O,O,O,O,X,X
TOSLIJZ,O,X,X,O,O,X,X,X,X
TOSLIZJ,O,X,X,O,O,X,X,X,X
TOSLJIZ,O,X,X,O,O,X,X,X,X
TOSLJZI,O,X,X,O,O,X,X,X,X
TOSLZIJ,O,X,X,O,O,X,X,X,X
TOSLZJI,O,X,X,O,O,X,X,X,X
TOSJILZ,X,O,X,O,O,O,X,X,X
TOSJIZL,X,O,X,O,O,O,O,X,X
TOSJLIZ,X,O,X,O,O,O,X,X,X
TOSJLZI,X,O,X,O,O,O,X,X,X
TOSJZIL,X,O,X,O,O,O,O,X,X
TOSJZLI,X,O,X,O,O,O,O,X,X
TOSZILJ,O,X,X,O,O,X,O,X,X
TOSZIJL,X,O,X,O,O,O,O,X,X
TOSZLIJ,O,X,X,O,O,X,O,X,X
TOSZLJI,O,X,X,O,O,X,O,X,X
TOSZJIL,X,O,X,O,O,O,O,X,X
TOSZJLI,X,O,X,O,O,O,O,X,X
TOZILJS,O,X,X,O,O,X,O,O,O
TOZILSJ,O,X,X,O,O,X,O,O,O
TOZIJLS,X,O,X,O,O,O,O,O,O
TOZIJSL,X,O,X,O,O,O,O,O,O
TOZISLJ,O,X,X,O,O,X,O,O,O
TOZISJL,X,O,X,O,O,O,O,O,O
TOZLIJS,O,X,X,O,O,X,O,O,O
TOZLISJ,O,X,X,O,O,X,O,O,O
TOZLJIS,O,X,X,O,O,X,O,O,O
TOZLJSI,O,X,X,O,O,X,O,X,X
TOZLSIJ,O,X,X,O,O,X,O,X,X
TOZLSJI,O,X,X,O,O,X,O,X,X
TOZJILS,X,O,X,O,O,O,O,O,O
TOZJISL,X,O,X,O,O,O,O,O,O
TOZJLIS,X,O,X,O,O,O,O,O,O
TOZJLSI,X,O,X,O,O,O,O,X,X
TOZJSIL,X,O,X,O,O,O,O,X,X
TOZJSLI,X,O,X,O,O,O,O,X,X
TOZSILJ,O,X,X,O,O,X,O,X,X
TOZSIJL,X,O,X,O,O,O,O,X,X
TOZSLIJ,O,X,X,O,O,X,O,X,X
TOZSLJI,O,X,X,O,O,X,O,X,X
TOZSJIL,X,O,X,O,O,O,O,X,X
TOZSJLI,X,O,X,O,O,O,O,X,X
ITLJSZO,O,X,X,O,O,X,X,X,X
ITLJSOZ,O,X,X,O,X,X,X,X,X
ITLJZSO,O,X,X,O,O,X,X,X,X
ITLJZOS,O,X,X,O,X,X,X,X,X
ITLJOSZ,O,X,X,O,X,X,X,X,X
ITLJOZS,O,X,X,O,X,X,X,X,X
ITLSJZO,O,X,X,O,O,X,X,X,X
ITLSJOZ,O,X,X,O,X,X,X,X,X
ITLSZJO,O,X,X,O,O,X,X,X,X
ITLSZOJ,O,X,X,O,O,X,X,X,X
ITLSOJZ,O,X,X,O,O,X,X,X,X
ITLSOZJ,O,X,X,O,O,X,X,X,X
ITLZJSO,O,X,X,O,O,X,X,X,X
ITLZJOS,O,X,X,O,X,X,X,X,X
ITLZSJO,O,X,X,O,O,X,X,X,X
ITLZSOJ,O,X,X,O,O,X,X,X,X
ITLZOJS,O,X,X,O,O,X,X,X,X
ITLZOSJ,O,X,X,O,O,X,X,X,X
ITLOJSZ,O,X,X,O,O,X,X,X,X
ITLOJZS,O,X,X,O,O,X,X,X,X
ITLOSJZ,O,X,X,O,O,X,X,X,X
ITLOSZJ,O,X,X,O,O,X,X,X,X
ITLOZJS,O,X,X,O,O,X,X,X,X
ITLOZSJ,O,X,X,O,O,X,X,X,X
ITJLSZO,X,O,X,O,O,O,X,X,X
ITJLSOZ,X,O,X,O,X,X,X,X,X
ITJLZSO,X,O,X,O,O,O,X,X,X
ITJLZOS,X,O,X,O,X,X,X,X,X
ITJLOSZ,X,O,X,O,X,X,X,X,X
ITJLOZS,X,O,X,O,X,X,X,X,X
ITJSLZO,X,O,X,O,O,O,X,X,X
ITJSLOZ,X,O,X,O,X,X,X,X,X
ITJSZLO,X,O,X,X,O,O,X,X,X
ITJSZOL,X,O,X,X,X,O,X,X,X
ITJSOLZ,X,O,X,O,X,O,X,X,X
ITJSOZL,X,O,X,O,X,O,O,X,X
ITJZLSO,X,O,X,O,O,O,X,X,X
ITJZLOS,X,O,X,O,X,X,X,X,X
ITJZSLO,X,O,X,X,O,O,X,X,X
ITJZSOL,X,O,X,X,X,O,X,X,X
ITJZOLS,X,O,X,O,X,O,X,X,X
ITJZOSL,X,O,X,O,X,O,X,X,X
ITJOLSZ,X,O,X,O,X,O,X,X,X
ITJOLZS,X,O,X,O,X,O,X,X,X
ITJOSLZ,X,O,X,O,X,O,X,X,X
ITJOSZL,X,O,X,O,X,O,O,X,X
ITJOZLS,X,O,X,O,X,O,O,X,X
ITJOZSL,X,O,X,O,X,O,O,X,X
ITSLJZO,O,X,X,O,O,X,X,X,X
ITSLJOZ,O,X,X,O,X,X,X,X,X
ITSLZJO,O,X,X,O,O,X,X,X,X
ITSLZOJ,O,X,X,O,O,X,X,X,X
ITSLOJZ,O,X,X,O,O,X,X,X,X
ITSLOZJ,O,X,X,O,O,X,X,X,X
ITSJLZO,X,O,X,O,O,O,X,X,X
ITSJLOZ,X,O,X,O,X,X,X,X,X
ITSJZLO,X,O,X,X,O,O,X,X,X
ITSJZOL,X,O,X,X,X,O,X,X,X
ITSJOLZ,X,O,X,O,X,O,X,X,X
ITSJOZL,X,O,X,O,X,O,O,X,X
ITSZLJO,O,X,X,X,O,X,X,X,X
ITSZLOJ,O,X,X,X,O,X,X,X,X
ITSZJLO,X,O,X,X,O,O,X,X,X
ITSZJOL,X,O,X,X,X,O,X,X,X
ITSZOLJ,O,X,X,X,O,X,X,X,X
ITSZOJL,X,O,X,X,O,O,X,X,X
ITSOLJZ,O,X,X,O,O,X,X,X,X
ITSOLZJ,O,X,X,O,O,X,X,X,X
ITSOJLZ,X,O,X,O,O,O,X,X,X
ITSOJZL,X,O,X,O,O,O,O,X,X
ITSOZLJ,O,X,X,O,O,X,O,X,X
ITSOZJL,X,O,X,O,O,O,O,X,X
ITZLJSO,O,X,X,O,O,X,X,X,X
ITZLJOS,O,X,X,O,X,X,X,X,X
ITZLSJO,O,X,X,O,O,X,X,X,X
ITZLSOJ,O,X,X,O,O,X,X,X,X
ITZLOJS,O,X,X,O,O,X,X,X,X
ITZLOSJ,O,X,X,O,O,X,X,X,X
ITZJLSO,X,O,X,O,O,O,X,X,X
ITZJLOS,X,O,X,O,X,X,X,X,X
ITZJSLO,X,O,X,X,O,O,X,X,X
ITZJSOL,X,O,X,X,X,O,X,X,X
ITZJOLS,X,O,X,O,X,O,X,X,X
ITZJOSL,X,O,X,O,X,O,X,X,X
ITZSLJO,O,X,X,X,O,X,X,X,X
ITZSLOJ,O,X,X,X,O,X,X,X,X
ITZSJLO,X,O,X,X,O,O,X,X,X
ITZSJOL,X,O,X,X,X,O,X,X,X
ITZSOLJ,O,X,X,X,O,X,X,X,X
ITZSOJL,X,O,X,X,O,O,X,X,X
ITZOLJS,O,X,X,O,O,X,X,X,X
ITZOLSJ,O,X,X,O,O,X,X,X,X
ITZOJLS,X,O,X,O,O,O,X,X,X
ITZOJSL,X,O,X,O,O,O,X,X,X
ITZOSLJ,O,X,X,O,O,X,X,X,X
ITZOSJL,X,O,X,O,O,O,X,X,X
ITOLJSZ,O,X,X,O,O,X,X,X,X
ITOLJZS,O,X,X,O,O,X,X,X,X
ITOLSJZ,O,X,X,O,O,X,X,X,X
ITOLSZJ,O,X,X,O,O,X,X,X,X
ITOLZJS,O,X,X,O,O,X,X,X,X
ITOLZSJ,O,X,X,O,O,X,X,X,X
ITOJLSZ,X,O,X,O,O,O,X,X,X
ITOJLZS,X,O,X,O,O,O,X,X,X
ITOJSLZ,X,O,X,O,O,O,X,X,X
ITOJSZL,X,O,X,O,O,O,O,X,X
ITOJZLS,X,O,X,O,O,O,O,X,X
ITOJZSL,X,O,X,O,O,O,O,X,X
ITOSLJZ,O,X,X,O,O,X,X,X,X
ITOSLZJ,O,X,X,O,O,X,X,X,X
ITOSJLZ,X,O,X,O,O,O,X,X,X
ITOSJZL,X,O,X,O,O,O,O,X,X
ITOSZLJ,O,X,X,O,O,X,O,X,X
ITOSZJL,X,O,X,O,O,O,O,X,X
ITOZLJS,O,X,X,O,O,X,O,X,X
ITOZLSJ,O,X,X,O,O,X,O,X,X
ITOZJLS,X,O,X,O,O,O,O,X,X
ITOZJSL,X,O,X,O,O,O,O,X,X
ITOZSLJ,O,X,X,O,O,X,O,X,X
ITOZSJL,X,O,X,O,O,O,O,X,X
ILTJSZO,O,X,X,O,O,X,X,X,X
ILTJSOZ,O,X,X,O,X,X,X,X,X
ILTJZSO,O,X,X,O,O,X,X,X,X
ILTJZOS,O,X,X,O,X,X,X,X,X
ILTJOSZ,O,X,X,O,X,X,X,X,X
ILTJOZS,O,X,X,O,X,X,X,X,X
ILTSJZO,O,X,X,O,O,X,X,X,X
ILTSJOZ,O,X,X,O,X,X,X,X,X
ILTSZJO,O,X,X,O,O,X,X,X,X
ILTSZOJ,O,X,X,O,O,X,X,X,X
ILTSOJZ,O,X,X,O,O,X,X,X,X
ILTSOZJ,O,X,X,O,O,X,X,X,X
ILTZJSO,O,X,X,O,O,X,X,X,X
ILTZJOS,O,X,X,O,X,X,X,X,X
ILTZSJO,O,X,X,O,O,X,X,X,X
ILTZSOJ,O,X,X,O,O,X,X,X,X
ILTZOJS,O,X,X,O,O,X,X,X,X
ILTZOSJ,O,X,X,O,O,X,X,X,X
ILTOJSZ,O,X,X,O,O,X,X,X,X
ILTOJZS,O,X,X,O,O,X,X,X,X
ILTOSJZ,O,X,X,O,O,X,X,X,X
ILTOSZJ,O,X,X,O,O,X,X,X,X
ILTOZJS,O,X,X,O,O,X,X,X,X
ILTOZSJ,O,X,X,O,O,X,X,X,X
ILJTSZO,O,O,X,O,O,O,X,X,X
ILJTSOZ,O,O,X,O,X,X,X,X,X
ILJTZSO,O,O,X,O,O,O,X,X,X
ILJTZOS,O,O,X,O,X,X,X,X,X
ILJTOSZ,O,O,X,O,X,X,X,X,X
ILJTOZS,O,O,X,O,X,X,X,X,X
ILJSTZO,O,O,X,O,O,O,X,X,X
ILJSTOZ,O,O,X,O,X,X,X,X,X
ILJSZTO,O,O,X,O,O,O,X,X,X
ILJSZOT,O,O,X,O,O,O,X,X,X
ILJSOTZ,O,O,X,O,O,O,X,X,X
ILJSOZT,O,O,X,O,O,O,O,X,X
ILJZTSO,O,O,X,O,O,O,X,X,X
ILJZTOS,O,O,X,O,X,X,X,X,X
ILJZSTO,O,O,X,O,O,O,X,X,X
ILJZSOT,O,O,X,O,O,O,X,X,X
ILJZOTS,O,O,O,O,O,O,X,O,O
ILJZOST,O,O,O,O,O,O,X,O,O
ILJOTSZ,O,O,O,O,O,O,X,O,X
ILJOTZS,O,O,O,O,O,O,X,O,X
ILJOSTZ,O,O,O,O,O,O,X,O,X
ILJOSZT,O,O,O,O,O,O,O,O,X
ILJOZTS,O,O,O,O,O,O,O,O,O
ILJOZST,O,O,O,O,O,O,O,O,O
ILSTJZO,O,X,X,O,O,X,X,X,X
ILSTJOZ,O,X,X,O,X,X,X,X,X
ILSTZJO,O,X,X,O,O,X,X,X,X
ILSTZOJ,O,X,X,O,O,X,X,X,X
ILSTOJZ,O,X,X,O,O,X,X,X,X
ILSTOZJ,O,X,X,O,O,X,X,X,X
ILSJTZO,O,O,X,O,O,O,X,X,X
ILSJTOZ,O,O,X,O,X,X,X,X,X
ILSJZTO,O,O,X,O,O,O,X,X,X
ILSJZOT,O,O,X,O,O,O,X,X,X
ILSJOTZ,O,O,X,O,O,O,X,X,X
ILSJOZT,O,O,X,O,O,O,O,X,X
ILSZTJO,O,X,X,O,O,X,X,X,X
ILSZTOJ,O,X,X,O,O,X,X,X,X
ILSZJTO,O,O,X,O,O,O,X,X,X
ILSZJOT,O,O,X,O,O,O,X,X,X
ILSZOTJ,O,X,X,O,O,X,X,X,X
ILSZOJT,O,O,X,O,O,O,X,X,X
ILSOTJZ,O,X,X,O,O,X,X,X,X
ILSOTZJ,O,X,X,O,O,X,X,X,X
ILSOJTZ,O,O,X,O,O,O,X,X,X
ILSOJZT,O,O,X,O,O,O,O,X,X
ILSOZTJ,O,X,X,O,O,X,O,X,X
ILSOZJT,O,O,X,O,O,O,O,X,X
ILZTJSO,O,X,X,O,O,X,X,X,X
ILZTJOS,O,X,X,O,X,X,X,X,X
ILZTSJO,O,X,X,O,O,X,X,X,X
ILZTSOJ,O,X,X,O,O,X,X,X,X
ILZTOJS,O,X,X,O,O,X,X,X,X
ILZTOSJ,O,X,X,O,O,X,X,X,X
ILZJTSO,O,O,X,O,O,O,X,X,X
ILZJTOS,O,O,X,O,X,X,X,X,X
ILZJSTO,O,O,X,O,O,O,X,X,X
ILZJSOT,O,O,X,O,O,O,X,X,X
ILZJOTS,O,O,X,O,O,O,X,O,O
ILZJOST,O,O,X,O,O,O,X,O,O
ILZSTJO,O,X,X,O,O,X,X,X,X
ILZSTOJ,O,X,X,O,O,X,X,X,X
ILZSJTO,O,O,X,O,O,O,X,X,X
ILZSJOT,O,O,X,O,O,O,X,X,X
ILZSOTJ,O,X,X,O,O,X,X,X,X
ILZSOJT,O,O,X,O,O,O,X,X,X
ILZOTJS,O,X,X,O,O,X,X,O,O
ILZOTSJ,O,X,X,O,O,X,X,O,O
ILZOJTS,O,O,X,O,O,O,X,O,O
ILZOJST,O,O,X,O,O,O,X,O,O
ILZOSTJ,O,X,X,O,O,X,X,O,O
ILZOSJT,O,O,X,O,O,O,X,O,O
ILOTJSZ,O,X,O,O,O,X,X,O,X
ILOTJZS,O,X,O,O,O,X,X,O,X
ILOTSJZ,O,X,O,O,O,X,X,O,X
ILOTSZJ,O,X,X,O,O,X,X,O,X
ILOTZJS,O,X,X,O,O,X,X,O,X
ILOTZSJ,O,X,X,O,O,X,X,O,X
ILOJTSZ,O,O,O,O,O,O,X,O,X
ILOJTZS,O,O,O,O,O,O,X,O,X
ILOJSTZ,O,O,O,O,O,O,X,O,X
ILOJSZT,O,O,O,O,O,O,O,O,X
ILOJZTS,O,O,O,O,O,O,O,O,O
ILOJZST,O,O,O,O,O,O,O,O,O
ILOSTJZ,O,X,O,O,O,X,X,O,X
ILOSTZJ,O,X,X,O,O,X,X,O,X
ILOSJTZ,O,O,O,O,O,O,X,O,X
ILOSJZT,O,O,O,O,O,O,O,O,X
ILOSZTJ,O,X,X,O,O,X,O,O,X
ILOSZJT,O,O,O,O,O,O,O,O,X
ILOZTJS,O,X,X,O,O,X,O,O,O
ILOZTSJ,O,X,X,O,O,X,O,O,O
ILOZJTS,O,O,O,O,O,O,O,O,O
ILOZJST,O,O,O,O,O,O,O,O,O
ILOZSTJ,O,X,X,O,O,X,O,O,O
ILOZSJT,O,O,O,O,O,O,O,O,O
IJTLSZO,X,O,X,O,O,O,X,X,X
IJTLSOZ,X,O,X,O,X,X,X,X,X
IJTLZSO,X,O,X,O,O,O,X,X,X
IJTLZOS,X,O,X,O,X,X,X,X,X
IJTLOSZ,X,O,X,O,X,X,X,X,X
IJTLOZS,X,O,X,O,X,X,X,X,X
IJTSLZO,X,O,X,O,O,O,X,X,X
IJTSLOZ,X,O,X,O,X,X,X,X,X
IJTSZLO,X,O,X,X,O,O,X,X,X
IJTSZOL,X,O,X,X,X,O,X,X,X
IJTSOLZ,X,O,X,O,X,O,X,X,X
IJTSOZL,X,O,X,O,X,O,O,X,X
IJTZLSO,X,O,X,O,O,O,X,X,X
IJTZLOS,X,O,X,O,X,X,X,X,X
IJTZSLO,X,O,X,X,O,O,X,X,X
IJTZSOL,X,O,X,X,X,O,X,X,X
IJTZOLS,X,O,X,O,X,O,X,X,X
IJTZOSL,X,O,X,O,X,O,X,X,X
IJTOLSZ,X,O,X,O,X,O,X,X,X
IJTOLZS,X,O,X,O,X,O,X,X,X
IJTOSLZ,X,O,X,O,X,O,X,X,X
IJTOSZL,X,O,X,O,X,O,O,X,X
IJTOZLS,X,O,X,O,X,O,O,X,X
IJTOZSL,X,O,X,O,X,O,O,X,X
IJLTSZO,O,O,X,O,O,O,X,X,X
IJLTSOZ,O,O,X,O,X,X,X,X,X
IJLTZSO,O,O,X,O,O,O,X,X,X
IJLTZOS,O,O,X,O,X,X,X,X,X
IJLTOSZ,O,O,X,O,X,X,X,X,X
IJLTOZS,O,O,X,O,X,X,X,X,X
IJLSTZO,O,O,X,O,O,O,X,X,X
IJLSTOZ,O,O,X,O,X,X,X,X,X
IJLSZTO,O,O,X,O,O,O,X,X,X
IJLSZOT,O,O,X,O,O,O,X,X,X
IJLSOTZ,O,O,X,O,O,O,X,X,X
IJLSOZT,O,O,X,O,O,O,O,X,X
IJLZTSO,O,O,X,O,O,O,X,X,X
IJLZTOS,O,O,X,O,X,X,X,X,X
IJLZSTO,O,O,X,O,O,O,X,X,X
IJLZSOT,O,O,X,O,O,O,X,X,X
IJLZOTS,O,O,O,O,O,O,X,O,O
IJLZOST,O,O,O,O,O,O,X,O,O
IJLOTSZ,O,O,O,O,O,O,X,O,X
IJLOTZS,O,O,O,O,O,O,X,O,X
IJLOSTZ,O,O,O,O,O,O,X,O,X
IJLOSZT,O,O,O,O,O,O,O,O,X
IJLOZTS,O,O,O,O,O,O,O,O,O
