sequence,v115@VhC8FeD8BeA8JeRGJvhEKpBMtBusBvfBrVB,v115@VhC8FeD8BeA8Je01IvhE/fBKpBRmBGoBzsB,v115@VhC8FeD8BeA8JeXNJvhDCqBZkBUhBzcB,v115@VhC8FeD8BeA8Je5AJvhEmfB3hBTkBctByuB,v115@VhC8FeD8BeA8Je5AJvhEifB3hBzkBctB2uB,v115@VhC8FeD8BeA8JeSAJvhEZkB3hBGlBctBzpB,v115@VhC8FeD8BeA8JeZ6IvhEzfB3hBSqBctB2uB,v115@VhC8FeD8BeA8JemJJvhFykBpgB3hBMtBlnBTpB,v115@VhC8FeD8BeA8JeiJJvhF2kBpgBMtB3hBlnBzpB,v115@VhC8FeD8BeA8Jee8IvhEZkB3hBqpBTlBctB,v115@VhC8FeD8BeA8Jeq/IvhEZkBulB3hBctBzpB,v115@VhC8FeD8BeA8Jez7IvhEZkBWlB3hBctBCqB,v115@VhC8FeD8BeA8JeT1IvhEZkBWlB3hBctBCqB,v115@VhC8FeD8BeA8Jea8IvhE5gB3hBTkBeqBctB,v115@VhC8FeD8BeA8JeO1IvhEZkB3hBqpBTlBctB
IZTLJSO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
IZTLJOS,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O
IZTLSJO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
IZTLSOJ,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O
IZTLOJS,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O
IZTLOSJ,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O
IZTJLSO,O,X,X,X,X,X,X,O,O,X,X,X,X,O,O
IZTJLOS,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O
IZTJSLO,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O
IZTJSOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IZTJOLS,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IZTJOSL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IZTSLJO,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O
IZTSLOJ,X,X,O,O,X,X,X,X,O,O,X,O,O,X,O
IZTSJLO,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O
IZTSJOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IZTSOLJ,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X
IZTSOJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IZTOLJS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IZTOLSJ,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
IZTOJLS,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IZTOJSL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IZTOSLJ,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
IZTOSJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IZLTJSO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
IZLTJOS,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O
IZLTSJO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
IZLTSOJ,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O
IZLTOJS,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O
IZLTOSJ,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O
IZLJTSO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
IZLJTOS,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
IZLJSTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
IZLJSOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
IZLJOTS,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
IZLJOST,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
IZLSTJO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
IZLSTOJ,O,O,O,O,X,X,X,X,O,O,X,O,O,X,O
IZLSJTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
IZLSJOT,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O
IZLSOTJ,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O
IZLSOJT,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
IZLOTJS,X,X,X,O,X,X,X,X,O,O,O,X,O,X,O
IZLOTSJ,X,X,O,O,X,X,X,X,O,O,O,X,O,X,O
IZLOJTS,X,X,X,O,X,O,X,X,O,O,O,O,O,O,O
IZLOJST,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
IZLOSTJ,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O
IZLOSJT,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
IZJTLSO,O,X,X,X,X,X,O,O,O,X,X,X,X,O,O
IZJTLOS,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
IZJTSLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
IZJTSOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IZJTOLS,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IZJTOSL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IZJLTSO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
IZJLTOS,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
IZJLSTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
IZJLSOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
IZJLOTS,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
IZJLOST,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
IZJSTLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
IZJSTOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IZJSLTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
IZJSLOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
IZJSOTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IZJSOLT,X,X,O,X,O,O,O,O,X,X,O,O,O,O,O
IZJOTLS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IZJOTSL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IZJOLTS,X,X,X,X,O,O,O,O,X,X,O,X,O,O,O
IZJOLST,O,X,O,X,O,O,O,O,X,X,O,X,O,O,O
IZJOSTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IZJOSLT,X,X,O,X,O,O,O,O,X,X,O,X,O,O,O
IZSTLJO,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O
IZSTLOJ,X,X,O,O,X,X,X,X,O,O,X,O,O,X,O
IZSTJLO,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O
IZSTJOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IZSTOLJ,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X
IZSTOJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IZSLTJO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
IZSLTOJ,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O
IZSLJTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
IZSLJOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
IZSLOTJ,O,X,O,O,X,X,X,X,O,O,O,O,O,X,O
IZSLOJT,O,X,O,O,X,O,X,X,O,O,O,O,O,O,O
IZSJTLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
IZSJTOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
IZSJLTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
IZSJLOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
IZSJOTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IZSJOLT,X,X,O,X,O,O,O,O,X,O,O,O,O,O,O
IZSOTLJ,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X
IZSOTJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IZSOLTJ,X,X,O,O,X,X,X,X,O,O,O,O,O,X,O
IZSOLJT,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O
IZSOJTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IZSOJLT,X,X,O,X,O,O,X,O,X,O,O,O,O,O,O
IZOTLJS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IZOTLSJ,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
IZOTJLS,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IZOTJSL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IZOTSLJ,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
IZOTSJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IZOLTJS,X,X,X,O,X,X,X,X,O,O,O,X,O,X,O
IZOLTSJ,X,X,O,O,X,X,X,X,O,O,O,X,O,X,O
IZOLJTS,X,X,X,O,X,O,X,X,O,O,O,O,O,O,O
IZOLJST,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
IZOLSTJ,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O
IZOLSJT,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
IZOJTLS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IZOJTSL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IZOJLTS,X,X,X,X,O,O,X,O,X,O,O,X,O,O,O
IZOJLST,O,O,O,X,O,O,X,O,X,O,O,X,O,O,O
IZOJSTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IZOJSLT,X,X,O,X,O,O,X,O,X,O,O,X,O,O,O
IZOSTLJ,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X
IZOSTJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IZOSLTJ,X,X,O,O,X,X,X,X,O,O,O,O,O,X,O
IZOSLJT,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O
IZOSJTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IZOSJLT,X,X,O,X,O,O,X,O,X,O,O,O,O,O,O
IOTLJSZ,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTLJZS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTLSJZ,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTLSZJ,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTLZJS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTLZSJ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTJLSZ,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTJLZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTJSLZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTJSZL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTJZLS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTJZSL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTSLJZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTSLZJ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTSJLZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTSJZL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTSZJL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTZLJS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTZLSJ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTZJLS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTZJSL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTZSLJ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTZSJL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOLTJSZ,X,O,X,O,X,X,X,X,X,O,O,X,O,X,O
IOLTJZS,X,X,X,O,X,X,X,X,X,O,O,X,O,X,O
IOLTSJZ,X,O,X,O,X,X,X,X,X,O,O,X,O,X,O
IOLTSZJ,X,O,X,O,X,X,X,X,X,O,O,X,O,X,O
IOLTZJS,X,X,X,O,X,X,X,X,X,O,O,X,O,X,O
IOLTZSJ,X,X,X,O,X,X,X,X,X,O,O,X,O,X,O
IOLJTSZ,X,O,X,O,X,O,X,X,X,O,O,O,O,O,O
IOLJTZS,X,X,X,O,X,O,X,X,X,O,O,O,O,O,O
IOLJSTZ,X,O,X,O,X,O,X,X,X,O,O,O,O,O,O
IOLJSZT,X,O,X,O,X,O,X,X,O,O,O,O,O,O,O
IOLJZTS,X,X,X,O,X,O,X,X,O,O,O,O,O,O,O
IOLJZST,X,O,X,O,X,O,X,X,O,O,O,O,O,O,O
IOLSTJZ,X,O,X,O,X,X,X,X,X,O,O,O,O,X,O
IOLSTZJ,O,O,X,O,X,X,X,X,X,O,O,O,O,X,O
IOLSJTZ,X,O,X,O,X,O,X,X,X,O,O,O,O,O,O
IOLSJZT,O,O,X,O,X,O,X,X,O,O,O,O,O,O,O
IOLSZTJ,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O
IOLSZJT,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
IOLZTJS,X,X,X,O,X,X,X,X,O,O,O,X,O,X,O
IOLZTSJ,X,X,O,O,X,X,X,X,O,O,O,X,O,X,O
IOLZJTS,X,X,X,O,X,O,X,X,O,O,O,O,O,O,O
IOLZJST,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
IOLZSTJ,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O
IOLZSJT,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
IOJTLSZ,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X
IOJTLZS,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IOJTSLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IOJTSZL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IOJTZLS,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IOJTZSL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IOJLTSZ,X,O,X,X,O,O,X,X,X,O,O,X,O,O,O
IOJLTZS,X,X,X,X,O,O,X,X,X,O,O,X,O,O,O
IOJLSTZ,X,O,X,X,O,O,X,X,X,O,O,X,O,O,O
IOJLSZT,X,O,X,X,O,O,X,O,X,O,O,X,O,O,O
IOJLZTS,X,X,X,X,O,O,X,O,X,O,O,X,O,O,O
IOJLZST,X,O,X,X,O,O,X,O,X,O,O,X,O,O,O
IOJSTLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IOJSTZL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IOJSLTZ,X,O,X,X,O,O,X,X,X,O,O,X,O,O,O
IOJSLZT,X,O,X,X,O,O,X,O,X,O,O,X,O,O,O
IOJSZTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOJSZLT,X,X,X,X,O,O,X,O,X,O,O,X,O,O,O
IOJZTLS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOJZTSL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOJZLTS,X,X,X,X,O,O,X,O,X,O,O,X,O,O,O
IOJZLST,X,O,X,X,O,O,X,O,X,O,O,X,O,O,O
IOJZSTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOJZSLT,X,X,X,X,O,O,X,O,X,O,O,X,O,O,O
IOSTLJZ,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X
IOSTLZJ,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X
IOSTJLZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOSTJZL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X
IOSTZJL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOSLTJZ,X,O,X,O,X,X,X,X,X,O,O,O,O,X,O
IOSLTZJ,X,O,X,O,X,X,X,X,X,O,O,O,O,X,O
IOSLJTZ,X,O,X,O,X,O,X,X,X,O,O,O,O,O,O
IOSLJZT,X,O,X,O,X,O,X,X,O,O,O,O,O,O,O
IOSLZTJ,X,O,O,O,X,X,X,X,O,O,O,O,O,X,O
IOSLZJT,X,O,O,O,X,O,X,X,O,O,O,O,O,O,O
IOSJTLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IOSJTZL,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IOSJLTZ,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O
IOSJLZT,X,O,X,X,O,O,X,O,X,O,O,O,O,O,O
IOSJZTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOSJZLT,X,X,X,X,O,O,X,O,X,O,O,O,O,O,O
IOSZTLJ,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X
IOSZTJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IOSZLTJ,X,X,O,O,X,X,X,X,O,O,O,O,O,X,O
IOSZLJT,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O
IOSZJTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOSZJLT,X,X,O,X,O,O,X,O,X,O,O,O,O,O,O
IOZTLJS,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IOZTLSJ,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
IOZTJLS,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IOZTJSL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IOZTSLJ,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X
IOZTSJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IOZLTJS,X,X,X,O,X,X,X,X,O,O,O,X,O,X,O
IOZLTSJ,X,X,O,O,X,X,X,X,O,O,O,X,O,X,O
IOZLJTS,X,X,X,O,X,O,X,X,O,O,O,O,O,O,O
IOZLJST,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
IOZLSTJ,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O
IOZLSJT,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
IOZJTLS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOZJTSL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOZJLTS,X,X,X,X,O,O,X,O,X,O,O,X,O,O,O
IOZJLST,O,O,O,X,O,O,X,O,X,O,O,X,O,O,O
IOZJSTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOZJSLT,X,X,O,X,O,O,X,O,X,O,O,X,O,O,O
IOZSTLJ,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X
IOZSTJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IOZSLTJ,X,X,O,O,X,X,X,X,O,O,O,O,O,X,O
IOZSLJT,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O
IOZSJTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
IOZSJLT,X,X,O,X,O,O,X,O,X,O,O,O,O,O,O
LTIJSZO,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTIJSOZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
LTIJZSO,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTIJZOS,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTIJOSZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
LTIJOZS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
LTISJZO,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTISJOZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
LTISZJO,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTISZOJ,O,O,O,O,X,X,X,X,O,O,X,O,O,X,O
LTISOJZ,X,O,X,O,X,X,X,X,X,O,X,O,O,X,O
LTISOZJ,O,O,X,O,X,X,X,X,X,O,X,O,O,X,O
LTIZJSO,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTIZJOS,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTIZSJO,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTIZSOJ,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O
LTIZOJS,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O
LTIZOSJ,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O
LTIOJSZ,X,O,X,O,X,X,X,X,X,O,X,X,O,X,O
LTIOJZS,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
LTIOSJZ,X,O,X,O,X,X,X,X,X,O,X,X,O,X,O
LTIOSZJ,X,O,X,O,X,X,X,X,X,O,X,X,O,X,O
LTIOZJS,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
LTIOZSJ,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
LTJISZO,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTJISOZ,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
LTJIZSO,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTJIZOS,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTJIOSZ,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
LTJIOZS,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
LTJSIZO,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTJSIOZ,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
LTJSZIO,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTJSZOI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTJSOIZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJSOZI,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJZISO,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTJZIOS,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTJZSIO,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTJZSOI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTJZOIS,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTJZOSI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTJOISZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJOIZS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJOSIZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJOSZI,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJOZIS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJOZSI,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTSIJZO,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTSIJOZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
LTSIZJO,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTSIZOJ,O,O,O,O,X,X,X,X,O,O,X,O,O,X,O
LTSIOJZ,X,O,X,O,X,X,X,X,X,O,X,O,O,X,O
LTSIOZJ,O,O,X,O,X,X,X,X,X,O,X,O,O,X,O
LTSJIZO,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTSJIOZ,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
LTSJZIO,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTSJZOI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTSJOIZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTSJOZI,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTSZIJO,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTSZIOJ,O,O,O,O,X,X,X,X,O,O,X,O,O,X,O
LTSZJIO,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTSZJOI,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTSZOIJ,O,O,O,O,X,X,X,X,O,O,X,O,X,X,O
LTSZOJI,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X
LTSOIJZ,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O
LTSOIZJ,O,O,X,O,X,X,X,X,X,O,X,O,X,X,O
LTSOJIZ,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X
LTSOJZI,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X
LTSOZIJ,O,O,X,O,X,X,X,X,X,O,X,O,X,X,O
LTSOZJI,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
LTZIJSO,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTZIJOS,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTZISJO,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTZISOJ,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O
LTZIOJS,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O
LTZIOSJ,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O
LTZJISO,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTZJIOS,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTZJSIO,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTZJSOI,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTZJOIS,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTZJOSI,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTZSIJO,O,X,X,X,X,X,X,X,O,X,X,O,O,X,O
LTZSIOJ,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O
LTZSJIO,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTZSJOI,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
LTZSOIJ,O,X,O,O,X,X,X,X,O,O,X,O,X,X,O
LTZSOJI,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X
LTZOIJS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O
LTZOISJ,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O
LTZOJIS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
LTZOJSI,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
LTZOSIJ,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O
LTZOSJI,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
LTOIJSZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
LTOIJZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
LTOISJZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
LTOISZJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
LTOIZJS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
LTOIZSJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
LTOJISZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
LTOJIZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTOJSIZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
LTOJSZI,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
LTOJZIS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTOJZSI,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTOSIJZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
LTOSIZJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
