sequence,v115@8gD8DeH8CeH8AeI8AeC8JeG7IvhFMVBTRBpPBPZBFn?BKmB,v115@8gD8DeH8CeH8AeI8AeC8JeG7IvhFMVBTRBpPBPZBKc?BFdB,v115@8gD8DeH8CeH8AeI8AeC8JeFHJvhFMjBKmBvcBGlBJa?BzaB,v115@8gD8DeH8CeH8AeI8AeC8JeFHJvhFMjBKmBvcBpgBzf?BOfB,v115@8gD8DeH8CeH8AeI8AeC8JeM5IvhFKcBvSBGbBzQBJQ?BFdB,v115@8gD8DeH8CeH8AeI8AeC8JeM5IvhFKcBvSBzVBOVBpW?BFdB
TJZOLSI,O,O,O,O,O,O
TJZOSIL,O,O,O,O,X,X
TJZOSLI,O,O,O,O,X,X
TJOILSZ,O,O,O,O,O,O
TJOILZS,O,O,O,O,O,O
TJOISLZ,O,O,O,O,X,X
TJOISZL,O,O,O,O,X,X
TJOIZLS,O,O,O,O,O,O
TJOIZSL,O,O,O,O,X,X
TJOLISZ,O,O,O,O,O,O
TJOLIZS,O,O,O,O,O,O
TJOLSIZ,O,O,O,O,O,O
TJOLSZI,O,O,O,O,O,O
TJOLZIS,O,O,O,O,O,O
TJOLZSI,O,O,O,O,O,O
TJOSILZ,O,O,O,O,X,X
TJOSIZL,O,O,O,O,X,X
TJOSLIZ,O,O,O,O,X,X
TJOSLZI,O,O,O,O,X,X
TJOSZIL,O,O,O,O,X,X
TJOSZLI,O,O,O,O,X,X
TJOZILS,O,O,O,O,O,O
TJOZISL,O,O,O,O,X,X
TJOZLIS,O,O,O,O,O,O
TJOZLSI,O,O,O,O,O,O
TJOZSIL,O,O,O,O,X,X
TJOZSLI,O,O,O,O,X,X
TSILJZO,O,O,O,O,X,X
TSILJOZ,O,O,O,O,X,X
TSILZJO,O,O,O,O,X,X
TSILZOJ,O,X,O,O,X,X
TSILOJZ,O,X,O,O,X,X
TSILOZJ,O,X,O,O,X,X
TSIJLZO,O,O,O,X,X,X
TSIJLOZ,O,O,O,X,X,X
TSIJZLO,O,O,O,X,X,X
TSIJZOL,O,O,O,X,X,X
TSIJOLZ,O,O,O,X,X,X
TSIJOZL,O,O,O,X,X,X
TSIZLJO,O,O,O,O,X,X
TSIZLOJ,O,X,O,O,X,X
TSIZJLO,O,O,O,X,X,X
TSIZJOL,O,O,O,X,X,X
TSIZOLJ,O,X,X,O,X,X
TSIZOJL,O,X,X,O,X,X
TSIOLJZ,O,X,X,O,X,X
TSIOLZJ,O,X,X,O,X,X
TSIOJLZ,O,X,X,O,X,X
TSIOJZL,O,X,X,O,X,X
TSIOZLJ,O,X,X,O,X,X
TSIOZJL,O,X,X,O,X,X
TSLIJZO,O,O,O,O,X,X
TSLIJOZ,O,O,O,O,X,X
TSLIZJO,O,O,O,O,X,X
TSLIZOJ,O,X,O,O,X,X
TSLIOJZ,O,X,O,O,X,X
TSLIOZJ,O,X,O,O,X,X
TSLJIZO,O,O,O,O,X,X
TSLJIOZ,O,O,O,O,X,X
TSLJZIO,O,O,O,O,X,X
TSLJZOI,O,O,O,O,X,X
TSLJOIZ,O,O,O,O,X,X
TSLJOZI,O,O,O,O,X,X
TSLZIJO,O,O,O,O,X,X
TSLZIOJ,O,X,O,O,X,X
TSLZJIO,O,O,O,O,X,X
TSLZJOI,O,O,O,O,X,X
TSLZOIJ,O,X,O,O,X,X
TSLZOJI,O,X,O,O,X,X
TSLOIJZ,O,X,O,O,X,X
TSLOIZJ,O,X,O,O,X,X
TSLOJIZ,O,X,O,O,X,X
TSLOJZI,O,X,O,O,X,X
TSLOZIJ,O,X,O,O,X,X
TSLOZJI,O,X,O,O,X,X
TSJILZO,O,O,O,X,X,X
TSJILOZ,O,O,O,X,X,X
TSJIZLO,O,O,O,X,X,X
TSJIZOL,O,O,O,X,X,X
TSJIOLZ,O,O,O,X,X,X
TSJIOZL,O,O,O,X,X,X
TSJLIZO,O,O,O,O,X,X
TSJLIOZ,O,O,O,O,X,X
TSJLZIO,O,O,O,O,X,X
TSJLZOI,O,O,O,O,X,X
TSJLOIZ,O,O,O,O,X,X
TSJLOZI,O,O,O,O,X,X
TSJZILO,O,O,O,X,X,X
TSJZIOL,O,O,O,X,X,X
TSJZLIO,O,O,O,O,X,X
TSJZLOI,O,O,O,O,X,X
TSJZOIL,O,O,O,O,X,X
TSJZOLI,O,O,O,O,X,X
TSJOILZ,O,O,O,O,X,X
TSJOIZL,O,O,O,O,X,X
TSJOLIZ,O,O,O,O,X,X
TSJOLZI,O,O,O,O,X,X
TSJOZIL,O,O,O,O,X,X
TSJOZLI,O,O,O,O,X,X
TSZILJO,O,O,O,O,X,X
TSZILOJ,O,X,O,O,X,X
TSZIJLO,O,O,O,X,X,X
TSZIJOL,O,O,O,X,X,X
TSZIOLJ,O,X,X,O,X,X
TSZIOJL,O,X,X,O,X,X
TSZLIJO,O,O,O,O,X,X
TSZLIOJ,O,X,O,O,X,X
TSZLJIO,O,O,O,O,X,X
TSZLJOI,O,O,O,O,X,X
TSZLOIJ,O,X,O,O,X,X
TSZLOJI,O,X,O,O,X,X
TSZJILO,O,O,O,X,X,X
TSZJIOL,O,O,O,X,X,X
TSZJLIO,O,O,O,O,X,X
TSZJLOI,O,O,O,O,X,X
TSZJOIL,O,O,O,O,X,X
TSZJOLI,O,O,O,O,X,X
TSZOILJ,O,X,X,O,X,X
TSZOIJL,O,X,X,O,X,X
TSZOLIJ,O,X,X,O,X,X
TSZOLJI,O,X,X,O,X,X
