sequence,v115@RhA8AeH8AeI8JexHYaAFLDmClcJSAVDEHBEooRBJoA?VBz+aFDqCBAAvhF3hB1kBTeBsgBGiBifB,v115@RhA8AeH8AeI8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBKNMgC6OBAAvhF2kBfjB6jBzcBsgBlfB,v115@RhA8AeH8AeI8JexHYaAFLDmClcJSAVDEHBEooRBJoA?VBTnjWCqOBAAvhF3hBTeBsgBifBGdBlfB,v115@RhA8AeH8AeI8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBz+aFDs/AAAvhF3fBFjBzcBsgBiaBGjB,v115@RhA8AeH8AeI8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBzvaFDsOBAAvhF3fBGjBzcBsgBiaBFjB,v115@RhA8AeH8AeI8JeXDYaAFLDmClcJSAVDEHBEooRBToA?VBpXWWCv/AAAvhFRmBUdBVhBKfBzaBGjB,v115@RhA8AeH8AeI8JezAYaAFLDmClcJSAVDEHBEooRBPoA?VBzP9VC6OBAAvhF3fB+jBRiBiaB0hBliB,v115@RhA8AeH8AeI8Je1GYaAFLDmClcJSAVDEHBEooRBUoA?VBTejWCv/AAAvhF3fBxiBsgBiaBTjBGiB,v115@RhA8AeH8AeI8JeRGYaAFLDmClcJSAVDEHBEooRBJoA?VBvuLuCqCBAAvhFTfBViBUeBXcBmaBSoB,v115@RhA8AeH8AeI8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBUtHgCpCBAAvhFVmB3fB+jBzdBRcBiaB,v115@RhA8AeH8AeI8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBU3TWCp/AAAvhFVmBTfBfjB6jBRcBmaB,v115@RhA8AeH8AeI8JeWIYaAFLDmClcJSAVDEHBEooRBKoA?VBJ9aFD0CBAAvhFRmB3fBTeBUcBFdBiaB,v115@RhA8AeH8AeI8JeUDYaAFLDmClcJSAVDEHBEooRBaoA?VBUNMgCK+AAAvhFVnBXhBKfBzaBGeBRcB,v115@RhA8AeH8AeI8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBJ3jFD0/AAAvhFRmBTfBXeBUcBFdBmaB,v115@RhA8AeH8AeI8JeRGYaAFLDmClcJSAVDEHBEooRBJoA?VBqHUWCvOBAAvhF+jBsiBXdBKfBzaBFcB
ISZLJOT,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X
ISZLOTJ,O,O,O,O,O,O,X,X,X,X,O,O,O,O,X
ISZLOJT,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X
ISZJTLO,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X
ISZJTOL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X
ISZJLTO,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X
ISZJLOT,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X
ISZJOTL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X
ISZJOLT,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X
ISZOTLJ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
ISZOTJL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
ISZOLTJ,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
ISZOLJT,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X
ISZOJTL,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
ISZOJLT,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X
ISOTLJZ,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X
ISOTLZJ,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X
ISOTJLZ,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
ISOTJZL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
ISOTZLJ,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X
ISOTZJL,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X
ISOLTJZ,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X
ISOLTZJ,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X
ISOLJTZ,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X
ISOLJZT,O,O,O,O,O,O,O,X,X,X,O,O,X,O,X
ISOLZTJ,O,O,O,O,O,O,X,X,X,X,O,O,O,O,X
ISOLZJT,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
ISOJTLZ,O,O,O,O,O,X,O,X,O,X,O,O,X,O,X
ISOJTZL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
ISOJLTZ,O,O,O,O,O,X,O,X,O,X,O,O,X,O,X
ISOJLZT,O,O,O,O,O,X,O,X,X,X,O,O,X,O,X
ISOJZTL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
ISOJZLT,O,O,O,O,O,X,O,X,X,X,O,O,X,O,X
ISOZTLJ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
ISOZTJL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
ISOZLTJ,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
ISOZLJT,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
ISOZJTL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
ISOZJLT,O,O,O,O,O,X,X,X,X,X,O,O,X,O,X
IZTLJSO,O,X,X,X,X,O,X,X,X,O,X,O,O,O,O
IZTLJOS,O,X,X,X,X,O,X,X,X,O,X,O,O,O,O
IZTLSJO,O,X,X,O,X,O,X,O,X,O,O,O,O,O,X
IZTLSOJ,O,X,X,O,X,O,X,O,O,O,O,O,O,O,X
IZTLOJS,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O
IZTLOSJ,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X
IZTJLSO,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O
IZTJLOS,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O
IZTJSLO,O,O,X,O,O,O,X,O,X,O,O,O,O,X,O
IZTJSOL,O,O,X,O,O,X,X,X,O,O,O,O,O,X,O
IZTJOLS,O,O,X,X,X,X,X,X,O,O,O,O,O,O,O
IZTJOSL,O,O,X,O,O,X,X,X,O,O,O,O,O,O,O
IZTSLJO,O,O,X,O,O,O,X,O,X,O,O,O,O,O,X
IZTSLOJ,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X
IZTSJLO,O,O,X,O,O,O,X,O,X,O,O,O,O,X,X
IZTSJOL,O,O,X,O,O,X,X,X,O,O,O,O,O,X,X
IZTSOLJ,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X
IZTSOJL,O,O,X,O,O,X,X,X,O,O,O,O,O,O,X
IZTOLJS,O,X,X,X,X,O,X,X,O,X,O,X,O,O,X
IZTOLSJ,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X
IZTOJLS,O,O,X,X,X,X,X,X,O,O,O,O,O,O,X
IZTOJSL,O,O,X,O,O,X,X,X,O,O,O,O,O,O,X
IZTOSLJ,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X
IZTOSJL,O,O,X,O,O,X,X,X,O,O,O,O,O,O,X
IZLTJSO,X,X,X,X,X,O,X,X,X,O,X,O,O,O,O
IZLTJOS,X,X,X,X,X,O,X,X,X,O,X,O,O,O,O
IZLTSJO,X,X,X,O,X,O,X,X,X,O,O,O,O,O,X
IZLTSOJ,X,X,X,O,X,O,X,X,X,O,O,O,O,O,X
IZLTOJS,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O
IZLTOSJ,X,X,X,O,X,O,X,X,X,X,O,X,O,O,X
IZLJTSO,X,O,X,X,X,O,X,X,X,O,X,O,O,O,O
IZLJTOS,X,O,X,X,X,O,X,X,X,O,X,O,O,O,O
IZLJSTO,X,O,O,X,O,O,X,X,X,O,X,O,X,O,O
IZLJSOT,X,O,O,X,O,O,X,X,X,O,X,O,X,O,O
IZLJOTS,X,O,X,X,X,O,X,X,X,O,X,O,O,O,O
IZLJOST,X,O,O,X,O,O,X,X,X,O,X,O,X,O,O
IZLSTJO,X,O,O,O,O,O,X,X,X,O,O,O,X,O,X
IZLSTOJ,X,O,O,O,O,O,X,X,X,X,O,O,X,O,X
IZLSJTO,X,O,O,O,O,O,X,X,X,O,O,O,X,O,X
IZLSJOT,X,O,O,O,O,O,X,X,X,O,O,O,X,O,X
IZLSOTJ,X,O,O,O,O,O,X,X,X,X,O,O,X,O,X
IZLSOJT,X,O,O,O,O,O,X,X,X,O,O,O,X,O,X
IZLOTJS,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
IZLOTSJ,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X
IZLOJTS,X,O,X,X,X,O,X,X,X,X,X,X,O,O,O
IZLOJST,X,O,O,X,O,O,X,X,X,X,O,X,X,O,O
IZLOSTJ,X,O,O,O,O,O,X,X,X,X,O,X,X,O,X
IZLOSJT,X,O,O,O,O,O,X,X,X,X,O,X,X,O,X
IZJTLSO,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O
IZJTLOS,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O
IZJTSLO,O,O,X,O,O,O,X,X,X,O,O,O,O,X,O
IZJTSOL,O,O,X,O,O,X,X,X,X,O,O,O,O,X,O
IZJTOLS,O,O,X,X,X,X,X,X,X,O,O,O,O,O,O
IZJTOSL,O,O,X,O,O,X,X,X,X,O,O,O,O,O,O
IZJLTSO,X,O,X,X,X,O,X,X,X,O,X,O,O,O,O
IZJLTOS,X,O,X,X,X,O,X,X,X,O,X,O,O,O,O
IZJLSTO,X,O,O,X,O,O,X,X,X,O,X,O,X,O,O
IZJLSOT,X,O,O,X,O,O,X,X,X,O,X,O,X,O,O
IZJLOTS,X,O,X,X,X,O,X,X,X,O,X,O,O,O,O
IZJLOST,X,O,O,X,O,O,X,X,X,O,X,O,X,O,O
IZJSTLO,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O
IZJSTOL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O
IZJSLTO,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O
IZJSLOT,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O
IZJSOTL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O
IZJSOLT,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O
IZJOTLS,O,O,X,X,X,X,X,X,X,O,X,O,X,O,O
IZJOTSL,O,O,X,O,O,X,X,X,X,O,O,O,X,O,O
IZJOLTS,X,O,X,X,X,X,X,X,X,O,X,O,X,O,O
IZJOLST,X,O,O,X,O,X,X,X,X,O,O,O,X,O,O
IZJOSTL,O,O,O,O,O,X,X,X,X,O,O,O,X,O,O
IZJOSLT,O,O,O,O,O,X,X,X,X,O,O,O,X,O,O
IZSTLJO,O,O,O,O,O,O,X,O,X,O,O,O,X,O,X
IZSTLOJ,O,O,O,O,O,O,X,O,O,O,O,O,X,O,X
IZSTJLO,O,O,O,O,O,O,X,O,X,O,O,O,X,X,X
IZSTJOL,O,O,O,O,O,X,X,X,O,O,O,O,X,X,X
IZSTOLJ,O,O,O,O,O,O,X,O,O,O,O,O,X,O,X
IZSTOJL,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
IZSLTJO,O,O,O,O,O,O,X,O,X,O,O,O,X,O,X
IZSLTOJ,O,O,O,O,O,O,X,O,X,O,O,O,X,O,X
IZSLJTO,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X
IZSLJOT,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X
IZSLOTJ,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
IZSLOJT,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X
IZSJTLO,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X
IZSJTOL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X
IZSJLTO,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X
IZSJLOT,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X
IZSJOTL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X
IZSJOLT,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X
IZSOTLJ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
IZSOTJL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IZSOLTJ,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
IZSOLJT,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X
IZSOJTL,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
IZSOJLT,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X
IZOTLJS,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X
IZOTLSJ,O,X,X,O,X,O,X,X,O,X,O,X,X,O,X
IZOTJLS,O,O,X,X,X,X,X,X,O,O,O,O,X,O,X
IZOTJSL,O,O,X,O,O,X,X,X,O,O,O,O,X,O,X
IZOTSLJ,O,O,X,O,O,O,X,X,O,O,O,O,X,O,X
IZOTSJL,O,O,X,O,O,X,X,X,O,O,O,O,X,O,X
IZOLTJS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZOLTSJ,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IZOLJTS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZOLJST,X,O,O,X,O,O,X,X,X,X,O,X,X,O,X
IZOLSTJ,X,O,O,O,O,O,X,X,X,X,O,X,X,O,X
IZOLSJT,X,O,O,O,O,O,X,X,X,X,O,X,X,O,X
IZOJTLS,O,O,X,X,X,X,X,X,O,O,O,O,X,O,X
IZOJTSL,O,O,X,O,O,X,X,X,O,O,O,O,X,O,X
IZOJLTS,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X
IZOJLST,X,O,O,X,O,X,X,X,X,O,O,O,X,O,X
IZOJSTL,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
IZOJSLT,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X
IZOSTLJ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
IZOSTJL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IZOSLTJ,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
IZOSLJT,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X
IZOSJTL,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
IZOSJLT,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X
IOTLJSZ,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O
IOTLJZS,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O
IOTLSJZ,O,X,O,O,X,O,X,X,O,X,O,X,X,O,O
IOTLSZJ,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X
IOTLZJS,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O
IOTLZSJ,O,X,X,O,X,O,X,X,O,X,O,X,X,O,X
IOTJLSZ,O,O,O,X,X,X,X,X,O,X,O,O,X,O,O
IOTJLZS,O,O,X,X,X,X,X,X,O,X,O,O,X,O,O
IOTJSLZ,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOTJSZL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOTJZLS,O,O,X,X,X,X,X,X,O,X,O,O,X,O,O
IOTJZSL,O,O,X,O,O,X,X,X,O,X,O,O,X,O,O
IOTSLJZ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
IOTSLZJ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
IOTSJLZ,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOTSJZL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOTSZLJ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
IOTSZJL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOTZLJS,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X
IOTZLSJ,O,X,X,O,X,O,X,X,O,X,O,X,X,O,X
IOTZJLS,O,O,X,X,X,X,X,X,O,X,O,O,X,O,X
IOTZJSL,O,O,X,O,O,X,X,X,O,X,O,O,X,O,X
IOTZSLJ,O,O,X,O,O,O,X,X,O,X,O,O,X,O,X
IOTZSJL,O,O,X,O,O,X,X,X,O,X,O,O,X,O,X
IOLTJSZ,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O
IOLTJZS,O,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IOLTSJZ,O,X,O,O,X,O,X,X,O,X,O,X,X,O,O
IOLTSZJ,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X
IOLTZJS,O,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IOLTZSJ,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X
IOLJTSZ,O,O,O,X,X,O,X,X,O,X,O,X,X,O,O
IOLJTZS,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O
IOLJSTZ,O,O,O,X,O,O,X,X,O,X,O,X,X,O,O
IOLJSZT,O,O,O,X,O,O,X,X,X,X,O,X,X,O,O
IOLJZTS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
IOLJZST,X,O,O,X,O,O,X,X,X,X,X,X,X,O,O
IOLSTJZ,O,O,O,O,O,O,X,X,O,X,O,X,X,O,O
IOLSTZJ,O,O,O,O,O,O,X,X,O,X,O,X,X,O,X
IOLSJTZ,O,O,O,O,O,O,X,X,O,X,O,X,X,O,O
IOLSJZT,O,O,O,O,O,O,X,X,X,X,O,X,X,O,O
IOLSZTJ,O,O,O,O,O,O,X,X,X,X,O,X,X,O,X
IOLSZJT,O,O,O,O,O,O,X,X,X,X,O,X,X,O,X
IOLZTJS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
IOLZTSJ,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IOLZJTS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
IOLZJST,X,O,O,X,O,O,X,X,X,X,X,X,X,O,O
IOLZSTJ,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X
IOLZSJT,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X
IOJTLSZ,O,O,O,X,X,X,X,X,O,X,O,O,X,O,O
IOJTLZS,O,O,X,X,X,X,X,X,O,X,O,O,X,O,O
IOJTSLZ,O,O,O,O,O,X,O,X,O,X,O,O,X,O,X
IOJTSZL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOJTZLS,O,O,X,X,X,X,X,X,O,X,O,O,X,O,O
IOJTZSL,O,O,X,O,O,X,X,X,O,X,O,O,X,O,O
IOJLTSZ,O,O,O,X,X,X,X,X,O,X,O,O,X,O,O
IOJLTZS,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O
IOJLSTZ,O,O,O,X,O,X,O,X,O,X,O,O,X,O,O
IOJLSZT,O,O,O,X,O,X,O,X,X,X,O,O,X,O,O
IOJLZTS,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O
IOJLZST,X,O,O,X,O,X,X,X,X,X,X,O,X,O,O
IOJSTLZ,O,O,O,O,O,X,O,X,O,X,O,O,X,O,X
IOJSTZL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOJSLTZ,O,O,O,O,O,X,O,X,O,X,O,O,X,O,X
IOJSLZT,O,O,O,O,O,X,O,X,X,X,O,O,X,O,X
IOJSZTL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOJSZLT,O,O,O,O,O,X,O,X,X,X,O,O,X,O,X
IOJZTLS,O,O,X,X,X,X,X,X,O,X,O,O,X,O,O
IOJZTSL,O,O,X,O,O,X,X,X,O,X,O,O,X,O,O
IOJZLTS,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O
IOJZLST,X,O,O,X,O,X,X,X,X,X,O,O,X,O,O
IOJZSTL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,O
IOJZSLT,O,O,O,O,O,X,O,X,X,X,O,O,X,O,O
IOSTLJZ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
IOSTLZJ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
IOSTJLZ,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOSTJZL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOSTZLJ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
IOSTZJL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOSLTJZ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
IOSLTZJ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
IOSLJTZ,O,O,O,O,O,O,O,X,O,X,O,O,X,O,X
IOSLJZT,O,O,O,O,O,O,O,X,X,X,O,O,X,O,X
IOSLZTJ,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
IOSLZJT,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
IOSJTLZ,O,O,O,O,O,X,O,X,O,X,O,O,X,O,X
IOSJTZL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOSJLTZ,O,O,O,O,O,X,O,X,O,X,O,O,X,O,X
IOSJLZT,O,O,O,O,O,X,O,X,X,X,O,O,X,O,X
IOSJZTL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOSJZLT,O,O,O,O,O,X,O,X,X,X,O,O,X,O,X
IOSZTLJ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
IOSZTJL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOSZLTJ,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
IOSZLJT,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
IOSZJTL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOSZJLT,O,O,O,O,O,X,X,X,X,X,O,O,X,O,X
IOZTLJS,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X
IOZTLSJ,O,X,X,O,X,O,X,X,O,X,O,X,X,O,X
IOZTJLS,O,O,X,X,X,X,X,X,O,X,O,O,X,O,X
IOZTJSL,O,O,X,O,O,X,X,X,O,X,O,O,X,O,X
IOZTSLJ,O,O,X,O,O,O,X,X,O,X,O,O,X,O,X
IOZTSJL,O,O,X,O,O,X,X,X,O,X,O,O,X,O,X
IOZLTJS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOZLTSJ,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IOZLJTS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IOZLJST,X,O,O,X,O,O,X,X,X,X,O,X,X,O,X
IOZLSTJ,X,O,O,O,O,O,X,X,X,X,O,X,X,O,X
IOZLSJT,X,O,O,O,O,O,X,X,X,X,O,X,X,O,X
IOZJTLS,O,O,X,X,X,X,X,X,O,X,O,O,X,O,X
IOZJTSL,O,O,X,O,O,X,X,X,O,X,O,O,X,O,X
IOZJLTS,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
IOZJLST,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X
IOZJSTL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOZJSLT,O,O,O,O,O,X,X,X,X,X,O,O,X,O,X
IOZSTLJ,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X
IOZSTJL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOZSLTJ,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
IOZSLJT,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X
IOZSJTL,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X
IOZSJLT,O,O,O,O,O,X,X,X,X,X,O,O,X,O,X
LTIJSZO,O,X,O,X,X,O,X,X,X,O,X,X,O,O,O
LTIJSOZ,O,X,O,X,X,O,X,X,X,O,X,X,O,O,O
LTIJZSO,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O
LTIJZOS,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O
LTIJOSZ,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O
LTIJOZS,O,X,X,X,X,O,X,X,X,X,X,X,O,O,O
LTISJZO,O,X,O,O,X,O,X,O,X,O,X,X,O,O,O
LTISJOZ,O,X,O,O,X,O,X,X,X,O,O,X,O,O,O
LTISZJO,O,X,O,O,X,O,X,O,X,O,X,X,O,O,X
LTISZOJ,O,X,O,O,X,O,X,O,X,O,O,X,O,O,X
LTISOJZ,O,X,O,O,X,O,X,X,X,O,O,X,O,O,O
LTISOZJ,O,X,O,O,X,O,X,O,X,O,O,X,O,O,X
LTIZJSO,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O
LTIZJOS,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O
LTIZSJO,O,X,X,O,X,O,X,O,X,O,O,X,O,O,X
LTIZSOJ,O,X,X,O,X,O,X,O,X,O,O,X,O,O,X
LTIZOJS,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O
LTIZOSJ,O,X,X,O,X,O,X,X,X,X,O,X,O,O,X
LTIOJSZ,O,X,O,X,X,O,X,X,X,X,O,X,X,O,O
LTIOJZS,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O
LTIOSJZ,O,X,O,O,X,O,X,X,X,X,O,X,O,O,O
LTIOSZJ,O,X,O,O,X,O,X,X,X,X,O,X,O,O,X
LTIOZJS,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O
LTIOZSJ,O,X,X,O,X,O,X,X,X,X,O,X,O,O,X
LTJISZO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O
LTJISOZ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O
LTJIZSO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O
LTJIZOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O
LTJIOSZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
LTJIOZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LTJSIZO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LTJSIOZ,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X
LTJSZIO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LTJSZOI,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LTJSOIZ,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X
LTJSOZI,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X
LTJZISO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
LTJZIOS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
LTJZSIO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O
LTJZSOI,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O
LTJZOIS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
LTJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
LTJOISZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
LTJOIZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LTJOSIZ,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X
LTJOSZI,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
LTJOZIS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LTJOZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O
LTSIJZO,O,O,O,O,X,O,X,O,X,O,X,X,O,O,X
LTSIJOZ,O,O,O,O,X,O,X,X,X,O,O,X,O,O,X
LTSIZJO,O,O,O,O,X,O,X,O,X,O,X,X,O,O,X
LTSIZOJ,O,O,O,O,X,O,X,O,X,O,O,X,O,O,X
LTSIOJZ,O,O,O,O,X,O,X,X,X,O,O,X,O,O,X
LTSIOZJ,O,O,O,O,X,O,X,O,X,O,O,X,O,O,X
LTSJIZO,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X
LTSJIOZ,O,O,O,O,X,X,X,X,X,O,O,X,O,O,X
