sequence,v115@KhA8FeD8AeB8CeG8AeB8Jef9IvhFxaBTfBigBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeZ6IvhFfdBqfBTbBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je/7IvhFTaBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeK0IvhFcgB5jBTfBOmBXi?BdoB,v115@KhA8FeD8AeB8CeG8AeB8Je/wIvhFZaB8hBzfBamB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JezxIvhF/bBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je86IvhF/eB2kBxgBliBim?BToB,v115@KhA8FeD8AeB8CeG8AeB8Jea+IvhF5eBOgBTfBFhBXi?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je/1IvhFKfBZhBFgBzhBGj?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je83IvhFZaBeiBzfBFhBfo?B6oB,v115@KhA8FeD8AeB8CeG8AeB8Jec1IvhFFbBXcBmdB5jBTf?BCiB
TLZJIOS,X,O,O,X,O,O,X,X,O,X,X
TLZJSIO,X,O,O,X,X,O,X,X,O,X,X
TLZJSOI,X,O,O,X,X,X,X,X,O,X,X
TLZJOIS,X,O,O,X,O,X,X,X,O,X,X
TLZJOSI,X,O,O,X,X,X,X,X,O,X,X
TLZSIJO,X,O,O,X,X,O,X,X,O,X,X
TLZSIOJ,X,O,O,X,X,O,X,X,O,X,X
TLZSJIO,X,O,O,X,X,O,X,X,O,X,X
TLZSJOI,X,O,O,X,X,X,X,X,O,X,X
TLZSOIJ,X,O,O,X,X,X,X,X,O,X,X
TLZSOJI,X,O,O,X,X,X,X,X,O,X,X
TLZOIJS,X,O,O,X,O,X,X,X,O,X,X
TLZOISJ,X,O,O,X,O,X,X,X,O,X,X
TLZOJIS,X,O,O,X,O,X,X,X,O,X,X
TLZOJSI,X,O,O,X,X,X,X,X,O,X,X
TLZOSIJ,X,O,O,X,X,X,X,X,O,X,X
TLZOSJI,X,O,O,X,X,X,X,X,O,X,X
TLOIJSZ,X,X,O,X,O,X,O,X,X,X,O
TLOIJZS,O,O,O,X,O,X,O,X,X,X,O
TLOISJZ,X,X,O,X,O,X,O,X,X,O,O
TLOISZJ,X,X,O,X,O,X,X,X,O,X,O
TLOIZJS,O,O,O,X,O,X,X,X,O,X,O
TLOIZSJ,O,O,O,X,O,X,X,X,O,X,O
TLOJISZ,X,X,O,X,O,X,O,X,X,X,O
TLOJIZS,O,O,O,X,O,X,O,X,X,X,O
TLOJSIZ,X,X,O,X,X,X,O,X,X,X,O
TLOJSZI,X,X,O,X,X,X,O,X,X,X,O
TLOJZIS,X,O,O,X,O,X,O,X,X,X,O
TLOJZSI,X,O,O,X,X,X,O,X,X,X,O
TLOSIJZ,X,X,O,X,X,X,O,X,X,O,O
TLOSIZJ,X,X,O,X,X,X,X,X,O,X,O
TLOSJIZ,X,X,O,X,X,X,O,X,X,O,O
TLOSJZI,X,X,O,X,X,X,O,X,X,O,O
TLOSZIJ,X,X,O,X,X,X,X,X,O,X,O
TLOSZJI,X,X,O,X,X,X,X,X,O,X,O
TLOZIJS,X,O,O,X,O,X,X,X,O,X,O
TLOZISJ,X,O,O,X,O,X,X,X,O,X,O
TLOZJIS,X,O,O,X,O,X,X,X,O,X,O
TLOZJSI,X,O,O,X,X,X,X,X,O,X,O
TLOZSIJ,X,O,O,X,X,X,X,X,O,X,O
TLOZSJI,X,O,O,X,X,X,X,X,O,X,O
TJILSZO,X,X,O,O,X,O,X,X,X,X,X
