sequence,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhEMeBZLB?qkBXmBTgB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhEJLBqkB?0lBThBPdB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhEJLBqkB?0lB3hBzbB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhERqBzfB?qgBvhBMeB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhERqBSlB?ThBXbBMeB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8JeTwIvhEUdBXhB?6oBWqBRnB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhEzkB5gB?MmBPdBacB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8JeJrIvhEqkBvlB?ToBUiBubB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8JeRHJvhEvjBUdB?ClBebBTQB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8JeRHJvhEvjBKdB?ukBTlBUWB
TSOILJZ,X,X,X,X,X,X,X,X,X,X
TSOILZJ,X,X,X,X,X,X,X,X,X,X
TSOIJLZ,X,X,X,X,X,X,X,X,X,X
TSOIJZL,X,X,X,X,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X,X,X,X,X
TSOIZJL,X,X,X,X,X,X,X,X,X,X
TSOLIJZ,X,X,X,X,X,X,X,X,X,X
TSOLIZJ,X,X,X,X,X,X,X,X,X,X
TSOLJIZ,X,X,X,X,X,X,X,X,X,X
TSOLJZI,X,X,X,X,X,X,X,X,X,X
TSOLZIJ,X,X,X,X,X,X,X,X,X,X
TSOLZJI,X,X,X,X,X,X,X,X,X,X
TSOJILZ,X,X,X,X,X,X,X,X,X,X
TSOJIZL,X,X,X,X,X,X,X,X,X,X
TSOJLIZ,X,X,X,X,X,X,X,X,X,X
TSOJLZI,X,X,X,X,X,X,X,X,X,X
TSOJZIL,X,X,X,X,X,X,X,X,X,X
TSOJZLI,X,X,X,X,X,X,X,X,X,X
TSOZILJ,X,X,X,X,X,X,X,X,X,X
TSOZIJL,X,X,X,X,X,X,X,X,X,X
TSOZLIJ,X,X,X,X,X,X,X,X,X,X
TSOZLJI,X,X,X,X,X,X,X,X,X,X
TSOZJIL,X,X,X,X,X,X,X,X,X,X
TSOZJLI,X,X,X,X,X,X,X,X,X,X
TZILJSO,X,X,X,X,X,X,X,X,X,X
TZILJOS,X,X,X,X,X,X,X,X,X,X
TZILSJO,X,X,X,X,X,X,X,O,X,X
TZILSOJ,X,X,X,X,X,X,X,O,X,X
TZILOJS,X,X,X,X,X,X,X,X,X,X
TZILOSJ,X,X,X,X,X,X,X,O,X,X
TZIJLSO,X,X,X,X,X,X,X,X,X,X
TZIJLOS,X,X,X,X,X,X,X,X,X,X
TZIJSLO,X,X,X,X,X,X,X,X,X,X
TZIJSOL,X,X,X,X,X,X,X,X,X,X
TZIJOLS,X,X,X,X,X,X,X,X,X,X
TZIJOSL,X,X,X,X,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,X,X,X,X,X
TZISLOJ,X,X,X,X,X,X,X,X,X,X
TZISJLO,X,X,X,X,X,X,X,X,X,X
TZISJOL,X,X,X,X,X,X,X,X,X,X
TZISOLJ,X,X,X,X,X,X,X,X,X,X
TZISOJL,X,X,X,X,X,X,X,X,X,X
TZIOLJS,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,X,X,X,X,X,X,X,O,X,X
TZIOJLS,X,X,X,X,X,X,X,X,X,X
TZIOJSL,X,X,X,X,X,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X,X,X,X,X
TZLIJOS,X,X,X,X,X,X,X,X,X,X
TZLISJO,X,X,X,X,X,X,X,O,X,X
TZLISOJ,X,X,X,X,X,X,X,O,X,X
TZLIOJS,X,X,X,X,X,X,X,X,X,X
TZLIOSJ,X,X,X,X,X,X,X,O,X,X
TZLJISO,X,X,X,X,X,X,X,X,X,X
TZLJIOS,X,X,X,X,X,X,X,X,X,X
TZLJSIO,X,X,X,X,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X,X,X,X,X
TZLJOIS,X,X,X,X,X,X,X,X,X,X
TZLJOSI,X,X,X,X,X,X,X,X,X,X
TZLSIJO,X,X,X,X,X,X,X,O,X,X
TZLSIOJ,X,X,X,X,X,X,X,O,X,X
TZLSJIO,X,X,X,X,X,X,X,O,X,X
TZLSJOI,X,X,X,X,X,X,X,O,X,X
TZLSOIJ,X,X,X,X,X,X,X,O,X,X
TZLSOJI,X,X,X,X,X,X,X,O,X,X
TZLOIJS,X,X,X,X,X,X,X,X,X,X
TZLOISJ,X,X,X,X,X,X,X,O,X,X
TZLOJIS,X,X,X,X,X,X,X,X,X,X
TZLOJSI,X,X,X,X,X,X,X,X,X,X
TZLOSIJ,X,X,X,X,X,X,X,O,X,X
TZLOSJI,X,X,X,X,X,X,X,O,X,X
TZJILSO,X,X,X,X,X,X,X,X,X,X
TZJILOS,X,X,X,X,X,X,X,X,X,X
TZJISLO,X,X,X,X,X,X,X,X,X,X
TZJISOL,X,X,X,X,X,X,X,X,X,X
TZJIOLS,X,X,X,X,X,X,X,X,X,X
TZJIOSL,X,X,X,X,X,X,X,X,X,X
TZJLISO,X,X,X,X,X,X,X,X,X,X
TZJLIOS,X,X,X,X,X,X,X,X,X,X
TZJLSIO,X,X,X,X,X,X,X,X,X,X
TZJLSOI,X,X,X,X,X,X,X,X,X,X
TZJLOIS,X,X,X,X,X,X,X,X,X,X
TZJLOSI,X,X,X,X,X,X,X,X,X,X
TZJSILO,X,X,X,X,X,X,X,X,X,X
TZJSIOL,X,X,X,X,X,X,X,X,X,X
TZJSLIO,X,X,X,X,X,X,X,X,X,X
TZJSLOI,X,X,X,X,X,X,X,X,X,X
TZJSOIL,X,X,X,X,X,X,O,X,X,X
TZJSOLI,X,X,X,X,X,X,X,X,X,X
TZJOILS,X,X,X,X,X,X,O,X,X,O
TZJOISL,X,X,X,X,X,X,O,X,X,O
TZJOLIS,X,X,X,X,X,X,X,X,X,X
TZJOLSI,X,X,X,X,X,X,X,X,X,X
TZJOSIL,X,X,X,X,X,X,O,X,X,X
TZJOSLI,X,X,X,X,X,X,X,X,X,X
TZSILJO,X,X,X,X,X,X,X,X,X,X
TZSILOJ,X,X,X,X,X,X,X,X,X,X
TZSIJLO,X,X,X,X,X,X,X,X,X,X
TZSIJOL,X,X,X,X,X,X,X,X,X,X
TZSIOLJ,X,X,X,X,X,X,X,X,X,X
TZSIOJL,X,X,X,X,X,X,X,X,X,X
TZSLIJO,X,X,X,X,X,X,X,X,X,X
TZSLIOJ,X,X,X,X,X,X,X,X,X,X
TZSLJIO,X,X,X,X,X,X,X,X,X,X
TZSLJOI,X,X,X,X,X,X,X,X,X,X
TZSLOIJ,X,X,X,X,X,X,X,X,X,X
TZSLOJI,X,X,X,X,X,X,X,X,X,X
TZSJILO,X,X,X,X,X,X,X,X,X,X
TZSJIOL,X,X,X,X,X,X,X,X,X,X
TZSJLIO,X,X,X,X,X,X,X,X,X,X
TZSJLOI,X,X,X,X,X,X,X,X,X,X
TZSJOIL,X,X,X,X,X,X,O,X,X,X
TZSJOLI,X,X,X,X,X,X,X,X,X,X
TZSOILJ,X,X,X,X,X,X,O,X,X,X
TZSOIJL,X,X,X,X,X,X,O,X,X,X
TZSOLIJ,X,X,X,X,X,X,X,X,X,X
TZSOLJI,X,X,X,X,X,X,X,X,X,X
TZSOJIL,X,X,X,X,X,X,O,X,X,X
TZSOJLI,X,X,X,X,X,X,X,X,X,X
TZOILJS,X,X,X,X,X,X,O,X,X,X
TZOILSJ,X,X,X,X,X,X,O,O,X,X
TZOIJLS,X,X,X,X,X,X,O,X,X,X
TZOIJSL,X,X,X,X,X,X,O,X,X,X
TZOISLJ,X,X,X,X,X,X,O,X,X,X
TZOISJL,X,X,X,X,X,X,O,X,X,X
TZOLIJS,X,X,X,X,X,X,X,X,X,X
TZOLISJ,X,X,X,X,X,X,X,O,X,X
TZOLJIS,X,X,X,X,X,X,X,X,X,X
TZOLJSI,X,X,X,X,X,X,X,X,X,X
TZOLSIJ,X,X,X,X,X,X,X,O,X,X
TZOLSJI,X,X,X,X,X,X,X,O,X,X
TZOJILS,X,X,X,X,X,X,O,X,X,X
TZOJISL,X,X,X,X,X,X,O,X,X,X
TZOJLIS,X,X,X,X,X,X,X,X,X,X
TZOJLSI,X,X,X,X,X,X,X,X,X,X
TZOJSIL,X,X,X,X,X,X,O,X,X,X
TZOJSLI,X,X,X,X,X,X,X,X,X,X
TZOSILJ,X,X,X,X,X,X,O,X,X,X
TZOSIJL,X,X,X,X,X,X,O,X,X,X
TZOSLIJ,X,X,X,X,X,X,X,X,X,X
TZOSLJI,X,X,X,X,X,X,X,X,X,X
TZOSJIL,X,X,X,X,X,X,O,X,X,X
TZOSJLI,X,X,X,X,X,X,X,X,X,X
TOILJSZ,X,O,X,X,X,O,X,X,O,X
TOILJZS,X,O,X,X,X,O,X,X,O,X
TOILSJZ,X,O,X,X,X,O,X,O,O,X
TOILSZJ,X,O,X,X,X,O,X,O,O,X
TOILZJS,X,O,X,X,X,O,X,X,O,X
TOILZSJ,X,O,X,X,X,O,X,O,O,X
TOIJLSZ,X,O,X,X,X,O,X,X,X,X
TOIJLZS,X,O,X,X,X,O,X,X,X,X
TOIJSLZ,X,O,X,X,X,O,X,X,X,X
TOIJSZL,X,X,X,X,X,O,X,X,X,X
TOIJZLS,X,X,X,X,X,O,O,X,X,X
TOIJZSL,X,X,X,X,X,O,O,X,X,X
TOISLJZ,X,O,X,X,X,O,X,X,O,X
TOISLZJ,X,O,X,X,X,O,X,X,O,X
TOISJLZ,X,O,X,X,X,O,X,X,X,X
TOISJZL,X,X,X,X,X,O,X,X,X,X
TOISZLJ,X,X,X,X,X,O,X,X,O,X
TOISZJL,X,X,X,X,X,O,X,X,X,X
TOIZLJS,X,X,X,X,X,O,O,X,O,X
TOIZLSJ,X,X,X,X,X,O,O,O,O,X
TOIZJLS,X,X,X,X,X,O,O,X,X,X
TOIZJSL,X,X,X,X,X,O,O,X,X,X
TOIZSLJ,X,X,X,X,X,O,O,X,O,X
TOIZSJL,X,X,X,X,X,O,O,X,X,X
TOLIJSZ,X,O,X,X,X,O,X,X,O,X
TOLIJZS,X,O,X,X,X,O,X,X,O,X
TOLISJZ,X,O,X,X,X,O,X,O,O,X
TOLISZJ,X,O,X,X,X,O,X,O,O,X
TOLIZJS,X,O,X,X,X,O,X,X,O,X
TOLIZSJ,X,O,X,X,X,O,X,O,O,X
TOLJISZ,X,O,X,X,X,O,X,X,O,X
TOLJIZS,X,O,X,X,X,O,X,X,O,X
TOLJSIZ,X,O,X,X,X,O,X,X,X,X
TOLJSZI,X,O,X,X,X,X,X,X,X,X
TOLJZIS,X,O,X,X,X,X,X,X,X,X
TOLJZSI,X,O,X,X,X,X,X,X,X,X
TOLSIJZ,X,O,X,X,X,X,X,O,X,X
TOLSIZJ,X,O,X,X,X,X,X,O,X,X
TOLSJIZ,X,O,X,X,X,X,X,O,X,X
TOLSJZI,X,O,X,X,X,X,X,O,X,X
TOLSZIJ,X,O,X,X,X,X,X,O,X,X
TOLSZJI,X,O,X,X,X,X,X,O,X,X
TOLZIJS,X,O,X,X,X,X,X,X,X,X
TOLZISJ,X,O,X,X,X,X,X,O,X,X
TOLZJIS,X,O,X,X,X,X,X,X,X,X
TOLZJSI,X,O,X,X,X,X,X,X,X,X
TOLZSIJ,X,O,X,X,X,X,X,O,X,X
TOLZSJI,X,O,X,X,X,X,X,O,X,X
TOJILSZ,X,O,X,X,X,O,X,X,X,X
TOJILZS,X,O,X,X,X,O,X,X,X,X
TOJISLZ,X,O,X,X,X,O,X,X,X,X
TOJISZL,X,X,X,X,X,O,X,X,X,X
TOJIZLS,X,X,X,X,X,O,O,X,X,X
TOJIZSL,X,X,X,X,X,O,O,X,X,X
TOJLISZ,X,O,X,X,X,O,X,X,X,X
TOJLIZS,X,O,X,X,X,O,X,X,X,X
TOJLSIZ,X,O,X,X,X,O,X,X,X,X
TOJLSZI,X,O,X,X,X,X,X,X,X,X
TOJLZIS,X,O,X,X,X,X,X,X,X,X
TOJLZSI,X,O,X,X,X,X,X,X,X,X
TOJSILZ,X,O,X,X,X,O,X,X,X,X
TOJSIZL,X,X,X,X,X,O,X,X,X,X
TOJSLIZ,X,O,X,X,X,O,X,X,X,X
TOJSLZI,X,O,X,X,X,X,X,X,X,X
TOJSZIL,X,X,X,X,X,O,X,X,X,X
TOJSZLI,X,X,X,X,X,X,X,X,X,X
TOJZILS,X,X,X,X,X,X,O,X,X,X
TOJZISL,X,X,X,X,X,X,O,X,X,X
TOJZLIS,X,X,X,X,X,X,X,X,X,X
TOJZLSI,X,X,X,X,X,X,X,X,X,X
TOJZSIL,X,X,X,X,X,X,O,X,X,X
TOJZSLI,X,X,X,X,X,X,X,X,X,X
TOSILJZ,X,O,X,X,X,X,X,X,X,X
TOSILZJ,X,O,X,X,X,X,X,X,X,X
TOSIJLZ,X,O,X,X,X,X,X,X,X,X
TOSIJZL,X,X,X,X,X,X,X,X,X,X
TOSIZLJ,X,X,X,X,X,X,X,X,X,X
TOSIZJL,X,X,X,X,X,X,X,X,X,X
TOSLIJZ,X,O,X,X,X,X,X,X,X,X
TOSLIZJ,X,O,X,X,X,X,X,X,X,X
TOSLJIZ,X,O,X,X,X,X,X,X,X,X
TOSLJZI,X,O,X,X,X,X,X,X,X,X
TOSLZIJ,X,O,X,X,X,X,X,X,X,X
TOSLZJI,X,O,X,X,X,X,X,X,X,X
TOSJILZ,X,O,X,X,X,X,X,X,X,X
TOSJIZL,X,X,X,X,X,X,X,X,X,X
TOSJLIZ,X,O,X,X,X,X,X,X,X,X
TOSJLZI,X,O,X,X,X,X,X,X,X,X
TOSJZIL,X,X,X,X,X,X,X,X,X,X
TOSJZLI,X,X,X,X,X,X,X,X,X,X
TOSZILJ,X,X,X,X,X,X,X,X,X,X
TOSZIJL,X,X,X,X,X,X,X,X,X,X
TOSZLIJ,X,X,X,X,X,X,X,X,X,X
TOSZLJI,X,X,X,X,X,X,X,X,X,X
TOSZJIL,X,X,X,X,X,X,X,X,X,X
TOSZJLI,X,X,X,X,X,X,X,X,X,X
TOZILJS,X,X,X,X,X,X,O,X,X,X
TOZILSJ,X,X,X,X,X,X,O,O,X,X
TOZIJLS,X,X,X,X,X,X,O,X,X,X
TOZIJSL,X,X,X,X,X,X,O,X,X,X
TOZISLJ,X,X,X,X,X,X,O,X,X,X
TOZISJL,X,X,X,X,X,X,O,X,X,X
TOZLIJS,X,X,X,X,X,X,X,X,X,X
TOZLISJ,X,X,X,X,X,X,X,O,X,X
TOZLJIS,X,X,X,X,X,X,X,X,X,X
TOZLJSI,X,X,X,X,X,X,X,X,X,X
TOZLSIJ,X,X,X,X,X,X,X,O,X,X
TOZLSJI,X,X,X,X,X,X,X,O,X,X
TOZJILS,X,X,X,X,X,X,O,X,X,X
TOZJISL,X,X,X,X,X,X,O,X,X,X
TOZJLIS,X,X,X,X,X,X,X,X,X,X
TOZJLSI,X,X,X,X,X,X,X,X,X,X
TOZJSIL,X,X,X,X,X,X,O,X,X,X
TOZJSLI,X,X,X,X,X,X,X,X,X,X
TOZSILJ,X,X,X,X,X,X,O,X,X,X
TOZSIJL,X,X,X,X,X,X,O,X,X,X
TOZSLIJ,X,X,X,X,X,X,X,X,X,X
TOZSLJI,X,X,X,X,X,X,X,X,X,X
TOZSJIL,X,X,X,X,X,X,O,X,X,X
TOZSJLI,X,X,X,X,X,X,X,X,X,X
ITLJSZO,O,X,O,X,O,O,X,X,O,X
ITLJSOZ,O,X,X,X,O,O,X,X,O,O
ITLJZSO,O,X,O,X,O,O,X,X,O,X
ITLJZOS,X,O,O,X,O,O,X,X,O,X
ITLJOSZ,X,O,X,X,O,O,X,X,O,O
ITLJOZS,X,O,X,X,O,O,X,X,O,O
ITLSJZO,O,X,O,X,O,O,X,O,O,X
ITLSJOZ,O,X,X,X,O,O,X,O,O,O
ITLSZJO,X,X,O,X,X,O,X,O,O,X
ITLSZOJ,X,X,O,X,X,O,X,O,O,X
ITLSOJZ,O,X,X,X,O,O,X,O,O,X
ITLSOZJ,X,X,X,X,X,O,X,O,O,X
ITLZJSO,X,X,O,X,X,O,X,X,O,X
ITLZJOS,X,O,O,X,X,O,X,X,O,X
ITLZSJO,X,X,O,X,X,O,X,O,O,X
ITLZSOJ,X,X,O,X,X,O,X,O,O,X
ITLZOJS,X,O,O,X,X,O,X,X,O,X
ITLZOSJ,X,O,O,X,X,O,X,O,O,X
ITLOJSZ,X,O,X,X,O,O,X,X,O,X
ITLOJZS,X,O,X,X,O,O,X,X,O,X
ITLOSJZ,X,O,X,X,O,O,X,O,O,X
ITLOSZJ,X,O,X,X,X,O,X,O,O,X
ITLOZJS,X,O,X,X,X,O,X,X,O,X
ITLOZSJ,X,O,X,X,X,O,X,O,O,X
ITJLSZO,O,X,O,X,O,O,X,X,X,X
ITJLSOZ,O,X,X,X,O,O,X,X,X,O
ITJLZSO,O,X,O,X,O,O,X,X,X,X
ITJLZOS,X,O,O,X,O,O,X,X,X,X
ITJLOSZ,X,O,X,X,O,O,X,X,X,O
ITJLOZS,X,O,X,X,O,O,X,X,X,O
ITJSLZO,O,X,O,X,X,O,X,X,X,X
ITJSLOZ,O,X,X,X,X,O,X,X,X,O
ITJSZLO,O,X,X,X,X,O,X,X,X,X
ITJSZOL,X,X,X,O,X,O,X,X,X,X
ITJSOLZ,X,X,X,O,X,O,X,X,X,O
ITJSOZL,X,X,X,O,X,O,X,X,X,O
ITJZLSO,O,X,X,X,O,O,X,X,X,X
ITJZLOS,X,X,X,X,O,O,X,X,X,X
ITJZSLO,O,X,X,X,X,O,X,X,X,X
ITJZSOL,X,X,X,O,X,O,X,X,X,X
ITJZOLS,X,X,X,O,O,O,X,X,X,X
ITJZOSL,X,X,X,O,X,O,X,X,X,X
ITJOLSZ,X,O,X,O,O,O,X,X,X,O
ITJOLZS,X,O,X,O,O,O,X,X,X,O
ITJOSLZ,X,O,X,O,X,O,X,X,X,O
ITJOSZL,X,X,X,O,X,O,X,X,X,O
ITJOZLS,X,X,X,O,O,O,X,X,X,O
ITJOZSL,X,X,X,O,X,O,X,X,X,O
ITSLJZO,O,X,O,X,X,O,X,X,O,X
ITSLJOZ,O,X,X,X,X,O,X,X,O,O
ITSLZJO,X,X,O,X,X,O,X,X,O,X
ITSLZOJ,X,X,O,X,X,O,X,X,O,X
ITSLOJZ,O,X,X,X,X,O,X,X,O,X
ITSLOZJ,X,X,X,X,X,O,X,X,O,X
ITSJLZO,O,X,O,X,X,O,X,X,X,X
ITSJLOZ,O,X,X,X,X,O,X,X,X,O
ITSJZLO,O,X,X,X,X,O,X,X,X,X
ITSJZOL,X,X,X,O,X,O,X,X,X,X
ITSJOLZ,X,X,X,O,X,O,X,X,X,O
ITSJOZL,X,X,X,O,X,O,X,X,X,O
ITSZLJO,X,X,X,X,X,O,X,X,O,X
ITSZLOJ,X,X,X,X,X,O,X,X,O,X
ITSZJLO,X,X,X,X,X,O,X,X,X,X
ITSZJOL,X,X,X,X,X,O,X,X,X,X
ITSZOLJ,X,X,X,X,X,O,X,X,O,X
ITSZOJL,X,X,X,X,X,O,X,X,X,X
ITSOLJZ,X,X,X,O,X,O,X,X,O,X
ITSOLZJ,X,X,X,X,X,O,X,X,O,X
ITSOJLZ,X,X,X,O,X,O,X,X,X,X
ITSOJZL,X,X,X,O,X,O,X,X,X,X
ITSOZLJ,X,X,X,X,X,O,X,X,O,X
ITSOZJL,X,X,X,X,X,O,X,X,X,X
ITZLJSO,X,X,X,X,X,O,X,X,O,X
ITZLJOS,X,X,X,X,X,O,X,X,O,X
ITZLSJO,X,X,X,X,X,O,X,O,O,X
ITZLSOJ,X,X,X,X,X,O,X,O,O,X
ITZLOJS,X,X,X,X,X,O,X,X,O,X
ITZLOSJ,X,X,X,X,X,O,X,O,O,X
ITZJLSO,X,X,X,X,X,O,X,X,X,X
ITZJLOS,X,X,X,X,X,O,X,X,X,X
ITZJSLO,X,X,X,X,X,O,X,X,X,X
ITZJSOL,X,X,X,X,X,O,X,X,X,X
ITZJOLS,X,X,X,X,X,O,X,X,X,X
ITZJOSL,X,X,X,X,X,O,X,X,X,X
ITZSLJO,X,X,X,X,X,O,X,X,O,X
ITZSLOJ,X,X,X,X,X,O,X,X,O,X
ITZSJLO,X,X,X,X,X,O,X,X,X,X
ITZSJOL,X,X,X,X,X,O,X,X,X,X
ITZSOLJ,X,X,X,X,X,O,X,X,O,X
ITZSOJL,X,X,X,X,X,O,X,X,X,X
ITZOLJS,X,X,X,X,X,O,X,X,O,X
ITZOLSJ,X,X,X,X,X,O,X,O,O,X
ITZOJLS,X,X,X,X,X,O,X,X,X,X
ITZOJSL,X,X,X,X,X,O,X,X,X,X
ITZOSLJ,X,X,X,X,X,O,X,X,O,X
ITZOSJL,X,X,X,X,X,O,X,X,X,X
ITOLJSZ,X,O,X,O,O,O,X,X,O,X
ITOLJZS,X,O,X,O,O,O,X,X,O,X
ITOLSJZ,X,O,X,O,O,O,X,O,O,X
ITOLSZJ,X,O,X,X,X,O,X,O,O,X
ITOLZJS,X,O,X,X,X,O,X,X,O,X
ITOLZSJ,X,O,X,X,X,O,X,O,O,X
ITOJLSZ,X,O,X,O,O,O,X,X,X,X
ITOJLZS,X,O,X,O,O,O,X,X,X,X
ITOJSLZ,X,O,X,O,X,O,X,X,X,X
ITOJSZL,X,X,X,O,X,O,X,X,X,X
ITOJZLS,X,X,X,O,O,O,X,X,X,X
ITOJZSL,X,X,X,O,X,O,X,X,X,X
ITOSLJZ,X,O,X,O,X,O,X,X,O,X
ITOSLZJ,X,O,X,X,X,O,X,X,O,X
ITOSJLZ,X,O,X,O,X,O,X,X,X,X
ITOSJZL,X,X,X,O,X,O,X,X,X,X
ITOSZLJ,X,X,X,X,X,O,X,X,O,X
ITOSZJL,X,X,X,X,X,O,X,X,X,X
ITOZLJS,X,X,X,X,X,O,X,X,O,X
ITOZLSJ,X,X,X,X,X,O,X,O,O,X
ITOZJLS,X,X,X,X,X,O,X,X,X,X
ITOZJSL,X,X,X,X,X,O,X,X,X,X
ITOZSLJ,X,X,X,X,X,O,X,X,O,X
ITOZSJL,X,X,X,X,X,O,X,X,X,X
ILTJSZO,O,X,O,X,O,O,X,X,O,X
ILTJSOZ,O,X,X,X,O,O,X,X,O,O
ILTJZSO,O,X,O,X,O,O,X,X,O,X
ILTJZOS,X,O,O,X,O,O,X,X,O,X
ILTJOSZ,X,O,X,X,O,O,X,X,O,O
ILTJOZS,X,O,X,X,O,O,X,X,O,O
ILTSJZO,O,X,O,X,O,O,X,O,O,X
ILTSJOZ,O,X,X,X,O,O,X,O,O,O
ILTSZJO,X,X,O,X,X,O,X,O,O,X
ILTSZOJ,X,X,O,X,X,O,X,O,O,X
ILTSOJZ,O,X,X,X,O,O,X,O,O,X
ILTSOZJ,X,X,X,X,X,O,X,O,O,X
ILTZJSO,X,X,O,X,X,O,X,X,O,X
ILTZJOS,X,O,O,X,X,O,X,X,O,X
ILTZSJO,X,X,O,X,X,O,X,O,O,X
ILTZSOJ,X,X,O,X,X,O,X,O,O,X
ILTZOJS,X,O,O,X,X,O,X,X,O,X
ILTZOSJ,X,O,O,X,X,O,X,O,O,X
ILTOJSZ,X,O,X,X,O,O,X,X,O,X
ILTOJZS,X,O,X,X,O,O,X,X,O,X
ILTOSJZ,X,O,X,X,O,O,X,O,O,X
ILTOSZJ,X,O,X,X,X,O,X,O,O,X
ILTOZJS,X,O,X,X,X,O,X,X,O,X
ILTOZSJ,X,O,X,X,X,O,X,O,O,X
ILJTSZO,O,X,O,X,O,O,X,X,O,X
ILJTSOZ,O,X,X,X,O,O,X,X,O,O
ILJTZSO,O,X,O,X,O,O,X,X,O,X
ILJTZOS,X,O,O,X,O,O,X,X,O,X
ILJTOSZ,X,O,X,X,O,O,X,X,O,O
ILJTOZS,X,O,X,X,O,O,X,X,O,O
ILJSTZO,O,X,O,X,O,O,X,O,O,X
ILJSTOZ,O,X,X,X,O,O,X,O,O,O
ILJSZTO,O,X,O,X,O,O,X,O,O,X
ILJSZOT,O,O,O,O,O,O,X,O,O,O
ILJSOTZ,O,O,X,O,O,O,X,O,O,O
ILJSOZT,O,O,O,O,O,O,X,O,O,O
ILJZTSO,O,X,O,X,O,O,X,X,O,X
ILJZTOS,X,O,O,X,O,O,X,X,O,X
ILJZSTO,O,X,O,X,O,O,X,O,O,X
ILJZSOT,O,O,O,O,O,O,X,O,O,O
ILJZOTS,X,O,O,O,O,O,X,X,O,O
ILJZOST,O,O,O,O,O,O,X,O,O,O
ILJOTSZ,X,O,X,O,O,O,X,X,O,O
ILJOTZS,X,O,X,O,O,O,X,X,O,O
ILJOSTZ,O,O,X,O,O,O,X,O,O,O
ILJOSZT,O,O,O,O,O,O,X,O,O,O
ILJOZTS,X,O,O,O,O,O,X,X,O,O
ILJOZST,O,O,O,O,O,O,X,O,O,O
ILSTJZO,O,X,O,X,O,O,X,O,O,X
ILSTJOZ,O,X,X,X,O,O,X,O,O,O
ILSTZJO,X,X,O,X,X,O,X,O,O,X
ILSTZOJ,X,X,O,X,X,O,X,O,O,X
ILSTOJZ,O,X,X,X,O,O,X,O,O,X
ILSTOZJ,X,X,X,X,X,O,X,O,O,X
ILSJTZO,O,X,O,X,O,O,X,O,O,X
ILSJTOZ,O,X,X,X,O,O,X,O,O,O
ILSJZTO,O,X,O,X,O,O,X,O,O,X
ILSJZOT,O,O,O,O,O,O,X,O,O,O
ILSJOTZ,O,O,X,O,O,O,X,O,O,O
ILSJOZT,O,O,O,O,O,O,X,O,O,O
ILSZTJO,X,X,O,X,X,O,X,O,O,X
ILSZTOJ,X,X,O,X,X,O,X,O,O,X
ILSZJTO,O,X,O,X,O,O,X,O,O,X
ILSZJOT,O,O,O,X,O,O,X,O,O,O
ILSZOTJ,X,O,O,X,X,O,X,O,O,X
ILSZOJT,O,O,O,X,O,O,X,O,O,X
ILSOTJZ,O,O,X,O,O,O,X,O,O,X
ILSOTZJ,X,O,X,X,X,O,X,O,O,X
ILSOJTZ,O,O,X,O,O,O,X,O,O,O
ILSOJZT,O,O,O,O,O,O,X,O,O,O
ILSOZTJ,X,O,O,X,X,O,X,O,O,X
ILSOZJT,O,O,O,O,O,O,X,O,O,X
ILZTJSO,X,X,O,X,X,O,X,X,O,X
ILZTJOS,X,O,O,X,X,O,X,X,O,X
ILZTSJO,X,X,O,X,X,O,X,O,O,X
ILZTSOJ,X,X,O,X,X,O,X,O,O,X
ILZTOJS,X,O,O,X,X,O,X,X,O,X
ILZTOSJ,X,O,O,X,X,O,X,O,O,X
ILZJTSO,O,X,O,X,O,O,X,X,O,X
ILZJTOS,X,O,O,X,O,O,X,X,O,X
ILZJSTO,O,X,O,X,O,O,X,O,O,X
ILZJSOT,O,O,O,X,O,O,X,O,O,O
ILZJOTS,X,O,O,X,O,O,X,X,O,O
ILZJOST,O,O,O,X,O,O,X,O,O,O
ILZSTJO,X,X,O,X,X,O,X,O,O,X
ILZSTOJ,X,X,O,X,X,O,X,O,O,X
ILZSJTO,O,X,O,X,O,O,X,O,O,X
ILZSJOT,O,O,O,X,O,O,X,O,O,O
ILZSOTJ,X,O,O,X,X,O,X,O,O,X
ILZSOJT,O,O,O,X,O,O,X,O,O,X
ILZOTJS,X,O,O,X,X,O,X,X,O,X
ILZOTSJ,X,O,O,X,X,O,X,O,O,X
