sequence,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxYB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxYBX?eB0iBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jei1IvhFRXBceB3aBG?dBziBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxdB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jey6IvhFGXBxdBTaB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jem1IvhFRXBTaBFeBf?oBUnBCtB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBRXBceBf?oBFnBusB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeO6IvhF8aBRXBXeBz?nBFnBCtB
TZJSOLI,X,X,O,X,X,X,X,X
TZJOILS,O,X,X,X,X,X,X,X
TZJOISL,X,X,O,X,X,X,X,X
TZJOLIS,O,X,X,X,X,X,X,X
TZJOLSI,O,X,X,X,X,X,X,X
TZJOSIL,X,X,O,X,X,X,X,O
TZJOSLI,X,X,O,X,X,X,X,O
TZSILJO,O,O,O,X,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,X
TZSIJLO,O,O,O,X,X,X,X,X
TZSIJOL,X,X,O,X,X,X,X,X
TZSIOLJ,X,X,O,X,X,X,X,X
TZSIOJL,X,X,O,X,X,X,X,X
TZSLIJO,O,O,O,X,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,X,X
TZSLJIO,O,O,O,X,X,X,X,X
TZSLJOI,O,O,O,X,X,X,X,X
TZSLOIJ,O,O,O,X,X,X,X,X
TZSLOJI,O,O,O,X,X,X,X,X
TZSJILO,O,O,O,X,X,X,X,X
TZSJIOL,X,X,O,X,X,X,X,X
TZSJLIO,O,O,O,X,X,X,X,X
TZSJLOI,O,O,O,X,X,X,X,X
TZSJOIL,X,X,O,X,X,X,X,X
TZSJOLI,X,X,O,X,X,X,X,X
TZSOILJ,X,X,O,X,X,X,X,X
TZSOIJL,X,X,O,X,X,X,X,X
TZSOLIJ,X,X,O,X,X,X,X,X
TZSOLJI,X,X,O,X,X,X,X,X
TZSOJIL,X,X,O,X,X,X,X,X
TZSOJLI,X,X,O,X,X,X,X,X
TZOILJS,O,X,X,X,X,X,X,X
TZOILSJ,O,X,X,X,X,X,X,X
TZOIJLS,O,X,X,X,X,X,X,X
TZOIJSL,X,X,O,X,X,X,X,X
TZOISLJ,X,X,O,X,X,X,X,X
TZOISJL,X,X,O,X,X,X,X,X
TZOLIJS,O,X,X,X,X,X,X,X
TZOLISJ,O,X,X,X,X,X,X,X
TZOLJIS,O,X,X,X,X,X,X,X
TZOLJSI,O,X,X,X,X,X,X,X
TZOLSIJ,O,X,X,X,X,X,X,X
TZOLSJI,O,X,X,X,X,X,X,X
TZOJILS,O,X,X,X,X,X,X,X
TZOJISL,X,X,O,X,X,X,X,X
TZOJLIS,O,X,X,X,X,X,X,X
TZOJLSI,O,X,X,X,X,X,X,X
TZOJSIL,X,X,O,X,X,X,X,O
TZOJSLI,X,X,O,X,X,X,X,O
TZOSILJ,X,X,O,X,X,X,X,X
TZOSIJL,X,X,O,X,X,X,X,X
TZOSLIJ,X,X,O,X,X,X,X,X
TZOSLJI,X,X,O,X,X,X,X,X
TZOSJIL,X,X,O,X,X,X,X,O
TZOSJLI,X,X,O,X,X,X,X,O
TOILJSZ,X,X,X,O,O,X,X,X
TOILJZS,X,X,X,O,O,X,X,X
TOILSJZ,X,X,X,O,X,X,X,X
TOILSZJ,X,X,X,X,X,X,X,X
TOILZJS,X,X,X,O,X,X,X,X
TOILZSJ,X,X,X,X,X,X,X,X
TOIJLSZ,X,X,X,O,O,X,X,X
TOIJLZS,X,X,X,O,O,X,X,X
TOIJSLZ,X,X,O,X,X,X,X,X
TOIJSZL,X,X,O,X,X,X,X,X
TOIJZLS,X,X,X,X,X,X,X,X
TOIJZSL,X,X,O,X,X,X,X,X
TOISLJZ,X,X,O,X,X,X,X,X
TOISLZJ,X,X,O,X,X,X,X,X
TOISJLZ,X,X,O,X,X,X,X,X
TOISJZL,X,X,O,X,X,X,X,X
TOISZLJ,X,X,O,X,X,X,X,X
TOISZJL,X,X,O,X,X,X,X,X
TOIZLJS,X,X,X,X,X,X,X,X
TOIZLSJ,X,X,X,X,X,X,X,X
TOIZJLS,X,X,X,X,X,X,X,X
TOIZJSL,X,X,O,X,X,X,X,X
TOIZSLJ,X,X,O,X,X,X,X,X
TOIZSJL,X,X,O,X,X,X,X,X
TOLIJSZ,X,O,X,O,O,X,X,X
TOLIJZS,O,X,X,O,O,X,X,X
TOLISJZ,X,O,X,O,X,X,X,X
TOLISZJ,X,O,X,X,X,X,X,X
TOLIZJS,O,X,X,O,X,X,X,X
TOLIZSJ,O,X,X,X,X,X,X,X
TOLJISZ,X,O,X,O,O,X,X,X
TOLJIZS,O,X,X,O,O,X,X,X
TOLJSIZ,X,O,X,O,X,X,X,X
TOLJSZI,O,O,X,X,X,X,X,X
TOLJZIS,O,X,X,O,X,X,X,X
TOLJZSI,O,O,X,X,X,X,X,X
TOLSIJZ,X,O,X,O,X,X,X,X
TOLSIZJ,X,O,X,X,X,X,X,X
TOLSJIZ,X,O,X,O,X,X,X,X
TOLSJZI,O,O,X,X,X,X,X,X
TOLSZIJ,O,O,X,X,X,X,X,X
TOLSZJI,O,O,X,X,X,X,X,X
TOLZIJS,O,X,X,O,X,X,X,X
TOLZISJ,O,X,X,X,X,X,X,X
TOLZJIS,O,X,X,O,X,X,X,X
TOLZJSI,O,O,X,X,X,X,X,X
TOLZSIJ,O,O,X,X,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X,X
TOJILSZ,X,X,X,O,O,X,X,X
TOJILZS,X,X,X,O,O,X,X,X
TOJISLZ,X,X,O,X,X,X,X,X
TOJISZL,X,X,O,X,X,X,X,X
TOJIZLS,X,X,X,X,X,X,X,X
TOJIZSL,X,X,O,X,X,X,X,X
TOJLISZ,X,O,X,O,O,X,X,X
TOJLIZS,O,X,X,O,O,X,X,X
TOJLSIZ,X,O,X,O,X,X,X,X
TOJLSZI,O,O,X,X,X,X,X,X
TOJLZIS,O,X,X,O,X,X,X,X
TOJLZSI,O,O,X,X,X,X,X,X
TOJSILZ,X,O,O,X,X,X,X,X
TOJSIZL,X,X,O,X,X,O,X,X
TOJSLIZ,X,O,O,X,X,X,X,X
TOJSLZI,X,O,O,X,X,O,X,X
TOJSZIL,X,X,O,X,X,O,X,X
TOJSZLI,X,X,O,X,X,O,X,X
TOJZILS,O,X,X,X,X,X,X,X
TOJZISL,X,X,O,X,X,X,X,X
TOJZLIS,O,X,X,X,X,X,X,X
TOJZLSI,O,X,X,X,X,X,X,X
TOJZSIL,X,X,O,X,X,X,X,X
TOJZSLI,X,X,O,X,X,X,X,X
TOSILJZ,X,O,O,X,X,X,X,X
TOSILZJ,X,O,O,X,X,X,X,X
TOSIJLZ,X,O,O,X,X,X,X,X
TOSIJZL,X,X,O,X,X,O,X,X
TOSIZLJ,X,X,O,X,X,O,X,X
TOSIZJL,X,X,O,X,X,O,X,X
TOSLIJZ,X,O,O,X,X,X,X,X
TOSLIZJ,X,O,O,X,X,X,X,X
TOSLJIZ,X,O,O,X,X,X,X,X
TOSLJZI,X,O,O,X,X,O,X,X
TOSLZIJ,X,O,O,X,X,O,X,X
TOSLZJI,X,O,O,X,X,O,X,X
TOSJILZ,X,O,O,X,X,X,X,X
TOSJIZL,X,X,O,X,X,O,X,X
TOSJLIZ,X,O,O,X,X,X,X,X
TOSJLZI,X,O,O,X,X,O,X,X
TOSJZIL,X,X,O,X,X,O,X,X
TOSJZLI,X,X,O,X,X,O,X,X
TOSZILJ,X,X,O,X,X,O,X,X
TOSZIJL,X,X,O,X,X,O,X,X
TOSZLIJ,X,X,O,X,X,O,X,X
TOSZLJI,X,X,O,X,X,O,X,X
TOSZJIL,X,X,O,X,X,O,X,O
TOSZJLI,X,X,O,X,X,O,X,O
TOZILJS,O,X,X,X,X,X,X,X
TOZILSJ,O,X,X,X,X,X,X,X
TOZIJLS,O,X,X,X,X,X,X,X
TOZIJSL,X,X,O,X,X,X,X,X
TOZISLJ,X,X,O,X,X,X,X,X
TOZISJL,X,X,O,X,X,X,X,X
TOZLIJS,O,X,X,X,X,X,X,X
TOZLISJ,O,X,X,X,X,X,X,X
TOZLJIS,O,X,X,X,X,X,X,X
TOZLJSI,O,X,X,X,X,X,X,X
TOZLSIJ,O,X,X,X,X,X,X,X
TOZLSJI,O,X,X,X,X,X,X,X
TOZJILS,O,X,X,X,X,X,X,X
TOZJISL,X,X,O,X,X,X,X,X
TOZJLIS,O,X,X,X,X,X,X,X
TOZJLSI,O,X,X,X,X,X,X,X
TOZJSIL,X,X,O,X,X,X,X,O
TOZJSLI,X,X,O,X,X,X,X,O
TOZSILJ,X,X,O,X,X,X,X,X
TOZSIJL,X,X,O,X,X,X,X,X
TOZSLIJ,X,X,O,X,X,X,X,X
TOZSLJI,X,X,O,X,X,X,X,X
TOZSJIL,X,X,O,X,X,X,X,O
TOZSJLI,X,X,O,X,X,X,X,O
ITLJSZO,X,O,O,X,O,X,X,X
ITLJSOZ,X,O,O,O,O,X,X,X
ITLJZSO,O,X,O,X,O,X,X,X
ITLJZOS,O,X,X,O,O,X,X,X
ITLJOSZ,X,O,X,O,O,X,X,X
ITLJOZS,O,X,X,O,O,X,X,X
ITLSJZO,X,O,O,X,O,X,X,X
ITLSJOZ,X,O,O,O,O,X,X,X
ITLSZJO,X,O,O,X,X,X,X,X
ITLSZOJ,X,O,O,X,X,X,X,X
ITLSOJZ,X,O,O,O,X,X,X,X
ITLSOZJ,X,O,O,X,X,X,X,X
ITLZJSO,O,X,O,X,O,X,X,X
ITLZJOS,O,X,X,O,O,X,X,X
ITLZSJO,O,X,O,X,X,X,X,X
ITLZSOJ,O,X,O,X,X,X,X,X
ITLZOJS,O,X,X,O,X,X,X,X
ITLZOSJ,O,X,X,X,X,X,X,X
ITLOJSZ,X,O,X,O,O,X,X,X
ITLOJZS,O,X,X,O,O,X,X,X
ITLOSJZ,X,O,X,O,X,X,X,X
ITLOSZJ,X,O,X,X,X,X,X,X
ITLOZJS,O,X,X,O,X,X,X,X
ITLOZSJ,O,X,X,X,X,X,X,X
ITJLSZO,X,O,O,X,O,X,X,X
ITJLSOZ,X,O,O,O,O,X,X,X
ITJLZSO,O,X,O,X,O,X,X,X
ITJLZOS,O,X,X,O,O,X,X,X
ITJLOSZ,X,O,X,O,O,X,X,X
ITJLOZS,O,X,X,O,O,X,X,X
ITJSLZO,X,O,O,X,O,X,X,X
ITJSLOZ,X,O,O,O,O,X,X,X
ITJSZLO,X,O,O,X,X,X,X,X
ITJSZOL,X,X,O,X,X,X,X,X
ITJSOLZ,X,O,O,X,X,X,X,X
ITJSOZL,X,X,O,X,X,X,X,X
ITJZLSO,O,X,O,X,O,X,X,X
ITJZLOS,O,X,X,O,O,X,X,X
ITJZSLO,O,X,O,X,X,X,X,X
ITJZSOL,X,X,O,X,X,X,X,X
ITJZOLS,O,X,X,X,X,X,X,X
ITJZOSL,X,X,O,X,X,X,X,X
ITJOLSZ,X,X,X,O,O,X,X,X
ITJOLZS,X,X,X,O,O,X,X,X
ITJOSLZ,X,X,O,X,X,X,X,X
ITJOSZL,X,X,O,X,X,X,X,X
ITJOZLS,X,X,X,X,X,X,X,X
ITJOZSL,X,X,O,X,X,X,X,X
ITSLJZO,X,O,O,X,O,X,X,X
ITSLJOZ,X,O,O,O,O,X,X,X
ITSLZJO,X,O,O,X,X,X,X,X
ITSLZOJ,X,O,O,X,X,X,X,X
ITSLOJZ,X,O,O,O,X,X,X,X
ITSLOZJ,X,O,O,X,X,X,X,X
ITSJLZO,X,O,O,X,O,X,X,X
ITSJLOZ,X,O,O,O,O,X,X,X
ITSJZLO,X,O,O,X,X,X,X,X
ITSJZOL,X,X,O,X,X,X,X,X
ITSJOLZ,X,O,O,X,X,X,X,X
ITSJOZL,X,X,O,X,X,X,X,X
ITSZLJO,X,O,O,X,X,X,X,X
ITSZLOJ,X,O,O,X,X,X,X,X
ITSZJLO,X,O,O,X,X,X,X,X
ITSZJOL,X,X,O,X,X,X,X,X
ITSZOLJ,X,X,O,X,X,X,X,X
ITSZOJL,X,X,O,X,X,X,X,X
ITSOLJZ,X,O,O,X,X,X,X,X
ITSOLZJ,X,O,O,X,X,X,X,X
ITSOJLZ,X,O,O,X,X,X,X,X
ITSOJZL,X,X,O,X,X,X,X,X
ITSOZLJ,X,X,O,X,X,X,X,X
ITSOZJL,X,X,O,X,X,X,X,X
ITZLJSO,O,X,O,X,O,X,X,X
ITZLJOS,O,X,X,O,O,X,X,X
ITZLSJO,O,X,O,X,X,X,X,X
ITZLSOJ,O,X,O,X,X,X,X,X
ITZLOJS,O,X,X,O,X,X,X,X
ITZLOSJ,O,X,X,X,X,X,X,X
ITZJLSO,O,X,O,X,O,X,X,X
ITZJLOS,O,X,X,O,O,X,X,X
ITZJSLO,O,X,O,X,X,X,X,X
ITZJSOL,X,X,O,X,X,X,X,X
ITZJOLS,O,X,X,X,X,X,X,X
ITZJOSL,X,X,O,X,X,X,X,X
ITZSLJO,O,X,O,X,X,X,X,X
ITZSLOJ,O,X,O,X,X,X,X,X
ITZSJLO,O,X,O,X,X,X,X,X
ITZSJOL,X,X,O,X,X,X,X,X
ITZSOLJ,X,X,O,X,X,X,X,X
ITZSOJL,X,X,O,X,X,X,X,X
ITZOLJS,O,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,X,X,X,X,X
ITZOJLS,O,X,X,X,X,X,X,X
ITZOJSL,X,X,O,X,X,X,X,X
ITZOSLJ,X,X,O,X,X,X,X,X
ITZOSJL,X,X,O,X,X,X,X,X
ITOLJSZ,X,X,X,O,O,X,X,X
ITOLJZS,X,X,X,O,O,X,X,X
ITOLSJZ,X,X,X,O,X,X,X,X
ITOLSZJ,X,X,X,X,X,X,X,X
ITOLZJS,X,X,X,O,X,X,X,X
ITOLZSJ,X,X,X,X,X,X,X,X
ITOJLSZ,X,X,X,O,O,X,X,X
ITOJLZS,X,X,X,O,O,X,X,X
ITOJSLZ,X,X,O,X,X,X,X,X
ITOJSZL,X,X,O,X,X,X,X,X
ITOJZLS,X,X,X,X,X,X,X,X
ITOJZSL,X,X,O,X,X,X,X,X
ITOSLJZ,X,X,O,X,X,X,X,X
ITOSLZJ,X,X,O,X,X,X,X,X
ITOSJLZ,X,X,O,X,X,X,X,X
ITOSJZL,X,X,O,X,X,X,X,X
ITOSZLJ,X,X,O,X,X,X,X,X
ITOSZJL,X,X,O,X,X,X,X,X
ITOZLJS,X,X,X,X,X,X,X,X
ITOZLSJ,X,X,X,X,X,X,X,X
ITOZJLS,X,X,X,X,X,X,X,X
ITOZJSL,X,X,O,X,X,X,X,X
ITOZSLJ,X,X,O,X,X,X,X,X
ITOZSJL,X,X,O,X,X,X,X,X
ILTJSZO,X,O,O,X,O,X,X,X
ILTJSOZ,X,O,O,O,O,X,X,X
ILTJZSO,O,X,O,X,O,X,X,X
ILTJZOS,O,X,X,O,O,X,X,X
ILTJOSZ,X,O,X,O,O,X,X,X
ILTJOZS,O,X,X,O,O,X,X,X
ILTSJZO,X,O,O,X,O,X,X,X
ILTSJOZ,X,O,O,O,O,X,X,X
ILTSZJO,X,O,O,X,X,X,X,X
ILTSZOJ,X,O,O,X,X,X,X,X
ILTSOJZ,X,O,O,O,X,X,X,X
ILTSOZJ,X,O,O,X,X,X,X,X
ILTZJSO,O,X,O,X,O,X,X,X
ILTZJOS,O,X,X,O,O,X,X,X
ILTZSJO,O,X,O,X,X,X,X,X
ILTZSOJ,O,X,O,X,X,X,X,X
ILTZOJS,O,X,X,O,X,X,X,X
ILTZOSJ,O,X,X,X,X,X,X,X
ILTOJSZ,X,O,X,O,O,X,X,X
ILTOJZS,O,X,X,O,O,X,X,X
ILTOSJZ,X,O,X,O,X,X,X,X
ILTOSZJ,X,O,X,X,X,X,X,X
ILTOZJS,O,X,X,O,X,X,X,X
ILTOZSJ,O,X,X,X,X,X,X,X
ILJTSZO,X,O,X,X,O,X,X,X
ILJTSOZ,X,O,X,O,O,X,X,X
ILJTZSO,O,X,X,X,O,X,X,X
ILJTZOS,O,X,X,O,O,X,X,X
ILJTOSZ,X,O,X,O,O,X,X,X
ILJTOZS,O,X,X,O,O,X,X,X
ILJSTZO,X,X,O,X,O,X,X,X
ILJSTOZ,X,O,X,X,O,X,X,X
ILJSZTO,X,O,O,X,X,X,X,X
ILJSZOT,X,O,O,X,O,X,X,X
ILJSOTZ,X,O,X,O,O,X,X,X
ILJSOZT,X,O,O,O,O,X,X,X
ILJZTSO,X,X,X,X,O,X,X,X
ILJZTOS,O,X,X,X,O,X,X,X
ILJZSTO,O,X,O,X,X,X,X,X
ILJZSOT,O,X,O,X,O,X,X,X
ILJZOTS,O,X,X,O,O,X,X,X
ILJZOST,O,X,X,O,O,X,X,X
ILJOTSZ,X,O,X,O,O,X,X,X
ILJOTZS,O,X,X,O,O,X,X,X
ILJOSTZ,X,O,X,O,O,X,X,X
ILJOSZT,X,O,X,O,O,X,X,X
ILJOZTS,O,X,X,O,O,X,X,X
ILJOZST,O,X,X,O,O,X,X,X
ILSTJZO,X,X,O,X,X,X,X,X
ILSTJOZ,X,O,O,X,X,X,X,X
ILSTZJO,X,X,O,X,X,X,X,X
ILSTZOJ,X,X,O,X,X,X,X,X
ILSTOJZ,X,O,O,X,X,X,X,X
ILSTOZJ,X,X,O,X,X,X,X,X
ILSJTZO,X,X,O,X,O,X,X,X
ILSJTOZ,X,O,O,X,O,X,X,X
ILSJZTO,X,O,O,X,X,X,X,X
ILSJZOT,X,O,O,X,O,X,X,X
ILSJOTZ,X,O,X,O,O,X,X,X
ILSJOZT,X,O,O,O,O,X,X,X
ILSZTJO,X,O,O,X,X,X,O,X
ILSZTOJ,X,O,O,X,X,X,O,X
ILSZJTO,X,O,O,X,X,X,X,X
ILSZJOT,X,O,O,X,X,X,X,X
ILSZOTJ,X,O,X,X,X,X,O,X
ILSZOJT,X,O,O,X,X,X,X,X
ILSOTJZ,X,O,O,X,X,X,X,X
ILSOTZJ,X,X,O,X,X,X,X,X
ILSOJTZ,X,O,X,O,X,X,X,X
ILSOJZT,X,O,O,O,X,X,X,X
ILSOZTJ,X,O,X,X,X,X,O,X
ILSOZJT,X,O,O,X,X,X,X,X
ILZTJSO,X,X,X,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,X,X
ILZTSJO,X,X,X,X,X,X,X,X
ILZTSOJ,X,X,X,X,X,X,X,X
ILZTOJS,O,X,X,X,X,X,X,X
ILZTOSJ,X,X,X,X,X,X,X,X
ILZJTSO,X,X,X,X,O,X,X,X
ILZJTOS,O,X,X,X,O,X,X,X
ILZJSTO,O,X,O,X,X,X,X,X
ILZJSOT,O,X,O,X,O,X,X,X
ILZJOTS,O,X,X,O,O,X,X,X
ILZJOST,O,X,X,O,O,X,X,X
ILZSTJO,O,X,O,X,X,X,X,X
ILZSTOJ,O,X,X,X,X,X,X,X
ILZSJTO,O,X,O,X,X,X,X,X
ILZSJOT,O,X,O,X,X,X,X,X
ILZSOTJ,O,X,X,X,X,X,X,X
ILZSOJT,O,X,O,X,X,X,X,X
ILZOTJS,O,X,X,X,X,X,X,X
ILZOTSJ,X,X,X,X,X,X,X,X
ILZOJTS,O,X,X,O,X,X,X,X
ILZOJST,O,X,X,O,X,X,X,X
ILZOSTJ,O,X,X,X,X,X,X,X
ILZOSJT,O,X,X,X,X,X,X,X
ILOTJSZ,X,O,X,O,X,X,X,X
ILOTJZS,O,X,X,O,X,X,X,X
ILOTSJZ,X,O,X,O,X,X,X,X
ILOTSZJ,X,O,X,X,X,X,X,X
ILOTZJS,O,X,X,O,X,X,X,X
ILOTZSJ,O,X,X,X,X,X,X,X
ILOJTSZ,X,O,X,O,O,X,X,X
ILOJTZS,O,X,X,O,O,X,X,X
ILOJSTZ,X,O,X,O,O,X,X,X
ILOJSZT,X,O,X,O,O,X,X,X
ILOJZTS,O,X,X,O,O,X,X,X
ILOJZST,O,X,X,O,O,X,X,X
ILOSTJZ,X,O,X,X,X,X,X,X
ILOSTZJ,X,X,X,X,X,X,X,X
ILOSJTZ,X,O,X,O,X,X,X,X
ILOSJZT,X,O,X,O,X,X,X,X
ILOSZTJ,X,O,X,X,X,X,O,X
ILOSZJT,X,O,X,X,X,X,X,X
ILOZTJS,O,X,X,X,X,X,X,X
ILOZTSJ,X,X,X,X,X,X,X,X
ILOZJTS,O,X,X,O,X,X,X,X
ILOZJST,O,X,X,O,X,X,X,X
ILOZSTJ,O,X,X,X,X,X,X,X
ILOZSJT,O,X,X,X,X,X,X,X
IJTLSZO,X,O,O,X,O,X,X,X
IJTLSOZ,X,O,O,O,O,X,X,X
IJTLZSO,O,X,O,X,O,X,X,X
IJTLZOS,O,X,X,O,O,X,X,X
IJTLOSZ,X,O,X,O,O,X,X,X
IJTLOZS,O,X,X,O,O,X,X,X
IJTSLZO,X,O,O,X,O,X,X,X
IJTSLOZ,X,O,O,O,O,X,X,X
IJTSZLO,X,O,O,X,X,X,X,X
IJTSZOL,X,X,O,X,X,X,X,X
IJTSOLZ,X,O,O,X,X,X,X,X
IJTSOZL,X,X,O,X,X,X,X,X
IJTZLSO,O,X,O,X,O,X,X,X
IJTZLOS,O,X,X,O,O,X,X,X
IJTZSLO,O,X,O,X,X,X,X,X
IJTZSOL,X,X,O,X,X,X,X,X
IJTZOLS,O,X,X,X,X,X,X,X
IJTZOSL,X,X,O,X,X,X,X,X
IJTOLSZ,X,X,X,O,O,X,X,X
IJTOLZS,X,X,X,O,O,X,X,X
IJTOSLZ,X,X,O,X,X,X,X,X
IJTOSZL,X,X,O,X,X,X,X,X
IJTOZLS,X,X,X,X,X,X,X,X
IJTOZSL,X,X,O,X,X,X,X,X
IJLTSZO,X,O,X,X,O,X,X,X
IJLTSOZ,X,O,X,O,O,X,X,X
IJLTZSO,O,X,X,X,O,X,X,X
IJLTZOS,O,X,X,O,O,X,X,X
IJLTOSZ,X,O,X,O,O,X,X,X
IJLTOZS,O,X,X,O,O,X,X,X
IJLSTZO,X,X,O,X,O,X,X,X
IJLSTOZ,X,O,X,X,O,X,X,X
IJLSZTO,X,O,O,X,X,X,X,X
IJLSZOT,X,O,O,X,O,X,X,X
IJLSOTZ,X,O,X,O,O,X,X,X
IJLSOZT,X,O,O,O,O,X,X,X
IJLZTSO,X,X,X,X,O,X,X,X
IJLZTOS,O,X,X,X,O,X,X,X
IJLZSTO,O,X,O,X,X,X,X,X
IJLZSOT,O,X,O,X,O,X,X,X
IJLZOTS,O,X,X,O,O,X,X,X
IJLZOST,O,X,X,O,O,X,X,X
IJLOTSZ,X,O,X,O,O,X,X,X
IJLOTZS,O,X,X,O,O,X,X,X
IJLOSTZ,X,O,X,O,O,X,X,X
IJLOSZT,X,O,X,O,O,X,X,X
IJLOZTS,O,X,X,O,O,X,X,X
IJLOZST,O,X,X,O,O,X,X,X
IJSTLZO,X,X,O,X,X,X,X,X
IJSTLOZ,X,O,O,X,X,X,X,X
IJSTZLO,X,X,O,X,X,X,X,X
IJSTZOL,X,X,O,X,X,X,X,X
IJSTOLZ,X,X,O,X,X,X,X,X
IJSTOZL,X,X,O,X,X,X,X,X
IJSLTZO,X,X,O,X,O,X,X,X
IJSLTOZ,X,O,O,X,O,X,X,X
IJSLZTO,X,O,O,X,X,X,X,X
IJSLZOT,X,O,O,X,O,X,X,X
IJSLOTZ,X,O,X,O,O,X,X,X
IJSLOZT,X,O,O,O,O,X,X,X
IJSZTLO,X,X,O,X,X,X,X,X
IJSZTOL,X,X,X,X,X,X,X,X
IJSZLTO,X,X,O,X,X,X,X,X
IJSZLOT,X,O,O,X,X,X,X,X
IJSZOTL,X,X,X,X,X,X,X,X
IJSZOLT,X,X,O,X,X,X,X,X
IJSOTLZ,X,X,X,X,X,X,X,X
IJSOTZL,X,X,X,X,X,X,X,X
IJSOLTZ,X,O,X,X,X,X,X,X
IJSOLZT,X,O,O,X,X,X,X,X
IJSOZTL,X,X,X,X,X,X,X,X
IJSOZLT,X,X,O,X,X,X,X,X
IJZTLSO,X,X,X,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X,X,X
IJZTSLO,X,X,O,X,X,X,X,X
IJZTSOL,X,X,X,X,X,X,X,X
IJZTOLS,X,X,X,X,X,X,X,X
IJZTOSL,X,X,X,X,X,X,X,X
IJZLTSO,X,X,X,X,O,X,X,X
IJZLTOS,O,X,X,X,O,X,X,X
IJZLSTO,O,X,O,X,X,X,X,X
IJZLSOT,O,X,O,X,O,X,X,X
IJZLOTS,O,X,X,O,O,X,X,X
IJZLOST,O,X,X,O,O,X,X,X
IJZSTLO,X,X,O,X,X,X,X,X
IJZSTOL,X,X,X,X,X,X,X,X
IJZSLTO,X,X,O,X,X,X,X,X
IJZSLOT,O,X,O,X,X,X,X,X
IJZSOTL,X,X,X,X,X,X,X,X
IJZSOLT,X,X,O,X,X,X,X,X
IJZOTLS,X,X,X,X,X,X,X,X
IJZOTSL,X,X,X,X,X,X,X,X
IJZOLTS,O,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X,X
IJZOSTL,X,X,X,X,X,X,X,X
IJZOSLT,X,X,O,X,X,X,X,X
IJOTLSZ,X,X,X,X,X,X,X,X
IJOTLZS,X,X,X,X,X,X,X,X
IJOTSLZ,X,X,X,X,X,X,X,X
IJOTSZL,X,X,X,X,X,X,X,X
IJOTZLS,X,X,X,X,X,X,X,X
IJOTZSL,X,X,X,X,X,X,X,X
IJOLTSZ,X,X,X,O,O,X,X,X
IJOLTZS,X,X,X,O,O,X,X,X
IJOLSTZ,X,X,X,O,O,X,X,X
IJOLSZT,X,X,X,O,O,X,X,X
IJOLZTS,X,X,X,O,O,X,X,X
IJOLZST,X,X,X,O,O,X,X,X
IJOSTLZ,X,X,X,X,X,X,X,X
IJOSTZL,X,X,X,X,X,X,X,X
IJOSLTZ,X,X,X,X,X,X,X,X
IJOSLZT,X,X,O,X,X,X,X,X
IJOSZTL,X,X,X,X,X,X,X,X
IJOSZLT,X,X,O,X,X,X,X,X
IJOZTLS,X,X,X,X,X,X,X,X
IJOZTSL,X,X,X,X,X,X,X,X
IJOZLTS,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,X,X,X,X,X
IJOZSTL,X,X,X,X,X,X,X,X
IJOZSLT,X,X,O,X,X,X,X,X
ISTLJZO,X,X,O,X,X,X,X,X
ISTLJOZ,X,O,O,X,X,X,X,X
ISTLZJO,X,X,O,X,X,X,X,X
ISTLZOJ,X,X,O,X,X,X,X,X
ISTLOJZ,X,O,O,X,X,X,X,X
ISTLOZJ,X,X,O,X,X,X,X,X
ISTJLZO,X,X,O,X,X,X,X,X
ISTJLOZ,X,O,O,X,X,X,X,X
ISTJZLO,X,X,O,X,X,X,X,X
ISTJZOL,X,X,O,X,X,X,X,X
ISTJOLZ,X,X,O,X,X,X,X,X
ISTJOZL,X,X,O,X,X,X,X,X
ISTZLJO,X,X,O,X,X,X,X,X
ISTZLOJ,X,X,O,X,X,X,X,X
ISTZJLO,X,X,O,X,X,X,X,X
ISTZJOL,X,X,O,X,X,X,X,X
ISTZOLJ,X,X,O,X,X,X,X,X
ISTZOJL,X,X,O,X,X,X,X,X
ISTOLJZ,X,X,O,X,X,X,X,X
ISTOLZJ,X,X,O,X,X,X,X,X
ISTOJLZ,X,X,O,X,X,X,X,X
ISTOJZL,X,X,O,X,X,O,X,X
ISTOZLJ,X,X,O,X,X,O,X,X
ISTOZJL,X,X,O,X,X,O,X,X
