sequence,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEOhB8hBCeBT?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEmcBfjB6jBT?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEicBGeB3hBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEicBzdB+jB3?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEOhB8hBfjB6?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEKhBzcBGeBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhE2hBSjB3hBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhE2hBCeBTjB3?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEyhBGeBUjBT?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhECeBTjBXmB8?mBOrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzdB+jBXmBl?mBirB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEGeBUjBXmBl?mBirB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzcBGeB/mBU?jBdrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzcBSjB/mBU?jBdrB
TLOSZIJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLOSZJI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TLOZISJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZJIS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TLOZJSI,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZSJI,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILSZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJILSOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJILZSO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJILZOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJILOSZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TJISLZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TJISLOZ,X,O,X,O,X,X,O,X,X,X,O,X,X,X
TJISZLO,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJISZOL,X,X,O,O,O,X,X,X,X,X,O,X,X,X
TJISOLZ,X,O,X,O,X,X,X,O,X,X,O,X,X,X
TJISOZL,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TJIZLSO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TJIZLOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJIZSLO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TJIZSOL,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TJIZOLS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TJIZOSL,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,O,X,O,X,X,O,O,X,X,X,X,X,X
TJIOLZS,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TJIOSLZ,X,O,X,O,X,X,X,O,X,X,O,X,X,X
TJIOSZL,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TJIOZLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIOZSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJLISOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJLIZSO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLIZOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLIOSZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TJLSIZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJLSIOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJLSZIO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJLSZOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TJLSOZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLZISO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLZIOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLZSIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLZSOI,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLZOIS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLZOSI,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLOISZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TJLOSIZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJLOSZI,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TJSILZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TJSILOZ,X,O,X,O,X,X,O,X,X,X,O,X,X,X
TJSIZLO,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJSIZOL,X,X,O,O,O,X,X,X,X,X,O,X,X,X
TJSIOLZ,X,O,X,O,X,X,X,O,X,X,O,X,X,X
TJSIOZL,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TJSLIZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TJSLIOZ,X,O,X,O,X,X,O,X,X,X,O,X,X,X
TJSLZIO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TJSLZOI,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TJSLOIZ,X,O,X,O,X,X,O,X,X,X,O,X,X,X
TJSLOZI,X,O,X,O,X,X,O,X,X,X,O,X,X,X
TJSZILO,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJSZIOL,X,X,O,O,O,X,X,X,X,X,O,X,X,X
TJSZLIO,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJSZLOI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJSZOIL,X,X,O,O,O,X,X,X,X,X,O,X,X,X
TJSZOLI,X,X,O,O,O,X,X,X,X,X,O,X,X,X
