sequence,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEWhBxcBzfBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBGdB0fBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBGdBigBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBciBzfBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhEzbBCdB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBzbBuhBc?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBuhBciBi?gBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBRcBciBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBWiB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEegBCcBxhBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhECcB0fBxhBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem7IvhESiBxfB0fBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jey/IvhEzbBWiB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhETdB0fBfnBm?lB6rB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEciBzfB5mBf?rBmrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEXgBxhBCiB8?rBmqB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhExcB0fBzmBf?mBCsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhESiB0fBzmBm?lBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhElcBzfBurBf?rBcsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhExcBzfBurBf?rBFsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBzfBurBc?sBFrB
TLIZOSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLIOJZS,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJISOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJIZSO,O,O,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLJIOZS,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLJSIZO,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
