sequence,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBzlB?shBXcBCXB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBXmB?8gBzcBCXB,,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBzlB?shBXcBKVB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBXmB?8gBzcBKVB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBzlB?shBKVBPWB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhDshByqB?3gBTVB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhFJlBqlB?ThBMeBlnBPnB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhDZQBMmB?PdBTlB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhDMmBPdB?TlBqbB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEMeBJlB?zlBvhByaB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEMeBJlB?TVBXmBChB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8JeJFJvhEzlBshB?+oB3VBiQB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8JepDJvhEaoBUiB?/lBubBTVB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhDMmBPdB?TlBKVB
IZTOLSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IZTOJLS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IZTOJSL,O,X,,O,X,X,X,X,O,X,X,X,O,X,X
IZTOSLJ,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
IZTOSJL,O,X,,O,X,X,X,X,O,X,X,X,O,O,X
IZLTJSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
IZLTJOS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IZLTSJO,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
IZLTSOJ,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
IZLTOJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IZLJTSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
IZLJTOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IZLJSTO,X,X,,X,O,O,X,X,X,X,X,X,O,O,X
IZLJSOT,X,X,,O,O,O,O,O,O,X,O,X,O,O,O
IZLJOTS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IZLJOST,O,X,,O,X,O,O,O,O,X,O,X,O,O,O
IZLSTJO,X,X,,X,O,O,X,X,X,X,X,X,O,O,X
IZLSTOJ,X,X,,X,O,O,X,X,X,X,X,X,O,O,X
IZLSJTO,X,X,,X,O,O,X,X,X,X,X,X,O,O,X
IZLSJOT,X,X,,O,O,O,O,X,O,X,X,X,O,O,O
IZLSOTJ,X,X,,O,O,O,X,X,X,X,X,X,O,O,X
IZLSOJT,X,X,,O,O,O,O,X,O,X,X,X,O,O,O
IZLOTJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IZLOJTS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IZLOJST,O,X,,O,X,O,O,O,O,X,O,X,O,O,O
IZLOSTJ,O,X,,O,X,O,X,X,X,X,X,X,O,O,X
IZLOSJT,O,X,,O,X,O,O,O,O,X,O,X,O,O,O
IZJTLSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
IZJTLOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IZJTSLO,X,X,,X,X,X,X,X,X,X,X,O,O,X,X
IZJTSOL,X,X,,X,X,X,X,X,O,X,X,O,O,X,X
IZJTOLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IZJTOSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
IZJLTSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
IZJLTOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IZJLSTO,X,X,,X,O,O,X,X,X,X,X,O,O,O,X
IZJLSOT,X,X,,O,O,O,O,O,O,X,O,O,O,O,O
IZJLOTS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IZJLOST,O,X,,O,X,O,O,O,O,X,O,O,O,O,O
IZJSTLO,X,O,,X,O,X,X,X,X,X,X,O,O,O,X
IZJSTOL,X,O,,X,O,X,X,X,O,X,X,O,O,O,X
IZJSLTO,X,O,,X,O,O,X,X,X,X,X,O,O,O,X
IZJSLOT,X,O,,O,O,O,X,O,O,X,O,O,O,O,O
IZJSOTL,O,O,,O,O,X,X,X,O,X,O,O,O,O,X
IZJSOLT,O,O,,O,O,O,X,X,O,O,O,O,O,O,O
IZJOTLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IZJOTSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
IZJOLTS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IZJOLST,O,X,,O,X,O,O,O,O,O,O,O,O,O,O
IZJOSTL,O,X,,O,X,X,X,X,O,X,O,O,O,O,X
IZJOSLT,O,X,,O,X,O,X,X,O,O,O,O,O,O,O
IZSTLJO,X,O,,X,O,X,X,X,X,X,X,X,O,O,X
IZSTLOJ,X,O,,X,O,X,X,X,X,X,X,X,O,O,X
IZSTJLO,X,O,,X,O,X,X,X,X,X,X,X,O,O,X
IZSTJOL,X,O,,X,O,X,X,X,O,X,X,X,O,O,X
IZSTOLJ,X,O,,X,O,X,X,X,X,X,X,X,O,O,X
IZSTOJL,X,O,,X,O,X,X,X,O,X,X,X,O,O,X
IZSLTJO,X,O,,X,O,O,X,X,X,X,X,X,O,O,X
IZSLTOJ,X,O,,X,O,O,X,X,X,X,X,X,O,O,X
IZSLJTO,X,O,,X,O,O,X,X,X,X,X,O,O,O,X
IZSLJOT,X,O,,O,O,O,X,X,O,X,X,O,O,O,O
IZSLOTJ,X,O,,O,O,O,X,X,X,X,X,X,O,O,X
IZSLOJT,X,O,,O,O,O,X,X,O,X,X,O,O,O,O
IZSJTLO,X,O,,X,O,X,X,X,X,X,X,O,O,O,X
IZSJTOL,X,O,,X,O,X,X,X,O,X,X,O,O,O,X
IZSJLTO,X,O,,X,O,O,X,X,X,X,X,O,O,O,X
IZSJLOT,X,O,,O,O,O,X,X,O,X,X,O,O,O,O
IZSJOTL,O,O,,O,O,X,X,X,O,X,X,O,O,O,X
IZSJOLT,O,O,,O,O,O,X,X,O,O,X,O,O,O,O
IZSOTLJ,O,O,,O,O,X,X,X,X,X,X,X,O,O,X
IZSOTJL,O,O,,O,O,X,X,X,O,X,X,X,O,O,X
IZSOLTJ,O,O,,O,O,O,X,X,X,X,X,X,O,O,X
IZSOLJT,O,O,,O,O,O,X,X,O,O,X,O,O,O,O
IZSOJTL,O,O,,O,O,X,X,X,O,X,X,O,O,O,X
IZSOJLT,O,O,,O,O,O,X,X,O,O,X,O,O,O,O
IZOTLJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IZOTJLS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IZOTJSL,O,X,,O,X,X,X,X,O,X,X,X,O,X,X
IZOTSLJ,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
IZOTSJL,O,X,,O,X,X,X,X,O,X,X,X,O,O,X
IZOLTJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IZOLJTS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IZOLJST,O,X,,O,X,O,O,X,O,O,O,X,O,O,O
IZOLSTJ,O,X,,O,X,O,X,X,X,X,X,X,O,O,X
IZOLSJT,O,X,,O,X,O,O,X,O,O,O,X,O,O,O
IZOJTLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IZOJTSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
IZOJLTS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IZOJLST,O,X,,O,X,O,O,X,O,O,O,O,O,O,O
IZOJSTL,O,X,,O,X,X,X,X,O,X,O,O,O,O,X
IZOJSLT,O,X,,O,X,O,X,X,O,O,O,O,O,O,O
IZOSTLJ,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
IZOSTJL,O,X,,O,X,X,X,X,O,X,X,X,O,O,X
IZOSLTJ,O,X,,O,X,O,X,X,X,X,X,X,O,O,X
IZOSLJT,O,X,,O,X,O,X,X,O,O,O,O,O,O,O
IZOSJTL,O,X,,O,X,X,X,X,O,X,O,O,O,O,X
IZOSJLT,O,X,,O,X,O,X,X,O,O,O,O,O,O,O
IOTLJSZ,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IOTLJZS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IOTLSJZ,X,X,,O,X,O,X,X,X,X,O,X,X,O,X
IOTLSZJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IOTLZJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IOTJLSZ,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IOTJLZS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IOTJSLZ,O,X,,O,X,X,X,X,X,X,O,O,O,X,X
IOTJSZL,O,X,,O,X,X,X,X,X,X,O,O,O,X,X
IOTJZLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IOTJZSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
IOTSLJZ,O,X,,O,X,X,X,X,X,X,O,O,O,O,X
IOTSLZJ,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
IOTSJLZ,O,X,,O,X,X,X,X,X,X,O,O,O,O,X
IOTSJZL,O,X,,O,X,X,X,X,X,X,O,O,O,O,X
IOTSZLJ,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
IOTSZJL,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
IOTZLJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IOTZJLS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IOTZJSL,O,X,,O,X,X,X,X,O,X,X,X,O,X,X
IOTZSLJ,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
IOTZSJL,O,X,,O,X,X,X,X,O,X,X,X,O,O,X
IOLTJSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IOLTJZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IOLTSJZ,X,X,,O,X,O,X,O,X,X,O,X,X,O,X
IOLTSZJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IOLTZJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IOLJTSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IOLJTZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IOLJSTZ,O,X,,O,O,O,X,O,X,X,O,O,O,O,X
IOLJSZT,O,X,,O,O,O,O,O,X,X,O,O,O,O,X
IOLJZTS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IOLJZST,O,X,,O,X,O,O,O,O,X,O,O,O,O,O
IOLSTJZ,O,X,,O,O,O,X,O,X,X,O,O,O,O,X
IOLSTZJ,O,X,,O,O,O,X,X,X,X,X,X,O,O,X
IOLSJTZ,O,X,,O,O,O,X,O,X,X,O,O,O,O,X
IOLSJZT,O,X,,O,O,O,O,O,X,X,O,O,O,O,X
IOLSZTJ,O,X,,O,O,O,X,X,X,X,X,X,O,O,X
IOLSZJT,O,X,,O,O,O,O,O,X,X,O,O,O,O,X
IOLZTJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IOLZJTS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IOLZJST,O,X,,O,X,O,O,O,O,X,O,X,O,O,O
IOLZSTJ,O,X,,O,X,O,X,X,X,X,X,X,O,O,X
IOLZSJT,O,X,,O,X,O,O,O,O,X,O,X,O,O,O
IOJTLSZ,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IOJTLZS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IOJTSLZ,O,X,,O,X,X,X,X,X,X,O,O,O,X,X
IOJTSZL,O,X,,O,X,X,X,X,X,X,O,O,O,X,X
IOJTZLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IOJTZSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
IOJLTSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IOJLTZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IOJLSTZ,O,X,,O,O,O,X,O,X,X,O,O,O,O,X
IOJLSZT,O,X,,O,O,O,O,O,X,X,O,O,O,O,X
IOJLZTS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IOJLZST,O,X,,O,X,O,O,O,O,X,O,O,O,O,O
IOJSTLZ,O,X,,O,O,X,X,X,X,X,O,O,O,O,X
IOJSTZL,O,O,,O,O,X,X,X,X,X,O,O,O,O,X
IOJSLTZ,O,X,,O,O,O,X,O,X,X,O,O,O,O,X
IOJSLZT,O,O,,O,O,O,X,O,X,X,O,O,O,O,X
IOJSZTL,O,O,,O,O,X,X,X,O,X,O,O,O,O,X
IOJSZLT,O,O,,O,O,O,X,X,O,X,O,O,O,O,X
IOJZTLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IOJZTSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
IOJZLTS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
IOJZLST,O,X,,O,X,O,O,O,O,O,O,O,O,O,O
IOJZSTL,O,X,,O,X,X,X,X,O,X,O,O,O,O,X
IOJZSLT,O,X,,O,X,O,X,X,O,O,O,O,O,O,O
IOSTLJZ,O,X,,O,O,X,X,X,X,X,O,O,O,O,X
IOSTLZJ,O,X,,O,O,X,X,X,X,X,X,X,O,O,X
IOSTJLZ,O,X,,O,O,X,X,X,X,X,O,O,O,O,X
IOSTJZL,O,O,,O,O,X,X,X,X,X,O,O,O,O,X
IOSTZLJ,O,O,,O,O,X,X,X,X,X,X,X,O,O,X
IOSTZJL,O,O,,O,O,X,X,X,X,X,X,X,O,O,X
IOSLTJZ,O,X,,O,O,O,X,O,X,X,O,O,O,O,X
IOSLTZJ,O,X,,O,O,O,X,X,X,X,X,X,O,O,X
IOSLJTZ,O,X,,O,O,O,X,O,X,X,O,O,O,O,X
IOSLJZT,O,O,,O,O,O,X,O,X,X,O,O,O,O,X
IOSLZTJ,O,O,,O,O,O,X,X,X,X,X,X,O,O,X
IOSLZJT,O,O,,O,O,O,X,O,X,X,O,O,O,O,X
IOSJTLZ,O,X,,O,O,X,X,X,X,X,O,O,O,O,X
IOSJTZL,O,O,,O,O,X,X,X,X,X,O,O,O,O,X
IOSJLTZ,O,X,,O,O,O,X,O,X,X,O,O,O,O,X
IOSJLZT,O,O,,O,O,O,X,O,X,X,O,O,O,O,X
IOSJZTL,O,O,,O,O,X,X,X,O,X,O,O,O,O,X
IOSJZLT,O,O,,O,O,O,X,X,O,X,O,O,O,O,X
IOSZTLJ,O,O,,O,O,X,X,X,X,X,X,X,O,O,X
IOSZTJL,O,O,,O,O,X,X,X,O,X,X,X,O,O,X
IOSZLTJ,O,O,,O,O,O,X,X,X,X,X,X,O,O,X
IOSZLJT,O,O,,O,O,O,X,X,O,X,O,O,O,O,X
IOSZJTL,O,O,,O,O,X,X,X,O,X,O,O,O,O,X
IOSZJLT,O,O,,O,O,O,X,X,O,X,O,O,O,O,X
IOZTLJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IOZTJLS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IOZTJSL,O,X,,O,X,X,X,X,O,X,X,X,O,X,X
IOZTSLJ,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
IOZTSJL,O,X,,O,X,X,X,X,O,X,X,X,O,O,X
IOZLTJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
IOZLJTS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IOZLJST,O,X,,O,X,O,O,X,O,O,O,X,O,O,O
IOZLSTJ,O,X,,O,X,O,X,X,X,X,X,X,O,O,X
IOZLSJT,O,X,,O,X,O,O,X,O,O,O,X,O,O,O
IOZJTLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IOZJTSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
IOZJLTS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
IOZJLST,O,X,,O,X,O,O,X,O,O,O,O,O,O,O
IOZJSTL,O,X,,O,X,X,X,X,O,X,O,O,O,O,X
IOZJSLT,O,X,,O,X,O,X,X,O,O,O,O,O,O,O
IOZSTLJ,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
IOZSTJL,O,X,,O,X,X,X,X,O,X,X,X,O,O,X
IOZSLTJ,O,X,,O,X,O,X,X,X,X,X,X,O,O,X
IOZSLJT,O,X,,O,X,O,X,X,O,O,O,O,O,O,O
IOZSJTL,O,X,,O,X,X,X,X,O,X,O,O,O,O,X
IOZSJLT,O,X,,O,X,O,X,X,O,O,O,O,O,O,O
LTIJSZO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
LTIJZSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
LTIJZOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTIJOSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTIJOZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTISJZO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTISJOZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTISZJO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTISZOJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTISOJZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTISOZJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTIZJSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
LTIZJOS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
LTIZSJO,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
LTIZSOJ,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
LTIZOJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
LTIZOSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
LTIOJSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTIOJZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTIOSJZ,X,X,,O,X,O,X,O,X,X,O,X,X,O,X
LTIOSZJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
LTIOZJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
LTJISZO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
LTJISOZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
LTJIZSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
LTJIZOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTJIOSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTJIOZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTJSIZO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
LTJSIOZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
LTJSZIO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,,X,O,X,O,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
LTJSOZI,X,X,,X,O,X,O,X,X,X,X,X,X,X,X
LTJZISO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
LTJZIOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTJZSIO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,,X,X,X,O,X,X,X,X,X,X,X,O
LTJZOIS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTJZOSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
LTJOISZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTJOIZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTJOSIZ,X,X,,O,X,O,X,O,X,X,X,X,X,X,X
LTJOSZI,X,X,,O,X,X,O,X,X,X,X,X,X,X,X
LTJOZIS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTJOZSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
LTSIJZO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSIJOZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSIZJO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSIZOJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSIOJZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSIOZJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSJIZO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSJIOZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSJZIO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSJZOI,X,X,,X,O,X,O,X,X,X,X,X,X,O,X
LTSJOIZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSJOZI,X,X,,X,O,X,O,X,X,X,X,X,X,O,X
LTSZIJO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSZIOJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSZJIO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSZJOI,X,X,,X,O,X,O,X,X,X,X,X,X,O,X
LTSZOIJ,X,X,,X,O,X,X,X,X,X,X,X,X,O,X
LTSZOJI,X,X,,X,O,X,O,X,X,X,X,X,X,O,X
LTSOIJZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSOIZJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSOJIZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LTSOJZI,X,X,,X,O,X,O,X,X,X,X,X,X,O,X
LTSOZIJ,X,X,,X,O,X,X,X,X,X,X,X,X,O,X
LTSOZJI,X,X,,X,O,X,O,X,X,X,X,X,X,O,X
LTZIJSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
LTZIJOS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
LTZISJO,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
LTZISOJ,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
LTZIOJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
LTZIOSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
LTZJISO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
LTZJIOS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
LTZJSIO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
LTZJSOI,X,X,,X,X,X,O,X,X,X,X,X,X,X,O
LTZJOIS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
LTZJOSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
LTZSIJO,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
LTZSIOJ,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
LTZSJIO,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
LTZSJOI,X,X,,X,X,X,O,X,X,X,X,X,X,O,O
LTZSOIJ,X,X,,X,X,X,X,X,X,X,X,X,X,O,X
LTZSOJI,X,X,,X,X,X,O,X,X,X,X,X,X,O,O
LTZOIJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
LTZOISJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
LTZOJIS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
LTZOJSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
LTZOSIJ,X,X,,O,X,X,X,X,X,X,X,X,X,O,X
LTZOSJI,X,X,,O,X,X,O,X,X,X,X,X,X,O,O
LTOIJSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTOIJZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTOISJZ,X,X,,O,X,O,X,O,X,X,O,X,X,O,X
LTOISZJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
LTOIZJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
LTOIZSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
LTOJISZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTOJIZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTOJSIZ,X,X,,O,X,O,X,O,X,X,X,X,X,X,X
LTOJSZI,X,X,,O,X,X,O,X,X,X,X,X,X,X,X
LTOJZIS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LTOJZSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
LTOSIJZ,X,X,,O,X,O,X,O,X,X,X,X,X,O,X
LTOSIZJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
LTOSJIZ,X,X,,O,X,O,X,O,X,X,X,X,X,O,X
LTOSJZI,X,X,,O,X,X,O,X,X,X,X,X,X,O,X
LTOSZIJ,X,X,,O,X,X,X,X,X,X,X,X,X,O,X
LTOSZJI,X,X,,O,X,X,O,X,X,X,X,X,X,O,X
LTOZIJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
LTOZISJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
LTOZJIS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
LTOZJSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
LTOZSIJ,X,X,,O,X,X,X,X,X,X,X,X,X,O,X
LTOZSJI,X,X,,O,X,X,O,X,X,X,X,X,X,O,O
LITJSZO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
LITJSOZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
LITJZSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
LITJZOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LITJOSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LITJOZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
LITSJZO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LITSJOZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LITSZJO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LITSZOJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LITSOJZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LITSOZJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
LITZJSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
LITZJOS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
