sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB
IZLSTJO,X,X,X,X,X,O,X,X,X,X,X
IZLSTOJ,X,X,X,X,O,O,X,O,X,X,X
IZLSJTO,X,X,X,X,X,O,X,O,X,X,X
IZLSJOT,X,O,X,X,O,O,X,O,X,O,X
IZLSOTJ,X,X,X,X,O,O,X,O,X,X,X
IZLSOJT,X,O,X,X,O,O,X,O,X,O,X
IZLOTJS,X,O,O,X,X,X,X,O,X,O,X
IZLOTSJ,X,O,X,X,X,X,X,O,X,X,X
IZLOJTS,X,O,X,X,X,X,X,O,X,O,X
IZLOJST,X,O,O,X,O,X,X,O,X,O,X
IZLOSTJ,X,X,X,X,O,O,X,O,X,X,X
IZLOSJT,X,O,X,X,O,O,X,O,X,O,X
IZJTLSO,X,X,X,O,X,O,X,X,X,X,X
IZJTLOS,X,X,X,O,X,X,X,X,X,O,X
IZJTSLO,O,X,X,O,O,O,X,X,X,X,X
IZJTSOL,O,X,X,O,O,X,X,X,X,X,X
IZJTOLS,X,O,X,O,X,X,X,X,X,O,X
IZJTOSL,O,X,X,O,O,X,X,X,X,X,X
IZJLTSO,X,X,X,X,X,O,X,X,X,X,X
IZJLTOS,X,O,X,X,X,X,X,X,X,O,X
IZJLSTO,X,X,X,X,O,O,X,X,X,X,X
IZJLSOT,X,O,X,X,O,O,X,X,X,O,X
IZJLOTS,X,O,X,X,X,X,X,X,X,O,X
IZJLOST,X,O,X,X,O,O,X,X,X,O,X
IZJSTLO,X,X,X,X,O,O,X,X,X,X,X
IZJSTOL,X,X,X,X,O,X,X,X,X,X,X
IZJSLTO,X,X,X,X,O,O,X,X,X,X,X
IZJSLOT,O,X,X,X,O,O,X,X,X,O,X
IZJSOTL,X,X,X,X,O,X,X,X,X,X,X
IZJSOLT,O,O,X,X,O,O,X,X,X,O,X
IZJOTLS,X,O,X,O,X,X,X,X,X,O,X
IZJOTSL,O,X,X,O,O,X,X,X,X,X,X
IZJOLTS,X,O,X,X,X,X,X,X,X,O,X
IZJOLST,X,O,X,X,O,O,X,X,X,O,X
IZJOSTL,X,X,X,X,O,X,X,X,X,X,X
IZJOSLT,O,O,X,X,O,O,X,X,X,O,X
IZSTLJO,X,X,X,X,X,O,X,X,X,X,X
IZSTLOJ,X,X,X,X,O,O,X,X,X,X,X
IZSTJLO,X,X,X,X,X,X,X,X,X,X,X
IZSTJOL,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,X,X,X,O,X,X,X,X,X,X
IZSTOJL,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,X,X,X,X,X,O,X,X,X,X,X
IZSLTOJ,X,X,X,X,O,O,X,X,X,X,X
IZSLJTO,X,X,X,X,X,O,X,X,X,X,X
IZSLJOT,O,X,X,X,O,O,X,X,X,O,X
IZSLOTJ,X,X,X,X,O,O,X,X,X,X,X
IZSLOJT,O,X,X,X,O,O,X,X,X,O,X
IZSJTLO,X,X,X,X,O,O,X,X,X,X,X
IZSJTOL,X,X,X,X,O,X,X,X,X,X,X
IZSJLTO,X,X,X,X,O,O,X,X,X,X,X
IZSJLOT,O,X,X,X,O,O,X,X,X,O,X
IZSJOTL,X,X,X,X,O,X,X,X,X,X,X
IZSJOLT,O,O,X,X,O,O,X,X,X,O,X
IZSOTLJ,X,X,X,X,O,X,X,X,X,X,X
IZSOTJL,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,O,O,X,X,X,X,X
IZSOLJT,O,X,X,X,O,O,X,X,X,O,X
IZSOJTL,X,X,X,X,O,X,X,X,X,X,X
IZSOJLT,O,O,X,X,O,X,X,X,X,O,X
IZOTLJS,X,O,X,O,X,X,X,X,X,O,X
IZOTLSJ,X,O,X,O,X,X,X,X,X,X,X
IZOTJLS,X,O,X,O,X,X,X,X,X,O,X
IZOTJSL,O,O,X,O,O,X,X,X,X,X,X
IZOTSLJ,O,X,X,O,O,X,X,X,X,X,X
IZOTSJL,O,O,X,O,X,X,X,X,X,X,X
IZOLTJS,X,O,O,X,X,X,X,O,X,O,X
IZOLTSJ,X,O,X,X,X,X,X,O,X,X,X
IZOLJTS,X,O,X,X,X,X,X,O,X,O,X
IZOLJST,X,O,O,X,O,X,X,O,X,O,X
IZOLSTJ,X,X,X,X,O,O,X,O,X,X,X
IZOLSJT,X,O,X,X,O,O,X,O,X,O,X
IZOJTLS,X,O,X,O,X,X,X,X,X,O,X
IZOJTSL,O,X,X,O,O,X,X,X,X,X,X
IZOJLTS,X,O,X,X,X,X,X,X,X,O,X
IZOJLST,X,O,X,X,O,O,X,X,X,O,X
IZOJSTL,X,X,X,X,O,X,X,X,X,X,X
IZOJSLT,O,O,X,X,O,O,X,X,X,O,X
IZOSTLJ,X,X,X,X,O,X,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,O,O,X,X,X,X,X
IZOSLJT,O,X,X,X,O,O,X,X,X,O,X
IZOSJTL,X,X,X,X,O,X,X,X,X,X,X
IZOSJLT,O,O,X,X,O,X,X,X,X,O,X
IOTLJSZ,O,X,O,X,X,X,X,X,X,X,X
IOTLJZS,X,O,O,O,X,X,X,O,X,X,X
IOTLSJZ,O,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X,X,X,X
IOTLZJS,X,O,O,O,X,X,X,O,X,X,X
IOTLZSJ,X,O,X,O,X,X,X,O,X,X,X
IOTJLSZ,O,X,O,X,X,X,X,X,X,X,X
IOTJLZS,X,X,O,O,X,X,X,X,X,X,X
IOTJSLZ,O,X,X,X,X,X,X,X,X,X,X
IOTJSZL,O,X,X,O,X,X,X,X,X,X,X
IOTJZLS,X,O,X,O,X,X,X,X,O,O,X
IOTJZSL,O,O,X,O,O,X,X,X,O,X,X
IOTSLJZ,O,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,O,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,O,X,X,X,X,X,X,X
IOTSZJL,O,O,X,O,X,X,X,X,X,X,X
IOTZLJS,X,O,X,O,X,X,X,X,O,O,X
IOTZLSJ,X,O,X,O,X,X,X,X,O,X,X
IOTZJLS,X,O,X,O,X,X,X,X,O,O,X
IOTZJSL,O,O,X,O,O,X,X,X,O,X,X
IOTZSLJ,O,X,X,O,O,X,X,X,X,X,X
IOTZSJL,O,O,X,O,X,X,X,X,O,X,X
IOLTJSZ,O,X,O,X,X,X,X,X,X,X,X
IOLTJZS,X,O,O,O,X,X,X,O,X,X,X
IOLTSJZ,O,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,X,X,X,X
IOLTZJS,X,O,O,O,X,X,X,O,X,X,X
IOLTZSJ,X,O,X,O,X,X,X,O,X,X,X
IOLJTSZ,O,X,O,X,X,X,X,X,X,X,X
IOLJTZS,X,O,O,O,X,X,X,O,X,X,X
IOLJSTZ,O,X,O,X,X,X,X,X,X,X,X
IOLJSZT,O,X,O,X,X,X,O,O,X,X,X
IOLJZTS,X,O,X,X,X,X,X,O,X,O,X
IOLJZST,X,O,O,X,O,O,O,O,X,O,X
IOLSTJZ,O,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,X,O,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,X,O,X,X,X,X,X,X,X,X
IOLSJZT,O,X,O,X,X,X,O,O,X,X,X
IOLSZTJ,X,X,X,X,X,X,O,O,X,X,X
IOLSZJT,O,O,X,X,X,X,O,O,X,X,X
IOLZTJS,X,O,O,X,X,X,X,O,X,O,X
IOLZTSJ,X,O,X,X,X,X,X,O,X,X,X
IOLZJTS,X,O,X,X,X,X,X,O,X,O,X
IOLZJST,X,O,O,X,O,X,O,O,X,O,X
IOLZSTJ,X,X,X,X,O,O,O,O,X,X,X
IOLZSJT,X,O,X,X,O,O,O,O,X,O,X
IOJTLSZ,O,X,X,X,X,X,X,X,X,X,X
IOJTLZS,X,X,X,O,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,X,X,O,X,X,X,X,X,X,X
IOJTZLS,X,O,X,O,X,X,X,X,O,O,X
IOJTZSL,O,O,X,O,O,X,X,X,O,X,X
IOJLTSZ,O,X,O,X,X,X,X,X,X,X,X
IOJLTZS,X,O,O,O,X,X,X,O,X,X,X
IOJLSTZ,O,X,O,X,X,X,X,X,X,X,X
IOJLSZT,O,X,O,X,X,X,O,O,X,X,X
IOJLZTS,X,O,X,X,X,X,X,O,X,O,X
IOJLZST,X,O,O,X,O,O,O,O,X,O,X
IOJSTLZ,O,X,X,X,X,X,X,X,X,X,X
IOJSTZL,O,X,X,O,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,X,O,X,X,X,X,X,X
IOJSZLT,O,X,X,X,O,X,X,X,X,O,X
IOJZTLS,X,O,X,O,X,X,X,X,X,O,X
IOJZTSL,O,X,X,O,O,X,X,X,X,X,X
IOJZLTS,X,O,X,X,X,X,X,X,X,O,X
IOJZLST,X,O,X,X,O,O,X,X,X,O,X
IOJZSTL,X,X,X,X,O,X,X,X,X,X,X
IOJZSLT,O,O,X,X,O,O,X,X,X,O,X
IOSTLJZ,O,X,X,X,X,X,X,X,X,X,O
IOSTLZJ,O,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,X,X,X,X,X,X,X,O
IOSTJZL,O,X,X,O,X,X,X,X,X,X,O
IOSTZLJ,O,X,X,O,X,X,X,X,X,X,X
IOSTZJL,O,O,X,O,X,X,X,X,X,X,O
IOSLTJZ,O,X,O,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,X,O,X,X,X,X,X,X,X,X
IOSLJZT,O,X,O,X,X,X,X,O,X,X,X
IOSLZTJ,X,X,X,X,X,X,X,O,X,X,X
IOSLZJT,O,O,X,X,X,X,X,O,X,X,X
IOSJTLZ,O,X,X,X,X,X,X,X,X,X,X
IOSJTZL,O,X,X,O,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,X,X,O,X,X,X,X,X,X
IOSJZLT,O,X,X,X,O,X,X,X,X,O,X
IOSZTLJ,X,X,X,X,O,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,O,X,X,X,X,X,X
IOSZLJT,O,X,X,X,O,X,X,X,X,O,X
IOSZJTL,X,X,X,X,O,X,X,X,X,X,X
IOSZJLT,O,O,X,X,O,X,X,X,X,O,X
IOZTLJS,X,O,X,O,X,X,X,X,X,O,X
IOZTLSJ,X,O,X,O,X,X,X,X,X,X,X
IOZTJLS,X,O,X,O,X,X,X,X,X,O,X
IOZTJSL,O,O,X,O,O,X,X,X,X,X,X
IOZTSLJ,O,X,X,O,O,X,X,X,X,X,X
IOZTSJL,O,O,X,O,X,X,X,X,X,X,X
IOZLTJS,X,O,O,X,X,X,X,O,X,O,X
IOZLTSJ,X,O,X,X,X,X,X,O,X,X,X
IOZLJTS,X,O,X,X,X,X,X,O,X,O,X
IOZLJST,X,O,O,X,O,X,X,O,X,O,X
IOZLSTJ,X,X,X,X,O,O,X,O,X,X,X
IOZLSJT,X,O,X,X,O,O,X,O,X,O,X
IOZJTLS,X,O,X,O,X,X,X,X,X,O,X
IOZJTSL,O,X,X,O,O,X,X,X,X,X,X
IOZJLTS,X,O,X,X,X,X,X,X,X,O,X
IOZJLST,X,O,X,X,O,O,X,X,X,O,X
IOZJSTL,X,X,X,X,O,X,X,X,X,X,X
IOZJSLT,O,O,X,X,O,O,X,X,X,O,X
IOZSTLJ,X,X,X,X,O,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,O,O,X,X,X,X,X
IOZSLJT,O,X,X,X,O,O,X,X,X,O,X
IOZSJTL,X,X,X,X,O,X,X,X,X,X,X
IOZSJLT,O,O,X,X,O,X,X,X,X,O,X
LTIJSZO,O,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,O,X,X,X,X,X,X,X,X
LTIJZSO,X,O,X,X,X,O,X,O,X,X,X
LTIJZOS,X,O,O,X,X,X,X,O,X,X,X
LTIJOSZ,O,X,O,X,X,X,X,X,X,X,X
LTIJOZS,X,O,O,X,X,X,X,O,X,X,X
LTISJZO,O,X,X,X,X,X,X,X,X,X,X
LTISJOZ,O,X,O,X,X,X,X,X,X,X,X
LTISZJO,O,O,X,X,X,X,X,X,X,X,X
LTISZOJ,O,O,X,X,X,X,X,X,X,X,X
LTISOJZ,O,X,O,X,X,X,X,X,X,X,X
LTISOZJ,O,O,X,X,X,X,X,X,X,X,X
LTIZJSO,X,O,X,X,X,X,X,O,X,X,X
LTIZJOS,X,O,O,X,X,X,X,O,X,X,X
LTIZSJO,X,O,X,X,X,O,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,O,X,O,X,X,X
LTIZOJS,X,O,O,X,X,X,X,O,X,X,X
LTIZOSJ,X,O,X,X,X,X,X,O,X,X,X
LTIOJSZ,O,X,O,X,X,X,X,X,X,X,X
LTIOJZS,X,O,O,X,X,X,X,O,X,X,X
LTIOSJZ,O,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,O,O,X,X,X,X,X,X,X,X,X
LTIOZJS,X,O,O,X,X,X,X,O,X,X,X
LTIOZSJ,X,O,X,X,X,X,X,O,X,X,X
LTJISZO,O,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,X,O,X,X,X,X,X,X,X,X
LTJIZSO,X,O,X,X,X,O,X,O,X,X,X
LTJIZOS,X,O,O,X,X,X,X,O,X,X,X
LTJIOSZ,O,X,O,X,X,X,X,X,X,X,X
LTJIOZS,X,O,O,X,X,X,X,O,X,X,X
LTJSIZO,O,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,O,X,X,X,X,X,X,X,X
LTJSZIO,O,X,X,X,X,X,O,X,X,X,X
LTJSZOI,O,X,X,X,X,X,O,X,X,X,X
LTJSOIZ,O,X,O,X,X,X,X,X,X,X,X
LTJSOZI,O,X,O,X,X,X,O,X,X,X,X
LTJZISO,X,O,X,X,X,O,X,O,O,X,X
LTJZIOS,X,O,O,X,X,X,X,O,O,X,X
LTJZSIO,X,O,X,X,X,O,O,O,O,X,X
LTJZSOI,X,O,X,X,X,O,O,O,O,X,X
LTJZOIS,X,O,O,X,X,X,X,O,O,X,X
LTJZOSI,X,O,O,X,X,X,O,O,O,X,X
LTJOISZ,O,X,O,X,X,X,X,X,X,X,X
LTJOIZS,X,O,O,X,X,X,X,O,X,X,X
LTJOSIZ,O,X,O,X,X,X,X,X,X,X,X
LTJOSZI,O,X,O,X,X,X,O,X,X,X,X
LTJOZIS,X,O,O,X,X,X,X,O,O,X,X
LTJOZSI,X,O,O,X,X,X,O,O,O,X,X
LTSIJZO,O,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,X,O,X,X,X,X,X,X,X,X
LTSIZJO,O,O,X,X,X,X,X,X,X,X,X
LTSIZOJ,O,O,X,X,X,X,X,X,X,X,X
LTSIOJZ,O,X,O,X,X,X,X,X,X,X,X
LTSIOZJ,O,O,X,X,X,X,X,X,X,X,X
LTSJIZO,O,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,O,X,X,X,X,X,X,X,X
LTSJZIO,O,X,X,X,X,X,O,X,X,X,X
LTSJZOI,O,X,X,X,X,X,O,X,X,X,X
LTSJOIZ,O,X,O,X,X,X,X,X,X,X,X
LTSJOZI,O,X,O,X,X,X,O,X,X,X,X
LTSZIJO,O,O,X,X,X,X,O,X,X,X,X
LTSZIOJ,O,O,X,X,X,X,O,X,X,X,X
LTSZJIO,O,O,X,X,X,X,O,X,X,X,X
LTSZJOI,O,O,X,X,X,X,O,X,X,X,X
LTSZOIJ,O,O,X,X,X,X,O,X,X,X,X
LTSZOJI,O,O,X,X,X,X,O,X,X,X,X
LTSOIJZ,O,X,O,X,X,X,X,X,X,X,X
LTSOIZJ,O,O,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,X,O,X,X,X,X,X,X,X,X
LTSOJZI,O,X,O,X,X,X,O,X,X,X,X
LTSOZIJ,O,O,X,X,X,X,O,X,X,X,X
LTSOZJI,O,O,X,X,X,X,O,X,X,X,X
LTZIJSO,X,O,X,X,X,X,X,O,O,X,X
LTZIJOS,X,O,O,X,X,X,X,O,O,X,X
LTZISJO,X,O,X,X,X,O,X,X,O,X,X
LTZISOJ,X,O,X,X,X,O,X,O,O,X,X
LTZIOJS,X,O,O,X,X,X,X,O,O,X,X
LTZIOSJ,X,O,X,X,X,X,X,O,O,X,X
LTZJISO,X,O,X,X,X,X,X,O,O,X,X
LTZJIOS,X,O,O,X,X,X,X,O,O,X,X
LTZJSIO,X,O,X,X,X,X,O,O,O,X,X
LTZJSOI,X,O,X,X,X,X,O,O,O,X,X
LTZJOIS,X,O,O,X,X,X,X,O,O,X,X
LTZJOSI,X,O,O,X,X,X,O,O,O,X,X
LTZSIJO,X,O,X,X,X,O,O,X,O,X,X
LTZSIOJ,X,O,X,X,X,O,O,O,O,X,X
LTZSJIO,X,O,X,X,X,O,O,X,O,X,X
LTZSJOI,X,O,X,X,X,O,O,X,O,X,X
LTZSOIJ,X,O,X,X,X,O,O,O,O,X,X
LTZSOJI,X,O,X,X,X,O,O,X,O,X,X
LTZOIJS,X,O,O,X,X,X,X,O,O,X,X
LTZOISJ,X,O,X,X,X,X,X,O,O,X,X
LTZOJIS,X,O,O,X,X,X,X,O,O,X,X
LTZOJSI,X,O,O,X,X,X,O,O,O,X,X
LTZOSIJ,X,O,X,X,X,X,O,O,O,X,X
LTZOSJI,X,O,X,X,X,X,O,X,O,X,X
LTOIJSZ,O,X,O,X,X,X,X,X,X,X,X
LTOIJZS,X,O,O,X,X,X,X,O,X,X,X
LTOISJZ,O,X,O,X,X,X,X,X,X,X,X
LTOISZJ,O,O,X,X,X,X,X,X,X,X,X
LTOIZJS,X,O,O,X,X,X,X,O,X,X,X
LTOIZSJ,X,O,X,X,X,X,X,O,X,X,X
LTOJISZ,O,X,O,X,X,X,X,X,X,X,X
LTOJIZS,X,O,O,X,X,X,X,O,X,X,X
LTOJSIZ,O,X,O,X,X,X,X,X,X,X,X
LTOJSZI,O,X,O,X,X,X,O,X,X,X,X
LTOJZIS,X,O,O,X,X,X,X,O,O,X,X
LTOJZSI,X,O,O,X,X,X,O,O,O,X,X
LTOSIJZ,O,X,O,X,X,X,X,X,X,X,X
LTOSIZJ,O,O,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,X,O,X,X,X,X,X,X,X,X
LTOSJZI,O,X,O,X,X,X,O,X,X,X,X
LTOSZIJ,O,O,X,X,X,X,O,X,X,X,X
LTOSZJI,O,O,X,X,X,X,O,X,X,X,X
LTOZIJS,X,O,O,X,X,X,X,O,O,X,X
LTOZISJ,X,O,X,X,X,X,X,O,O,X,X
LTOZJIS,X,O,O,X,X,X,X,O,O,X,X
LTOZJSI,X,O,O,X,X,X,O,O,O,X,X
LTOZSIJ,X,O,X,X,X,X,O,O,O,X,X
LTOZSJI,X,O,X,X,X,X,O,X,O,X,X
LITJSZO,O,X,X,X,X,X,X,X,X,X,X
LITJSOZ,O,X,O,X,X,X,X,X,X,X,X
LITJZSO,X,O,X,O,X,O,X,O,X,X,X
LITJZOS,X,O,O,O,X,X,X,O,X,X,X
LITJOSZ,O,X,O,X,X,X,X,X,X,X,X
LITJOZS,X,O,O,O,X,X,X,O,X,X,X
LITSJZO,O,X,X,X,X,X,X,X,X,X,X
LITSJOZ,O,X,O,X,X,X,X,X,X,X,X
LITSZJO,O,O,X,X,X,X,X,X,X,X,X
LITSZOJ,O,O,X,X,X,X,X,X,X,X,X
LITSOJZ,O,X,O,X,X,X,X,X,X,X,X
LITSOZJ,O,O,X,X,X,X,X,X,X,X,X
LITZJSO,X,O,X,O,X,X,X,O,X,X,X
LITZJOS,X,O,O,O,X,X,X,O,X,X,X
LITZSJO,X,O,X,O,X,O,X,X,X,X,X
LITZSOJ,X,O,X,O,X,O,X,O,X,X,X
LITZOJS,X,O,O,O,X,X,X,O,X,X,X
LITZOSJ,X,O,X,O,X,X,X,O,X,X,X
LITOJSZ,O,X,O,X,X,X,X,X,X,X,X
LITOJZS,X,O,O,O,X,X,X,O,X,X,X
LITOSJZ,O,X,O,X,X,X,X,X,X,X,X
LITOSZJ,O,O,X,X,X,X,X,X,X,X,X
LITOZJS,X,O,O,O,X,X,X,O,X,X,X
LITOZSJ,X,O,X,O,X,X,X,O,X,X,X
LIJTSZO,O,X,X,X,X,X,X,X,X,X,X
LIJTSOZ,O,X,O,X,X,X,X,X,X,X,X
LIJTZSO,X,O,X,O,X,O,X,O,X,X,X
LIJTZOS,X,O,O,O,X,X,X,O,X,X,X
LIJTOSZ,O,X,O,X,X,X,X,X,X,X,X
LIJTOZS,X,O,O,O,X,X,X,O,X,X,X
LIJSTZO,X,X,X,X,X,X,X,X,X,X,X
LIJSTOZ,O,X,X,X,X,X,X,X,X,X,X
LIJSZTO,X,X,X,X,X,O,O,O,X,X,X
LIJSZOT,O,X,X,X,X,O,O,O,X,X,X
LIJSOTZ,O,X,O,X,X,X,X,X,X,X,X
LIJSOZT,O,X,O,X,X,X,O,O,X,X,X
LIJZTSO,X,X,X,X,X,O,X,O,X,X,X
LIJZTOS,X,O,X,X,X,X,X,O,X,O,X
LIJZSTO,X,X,X,X,O,O,O,O,X,X,X
LIJZSOT,X,O,X,X,O,O,O,O,X,O,X
LIJZOTS,X,O,X,X,X,X,X,O,X,O,X
LIJZOST,X,O,O,X,O,O,O,O,X,O,X
LIJOTSZ,O,X,O,X,X,X,X,X,X,X,X
LIJOTZS,X,O,O,O,X,X,X,O,X,X,X
LIJOSTZ,O,X,O,X,X,X,X,X,X,X,X
LIJOSZT,O,X,O,X,X,X,O,O,X,X,X
LIJOZTS,X,O,X,X,X,X,X,O,X,O,X
LIJOZST,X,O,O,X,O,O,O,O,X,O,X
LISTJZO,X,X,X,X,X,X,X,X,X,X,X
LISTJOZ,O,X,O,X,X,X,X,X,X,X,X
LISTZJO,X,O,X,X,X,X,X,X,X,X,X
LISTZOJ,X,O,X,X,X,X,X,X,X,X,X
LISTOJZ,O,X,O,X,X,X,X,X,X,X,X
LISTOZJ,X,O,X,X,X,X,X,X,X,X,X
LISJTZO,X,X,X,X,X,X,X,X,X,X,X
LISJTOZ,O,X,X,X,X,X,X,X,X,X,X
LISJZTO,X,X,X,X,X,O,O,O,X,X,X
LISJZOT,O,X,X,X,X,O,O,O,X,X,X
LISJOTZ,O,X,O,X,X,X,X,X,X,X,X
LISJOZT,O,X,O,X,X,X,O,O,X,X,X
LISZTJO,X,X,X,X,X,O,O,X,X,X,X
LISZTOJ,X,X,X,X,X,O,O,O,X,X,X
LISZJTO,X,X,X,X,X,O,O,O,X,X,X
LISZJOT,O,O,X,X,X,O,O,O,X,X,X
LISZOTJ,X,X,X,X,X,O,O,O,X,X,X
LISZOJT,O,O,X,X,X,O,O,O,X,X,X
LISOTJZ,O,X,O,X,X,X,X,X,X,X,X
LISOTZJ,X,O,X,X,X,X,X,X,X,X,X
LISOJTZ,O,X,O,X,X,X,X,X,X,X,X
LISOJZT,O,X,O,X,X,X,O,O,X,X,X
LISOZTJ,X,X,X,X,X,X,O,O,X,X,X
LISOZJT,O,O,X,X,X,X,O,O,X,X,X
LIZTJSO,X,O,X,X,X,X,X,O,X,X,X
LIZTJOS,X,O,O,X,X,X,X,O,X,O,X
LIZTSJO,X,O,X,X,X,O,X,X,X,X,X
LIZTSOJ,X,O,X,X,X,O,X,O,X,X,X
LIZTOJS,X,O,O,X,X,X,X,O,X,O,X
LIZTOSJ,X,O,X,X,X,X,X,O,X,X,X
LIZJTSO,X,X,X,X,X,O,X,O,X,X,X
LIZJTOS,X,O,X,X,X,X,X,O,X,O,X
LIZJSTO,X,X,X,X,O,O,O,O,X,X,X
LIZJSOT,X,O,X,X,O,O,O,O,X,O,X
LIZJOTS,X,O,X,X,X,X,X,O,X,O,X
LIZJOST,X,O,O,X,O,O,O,O,X,O,X
LIZSTJO,X,X,X,X,X,O,O,X,X,X,X
LIZSTOJ,X,X,X,X,O,O,O,O,X,X,X
LIZSJTO,X,X,X,X,X,O,O,O,X,X,X
LIZSJOT,X,O,X,X,O,O,O,O,X,O,X
LIZSOTJ,X,X,X,X,O,O,O,O,X,X,X
LIZSOJT,X,O,X,X,O,O,O,O,X,O,X
LIZOTJS,X,O,O,X,X,X,X,O,X,O,X
LIZOTSJ,X,O,X,X,X,X,X,O,X,X,X
LIZOJTS,X,O,X,X,X,X,X,O,X,O,X
LIZOJST,X,O,O,X,O,X,O,O,X,O,X
LIZOSTJ,X,X,X,X,O,O,O,O,X,X,X
LIZOSJT,X,O,X,X,O,O,O,O,X,O,X
LIOTJSZ,O,X,O,X,X,X,X,X,X,X,X
LIOTJZS,X,O,O,O,X,X,X,O,X,X,X
LIOTSJZ,O,X,O,X,X,X,X,X,X,X,X
LIOTSZJ,O,O,X,X,X,X,X,X,X,X,X
LIOTZJS,X,O,O,O,X,X,X,O,X,X,X
LIOTZSJ,X,O,X,O,X,X,X,O,X,X,X
LIOJTSZ,O,X,O,X,X,X,X,X,X,X,X
LIOJTZS,X,O,O,O,X,X,X,O,X,X,X
LIOJSTZ,O,X,O,X,X,X,X,X,X,X,X
LIOJSZT,O,X,O,X,X,X,O,O,X,X,X
LIOJZTS,X,O,X,X,X,X,X,O,X,O,X
LIOJZST,X,O,O,X,O,O,O,O,X,O,X
LIOSTJZ,O,X,O,X,X,X,X,X,X,X,X
LIOSTZJ,X,O,X,X,X,X,X,X,X,X,X
LIOSJTZ,O,X,O,X,X,X,X,X,X,X,X
LIOSJZT,O,X,O,X,X,X,O,O,X,X,X
LIOSZTJ,X,X,X,X,X,X,O,O,X,X,X
LIOSZJT,O,O,X,X,X,X,O,O,X,X,X
LIOZTJS,X,O,O,X,X,X,X,O,X,O,X
LIOZTSJ,X,O,X,X,X,X,X,O,X,X,X
LIOZJTS,X,O,X,X,X,X,X,O,X,O,X
LIOZJST,X,O,O,X,O,X,O,O,X,O,X
LIOZSTJ,X,X,X,X,O,O,O,O,X,X,X
LIOZSJT,X,O,X,X,O,O,O,O,X,O,X
LJTISZO,O,X,X,X,X,X,X,X,X,X,X
