sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB
TLIOZSJ,X,O,X,X,X,X,X,O,X,X,X
TLJISZO,O,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,O,X,X,X,X,X,X,X,X
TLJIZSO,X,O,X,X,X,O,X,O,X,X,X
TLJIZOS,X,O,O,X,X,X,X,O,X,X,X
TLJIOSZ,O,X,O,X,X,X,X,X,X,X,X
TLJIOZS,X,O,O,X,X,X,X,O,X,X,X
TLJSIZO,O,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,O,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,O,X,X,X,X
TLJSZOI,O,X,X,X,X,X,O,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,O,X,X,X,O,X,X,X,X
TLJZISO,X,O,X,X,X,O,X,O,O,X,X
TLJZIOS,X,O,O,X,X,X,X,O,O,X,X
TLJZSIO,X,O,X,X,X,O,O,O,O,X,X
TLJZSOI,X,O,X,X,X,O,O,O,O,X,X
TLJZOIS,X,O,O,X,X,X,X,O,O,X,X
TLJZOSI,X,O,O,X,X,X,O,O,O,X,X
TLJOISZ,O,X,O,X,X,X,X,X,X,X,X
TLJOIZS,X,O,O,X,X,X,X,O,X,X,X
TLJOSIZ,O,X,O,X,X,X,X,X,X,X,X
